Quarter,Time,Down,ToGo,Location,ATL,NYJ,Detail,EPB,EPA
4,3:54,4,7,NYJ 29,25,20,"Lac Edwards punts 51 yards, returned by Andre Roberts for 80 yards. Penalty on Sharrod Neasman: Illegal Block Above the Waist, 10 yards",-1.440,-0.610
4,3:36,1,10,ATL 25,25,20,Tevin Coleman middle for 3 yards (tackle by Muhammad Wilkerson),0.610,0.000
4,3:31,,,,,,Timeout #1 by New York Jets,0.000,-0.470
4,3:31,2,7,ATL 28,25,20,Tevin Coleman left end for 2 yards (tackle by Darron Lee and Josh Martin),0.470,0.000
4,3:26,,,,,,Timeout #2 by New York Jets,0.000,-0.040
4,3:26,3,5,ATL 30,25,20,Matt Ryan pass complete short middle to Mohamed Sanu for 15 yards (tackle by Robert Nelson),0.040,1.930
4,2:41,1,10,ATL 45,25,20,Tevin Coleman left tackle for 1 yard (tackle by Steve McLendon),1.930,0.000
4,2:35,,,,,,Timeout #3 by New York Jets,0.000,-1.520
4,2:35,2,9,ATL 46,25,20,Tevin Coleman right tackle for 1 yard (tackle by Steve McLendon and Leonard Williams),1.520,0.960
4,2:00,3,8,ATL 47,25,20,Tevin Coleman right tackle for 7 yards (tackle by Jamal Adams),0.960,0.000
4,1:16,,,,,,Timeout #2 by Atlanta Falcons,0.000,-0.200
4,1:16,4,1,NYJ 46,25,20,"Matthew Bosher punts 42 yards, out of bounds",0.200,0.380
4,1:07,1,10,NYJ 4,25,20,Josh McCown pass complete short middle to Austin Seferian-Jenkins for 5 yards (tackle by Deion Jones),-0.380,-0.420
4,0:47,2,5,NYJ 9,25,20,Josh McCown pass complete short middle to Matt Forte for 12 yards (tackle by Deion Jones),-0.420,0.340
4,0:31,1,10,NYJ 21,25,20,Josh McCown spiked the ball,0.340,-0.200
4,0:31,2,10,NYJ 21,25,20,Josh McCown pass incomplete deep right intended for Jermaine Kearse,-0.200,-0.890
4,0:25,3,10,NYJ 21,25,20,Josh McCown pass complete short left to Matt Forte for 6 yards (tackle by De'Vondre Campbell),-0.890,-1.570
4,0:16,4,4,NYJ 27,25,20,Josh McCown pass complete short middle to Austin Seferian-Jenkins for 11 yards (tackle by Keanu Neal),-1.570,1.470
4,0:02,1,10,NYJ 38,25,20,"Penalty on Josh McCown: False Start, 5 yards (no play)",1.470,0.920
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
