Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
1,0:10,3,6,CHI 45,0,0,Chad Pennington pass complete short right to Brad Smith for 7 yards (tackle by Charles Tillman),1.620,3.050
Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 38,0,0,Cedric Houston right guard for 11 yards (tackle by Todd Johnson),3.050,3.780
2,14:28,1,10,CHI 27,0,0,Leon Washington left end for -4 yards (tackle by Brian Urlacher),3.780,2.690
2,13:52,2,14,CHI 31,0,0,Cedric Houston right guard for 6 yards (tackle by Lance Briggs and Brian Urlacher),2.690,2.810
2,13:08,3,8,CHI 25,0,0,Chad Pennington pass complete short middle to Tim Dwight for 15 yards (tackle by Todd Johnson and Lance Briggs),2.810,4.910
2,13:08,1,10,CHI 10,0,0,Cedric Houston right guard for 1 yard (tackle by Brian Urlacher and Alex Brown),4.910,4.380
2,12:03,2,9,CHI 9,0,0,Kevan Barlow right tackle for 3 yards (tackle by Todd Johnson),4.380,4.040
2,11:24,3,6,CHI 6,0,0,Chad Pennington pass incomplete short right intended for Chris Baker is intercepted by Brian Urlacher and returned for 36 yards,4.040,-1.140
2,11:12,1,10,CHI 33,0,0,Cedric Benson right tackle for 7 yards (tackle by Brad Kassell),1.140,1.540
2,10:38,2,3,CHI 40,0,0,Cedric Benson right tackle for 14 yards (tackle by Victor Hobson and Erik Coleman),1.540,2.520
2,10:03,1,10,NYJ 46,0,0,Rex Grossman pass incomplete deep right intended for Bernard Berrian,2.520,1.980
2,9:56,2,10,NYJ 46,0,0,Cedric Benson right guard for 5 yards (tackle by Bobby Hamilton and Dewayne Robertson),1.980,1.950
2,9:17,3,5,NYJ 41,0,0,Rex Grossman pass incomplete deep left intended for Rashied Davis,1.950,0.530
2,9:10,4,5,NYJ 41,0,0,"Brad Maynard punts 41 yards, touchback",0.530,-0.280
2,9:01,1,10,NYJ 20,0,0,Chad Pennington pass incomplete short right intended for James Hodgins,0.280,-0.270
2,8:56,2,10,NYJ 20,0,0,Chad Pennington pass complete short left to Laveranues Coles for 7 yards (tackle by Hunter Hillenmeyer and Nathan Vasher),-0.270,-0.030
2,8:18,3,3,NYJ 27,0,0,Chad Pennington pass complete short left to Tim Dwight for 5 yards,-0.030,1.070
2,8:00,1,10,NYJ 32,0,0,Leon Washington right end for -1 yards (tackle by Adewale Ogunleye),1.070,0.390
2,7:31,,,,0,0,Timeout #1 by Chicago Bears,0.000,0.390
2,7:31,2,11,NYJ 31,0,0,Leon Washington left end for -8 yards (tackle by Mark Anderson),0.390,-1.350
2,6:47,3,19,NYJ 23,0,0,"Penalty on D'Brickashaw Ferguson: False Start, 5 yards (no play)",-1.350,-2.270
2,6:23,3,24,NYJ 18,0,0,Leon Washington middle for 5 yards (tackle by Mark Anderson),-2.270,-1.830
2,5:55,4,19,NYJ 23,0,0,"Ben Graham punts 49 yards, fair catch by Devin Hester",-1.830,-0.810
2,5:46,1,10,CHI 28,0,0,Rex Grossman pass complete short right to Jason McKie for 3 yards (tackle by Bryan Thomas),0.810,0.670
2,5:10,2,7,CHI 31,0,0,"Thomas Jones middle for 3 yards (tackle by Victor Hobson and Jonathan Vilma). Penalty on Muhsin Muhammad: Illegal Block Above the , 10 yards",0.670,-0.280
2,4:41,2,14,CHI 24,0,0,Rex Grossman sacked by Kerry Rhodes for -8 yards,-0.280,-2.420
2,4:41,3,22,CHI 16,0,0,"Penalty on Rex Grossman: Delay of Game, 5 yards (no play)",-2.420,-3.410
2,3:55,3,27,CHI 11,0,0,Thomas Jones right tackle for 17 yards (tackle by Andre Dyson and Victor Hobson),-3.410,-1.500
,,,,,,,"CHI challenged the ruling, and the original play was overturned.",,
2,3:44,4,10,CHI 28,0,0,"Brad Maynard punts 59 yards, returned by Tim Dwight for 11 yards (tackle by Rod Wilson)",-1.500,-0.540
2,3:29,1,10,NYJ 24,0,0,Brad Smith right tackle for 6 yards (tackle by Alex Brown and Charles Tillman),0.540,0.810
2,2:49,2,4,NYJ 30,0,0,Cedric Houston left end for 3 yards (tackle by Brian Urlacher and Todd Johnson),0.810,0.500
2,2:07,3,1,NYJ 33,0,0,"Penalty on Laveranues Coles: False Start, 5 yards (no play)",0.500,-0.160
2,2:00,3,6,NYJ 28,0,0,"Penalty on Alex Brown: Defensive Offside, 5 yards (no play)",-0.160,0.500
2,2:00,3,1,NYJ 33,0,0,Cedric Houston left tackle for no gain (tackle by Todd Johnson and Adewale Ogunleye),0.500,-1.180
2,1:52,,,,0,0,Timeout #2 by Chicago Bears,0.000,-1.180
2,1:52,4,1,NYJ 33,0,0,"Ben Graham punts 67 yards, touchback",-1.180,-0.280
2,1:42,1,10,CHI 20,0,0,Rex Grossman pass complete to Desmond Clark for 2 yards (tackle by Erik Coleman),0.280,0.000
2,1:24,2,8,CHI 22,0,0,Rex Grossman pass incomplete short right intended for Desmond Clark,0.000,-0.690
2,1:22,3,8,CHI 22,0,0,Rex Grossman pass incomplete deep left intended for Rashied Davis,-0.690,-1.900
2,1:16,4,8,CHI 22,0,0,"Brad Maynard punts 60 yards, returned by Tim Dwight for 16 yards (tackle by Chris Harris)",-1.900,-1.200
2,1:01,1,10,NYJ 34,0,0,Chad Pennington pass incomplete short left intended for Chris Baker (defended by Lance Briggs),1.200,0.660
2,0:56,2,10,NYJ 34,0,0,Chad Pennington sacked by Mark Anderson and Tank Johnson for 0 yards,0.660,-0.030
2,0:12,3,10,NYJ 34,0,0,Leon Washington middle for 2 yards (tackle by Lance Briggs and Ricky Manning),-0.030,-0.980
Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,0,0,Mike Nugent kicks onside 14 yards,0.000,2.650
3,14:55,1,10,NYJ 44,0,0,Thomas Jones left tackle for 19 yards (tackle by Kerry Rhodes),2.650,3.910
3,14:31,1,10,NYJ 25,0,0,Thomas Jones left guard for 4 yards (tackle by Eric Barton),3.910,3.900
3,14:04,2,6,NYJ 21,0,0,Thomas Jones right guard for 4 yards (tackle by Erik Coleman and Eric Barton),3.900,3.850
3,13:25,3,2,NYJ 17,0,0,Thomas Jones left tackle for 13 yards (tackle by Kerry Rhodes and David Barrett),3.850,6.280
3,12:47,1,4,NYJ 4,0,0,Thomas Jones middle for 1 yard (tackle by Bobby Hamilton),6.280,5.530
3,12:05,2,3,NYJ 3,0,0,Thomas Jones right tackle for 1 yard,5.530,4.950
3,11:25,3,2,NYJ 2,0,0,Thomas Jones right tackle for no gain (tackle by Erik Coleman and Jonathan Vilma),4.950,3.250
3,10:43,4,2,NYJ 2,3,0,Robbie Gould 20 yard field goal good,3.250,3.000
3,,,,CHI 30,3,0,"Robbie Gould kicks off 62 yards, returned by Justin Miller for 21 yards (tackle by Ricky Manning)",0.000,0.870
3,10:31,1,10,NYJ 29,3,0,Kevan Barlow right guard for 1 yard (tackle by Tommie Harris and Tank Johnson),0.870,0.460
3,9:51,2,9,NYJ 30,3,0,Chad Pennington pass complete short left to Laveranues Coles for 6 yards (tackle by Danieal Manning and Nathan Vasher),0.460,0.560
3,9:11,3,3,NYJ 36,3,0,Chad Pennington pass complete deep right to Jerricho Cotchery for 22 yards (tackle by Ricky Manning and Danieal Manning),0.560,2.790
3,8:25,1,10,CHI 42,3,0,Chad Pennington pass complete short right to Chris Baker for 3 yards (tackle by Charles Tillman and Danieal Manning),2.790,2.650
3,7:45,2,7,CHI 39,3,0,Leon Washington right guard for no gain (tackle by Alex Brown),2.650,1.950
3,7:05,3,7,CHI 39,3,0,Chad Pennington pass complete short right to Laveranues Coles for 14 yards (tackle by Lance Briggs),1.950,3.910
3,6:35,1,10,CHI 25,3,0,Leon Washington right guard for no gain (tackle by Adewale Ogunleye and Brian Urlacher),3.910,3.360
3,6:35,2,10,CHI 25,3,0,"Penalty on Chris Baker: False Start, 5 yards (no play)",3.360,2.690
3,5:33,2,15,CHI 30,3,0,Chad Pennington pass incomplete short left intended for Chris Baker is intercepted by Nathan Vasher at CHI-25 and returned for 3 yards,2.690,-0.810
3,5:26,1,10,CHI 28,3,0,Thomas Jones left tackle for 3 yards (tackle by Dewayne Robertson),0.810,0.670
3,4:54,2,7,CHI 31,3,0,"Penalty on Bernard Berrian: False Start, 5 yards (no play)",0.670,-0.010
3,4:35,2,12,CHI 26,3,0,Rex Grossman pass incomplete deep left intended for Mark Bradley,-0.010,-0.690
3,4:31,3,12,CHI 26,3,0,Rex Grossman pass complete deep right to Muhsin Muhammad for 28 yards (tackle by Eric Smith and Andre Dyson),-0.690,2.520
3,4:00,1,10,NYJ 46,3,0,Rex Grossman pass incomplete short middle intended for Jason McKie,2.520,1.980
3,3:55,2,10,NYJ 46,3,0,Thomas Jones left tackle for 4 yards,1.980,1.820
3,3:16,3,6,NYJ 42,3,0,Rex Grossman pass complete short left to Mark Bradley for 5 yards (tackle by David Barrett),1.820,0.790
3,2:35,4,1,NYJ 37,3,0,Thomas Jones right tackle for 3 yards (tackle by Jonathan Vilma),0.790,3.310
3,1:56,1,10,NYJ 34,3,0,"Rex Grossman pass incomplete short left intended for Thomas Jones. Penalty on CHI: Illegal Shift, 5 yards (no play)",3.310,2.980
3,1:49,1,15,NYJ 39,3,0,Rex Grossman pass incomplete short left intended for Jason McKie (defended by Kerry Rhodes),2.980,2.090
3,1:46,2,15,NYJ 39,3,0,Rex Grossman pass incomplete short left intended for Rashied Davis,2.090,1.420
3,1:42,3,15,NYJ 39,3,0,Rex Grossman pass incomplete short right intended for Muhsin Muhammad,1.420,0.660
3,1:39,4,15,NYJ 39,3,0,"Brad Maynard punts 28 yards, fair catch by Tim Dwight",0.660,0.370
3,1:31,1,10,NYJ 11,3,0,Chad Pennington pass incomplete short right intended for Laveranues Coles,-0.370,-0.780
3,1:27,2,10,NYJ 11,3,0,Cedric Houston right guard for 1 yard (tackle by Ian Scott and Brian Urlacher),-0.780,-1.300
3,0:48,3,9,NYJ 12,3,0,Chad Pennington pass incomplete short right intended for Jerricho Cotchery,-1.300,-2.490
3,0:43,4,9,NYJ 12,3,0,"Ben Graham punts 39 yards. Penalty on Darrell McClover: Offensive Holding, 10 yards",-2.490,-1.530
3,0:31,1,10,CHI 39,3,0,Cedric Benson right guard for 4 yards (tackle by Erik Coleman and Bobby Hamilton),1.530,1.530
Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,CHI 43,9,0,"Rex Grossman pass complete short right to Mark Bradley for 57 yards, touchdown",1.530,7.000
4,,,,NYJ 2,10,0,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,10,0,"Robbie Gould kicks off 58 yards, returned by Justin Miller for 14 yards (tackle by Chris Harris)",0.000,0.670
4,14:44,1,10,NYJ 26,10,0,Chad Pennington pass complete short right to Leon Washington for 7 yards (tackle by Ricky Manning and Brian Urlacher),0.670,1.070
4,14:07,2,3,NYJ 33,10,0,Chad Pennington pass complete short left to Laveranues Coles for 10 yards (tackle by Nathan Vasher),1.070,1.800
4,13:40,1,10,NYJ 43,10,0,Leon Washington left end for 2 yards (tackle by Alex Brown and Ian Scott),1.800,1.520
4,13:00,2,8,NYJ 45,10,0,Chad Pennington pass incomplete short left intended for Laveranues Coles,1.520,0.830
4,12:55,3,8,NYJ 45,10,0,Chad Pennington pass incomplete short left intended for Laveranues Coles,0.830,-0.390
4,12:50,4,8,NYJ 45,10,0,"Ben Graham punts 41 yards, returned by Devin Hester for 7 yards (tackle by Cody Spencer)",-0.390,-0.340
4,12:39,1,10,CHI 21,10,0,Cedric Benson right tackle for 2 yards (tackle by Justin Miller and Jonathan Vilma),0.340,0.070
4,11:58,2,8,CHI 23,10,0,"Cedric Benson right guard for 1 yard (tackle by Bryan Thomas). Penalty on Rashad Moore: Illegal Use of Hands, 10 yards",0.070,1.200
4,11:35,1,10,CHI 34,10,0,Jason McKie left guard for 2 yards (tackle by Dewayne Robertson and Victor Hobson),1.200,0.930
4,10:57,2,8,CHI 36,10,0,"Rex Grossman pass complete deep left to Bernard Berrian for 24 yards (tackle by Eric Barton). Penalty on Olin Kreutz: Offensive Holding, 10 yards (no play)",0.930,-0.420
4,10:27,2,18,CHI 26,10,0,Cedric Benson left end for 4 yards (tackle by Rashad Washington and Jonathan Vilma),-0.420,-0.560
4,9:43,3,14,CHI 30,10,0,Rex Grossman pass complete short right to Adrian Peterson for 4 yards (tackle by Bryan Thomas),-0.560,-1.110
4,9:04,4,10,CHI 34,10,0,Brad Maynard punts 26 yards,-1.110,-1.600
4,8:57,1,10,NYJ 40,10,0,Chad Pennington pass complete short right to Jerricho Cotchery for 5 yards (tackle by Lance Briggs),1.600,1.730
4,8:30,2,5,NYJ 45,10,0,Cedric Houston right guard for 8 yards (tackle by Lance Briggs),1.730,2.460
4,8:05,1,10,CHI 47,10,0,Chad Pennington pass complete short left to Laveranues Coles for 12 yards (tackle by Brian Urlacher),2.460,3.250
4,7:34,1,10,CHI 35,10,0,Cedric Houston left tackle for 5 yards (tackle by Adewale Ogunleye),3.250,3.380
4,7:07,2,5,CHI 30,10,0,Chad Pennington pass complete short right to Jerricho Cotchery for -2 yards (tackle by Charles Tillman),3.380,2.410
4,6:28,3,7,CHI 32,10,0,Chad Pennington pass incomplete short left intended for Laveranues Coles,2.410,1.240
4,6:22,4,7,CHI 32,10,0,"Penalty on Nick Mangold: False Start, 5 yards (no play)",1.240,0.790
4,6:22,4,12,CHI 37,10,0,Ben Graham punts 27 yards,0.790,0.380
4,6:11,1,10,CHI 10,10,0,Thomas Jones left end for 4 yards (tackle by Victor Hobson),-0.380,-0.460
4,5:43,2,6,CHI 14,10,0,Thomas Jones left tackle for 7 yards (tackle by Kerry Rhodes and Jonathan Vilma),-0.460,0.340
4,4:59,1,10,CHI 21,10,0,Thomas Jones right guard for 1 yard (tackle by Matt Chatham),0.340,-0.070
4,4:18,2,9,CHI 22,10,0,Rex Grossman pass complete short left to Mark Bradley for 10 yards (tackle by Kerry Rhodes),-0.070,1.070
4,3:34,1,10,CHI 32,10,0,Thomas Jones middle for 1 yard,1.070,0.660
4,2:52,2,9,CHI 33,10,0,Thomas Jones middle for 1 yard (tackle by Kerry Rhodes and Matt Chatham),0.660,0.100
4,2:47,,,,10,0,Timeout #1 by New York Jets,0.000,0.100
4,2:47,3,8,CHI 34,10,0,Rex Grossman pass complete short left to Mark Bradley for 8 yards (tackle by David Barrett and Shaun Ellis),0.100,1.730
4,2:05,1,10,CHI 42,10,0,Cedric Benson right guard for 4 yards (tackle by Rashad Washington and Dewayne Robertson),1.730,1.730
4,2:00,2,6,CHI 46,10,0,Cedric Benson right guard for 2 yards (tackle by Victor Hobson and Rashad Washington),1.730,1.290
4,1:55,,,,10,0,Timeout #2 by New York Jets,0.000,1.290
4,1:55,3,4,CHI 48,10,0,"Penalty on Ruben Brown: False Start, 5 yards (no play)",1.290,0.630
4,1:55,3,9,CHI 43,10,0,Cedric Benson left guard for 8 yards (tackle by Jonathan Vilma and Victor Hobson),0.630,0.000
4,1:51,,,,10,0,Timeout #3 by New York Jets,0.000,0.000
4,1:51,4,1,NYJ 49,10,0,"Brad Maynard punts 49 yards, touchback",0.000,-0.280
4,1:43,1,10,NYJ 20,10,0,Chad Pennington pass incomplete deep left intended for Laveranues Coles,0.280,-0.270
4,1:37,2,10,NYJ 20,10,0,"Chad Pennington pass incomplete deep left intended for Laveranues Coles. Penalty on Mark Anderson: Defensive Offside, 5 yards (no play)",-0.270,0.410
4,1:31,2,5,NYJ 25,10,0,Chad Pennington pass complete short right to Tim Dwight for 8 yards (tackle by Ricky Manning and Charles Tillman),0.410,1.140
4,1:20,1,10,NYJ 33,10,0,Chad Pennington spiked the ball,1.140,0.590
4,1:17,2,10,NYJ 33,10,0,Chad Pennington pass incomplete short middle intended for Jerricho Cotchery,0.590,-0.100
4,1:13,3,10,NYJ 33,10,0,Chad Pennington pass complete short left to Tim Dwight for 7 yards (tackle by Nathan Vasher),-0.100,-0.720
4,0:50,4,3,NYJ 40,10,0,Chad Pennington pass complete short left to Tim Dwight for 5 yards (tackle by Ricky Manning),-0.720,1.930
4,0:35,1,10,NYJ 45,10,0,Chad Pennington spiked the ball,1.930,1.380
4,0:35,2,10,NYJ 45,10,0,Chad Pennington sacked by Adewale Ogunleye for -6 yards,1.380,-0.100
4,0:22,,,,10,0,Timeout #1 by Chicago Bears,0.000,-0.100
4,0:22,3,16,NYJ 39,10,0,Chad Pennington pass incomplete short right intended for Justin McCareins,-0.100,-0.780
4,0:14,4,16,NYJ 39,10,0,Chad Pennington pass incomplete short right intended for Laveranues Coles,-0.780,-2.980
4,0:08,1,10,NYJ 39,10,0,Rex Grossman kneels for -1 yards,2.980,2.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
