Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
2,,,,ATL 30,20,14,"Jay Feely kicks onside 16 yards, recovered by Artie Ulmer (onside kick successful)",0.000,1.990
2,0:16,1,10,ATL 46,20,14,Michael Vick pass incomplete intended for Warrick Dunn,1.990,1.450
2,0:10,2,10,ATL 46,20,14,Michael Vick for 24 yards (tackle by Kelly Herndon),1.450,3.580
2,0:01,1,10,DEN 30,20,14,Jay Feely 49 yard field goal no good,3.580,1.400
Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,20,14,"Micah Knorr kicks off 69 yards, returned by Allen Rossum for 39 yards (tackle by Nate Jackson)",0.000,1.600
3,14:52,1,10,ATL 40,20,14,Michael Vick pass complete to Justin Griffith for 3 yards (tackle by Kenoy Kennedy),1.600,1.460
3,14:19,2,7,ATL 43,20,14,Warrick Dunn right guard for 2 yards (tackle by Reggie Hayward and D.J. Williams),1.460,1.030
3,13:43,3,5,ATL 45,20,14,"Michael Vick sacked by Al Wilson for -6 yards. Penalty on Lenny Walls: Defensive Holding, 5 yards (no play)",1.030,2.260
3,13:21,1,10,DEN 50,20,14,Michael Vick pass complete to Alge Crumpler for 12 yards (tackle by Kelly Herndon),2.260,3.050
3,12:42,1,10,DEN 38,20,14,Warrick Dunn right tackle for no gain (tackle by Anton Palepoi),3.050,2.510
3,12:06,2,10,DEN 38,20,14,Michael Vick pass complete to Alge Crumpler for 18 yards (tackle by Kenoy Kennedy),2.510,4.240
3,11:21,1,10,DEN 20,20,14,Michael Vick left end for 15 yards (tackle by Nick Ferguson),4.240,6.060
3,10:40,1,5,DEN 5,26,14,"Warrick Dunn right tackle for 5 yards, touchdown",6.060,7.000
3,,,,DEN 2,27,14,Jay Feely kicks extra point good,0.000,0.000
3,,,,ATL 30,27,14,"Jay Feely kicks off 60 yards, returned by Roc Alexander for 16 yards (tackle by Bryan Scott)",0.000,0.670
3,10:32,1,10,DEN 26,27,14,Reuben Droughns right guard for 3 yards (tackle by Ed Jasper),0.670,0.540
3,9:58,2,7,DEN 29,27,14,"Reuben Droughns right tackle for 1 yard (tackle by Antwan Lake). Penalty on Ben Hamilton: Offensive Holding, 10 yards (no play)",0.540,-0.870
3,9:35,2,17,DEN 19,27,14,Jake Plummer pass complete to Ashley Lelie for 19 yards (tackle by Jason Webster),-0.870,1.470
3,9:10,1,10,DEN 38,27,14,"Penalty on Dan Neil: False Start, 5 yards (no play)",1.470,1.140
3,8:49,1,15,DEN 33,27,14,Jake Plummer pass complete to Rod Smith for 31 yards (tackle by Bryan Scott),1.140,3.180
,,,,,,,"ATL challenged the ruling, and the play was upheld.",,
3,8:35,1,10,ATL 36,27,14,Jake Plummer pass complete to Darius Watts for 6 yards (tackle by Jason Webster),3.180,3.450
3,8:12,2,4,ATL 30,27,14,"Reuben Droughns right tackle for 2 yards (tackle by Chad Lavalais). Penalty on George Foster: Offensive Holding, 10 yards",3.450,2.370
3,7:48,2,12,ATL 38,27,14,Jake Plummer pass incomplete intended for Darius Watts (defended by Jason Webster),2.370,1.690
3,7:44,3,12,ATL 38,27,14,Jake Plummer pass incomplete. Penalty on Jake Plummer: Illegal Forward Pass (Declined),1.690,0.720
3,7:35,4,12,ATL 38,27,14,Micah Knorr punts 35 yards,0.720,0.380
3,7:26,1,10,ATL 3,27,14,Warrick Dunn up the middle for 13 yards (tackle by Kenoy Kennedy),-0.380,-0.140
3,6:48,1,10,ATL 16,27,14,Warrick Dunn right tackle for -1 yards (tackle by Mario Fatafehi and Al Wilson),-0.140,-0.780
3,6:10,2,11,ATL 15,27,14,Michael Vick sacked by Mario Fatafehi for -5 yards,-0.780,-2.120
3,5:35,3,16,ATL 10,27,14,Warrick Dunn up the middle for 1 yard (tackle by Luther Elliss),-2.120,-2.490
3,5:01,4,15,ATL 11,27,14,"Chris Mohr punts 51 yards, returned by Rod Smith for 11 yards (tackle by Bryan Scott)",-2.490,-2.190
3,4:49,1,10,DEN 49,27,14,Jake Plummer pass complete to Reuben Droughns for 9 yards (tackle by Kevin Mathis),2.190,2.860
3,4:12,2,1,ATL 42,27,14,Reuben Droughns left tackle for 2 yards (tackle by Chris Draft),2.860,2.920
3,3:31,1,10,ATL 40,27,14,"Penalty on Chad Lavalais: Encroachment, 5 yards (no play)",2.920,3.650
3,3:13,1,5,ATL 35,27,14,"Jake Plummer pass complete to Darius Watts for 20 yards (tackle by Jason Webster). Penalty on Reuben Droughns: Tripping, 10 yards (no play)",3.650,2.590
3,2:50,1,15,ATL 45,27,14,"Reuben Droughns left end for 4 yards (tackle by Allen Rossum). Penalty on Rod Smith: Offensive Holding, 10 yards",2.590,2.190
3,2:21,1,21,DEN 49,27,14,Jake Plummer pass incomplete intended for Rod Smith,2.190,0.890
3,2:15,2,21,DEN 49,27,14,Jake Plummer pass incomplete intended for Ashley Lelie,0.890,0.230
3,2:10,3,21,DEN 49,27,14,Jake Plummer pass incomplete (defended by Patrick Kerney),0.230,-0.130
3,2:03,4,21,DEN 49,27,14,Micah Knorr punts 34 yards,-0.130,0.060
3,1:53,1,10,ATL 17,27,14,Michael Vick pass incomplete intended for Justin Griffith,-0.060,-0.580
3,1:48,2,10,ATL 17,27,14,T.J. Duckett right tackle for 1 yard (tackle by Donnie Spragan and Kelly Herndon),-0.580,-1.130
3,1:06,3,9,ATL 18,27,14,Michael Vick pass complete to Michael Jenkins for 46 yards (tackle by Champ Bailey),-1.130,3.180
3,0:26,1,10,DEN 36,27,14,T.J. Duckett up the middle for 6 yards (tackle by Ellis Johnson),3.180,3.450
Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,DEN 30,27,14,Michael Vick right end for 5 yards (tackle by Kelly Herndon),3.450,3.910
4,14:25,1,10,DEN 25,33,14,"Michael Vick pass complete to Peerless Price for 25 yards, touchdown",3.910,7.000
4,,,,DEN 2,34,14,Jay Feely kicks extra point good,0.000,0.000
4,,,,ATL 30,34,14,"Jay Feely kicks off 65 yards, returned by Roc Alexander for 22 yards (tackle by Brian Finneran)",0.000,0.740
4,14:10,1,10,DEN 27,34,14,Reuben Droughns right tackle for 3 yards (tackle by Patrick Kerney),0.740,0.600
4,13:39,2,7,DEN 30,34,14,Jake Plummer pass incomplete intended for Dwayne Carswell,0.600,-0.100
4,13:35,3,7,DEN 30,34,14,Jake Plummer pass complete to Reuben Droughns for 7 yards (tackle by Allen Rossum),-0.100,1.400
4,12:50,1,10,DEN 37,34,14,Jake Plummer pass incomplete intended for Jeb Putzier (defended by Kevin Mathis),1.400,0.860
4,12:46,2,10,DEN 37,34,14,Jake Plummer pass complete to Rod Smith for 27 yards (tackle by Bryan Scott),0.860,3.180
4,12:10,1,10,ATL 36,34,14,Jake Plummer pass complete to Rod Smith for 14 yards (tackle by Kevin Mathis),3.180,4.110
4,11:36,1,10,ATL 22,34,14,Reuben Droughns left tackle for 1 yard (tackle by Demorrio Williams),4.110,3.700
4,11:01,2,9,ATL 21,34,14,Jake Plummer pass incomplete intended for Darius Watts,3.700,3.010
4,10:53,3,9,ATL 21,34,14,Jake Plummer pass complete to Darius Watts for 15 yards (tackle by Bryan Scott),3.010,5.830
4,10:12,1,6,ATL 6,34,14,Reuben Droughns right tackle for -1 yards (tackle by Demorrio Williams and Keith Brooking),5.830,4.760
4,9:33,2,7,ATL 7,34,20,"Jake Plummer pass complete to Darius Watts for 7 yards, touchdown",4.760,7.000
4,,,,ATL 2,34,21,Jason Elam kicks extra point good,0.000,0.000
4,,,,DEN 30,34,21,"Micah Knorr kicks off 69 yards, returned by Allen Rossum for 33 yards (tackle by Roc Alexander). Penalty on Kyle Johnson: Offside on Free Kick, 5 yards",0.000,1.530
4,9:20,1,10,ATL 39,34,21,Michael Vick pass complete to Alge Crumpler for 12 yards (tackle by Kenoy Kennedy),1.530,2.320
4,8:34,1,10,DEN 49,34,21,Warrick Dunn right tackle for 4 yards (tackle by Mario Fatafehi and D.J. Williams),2.320,2.320
4,7:47,2,6,DEN 45,34,21,Warrick Dunn up the middle for 1 yard (tackle by Champ Bailey),2.320,1.750
4,7:10,3,5,DEN 44,34,21,Michael Vick pass incomplete intended for Brian Finneran,1.750,0.330
4,7:06,4,5,DEN 44,34,21,"Chris Mohr punts 26 yards, fair catch by Rod Smith",0.330,-0.040
4,6:58,1,10,DEN 18,34,21,Jake Plummer pass incomplete intended for Jeb Putzier,0.040,-0.490
4,6:54,2,10,DEN 18,34,21,Jake Plummer pass complete to Rod Smith for 6 yards (tackle by Bryan Scott),-0.490,-0.400
4,6:33,3,4,DEN 24,34,21,Jake Plummer pass incomplete intended for Ashley Lelie,-0.400,-1.770
4,6:28,4,4,DEN 24,34,21,Jake Plummer pass complete to Darius Watts for 11 yards (tackle by Kevin Mathis),-1.770,1.270
4,6:06,1,10,DEN 35,34,21,Jake Plummer pass complete to Darius Watts for 5 yards (tackle by Kevin Mathis),1.270,1.400
4,5:43,2,5,DEN 40,34,21,Jake Plummer pass incomplete intended for Ashley Lelie,1.400,0.700
4,5:33,3,5,DEN 40,34,21,Jake Plummer pass incomplete intended for Rod Smith,0.700,-0.720
4,5:29,4,5,DEN 40,34,21,"Jake Plummer pass incomplete intended for Ashley Lelie. Penalty on Demorrio Williams: Roughing the Passer, 15 yards (no play)",-0.720,2.590
4,5:23,1,10,ATL 45,34,21,Jake Plummer pass complete to Rod Smith for 12 yards (tackle by Keith Brooking),2.590,3.380
4,5:02,1,10,ATL 33,34,21,Jake Plummer pass incomplete intended for Rod Smith,3.380,2.840
4,4:58,2,10,ATL 33,34,21,Jake Plummer pass complete to Darius Watts for 25 yards (tackle by Jason Webster),2.840,5.370
4,4:27,1,8,ATL 8,34,21,Jake Plummer pass incomplete intended for Ashley Lelie,5.370,4.570
4,4:20,2,8,ATL 8,34,21,Jake Plummer pass incomplete intended for Darius Watts,4.570,3.580
4,4:15,3,8,ATL 8,34,21,Jake Plummer right end for 1 yard (tackle by DeAngelo Hall),3.580,2.970
4,3:58,,,,34,21,Timeout #1 by Denver Broncos,0.000,2.970
4,3:58,4,7,ATL 7,34,21,Jake Plummer pass incomplete intended for Darius Watts,2.970,0.380
4,3:53,1,10,ATL 7,34,21,"T.J. Duckett up the middle for 5 yards (tackle by D.J. Williams). Penalty on Kevin Shaffer: Offensive Holding, 3 yards (no play)",-0.380,-0.490
4,3:48,1,13,ATL 4,34,21,T.J. Duckett left tackle for 4 yards (tackle by Donnie Spragan and Marco Coleman),-0.490,-0.710
4,3:43,,,,34,21,Timeout #2 by Denver Broncos,0.000,-0.710
4,3:43,2,9,ATL 8,34,21,T.J. Duckett right tackle for 2 yards (tackle by Reggie Hayward and Al Wilson),-0.710,-1.070
4,3:36,,,,34,21,Timeout #3 by Denver Broncos,0.000,-1.070
4,3:36,3,7,ATL 10,34,21,Michael Vick pass complete to Brian Finneran for 6 yards (tackle by Al Wilson),-1.070,-2.390
4,2:50,,,,34,21,Timeout #2 by Atlanta Falcons,0.000,-2.390
4,2:50,4,1,ATL 16,34,21,"Chris Mohr punts 44 yards, returned by Rod Smith for 12 yards (tackle by Bryan Scott)",-2.390,-2.390
4,2:39,1,10,ATL 48,34,21,Jake Plummer pass complete to Rod Smith for 11 yards (tackle by Brady Smith). Penalty on Jason Webster: Illegal Contact (Declined),2.390,3.120
4,2:31,1,10,ATL 37,40,21,"Jake Plummer pass incomplete intended for Rod Smith is intercepted by Kevin Mathis at ATL-34 and returned for 66 yards, touchdown",3.120,-7.000
4,,,,DEN 2,41,21,Jay Feely kicks extra point good,0.000,0.000
4,,,,ATL 30,41,21,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
4,2:20,1,10,DEN 20,41,21,Jake Plummer pass complete to Reuben Droughns for 9 yards (tackle by Keith Brooking),0.280,0.950
4,2:02,2,1,DEN 29,41,21,Jake Plummer pass complete to Ashley Lelie for 13 yards (tackle by Allen Rossum),0.950,1.730
4,1:56,1,10,DEN 42,41,21,"Jake Plummer pass incomplete intended for Darius Watts (defended by Jason Webster). Penalty on Kevin Mathis: Defensive Pass Interference, 8 yards (no play)",1.730,2.260
4,1:52,1,10,DEN 50,41,21,Jake Plummer pass complete to Jeb Putzier for 9 yards (tackle by Keith Brooking),2.260,2.930
4,1:34,2,1,ATL 41,41,21,Jake Plummer pass complete to Ashley Lelie for 6 yards (tackle by Allen Rossum),2.930,3.250
4,1:06,1,10,ATL 35,41,27,"Jake Plummer pass complete to Ashley Lelie for 35 yards, touchdown",3.250,7.000
4,,,,ATL 2,41,28,Jason Elam kicks extra point good,0.000,0.000
4,,,,DEN 30,41,28,"Micah Knorr kicks onside 25 yards, recovered by Nick Ferguson (onside kick successful)",0.000,2.590
4,0:53,1,10,ATL 45,41,28,Jake Plummer pass incomplete intended for Rod Smith,2.590,2.040
4,0:49,2,10,ATL 45,41,28,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Kevin Mathis),2.040,1.360
4,0:40,3,10,ATL 45,41,28,Jake Plummer pass complete to Reuben Droughns for 9 yards (tackle by DeAngelo Hall),1.360,0.890
4,0:10,4,1,ATL 36,41,28,Jake Plummer pass complete to Reuben Droughns for 18 yards (tackle by Kevin McCadam),0.890,1.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
