Quarter,Time,Down,ToGo,Location,NWE,KAN,Detail,EPB,EPA
3,0:07,2,1,NWE 34,3,13,Damien Harris right guard for 41 yards (tackle by Juan Thornhill),1.280,3.910
Quarter,Time,Down,ToGo,Location,NWE,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 25,3,13,Damien Harris up the middle for 1 yard (tackle by Anthony Hitchens and Damien Wilson),3.910,3.500
4,14:21,2,9,KAN 24,3,13,"Jarrett Stidham pass deep middle is intercepted by Tyrann Mathieu at KC-0 and returned for no gain. Penalty on Tyrann Mathieu: Defensive Pass Interference, 16 yards (no play)",3.500,5.370
4,14:14,1,8,KAN 8,3,13,Rex Burkhead up the middle for 4 yards (tackle by Anthony Hitchens and Daniel Sorensen),5.370,5.340
4,13:55,2,4,KAN 4,3,13,Jarrett Stidham pass incomplete short right intended for N'Keal Harry,5.340,4.490
4,13:50,3,4,KAN 4,9,13,"Jarrett Stidham pass complete short left to N'Keal Harry for 4 yards, touchdown",4.490,7.000
4,13:45,,,KAN 15,10,13,Nick Folk kicks extra point good,0.000,0.000
4,13:45,,,NWE 35,10,13,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
4,13:45,1,10,KAN 25,10,13,Clyde Edwards-Helaire right end for 1 yard (tackle by Deatrich Wise),0.610,0.200
4,13:02,2,9,KAN 26,10,13,Clyde Edwards-Helaire up the middle for -1 yards (tackle by Chase Winovich),0.200,-0.620
4,12:17,3,10,KAN 25,10,13,"Patrick Mahomes pass incomplete deep right intended for Travis Kelce. Penalty on Kyle Dugger: Defensive Pass Interference, 18 yards (no play)",-0.620,1.800
4,12:11,1,10,KAN 43,10,13,"Patrick Mahomes right end for 2 yards (tackle by Deatrich Wise). Penalty on Deatrich Wise: Unnecessary Roughness, 15 yards",1.800,2.920
4,11:41,1,10,NWE 40,10,13,Clyde Edwards-Helaire right end for 1 yard (tackle by Deatrich Wise),2.920,2.510
4,11:04,2,9,NWE 39,10,13,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill (defended by J.C. Jackson),2.510,1.820
4,10:57,3,9,NWE 39,10,13,Patrick Mahomes left end for 18 yards (tackle by Jason McCourty),1.820,4.170
4,10:19,1,10,NWE 21,10,13,Patrick Mahomes pass complete short left to Mecole Hardman for 6 yards (tackle by Stephon Gilmore),4.170,4.550
4,9:38,2,4,NWE 15,10,13,Clyde Edwards-Helaire right end for 9 yards (tackle by Jonathan Jones),4.550,5.830
4,9:01,1,6,NWE 6,10,19,"Patrick Mahomes pass complete short middle to Mecole Hardman for 6 yards, touchdown",5.830,7.000
4,8:57,,,NWE 15,10,19,Harrison Butker kicks extra point no good wide left,0.000,-1.000
4,8:57,,,KAN 35,10,19,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,8:57,1,10,NWE 25,10,25,"Jarrett Stidham pass short left intended for Julian Edelman is intercepted by Tyrann Mathieu at NE-25 and returned for 25 yards, touchdown",0.610,-7.000
4,8:48,,,NWE 15,10,26,Harrison Butker kicks extra point good,0.000,0.000
4,8:48,,,KAN 35,10,26,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,8:48,1,10,NWE 25,10,26,Damien Harris right guard for 2 yards (tackle by Anthony Hitchens),0.610,0.330
4,8:14,2,8,NWE 27,10,26,Jarrett Stidham pass complete short left to Damiere Byrd for 12 yards (tackle by Damien Wilson),0.330,1.530
4,7:37,1,10,NWE 39,10,26,Jarrett Stidham pass incomplete deep middle intended for Ryan Izzo,1.530,0.990
4,7:32,2,10,NWE 39,10,26,James White left end for 5 yards (tackle by Alex Okafor),0.990,0.960
4,6:47,3,5,NWE 44,10,26,Jarrett Stidham pass incomplete short left intended for James White,0.960,-0.460
4,6:43,,,,,,Timeout #1 by Kansas City Chiefs,,
4,6:43,4,5,NWE 44,10,26,Jarrett Stidham pass complete short left to Julian Edelman for 8 yards (tackle by Tedric Thompson),-0.460,2.390
4,6:11,1,10,KAN 48,10,26,Damien Harris up the middle for 3 yards (tackle by Taco Charlton),2.390,2.250
4,5:35,2,7,KAN 45,10,26,Rex Burkhead right tackle for 5 yards (tackle by Taco Charlton and Mike Pennel),2.250,2.210
4,5:02,3,2,KAN 40,10,26,Jarrett Stidham up the middle for 1 yard (tackle by Mike Pennel),2.210,0.660
4,4:18,4,1,KAN 39,10,26,Jarrett Stidham up the middle for 2 yards (tackle by Derrick Nnadi),0.660,3.120
4,3:32,1,10,KAN 37,10,26,Jarrett Stidham pass deep left intended for Damiere Byrd is intercepted by Rashad Fenton at KC-2 and returned for 31 yards,3.120,-1.140
4,3:18,1,10,KAN 33,10,26,Clyde Edwards-Helaire up the middle for 4 yards (tackle by Ja'Whaun Bentley and Byron Cowart),1.140,1.130
4,2:34,2,6,KAN 37,10,26,Clyde Edwards-Helaire right end for 2 yards (tackle by John Simon),1.130,0.700
4,2:27,,,,,,Timeout #1 by New England Patriots,,
4,2:27,3,4,KAN 39,10,26,Patrick Mahomes pass complete short left to Travis Kelce for 1 yard (tackle by Kyle Dugger),0.700,-0.720
4,2:20,,,,,,Timeout #2 by New England Patriots,,
4,2:20,4,3,KAN 40,10,26,"Tommy Townsend punts 60 yards, touchback.",-0.720,-0.280
4,2:12,1,10,NWE 20,10,26,Jarrett Stidham pass complete deep right to Damiere Byrd for 30 yards (tackle by Juan Thornhill),0.280,2.260
4,2:01,1,10,NWE 50,10,26,James White right end for 10 yards (tackle by Tedric Thompson),2.260,2.920
4,1:56,1,10,KAN 40,10,26,Jarrett Stidham pass incomplete short right,2.920,2.370
4,1:48,2,10,KAN 40,10,26,Jarrett Stidham pass incomplete short left intended for Julian Edelman,2.370,1.680
4,1:42,3,10,KAN 40,10,26,Jarrett Stidham pass incomplete short right intended for Julian Edelman (defended by Tanoh Kpassagnon),1.680,0.590
4,1:37,4,10,KAN 40,10,26,Jarrett Stidham pass complete short right to James White for 6 yards (tackle by Tanoh Kpassagnon and Ben Niemann),0.590,-1.200
4,1:30,1,10,KAN 34,10,26,Patrick Mahomes kneels for -3 yards,1.200,0.250
4,0:49,2,13,KAN 31,10,26,Patrick Mahomes kneels for -2 yards,0.250,-0.690
4,0:07,3,15,KAN 29,10,26,Patrick Mahomes kneels for -1 yards,-0.690,-1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
