Quarter,Time,Down,ToGo,Location,MIN,CAR,Detail,EPB,EPA
2,7:35,2,7,CAR 46,7,10,Bryce Young pass incomplete short left intended for Hayden Hurst,1.660,0.960
2,7:33,3,7,CAR 46,7,10,Bryce Young pass complete short right to Terrace Marshall for no gain (tackle by D.J. Wonnum),0.960,-0.320
2,6:53,4,7,CAR 46,7,10,"Johnny Hekker punts 37 yards, fair catch by Brandon Powell at MIN-17",-0.320,0.060
2,6:44,1,10,MIN 17,7,10,Alexander Mattison right end for 13 yards (tackle by Vonn Bell),-0.060,0.940
2,6:09,1,10,MIN 30,7,10,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by D'Shawn Jamison),0.940,0.390
2,6:06,2,10,MIN 30,7,10,Alexander Mattison right tackle for 5 yards (tackle by Jeremy Chinn and DeShawn Williams),0.390,0.370
2,5:31,3,5,MIN 35,7,10,Kirk Cousins sacked by Jeremy Chinn for -8 yards,0.370,-1.570
2,4:50,4,13,MIN 27,7,10,Ryan Wright punts 42 yards downed by NaJee Thompson,-1.570,-1.000
2,4:41,1,10,CAR 31,7,10,Miles Sanders up the middle for 3 yards (tackle by D.J. Wonnum and Jaquelin Roy),1.000,0.870
2,4:07,2,7,CAR 34,7,10,Miles Sanders left guard for 1 yard (tackle by Harrison Smith and Marcus Davenport),0.870,0.300
2,3:28,3,6,CAR 35,7,10,"Bryce Young pass complete short right to Terrace Marshall for no gain (tackle by D.J. Wonnum). Penalty on Bradley Bozeman: Offensive Holding, 10 yards (accepted) (no play)",0.300,-1.020
2,2:49,3,16,CAR 25,7,10,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",-1.020,-1.680
2,2:28,3,21,CAR 20,7,10,Bryce Young pass complete short right to DJ Chark for 10 yards (tackle by Camryn Bynum),-1.680,-1.370
2,2:00,4,11,CAR 30,7,10,"Johnny Hekker punts 47 yards, returned by Brandon Powell for 7 yards (tackle by Giovanni Ricci)",-1.370,-0.940
2,1:51,1,10,MIN 30,7,10,"Kirk Cousins pass complete short left to T.J. Hockenson for no gain (tackle by Derrick Brown). Penalty on Austin Schlottmann: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.940,0.610
2,1:43,1,15,MIN 25,7,10,Alexander Mattison left guard for 4 yards (tackle by Brian Burns and Frankie Luvu),0.610,0.260
2,1:22,2,11,MIN 29,7,10,Kirk Cousins pass complete deep left to K.J. Osborn for 16 yards (tackle by Vonn Bell),0.260,1.930
2,1:02,1,10,MIN 45,7,10,Kirk Cousins pass complete deep left to Justin Jefferson for 18 yards (tackle by Jeremy Chinn),1.930,3.120
2,0:54,1,10,CAR 37,7,10,Kirk Cousins pass complete short left to T.J. Hockenson for 16 yards (tackle by Vonn Bell),3.120,4.170
2,0:46,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:46,1,10,CAR 21,7,10,Kirk Cousins pass short right intended for Jordan Addison is intercepted by Kamu Grugier-Hill at CAR-13 and returned for 31 yards (tackle by K.J. Osborn),4.170,-1.860
2,0:34,1,10,CAR 44,7,10,Bryce Young pass complete short middle to Adam Thielen for 15 yards (tackle by Camryn Bynum),1.860,2.850
2,0:10,1,10,MIN 41,7,10,Bryce Young pass incomplete deep right intended for DJ Chark,2.850,2.310
2,0:08,2,10,MIN 41,7,10,Bryce Young pass complete short left to Terrace Marshall for 3 yards (tackle by Danielle Hunter),2.310,2.020
2,0:02,,,,,,Timeout #2 by Carolina Panthers,,
2,0:02,3,7,MIN 38,7,13,Eddy Pineiro 56 yard field goal good,2.020,3.000
Quarter,Time,Down,ToGo,Location,MIN,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,7,13,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CAR 25,7,13,Miles Sanders up the middle for 1 yard (tackle by Jonathan Bullard),0.610,0.200
3,14:20,2,9,CAR 26,7,13,Bryce Young pass complete short left to Terrace Marshall for 1 yard (tackle by Akayleb Evans),0.200,-0.360
3,13:39,3,8,CAR 27,7,13,Bryce Young scrambles left end for 6 yards (tackle by D.J. Wonnum),-0.360,-1.180
3,12:48,4,2,CAR 33,7,13,"Johnny Hekker punts 59 yards, returned by Brandon Powell for no gain (tackle by Jammie Robinson). Penalty on NaJee Thompson: Offensive Holding, 4 yards (accepted)",-1.180,0.380
3,12:35,1,10,MIN 4,7,13,Alexander Mattison left tackle for 17 yards (tackle by C.J. Henderson and Sam Franklin),-0.380,0.340
3,12:00,1,10,MIN 21,7,13,Alexander Mattison up the middle for 3 yards (tackle by Derrick Brown and Frankie Luvu),0.340,0.210
3,11:25,2,7,MIN 24,7,13,Kirk Cousins sacked by Yetur Gross-Matos for -1 yards,0.210,-0.630
3,10:45,3,8,MIN 23,7,13,Kirk Cousins pass incomplete short middle intended for T.J. Hockenson,-0.630,-1.830
3,10:38,4,8,MIN 23,7,13,"Ryan Wright punts 61 yards, returned by Ihmir Smith-Marsette for 7 yards (tackle by NaJee Thompson). Penalty on Matthias Farley: Offensive Holding, 10 yards (accepted)",-1.830,0.320
3,10:25,1,10,CAR 13,7,13,Bryce Young pass complete short right to Chuba Hubbard for 12 yards (tackle by Byron Murphy),-0.320,0.610
3,9:47,1,10,CAR 25,7,13,Chuba Hubbard up the middle for -1 yards (tackle by Josh Metellus and Harrison Smith),0.610,-0.070
3,9:01,2,11,CAR 24,7,13,"Bryce Young pass complete short middle to Terrace Marshall for 13 yards. Terrace Marshall fumbles (forced by Camryn Bynum), recovered by Terrace Marshall at CAR-37 (tackle by Camryn Bynum)",-0.070,1.400
3,8:38,1,10,CAR 37,7,13,Bryce Young pass complete short middle to Adam Thielen for 13 yards (tackle by Camryn Bynum and Ivan Pace),1.400,2.260
3,8:09,1,10,CAR 50,7,13,Chuba Hubbard left tackle for -1 yards (tackle by Patrick Jones),2.260,1.580
3,7:30,2,11,CAR 49,7,13,Bryce Young pass complete short left to Chuba Hubbard for no gain (tackle by Harrison Smith),1.580,0.890
3,6:47,3,11,CAR 49,7,13,Bryce Young pass complete short left to Adam Thielen for 13 yards (tackle by Byron Murphy),0.890,3.050
3,6:11,1,10,MIN 38,7,13,"Bryce Young pass incomplete deep left intended for DJ Chark. Penalty on Akayleb Evans: Illegal Contact, 5 yards (accepted) (no play)",3.050,3.380
3,6:01,1,10,MIN 33,7,13,Bryce Young pass complete short right to Laviska Shenault for 12 yards (tackle by Harrison Smith),3.380,4.170
3,5:19,1,10,MIN 21,7,13,"Bryce Young pass complete short right to Laviska Shenault for no gain (tackle by Camryn Bynum). Penalty on Ikem Ekwonu: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.170,3.840
3,4:48,1,15,MIN 26,7,13,Miles Sanders right tackle for -2 yards (tackle by Danielle Hunter and D.J. Wonnum),3.840,2.680
3,4:09,2,17,MIN 28,13,13,"Bryce Young sacked by Harrison Smith for -21 yards. Bryce Young fumbles (forced by Harrison Smith), recovered by D.J. Wonnum at MIN-49 and returned for 51 yards, touchdown",2.680,-7.000
3,3:58,,,CAR 15,14,13,Greg Joseph kicks extra point good,0.000,0.000
3,3:58,,,MIN 35,14,13,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,3:58,1,10,CAR 25,14,13,Chuba Hubbard left guard for -1 yards (tackle by Patrick Jones and Jaquelin Roy),0.610,-0.070
3,3:17,2,11,CAR 24,14,13,Bryce Young pass complete short right to Adam Thielen for 3 yards (tackle by Ivan Pace),-0.070,-0.360
3,2:31,3,8,CAR 27,14,13,Bryce Young sacked by D.J. Wonnum for -11 yards,-0.360,-2.390
3,1:48,4,19,CAR 16,14,13,"Johnny Hekker punts 42 yards, returned by Brandon Powell for 2 yards (tackle by Giovanni Ricci)",-2.390,-1.860
3,1:44,1,10,MIN 44,14,13,Cam Akers up the middle for 7 yards (tackle by Frankie Luvu),1.860,2.260
3,1:14,2,3,CAR 49,14,13,Cam Akers left end for 10 yards (tackle by C.J. Henderson),2.260,2.980
3,0:40,1,10,CAR 39,14,13,Kirk Cousins pass complete short right to Cam Akers for 9 yards (tackle by Sam Franklin),2.980,3.660
3,0:07,2,1,CAR 30,20,13,"Kirk Cousins pass complete deep left to Justin Jefferson for 30 yards, touchdown. Penalty on Shy Tuttle: Defensive Offside, 5 yards (declined)",3.660,7.000
3,0:00,,,CAR 15,21,13,Greg Joseph kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,MIN,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,MIN 35,21,13,"Greg Joseph kicks off 66 yards, returned by Laviska Shenault for 24 yards (tackle by Brian Asamoah and Jay Ward)",0.000,0.480
4,14:55,1,10,CAR 23,21,13,Bryce Young pass complete short left to Terrace Marshall for 9 yards (tackle by Harrison Smith),0.480,1.150
4,14:39,2,1,CAR 32,21,13,Miles Sanders up the middle for 6 yards (tackle by Harrison Smith and Harrison Phillips),1.150,1.470
4,14:11,1,10,CAR 38,21,13,Miles Sanders left guard for 2 yards (tackle by Ivan Pace),1.470,1.190
4,13:40,2,8,CAR 40,21,13,Bryce Young pass complete short left to Terrace Marshall for 4 yards (tackle by Jordan Hicks),1.190,1.020
4,12:54,3,4,CAR 44,21,13,Bryce Young pass complete short right to Miles Sanders for 8 yards (tackle by Camryn Bynum),1.020,2.390
4,12:29,1,10,MIN 48,21,13,Chuba Hubbard left guard for 5 yards (tackle by Josh Metellus and Jordan Hicks),2.390,2.520
4,12:01,2,5,MIN 43,21,13,Chuba Hubbard right guard for 2 yards (tackle by Harrison Phillips),2.520,2.080
4,11:31,3,3,MIN 41,21,13,Chuba Hubbard up the middle for 4 yards (tackle by Jordan Hicks and Marcus Davenport),2.080,3.120
4,10:52,1,10,MIN 37,21,13,Bryce Young pass complete short right to Miles Sanders for no gain (tackle by Harrison Smith and Jordan Hicks),3.120,2.570
4,10:21,2,10,MIN 37,21,13,Miles Sanders left tackle for 2 yards (tackle by Jonathan Bullard and Andre Carter),2.570,2.150
4,9:37,3,8,MIN 35,21,13,Bryce Young sacked by Marcus Davenport for -9 yards,2.150,0.330
4,8:55,4,17,MIN 44,21,13,"Johnny Hekker punts 44 yards, touchback.",0.330,-0.280
4,8:49,1,10,MIN 20,21,13,Alexander Mattison up the middle for 9 yards (tackle by Frankie Luvu and Chandler Wooten),0.280,0.950
4,8:10,2,1,MIN 29,21,13,Alexander Mattison left guard for -1 yards (tackle by Yetur Gross-Matos),0.950,0.100
4,7:38,3,2,MIN 28,21,13,Kirk Cousins pass incomplete deep right intended for Justin Jefferson,0.100,-1.500
4,7:25,4,2,MIN 28,21,13,"Ryan Wright punts 61 yards, returned by Ihmir Smith-Marsette for 15 yards (tackle by C.J. Ham)",-1.500,-0.670
4,7:20,1,10,CAR 26,21,13,Miles Sanders up the middle for 1 yard (tackle by Danielle Hunter and Dean Lowry),0.670,0.270
4,6:51,2,9,CAR 27,21,13,Bryce Young pass complete short left to Miles Sanders for 5 yards (tackle by Harrison Smith and Jordan Hicks),0.270,0.230
4,6:16,3,4,CAR 32,21,13,Bryce Young scrambles left end for 4 yards (tackle by Jordan Hicks),0.230,1.330
4,5:39,1,10,CAR 36,21,13,Bryce Young pass complete short right to Terrace Marshall for 6 yards (tackle by Camryn Bynum and Josh Metellus),1.330,1.600
4,5:10,2,4,CAR 42,21,13,Bryce Young pass complete deep left to DJ Chark for 18 yards (tackle by Jordan Hicks),1.600,2.920
4,4:42,1,10,MIN 40,21,13,Bryce Young pass complete short right to Adam Thielen for 4 yards (tackle by Camryn Bynum and Jordan Hicks),2.920,2.910
4,4:13,2,6,MIN 36,21,13,Bryce Young pass complete short right to Terrace Marshall for 14 yards (tackle by Ivan Pace),2.910,4.110
4,3:40,1,10,MIN 22,21,13,Chuba Hubbard up the middle for 6 yards (tackle by Camryn Bynum and Josh Metellus),4.110,4.460
4,3:10,2,4,MIN 16,21,13,Chuba Hubbard up the middle for 2 yards (tackle by Harrison Smith),4.460,4.150
4,2:31,3,2,MIN 14,21,13,Chuba Hubbard left guard for 1 yard (tackle by Josh Metellus and Patrick Jones),4.150,2.720
4,2:06,4,1,MIN 13,21,13,Chuba Hubbard right guard for 4 yards (tackle by Harrison Phillips),2.720,5.140
4,1:58,1,9,MIN 9,21,13,Bryce Young pass incomplete short left intended for Hayden Hurst (defended by Dean Lowry),5.140,4.380
4,1:55,2,9,MIN 9,21,13,Bryce Young sacked by Harrison Smith for -9 yards,4.380,2.630
4,1:10,,,,,,Timeout #1 by Carolina Panthers,,
4,1:10,3,18,MIN 18,21,13,Bryce Young pass incomplete deep left,2.630,2.250
4,1:01,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:01,4,18,MIN 18,21,13,Bryce Young sacked by Harrison Smith for -5 yards,2.250,-0.480
4,0:57,1,10,MIN 23,21,13,Alexander Mattison up the middle for 3 yards (tackle by Yetur Gross-Matos),0.480,0.340
4,0:53,,,,,,Timeout #2 by Carolina Panthers,,
4,0:53,2,7,MIN 26,21,13,Alexander Mattison left guard for 1 yard (tackle by Shy Tuttle),0.340,-0.230
4,0:48,,,,,,Timeout #3 by Carolina Panthers,,
4,0:48,3,6,MIN 27,21,13,Alexander Mattison right guard for 3 yards (tackle by Shy Tuttle),-0.230,-1.370
4,0:02,,,,,,Timeout #2 by Minnesota Vikings,,
4,0:02,4,3,MIN 30,21,13,Kirk Cousins pass incomplete deep right,-1.370,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
