Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
2,0:45,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:45,3,14,SFO 21,0,7,Taylor Heinicke pass complete short right to Curtis Samuel for 14 yards (tackle by Tashaun Gipson),2.680,5.600
2,0:30,,,,,,Timeout #1 by Washington Commanders,,
2,0:30,1,7,SFO 7,0,7,Antonio Gibson up the middle for 3 yards (tackle by Akeem Spence),5.600,5.340
2,0:27,,,,,,Timeout #2 by Washington Commanders,,
2,0:27,2,4,SFO 4,6,7,"Taylor Heinicke pass complete short right to Jahan Dotson for 4 yards, touchdown",5.340,7.000
2,0:22,,,SFO 15,7,7,Joey Slye kicks extra point good,0.000,0.000
2,0:22,,,WAS 35,7,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,0:22,1,10,SFO 25,7,7,Christian McCaffrey up the middle for 2 yards (tackle by Daron Payne and Jonathan Allen),0.610,0.330
Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,7,7,"Joey Slye kicks off 64 yards, returned by Ray-Ray McCloud for 23 yards (tackle by Jonathan Bostic and Cam Sims)",0.000,0.540
3,14:54,1,10,SFO 24,7,7,Brock Purdy pass complete short middle to Brandon Aiyuk for 13 yards (tackle by David Mayo),0.540,1.400
3,14:16,1,10,SFO 37,7,7,Brock Purdy pass complete short left to George Kittle for 13 yards (tackle by Jamin Davis and David Mayo),1.400,2.260
3,13:36,1,10,SFO 50,7,7,Christian McCaffrey left tackle for 3 yards (tackle by Jamin Davis and Jeremy Reaves),2.260,2.120
3,12:53,2,7,WAS 47,7,7,Christian McCaffrey left tackle for 7 yards (tackle by Jamin Davis and Benjamin St-Juste),2.120,2.920
3,12:08,1,10,WAS 40,7,7,Christian McCaffrey right tackle for 4 yards (tackle by Chase Young),2.920,2.910
3,11:26,2,6,WAS 36,7,7,Tyrion Davis-Price up the middle for 2 yards (tackle by Daron Payne),2.910,2.480
3,10:44,3,4,WAS 34,7,13,"Brock Purdy pass complete deep middle to George Kittle for 34 yards, touchdown",2.480,7.000
3,10:38,,,WAS 15,7,14,Robbie Gould kicks extra point good,0.000,0.000
3,10:38,,,SFO 35,7,14,"Robbie Gould kicks off 64 yards, recovered by Antonio Gibson at WAS-8 returned by Antonio Gibson for 3 yards (tackle by George Odum and Demetrius Flannigan-Fowles)",0.000,-0.370
3,10:32,1,10,WAS 11,7,14,Brian Robinson left guard for 2 yards (tackle by Fred Warner),-0.370,-0.630
3,9:52,2,8,WAS 13,7,14,Taylor Heinicke pass complete short right to Logan Thomas for 2 yards (tackle by Jimmie Ward),-0.630,-0.950
3,9:15,3,6,WAS 15,7,14,Taylor Heinicke pass incomplete short middle intended for Antonio Gibson,-0.950,-2.440
3,9:10,4,6,WAS 15,7,14,Tress Way punts 42 yards downed by Christian Holmes,-2.440,-1.800
3,8:59,1,10,SFO 43,7,14,Christian McCaffrey up the middle for 3 yards (tackle by Jamin Davis and David Mayo),1.800,1.660
3,8:17,2,7,SFO 46,7,14,"Brock Purdy pass complete short right to George Kittle for no gain (tackle by Darrick Forrest). Penalty on Aaron Banks: Offensive Holding, 10 yards (accepted) (no play)",1.660,0.310
3,8:01,2,17,SFO 36,7,14,Brock Purdy pass incomplete deep left,0.310,-0.360
3,7:52,3,17,SFO 36,7,14,Brock Purdy pass incomplete short left intended for Ray-Ray McCloud,-0.360,-0.980
3,7:49,4,17,SFO 36,7,14,"Mitch Wishnowsky punts 39 yards, fair catch by Dax Milne at WAS-25",-0.980,-0.610
3,7:42,1,10,WAS 25,7,14,Brian Robinson left tackle for 2 yards (tackle by Nick Bosa),0.610,0.330
3,7:03,2,8,WAS 27,7,14,Brian Robinson left guard for 4 yards (tackle by Dre Greenlaw and Deommodore Lenoir),0.330,0.170
3,6:22,3,4,WAS 31,7,14,Taylor Heinicke pass complete short left to Curtis Samuel for 3 yards (tackle by Jimmie Ward and Dre Greenlaw),0.170,-1.110
3,5:46,4,1,WAS 34,7,14,Taylor Heinicke up the middle for no gain (tackle by Nick Bosa and Fred Warner),-1.110,-3.310
3,5:43,1,10,WAS 34,7,14,Brock Purdy pass complete short left to Brandon Aiyuk for 1 yard (tackle by Jeremy Reaves),3.310,2.910
3,5:02,2,9,WAS 33,7,20,"Brock Purdy pass complete short left to George Kittle for 33 yards, touchdown",2.910,7.000
3,4:52,,,WAS 15,7,21,Robbie Gould kicks extra point good,0.000,0.000
3,4:52,,,SFO 35,7,21,"Robbie Gould kicks off 65 yards, touchback.",0.000,0.610
3,4:52,1,10,WAS 25,7,21,Taylor Heinicke pass complete short right to Jahan Dotson for 18 yards (tackle by Deommodore Lenoir),0.610,1.800
