Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
2,,,,ARI 35,10,3,"Jay Feely kicks off 71 yards, returned by David Reed for 23 yards (tackle by Sean Considine)",0.000,-0.060
2,8:18,1,10,BAL 17,10,3,Ray Rice right end for 1 yard (tackle by O'Brien Schofield),-0.060,-0.420
2,7:40,2,9,BAL 18,10,3,Joe Flacco up the middle for 10 yards (tackle by Daryl Washington),-0.420,0.810
2,7:00,1,10,BAL 28,10,3,Joe Flacco pass incomplete short right intended for Ray Rice,0.810,0.260
2,6:56,2,10,BAL 28,10,3,Joe Flacco pass incomplete short right intended for Dennis Pitta (defended by David Carter),0.260,-0.430
2,6:51,3,10,BAL 28,10,3,Joe Flacco pass complete short middle to Ray Rice for 6 yards (tackle by Calais Campbell). Penalty on Bryant McKinnie: Illegal Formation (Declined),-0.430,-1.110
2,6:25,4,4,BAL 34,16,3,"Sam Koch punts 48 yards, returned by Patrick Peterson for 82 yards, touchdown",-1.110,-7.000
2,,,,BAL 2,17,3,Jay Feely kicks extra point good,0.000,0.000
2,,,,ARI 35,17,3,"Jay Feely kicks off 73 yards, returned by David Reed for 27 yards (tackle by Jim Dray)",0.000,0.150
2,6:02,1,10,BAL 19,17,3,Joe Flacco pass incomplete intended for Torrey Smith is intercepted by Richard Marshall at BAL-26 and returned for 1 yard (tackle by Vonta Leach),0.150,-3.910
2,5:57,1,10,BAL 25,17,3,LaRod Stephens-Howling right tackle for 2 yards (tackle by Jameel McClain and Terrell Suggs),3.910,3.630
2,5:17,2,8,BAL 23,17,3,Kevin Kolb pass complete short right to Larry Fitzgerald for 13 yards (tackle by Lardarius Webb and Jameel McClain),3.630,4.910
2,4:33,1,10,BAL 10,17,3,Chris Wells left end for no gain (tackle by Terrell Suggs),4.910,4.190
2,3:52,2,10,BAL 10,23,3,"Kevin Kolb pass complete short left to Early Doucet for 10 yards, touchdown",4.190,7.000
2,,,,BAL 2,24,3,Jay Feely kicks extra point good,0.000,0.000
2,,,,ARI 35,24,3,"Jay Feely kicks off 73 yards, touchback",0.000,0.280
2,3:46,1,10,BAL 20,24,3,Joe Flacco pass complete short right to Ed Dickson for 5 yards (tackle by Paris Lenon),0.280,0.410
2,3:21,2,5,BAL 25,24,3,Joe Flacco pass complete short left to Dennis Pitta for 9 yards (tackle by Rashad Johnson),0.410,1.200
2,2:59,1,10,BAL 34,24,3,Joe Flacco pass complete short middle to Dennis Pitta for 12 yards (tackle by Clark Haggans),1.200,1.990
2,2:37,,,,24,3,Timeout #2 by Arizona Cardinals,0.000,1.990
2,2:37,1,10,BAL 46,24,3,Joe Flacco pass complete short middle to Ray Rice for 3 yards (tackle by Adrian Wilson),1.990,1.860
2,2:15,2,7,BAL 49,24,3,Joe Flacco pass complete short left to Ray Rice for 9 yards (tackle by Stewart Bradley),1.860,2.790
2,2:00,1,10,ARI 42,24,3,"Penalty on Andre Gurode: False Start, 5 yards (no play)",2.790,2.460
2,2:00,1,15,ARI 47,24,3,Joe Flacco pass incomplete deep right intended for Ed Dickson,2.460,1.570
2,1:55,2,15,ARI 47,24,3,Joe Flacco pass complete deep left to Anquan Boldin for 16 yards (tackle by A.J. Jefferson),1.570,3.510
2,1:49,1,10,ARI 31,24,3,Joe Flacco pass incomplete short right intended for Dennis Pitta (defended by Daryl Washington),3.510,2.970
2,1:45,2,10,ARI 31,24,3,Joe Flacco pass complete short right to Ray Rice for 4 yards (tackle by Adrian Wilson and Paris Lenon),2.970,2.810
2,1:38,,,,24,3,Timeout #1 by Baltimore Ravens,0.000,2.810
2,1:38,3,6,ARI 27,24,3,"Joe Flacco sacked by Clark Haggans for -7 yards. Penalty on Patrick Peterson: Illegal Contact, 5 yards (no play)",2.810,4.110
2,1:33,1,10,ARI 22,24,3,Joe Flacco pass incomplete deep right intended for Anquan Boldin (defended by Patrick Peterson),4.110,3.560
2,1:28,2,10,ARI 22,24,3,Joe Flacco pass complete short left to Ed Dickson for 4 yards (tackle by Michael Adams),3.560,3.400
2,1:24,3,6,ARI 18,24,3,Joe Flacco sacked by Calais Campbell and Paris Lenon for -11 yards,3.400,1.500
2,0:39,,,,24,3,Timeout #2 by Baltimore Ravens,0.000,1.500
2,0:39,4,17,ARI 29,24,6,Billy Cundiff 47 yard field goal good,1.500,3.000
2,,,,BAL 35,24,6,"Billy Cundiff kicks off 68 yards, returned by LaRod Stephens-Howling for 25 yards (tackle by Brendon Ayanbadejo)",0.000,0.410
2,0:27,1,10,ARI 22,24,6,Chris Wells left guard for 13 yards (tackle by Ed Reed and Bernard Pollard),0.410,1.270
Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,24,6,"Jay Feely kicks off 74 yards, touchback",0.000,0.280
3,15:00,1,10,BAL 20,24,6,Joe Flacco pass complete short middle to Ray Rice for -2 yards (tackle by Michael Adams),0.280,-0.630
3,14:27,2,12,BAL 18,24,6,Joe Flacco pass complete short left to Dennis Pitta for 8 yards (tackle by Richard Marshall),-0.630,-0.160
3,14:08,3,4,BAL 26,24,6,Joe Flacco pass complete short middle to Ed Dickson for 14 yards (tackle by Richard Marshall),-0.160,1.600
3,13:35,1,10,BAL 40,24,6,Ray Rice left guard for 4 yards (tackle by Sam Acho),1.600,1.590
3,13:10,2,6,BAL 44,24,6,Joe Flacco pass complete short left to Torrey Smith for 7 yards (tackle by Daryl Washington),1.590,2.320
3,12:44,1,10,ARI 49,24,6,Joe Flacco pass complete deep right to Anquan Boldin for 37 yards (tackle by A.J. Jefferson),2.320,4.780
3,12:22,1,10,ARI 12,24,6,"Joe Flacco pass incomplete short left intended for Anquan Boldin. Penalty on A.J. Jefferson: Defensive Pass Interference, 11 yards (no play)",4.780,6.970
3,12:17,1,1,ARI 1,24,12,"Ray Rice left guard for 1 yard, touchdown",6.970,7.000
3,,,,ARI 2,24,13,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,BAL 35,24,13,"Billy Cundiff kicks off 72 yards, returned by LaRod Stephens-Howling for 35 yards (tackle by Prescott Burgess). Penalty on Stewart Bradley: Offensive Holding, 10 yards",0.000,0.040
3,12:06,1,10,ARI 18,24,13,Chris Wells right guard for 4 yards (tackle by Haloti Ngata and Terrell Suggs),0.040,0.140
3,11:31,2,6,ARI 22,24,13,Chris Wells left guard for 16 yards (tackle by Ed Reed),0.140,1.470
3,10:49,1,10,ARI 38,24,13,LaRod Stephens-Howling right end for -2 yards (tackle by Jarret Johnson),1.470,0.650
3,10:06,2,12,ARI 36,24,13,LaRod Stephens-Howling right guard for 4 yards (tackle by Jarret Johnson),0.650,0.500
3,9:26,3,8,ARI 40,24,13,"Kevin Kolb pass incomplete short right intended for Larry Fitzgerald (defended by Cary Williams). Penalty on Levi Brown: False Start, 5 yards (no play)",0.500,-0.160
3,9:00,3,13,ARI 35,24,13,Kevin Kolb sacked by Chris Carr for -9 yards,-0.160,-1.630
3,8:36,4,22,ARI 26,24,13,"Dave Zastudil punts 52 yards, returned by Chris Carr for 7 yards (tackle by Reggie Walker). Penalty on Jimmy Smith: Offensive Holding, 10 yards",-1.630,-0.150
3,8:25,1,10,BAL 19,24,13,Joe Flacco pass complete short left to Dennis Pitta for 9 yards (tackle by Paris Lenon),0.150,0.880
3,7:53,2,1,BAL 28,24,13,Joe Flacco pass complete short right to Ed Dickson for 10 yards (tackle by Michael Adams),0.880,1.470
3,7:36,1,10,BAL 38,24,13,Joe Flacco pass incomplete short left intended for Ray Rice (defended by Adrian Wilson),1.470,0.920
3,7:31,2,10,BAL 38,24,13,"Joe Flacco sacked by Sam Acho for -10 yards. Joe Flacco fumbles (forced by Sam Acho), recovered by Bryant McKinnie at BAL-26",0.920,-1.350
3,6:49,3,22,BAL 26,24,13,Joe Flacco pass incomplete deep middle intended for Ed Dickson,-1.350,-1.630
3,6:40,4,22,BAL 26,24,13,"Sam Koch punts 44 yards, returned by Patrick Peterson for 16 yards (tackle by Haruki Nakamura). Penalty on LaQuan Williams: Player Out of Bounds on Punt, 5 yards",-1.630,-2.320
3,6:35,1,10,BAL 49,24,13,Kevin Kolb sacked by Bernard Pollard for -10 yards,2.320,0.430
3,6:00,2,20,ARI 41,24,13,LaRod Stephens-Howling up the middle for 4 yards (tackle by Haloti Ngata and Chris Carr),0.430,0.300
3,5:21,3,16,ARI 45,24,13,Kevin Kolb pass complete short left to Rob Housler for 3 yards (tackle by Bernard Pollard),0.300,-0.190
3,4:51,4,13,ARI 48,24,13,"Dave Zastudil punts 40 yards, fair catch by Chris Carr",-0.190,0.350
3,4:44,1,10,BAL 12,24,13,Joe Flacco pass incomplete deep right intended for Ed Dickson (defended by Michael Adams),-0.350,-0.780
3,4:39,2,10,BAL 12,24,13,Joe Flacco pass complete deep left to Anquan Boldin for 23 yards (tackle by A.J. Jefferson),-0.780,1.270
3,4:08,1,10,BAL 35,24,13,Joe Flacco pass complete short left to Anquan Boldin for 9 yards (tackle by A.J. Jefferson),1.270,1.940
3,3:30,2,1,BAL 44,24,13,Joe Flacco up the middle for 3 yards (tackle by Calais Campbell),1.940,2.060
3,3:12,1,10,BAL 47,24,13,"Joe Flacco pass complete short right to Ricky Williams for 3 yards (tackle by Michael Adams). Penalty on Andre Gurode: Illegal Use of Hands, 10 yards (no play)",2.060,1.400
3,3:04,1,20,BAL 37,24,13,Joe Flacco pass complete deep left to Anquan Boldin for 27 yards,1.400,3.180
3,2:31,1,10,ARI 36,24,13,Joe Flacco pass complete short left to Ricky Williams for 4 yards (tackle by Rashad Johnson),3.180,3.180
3,2:15,2,6,ARI 32,24,13,Joe Flacco pass complete deep left to Anquan Boldin for 21 yards (tackle by A.J. Jefferson),3.180,4.840
3,2:06,1,10,ARI 11,24,13,Joe Flacco pass incomplete short left intended for Anquan Boldin,4.840,4.140
3,1:47,2,10,ARI 11,24,13,Joe Flacco pass incomplete short left intended for Anquan Boldin,4.140,3.130
3,1:41,3,10,ARI 11,24,13,"Joe Flacco pass incomplete short middle intended for Anquan Boldin (defended by Patrick Peterson). Penalty on Patrick Peterson: Defensive Pass Interference, 10 yards (no play)",3.130,6.970
3,1:37,1,1,ARI 1,24,19,"Ray Rice up the middle for 1 yard, touchdown",6.970,7.000
3,,,,ARI 2,24,20,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,BAL 35,24,20,"Billy Cundiff kicks off 69 yards, returned by LaRod Stephens-Howling for 25 yards (tackle by Albert McClellan)",0.000,0.340
3,1:26,1,10,ARI 21,24,20,Kevin Kolb pass incomplete short middle intended for LaRod Stephens-Howling is intercepted by Jameel McClain at ARI-30 and returned for 8 yards,0.340,-4.110
3,1:17,1,10,ARI 22,24,20,Ray Rice right guard for 4 yards (tackle by Daryl Washington and Calais Campbell),4.110,4.130
3,0:40,2,6,ARI 18,24,20,Ray Rice right tackle for 3 yards (tackle by Adrian Wilson),4.130,3.930
3,0:07,3,3,ARI 15,24,20,"Joe Flacco pass incomplete short right intended for Anquan Boldin. Penalty on Richard Marshall: Defensive Pass Interference, 12 yards (no play)",3.930,6.510
Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,3,ARI 3,24,26,"Ray Rice right tackle for 3 yards, touchdown",6.510,7.000
4,,,,ARI 2,24,27,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,BAL 35,24,27,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
4,14:55,1,10,ARI 20,24,27,Chris Wells left guard for 2 yards (tackle by Brandon McKinney),0.280,0.000
4,14:11,2,8,ARI 22,24,27,Kevin Kolb pass complete deep right to Larry Fitzgerald for 19 yards (tackle by Ray Lewis),0.000,1.660
4,13:42,1,10,ARI 41,24,27,Chris Wells left tackle for 3 yards (tackle by Terrell Suggs),1.660,1.530
4,13:05,2,7,ARI 44,24,27,Kevin Kolb pass incomplete short right intended for Early Doucet (defended by Ray Lewis),1.530,0.830
4,12:59,3,7,ARI 44,24,27,"Kevin Kolb sacked by Ray Lewis for -4 yards. Kevin Kolb fumbles, recovered by Kevin Kolb at ARI-40. Penalty on Cary Williams: Defensive Holding, 5 yards (no play)",0.830,2.190
4,12:27,1,10,ARI 49,24,27,"Kevin Kolb pass incomplete deep left intended for Larry Fitzgerald. Penalty on Larry Fitzgerald: Offensive Pass Interference, 10 yards (no play)",2.190,1.530
4,12:22,1,20,ARI 39,24,27,"Kevin Kolb pass incomplete intended for Andre Roberts is intercepted by Ed Reed at BAL-28. Penalty on Lardarius Webb: Defensive Pass Interference, 20 yards (no play)",1.530,2.850
4,12:14,1,10,BAL 41,24,27,Chris Wells left tackle for 7 yards (tackle by Jarret Johnson and Jameel McClain),2.850,3.250
4,11:34,2,3,BAL 34,24,27,Chris Wells right end for 2 yards (tackle by Bernard Pollard),3.250,2.810
4,10:59,,,,24,27,Timeout #1 by Arizona Cardinals,0.000,2.810
4,10:59,3,1,BAL 32,24,27,Chris Wells up the middle for no gain (tackle by Haloti Ngata and Terrell Suggs),2.810,1.310
4,10:25,4,1,BAL 32,24,27,Chris Wells left guard for 4 yards (tackle by Cary Williams),1.310,3.710
4,9:51,1,10,BAL 28,24,27,Alfonso Smith right guard for 1 yard (tackle by Jameel McClain and Terrell Suggs),3.710,3.300
4,9:11,2,9,BAL 27,24,27,Kevin Kolb pass incomplete short middle intended for Andre Roberts (defended by Cary Williams),3.300,2.610
4,9:02,3,9,BAL 27,24,27,Kevin Kolb pass incomplete short right intended for Early Doucet,2.610,1.670
4,8:59,4,9,BAL 27,27,27,Jay Feely 45 yard field goal good,1.670,3.000
4,,,,ARI 35,27,27,"Jay Feely kicks off 70 yards, returned by David Reed for 25 yards (tackle by Richard Marshall)",0.000,0.280
4,8:48,1,10,BAL 20,27,27,"Joe Flacco pass complete short middle to Ray Rice for 7 yards (tackle by David Carter). Penalty on Ray Rice: Unsportsmanlike Conduct, 14 yards",0.280,-1.280
4,8:18,2,17,BAL 13,27,27,Joe Flacco pass incomplete deep right intended for Torrey Smith,-1.280,-2.190
4,8:10,3,17,BAL 13,27,27,Joe Flacco pass incomplete deep middle intended for Torrey Smith,-2.190,-2.490
4,8:06,4,17,BAL 13,27,27,Sam Koch punts 47 yards,-2.490,-1.990
4,7:58,1,10,ARI 46,27,27,Chris Wells right tackle for -2 yards (tackle by Terrell Suggs),1.990,1.180
4,7:24,,,,27,27,Timeout #2 by Arizona Cardinals,0.000,1.180
4,7:24,2,12,ARI 44,27,27,Kevin Kolb pass complete short left to Jeff King for 2 yards (tackle by Tom Zbikowski),1.180,0.760
4,6:43,3,10,ARI 46,27,27,Kevin Kolb pass complete short middle to Chester Taylor for 3 yards (tackle by Bernard Pollard and Ray Lewis),0.760,-0.130
4,6:08,4,7,ARI 49,27,27,Dave Zastudil punts 37 yards,-0.130,0.280
4,5:57,1,10,BAL 14,27,27,Joe Flacco pass complete short left to Ed Dickson for 9 yards (tackle by Michael Adams),-0.280,0.550
4,5:43,2,1,BAL 23,27,27,Joe Flacco up the middle for 4 yards (tackle by Calais Campbell),0.550,0.740
4,5:18,1,10,BAL 27,27,27,"Joe Flacco pass complete short right to Ricky Williams for 4 yards (tackle by Paris Lenon). Penalty on Calais Campbell: Roughing the Passer, 15 yards",0.740,1.990
4,5:07,1,10,BAL 46,27,27,Ricky Williams left guard for 2 yards (tackle by Michael Adams),1.990,1.720
4,4:38,2,8,BAL 48,27,27,Joe Flacco pass complete short middle to Ray Rice for 9 yards (tackle by Michael Adams),1.720,2.720
4,4:05,1,10,ARI 43,27,27,Joe Flacco pass complete short right to Dennis Pitta for 3 yards (tackle by Rashad Johnson and Clark Haggans),2.720,2.580
4,3:30,2,7,ARI 40,27,27,Joe Flacco pass incomplete short right intended for LaQuan Williams (defended by Richard Marshall),2.580,1.880
4,3:25,3,7,ARI 40,27,27,"Penalty on Matt Birk: False Start, 5 yards (no play)",1.880,1.220
4,3:25,3,12,ARI 45,27,27,Joe Flacco pass incomplete deep middle intended for Torrey Smith,1.220,0.270
4,3:18,4,12,ARI 45,27,27,"Sam Koch punts 40 yards. Penalty on A.J. Jefferson: Offensive Holding, 3 yards",0.270,0.380
4,3:07,1,10,ARI 2,27,27,"Penalty on Daryn Colledge: False Start, 1 yards (no play)",-0.380,-0.420
4,3:07,1,11,ARI 1,27,27,Chris Wells left tackle for 6 yards (tackle by Jarret Johnson and Cary Williams),-0.420,-0.420
4,2:32,2,5,ARI 7,27,27,Chris Wells right guard for 1 yard (tackle by Terrell Suggs),-0.420,-0.720
4,2:00,3,4,ARI 8,27,27,Kevin Kolb right end for 5 yards (tackle by Ed Reed),-0.720,-0.320
4,1:52,1,10,ARI 13,27,27,Kevin Kolb pass incomplete short left intended for Andre Roberts,-0.320,-0.770
4,1:48,2,10,ARI 13,27,27,Chris Wells left guard for 2 yards (tackle by Ray Lewis),-0.770,-1.180
4,1:07,3,8,ARI 15,27,27,Kevin Kolb sacked by Paul Kruger for -9 yards,-1.180,-2.490
4,1:02,,,,27,27,Timeout #1 by Baltimore Ravens,0.000,-2.490
4,1:02,4,17,ARI 6,27,27,"Dave Zastudil punts 46 yards, returned by Chris Carr for 8 yards (tackle by Hamza Abdullah)",-2.490,-2.650
4,0:52,1,10,ARI 44,27,27,Joe Flacco pass complete short left to Dennis Pitta for 3 yards (tackle by Rashad Johnson),2.650,2.520
4,0:48,2,7,ARI 41,27,27,Joe Flacco pass complete deep right to Torrey Smith for 36 yards (tackle by Richard Marshall),2.520,6.060
4,0:42,1,5,ARI 5,27,27,Ray Rice right guard for no gain (tackle by Dan Williams),6.060,5.150
4,0:36,,,,27,27,Timeout #3 by Arizona Cardinals,0.000,5.150
4,0:35,2,5,ARI 5,27,27,Joe Flacco kneels for -2 yards (tackle by Darnell Dockett),5.150,3.810
4,0:03,,,,27,27,Timeout #2 by Baltimore Ravens,0.000,3.810
4,0:03,3,7,ARI 7,27,30,Billy Cundiff 25 yard field goal good,3.810,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
