Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
1,3:08,1,10,NYG 15,0,0,Mitchell Trubisky right end for 2 yards (tackle by Jabrill Peppers),4.580,4.280
1,2:27,2,8,NYG 13,0,0,Mitchell Trubisky pass complete short middle to Tarik Cohen for -1 yards (tackle by Deandre Baker),4.280,3.240
1,1:49,3,9,NYG 14,0,0,Mitchell Trubisky pass short middle intended for Anthony Miller is intercepted by Alec Ogletree at NYG-0 and returned for no gain. Penalty on Bobby Massie: Illegal Use of Hands (Declined),3.240,-0.280
1,1:43,1,10,NYG 20,0,0,Daniel Jones pass incomplete deep left intended for Sterling Shepard,0.280,-0.270
1,1:38,2,10,NYG 20,0,0,Saquon Barkley right guard for 13 yards (tackle by Roquan Smith and Eddie Jackson),-0.270,1.140
1,0:59,1,10,NYG 33,0,0,Wayne Gallman right guard for 1 yard (tackle by Eddie Goldman),1.140,0.730
1,0:21,2,9,NYG 34,0,0,Daniel Jones pass complete short right to Kaden Smith for 2 yards (tackle by Bilal Nichols),0.730,0.300
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,NYG 36,0,0,Daniel Jones pass incomplete short middle intended for Golden Tate,0.300,-0.980
2,14:55,4,7,NYG 36,0,0,"Riley Dixon punts 55 yards, returned by Tarik Cohen for 1 yard (tackle by Cody Core). Penalty on Joel Iyiegbuniwe: Illegal Blindside Block, 5 yards",-0.980,0.380
2,14:43,1,10,CHI 5,0,0,David Montgomery right end for -1 yards (tackle by David Mayo),-0.380,-0.850
2,14:03,2,11,CHI 4,0,0,Mitchell Trubisky pass incomplete short right intended for Allen Robinson (defended by Janoris Jenkins),-0.850,-1.540
2,13:58,3,11,CHI 4,0,0,Mitchell Trubisky left tackle for 12 yards (tackle by Jabrill Peppers),-1.540,-0.140
2,13:08,1,10,CHI 16,0,0,"Tarik Cohen right guard for -2 yards (tackle by Leonard Williams). Penalty on Bobby Massie: Offensive Holding, 8 yards (no play)",-0.140,-0.680
2,12:45,1,18,CHI 8,0,0,Mitchell Trubisky pass incomplete deep right intended for Taylor Gabriel,-0.680,-1.360
2,12:38,2,18,CHI 8,0,0,Mitchell Trubisky pass complete short right to David Montgomery for 8 yards (tackle by Jabrill Peppers and Leonard Williams),-1.360,-1.320
2,11:55,3,10,CHI 16,0,0,"Mitchell Trubisky pass complete deep middle to Allen Robinson for 60 yards (tackle by Julian Love). Penalty on Cody Whitehair: Illegal Use of Hands, 8 yards (no play)",-1.320,-2.360
2,11:16,3,18,CHI 8,0,0,Mitchell Trubisky pass incomplete short middle intended for Taylor Gabriel,-2.360,-2.490
2,11:11,4,18,CHI 8,0,0,"Pat O'Donnell punts 46 yards, returned by Golden Tate for 12 yards (tackle by Patrick Scales)",-2.490,-2.790
2,11:02,1,10,CHI 42,0,0,Sterling Shepard left end for 22 yards (tackle by Ha Ha Clinton-Dix),2.790,4.240
2,10:26,1,10,CHI 20,0,0,Saquon Barkley left end for 2 yards (tackle by Prince Amukamara),4.240,3.960
2,9:49,2,8,CHI 18,0,0,Daniel Jones pass complete short middle to Scott Simonson for 10 yards (tackle by Nick Kwiatkoski),3.960,5.370
2,9:10,1,8,CHI 8,0,0,Saquon Barkley right tackle for 1 yard (tackle by Nick Williams),5.370,4.760
2,8:26,2,7,CHI 7,0,0,"Daniel Jones pass incomplete short right intended for Darius Slayton. Penalty on Kyle Fuller: Defensive Holding, 4 yards (no play)",4.760,6.510
2,8:19,1,3,CHI 3,0,0,Saquon Barkley left guard for no gain (tackle by Ha Ha Clinton-Dix and Khalil Mack),6.510,5.530
2,7:43,2,3,CHI 3,6,0,"Daniel Jones pass complete short left to Kaden Smith for 3 yards, touchdown",5.530,7.000
2,7:38,,,CHI 15,7,0,Aldrick Rosas kicks extra point good,0.000,0.000
2,7:38,,,NYG 35,7,0,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
2,7:38,1,10,CHI 25,7,0,Mitchell Trubisky pass incomplete short left intended for Anthony Miller,0.610,0.060
2,7:32,2,10,CHI 25,7,0,Mitchell Trubisky pass incomplete short left intended for Tarik Cohen (defended by David Mayo),0.060,-0.620
2,7:27,3,10,CHI 25,7,0,Mitchell Trubisky sacked by Markus Golden for -7 yards,-0.620,-2.240
2,6:54,4,17,CHI 18,7,0,"Pat O'Donnell punts 51 yards, returned by Jabrill Peppers for 40 yards (tackle by Josh Woods and Cordarrelle Patterson)",-2.240,-3.640
2,6:38,1,10,CHI 29,7,0,Saquon Barkley left guard for 5 yards (tackle by Bilal Nichols),3.640,3.780
2,5:59,2,5,CHI 24,7,0,Daniel Jones pass incomplete short right intended for Sterling Shepard,3.780,3.070
2,5:54,3,5,CHI 24,7,0,Daniel Jones pass incomplete short left intended for Darius Slayton,3.070,1.920
2,5:50,4,5,CHI 24,7,0,Aldrick Rosas 42 yard field goal no good,1.920,-1.070
2,5:45,1,10,CHI 32,7,0,David Montgomery right tackle for 2 yards (tackle by Deone Bucannon),1.070,0.800
2,5:11,2,8,CHI 34,7,0,Tarik Cohen right tackle for 1 yard (tackle by Oshane Ximines),0.800,0.230
2,4:33,3,7,CHI 35,7,0,Mitchell Trubisky pass incomplete short right intended for Ben Braunecker,0.230,-1.040
2,4:25,4,7,CHI 35,7,0,Pat O'Donnell punts 13 yards out of bounds,-1.040,-2.390
2,4:18,1,10,CHI 48,7,0,Daniel Jones pass complete short middle to Darius Slayton for 18 yards (tackle by Ha Ha Clinton-Dix),2.390,3.580
2,3:48,1,10,CHI 30,7,0,Saquon Barkley left guard for 4 yards (tackle by Roquan Smith),3.580,3.570
2,3:10,2,6,CHI 26,7,0,Saquon Barkley left guard for 5 yards (tackle by Ha Ha Clinton-Dix),3.570,3.530
2,2:31,3,1,CHI 21,7,0,Saquon Barkley right end for -4 yards (tackle by Leonard Floyd and Eddie Jackson),3.530,1.850
2,2:00,4,5,CHI 25,7,0,Aldrick Rosas 43 yard field goal no good,1.850,-1.140
2,1:55,1,10,CHI 33,7,0,Mitchell Trubisky pass complete short right to Anthony Miller for 16 yards,1.140,2.190
2,1:50,1,10,CHI 49,7,0,Tarik Cohen left guard for 13 yards (tackle by Julian Love),2.190,3.050
2,1:26,1,10,NYG 38,7,0,Mitchell Trubisky pass complete short middle to Anthony Miller for 14 yards (tackle by Corey Ballentine),3.050,3.970
2,1:05,1,10,NYG 24,7,0,Mitchell Trubisky up the middle for 5 yards (tackle by Lorenzo Carter),3.970,4.120
2,0:58,,,,,,Timeout #1 by Chicago Bears,,
2,0:58,2,5,NYG 19,7,0,Mitchell Trubisky pass complete short right to Anthony Miller for 6 yards (tackle by Jabrill Peppers),4.120,4.710
2,0:33,1,10,NYG 13,7,0,Mitchell Trubisky pass complete short left to Anthony Miller for 6 yards (tackle by Corey Ballentine),4.710,5.150
2,0:27,,,,,,Timeout #2 by Chicago Bears,,
2,0:27,2,4,NYG 7,7,0,Mitchell Trubisky sacked by Lorenzo Carter for -1 yards,5.150,4.100
2,0:16,,,,,,Timeout #3 by Chicago Bears,,
2,0:16,3,5,NYG 8,7,0,Mitchell Trubisky pass incomplete short left intended for Allen Robinson,4.100,2.970
2,0:11,4,5,NYG 8,7,3,Eddy Pineiro 26 yard field goal good,2.970,3.000
2,0:08,,,CHI 35,7,3,"Eddy Pineiro kicks off 64 yards, returned by Jabrill Peppers for 23 yards (tackle by Jesper Horsted)",0.000,1.270
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,7,3,"Aldrick Rosas kicks off 25 yards, out of bounds",0.000,1.600
3,15:00,1,10,CHI 40,7,3,David Montgomery left tackle for no gain (tackle by David Mayo),1.600,1.050
3,14:14,2,10,CHI 40,7,3,Mitchell Trubisky pass complete deep left to Allen Robinson for 23 yards (tackle by Corey Ballentine),1.050,3.120
3,13:29,1,10,NYG 37,7,3,Mitchell Trubisky pass incomplete deep middle intended for David Montgomery,3.120,2.570
3,13:23,2,10,NYG 37,7,3,Mitchell Trubisky pass complete short right to Tarik Cohen for no gain (tackle by Corey Ballentine),2.570,1.880
3,12:41,3,10,NYG 37,7,3,"Mitchell Trubisky sacked by Markus Golden for no gain. Penalty on Janoris Jenkins: Defensive Holding, 5 yards (no play)",1.880,3.450
3,12:19,1,10,NYG 32,7,9,"Mitchell Trubisky pass complete deep middle to Allen Robinson for 32 yards, touchdown",3.450,7.000
3,12:12,,,NYG 15,7,10,Eddy Pineiro kicks extra point good,0.000,0.000
3,12:12,,,CHI 35,7,10,"Eddy Pineiro kicks off 65 yards, returned by Cody Latimer for 25 yards (tackle by Kevin Pierre-Louis)",0.000,0.610
3,12:06,1,10,NYG 25,7,10,Saquon Barkley right guard for 2 yards (tackle by Eddie Goldman),0.610,0.330
3,11:25,2,8,NYG 27,7,10,Daniel Jones pass complete short right to Saquon Barkley for 1 yard (tackle by Kyle Fuller),0.330,-0.230
3,10:48,3,7,NYG 28,7,10,Daniel Jones pass complete short middle to Golden Tate for 4 yards (tackle by Buster Skrine),-0.230,-1.240
3,10:01,4,3,NYG 32,7,10,Riley Dixon punts 62 yards downed by Antonio Hamilton,-1.240,0.380
3,9:47,1,10,CHI 6,7,10,Mitchell Trubisky pass incomplete short left intended for Tarik Cohen (defended by Lorenzo Carter),-0.380,-0.780
3,9:44,2,10,CHI 6,7,10,Mitchell Trubisky pass complete deep right to Allen Robinson for 49 yards (tackle by Corey Ballentine),-0.780,2.590
3,9:02,1,10,NYG 45,7,10,Mitchell Trubisky pass complete deep left to Anthony Miller for 22 yards (tackle by Corey Ballentine),2.590,4.040
3,8:45,1,10,NYG 23,7,10,Mitchell Trubisky pass complete short right to Anthony Miller for 13 yards (tackle by Corey Ballentine),4.040,4.910
3,8:03,1,10,NYG 10,7,10,Mitchell Trubisky pass complete short right to Jesper Horsted for 4 yards (tackle by Deone Bucannon and Janoris Jenkins),4.910,4.950
3,7:23,2,6,NYG 6,7,10,Mitchell Trubisky pass incomplete short right intended for Anthony Miller (defended by Janoris Jenkins),4.950,4.040
3,7:17,3,6,NYG 6,7,10,Mitchell Trubisky pass incomplete short left intended for Allen Robinson,4.040,2.990
3,7:12,4,6,NYG 6,7,13,Eddy Pineiro 24 yard field goal good,2.990,3.000
3,7:09,,,CHI 35,7,13,"Eddy Pineiro kicks off 61 yards, returned by Cody Latimer for 19 yards (tackle by Ben Braunecker)",0.000,0.480
3,7:02,1,10,NYG 23,7,13,"Daniel Jones sacked by Khalil Mack for -16 yards. Daniel Jones fumbles (forced by Khalil Mack), recovered by Nick Williams at NYG-7 and returned for 4 yards (tackle by Kevin Zeitler)",0.480,-6.510
3,6:54,1,3,NYG 3,7,13,David Montgomery right tackle for no gain (tackle by Dalvin Tomlinson),6.510,5.530
3,6:11,2,3,NYG 3,7,13,David Montgomery right guard for 1 yard (tackle by Dexter Lawrence),5.530,4.950
3,5:23,3,2,NYG 2,7,19,"Mitchell Trubisky right end for 2 yards, touchdown",4.950,7.000
3,5:19,,,,,,Timeout #1 by Chicago Bears,,
3,5:19,,,NYG 2,7,19,"Two Point Attempt: Mitchell Trubisky pass complete to Taylor Gabriel, conversion succeeds. Penalty on Allen Robinson: Offensive Pass Interference, 23 yards (no play)",1.000,1.000
3,5:19,,,NYG 25,7,19,"Penalty on Brent Urban: Illegal Substitution, 5 yards (no play)",1.000,0.000
3,5:19,,,NYG 30,7,19,Eddy Pineiro kicks extra point no good wide left,0.000,-1.000
3,5:19,,,CHI 35,7,19,"Eddy Pineiro kicks off 66 yards, returned by Cody Latimer for 19 yards (tackle by Joel Iyiegbuniwe)",0.000,0.040
3,5:14,1,10,NYG 18,7,19,Daniel Jones pass complete short right to Saquon Barkley for no gain (tackle by Kyle Fuller),0.040,-0.490
3,4:35,2,10,NYG 18,7,19,Daniel Jones right guard for 1 yard (tackle by Nick Williams),-0.490,-1.040
3,3:53,3,9,NYG 19,7,19,Daniel Jones pass incomplete deep middle intended for Golden Tate (defended by Nick Kwiatkoski),-1.040,-2.140
3,3:47,4,9,NYG 19,7,19,Riley Dixon punts 57 yards out of bounds,-2.140,-0.540
3,3:37,1,10,CHI 24,7,19,Mitchell Trubisky pass complete short left to Tarik Cohen for 7 yards (tackle by David Mayo),0.540,0.940
3,2:55,2,3,CHI 31,7,19,Tarik Cohen right guard for 3 yards (tackle by David Mayo),0.940,1.200
3,2:13,1,10,CHI 34,7,19,Tarik Cohen right end for 1 yard (tackle by Janoris Jenkins),1.200,0.790
3,1:44,2,9,CHI 35,7,19,"Penalty on Lorenzo Carter: Neutral Zone Infraction, 5 yards (no play)",0.790,1.470
3,1:19,2,4,CHI 40,7,19,Mitchell Trubisky pass complete short right to Ben Braunecker for 4 yards (tackle by Antoine Bethea),1.470,1.860
3,0:53,1,10,CHI 44,7,19,David Montgomery right tackle for -1 yards (tackle by Markus Golden and David Mayo),1.860,1.180
3,0:09,2,11,CHI 43,7,19,Mitchell Trubisky pass complete short right to David Montgomery for 1 yard (tackle by R.J. McIntosh and David Mayo),1.180,0.630
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,10,CHI 44,7,19,Mitchell Trubisky pass deep left intended for Javon Wims is intercepted by Julian Love at NYG-20 and returned for 30 yards,0.630,-2.260
4,14:45,1,10,NYG 50,7,19,Saquon Barkley right end for -5 yards (tackle by Buster Skrine),2.260,1.040
4,14:00,2,15,NYG 45,7,19,Daniel Jones pass incomplete short right intended for Sterling Shepard (defended by Kyle Fuller). Penalty on Sterling Shepard: Offensive Pass Interference (Declined),1.040,0.370
4,13:56,3,15,NYG 45,7,19,Daniel Jones pass complete short left to Kaden Smith for 11 yards (tackle by Roquan Smith and Buster Skrine),0.370,0.330
4,13:04,4,4,CHI 44,7,19,Daniel Jones pass complete short right to Sterling Shepard for 1 yard (tackle by Ha Ha Clinton-Dix),0.330,-1.800
4,12:58,1,10,CHI 43,7,19,David Montgomery right guard for 4 yards (tackle by David Mayo and Lorenzo Carter),1.800,1.790
4,12:20,2,6,CHI 47,7,19,David Montgomery left guard for 4 yards (tackle by Dexter Lawrence),1.790,1.620
4,11:45,3,2,NYG 49,7,19,Mitchell Trubisky pass complete short middle to Allen Robinson for 9 yards (tackle by Janoris Jenkins),1.620,2.920
4,11:06,1,10,NYG 40,7,19,David Montgomery right guard for no gain (tackle by Dalvin Tomlinson),2.920,2.370
4,10:28,2,10,NYG 40,7,19,Mitchell Trubisky pass incomplete deep left intended for Javon Wims,2.370,1.680
4,10:23,3,10,NYG 40,7,19,Tarik Cohen left guard for 3 yards (tackle by Lorenzo Carter and Alec Ogletree),1.680,0.790
4,9:37,4,7,NYG 37,7,19,Penalty on Josh Woods: False Start (Declined),0.790,0.790
4,9:13,4,7,NYG 37,7,19,Pat O'Donnell punts 34 yards downed by Cordarrelle Patterson,0.790,0.380
4,9:05,1,10,NYG 3,7,19,Daniel Jones pass complete short middle to Golden Tate for 6 yards (tackle by Ha Ha Clinton-Dix),-0.380,-0.340
4,8:36,2,4,NYG 9,7,19,Daniel Jones pass complete short middle to Sterling Shepard for 5 yards (tackle by Nick Kwiatkoski),-0.340,-0.280
4,8:07,1,10,NYG 14,7,19,Daniel Jones left end for 26 yards (tackle by Buster Skrine),-0.280,1.600
4,7:36,1,10,NYG 40,7,19,Saquon Barkley left guard for 4 yards (tackle by Isaiah Irving),1.600,1.590
4,7:07,2,6,NYG 44,7,19,Daniel Jones pass complete short left to Darius Slayton for 19 yards (tackle by Prince Amukamara),1.590,3.120
4,6:37,1,10,CHI 37,7,19,"Daniel Jones pass incomplete short middle intended for Darius Slayton (defended by Ha Ha Clinton-Dix). Penalty on Jon Halapio: Ineligible Downfield Pass, 5 yards (no play)",3.120,2.790
4,6:31,1,15,CHI 42,7,19,Saquon Barkley left guard for 5 yards (tackle by Roy Robertson-Harris),2.790,2.570
4,6:00,2,10,CHI 37,7,19,Saquon Barkley right tackle for 22 yards (tackle by Eddie Jackson),2.570,4.580
4,5:31,1,10,CHI 15,7,19,Daniel Jones pass complete short middle to Sterling Shepard for -3 yards (tackle by Nick Kwiatkoski),4.580,3.560
4,5:03,2,13,CHI 18,7,19,Daniel Jones pass incomplete deep left,3.560,2.890
4,4:54,3,13,CHI 18,7,19,Daniel Jones pass complete short right to Kaden Smith for -5 yards (tackle by Roquan Smith),2.890,1.930
4,4:17,4,18,CHI 23,13,19,"Daniel Jones pass complete deep left to Golden Tate for 23 yards, touchdown, touchdown",1.930,7.000
4,4:10,,,CHI 15,14,19,Aldrick Rosas kicks extra point good,0.000,0.000
4,4:10,,,NYG 35,14,19,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
4,4:10,1,10,CHI 25,14,19,David Montgomery left end for 2 yards (tackle by Dalvin Tomlinson),0.610,0.330
4,4:05,,,,,,Timeout #1 by New York Giants,,
4,4:05,2,8,CHI 27,14,19,Mitchell Trubisky pass complete short middle to Tarik Cohen for 7 yards (tackle by Alec Ogletree),0.330,0.560
4,3:54,,,,,,Timeout #2 by New York Giants,,
4,3:54,3,1,CHI 34,14,19,David Montgomery left guard for -1 yards (tackle by Markus Golden),0.560,-1.180
4,3:48,,,,,,Timeout #3 by New York Giants,,
4,3:48,4,2,CHI 33,14,19,Pat O'Donnell punts 61 yards downed by Deon Bush,-1.180,0.380
4,3:37,1,10,NYG 6,14,19,Daniel Jones pass incomplete short left intended for Golden Tate,-0.380,-0.780
4,3:33,2,10,NYG 6,14,19,Daniel Jones pass complete short middle to Sterling Shepard for 6 yards (tackle by Nick Kwiatkoski),-0.780,-0.720
4,3:01,3,4,NYG 12,14,19,Daniel Jones pass incomplete short middle intended for Kaden Smith (defended by Ha Ha Clinton-Dix),-0.720,-2.490
4,2:55,4,4,NYG 12,14,19,Daniel Jones pass complete short left to Darius Slayton for 17 yards (tackle by Prince Amukamara),-2.490,0.870
4,2:22,1,10,NYG 29,14,19,Daniel Jones pass complete short right to Kaden Smith for 6 yards (tackle by Eddie Jackson),0.870,1.140
4,2:00,2,4,NYG 35,14,19,Daniel Jones pass incomplete short right intended for Sterling Shepard,1.140,0.430
4,1:55,3,4,NYG 35,14,19,Daniel Jones pass incomplete short left intended for Darius Slayton,0.430,-1.040
4,1:50,4,4,NYG 35,14,19,Daniel Jones pass incomplete short left intended for Darius Slayton (defended by Prince Amukamara),-1.040,-3.250
4,1:43,1,10,NYG 35,14,19,Mitchell Trubisky kneels for -1 yards,3.250,2.570
4,1:01,2,11,NYG 36,14,19,Mitchell Trubisky kneels for -1 yards,2.570,1.750
4,0:24,3,12,NYG 37,14,19,Mitchell Trubisky kneels for -1 yards,1.750,0.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
