Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
3,14:54,1,10,ARI 27,9,10,LaRod Stephens-Howling right tackle for 3 yards (tackle by George Wilson),0.740,0.600
3,14:18,2,7,ARI 30,9,10,Kevin Kolb sacked by Mario Williams for -4 yards,0.600,-0.620
3,13:43,3,11,ARI 26,9,10,Kevin Kolb pass complete short right to Early Doucet for 1 yard (tackle by Bryan Scott),-0.620,-1.570
3,13:05,4,10,ARI 27,9,10,"Dave Zastudil punts 53 yards, returned by Leodis McKelvin for 10 yards (tackle by James Sanders). Penalty on Stephon Gilmore: Illegal Block Above the Waist, 10 yards",-1.570,0.380
3,12:52,1,10,BUF 10,9,10,Ryan Fitzpatrick up the middle for 2 yards (tackle by O'Brien Schofield),-0.380,-0.630
3,12:12,2,8,BUF 12,9,10,Ryan Fitzpatrick pass complete deep left to Steve Johnson for 16 yards (tackle by Daryl Washington),-0.630,0.810
3,11:33,1,10,BUF 28,9,10,C.J. Spiller right end for 7 yards (tackle by Adrian Wilson),0.810,1.210
3,11:03,2,3,BUF 35,9,10,Ryan Fitzpatrick pass complete short left to Fred Jackson for 9 yards (tackle by William Gay),1.210,1.860
3,10:32,1,10,BUF 44,9,10,Fred Jackson left tackle for no gain (tackle by Kerry Rhodes),1.860,1.320
3,9:48,2,10,BUF 44,9,10,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,1.320,0.630
3,9:46,3,10,BUF 44,9,10,Ryan Fitzpatrick pass incomplete short left intended for Scott Chandler,0.630,-0.460
3,9:41,4,10,BUF 44,9,10,"Penalty on Kelvin Sheppard: False Start, 5 yards (no play)",-0.460,-0.780
3,9:41,4,15,BUF 39,9,10,"Shawn Powell punts 55 yards, returned by Patrick Peterson for 20 yards (tackle by Chris White)",-0.780,-0.670
3,9:30,1,10,ARI 26,9,10,William Powell left tackle for 7 yards (tackle by George Wilson),0.670,1.070
3,8:58,2,3,ARI 33,9,10,William Powell right tackle for 6 yards (tackle by Marcell Dareus and George Wilson),1.070,1.530
3,8:24,1,10,ARI 39,9,10,William Powell left end for 3 yards (tackle by Kelvin Sheppard),1.530,1.390
3,7:46,2,7,ARI 42,9,10,Kevin Kolb pass complete short right to Rob Housler for 6 yards (tackle by Nigel Bradham),1.390,1.490
3,7:07,3,1,ARI 48,9,10,William Powell left tackle for 2 yards (tackle by Stephon Gilmore and Kelvin Sheppard),1.490,2.260
3,6:31,1,10,,9,10,William Powell left tackle for 6 yards (tackle by Kelvin Sheppard),2.260,2.520
3,5:53,2,4,BUF 44,9,10,Kevin Kolb sacked by Nick Barnett for 0 yards,2.520,1.820
3,5:23,3,4,BUF 44,9,10,Kevin Kolb pass complete short left to Larry Fitzgerald for 8 yards (tackle by Bryan Scott),1.820,3.180
3,4:47,1,10,BUF 36,9,10,"LaRod Stephens-Howling right tackle for 7 yards (tackle by George Wilson). Penalty on Rob Housler: Offensive Holding, 10 yards (no play)",3.180,2.520
3,4:18,1,20,BUF 46,9,10,Kevin Kolb left end for 15 yards (tackle by Stephon Gilmore and Nick Barnett),2.520,3.310
3,3:32,2,5,BUF 31,9,10,Kevin Kolb pass incomplete short right intended for Larry Fitzgerald,3.310,2.610
3,3:21,3,5,BUF 31,9,10,Kevin Kolb pass incomplete short right intended for Andre Roberts,2.610,1.350
3,3:17,4,5,BUF 31,9,13,Jay Feely 49 yard field goal good,1.350,3.000
3,3:12,,,ARI 35,9,13,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
3,3:12,1,10,BUF 20,9,13,Ryan Fitzpatrick pass complete short left to Steve Johnson for 23 yards (tackle by Daryl Washington),0.280,1.800
3,2:46,1,10,BUF 43,9,13,C.J. Spiller up the middle for 7 yards (tackle by Adrian Wilson and Daryl Washington),1.800,2.200
3,2:03,2,3,,9,13,C.J. Spiller up the middle for 33 yards (tackle by Kerry Rhodes),2.200,4.440
3,1:20,1,10,ARI 17,9,13,Brad Smith up the middle for 16 yards (tackle by Patrick Peterson),4.440,6.970
3,0:35,1,1,ARI 1,15,13,"Fred Jackson up the middle for 1 yard, touchdown",6.970,7.000
3,0:35,,,ARI 2,16,13,Rian Lindell kicks extra point good,0.000,0.000
3,0:27,,,BUF 35,16,13,"Rian Lindell kicks off 66 yards, returned by William Powell for 17 yards (tackle by Chris White)",0.000,-0.140
3,0:21,1,10,ARI 16,16,13,Kevin Kolb right tackle for 18 yards (tackle by Kelvin Sheppard),-0.140,1.200
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 34,16,13,LaRod Stephens-Howling right tackle for 11 yards (tackle by Kelvin Sheppard),1.200,1.930
4,14:25,1,10,ARI 45,16,13,LaRod Stephens-Howling right tackle for no gain (tackle by Chris Kelsay),1.930,1.380
4,13:49,2,10,ARI 45,16,13,Kevin Kolb for 12 yards (tackle by Stephon Gilmore),1.380,2.720
4,13:14,1,10,BUF 43,16,13,--,2.720,2.450
4,13:14,2,8,BUF 41,16,13,"Penalty on Jeff King: False Start, 5 yards (no play)",2.450,1.770
4,12:20,2,13,BUF 46,16,13,Kevin Kolb sacked by Nick Barnett for -3 yards,1.770,0.700
4,11:46,3,16,BUF 49,16,13,Kevin Kolb pass incomplete short right intended for Larry Fitzgerald,0.700,0.000
4,11:39,4,16,BUF 49,16,13,Dave Zastudil punts 46 yards,0.000,0.380
4,11:24,1,10,BUF 3,16,13,Ryan Fitzpatrick pass complete short right to T.J. Graham for 6 yards (tackle by Jamell Fleming),-0.380,-0.340
4,10:45,2,4,BUF 9,16,13,Fred Jackson up the middle for 3 yards (tackle by Paris Lenon),-0.340,-0.370
4,10:00,3,1,BUF 12,16,13,C.J. Spiller up the middle for 1 yard (tackle by Calais Campbell),-0.370,-0.320
4,9:32,1,10,BUF 13,16,13,Ryan Fitzpatrick pass complete short left to Steve Johnson for 18 yards (tackle by Patrick Peterson),-0.320,1.000
4,8:49,1,10,BUF 31,16,13,"C.J. Spiller up the middle for -4 yards (tackle by Calais Campbell). Penalty on Lee Smith: Unnecessary Roughness, 14 yards",1.000,-2.080
4,8:17,2,28,BUF 13,16,13,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 7 yards (tackle by Adrian Wilson),-2.080,-1.680
4,7:41,3,21,BUF 20,16,13,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 11 yards (tackle by Patrick Peterson),-1.680,-1.310
4,7:21,4,10,BUF 31,16,13,"Shawn Powell punts 39 yards, out of bounds",-1.310,-0.940
4,7:15,1,10,ARI 30,16,13,Kevin Kolb pass complete short middle to Andre Roberts for 16 yards (tackle by George Wilson),0.940,1.990
4,6:40,1,10,ARI 46,16,13,William Powell left end for 11 yards (tackle by George Wilson),1.990,2.720
4,6:02,1,10,BUF 43,16,13,Kevin Kolb pass incomplete short middle intended for Jeff King is intercepted by Jairus Byrd at BUF-34 and returned for 7 yards (tackle by William Powell),2.720,-1.660
4,5:54,1,10,BUF 41,16,13,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,1.660,1.120
4,5:50,2,10,BUF 41,16,13,Ryan Fitzpatrick pass complete short left to Fred Jackson for 12 yards (tackle by Paris Lenon),1.120,2.460
4,5:25,1,10,ARI 47,16,13,Fred Jackson up the middle for 7 yards (tackle by Paris Lenon),2.460,2.860
4,4:42,2,3,ARI 40,16,13,Fred Jackson right tackle for 3 yards (tackle by Daryl Washington),2.860,3.120
4,4:00,1,10,ARI 37,16,13,Fred Jackson up the middle for 1 yard (tackle by Darnell Dockett),3.120,2.710
4,4:00,2,9,ARI 36,16,13,Brad Smith pass incomplete deep middle intended for Donald Jones is intercepted by Patrick Peterson at ARI-0 and returned for 15 yards (tackle by Erik Pears),2.710,0.220
4,3:07,1,10,ARI 15,16,13,Kevin Kolb pass complete short left to Larry Fitzgerald for 14 yards (tackle by Stephon Gilmore),-0.220,0.870
4,2:40,1,10,ARI 29,16,13,"Kevin Kolb pass incomplete deep right intended for Andre Roberts. Penalty on D'Anthony Batiste: Offensive Holding, 10 yards (no play)",0.870,0.110
4,2:35,1,20,ARI 19,16,13,Kevin Kolb right tackle for 22 yards (tackle by Leodis McKelvin),0.110,1.660
4,2:06,1,10,ARI 41,16,13,Kevin Kolb right end for -1 yards (tackle by Alex Carrington and Chris Kelsay),1.660,0.990
4,2:01,2,11,ARI 40,16,13,John Skelton pass incomplete short middle intended for LaRod Stephens-Howling,0.990,0.300
4,1:58,3,11,ARI 40,16,13,John Skelton pass incomplete short right intended for Early Doucet,0.300,-0.720
4,1:53,4,11,ARI 40,16,13,John Skelton pass complete short middle to Larry Fitzgerald for 17 yards (tackle by Bryan Scott),-0.720,2.720
4,1:27,1,10,BUF 43,16,13,John Skelton pass incomplete short left intended for Larry Fitzgerald,2.720,2.180
4,1:21,2,10,BUF 43,16,13,John Skelton pass incomplete short left intended for Early Doucet (defended by Leodis McKelvin),2.180,1.490
4,1:18,3,10,BUF 43,16,13,John Skelton pass incomplete short left intended for Michael Floyd,1.490,0.000
4,1:14,,,,16,13,Timeout #1 by Buffalo Bills,0.000,0.400
4,1:14,4,10,BUF 43,16,16,Jay Feely 61 yard field goal good,0.400,3.000
4,1:09,,,ARI 35,16,16,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
4,1:09,1,10,BUF 20,16,16,Ryan Fitzpatrick sacked by O'Brien Schofield for -6 yards,0.280,0.000
4,1:05,,,,16,16,Timeout #1 by Arizona Cardinals,0.000,-1.180
4,1:05,2,16,BUF 14,16,16,Fred Jackson up the middle for 2 yards (tackle by Calais Campbell),-1.180,0.000
4,1:01,,,,16,16,Timeout #2 by Arizona Cardinals,0.000,-1.690
4,1:01,3,14,BUF 16,16,16,Fred Jackson up the middle for 7 yards (tackle by Daryl Washington),-1.690,0.000
4,0:57,,,,16,16,Timeout #3 by Arizona Cardinals,0.000,-1.830
4,0:57,4,7,BUF 23,16,16,"Shawn Powell punts 30 yards, out of bounds",-1.830,-2.060
4,0:50,1,10,ARI 47,16,16,"John Skelton pass incomplete short left intended for Michael Floyd. Penalty on Stephon Gilmore: Defensive Holding, 5 yards (no play)",2.060,2.390
4,0:46,1,10,BUF 48,16,16,John Skelton pass complete short right to Larry Fitzgerald for 28 yards (tackle by Jairus Byrd),2.390,4.240
4,0:03,1,10,BUF 20,16,16,John Skelton spiked the ball,4.240,3.690
4,0:02,2,10,BUF 20,16,16,Jay Feely 38 yard field goal no good,3.690,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
,,,,,,,"Bills won the coin toss, Bills to receive the overtime kickoff.",,
OT,15:00,,,ARI 35,16,16,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
OT,15:00,1,10,BUF 20,16,16,Ryan Fitzpatrick pass incomplete short middle intended for Donald Jones,0.280,-0.270
OT,14:56,2,10,BUF 20,16,16,Ryan Fitzpatrick pass complete short left to Steve Johnson for 7 yards (tackle by Jamell Fleming),-0.270,-0.030
OT,14:13,3,3,BUF 27,16,16,"Ryan Fitzpatrick pass incomplete deep left intended for Donald Jones. Penalty on Sam Acho: Defensive Pass Interference, 21 yards (no play)",-0.030,2.130
OT,14:08,1,10,BUF 48,16,16,Ryan Fitzpatrick pass incomplete short middle intended for C.J. Spiller (defended by Sam Acho),2.130,1.580
OT,14:02,2,10,BUF 48,16,16,C.J. Spiller up the middle for 17 yards (tackle by Rashad Johnson),1.580,3.250
OT,13:19,1,10,ARI 35,16,16,Ryan Fitzpatrick pass incomplete deep right intended for T.J. Graham,3.250,2.700
OT,13:14,2,10,ARI 35,16,16,Ryan Fitzpatrick pass incomplete short left intended for T.J. Graham (defended by Patrick Peterson),2.700,2.010
OT,13:08,3,10,ARI 35,16,16,Ryan Fitzpatrick pass incomplete short right intended for Fred Jackson (defended by Darnell Dockett),2.010,0.970
OT,13:08,4,10,ARI 35,16,16,"Penalty on Arthur Moats: False Start, 5 yards (no play)",0.970,0.590
OT,13:03,4,15,ARI 40,16,16,"Shawn Powell punts 40 yards, touchback",0.590,-0.280
,,,,,,,"Replay Assistant challenged the kick touched ruling, and the play was upheld.",,
OT,12:53,1,10,ARI 20,16,16,LaRod Stephens-Howling left tackle for no gain (tackle by Chris Kelsay),0.280,-0.270
OT,12:13,2,10,ARI 20,16,16,John Skelton pass incomplete short right intended for LaRod Stephens-Howling,-0.270,-0.960
OT,12:08,3,10,ARI 20,16,16,John Skelton pass incomplete short middle intended for Rob Housler is intercepted by Jairus Byrd at ARI-35 and returned for 29 yards (tackle by Michael Floyd),-0.960,-5.830
OT,11:55,1,6,ARI 6,16,16,Ryan Fitzpatrick right tackle for -1 yards (tackle by Calais Campbell),5.830,4.760
OT,11:13,2,7,ARI 7,19,16,Rian Lindell 25 yard field goal good,4.760,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
