Quarter,Time,Down,ToGo,Location,DAL,OAK,Detail,EPB,EPA
2,7:13,2,4,OAK 14,0,10,Tyson Thompson left guard for 2 yards (tackle by Renaldo Hill),4.640,4.340
2,6:31,3,2,OAK 12,0,10,Marion Barber left end for 1 yard (tackle by Warren Sapp and Kirk Morrison),4.340,2.850
2,6:02,4,1,OAK 11,3,10,Jose Cortez 29 yard field goal good,2.850,3.000
2,,,,DAL 30,3,10,"Jose Cortez kicks off 69 yards, returned by Chris Carr for 36 yards (tackle by Roy Williams)",0.000,1.400
2,5:52,1,10,OAK 37,3,10,Kerry Collins pass complete to Jerry Porter for 5 yards (tackle by Bradie James and Alshermond Singleton),1.400,1.530
2,5:14,2,5,OAK 42,3,10,LaMont Jordan left end for -2 yards (tackle by DeMarcus Ware),1.530,0.560
2,4:34,3,7,OAK 40,3,10,Kerry Collins pass incomplete intended for Courtney Anderson,0.560,-0.720
2,4:29,4,7,OAK 40,3,10,Shane Lechler punts 59 yards,-0.720,0.380
2,4:17,1,10,DAL 1,3,10,Julius Jones up the middle for 2 yards (tackle by Tommy Kelly),-0.380,-0.630
2,3:37,2,8,DAL 3,3,10,"Drew Bledsoe pass incomplete intended for Keyshawn Johnson (defended by Nnamdi Asomugha). Penalty on Nnamdi Asomugha: Defensive Holding, 5 yards (no play)",-0.630,-0.380
2,3:32,1,10,DAL 8,3,10,Julius Jones right guard for 5 yards (tackle by Tyler Brayton and Derrick Gibson),-0.380,-0.410
2,2:55,2,5,DAL 13,3,10,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,-0.410,-0.840
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
2,2:48,3,5,DAL 13,3,10,Drew Bledsoe pass complete to Jason Witten for 12 yards (tackle by Derrick Gibson),-0.840,0.610
2,2:05,1,10,DAL 25,3,10,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,0.610,0.060
2,2:00,2,10,DAL 25,3,10,Julius Jones left end for no gain (tackle by Warren Sapp),0.060,-0.620
2,1:25,3,10,DAL 25,3,10,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,-0.620,-1.700
2,1:20,4,10,DAL 25,3,10,"Mat McBriar punts 55 yards, returned by Chris Carr for 4 yards (tackle by Alshermond Singleton). Penalty on Tim Johnson: Illegal Block Above the , 10 yards",-1.700,0.280
2,1:09,1,10,OAK 14,3,10,LaMont Jordan left end for 4 yards (tackle by DeMarcus Ware),-0.280,-0.210
2,0:50,2,6,OAK 18,3,10,LaMont Jordan left end for no gain (tackle by Chris Canty),-0.210,-0.920
2,0:16,3,6,OAK 18,3,10,Kerry Collins pass complete to LaMont Jordan for 5 yards (tackle by Chris Canty),-0.920,-1.830
2,0:07,4,1,OAK 23,3,10,"Penalty on Shane Lechler: Delay of Game, 5 yards (no play)",-1.830,-2.240
2,0:07,4,6,OAK 18,3,10,Shane Lechler punts 34 yards,-2.240,-2.130
2,0:01,1,10,DAL 48,3,10,Drew Bledsoe pass incomplete is intercepted by Charles Woodson at OAK-1,2.130,0.000
Quarter,Time,Down,ToGo,Location,DAL,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,3,10,"Jose Cortez kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,OAK 20,3,10,Kerry Collins pass complete to LaMont Jordan for 3 yards (tackle by Bradie James),0.280,0.140
3,14:22,2,7,OAK 23,3,10,"Kerry Collins pass incomplete intended for Jerry Porter (defended by Dat Nguyen). Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",0.140,0.810
3,14:14,2,2,OAK 28,3,10,LaMont Jordan up the middle for 6 yards (tackle by Scott Shanle),0.810,1.200
3,13:42,1,10,OAK 34,3,10,LaMont Jordan up the middle for 11 yards (tackle by Greg Ellis),1.200,1.930
3,13:09,1,10,OAK 45,3,10,LaMont Jordan left tackle for 2 yards (tackle by Chris Canty),1.930,1.650
3,12:30,2,8,OAK 47,3,10,LaMont Jordan right guard for 4 yards (tackle by Alshermond Singleton and Kenyon Coleman),1.650,1.490
3,11:55,3,4,DAL 49,3,10,Kerry Collins pass complete to Courtney Anderson for 16 yards (tackle by Roy Williams and Scott Shanle),1.490,3.380
3,11:16,1,10,DAL 33,3,10,LaMont Jordan right guard for 9 yards (tackle by Jason Ferguson and Dat Nguyen),3.380,4.050
3,10:34,2,1,DAL 24,3,10,Zack Crockett up the middle for 2 yards (tackle by Roy Williams),4.050,4.110
3,9:50,1,10,DAL 22,3,10,Kerry Collins pass complete to Randy Moss for 11 yards (tackle by Keith Davis),4.110,4.840
3,9:10,1,10,DAL 11,3,10,LaMont Jordan right end for 6 yards (tackle by Keith Davis),4.840,5.280
3,8:34,2,4,DAL 5,3,10,Kerry Collins pass incomplete intended for LaMont Jordan,5.280,4.440
3,8:26,,,,3,10,Timeout #1 by Oakland Raiders,0.000,4.440
3,8:24,3,4,DAL 5,3,10,Kerry Collins pass incomplete intended for Alvis Whitted (defended by Dat Nguyen),4.440,3.010
3,8:19,4,4,DAL 5,3,13,Sebastian Janikowski 23 yard field goal good,3.010,3.000
3,,,,OAK 30,3,13,Sebastian Janikowski kicks off 60 yards,0.000,1.600
3,8:15,1,10,DAL 40,3,13,Julius Jones up the middle for 2 yards (tackle by Derrick Gibson),1.600,1.320
3,7:34,2,8,DAL 42,3,13,"Julius Jones left guard for 1 yard (tackle by Tommy Kelly). Penalty on Derrick Burgess: Defensive Offside, 5 yards (no play)",1.320,2.000
3,7:14,2,3,DAL 47,3,13,Drew Bledsoe pass incomplete,2.000,1.290
3,7:07,3,3,DAL 47,3,13,Drew Bledsoe pass complete to Jason Witten for 10 yards (tackle by Renaldo Hill),1.290,2.720
3,6:23,1,10,OAK 43,3,13,Julius Jones left end for 1 yard (tackle by Bobby Hamilton),2.720,2.310
3,5:45,2,9,OAK 42,3,13,Drew Bledsoe sacked by Derrick Burgess for -5 yards,2.310,0.960
3,5:45,3,14,OAK 47,3,13,"Penalty on Tommy Kelly: Neutral Zone Infraction, 5 yards (no play)",0.960,1.620
3,4:55,3,9,OAK 42,3,13,"Drew Bledsoe sacked by Warren Sapp for -5 yards. Penalty on Warren Sapp: Roughing the Passer, 15 yards",1.620,3.450
3,4:33,1,10,OAK 32,3,13,Keyshawn Johnson pass incomplete intended for Julius Jones,3.450,2.900
3,4:32,2,10,OAK 32,3,13,Julius Jones up the middle for 4 yards (tackle by Ted Washington and Kirk Morrison),2.900,2.740
3,3:51,3,6,OAK 28,3,13,Drew Bledsoe pass complete to Jason Witten for 7 yards (tackle by Charles Woodson),2.740,4.170
3,3:10,1,10,OAK 21,3,13,"Drew Bledsoe pass complete to Keyshawn Johnson for 21 yards. Penalty on Keyshawn Johnson: Illegal Motion, 5 yards (no play)",4.170,3.840
3,3:04,1,15,OAK 26,3,13,Julius Jones up the middle for 14 yards (tackle by Danny Clark),3.840,5.160
3,2:31,2,1,OAK 12,3,13,Marion Barber right tackle for no gain (tackle by Charles Woodson),5.160,4.490
3,1:52,3,1,OAK 12,3,13,Julius Jones left guard for no gain (tackle by Derrick Gibson and Danny Clark),4.490,2.780
3,1:09,4,1,OAK 12,6,13,Jose Cortez 30 yard field goal good,2.780,3.000
3,,,,DAL 30,6,13,"Jose Cortez kicks off 70 yards, touchback",0.000,0.280
3,1:04,1,10,OAK 20,6,13,LaMont Jordan right tackle for 7 yards (tackle by Terence Newman),0.280,0.680
3,0:32,2,3,OAK 27,6,13,LaMont Jordan right guard for -1 yards (tackle by Chris Canty),0.680,-0.160
Quarter,Time,Down,ToGo,Location,DAL,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,OAK 26,6,13,"Penalty on Courtney Anderson: False Start, 5 yards (no play)",-0.160,-0.820
4,15:00,3,9,OAK 21,6,13,"Penalty on Kerry Collins: Delay of Game, 5 yards (no play)",-0.820,-1.690
4,15:00,3,14,OAK 16,6,13,Kerry Collins pass complete to Jerry Porter for 13 yards (tackle by Bradie James),-1.690,-1.440
4,14:13,4,1,OAK 29,6,13,"Penalty on Jarrod Cooper: False Start, 5 yards (no play)",-1.440,-1.770
4,14:06,4,6,OAK 24,6,13,Shane Lechler punts 45 yards,-1.770,-1.000
4,13:57,1,10,DAL 31,6,13,Drew Bledsoe pass incomplete intended for Terry Glenn,1.000,0.460
4,13:51,2,10,DAL 31,6,13,"Tyson Thompson left tackle for 4 yards (tackle by Bobby Hamilton and Kirk Morrison). Penalty on Ed Jasper: Defensive Holding, 5 yards",0.460,1.600
4,13:35,1,10,DAL 40,6,13,Tyson Thompson left tackle for 2 yards (tackle by Ed Jasper),1.600,1.320
4,13:01,2,8,DAL 42,6,13,Drew Bledsoe pass incomplete intended for Tyson Thompson,1.320,0.630
4,12:52,3,8,DAL 42,6,13,Drew Bledsoe sacked by Derrick Gibson for -14 yards,0.630,-1.500
4,12:38,4,22,DAL 28,6,13,"Mat McBriar punts 30 yards, returned by Charles Woodson for 5 yards (tackle by Tyson Thompson). Charles Woodson fumbles, recovered by Chris Carr at OAK-47 (tackle by Jacques Reeves)",-1.500,-1.990
4,12:22,1,10,OAK 46,6,13,Kerry Collins pass complete to Jerry Porter for 23 yards (tackle by Keith Davis),1.990,3.510
4,11:43,1,10,DAL 31,6,13,Kerry Collins sacked by Kenyon Coleman and Chris Canty for -5 yards,3.510,2.290
4,11:16,2,15,DAL 36,6,13,LaMont Jordan right guard for 5 yards (tackle by Kenyon Coleman and Bradie James),2.290,2.280
4,10:35,3,10,DAL 31,6,13,Kerry Collins pass incomplete intended for Alvis Whitted,2.280,1.320
4,10:29,4,10,DAL 31,6,16,Sebastian Janikowski 49 yard field goal good,1.320,3.000
4,,,,OAK 30,6,16,"Sebastian Janikowski kicks off 77 yards, touchback",0.000,0.280
4,10:25,1,10,DAL 20,6,16,Drew Bledsoe pass complete to Jason Witten for 15 yards (tackle by Derrick Gibson),0.280,1.270
4,9:43,1,10,DAL 35,6,16,Julius Jones up the middle for 2 yards (tackle by Ted Washington),1.270,0.990
4,9:03,2,8,DAL 37,12,16,"Drew Bledsoe pass complete to Patrick Crayton for 63 yards, touchdown",0.990,7.000
4,,,,,12,16,"Penalty on Al Johnson: False Start, 5 yards (no play)",0.000,0.000
4,,,,OAK 2,13,16,Jose Cortez kicks extra point good,0.000,0.000
4,,,,DAL 30,13,16,"Jose Cortez kicks off 59 yards, returned by Chris Carr for 23 yards (tackle by Keith Davis)",0.000,1.200
4,8:46,1,10,OAK 34,13,16,Kerry Collins pass complete to LaMont Jordan for 6 yards (tackle by Roy Williams),1.200,1.470
4,8:08,2,4,OAK 40,13,16,LaMont Jordan right guard for 5 yards (tackle by Bradie James),1.470,1.930
4,7:29,1,10,OAK 45,13,16,Kerry Collins pass complete to Randy Moss for 13 yards (tackle by Roy Williams),1.930,2.790
4,6:45,1,10,DAL 42,13,16,LaMont Jordan up the middle for 4 yards (tackle by Jason Ferguson),2.790,2.780
4,6:30,2,6,DAL 38,13,16,--,2.780,2.780
4,6:13,2,6,DAL 38,13,16,"Kerry Collins sacked by La'Roi Glover for -7 yards. Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",2.780,3.460
4,6:03,2,1,DAL 33,13,16,LaMont Jordan right tackle for 3 yards (tackle by Scott Fujita),3.460,3.580
4,5:26,1,10,DAL 30,13,16,Kerry Collins pass incomplete,3.580,3.030
4,5:19,2,10,DAL 30,13,16,LaMont Jordan left end for 5 yards (tackle by Dat Nguyen),3.030,3.010
4,4:38,3,5,DAL 25,13,16,Kerry Collins pass incomplete (defended by Greg Ellis),3.010,1.850
4,4:33,4,5,DAL 25,13,19,Sebastian Janikowski 43 yard field goal good,1.850,3.000
4,,,,OAK 30,13,19,"Sebastian Janikowski kicks off 78 yards, touchback",0.000,0.280
4,4:29,1,10,DAL 20,13,19,Drew Bledsoe pass incomplete intended for Terry Glenn,0.280,-0.270
4,4:24,2,10,DAL 20,13,19,"Julius Jones up the middle for 7 yards (tackle by Derrick Burgess). Penalty on Patrick Crayton: Illegal Block Above the , 10 yards",-0.270,-0.790
4,4:18,2,13,DAL 17,13,19,Drew Bledsoe pass incomplete intended for Julius Jones,-0.790,-1.510
4,4:14,3,13,DAL 17,13,19,Drew Bledsoe pass complete to Terry Glenn for 57 yards (tackle by Charles Woodson),-1.510,3.840
4,3:28,1,10,OAK 26,13,19,Julius Jones right guard for 2 yards (tackle by Kirk Morrison),3.840,3.570
4,2:50,2,8,OAK 24,13,19,Drew Bledsoe pass complete to Terry Glenn for 7 yards (tackle by Nnamdi Asomugha),3.570,3.950
4,2:43,3,1,OAK 17,13,19,Julius Jones up the middle for 6 yards (tackle by Renaldo Hill and Charles Woodson). Penalty on DeLawrence Grant: Defensive Offside (Declined),3.950,4.840
4,2:39,1,10,OAK 11,13,19,Julius Jones left tackle for 8 yards (tackle by Renaldo Hill),4.840,5.660
4,2:00,2,2,OAK 3,13,19,Julius Jones left end for -2 yards (tackle by Tommy Kelly),5.660,4.440
4,1:53,,,,13,19,Timeout #2 by Oakland Raiders,0.000,4.440
4,1:53,3,4,OAK 5,13,19,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,4.440,3.010
4,1:49,,,,13,19,Timeout #1 by Dallas Cowboys,0.000,3.010
4,1:49,4,4,OAK 5,13,19,Drew Bledsoe pass incomplete intended for Terry Glenn,3.010,0.380
4,1:45,1,10,OAK 6,13,19,LaMont Jordan right end for 7 yards (tackle by Bradie James),-0.380,-0.270
4,1:38,,,,13,19,Timeout #2 by Dallas Cowboys,0.000,-0.270
4,1:38,2,3,OAK 13,13,19,LaMont Jordan up the middle for 5 yards (tackle by Alshermond Singleton),-0.270,0.040
4,1:28,,,,13,19,Timeout #3 by Dallas Cowboys,0.000,0.040
4,1:28,1,10,OAK 18,13,19,Kerry Collins kneels for no gain,0.040,-0.490
4,0:50,2,10,OAK 18,13,19,Kerry Collins kneels for -1 yards,-0.490,-1.340
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
