Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
2,1:31,4,17,CLE 20,7,10,"Corey Bojorquez punts 41 yards, returned by Cedrick Wilson for 8 yards (tackle by D'Anthony Bell)",-2.030,-2.060
2,1:22,1,10,MIA 47,7,10,Tua Tagovailoa pass complete short right to Raheem Mostert for 5 yards (tackle by Greg Newsome and Deion Jones),2.060,2.190
2,1:02,2,5,CLE 48,7,10,Tua Tagovailoa pass complete short right to Mike Gesicki for 15 yards (tackle by Grant Delpit),2.190,3.380
2,0:57,1,10,CLE 33,7,10,Tua Tagovailoa pass incomplete short middle intended for Jeff Wilson,3.380,2.840
2,0:53,2,10,CLE 33,7,10,Tua Tagovailoa pass complete short left to Trent Sherfield for 4 yards (tackle by Denzel Ward),2.840,2.680
2,0:49,3,6,CLE 29,7,10,Tua Tagovailoa pass complete short right to Jaylen Waddle for 7 yards,2.680,4.110
2,0:44,1,10,CLE 22,7,10,Tua Tagovailoa pass complete short middle to Raheem Mostert for 8 yards (tackle by Sione Takitaki),4.110,4.850
2,0:37,,,,,,Timeout #2 by Miami Dolphins,,
2,0:37,2,2,CLE 14,7,16,"Tua Tagovailoa pass complete short left to Trent Sherfield for 14 yards, touchdown",4.850,7.000
2,0:32,,,CLE 15,7,17,Jason Sanders kicks extra point good,0.000,0.000
2,0:32,,,MIA 35,7,17,"Jason Sanders kicks off 67 yards, returned by Jerome Ford for 19 yards (tackle by Justin Bethel and Elijah Campbell)",0.000,-0.060
2,0:27,1,10,CLE 17,7,17,"Jacoby Brissett pass complete short left to David Bell for no gain (tackle by Kader Kohou). Penalty on Jack Conklin: Tripping / Offense, 10 yards (declined) . Penalty on Jedrick Wills: Offensive Holding, 8 yards (accepted) (no play)",-0.060,-0.680
2,0:22,1,18,CLE 9,7,17,"Kareem Hunt right tackle for no gain (tackle by Duke Riley and Jaelan Phillips). Penalty on Jack Conklin: Offensive Holding, 4 yards (accepted) (no play)",-0.680,-0.840
2,0:17,1,22,CLE 5,7,17,Jacoby Brissett kneels for -1 yards,-0.840,-1.730
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,7,17,"Cade York kicks off 58 yards, returned by Raheem Mostert for 23 yards (tackle by Jermaine Carter and Cade York)",0.000,0.940
3,14:54,1,10,MIA 30,7,17,Tua Tagovailoa pass complete short right to Jeff Wilson for 14 yards (tackle by Deion Jones),0.940,1.860
3,14:20,1,10,MIA 44,7,17,Jeff Wilson right tackle for 6 yards (tackle by Sione Takitaki),1.860,2.130
3,13:46,2,4,MIA 50,7,17,Tua Tagovailoa pass complete short left to Alec Ingold for 9 yards (tackle by Sione Takitaki),2.130,2.850
3,13:07,1,10,CLE 41,7,17,Jeff Wilson right guard for 1 yard (tackle by Tommy Togiai and Alex Wright),2.850,2.440
3,12:25,2,9,CLE 40,7,17,Tua Tagovailoa pass complete short left to Mike Gesicki for 16 yards (tackle by Denzel Ward),2.440,3.970
3,11:42,1,10,CLE 24,7,23,"Raheem Mostert left tackle for 24 yards, touchdown",3.970,7.000
3,11:35,,,CLE 15,7,24,Jason Sanders kicks extra point good,0.000,0.000
3,11:35,,,MIA 35,7,24,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,11:35,1,10,CLE 25,7,24,Nick Chubb up the middle for 2 yards (tackle by Elandon Roberts),0.610,0.330
3,10:55,2,8,CLE 27,7,24,Jacoby Brissett pass incomplete short middle intended for Pharaoh Brown (defended by Jerome Baker),0.330,-0.360
3,10:48,3,8,CLE 27,7,24,"Jacoby Brissett pass incomplete deep right intended for Donovan Peoples-Jones. Penalty on Christian Wilkins: Roughing the Passer, 15 yards (accepted) (no play)",-0.360,1.730
3,10:40,1,10,CLE 42,7,24,Jacoby Brissett pass complete short middle to Nick Chubb for 9 yards (tackle by Andrew Van Ginkel and Elandon Roberts),1.730,2.400
3,10:14,2,1,MIA 49,7,24,Jacoby Brissett pass incomplete short left,2.400,1.690
3,10:11,3,1,MIA 49,7,24,Nick Chubb right guard for 8 yards (tackle by Jevon Holland and Jerome Baker),1.690,2.850
3,9:40,1,10,MIA 41,7,24,Nick Chubb left end for 2 yards (tackle by Zach Sieler and Andrew Van Ginkel),2.850,2.580
3,9:01,2,8,MIA 39,7,24,Jacoby Brissett scrambles left tackle for 14 yards (tackle by Verone McKinley),2.580,3.910
3,8:25,1,10,MIA 25,7,24,Kareem Hunt left tackle for -1 yards (tackle by Christian Wilkins),3.910,3.230
3,7:51,2,11,MIA 26,7,24,Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 7 yards (tackle by Justin Bethel and Jaelan Phillips),3.230,3.490
3,7:08,3,4,MIA 19,7,24,Jacoby Brissett pass incomplete deep left intended for Donovan Peoples-Jones,3.490,2.260
3,7:00,4,4,MIA 19,10,24,Cade York 37 yard field goal good,2.260,3.000
3,6:56,,,CLE 35,10,24,"Cade York kicks off 66 yards, returned by Raheem Mostert for 24 yards (tackle by Jermaine Carter)",0.000,0.480
3,6:51,1,10,MIA 23,10,24,Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill (defended by Denzel Ward),0.480,-0.070
3,6:45,2,10,MIA 23,10,24,Tua Tagovailoa pass incomplete short left intended for Jeff Wilson,-0.070,-0.760
3,6:40,3,10,MIA 23,10,24,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 15 yards (tackle by John Johnson),-0.760,1.470
3,6:01,1,10,MIA 38,10,24,Jeff Wilson up the middle for 8 yards (tackle by Grant Delpit),1.470,2.000
3,5:25,2,2,MIA 46,10,24,Tua Tagovailoa pass complete short right to Tyreek Hill for 16 yards (tackle by Greg Newsome),2.000,3.050
3,4:45,1,10,CLE 38,10,24,Tua Tagovailoa pass complete short right to Cedrick Wilson for 7 yards,3.050,3.450
3,4:08,2,3,CLE 31,10,24,Jeff Wilson up the middle for 5 yards (tackle by Jordan Kunaszyk),3.450,3.840
3,3:28,1,10,CLE 26,10,24,Raheem Mostert right guard for 6 yards (tackle by Ronnie Harrison),3.840,4.110
3,2:49,2,4,CLE 20,10,24,Tua Tagovailoa pass complete short right to Tyreek Hill for 4 yards (tackle by Jordan Kunaszyk),4.110,4.510
3,2:06,1,10,CLE 16,10,24,Raheem Mostert left guard for 10 yards (tackle by Denzel Ward and John Johnson),4.510,5.830
3,1:17,1,6,CLE 6,10,24,Jeff Wilson up the middle for 4 yards (tackle by Grant Delpit and Tommy Togiai),5.830,5.720
3,0:50,2,2,CLE 2,10,24,Tua Tagovailoa pass incomplete short left intended for Mike Gesicki (defended by Jordan Kunaszyk),5.720,4.950
3,0:41,3,2,CLE 2,10,30,"Tua Tagovailoa pass complete short middle to Tyreek Hill for 2 yards, touchdown",4.950,7.000
3,0:37,,,CLE 15,10,30,Jason Sanders kicks extra point no good,0.000,-1.000
3,0:37,,,MIA 35,10,30,"Jason Sanders kicks off 69 yards, returned by Jerome Ford for 28 yards (tackle by Elijah Campbell)",0.000,0.540
3,0:31,1,10,CLE 24,10,30,Jacoby Brissett pass complete short left to Nick Chubb for 7 yards (tackle by Kader Kohou),0.540,0.940
3,0:06,2,3,CLE 31,10,30,"Nick Chubb left tackle for 2 yards (tackle by Verone McKinley). Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted)",0.940,-0.280
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,CLE 23,10,30,Jacoby Brissett pass complete short left to Kareem Hunt for 10 yards (tackle by Jerome Baker and Duke Riley),-0.280,0.500
4,14:34,3,1,CLE 33,10,30,Kareem Hunt right guard for 2 yards (tackle by Bradley Chubb and Zach Sieler),0.500,1.270
4,14:08,1,10,CLE 35,10,30,Jacoby Brissett pass complete short left to David Bell for 13 yards (tackle by Justin Bethel),1.270,2.130
4,13:42,1,10,CLE 48,10,30,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 19 yards (tackle by Verone McKinley),2.130,3.380
4,13:19,1,10,MIA 33,16,30,"Nick Chubb left end for 33 yards, touchdown",3.380,7.000
4,13:09,,,MIA 15,17,30,Cade York kicks extra point good,0.000,0.000
4,13:09,,,CLE 35,17,30,"Cade York kicks off 65 yards, touchback.",0.000,0.610
4,13:09,1,10,MIA 25,17,30,"Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill. Penalty on Taven Bryan: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.610,1.600
4,13:03,1,10,MIA 40,17,30,Jeff Wilson up the middle for 2 yards (tackle by Grant Delpit and Myles Garrett),1.600,1.320
4,12:23,2,8,MIA 42,17,30,"Tua Tagovailoa pass incomplete short right intended for Jeff Wilson. Penalty on Jadeveon Clowney: Defensive Offside, 5 yards (accepted) (no play)",1.320,2.000
4,12:18,2,3,MIA 47,17,30,Tua Tagovailoa pass complete short middle to Trent Sherfield for 27 yards (tackle by Tony Fields),2.000,3.840
4,12:01,1,10,CLE 26,17,30,"Penalty on Trent Sherfield: Taunting / Offense, 15 yards (accepted) (no play)",3.840,2.850
4,11:53,1,10,CLE 41,17,30,Tua Tagovailoa pass complete short left to Alec Ingold for 6 yards (tackle by Deion Jones),2.850,3.120
4,11:15,,,,,,Timeout #1 by Miami Dolphins,,
4,11:15,2,4,CLE 35,17,30,Jeff Wilson left tackle for 3 yards (tackle by Taven Bryan and Deion Jones),3.120,2.810
4,10:33,3,1,CLE 32,17,30,Tua Tagovailoa pass complete short left to Jaylen Waddle for 15 yards (tackle by Martin Emerson),2.810,4.440
4,9:51,1,10,CLE 17,17,30,"Robert Hunt aborted snap, recovered by Tua Tagovailoa at CLE-23 Tua Tagovailoa for no gain (tackle by Sione Takitaki)",4.440,3.080
4,9:08,2,16,CLE 23,17,30,Tua Tagovailoa pass incomplete short middle intended for Trent Sherfield,3.080,2.410
4,9:02,3,16,CLE 23,17,30,Jeff Wilson right end for 8 yards (tackle by Denzel Ward),2.410,2.440
4,8:19,4,8,CLE 15,17,33,Jason Sanders 33 yard field goal good,2.440,3.000
4,8:15,,,MIA 35,17,33,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,8:15,1,10,CLE 25,17,33,Jacoby Brissett pass incomplete short right intended for Nick Chubb (defended by Jaelan Phillips),0.610,0.060
4,8:08,2,10,CLE 25,17,33,Jacoby Brissett pass incomplete deep right intended for Donovan Peoples-Jones (defended by Justin Bethel),0.060,-0.620
4,8:03,3,10,CLE 25,17,33,Jacoby Brissett pass complete short left to Anthony Schwartz for 3 yards (tackle by Justin Bethel),-0.620,-1.500
4,7:22,4,7,CLE 28,17,33,Jacoby Brissett sacked by and Jaelan Phillips for -8 yards and Melvin Ingram for -8 yards,-1.500,-4.240
4,7:13,1,10,CLE 20,17,39,"Jeff Wilson left end for 20 yards, touchdown",4.240,7.000
4,7:07,,,CLE 15,17,39,Jason Sanders kicks extra point no good,0.000,-1.000
4,7:07,,,MIA 35,17,39,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,7:07,1,10,CLE 25,17,39,Jacoby Brissett pass complete short middle to David Bell for 6 yards (tackle by Duke Riley),0.610,0.870
4,6:44,2,4,CLE 31,17,39,Jacoby Brissett pass complete short left to D'Ernest Johnson for -2 yards (tackle by Zach Sieler and Christian Wilkins),0.870,-0.100
4,6:12,3,6,CLE 29,17,39,Jacoby Brissett pass incomplete deep left intended for Donovan Peoples-Jones (defended by Justin Bethel),-0.100,-1.440
4,6:07,4,6,CLE 29,17,39,Jacoby Brissett scrambles up the middle for 13 yards (tackle by Justin Bethel),-1.440,1.730
4,5:39,1,10,CLE 42,17,39,Jacoby Brissett scrambles right end for 7 yards (tackle by Justin Bethel),1.730,2.130
4,5:07,2,3,CLE 49,17,39,"Ethan Pocic aborted snap, recovered by Jacoby Brissett at CLE-49 Jacoby Brissett pass complete short left to Donovan Peoples-Jones for 13 yards (tackle by Justin Bethel and Jevon Holland)",2.130,3.050
4,4:40,1,10,MIA 38,17,39,Jacoby Brissett pass complete short left to Amari Cooper for 12 yards,3.050,3.840
4,4:34,1,10,MIA 26,17,39,"Jacoby Brissett scrambles left end for no gain (tackle by Kader Kohou). Penalty on Joel Bitonio: Offensive Holding, 10 yards (accepted) (no play)",3.840,3.180
4,4:23,1,20,MIA 36,17,39,Jacoby Brissett pass incomplete short middle intended for David Bell (defended by Kader Kohou),3.180,1.950
4,4:18,2,20,MIA 36,17,39,Jacoby Brissett pass incomplete short right intended for Pharaoh Brown (defended by Elijah Campbell),1.950,1.290
4,4:15,3,20,MIA 36,17,39,Jacoby Brissett pass incomplete deep middle intended for Michael Woods,1.290,0.880
4,4:09,4,20,MIA 36,17,39,Jacoby Brissett pass incomplete short middle intended for David Bell (defended by Kader Kohou),0.880,-1.330
4,4:05,1,10,MIA 36,17,39,Salvon Ahmed right tackle for 7 yards (tackle by Isaiah Thomas),1.330,1.740
4,3:29,2,3,MIA 43,17,39,Salvon Ahmed right tackle for 2 yards (tackle by Roderick Perry and Sione Takitaki),1.740,1.290
4,2:48,3,1,MIA 45,17,39,Salvon Ahmed right guard for 2 yards (tackle by Sione Takitaki),1.290,2.060
4,2:06,1,10,MIA 47,17,39,Skylar Thompson pass complete short left to Alec Ingold for 17 yards (tackle by Tony Fields and Denzel Ward),2.060,3.180
4,1:56,1,10,CLE 36,17,39,Skylar Thompson kneels for no gain,3.180,2.640
4,1:18,2,10,CLE 36,17,39,Skylar Thompson kneels for no gain,2.640,1.950
4,0:39,3,10,CLE 36,17,39,Skylar Thompson kneels for no gain,1.950,0.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
