Quarter,Time,Down,ToGo,Location,LAR,OAK,Detail,EPB,EPA
2,12:24,2,10,LAR 19,7,10,"Jared Goff pass incomplete deep right intended for Brandin Cooks. Penalty on Rashaan Melvin: Defensive Pass Interference, 37 yards (no play)",-0.390,2.650
2,12:19,1,10,OAK 44,7,10,Jared Goff pass complete short middle to Robert Woods for 10 yards (tackle by Marcus Gilchrist and Gareon Conley),2.650,3.310
2,11:54,1,10,OAK 34,7,10,Cooper Kupp right end for 12 yards (tackle by Rashaan Melvin),3.310,4.110
2,11:19,1,10,OAK 22,7,10,Todd Gurley up the middle for 2 yards (tackle by Maurice Hurst and Arden Key),4.110,3.830
2,10:35,2,8,OAK 20,7,10,Jared Goff pass incomplete short right intended for Cooper Kupp,3.830,3.140
2,10:31,3,8,OAK 20,7,10,"Jared Goff sacked by Bruce Irvin for -8 yards. Jared Goff fumbles (forced by Bruce Irvin), recovered by Rob Havenstein at OAK-28 (tackle by P.J. Hall)",3.140,1.590
2,9:30,4,16,OAK 28,7,10,Greg Zuerlein 46 yard field goal no good,1.590,-1.330
2,9:26,1,10,OAK 36,7,10,Doug Martin up the middle for 4 yards (tackle by Ndamukong Suh),1.330,1.330
2,8:40,2,6,OAK 40,7,10,Derek Carr pass complete short left to Jordy Nelson for 17 yards (tackle by Lamarcus Joyner),1.330,2.720
2,7:58,1,10,LAR 43,7,10,Derek Carr pass complete short left to Jared Cook for 8 yards (tackle by John Johnson),2.720,3.260
2,7:14,2,2,LAR 35,7,10,Doug Martin up the middle for 3 yards (tackle by Michael Brockers),3.260,3.450
2,6:35,1,10,LAR 32,7,10,Derek Carr pass complete short right to Doug Martin for -2 yards (tackle by Justin Lawler),3.450,2.630
2,6:05,2,12,LAR 34,7,10,Doug Martin right tackle for 13 yards (tackle by Lamarcus Joyner),2.630,4.170
2,5:38,1,10,LAR 21,7,10,Doug Martin right tackle for no gain (tackle by Cory Littleton and John Franklin-Myers),4.170,3.630
2,4:57,2,10,LAR 21,7,10,Derek Carr pass deep right intended for Jared Cook is intercepted by John Johnson at LA-0 and returned for no gain,3.630,-0.280
2,4:51,1,10,LAR 20,7,10,Todd Gurley left tackle for 11 yards (tackle by Tahir Whitehead),0.280,1.000
2,4:26,1,10,LAR 31,7,10,"Jared Goff pass incomplete deep middle intended for Brandin Cooks Penalty on OAK: Defensive Pass Interference, 50 yards (no play)",1.000,4.310
2,4:18,1,10,OAK 19,7,10,Robert Woods left end for 6 yards (tackle by Leon Hall),4.310,4.720
2,3:55,2,4,OAK 13,7,10,Cooper Kupp right end for 4 yards (tackle by Leon Hall),4.720,5.140
2,3:15,,,,,,Timeout #2 by Los Angeles Rams,,
2,3:15,1,9,OAK 9,7,10,Todd Gurley left end for 4 yards,5.140,5.150
2,2:53,2,5,OAK 5,7,10,Jared Goff pass incomplete short left intended for Robert Woods,5.150,4.260
2,2:49,3,5,OAK 5,7,10,Jared Goff pass incomplete short right intended for Robert Woods,4.260,3.010
2,2:43,4,5,OAK 5,7,10,"Penalty on OAK: Defensive Too Many Men on Field, 3 yards (no play)",3.010,3.250
2,2:43,4,2,OAK 2,10,10,Greg Zuerlein 20 yard field goal good,3.250,3.000
2,2:40,,,LAR 35,10,10,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,2:40,1,10,OAK 25,10,10,Derek Carr pass complete short left to Jalen Richard for 7 yards (tackle by Cory Littleton),0.610,1.010
2,2:22,2,3,OAK 32,10,10,Jalen Richard right guard for 4 yards (tackle by Marqui Christian),1.010,1.330
2,2:00,1,10,OAK 36,10,10,Derek Carr pass complete short middle to Amari Cooper for 9 yards (tackle by Nickell Robey-Coleman and Cory Littleton),1.330,2.010
2,1:34,2,1,OAK 45,10,10,Derek Carr pass complete short left to Jalen Richard for 5 yards,2.010,2.260
2,1:30,1,10,OAK 50,10,10,Derek Carr pass incomplete short left intended for Jalen Richard,2.260,1.710
2,1:27,2,10,OAK 50,10,10,"Derek Carr pass incomplete short right intended for Jalen Richard. Penalty on Kelechi Osemele: Offensive Holding, 10 yards (no play)",1.710,0.360
2,1:23,2,20,OAK 40,10,10,Derek Carr pass complete short middle to Jared Cook for 7 yards (tackle by John Johnson),0.360,0.630
2,1:05,3,13,OAK 47,10,10,Derek Carr pass complete short middle to Jared Cook for 14 yards (tackle by Aqib Talib),0.630,2.980
2,0:36,1,10,LAR 39,10,10,Derek Carr pass complete short middle to Jalen Richard for 9 yards (tackle by Cory Littleton),2.980,3.660
2,0:28,,,,,,Timeout #3 by Oakland Raiders,,
2,0:28,2,1,LAR 30,10,10,Derek Carr pass incomplete short right intended for Amari Cooper,3.660,2.940
2,0:23,3,1,LAR 30,10,10,"Jalen Richard up the middle for no gain (tackle by Cory Littleton and Lamarcus Joyner). Penalty on Kelechi Osemele: Offensive Holding, 10 yards (no play)",2.940,1.620
2,0:19,3,11,LAR 40,10,10,Derek Carr pass complete short left to Jalen Richard for 5 yards (tackle by Marqui Christian),1.620,0.970
2,0:15,4,6,LAR 35,10,10,"Mike Nugent yard field goal no good. Penalty on Sam Shields: Defensive Offside, 5 yards (no play)",0.970,1.520
2,0:15,4,1,LAR 30,10,13,Mike Nugent 48 yard field goal good,1.520,3.000
2,0:10,,,OAK 35,10,13,"Mike Nugent kicks off 65 yards, touchback.",0.000,0.610
2,0:10,1,10,LAR 25,10,13,Jared Goff kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,LAR,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,10,13,"Mike Nugent kicks off 60 yards, returned by Pharoh Cooper for no gain (tackle by Marcus Gilchrist)",0.000,0.940
3,14:54,1,10,LAR 30,10,13,Todd Gurley right tackle for 15 yards (tackle by Reggie Nelson),0.940,1.930
3,14:16,1,10,LAR 45,10,13,Todd Gurley left tackle for 2 yards (tackle by Leon Hall),1.930,1.650
3,13:38,2,8,LAR 47,10,13,Jared Goff pass complete deep middle to Brandin Cooks for 23 yards (tackle by Gareon Conley),1.650,3.580
3,12:51,1,10,OAK 30,10,13,Todd Gurley left tackle for 4 yards (tackle by Maurice Hurst and Marcus Gilchrist),3.580,3.570
3,12:06,2,6,OAK 26,10,13,Todd Gurley right end for 3 yards (tackle by Derrick Johnson and Leon Hall),3.570,3.270
3,11:22,3,3,OAK 23,10,13,Jared Goff pass complete short right to Cooper Kupp for 11 yards (tackle by Derrick Johnson),3.270,4.780
3,10:35,1,10,OAK 12,10,13,Todd Gurley left guard for 3 yards (tackle by Tahir Whitehead),4.780,4.640
3,9:53,2,7,OAK 9,10,13,Todd Gurley left end for -1 yards (tackle by Tahir Whitehead and Marcus Gilchrist),4.640,3.480
3,9:11,3,8,OAK 10,10,13,Jared Goff pass incomplete short left intended for Cooper Kupp (defended by Leon Hall),3.480,2.760
3,9:07,4,8,OAK 10,13,13,Greg Zuerlein 28 yard field goal good,2.760,3.000
3,9:04,,,LAR 35,13,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,9:04,1,10,OAK 25,13,13,Marshawn Lynch left guard for 3 yards (tackle by Dominique Easley and Michael Brockers),0.610,0.470
3,8:23,2,7,OAK 28,13,13,Marshawn Lynch right tackle for 9 yards (tackle by Ramik Wilson and John Johnson),0.470,1.400
3,7:37,1,10,OAK 37,13,13,Derek Carr pass incomplete short right intended for Amari Cooper,1.400,0.860
3,7:34,,,,,,Timeout #1 by Oakland Raiders,,
3,7:34,2,10,OAK 37,13,13,Derek Carr pass incomplete deep middle intended for Derek Carrier,0.860,0.170
3,7:29,3,10,OAK 37,13,13,Derek Carr pass incomplete short right,0.170,-0.910
3,7:24,4,10,OAK 37,13,13,"Johnny Townsend punts 45 yards, fair catch by Pharoh Cooper at LA-18",-0.910,-0.040
3,7:17,1,10,LAR 18,13,13,Todd Gurley up the middle for 6 yards,0.040,0.410
3,6:39,2,4,LAR 24,13,13,Todd Gurley right tackle for 6 yards (tackle by Rashaan Melvin),0.410,0.940
3,5:56,1,10,LAR 30,13,13,"Todd Gurley left tackle for no gain (tackle by Reggie Nelson). Penalty on John Sullivan: Offensive Holding, 10 yards (no play)",0.940,0.280
3,5:29,1,20,LAR 20,13,13,Todd Gurley right tackle for 5 yards (tackle by Marquel Lee),0.280,-0.280
3,4:52,2,15,LAR 25,13,13,Jared Goff pass incomplete deep left intended for Robert Woods,-0.280,-0.960
3,4:46,3,15,LAR 25,13,13,Jared Goff pass complete short middle to Cooper Kupp for 12 yards (tackle by Derrick Johnson),-0.960,-0.910
3,4:01,4,3,LAR 37,13,13,Johnny Hekker punts 55 yards out of bounds,-0.910,0.380
3,3:53,1,10,OAK 8,13,13,Marshawn Lynch up the middle for 6 yards (tackle by Cory Littleton and Ramik Wilson),-0.380,-0.320
3,3:16,2,4,OAK 14,13,13,Marshawn Lynch right tackle for 2 yards (tackle by Ethan Westbrooks and Ramik Wilson),-0.320,-0.480
3,2:31,3,2,OAK 16,13,13,Derek Carr sacked by Michael Brockers for -3 yards,-0.480,-2.490
3,1:53,4,5,OAK 13,13,13,"Johnny Townsend punts 35 yards, returned by Pharoh Cooper for no gain (tackle by Keith Smith and Dwayne Harris). Penalty on Troy Hill: Offensive Holding, 10 yards",-2.490,-1.730
3,1:42,1,10,LAR 42,13,13,Todd Gurley right guard for 3 yards (tackle by Maurice Hurst),1.730,1.590
3,1:21,2,7,LAR 45,13,13,Jared Goff pass complete short middle to Brandin Cooks for 17 yards (tackle by Reggie Nelson),1.590,3.050
3,0:45,1,10,OAK 38,13,13,Jared Goff pass complete short right to Brandin Cooks for 30 yards (tackle by Marcus Gilchrist),3.050,5.370
3,0:03,1,8,OAK 8,19,13,"Jared Goff pass complete short right to Cooper Kupp for 8 yards, touchdown",5.370,7.000
3,0:00,,,OAK 15,20,13,Greg Zuerlein kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,LAR,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,LAR 35,20,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,15:00,1,10,OAK 25,20,13,"Derek Carr pass incomplete short middle intended for Jalen Richard. Penalty on Samson Ebukam: Illegal Use of Hands, 5 yards (no play)",0.610,0.940
4,14:57,1,10,OAK 30,20,13,Derek Carr pass complete short right to Jalen Richard for 4 yards (tackle by Ramik Wilson),0.940,0.930
4,14:31,2,6,OAK 34,20,13,Jalen Richard left end for 1 yard (tackle by Cory Littleton),0.930,0.370
4,13:47,3,5,OAK 35,20,13,Derek Carr pass incomplete short left,0.370,-1.040
4,13:41,4,5,OAK 35,20,13,"Johnny Townsend punts 43 yards, fair catch by Cooper Kupp at LA-22. Penalty on Troy Hill: Offensive Holding, 10 yards",-1.040,0.350
4,13:34,1,10,LAR 12,20,13,Jared Goff pass complete short left to Todd Gurley for 3 yards (tackle by Tahir Whitehead),-0.350,-0.500
4,12:54,2,7,LAR 15,20,13,Jared Goff pass complete short left to Todd Gurley for 17 yards (tackle by Tahir Whitehead),-0.500,1.070
4,12:24,1,10,LAR 32,20,13,Jared Goff pass complete short left to Malcolm Brown for 9 yards (tackle by Leon Hall),1.070,1.740
4,11:41,2,1,LAR 41,20,13,Jared Goff pass incomplete deep left intended for Robert Woods,1.740,1.030
4,11:35,,,,,,Timeout #1 by Los Angeles Rams,,
4,11:35,3,1,LAR 41,20,13,Todd Gurley up the middle for 2 yards (tackle by Marquel Lee and Shilique Calhoun),1.030,1.800
4,11:04,1,10,LAR 43,20,13,Jared Goff pass incomplete deep middle intended for Robert Woods,1.800,1.250
4,10:57,2,10,LAR 43,20,13,Jared Goff pass complete short middle to Brandin Cooks for 13 yards (tackle by Marcus Gilchrist),1.250,2.650
4,10:19,1,10,OAK 44,20,13,Jared Goff pass incomplete short right intended for Cooper Kupp,2.650,2.110
4,10:12,2,10,OAK 44,20,13,Jared Goff pass complete short left to Robert Woods for 7 yards (tackle by Derrick Johnson),2.110,2.350
4,9:29,3,3,OAK 37,20,13,Jared Goff pass incomplete short right intended for Robert Woods (defended by Tahir Whitehead),2.350,0.790
4,9:24,4,3,OAK 37,23,13,Greg Zuerlein 55 yard field goal good,0.790,3.000
4,9:19,,,LAR 35,23,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,9:19,1,10,OAK 25,23,13,Derek Carr pass incomplete short right intended for Jalen Richard,0.610,0.060
4,9:16,2,10,OAK 25,23,13,Derek Carr pass complete short middle to Jalen Richard for 3 yards (tackle by Ndamukong Suh),0.060,-0.230
4,8:40,3,7,OAK 28,23,13,Derek Carr pass complete short middle to Jared Cook for 32 yards (tackle by Lamarcus Joyner),-0.230,2.920
4,8:08,1,10,LAR 40,23,13,"Derek Carr pass short left intended for Jordy Nelson is intercepted by Cory Littleton at LA-32 and returned for 7 yards. Penalty on Marqui Christian: Illegal Block Above the Waist, 10 yards",2.920,-0.870
4,7:58,1,10,LAR 29,23,13,Todd Gurley left tackle for 3 yards (tackle by Frostee Rucker),0.870,0.730
4,7:32,2,7,LAR 32,23,13,Jared Goff pass incomplete short left intended for Brandin Cooks,0.730,0.040
4,7:26,3,7,LAR 32,23,13,Jared Goff pass complete short right to Cooper Kupp for 10 yards (tackle by Rashaan Melvin),0.040,1.730
4,6:41,1,10,LAR 42,23,13,Jared Goff pass incomplete short left intended for Todd Gurley,1.730,1.190
4,6:34,2,10,LAR 42,23,13,Todd Gurley left tackle for 23 yards (tackle by Marcus Gilchrist),1.190,3.250
4,5:52,1,10,OAK 35,23,13,Todd Gurley right tackle for 2 yards (tackle by Marquel Lee and Arden Key),3.250,2.970
4,5:04,2,8,OAK 33,23,13,Malcolm Brown left tackle for 5 yards (tackle by Arden Key and P.J. Hall),2.970,2.940
4,4:27,3,3,OAK 28,23,13,Jared Goff pass complete short right to Malcolm Brown for 9 yards (tackle by Tahir Whitehead),2.940,4.310
4,4:23,1,10,OAK 19,23,13,Todd Gurley left tackle for 10 yards (tackle by Reggie Nelson),4.310,5.140
4,4:16,1,9,OAK 9,23,13,Jared Goff pass incomplete short left intended for Todd Gurley,5.140,4.380
4,4:11,2,9,OAK 9,23,13,Jared Goff pass complete short middle to Brandin Cooks for 4 yards (tackle by Marquel Lee),4.380,4.260
4,3:26,,,,,,Timeout #2 by Los Angeles Rams,,
4,3:26,3,5,OAK 5,23,13,Todd Gurley right guard for 3 yards (tackle by P.J. Hall),4.260,3.250
4,3:18,,,,,,Timeout #2 by Oakland Raiders,,
4,3:18,4,2,OAK 2,26,13,Greg Zuerlein 20 yard field goal good,3.250,3.000
4,3:15,,,LAR 35,26,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,3:15,1,10,OAK 25,26,13,Derek Carr pass complete short middle to Jalen Richard for 7 yards (tackle by Cory Littleton),0.610,1.010
4,2:41,2,3,OAK 32,26,13,Derek Carr pass complete short left to Jared Cook for 8 yards (tackle by John Johnson),1.010,1.600
4,2:16,1,10,OAK 40,26,13,Derek Carr pass complete short left to Jalen Richard for 7 yards (tackle by Cory Littleton),1.600,2.000
4,2:11,2,3,OAK 47,32,13,"Derek Carr pass short right intended for Jared Cook is intercepted by Marcus Peters at OAK-47 and returned for 50 yards, touchdown",2.000,-7.000
4,1:59,,,LAR 35,33,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,1:59,1,10,OAK 25,33,13,"Jalen Richard up the middle for 9 yards (tackle by Lamarcus Joyner and John Johnson). Penalty on Jared Cook: Offensive Holding, 10 yards",0.610,0.540
4,1:52,1,11,OAK 24,33,13,Jalen Richard left tackle for 9 yards (tackle by Cory Littleton),0.540,1.140
4,1:30,2,2,OAK 33,33,13,Jalen Richard up the middle for 1 yard (tackle by Aaron Donald),1.140,0.560
4,0:54,3,1,OAK 34,33,13,Derek Carr pass complete short left to Jared Cook for 27 yards (tackle by Aqib Talib),0.560,2.980
4,0:17,1,10,LAR 39,33,13,Derek Carr pass complete short right to Derek Carrier for 8 yards (tackle by John Johnson and Nickell Robey-Coleman),2.980,3.520
4,0:13,,,,,,Timeout #3 by Oakland Raiders,,
4,0:13,2,2,LAR 31,33,13,Derek Carr pass complete short right to Jalen Richard for 8 yards (tackle by Marqui Christian),3.520,2.980
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
