Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
2,4:21,2,5,STL 33,17,14,Ben Roethlisberger pass complete short right to Santonio Holmes for 10 yards (tackle by Ronald Bartell),3.180,4.040
2,3:34,1,10,STL 23,17,14,Najeh Davenport right tackle for 8 yards (tackle by Corey Chavous),4.040,4.750
2,2:50,2,2,STL 15,17,14,Najeh Davenport right guard for 3 yards (tackle by Quinton Culberson),4.750,4.780
2,2:07,1,10,STL 12,23,14,"Ben Roethlisberger pass complete short right to Najeh Davenport for 12 yards, touchdown",4.780,7.000
2,,,,STL 2,24,14,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,24,14,"Jeff Reed kicks off 71 yards, returned by Derek Stanley for 21 yards (tackle by Grant Mason)",0.000,0.280
2,1:51,1,10,STL 20,24,14,"Marc Bulger pass incomplete deep right intended for Isaac Bruce. Penalty on Ike Taylor: Defensive Pass Interference, 31 yards (no play)",0.280,2.320
2,1:44,1,10,PIT 49,24,14,Marc Bulger pass complete short right to Randy McMichael for 6 yards (tackle by Clark Haggans),2.320,2.590
2,1:23,2,4,PIT 43,24,14,Marc Bulger pass complete short left to Torry Holt for 14 yards (tackle by Bryant McFadden),2.590,3.640
2,1:19,1,10,PIT 29,24,14,Marc Bulger pass incomplete short left intended for Steven Jackson,3.640,3.100
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,1:15,2,10,PIT 29,24,14,"Penalty on Milford Brown: False Start, 5 yards (no play)",3.100,2.420
2,1:15,2,15,PIT 34,24,14,Marc Bulger pass incomplete short right intended for Isaac Bruce,2.420,1.750
2,1:12,3,15,PIT 34,24,14,Marc Bulger pass incomplete deep right intended for Drew Bennett (defended by Ike Taylor),1.750,1.060
2,1:06,4,15,PIT 34,24,17,Jeff Wilkins 52 yard field goal good,1.060,3.000
2,,,,STL 30,24,17,"Jeff Wilkins kicks off 64 yards, returned by Allen Rossum for 33 yards (tackle by Eric Moore)",0.000,1.530
2,0:54,1,10,PIT 39,24,17,Ben Roethlisberger sacked by Corey Chavous for -13 yards,1.530,-0.770
2,0:42,,,,24,17,Timeout #1 by St. Louis Rams,0.000,-0.770
2,0:42,2,23,PIT 26,24,17,Ben Roethlisberger pass complete to Carey Davis for -8 yards (tackle by La'Roi Glover),-0.770,-2.820
2,0:37,,,,24,17,Timeout #2 by St. Louis Rams,0.000,-2.820
2,0:37,3,31,PIT 18,24,17,Carey Davis up the middle for 4 yards (tackle by Adam Carriker and Will Witherspoon),-2.820,-1.900
2,0:32,,,,24,17,Timeout #3 by St. Louis Rams,0.000,-1.900
2,0:31,4,27,PIT 22,24,17,"Daniel Sepulveda punts 52 yards, returned by Brandon Williams for 8 yards (tackle by Anthony Madison)",-1.900,-1.200
2,0:20,1,10,STL 34,24,17,Marc Bulger pass complete short right to Isaac Bruce for 15 yards (tackle by Ike Taylor),1.200,2.190
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,0:14,1,10,STL 49,24,17,Marc Bulger pass incomplete deep right intended for Torry Holt,2.190,1.650
2,0:10,2,10,STL 49,24,17,Marc Bulger pass incomplete deep left intended for Drew Bennett,1.650,0.960
2,0:03,3,10,STL 49,24,17,Marc Bulger pass incomplete deep left intended for Drew Bennett is intercepted by James Farrior at PIT-1,0.960,0.000
Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 30,24,17,"Jeff Wilkins kicks off 68 yards, returned by Allen Rossum for 29 yards (tackle by Darius Vinnett)",0.000,1.000
3,14:54,1,10,PIT 31,24,17,Ben Roethlisberger pass complete short right to Hines Ward for 6 yards (tackle by La'Roi Glover),1.000,1.270
3,14:19,2,4,PIT 37,24,17,Najeh Davenport up the middle for 5 yards (tackle by Chris Draft and Will Witherspoon),1.270,1.730
3,13:42,1,10,PIT 42,24,17,Ben Roethlisberger pass complete deep right to Santonio Holmes for 17 yards (tackle by Ronald Bartell),1.730,2.850
3,13:07,1,10,STL 41,24,17,Najeh Davenport left tackle for 18 yards (tackle by Corey Chavous),2.850,4.040
3,12:40,1,10,STL 23,24,17,Ben Roethlisberger pass complete short middle to Heath Miller for 7 yards (tackle by Will Witherspoon),4.040,4.560
3,12:02,2,3,STL 16,24,17,Najeh Davenport right tackle for 5 yards (tackle by Corey Chavous),4.560,4.840
3,11:22,1,10,STL 11,24,17,Ben Roethlisberger pass complete short right to Carey Davis for 8 yards (tackle by Chris Draft),4.840,5.660
3,10:50,2,2,STL 3,24,17,Najeh Davenport up the middle for 2 yards (tackle by Adam Carriker),5.660,6.970
3,10:06,1,1,STL 1,24,17,Najeh Davenport left tackle for no gain (tackle by O.J. Atogwe),6.970,5.910
3,9:27,2,1,STL 1,30,17,"Najeh Davenport right guard for 1 yard, touchdown",5.910,7.000
3,,,,STL 2,31,17,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,31,17,"Jeff Reed kicks off 73 yards, returned by Derek Stanley for 22 yards (tackle by Marquis Cooper)",0.000,0.150
3,9:17,1,10,STL 19,31,17,Steven Jackson right tackle for 1 yard (tackle by LaMarr Woodley),0.150,-0.200
3,8:45,2,9,STL 20,31,17,Steven Jackson right guard for 3 yards (tackle by Casey Hampton and Troy Polamalu),-0.200,-0.550
3,8:03,3,6,STL 23,31,17,Marc Bulger pass complete short right to Randy McMichael for 8 yards (tackle by Troy Polamalu),-0.550,1.000
3,7:25,1,10,STL 31,31,17,Marc Bulger pass complete short left to Isaac Bruce for 4 yards (tackle by Deshea Townsend),1.000,1.000
3,6:48,2,6,STL 35,31,17,Marc Bulger pass complete deep right to Isaac Bruce for 18 yards (tackle by Larry Foote),1.000,2.460
3,6:05,1,10,PIT 47,31,17,Steven Jackson right tackle for 1 yard (tackle by Travis Kirschke),2.460,2.050
3,5:27,2,9,PIT 46,31,17,Marc Bulger pass incomplete deep middle intended for Torry Holt,2.050,1.350
3,5:19,3,9,PIT 46,31,17,Marc Bulger pass complete deep middle to Isaac Bruce for 21 yards (tackle by Deshea Townsend),1.350,3.910
3,4:39,1,10,PIT 25,31,17,Steven Jackson left end for -2 yards (tackle by James Farrior),3.910,3.090
3,3:57,2,12,PIT 27,31,17,"Marc Bulger pass complete short middle to Steven Jackson for 3 yards (tackle by Troy Polamalu). Steven Jackson fumbles (forced by Troy Polamalu), recovered by Dane Looker at PIT-23",3.090,2.940
3,3:05,,,,31,17,Timeout #1 by St. Louis Rams,0.000,2.940
3,3:05,3,8,PIT 23,31,23,"Marc Bulger pass complete deep middle to Drew Bennett for 23 yards, touchdown",2.940,7.000
3,,,,PIT 2,31,24,Jeff Wilkins kicks extra point good,0.000,0.000
3,,,,STL 30,31,24,"Jeff Wilkins kicks off 71 yards, returned by Allen Rossum for 34 yards (tackle by Claude Wroten)",0.000,1.140
3,2:55,1,10,PIT 33,31,24,Ben Roethlisberger pass incomplete deep right intended for Santonio Holmes,1.140,0.590
3,2:50,2,10,PIT 33,31,24,Najeh Davenport left tackle for 2 yards (tackle by James Hall),0.590,0.170
3,2:06,3,8,PIT 35,31,24,Ben Roethlisberger sacked by La'Roi Glover for -9 yards,0.170,-1.630
3,1:48,4,17,PIT 26,31,24,"Daniel Sepulveda punts 53 yards, returned by Brandon Williams for 12 yards (tackle by James Harrison)",-1.630,-1.140
3,1:33,1,10,STL 33,31,24,Steven Jackson up the middle for -1 yards (tackle by Larry Foote),1.140,0.460
3,0:58,2,11,STL 32,31,24,Steven Jackson right guard for 5 yards (tackle by Troy Polamalu),0.460,0.430
3,0:15,3,6,STL 37,31,24,Marc Bulger pass complete short middle to Randy McMichael for 10 yards (tackle by Clark Haggans),0.430,2.060
Quarter,Time,Down,ToGo,Location,PIT,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,STL 47,31,24,Marc Bulger pass complete short right to Torry Holt for 8 yards (tackle by Ike Taylor),2.060,2.600
4,14:28,2,2,PIT 45,31,24,Antonio Pittman up the middle for 3 yards (tackle by James Farrior),2.600,2.790
4,13:50,1,10,PIT 42,31,24,Marc Bulger sacked by James Farrior and Casey Hampton for -9 yards,2.790,1.030
4,13:10,2,19,STL 49,31,24,Steven Jackson left tackle for 13 yards (tackle by Anthony Smith),1.030,2.080
4,12:32,3,6,PIT 38,31,24,Marc Bulger pass incomplete short right intended for Drew Bennett (defended by Deshea Townsend),2.080,0.720
4,12:26,4,6,PIT 38,31,24,"Penalty on Derek Stanley: False Start, 5 yards (no play)",0.720,0.400
4,12:26,4,11,PIT 43,31,24,"Donnie Jones punts 43 yards, touchback",0.400,-0.280
4,12:17,1,10,PIT 20,31,24,Najeh Davenport up the middle for 7 yards (tackle by Claude Wroten),0.280,0.680
4,11:43,2,3,PIT 27,31,24,"Najeh Davenport up the middle for -1 yards (tackle by Claude Wroten). Najeh Davenport fumbles (forced by Claude Wroten), recovered by Kendall Simmons at PIT-26",0.680,-0.160
4,10:55,3,4,PIT 26,31,24,Ben Roethlisberger pass complete short left to Hines Ward for 8 yards (tackle by Brandon Chillar),-0.160,1.200
4,10:17,1,10,PIT 34,31,24,Carey Davis right guard for 2 yards (tackle by Corey Chavous),1.200,0.930
4,9:31,2,8,PIT 36,31,24,Carey Davis left tackle for 12 yards (tackle by Will Witherspoon),0.930,2.130
4,8:50,1,10,PIT 48,31,24,Carey Davis left tackle for 2 yards (tackle by Fakhir Brown),2.130,1.850
4,8:12,2,8,,31,24,Najeh Davenport left guard for 3 yards (tackle by Corey Chavous),1.850,1.550
4,7:29,3,5,STL 47,31,24,Ben Roethlisberger pass complete short right to Hines Ward for 11 yards (tackle by Ronald Bartell),1.550,3.180
4,6:46,1,10,STL 36,31,24,Najeh Davenport right tackle for 16 yards (tackle by Ronald Bartell),3.180,4.240
4,6:10,1,10,STL 20,31,24,Najeh Davenport left guard for no gain (tackle by Corey Chavous),4.240,3.690
4,5:33,2,10,STL 20,31,24,Ben Roethlisberger pass incomplete deep left intended for Santonio Holmes,3.690,3.010
4,5:26,3,10,STL 20,31,24,Ben Roethlisberger for 9 yards (tackle by Claude Wroten),3.010,2.850
4,4:43,4,1,STL 11,34,24,Jeff Reed 29 yard field goal good,2.850,3.000
4,,,,PIT 30,34,24,"Jeff Reed kicks off 70 yards, returned by Derek Stanley for 22 yards (tackle by Carey Davis)",0.000,0.410
4,4:32,1,10,STL 22,34,24,Marc Bulger pass incomplete short left intended for Torry Holt,0.410,-0.130
4,4:27,2,10,STL 22,34,24,Marc Bulger pass incomplete short left intended for Torry Holt,-0.130,-0.820
4,4:23,3,10,STL 22,34,24,Marc Bulger pass complete short left to Drew Bennett for 12 yards (tackle by Bryant McFadden),-0.820,1.200
4,4:18,1,10,STL 34,34,24,Marc Bulger pass incomplete short left intended for Torry Holt,1.200,0.660
4,4:14,2,10,STL 34,34,24,Marc Bulger pass incomplete deep right intended for Dane Looker (defended by Deshea Townsend),0.660,-0.030
4,4:08,3,10,STL 34,34,24,Marc Bulger pass incomplete deep middle intended for Drew Bennett (defended by Deshea Townsend),-0.030,-1.110
4,4:02,4,10,STL 34,40,24,"Marc Bulger pass incomplete deep right intended for Drew Bennett is intercepted by Ike Taylor at PIT-49 and returned for 51 yards, touchdown",-1.110,-7.000
4,,,,STL 2,41,24,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,41,24,"Jeff Reed kicks off 71 yards, returned by Derek Stanley for 26 yards (tackle by Arnold Harrison)",0.000,0.610
4,3:40,1,10,STL 25,41,24,Gus Frerotte pass complete short right to Randy McMichael for 9 yards (tackle by LaMarr Woodley),0.610,1.280
4,3:12,2,1,STL 34,41,24,Gus Frerotte pass incomplete short left intended for Drew Bennett (defended by Deshea Townsend),1.280,0.560
4,3:07,3,1,STL 34,41,24,Gus Frerotte pass complete short middle to Randy McMichael for 14 yards (tackle by Troy Polamalu),0.560,2.130
4,2:40,1,10,STL 48,41,24,Gus Frerotte pass complete short right to Randy McMichael for 4 yards (tackle by Tyrone Carter),2.130,2.120
4,2:13,2,6,PIT 48,41,24,Gus Frerotte pass incomplete short right intended for Randy McMichael,2.120,1.420
4,2:09,3,6,PIT 48,41,24,Gus Frerotte pass incomplete short left intended for Dane Looker,1.420,0.070
4,2:03,4,6,PIT 48,41,24,Gus Frerotte pass incomplete short right intended for Randy McMichael (defended by Troy Polamalu),0.070,-2.130
4,1:59,1,10,PIT 48,41,24,Charlie Batch kneels for no gain,2.130,1.580
4,1:17,2,10,PIT 48,41,24,Charlie Batch kneels for -1 yards,1.580,0.760
4,0:38,3,11,PIT 47,41,24,Charlie Batch kneels for -1 yards,0.760,-0.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
