Quarter,Time,Down,ToGo,Location,DEN,BUF,Detail,EPB,EPA
1,4:43,2,10,DEN 48,0,0,Trevor Siemian pass complete short middle to Bennie Fowler for 12 yards (tackle by Preston Brown),1.580,2.920
1,4:11,1,10,BUF 40,0,0,C.J. Anderson right guard for no gain (tackle by Lorenzo Alexander and Preston Brown),2.920,2.370
1,3:29,2,10,BUF 40,0,0,Trevor Siemian pass complete short middle to Jamaal Charles for 1 yard (tackle by Preston Brown),2.370,1.820
1,2:48,3,9,BUF 39,0,0,"Trevor Siemian pass incomplete short right intended for Demaryius Thomas (defended by TreDavious White). Penalty on TreDavious White: Defensive Pass Interference, 1 yards (no play)",1.820,3.050
1,2:44,1,10,BUF 38,0,0,Trevor Siemian pass complete short right to Emmanuel Sanders for 12 yards (tackle by TreDavious White),3.050,3.840
1,2:16,1,10,BUF 26,0,0,Jamaal Charles right tackle for 2 yards (tackle by Eddie Yarbrough),3.840,3.570
1,1:36,2,8,BUF 24,0,0,Trevor Siemian left end for 4 yards (tackle by Cedric Thornton),3.570,3.400
1,0:57,3,4,BUF 20,0,0,Trevor Siemian pass incomplete short left intended for Cody Latimer,3.400,2.200
1,0:53,4,4,BUF 20,3,0,Brandon McManus 38 yard field goal good,2.200,3.000
1,0:49,,,DEN 35,3,0,"Brandon McManus kicks off 54 yards, fair catch by Mike Tolbert. Penalty on Will Parks: Unnecessary Roughness, 15 yards",0.000,-0.670
1,0:49,1,10,BUF 26,3,0,Mike Tolbert middle for 4 yards (tackle by Todd Davis and Darian Stewart),0.670,0.670
1,0:21,2,6,BUF 30,3,0,Mike Tolbert left tackle for no gain (tackle by Todd Davis and Shelby Harris),0.670,-0.030
Quarter,Time,Down,ToGo,Location,DEN,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,BUF 30,3,0,Tyrod Taylor pass complete short left to Jordan Matthews for 28 yards (tackle by Darian Stewart),-0.030,2.790
2,14:37,1,10,DEN 42,3,0,Tyrod Taylor right end for 2 yards (tackle by Von Miller),2.790,2.510
2,14:07,2,8,DEN 40,3,0,Tyrod Taylor pass complete deep right to Kaelin Clay for 28 yards (tackle by Brandon Marshall),2.510,4.780
2,13:26,1,10,DEN 12,3,0,Tyrod Taylor pass complete short right to Charles Clay for 6 yards (tackle by Darian Stewart),4.780,5.210
2,12:56,2,4,DEN 6,3,0,LeSean McCoy right tackle for 4 yards (tackle by Aqib Talib),5.210,6.740
2,12:27,1,2,DEN 2,3,0,Mike Tolbert left guard for no gain (tackle by Todd Davis and Adam Gotsis),6.740,5.720
2,11:50,2,2,DEN 2,3,0,Tyrod Taylor pass incomplete short left intended for Mike Tolbert,5.720,4.950
2,11:45,3,2,DEN 2,3,6,"Tyrod Taylor pass complete short right to Andre Holmes for 2 yards, touchdown",4.950,7.000
2,11:41,,,DEN 15,3,7,Steven Hauschka kicks extra point good,0.000,0.000
2,11:41,,,BUF 35,3,7,"Steven Hauschka kicks off 65 yards, returned by Cody Latimer for 21 yards (tackle by Colt Anderson)",0.000,-0.340
2,11:34,1,10,DEN 21,3,7,Trevor Siemian pass complete short right to Emmanuel Sanders for 7 yards (tackle by Micah Hyde and Preston Brown),0.340,0.750
2,10:59,2,3,DEN 28,3,7,"C.J. Anderson middle for 32 yards (tackle by Micah Hyde). Penalty on Micah Hyde: Unnecessary Roughness, 15 yards",0.750,3.910
2,10:36,1,10,BUF 25,3,7,"Trevor Siemian pass incomplete short right intended for Demaryius Thomas. Penalty on Jerry Hughes: Roughing the Passer, 13 yards (no play)",3.910,4.780
2,10:33,1,10,BUF 12,9,7,"Jamaal Charles middle for 12 yards, touchdown",4.780,7.000
2,10:26,,,BUF 15,10,7,Brandon McManus kicks extra point good,0.000,0.000
2,10:26,,,DEN 35,10,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,10:26,1,10,BUF 25,10,7,Tyrod Taylor pass complete short right to Charles Clay for no gain,0.610,0.060
2,9:48,2,10,BUF 25,10,7,LeSean McCoy left guard for 1 yard (tackle by Von Miller),0.060,-0.490
2,9:10,3,9,BUF 26,10,7,Tyrod Taylor pass complete short left to LeSean McCoy for 12 yards (tackle by Derek Wolfe),-0.490,1.470
2,8:35,1,10,BUF 38,10,7,Mike Tolbert left guard for 9 yards (tackle by Todd Davis and Brandon Marshall),1.470,2.140
2,7:59,2,1,BUF 47,10,7,Mike Tolbert right guard for 5 yards (tackle by Brandon Marshall and Todd Davis),2.140,2.390
2,7:23,1,10,DEN 48,10,7,Tyrod Taylor pass complete short left to Jordan Matthews for 8 yards (tackle by Chris Harris),2.390,2.930
2,6:54,2,2,DEN 40,10,7,Tyrod Taylor pass incomplete short left intended for Zay Jones,2.930,2.210
2,6:49,3,2,DEN 40,10,7,Tyrod Taylor pass incomplete short right intended for Jordan Matthews (defended by Aqib Talib),2.210,0.000
2,6:45,,,,,,Timeout #2 by Denver Broncos,0.000,-0.590
2,6:45,4,2,DEN 40,10,7,"Penalty on Tyrod Taylor: Delay of Game, 5 yards (no play)",0.590,0.270
2,6:45,4,7,DEN 45,10,7,"Colton Schmidt punts 36 yards, fair catch by Isaiah McKenzie. Penalty on Domata Peko: Illegal Use of Hands, 4 yards",0.270,0.380
2,6:36,1,10,DEN 5,10,7,C.J. Anderson left guard for 1 yard (tackle by Ramon Humber and Jerry Hughes),-0.380,-0.710
2,6:01,2,9,DEN 6,10,7,Trevor Siemian pass complete short left to Demaryius Thomas for 5 yards (tackle by E.J. Gaines),-0.710,-0.720
2,5:19,3,4,DEN 11,10,7,Trevor Siemian pass incomplete deep right intended for Emmanuel Sanders (defended by TreDavious White),-0.720,-2.490
,,,,,,,"BUF challenged the pass completion ruling, and the original play was overturned.",,
2,5:11,4,4,DEN 11,10,7,"Riley Dixon punts 50 yards, returned by Brandon Tate for -8 yards (tackle by Cody Latimer). Penalty on Jamal Carter: Illegal Formation, 5 yards (no play)",-2.490,-2.490
2,5:00,4,9,DEN 6,10,7,"Riley Dixon punts 43 yards, returned by Brandon Tate for 17 yards (tackle by Riley Dixon)",-2.490,-3.450
2,4:46,1,10,DEN 32,10,7,"Tyrod Taylor left end for 2 yards (tackle by Darian Stewart). Penalty on Nick O'Leary: Illegal Block Above the Waist, 10 yards",3.450,2.920
2,4:15,1,18,DEN 40,10,7,LeSean McCoy left tackle for 1 yard (tackle by Adam Gotsis and Bradley Roby),2.920,1.960
2,3:40,2,17,DEN 39,10,7,Tyrod Taylor pass incomplete short left intended for Zay Jones (defended by Bradley Roby),1.960,1.290
2,3:36,3,17,DEN 39,10,7,Tyrod Taylor pass complete short left to Charles Clay for 8 yards (tackle by Von Miller),1.290,1.320
2,2:56,4,9,DEN 31,10,10,Steven Hauschka 49 yard field goal good,1.320,3.000
2,2:51,,,BUF 35,10,10,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
2,2:51,1,10,DEN 25,10,10,Trevor Siemian pass complete deep right to Emmanuel Sanders for 20 yards,0.610,1.930
2,2:23,1,10,DEN 45,10,10,Trevor Siemian pass complete short left to Demaryius Thomas for 11 yards (tackle by Micah Hyde),1.930,2.650
2,2:00,1,10,BUF 44,10,10,Trevor Siemian pass complete short left to Virgil Green for 2 yards (tackle by Jordan Poyer),2.650,2.380
2,1:35,2,8,BUF 42,10,10,Trevor Siemian pass complete short right to A.J. Derby for 5 yards (tackle by Ramon Humber),2.380,2.350
2,1:32,3,3,BUF 37,10,10,Trevor Siemian pass complete deep right to Demaryius Thomas for 21 yards (tackle by TreDavious White),2.350,4.510
2,1:26,1,10,BUF 16,10,10,Trevor Siemian sacked by Shaq Lawson for -1 yards,4.510,3.770
2,1:18,2,11,BUF 17,10,10,Trevor Siemian sacked by Lorenzo Alexander for 0 yards,3.770,0.000
2,0:53,,,,,,Timeout #1 by Buffalo Bills,0.000,-3.020
2,0:53,3,11,BUF 17,10,10,Trevor Siemian pass incomplete short right intended for Bennie Fowler,3.020,2.310
2,0:46,4,11,BUF 17,13,10,Brandon McManus 35 yard field goal good,2.310,3.000
2,0:42,,,DEN 35,13,10,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,0:42,1,10,BUF 25,13,10,Tyrod Taylor pass complete short middle to LeSean McCoy for 15 yards (tackle by Von Miller),0.610,1.600
2,0:21,1,10,BUF 40,13,10,Tyrod Taylor pass complete short middle to LeSean McCoy for 10 yards (tackle by Will Parks),1.600,0.000
2,0:19,,,,,,Timeout #2 by Buffalo Bills,0.000,-2.260
2,0:19,1,10,,13,10,Tyrod Taylor pass complete short left to Charles Clay for 9 yards (tackle by Brandon Marshall),2.260,0.000
2,0:12,,,,,,Timeout #3 by Buffalo Bills,0.000,-2.930
2,0:11,2,1,DEN 41,13,10,Tyrod Taylor pass complete short left to Andre Holmes for 4 yards (tackle by Bradley Roby),2.930,3.120
2,0:06,1,10,DEN 37,13,13,Steven Hauschka 55 yard field goal good,3.120,3.000
2,0:01,,,BUF 35,13,13,Steven Hauschka kicks off 14 yards,0.000,1.270
Quarter,Time,Down,ToGo,Location,DEN,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,13,13,"Brandon McManus kicks off 61 yards, returned by Brandon Tate for 18 yards (tackle by De'Angelo Henderson)",0.000,-0.410
3,14:54,1,10,BUF 22,13,13,Tyrod Taylor sacked by Todd Davis for -2 yards,0.410,-0.400
3,14:35,2,12,BUF 20,13,13,LeSean McCoy left guard for 3 yards (tackle by Darian Stewart and Derek Wolfe),-0.400,-0.690
3,13:57,3,9,BUF 23,13,13,"Tyrod Taylor right end for 7 yards (tackle by Will Parks). Penalty on John Miller: Offensive Holding, 10 yards (no play)",-0.690,-2.420
3,13:29,3,19,BUF 13,13,13,Mike Tolbert left guard for 10 yards (tackle by Brandon Marshall and Justin Simmons),-2.420,-1.830
3,12:57,4,9,BUF 23,13,13,"Colton Schmidt punts 52 yards, returned by Isaiah McKenzie for 16 yards (tackle by Joe Webb)",-1.830,-1.660
3,12:45,1,10,DEN 41,13,13,Trevor Siemian pass complete short right to Virgil Green for 14 yards (tackle by Leonard Johnson),1.660,2.590
3,12:12,1,10,BUF 45,13,13,Jamaal Charles left guard for 2 yards (tackle by Ramon Humber),2.590,2.310
3,11:34,2,8,BUF 43,13,13,Jamaal Charles right guard for 19 yards (tackle by Micah Hyde and E.J. Gaines),2.310,3.970
3,10:55,1,10,BUF 24,13,13,"Penalty on Jamaal Charles: False Start, 5 yards (no play)",3.970,3.640
3,10:35,1,15,BUF 29,13,13,Trevor Siemian pass complete short right to Bennie Fowler for 14 yards (tackle by Preston Brown and Jordan Poyer),3.640,4.850
3,10:02,2,1,BUF 15,13,13,C.J. Anderson middle for no gain (tackle by Kyle Williams and Ramon Humber),4.850,4.170
3,9:27,3,1,BUF 15,13,13,Andy Janovich middle for 2 yards (tackle by Kyle Williams and Ramon Humber),4.170,4.710
3,8:45,1,10,BUF 13,13,13,Jamaal Charles middle for 3 yards (tackle by Kyle Williams),4.710,4.580
3,8:09,2,7,BUF 10,13,13,Trevor Siemian pass incomplete short middle intended for Demaryius Thomas (defended by E.J. Gaines),4.580,3.650
3,8:04,3,7,BUF 10,13,13,"Penalty on Menelik Watson: False Start, 5 yards (no play)",3.650,3.030
3,8:04,3,12,BUF 15,13,13,Trevor Siemian pass complete short left to C.J. Anderson for 5 yards (tackle by E.J. Gaines),3.030,2.760
3,7:49,4,7,BUF 10,16,13,Brandon McManus 28 yard field goal good,2.760,3.000
3,7:47,,,DEN 35,16,13,"Brandon McManus kicks off 57 yards, returned by Brandon Tate for 23 yards (tackle by Jamal Carter)",0.000,-1.000
3,7:40,1,10,BUF 31,16,13,Tyrod Taylor pass complete deep left to Nick O'Leary for 31 yards,1.000,3.050
3,7:25,1,10,DEN 38,16,13,LeSean McCoy right tackle for 7 yards (tackle by Aqib Talib),3.050,3.450
3,6:54,2,3,DEN 31,16,13,Tyrod Taylor pass complete deep right to Jordan Matthews for 25 yards (tackle by Chris Harris),3.450,5.830
3,6:25,1,6,DEN 6,16,19,"Tyrod Taylor pass complete short middle to Charles Clay for 6 yards, touchdown",5.830,7.000
3,6:20,,,DEN 15,16,20,Steven Hauschka kicks extra point good,0.000,0.000
3,6:20,,,BUF 35,16,20,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
3,6:20,1,10,DEN 25,16,20,"C.J. Anderson middle for 8 yards (tackle by Preston Brown). Penalty on Ronald Leary: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,5:58,1,20,DEN 15,16,20,C.J. Anderson left guard for -3 yards (tackle by Adolphus Washington),-0.410,-1.730
3,5:21,2,23,DEN 12,16,20,Trevor Siemian pass incomplete deep left intended for Bennie Fowler is intercepted by E.J. Gaines at DEN-33 and returned for 1 yard,-1.730,-3.450
3,5:09,1,10,DEN 32,16,20,"LeSean McCoy right tackle for 18 yards (tackle by Justin Simmons). Penalty on Richie Incognito: Offensive Holding, 10 yards (no play)",3.450,2.790
3,4:50,1,20,DEN 42,16,20,Mike Tolbert right guard for 2 yards (tackle by Brandon Marshall and Domata Peko),2.790,1.820
3,4:10,2,18,DEN 40,16,20,Tyrod Taylor pass incomplete short middle intended for Kaelin Clay,1.820,1.160
3,4:05,3,18,DEN 40,16,20,Tyrod Taylor sacked by Shelby Harris for -5 yards,1.160,0.270
3,3:30,4,23,DEN 45,16,20,"Colton Schmidt punts 33 yards, fair catch by Isaiah McKenzie",0.270,0.350
3,3:23,1,10,DEN 12,16,20,Jamaal Charles right tackle for 4 yards (tackle by Jerry Hughes and Cedric Thornton),-0.350,-0.370
3,2:49,2,6,DEN 16,16,20,Trevor Siemian pass incomplete short right intended for Emmanuel Sanders (defended by TreDavious White),-0.370,-0.950
3,2:44,3,6,DEN 16,16,20,Trevor Siemian right tackle for 7 yards (tackle by Ryan Davis and Preston Brown),-0.950,0.480
3,2:01,1,10,DEN 23,16,20,Trevor Siemian pass incomplete short middle intended for Emmanuel Sanders (defended by TreDavious White),0.480,-0.070
3,1:56,2,10,DEN 23,16,20,C.J. Anderson right tackle for 5 yards (tackle by Ramon Humber),-0.070,-0.100
3,1:15,3,5,DEN 28,16,20,Trevor Siemian pass complete short right to Emmanuel Sanders for 3 yards (tackle by TreDavious White),-0.100,-1.310
3,0:33,4,2,DEN 31,16,20,De'Angelo Henderson right guard for 1 yard (tackle by Deon Lacey),-1.310,-3.510
3,0:29,1,10,DEN 31,16,20,--,3.510,2.430
Quarter,Time,Down,ToGo,Location,DEN,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,14,DEN 35,16,20,LeSean McCoy right guard for -2 yards (tackle by Todd Davis),2.430,1.490
4,14:27,3,16,DEN 37,16,20,Tyrod Taylor left end for 3 yards (tackle by Chris Harris),1.490,1.060
4,13:56,4,13,DEN 34,16,23,Steven Hauschka 53 yard field goal good,1.060,3.000
4,13:52,,,BUF 35,16,23,"Steven Hauschka kicks off 63 yards, returned by Cody Latimer for 36 yards (tackle by Joe Webb)",0.000,-1.470
4,13:45,1,10,DEN 38,16,23,Trevor Siemian pass complete short right to Demaryius Thomas for 23 yards (tackle by Micah Hyde),1.470,2.980
4,13:12,1,10,BUF 39,16,23,Trevor Siemian pass complete short left to Emmanuel Sanders for -1 yards (tackle by Leonard Johnson),2.980,2.300
4,12:37,2,11,BUF 40,16,23,Trevor Siemian pass complete short left to Demaryius Thomas for 9 yards (tackle by E.J. Gaines),2.300,2.810
4,11:56,3,2,BUF 31,16,23,"Trevor Siemian pass complete short left to C.J. Anderson for 5 yards (tackle by Ramon Humber). Penalty on Demaryius Thomas: Offensive Pass Interference, 10 yards (no play)",2.810,1.490
4,11:31,3,12,BUF 41,16,23,"Trevor Siemian pass incomplete short left intended for C.J. Anderson. Penalty on Adolphus Washington: Illegal Use of Hands, 5 yards (no play)",1.490,3.180
4,11:24,1,10,BUF 36,16,23,Trevor Siemian pass incomplete short left intended for Demaryius Thomas (defended by Ramon Humber),3.180,2.640
4,11:20,2,10,BUF 36,16,23,Jamaal Charles left tackle for 12 yards (tackle by Adolphus Washington),2.640,3.970
4,10:55,1,10,BUF 24,16,23,Trevor Siemian pass incomplete short right intended for Bennie Fowler is intercepted by TreDavious White at BUF-24 and returned for 14 yards,3.970,-1.470
4,10:44,1,10,BUF 38,16,23,Tyrod Taylor pass complete short right to LeSean McCoy for -5 yards (tackle by Derek Wolfe),1.470,0.250
4,10:05,2,15,BUF 33,16,23,Tyrod Taylor pass complete short middle to Charles Clay for 10 yards (tackle by Todd Davis),0.250,0.890
4,9:29,3,5,BUF 43,16,23,Tyrod Taylor left end for 7 yards (tackle by Justin Simmons),0.890,2.260
4,8:56,1,10,,16,23,LeSean McCoy left tackle for 1 yard (tackle by Brandon Marshall),2.260,1.850
4,8:23,2,9,DEN 49,16,23,Mike Tolbert right guard for 3 yards (tackle by Todd Davis),1.850,1.550
4,7:43,3,6,DEN 46,16,23,"Tyrod Taylor pass incomplete short right intended for Jordan Matthews (defended by Adam Gotsis). Penalty on Von Miller: Unsportsmanlike Conduct, 15 yards",1.550,3.510
4,7:38,1,10,DEN 31,16,23,LeSean McCoy left tackle for 4 yards (tackle by Shaquil Barrett),3.510,3.510
4,6:56,2,6,DEN 27,16,23,Mike Tolbert middle for no gain (tackle by Domata Peko and Zach Kerr),3.510,2.810
4,6:23,3,6,DEN 27,16,23,Tyrod Taylor pass complete short left to LeSean McCoy for 7 yards (tackle by Bradley Roby),2.810,4.240
4,5:41,1,10,DEN 20,16,23,Mike Tolbert middle for 3 yards (tackle by Darian Stewart),4.240,4.120
4,5:01,2,7,DEN 17,16,23,Mike Tolbert middle for 5 yards (tackle by Darian Stewart),4.120,4.340
4,4:19,3,2,DEN 12,16,23,LeSean McCoy left tackle for 2 yards (tackle by Bradley Roby),4.340,4.910
4,3:36,1,10,DEN 10,16,23,LeSean McCoy left end for -4 yards (tackle by Adam Gotsis),4.910,0.000
4,3:32,,,,,,Timeout #1 by Denver Broncos,0.000,-3.580
4,3:32,2,14,DEN 14,16,23,LeSean McCoy right guard for 2 yards (tackle by Brandon Marshall and Domata Peko),3.580,0.000
4,3:27,,,,,,Timeout #2 by Denver Broncos,0.000,-3.100
4,3:26,3,12,DEN 12,16,23,Tyrod Taylor left end for 3 yards (tackle by Justin Simmons),3.100,0.000
4,3:18,,,,,,Timeout #3 by Denver Broncos,0.000,-2.830
4,3:18,4,9,DEN 9,16,26,Steven Hauschka 27 yard field goal good,2.830,3.000
4,3:14,,,BUF 35,16,26,"Steven Hauschka kicks off 67 yards, returned by Cody Latimer for 24 yards (tackle by Robert Blanton)",0.000,-0.410
4,3:09,1,10,DEN 22,16,26,Trevor Siemian pass incomplete short right intended for A.J. Derby,0.410,-0.130
4,3:04,2,10,DEN 22,16,26,"Trevor Siemian left end for 1 yard (tackle by E.J. Gaines). Trevor Siemian fumbles (forced by E.J. Gaines), ball out of bounds at DEN-23",-0.130,-0.690
4,2:44,3,9,DEN 23,16,26,Trevor Siemian pass complete deep left to Demaryius Thomas for 29 yards (tackle by E.J. Gaines),-0.690,2.390
4,2:37,1,10,BUF 48,16,26,Trevor Siemian sacked by Kyle Williams for -3 yards,2.390,1.440
4,2:13,2,13,DEN 49,16,26,Trevor Siemian pass complete short middle to Bennie Fowler for 9 yards (tackle by Preston Brown and Jordan Poyer),1.440,0.000
4,2:00,,,,,,Timeout #1 by Buffalo Bills,0.000,-1.950
4,2:00,3,4,BUF 42,16,26,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders (defended by E.J. Gaines),1.950,0.000
4,1:55,,,,,,Timeout #2 by Buffalo Bills,0.000,-0.460
4,1:55,4,4,BUF 42,16,26,Trevor Siemian pass incomplete deep left intended for Emmanuel Sanders,0.460,-1.800
4,1:47,1,10,BUF 43,16,26,--,1.800,1.120
4,1:06,2,11,BUF 42,16,26,Tyrod Taylor kneels for -2 yards,1.120,0.170
4,0:39,3,13,BUF 40,16,26,Tyrod Taylor kneels for -1 yards,0.170,-0.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
