Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
2,2:10,2,9,DAL 41,6,3,Tony Romo pass complete short left to Cole Beasley for 8 yards (tackle by Jonathan Babineaux),1.190,1.550
2,1:57,3,1,DAL 49,6,3,Phillip Tanner right tackle for no gain (tackle by Kroy Biermann and Akeem Dent),1.550,0.000
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
2,1:11,,,,6,3,Timeout #2 by Dallas Cowboys,0.000,-0.130
2,1:11,4,1,DAL 49,6,3,"Brian Moorman punts 39 yards, fair catch by Dominique Franks",-0.130,0.350
2,1:03,1,10,ATL 12,6,3,Matt Ryan pass complete short middle to Jacquizz Rodgers for 5 yards (tackle by Bruce Carter and Danny McCray),-0.350,-0.230
2,0:41,2,5,ATL 17,6,3,Matt Ryan pass incomplete short left intended for Jacquizz Rodgers,-0.230,-0.840
2,0:37,3,5,ATL 17,6,3,Matt Ryan pass complete short middle to Roddy White for 20 yards (tackle by Gerald Sensabaugh),-0.840,0.000
2,0:29,,,,6,3,Timeout #2 by Atlanta Falcons,0.000,1.400
2,0:29,1,10,ATL 37,6,3,Matt Ryan right tackle for 8 yards,1.400,0.000
2,0:17,,,,6,3,Timeout #3 by Dallas Cowboys,0.000,1.940
2,0:17,2,2,ATL 45,6,3,Matt Ryan pass complete short middle to Tony Gonzalez for 12 yards (tackle by Brandon Carr). Penalty on Brandon Carr: Illegal Contact (Declined),1.940,2.720
2,0:09,1,10,DAL 43,6,3,Matt Ryan pass complete short middle to Tony Gonzalez for 15 yards (tackle by Gerald Sensabaugh),2.720,0.000
2,0:03,,,,6,3,Timeout #3 by Atlanta Falcons,0.000,3.710
2,0:03,1,10,DAL 28,6,6,Matt Bryant 46 yard field goal good,3.710,3.000
Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,6,6,"Matt Bosher kicks off 65 yards, returned by Lance Dunbar for 14 yards (tackle by Chris Hope)",0.000,-0.280
3,14:56,1,10,DAL 14,6,6,Felix Jones right guard for 15 yards (tackle by Thomas DeCoud),-0.280,0.870
3,14:15,1,10,DAL 29,6,6,Felix Jones right tackle for 6 yards (tackle by Akeem Dent),0.870,1.140
3,13:34,2,4,DAL 35,6,6,Lance Dunbar right tackle for 18 yards (tackle by Jonathan Babineaux),1.140,2.460
3,12:59,1,10,ATL 47,6,6,Felix Jones right tackle for 3 yards (tackle by Akeem Dent),2.460,2.320
3,12:20,2,7,ATL 44,6,6,Tony Romo pass incomplete short right intended for Miles Austin,2.320,1.620
3,12:16,3,7,ATL 44,6,6,Tony Romo sacked by Jonathan Babineaux for -9 yards,1.620,-0.260
3,11:48,4,16,DAL 47,6,6,"Brian Moorman punts 39 yards, fair catch by Dominique Franks",-0.260,0.280
3,11:41,1,10,ATL 14,6,6,Michael Turner right tackle for no gain (tackle by Danny McCray),-0.280,-0.750
3,11:02,2,10,ATL 14,6,6,Matt Ryan pass complete short right to Julio Jones for 18 yards (tackle by Bruce Carter),-0.750,1.070
3,10:28,1,10,ATL 32,6,6,Michael Turner left end for -2 yards (tackle by Bruce Carter),1.070,0.260
3,9:44,2,12,ATL 30,6,6,Matt Ryan pass incomplete short middle intended for Tony Gonzalez (defended by Bruce Carter),0.260,-0.430
3,9:39,3,12,ATL 30,6,6,Matt Ryan pass complete deep left to Roddy White for 26 yards (tackle by Morris Claiborne),-0.430,2.650
3,8:58,1,10,DAL 44,6,6,Matt Ryan pass complete deep left to Roddy White for 20 yards (tackle by Danny McCray and Gerald Sensabaugh),2.650,3.970
3,8:15,1,10,DAL 24,6,6,Matt Ryan sacked by Josh Brent and DeMarcus Ware for -3 yards,3.970,3.030
3,7:31,2,13,DAL 27,6,6,Matt Ryan pass incomplete short middle intended for Harry Douglas,3.030,2.350
3,7:28,3,13,DAL 27,6,6,Matt Ryan pass complete short middle to Jason Snelling for 2 yards (tackle by Bruce Carter),2.350,1.800
3,6:48,4,11,DAL 25,6,6,Matt Bryant 43 yard field goal no good,1.800,-1.140
3,6:43,1,10,DAL 33,6,6,Lance Dunbar left guard for -3 yards (tackle by Stephen Nicholas),1.140,0.190
3,6:03,2,13,DAL 30,6,6,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Stephen Nicholas and Robert McClain),0.190,0.700
3,5:17,3,4,DAL 39,6,6,Tony Romo pass complete short right to Lawrence Vickers for 5 yards (tackle by Thomas DeCoud),0.700,1.860
3,4:45,1,10,DAL 44,6,6,Tony Romo pass complete short right to Jason Witten for 2 yards (tackle by William Moore),1.860,1.590
3,4:09,2,8,DAL 46,6,6,"Tony Romo pass complete short left to Miles Austin for 4 yards (tackle by Robert McClain). Penalty on Nate Livings: Offensive Holding, 10 yards (no play)",1.590,0.240
3,3:49,2,18,DAL 36,6,6,Tony Romo pass complete short middle to Miles Austin for 5 yards (tackle by Stephen Nicholas),0.240,0.230
3,3:07,3,13,DAL 41,6,6,Tony Romo pass incomplete short middle intended for Miles Austin,0.230,-0.650
3,3:02,4,13,DAL 41,6,6,"Brian Moorman punts 56 yards, returned by Dominique Franks for 4 yards (tackle by Eric Frampton). Penalty on Eric Frampton: Player Out of Bounds on Punt, 5 yards (no play)",-0.650,-0.980
3,2:50,4,18,DAL 36,6,6,"Brian Moorman punts 51 yards, returned by Dominique Franks for 6 yards (tackle by Lance Dunbar)",-0.980,-0.150
3,2:39,1,10,ATL 19,6,6,Matt Ryan pass complete short middle to Roddy White for 16 yards (tackle by Danny McCray),0.150,1.270
3,2:01,1,10,ATL 35,6,6,Michael Turner up the middle for 8 yards (tackle by Alex Albright),1.270,1.800
3,1:29,2,2,ATL 43,6,6,Michael Turner right end for 43 yards (tackle by Brandon Carr),1.800,4.650
3,0:43,1,10,DAL 14,6,6,Jacquizz Rodgers left guard for 3 yards (tackle by Anthony Spencer),4.650,4.520
Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,DAL 11,6,6,Matt Ryan pass complete short left to Roddy White for 8 yards (tackle by Bruce Carter),4.520,6.510
4,14:21,1,3,DAL 3,6,12,"Michael Turner right tackle for 3 yards, touchdown",6.510,7.000
4,14:21,,,DAL 2,6,13,Matt Bryant kicks extra point good,0.000,0.000
4,14:16,,,ATL 35,6,13,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
4,14:16,1,10,DAL 20,6,13,Tony Romo pass incomplete short left intended for Dez Bryant,0.280,-0.270
4,14:11,2,10,DAL 20,6,13,Lance Dunbar left tackle for -3 yards (tackle by Vance Walker and Jonathan Babineaux),-0.270,-1.510
4,13:26,3,13,DAL 17,6,13,Tony Romo pass complete short right to Miles Austin for 10 yards (tackle by John Abraham),-1.510,-1.570
4,12:49,4,3,DAL 27,6,13,"Brian Moorman punts 53 yards, returned by Dominique Franks for no gain",-1.570,-0.280
4,12:39,1,10,ATL 20,6,13,Matt Ryan pass complete short left to Jason Snelling for -3 yards (tackle by Jason Hatcher),0.280,-0.790
4,11:57,2,13,ATL 17,6,13,Matt Ryan pass complete short left to Julio Jones for 48 yards (tackle by Bruce Carter),-0.790,3.250
4,11:13,1,10,DAL 35,6,13,Michael Turner right guard for 3 yards (tackle by Bruce Carter),3.250,3.110
4,10:30,2,7,DAL 32,6,13,Matt Ryan pass complete short right to Jacquizz Rodgers for 6 yards (tackle by Jason Hatcher),3.110,3.200
4,9:49,3,1,DAL 26,6,13,Julio Jones left end for 8 yards (tackle by Gerald Sensabaugh),3.200,4.370
4,9:14,1,10,DAL 18,6,13,Matt Ryan sacked by Victor Butler for -9 yards,4.370,2.610
4,8:34,2,19,DAL 27,6,13,Michael Turner left guard for 9 yards (tackle by Victor Butler),2.610,3.050
4,7:59,3,10,DAL 18,6,13,Matt Ryan pass incomplete deep right intended for Roddy White (defended by Brandon Carr),3.050,2.250
4,7:53,4,10,DAL 18,6,16,Matt Bryant 36 yard field goal good,2.250,3.000
4,7:49,,,ATL 35,6,16,"Matt Bosher kicks off 72 yards, returned by Lance Dunbar for 41 yards (tackle by Robert James). Penalty on Alex Albright: Illegal Block Above the Waist, 10 yards",0.000,0.410
4,7:40,1,10,DAL 22,6,16,Tony Romo pass complete deep right to Miles Austin for 20 yards (tackle by Asante Samuel),0.410,1.730
4,7:13,1,10,DAL 42,6,16,Tony Romo pass complete short middle to Felix Jones for 6 yards (tackle by Robert McClain),1.730,2.000
4,6:47,2,4,DAL 48,6,16,Tony Romo pass complete short middle to Jason Witten for 7 yards (tackle by Akeem Dent and Stephen Nicholas),2.000,2.590
4,6:23,1,10,ATL 45,6,16,Tony Romo pass complete short middle to Jason Witten for 10 yards (tackle by Akeem Dent),2.590,3.250
4,5:59,1,10,ATL 35,6,16,Tony Romo pass complete short right to Felix Jones for 14 yards (tackle by Thomas DeCoud),3.250,4.170
4,5:31,1,10,ATL 21,12,16,"Tony Romo pass complete deep right to Kevin Ogletree for 21 yards, touchdown",4.170,7.000
4,5:31,,,ATL 2,13,16,Dan Bailey kicks extra point good,0.000,0.000
4,5:21,,,DAL 35,13,16,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
4,5:21,1,10,ATL 20,13,16,"Matt Ryan pass incomplete deep left intended for Julio Jones. Penalty on Julio Jones: Offensive Pass Interference, 10 yards (no play)",0.280,-0.760
4,5:15,1,20,ATL 10,13,16,Michael Turner right guard for 10 yards (tackle by Bruce Carter),-0.760,-0.270
4,4:32,2,10,ATL 20,13,16,Matt Ryan pass complete short left to Tony Gonzalez for 4 yards (tackle by Orlando Scandrick),-0.270,-0.430
4,3:57,3,6,ATL 24,13,16,Matt Ryan pass complete short right to Jacquizz Rodgers for 31 yards (tackle by Gerald Sensabaugh),-0.430,0.000
4,3:45,,,,13,16,Timeout #1 by Dallas Cowboys,0.000,2.590
4,3:45,1,10,DAL 45,13,16,Michael Turner right end for 2 yards (tackle by Ernie Sims),2.590,0.000
4,3:39,,,,13,16,Timeout #2 by Dallas Cowboys,0.000,2.310
4,3:39,2,8,DAL 43,13,16,Matt Ryan pass incomplete deep right intended for Roddy White (defended by Mike Jenkins),2.310,1.620
4,3:33,3,8,DAL 43,13,16,"Matt Ryan pass incomplete deep left intended for Roddy White. Penalty on Orlando Scandrick: Defensive Holding, 5 yards (no play)",1.620,3.050
4,3:29,1,10,DAL 38,13,16,Jason Snelling left guard for 5 yards (tackle by Ernie Sims),3.050,0.000
4,3:23,,,,13,16,Timeout #3 by Dallas Cowboys,0.000,3.180
4,3:23,2,5,DAL 33,13,16,Matt Ryan pass incomplete deep left intended for Roddy White (defended by Morris Claiborne),3.180,2.480
4,3:18,3,5,DAL 33,13,16,Matt Ryan pass complete short right to Jacquizz Rodgers for 11 yards (tackle by Danny McCray),2.480,4.110
4,2:18,1,10,DAL 22,13,16,Michael Turner right tackle for 5 yards (tackle by Ernie Sims and Danny McCray),4.110,4.290
4,1:59,2,5,DAL 17,13,16,Michael Turner right end for 1 yard (tackle by Anthony Spencer),4.290,3.740
4,1:09,3,4,DAL 16,13,16,Michael Turner right end for 2 yards (tackle by Kenyon Coleman),3.740,0.000
4,0:22,,,,13,16,Timeout #1 by Atlanta Falcons,0.000,2.630
4,0:22,4,2,DAL 14,13,19,Matt Bryant 32 yard field goal good,2.630,3.000
4,0:17,,,ATL 35,13,19,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
4,0:17,1,10,DAL 20,13,19,Tony Romo pass complete short left to Jason Witten for 7 yards,0.280,0.680
4,0:13,2,3,DAL 27,13,19,Tony Romo pass complete short left to Jason Witten for 11 yards,0.680,1.470
4,0:09,1,10,DAL 38,13,19,Tony Romo pass complete short left to Felix Jones for 2 yards (tackle by Akeem Dent),1.470,1.190
4,0:03,2,8,DAL 40,13,19,Tony Romo pass complete short left to Felix Jones for 39 yards (tackle by Dunta Robinson),1.190,4.170
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
