Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
2,8:56,2,13,STL 35,3,14,Jameis Winston pass complete short middle to Adam Humphries for 7 yards (tackle by Maurice Alexander),2.500,2.740
2,8:21,3,6,STL 28,3,14,Jameis Winston right end for 5 yards (tackle by James Laurinaitis and Trumaine Johnson),2.740,2.740
2,7:30,3,6,STL 28,3,14,Timeout #1 by Tampa Bay Buccaneers,2.740,2.080
2,7:30,4,1,STL 23,3,14,Doug Martin left tackle for -2 yards (tackle by Aaron Donald),2.080,-0.610
2,7:26,1,10,STL 25,3,14,Case Keenum pass complete short middle to Tavon Austin for 13 yards (tackle by Chris Conte),0.610,1.470
2,6:50,1,10,STL 38,3,14,Todd Gurley left end for -3 yards (tackle by Orie Lemon),1.470,0.520
2,6:10,2,13,STL 35,3,14,Case Keenum pass complete short middle to Lance Kendricks for 8 yards (tackle by Danny Lansanah and Lavonte David),0.520,0.890
2,5:27,3,5,STL 43,3,14,Case Keenum pass complete deep right to Jared Cook for 17 yards (tackle by Major Wright),0.890,2.920
2,4:52,1,10,TAM 40,3,14,Case Keenum pass complete short right to Todd Gurley for 12 yards (tackle by William Gholston and Henry Melton),2.920,3.710
2,4:05,1,10,TAM 28,3,14,"Todd Gurley right tackle for 4 yards (tackle by William Gholston). Penalty on William Gholston: Unnecessary Roughness, 12 yards",3.710,4.780
2,3:39,1,10,TAM 12,3,14,Todd Gurley middle for 2 yards (tackle by Lavonte David),4.780,4.450
2,3:02,2,8,TAM 10,3,14,Case Keenum pass complete short middle to Jared Cook for 7 yards (tackle by Major Wright and Lavonte David),4.450,5.060
2,2:16,3,1,TAM 3,3,20,"Todd Gurley middle for 3 yards, touchdown",5.060,7.000
2,2:16,,,TAM 3,3,21,Greg Zuerlein kicks extra point good,0.000,0.000
2,2:16,,,STL 35,3,21,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
2,2:09,1,10,TAM 20,3,21,Jameis Winston pass complete short left to Charles Sims for -4 yards (tackle by Maurice Alexander),0.280,-0.940
2,2:00,2,14,TAM 16,3,21,Charles Sims right end for no gain (tackle by Maurice Alexander),-0.940,-1.690
2,1:36,3,14,TAM 16,3,21,Charles Sims right tackle for -2 yards (tackle by Aaron Donald),-1.690,-1.690
2,1:17,3,14,TAM 16,3,21,Timeout #1 by Los Angeles Rams,-1.690,-2.470
2,1:17,4,16,TAM 14,3,21,"Jake Schum punts 35 yards, fair catch by Tavon Austin",-2.470,-2.320
2,1:10,1,10,TAM 49,3,21,Case Keenum pass incomplete short left intended for Jared Cook (defended by Danny Lansanah),2.320,1.780
2,1:05,2,10,TAM 49,3,21,Case Keenum sacked by Howard Jones and Gerald McCoy for -12 yards,1.780,-0.490
2,0:21,3,22,STL 39,3,21,Benny Cunningham right tackle for 4 yards (tackle by Danny Lansanah),-0.490,-0.520
Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,3,21,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,TAM 20,3,21,Jameis Winston pass complete short right to Luke Stocker for 8 yards (tackle by Mark Barron),0.280,0.810
3,14:27,2,2,TAM 28,3,21,Doug Martin left tackle for 4 yards (tackle by Ethan Westbrooks),0.810,1.070
3,13:44,1,10,TAM 32,3,21,Jameis Winston pass incomplete deep left intended for Mike Evans,1.070,0.530
3,13:37,2,10,TAM 32,3,21,"Doug Martin right end for 1 yard (tackle by Aaron Donald). Penalty on Janoris Jenkins: Unnecessary Roughness, 15 yards",0.530,2.130
3,13:17,1,10,TAM 48,3,21,"Jameis Winston pass complete deep right to Mike Evans for 26 yards. Penalty on TAM: Illegal Formation, 5 yards (no play)",2.130,1.800
3,12:53,1,15,TAM 43,3,21,Jameis Winston pass complete deep right to Mike Evans for 20 yards (tackle by Trumaine Johnson),1.800,3.120
,,,,,,,"STL challenged the pass completion ruling, and the play was upheld.",,
3,12:44,1,10,STL 37,3,21,Jameis Winston pass incomplete deep middle intended for Mike Evans,3.120,2.570
3,12:40,2,10,STL 37,3,21,Jameis Winston pass complete short left to Adam Humphries for 14 yards (tackle by James Laurinaitis),2.570,4.040
3,12:04,1,10,STL 23,3,21,"Jameis Winston right tackle for 1 yard (tackle by Lamarcus Joyner). Penalty on William Hayes: Defensive Offside, 5 yards (no play)",4.040,4.860
3,11:44,1,5,STL 18,3,21,Charles Sims left tackle for -2 yards (tackle by Michael Brockers and Ethan Westbrooks),4.860,3.900
3,11:01,2,7,STL 20,3,21,Jameis Winston pass complete short right to Luke Stocker for 14 yards (tackle by Trumaine Johnson),3.900,5.830
3,10:44,1,6,STL 6,3,21,Doug Martin right end for -3 yards (tackle by Mark Barron),5.830,4.380
3,9:54,2,9,STL 9,3,21,"Penalty on Jameis Winston: Delay of Game, 5 yards (no play)",4.380,3.580
3,9:33,2,14,STL 14,3,21,Jameis Winston pass incomplete short right intended for Austin Seferian-Jenkins (defended by Rodney McLeod),3.580,3.000
3,9:25,3,14,STL 14,3,21,Jameis Winston pass incomplete short right intended for Donteea Dye,3.000,2.510
3,9:19,4,14,STL 14,6,21,Connor Barth 32 yard field goal good,2.510,3.000
3,9:19,,,TAM 35,6,21,"Connor Barth kicks off 67 yards, returned by Benny Cunningham for 19 yards (tackle by Russell Shepard)",0.000,0.060
3,9:11,1,10,STL 17,6,21,Todd Gurley middle for 9 yards (tackle by Chris Conte and Major Wright),-0.060,0.750
3,8:29,2,1,STL 26,6,21,Case Keenum pass complete deep left to Jared Cook for 25 yards (tackle by Major Wright and Chris Conte). Penalty on Major Wright: Defensive Holding (Declined),0.750,2.320
3,8:03,1,10,TAM 49,6,21,Todd Gurley left tackle for -1 yards (tackle by William Gholston and Danny Lansanah),2.320,1.650
3,7:30,2,11,,6,21,Case Keenum pass complete short left to Jared Cook for 15 yards (tackle by Lavonte David),1.650,3.250
3,6:51,1,10,TAM 35,6,21,Case Keenum pass complete short right to Tavon Austin for 11 yards (tackle by Josh Keyes),3.250,3.970
3,6:19,1,10,TAM 24,6,21,Todd Gurley left guard for 3 yards (tackle by William Gholston),3.970,3.840
3,5:42,2,7,TAM 21,6,27,"Tavon Austin right end for 21 yards, touchdown",3.840,7.000
3,5:42,,,TAM 21,6,28,Greg Zuerlein kicks extra point good,0.000,0.000
3,5:42,,,STL 35,6,28,"Greg Zuerlein kicks off 69 yards, returned by Bobby Rainey for 18 yards (tackle by Cody Davis)",0.000,0.280
3,5:30,1,10,TAM 14,6,28,Doug Martin left end for 4 yards (tackle by James Laurinaitis),-0.280,-0.210
3,5:00,2,6,TAM 18,6,28,Jameis Winston pass incomplete deep right intended for Mike Evans,-0.210,-0.920
3,4:55,3,6,TAM 18,6,28,Jameis Winston pass complete deep middle to Mike Evans for 20 yards (tackle by Janoris Jenkins),-0.920,1.470
3,4:12,1,10,TAM 38,6,28,Jameis Winston pass incomplete deep left intended for Mike Evans,1.470,0.920
3,4:08,2,10,TAM 38,6,28,Doug Martin left tackle for 17 yards (tackle by Eugene Sims),0.920,2.590
3,3:39,1,10,STL 45,6,28,"Jameis Winston for no gain. Jameis Winston fumbles, recovered by Doug Worthington at STL-46 (tackle by Doug Martin)",2.590,-1.990
3,3:32,1,10,STL 46,6,28,Case Keenum pass complete short right to Lance Kendricks for 8 yards (tackle by Major Wright),1.990,2.530
3,2:56,2,2,TAM 46,6,28,Tre Mason right tackle for 3 yards (tackle by Danny Lansanah and William Gholston),2.530,2.530
3,2:07,2,2,TAM 46,6,28,Timeout #2 by Los Angeles Rams,2.530,2.720
3,2:07,1,10,TAM 43,6,28,"Penalty on Gerald McCoy: Encroachment, 5 yards (no play)",2.720,3.450
3,2:05,1,5,TAM 38,6,28,Tre Mason middle for 3 yards (tackle by William Gholston),3.450,3.260
3,1:27,2,2,TAM 35,6,28,Tavon Austin middle for -2 yards (tackle by Lavonte David),3.260,2.280
3,0:46,3,4,TAM 37,6,28,"Penalty on Case Keenum: Delay of Game, 5 yards (no play)",2.280,1.620
3,0:18,3,9,TAM 42,6,28,Benny Cunningham right tackle for 4 yards (tackle by Danny Lansanah),1.620,0.720
Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,TAM 38,6,28,Penalty on Johnny Hekker: Delay of Game (Declined),0.720,0.720
4,15:00,4,5,TAM 38,6,28,"Johnny Hekker punts 34 yards. Penalty on Da'Quan Bowers: Offensive Holding, 2 yards",0.720,0.380
4,14:49,1,10,TAM 2,6,28,Jameis Winston pass complete deep left to Mike Evans for 20 yards (tackle by Rodney McLeod),-0.380,0.410
4,14:27,1,10,TAM 22,6,28,Jameis Winston pass complete deep left to Mike Evans for 30 yards (tackle by Janoris Jenkins),0.410,2.390
4,13:58,1,10,STL 48,6,28,"Jameis Winston pass complete short middle to Donteea Dye for 44 yards. Donteea Dye fumbles, recovered by Luke Stocker at STL-4 and returned for 1 yards",2.390,6.510
4,13:09,1,3,STL 3,12,28,"Jameis Winston pass complete short middle to Luke Stocker for 3 yards, touchdown",6.510,7.000
4,13:09,1,,STL 3,12,28,"Two Point Attempt: Jameis Winston pass complete to Russell Shepard, conversion succeeds. Penalty on Ali Marpet: Offensive Holding, 10 yards (no play)",6.510,-1.000
4,13:09,,,STL 3,13,28,Connor Barth kicks extra point good,0.000,0.000
4,13:09,,,TAM 35,13,28,"Connor Barth kicks off 70 yards, returned by Benny Cunningham for 102 yards (tackle by Mike Jenkins)",0.000,-6.510
4,12:48,1,3,TAM 3,13,28,Todd Gurley right tackle for 1 yard (tackle by Tony McDaniel),6.510,5.720
4,12:13,2,2,TAM 2,13,28,Todd Gurley left tackle for no gain (tackle by Lavonte David),5.720,4.950
4,11:29,3,2,TAM 2,13,28,Todd Gurley middle for 1 yard (tackle by Danny Lansanah),4.950,3.550
4,10:42,4,1,TAM 1,13,31,Greg Zuerlein 19 yard field goal good,3.550,3.000
4,10:42,,,STL 35,13,31,"Greg Zuerlein kicks off 65 yards, returned by Bobby Rainey for 20 yards (tackle by Mark Barron)",0.000,-0.280
4,10:34,1,10,TAM 20,13,31,Charles Sims right tackle for 9 yards (tackle by Trumaine Johnson),0.280,0.950
4,10:07,2,1,TAM 29,13,31,Jameis Winston pass complete short left to Adam Humphries for 11 yards (tackle by Lamarcus Joyner),0.950,1.600
4,9:36,1,10,TAM 40,13,31,Jameis Winston pass incomplete deep left intended for Russell Shepard,1.600,1.050
4,9:29,2,10,TAM 40,13,31,Jameis Winston pass complete short left to Adam Humphries for 12 yards (tackle by Maurice Alexander and Lamarcus Joyner),1.050,2.390
4,8:55,1,10,STL 48,13,31,Jameis Winston pass incomplete deep right intended for Donteea Dye,2.390,1.850
4,8:51,2,10,STL 48,13,31,Charles Sims left end for 35 yards (tackle by Rodney McLeod),1.850,4.710
4,8:13,1,10,STL 13,13,31,Jameis Winston pass incomplete short middle intended for Austin Seferian-Jenkins,4.710,4.050
4,8:09,2,10,STL 13,13,31,"Penalty on Eugene Sims: Neutral Zone Infraction, 5 yards (no play)",4.050,4.960
4,8:09,2,5,STL 8,13,31,"Jameis Winston pass complete short right to Austin Seferian-Jenkins for 7 yards (tackle by Maurice Alexander). Penalty on Austin Seferian-Jenkins: Delay of Game, 5 yards",4.960,5.830
4,7:49,1,6,STL 6,13,31,Jameis Winston pass incomplete short left intended for Cameron Brate (defended by Maurice Alexander),5.830,4.950
4,7:43,2,6,STL 6,13,31,Jameis Winston pass incomplete short left intended for Russell Shepard,4.950,4.040
4,7:39,3,6,STL 6,13,31,Jameis Winston pass incomplete short middle intended for Cameron Brate,4.040,2.990
4,7:34,4,6,STL 6,16,31,Connor Barth 24 yard field goal good,2.990,3.000
4,7:34,,,TAM 35,16,31,"Connor Barth kicks off 47 yards, muffed catch by Chase Reynolds, ball out of bounds at STL-19",0.000,-0.150
4,7:30,1,10,STL 19,16,31,Todd Gurley middle for 5 yards (tackle by Jacquies Smith),0.150,0.340
4,6:53,2,5,STL 24,16,31,Case Keenum sacked by Jacquies Smith for -1 yards,0.340,-0.550
4,6:29,3,6,STL 23,16,31,Tavon Austin right end for -2 yards (tackle by Jacquies Smith and Jeremiah George),-0.550,-0.550
4,6:21,3,6,STL 23,16,31,Timeout #1 by Tampa Bay Buccaneers,-0.550,-1.960
4,6:21,4,8,STL 21,16,31,"Johnny Hekker punts 48 yards, fair catch by Bobby Rainey",-1.960,-1.000
4,6:13,1,10,TAM 31,16,31,Jameis Winston pass complete deep right to Mike Evans for 17 yards (tackle by Maurice Alexander),1.000,2.130
4,6:01,1,10,TAM 48,16,31,Jameis Winston pass complete short right to Adam Humphries for 6 yards (tackle by Mark Barron and Trumaine Johnson),2.130,2.390
4,5:32,2,4,STL 46,16,31,Jameis Winston pass complete short right to Cameron Brate for 7 yards (tackle by Mark Barron),2.390,2.980
4,5:08,1,10,STL 39,16,31,Jameis Winston pass incomplete deep right intended for Mike Evans is intercepted by Trumaine Johnson at STL-23 and returned for 9 yards,2.980,-1.070
4,4:54,1,10,STL 32,16,31,Todd Gurley right tackle for 3 yards (tackle by Tony McDaniel),1.070,0.930
4,4:13,2,7,STL 35,16,31,Todd Gurley middle for 2 yards (tackle by Lavonte David),0.930,0.930
4,4:09,2,7,STL 35,16,31,Timeout #2 by Tampa Bay Buccaneers,0.930,0.500
4,4:09,3,5,STL 37,16,31,Todd Gurley left tackle for -1 yards (tackle by William Gholston),0.500,0.500
4,4:05,3,5,STL 37,16,31,Timeout #3 by Tampa Bay Buccaneers,0.500,-0.980
4,4:05,4,6,STL 36,16,31,"Johnny Hekker punts 45 yards, fair catch by Bobby Rainey",-0.980,-0.150
4,3:58,1,10,TAM 19,16,31,Jameis Winston pass complete short left to Cameron Brate for 5 yards (tackle by Janoris Jenkins),0.150,0.340
4,3:38,2,5,TAM 24,16,31,Jameis Winston pass complete short middle to Doug Martin for 6 yards (tackle by James Laurinaitis),0.340,0.940
4,3:12,1,10,TAM 30,16,31,Jameis Winston pass complete short right to Cameron Brate for 8 yards (tackle by Mark Barron),0.940,1.470
4,3:06,2,2,TAM 38,16,31,Jameis Winston pass complete short middle to Austin Seferian-Jenkins for 13 yards (tackle by Trumaine Johnson),1.470,2.320
4,2:45,1,10,STL 49,16,31,Jameis Winston pass incomplete short left intended for Donteea Dye,2.320,1.780
4,2:39,2,10,STL 49,16,31,Jameis Winston pass complete short right to Mike Evans for 14 yards (tackle by Trumaine Johnson),1.780,3.250
4,2:14,1,10,STL 35,16,31,Jameis Winston pass incomplete short left intended for Donteea Dye (defended by Mark Barron),3.250,2.700
4,2:08,2,10,STL 35,16,31,Jameis Winston pass complete short right to Charles Sims for 19 yards (tackle by Rodney McLeod),2.700,4.510
4,2:00,1,10,STL 16,16,31,Jameis Winston pass complete short middle to Charles Sims for 7 yards (tackle by Mark Barron),4.510,5.160
4,1:39,2,3,STL 9,22,31,"Jameis Winston pass complete short left to Austin Seferian-Jenkins for 9 yards, touchdown",5.160,7.000
4,1:39,,,STL 9,23,31,Connor Barth kicks extra point good,0.000,0.000
4,1:34,2,3,STL 9,23,31,Timeout #3 by Los Angeles Rams,5.160,0.000
4,1:39,,,TAM 35,23,31,"Connor Barth kicks onside 10 yards, recovered by Bryce Hager",0.000,-2.590
4,1:33,1,10,TAM 45,23,31,Case Keenum kneels for -1 yards,2.590,1.910
4,0:54,2,11,TAM 46,23,31,Case Keenum kneels for -1 yards,1.910,1.090
4,0:27,3,12,TAM 47,23,31,Case Keenum kneels for -1 yards,1.090,0.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
