Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
2,4:34,3,10,CIN 28,7,10,Tom Brady pass complete short middle to Mohamed Sanu for 6 yards (tackle by Darqueze Dennard),2.480,2.070
2,3:55,4,4,CIN 22,10,10,Nick Folk 40 yard field goal good,2.070,3.000
2,3:51,,,NWE 35,10,10,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,3:51,1,10,CIN 25,10,10,Joe Mixon right tackle for no gain (tackle by Adam Butler),0.610,0.060
2,3:14,2,10,CIN 25,10,10,Joe Mixon left tackle for 2 yards (tackle by Adam Butler),0.060,-0.360
2,2:31,3,8,CIN 27,10,10,Andy Dalton pass complete short right to Giovani Bernard for 1 yard (tackle by Jamie Collins),-0.360,-1.500
2,2:15,,,,,,Timeout #2 by New England Patriots,,
2,2:15,4,7,CIN 28,10,10,Kevin Huber punts 32 yards out of bounds,-1.500,-1.600
2,2:05,1,10,NWE 40,10,10,Sony Michel right end for 1 yard (tackle by Sam Hubbard and Carlos Dunlap),1.600,1.190
2,1:59,2,9,NWE 41,10,10,Tom Brady pass complete short right to Julian Edelman for -2 yards (tackle by B.W. Webb),1.190,0.230
2,1:52,3,11,NWE 39,10,10,Tom Brady sacked by Sam Hubbard for -5 yards,0.230,-1.110
2,1:45,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:45,4,16,NWE 34,10,10,"Jake Bailey punts 43 yards, muffed catch by Alex Erickson, recovered by Justin Bethel at CIN-23",-1.110,4.040
2,1:30,1,10,CIN 23,10,10,Tom Brady pass complete short right to Rex Burkhead for 2 yards (tackle by Nick Vigil),4.040,3.770
2,0:59,2,8,CIN 21,10,10,Tom Brady pass incomplete deep middle intended for Mohamed Sanu,3.770,3.070
2,0:54,3,8,CIN 21,10,10,Tom Brady sacked by Carlos Dunlap for -7 yards,3.070,1.590
2,0:10,,,,,,Timeout #3 by New England Patriots,,
2,0:10,4,15,CIN 28,13,10,Nick Folk 46 yard field goal good,1.590,3.000
2,0:05,,,NWE 35,13,10,"Jake Bailey kicks off 25 yards, out of bounds",0.000,1.600
2,0:05,1,10,CIN 40,13,10,Andy Dalton kneels for -1 yards,1.600,0.920
Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,13,10,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CIN 25,13,10,Andy Dalton pass incomplete short left,0.610,0.060
3,14:53,2,10,CIN 25,13,10,Joe Mixon up the middle for 4 yards (tackle by Deatrich Wise and Jamie Collins),0.060,-0.100
3,14:21,3,6,CIN 29,13,10,Andy Dalton pass short left intended for Tyler Boyd is intercepted by Stephon Gilmore at CIN-43 and returned for no gain,-0.100,-2.720
3,14:16,1,10,CIN 43,13,10,Sony Michel right guard for 3 yards (tackle by Andrew Billings),2.720,2.580
3,13:42,2,7,CIN 40,13,10,Tom Brady pass complete short right to Matt LaCosse for 6 yards (tackle by B.W. Webb),2.580,2.680
3,12:56,3,1,CIN 34,13,10,James White left end for 13 yards (tackle by Geno Atkins),2.680,4.170
3,12:17,1,10,CIN 21,13,10,Tom Brady pass complete short middle to Sony Michel for 14 yards (tackle by Shawn Williams),4.170,5.600
3,11:29,1,7,CIN 7,13,10,Tom Brady pass incomplete short right intended for Sony Michel,5.600,4.760
3,11:25,2,7,CIN 7,13,10,Tom Brady pass incomplete short left intended for Mohamed Sanu (defended by Carlos Dunlap),4.760,3.810
3,11:23,3,7,CIN 7,19,10,"Tom Brady pass complete short left to N'Keal Harry for 7 yards, touchdown",3.810,7.000
3,11:17,,,CIN 15,20,10,Nick Folk kicks extra point good,0.000,0.000
3,11:17,,,NWE 35,20,10,"Jake Bailey kicks off 68 yards, returned by Darius Phillips for 15 yards (tackle by Justin Bethel)",0.000,-0.350
3,11:12,1,10,CIN 12,20,10,Joe Mixon right end for 12 yards (tackle by Patrick Chung),-0.350,0.540
3,10:35,1,10,CIN 24,20,10,Giovani Bernard left end for 5 yards (tackle by Elandon Roberts),0.540,0.670
3,9:59,2,5,CIN 29,20,10,Andy Dalton pass complete short left to Tyler Boyd for 16 yards (tackle by Patrick Chung),0.670,1.930
3,9:15,,,,,,Timeout #1 by Cincinnati Bengals,,
3,9:15,1,10,CIN 45,20,10,Joe Mixon left guard for 6 yards (tackle by Deatrich Wise and Dont'a Hightower),1.930,2.190
3,8:37,2,4,NWE 49,20,10,Joe Mixon left tackle for 13 yards (tackle by Devin McCourty and Deatrich Wise),2.190,3.180
3,8:00,1,10,NWE 36,20,10,"Andy Dalton pass complete short middle to Joe Mixon for 6 yards (tackle by Kyle Van Noy). Penalty on John Miller: Ineligible Downfield Pass, 5 yards (no play)",3.180,2.850
3,7:32,1,15,NWE 41,26,10,"Andy Dalton pass short right intended for Tyler Boyd is intercepted by Stephon Gilmore at NE-36 and returned for 64 yards, touchdown",2.850,-7.000
3,7:21,,,CIN 15,27,10,Nick Folk kicks extra point good,0.000,0.000
3,7:21,,,NWE 35,27,10,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
3,7:21,1,10,CIN 25,27,10,Joe Mixon right end for 6 yards (tackle by John Simon),0.610,0.870
3,6:48,2,4,CIN 31,27,10,Joe Mixon right guard for 2 yards (tackle by Lawrence Guy and Chase Winovich),0.870,0.430
3,6:04,3,2,CIN 33,27,10,Andy Dalton pass incomplete short left intended for Tyler Boyd (defended by Jamie Collins),0.430,-1.180
3,6:01,4,2,CIN 33,27,10,"Kevin Huber punts 43 yards, fair catch by Mohamed Sanu at NE-24",-1.180,-0.540
3,5:54,1,10,NWE 24,27,10,Sony Michel left guard for 4 yards (tackle by Andrew Billings),0.540,0.540
3,5:24,2,6,NWE 28,27,10,Sony Michel right guard for 5 yards (tackle by Andrew Billings and Shawn Williams),0.540,0.500
3,4:48,3,1,NWE 33,27,10,"Sony Michel right end for -1 yards (tackle by Carlos Dunlap). Sony Michel fumbles (forced by Carlos Dunlap), recovered by Sony Michel at NE-32",0.500,-1.240
3,4:08,4,2,NWE 32,27,10,"Jake Bailey punts 40 yards, fair catch by Darius Phillips at CIN-28",-1.240,-0.810
3,4:01,1,10,CIN 28,27,10,Joe Mixon left tackle for 2 yards (tackle by Danny Shelton),0.810,0.530
3,3:26,2,8,CIN 30,27,10,Joe Mixon left end for 3 yards (tackle by Ja'Whaun Bentley and Chase Winovich),0.530,0.230
3,2:44,3,5,CIN 33,27,10,Andy Dalton pass complete deep left to Tyler Eifert for 24 yards (tackle by Terrence Brooks),0.230,2.720
3,1:58,1,10,NWE 43,27,10,Andy Dalton pass complete short right to Tyler Boyd for 2 yards (tackle by J.C. Jackson),2.720,2.450
3,1:12,2,8,NWE 41,27,10,Andy Dalton pass complete short left to Joe Mixon for 4 yards (tackle by Terrence Brooks and Ja'Whaun Bentley),2.450,2.280
3,0:30,3,4,NWE 37,27,10,Andy Dalton pass deep right intended for Alex Erickson is intercepted by J.C. Jackson at NE-10 and returned for no gain,2.280,0.380
3,0:23,1,10,NWE 10,27,10,Sony Michel left guard for 5 yards (tackle by Andrew Billings),-0.380,-0.350
Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,NWE 15,27,10,Sony Michel left guard for 8 yards (tackle by Carlos Dunlap and Jordan Evans),-0.350,0.480
4,14:24,1,10,NWE 23,27,10,Sony Michel left guard for 3 yards (tackle by Josh Tupou and Sam Hubbard),0.480,0.340
4,13:41,2,7,NWE 26,27,10,Tom Brady pass complete short right to Rex Burkhead for 4 yards (tackle by Darqueze Dennard),0.340,0.170
4,12:53,,,,,,Timeout #1 by New England Patriots,,
4,12:51,3,3,NWE 30,27,10,James White right end for no gain (tackle by Carlos Dunlap),0.170,-1.370
4,12:21,4,3,NWE 30,27,10,"Jake Bailey punts 50 yards, returned by Darius Phillips for 9 yards (tackle by Matthew Slater and Ja'Whaun Bentley)",-1.370,-0.870
4,12:11,1,10,CIN 29,27,10,Andy Dalton right end for 2 yards (tackle by Kyle Van Noy),0.870,0.600
4,11:38,2,8,CIN 31,27,10,Andy Dalton pass complete deep right to John Ross for 20 yards,0.600,2.320
4,11:02,1,10,NWE 49,27,10,Andy Dalton pass complete short middle to C.J. Uzomah for 8 yards (tackle by Ja'Whaun Bentley),2.320,2.860
4,10:17,2,2,NWE 41,27,10,Andy Dalton pass incomplete short right intended for C.J. Uzomah,2.860,2.150
4,10:13,3,2,NWE 41,27,10,Giovani Bernard left tackle for -2 yards (tackle by Ja'Whaun Bentley and Terrence Brooks),2.150,0.400
4,9:30,4,4,NWE 43,27,10,Andy Dalton pass complete short right to John Ross for 4 yards,0.400,2.980
4,9:10,1,10,NWE 39,27,10,Andy Dalton pass complete short right to Tyler Eifert for 1 yard (tackle by J.C. Jackson),2.980,2.580
4,8:36,2,9,NWE 38,27,10,Andy Dalton pass complete short middle to Tyler Boyd for 8 yards (tackle by Duron Harmon),2.580,2.940
4,7:53,3,1,NWE 30,27,10,Joe Mixon right end for 5 yards (tackle by Ja'Whaun Bentley),2.940,3.910
4,7:14,1,10,NWE 25,27,10,"Penalty on CIN: Delay of Game, 5 yards (no play)",3.910,3.580
4,6:51,1,15,NWE 30,27,10,Andy Dalton pass incomplete deep right intended for Tyler Boyd (defended by Stephon Gilmore),3.580,2.690
4,6:46,2,15,NWE 30,27,10,Andy Dalton pass incomplete short left intended for Alex Erickson (defended by J.C. Jackson),2.690,2.010
4,6:43,3,15,NWE 30,27,10,Andy Dalton pass incomplete short right intended for Tyler Eifert,2.010,1.410
4,6:38,4,15,NWE 30,27,13,Randy Bullock 48 yard field goal good,1.410,3.000
4,6:33,,,CIN 35,27,13,"Randy Bullock kicks onside 5 yards,",0.000,2.920
4,6:33,1,10,CIN 40,27,13,Tom Brady pass complete short right to Matt LaCosse for 2 yards (tackle by Germaine Pratt),2.920,2.640
4,5:50,2,8,CIN 38,27,13,"Tom Brady pass complete short middle to Mohamed Sanu for 15 yards (tackle by Jessie Bates). Mohamed Sanu fumbles (forced by Jessie Bates), recovered by B.W. Webb at CIN-23 (tackle by N'Keal Harry). Penalty on Andrew Billings: Illegal Blindside Block (Declined) . Penalty on B.W. Webb: Defensive Holding (Declined) . Penalty on Carl Lawson: Illegal Use of Hands, 5 yards (no play)",2.640,3.380
4,5:38,1,10,CIN 33,33,13,"Rex Burkhead left tackle for 33 yards, touchdown",3.380,7.000
4,5:31,,,CIN 15,34,13,Nick Folk kicks extra point good,0.000,0.000
4,5:31,,,NWE 35,34,13,"Jake Bailey kicks off 63 yards, returned by Darius Phillips for 21 yards (tackle by Matthew Slater)",0.000,0.480
4,5:26,1,10,CIN 23,34,13,Andy Dalton pass incomplete short right intended for Alex Erickson (defended by Adam Butler),0.480,-0.070
4,5:22,,,,,,Timeout #2 by New England Patriots,,
4,5:22,2,10,CIN 23,34,13,Andy Dalton pass incomplete deep left intended for Tyler Eifert,-0.070,-0.760
4,5:16,3,10,CIN 23,34,13,Andy Dalton pass incomplete deep right,-0.760,-1.830
4,5:11,4,10,CIN 23,34,13,"Kevin Huber punts 50 yards, returned by Mohamed Sanu for 1 yard (tackle by Stanley Morgan)",-1.830,-0.810
4,5:02,1,10,NWE 28,34,13,Sony Michel left guard for 7 yards (tackle by Nick Vigil),0.810,1.210
4,4:25,2,3,NWE 35,34,13,Sony Michel right tackle for no gain (tackle by Andrew Billings and Germaine Pratt),1.210,0.500
4,4:19,,,,,,Timeout #2 by Cincinnati Bengals,,
4,4:19,3,3,NWE 35,34,13,Tom Brady pass incomplete deep right intended for N'Keal Harry. Penalty on N'Keal Harry: Offensive Pass Interference (Declined),0.500,-1.040
4,4:13,4,3,NWE 35,34,13,"Jake Bailey punts 65 yards, touchback.",-1.040,-0.280
4,4:06,1,10,CIN 20,34,13,"Andy Dalton pass incomplete short right intended for Tyler Eifert. Penalty on Terrence Brooks: Illegal Contact, 5 yards (no play)",0.280,0.610
4,4:02,1,10,CIN 25,34,13,"Andy Dalton pass complete short left to Giovani Bernard for 9 yards (tackle by Terrence Brooks). Penalty on Deatrich Wise: Roughing the Passer, 15 yards",0.610,2.190
4,3:54,1,10,CIN 49,34,13,Andy Dalton pass deep left intended for John Ross is intercepted by J.C. Jackson at NE-13 and returned for 13 yards,2.190,-0.670
4,3:43,1,10,NWE 26,34,13,Sony Michel right end for 3 yards (tackle by Germaine Pratt),0.670,0.540
4,3:36,,,,,,Timeout #3 by Cincinnati Bengals,,
4,3:36,2,7,NWE 29,34,13,Sony Michel right end for 6 yards (tackle by Germaine Pratt),0.540,0.630
4,3:30,3,1,NWE 35,34,13,Rex Burkhead left end for 8 yards (tackle by Jessie Bates),0.630,1.800
4,2:47,1,10,NWE 43,34,13,Rex Burkhead right tackle for 3 yards (tackle by Germaine Pratt and Geno Atkins),1.800,1.660
4,2:10,2,7,NWE 46,34,13,Rex Burkhead left tackle for 1 yard (tackle by Andrew Billings),1.660,1.090
4,2:00,3,6,NWE 47,34,13,Rex Burkhead right end for 6 yards (tackle by Josh Tupou),1.090,2.460
4,1:17,1,10,CIN 47,34,13,Tom Brady kneels for -1 yards,2.460,1.780
4,0:35,2,11,CIN 48,34,13,Tom Brady kneels for -1 yards,1.780,0.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
