Quarter,Time,Down,ToGo,Location,IND,SFO,Detail,EPB,EPA
2,12:23,2,10,SFO 42,7,12,Carson Wentz pass complete short left to Ashton Dulin for -2 yards (tackle by Josh Norman),,
2,11:41,3,12,SFO 44,7,12,Carson Wentz pass incomplete short right intended for Ashton Dulin (defended by Emmanuel Moseley),,
2,11:32,4,12,SFO 44,7,12,"Rigoberto Sanchez punts 34 yards, fair catch by Mohamed Sanu at SF-10",,
2,11:25,1,10,SFO 10,7,12,Elijah Mitchell left guard for 5 yards (tackle by DeForest Buckner and Xavier Rhodes),,
2,10:43,2,5,SFO 15,7,12,Elijah Mitchell up the middle for 3 yards (tackle by Khari Willis and Shaquille Leonard),,
2,10:06,3,2,SFO 18,7,12,Jamycal Hasty up the middle for -1 yards (tackle by Bobby Okereke),,
2,9:27,4,3,SFO 17,7,12,Mitch Wishnowsky punts 65 yards downed by Trent Sherfield,,
2,9:22,1,10,IND 18,7,12,Marlon Mack right tackle for 1 yard (tackle by Jaquiski Tartt),,
2,8:43,2,9,IND 19,7,12,Carson Wentz pass complete short right to Zach Pascal for 2 yards (tackle by Emmanuel Moseley),,
2,8:00,3,7,IND 21,7,12,Carson Wentz pass incomplete deep right intended for Nyheim Hines,,
2,7:55,4,7,IND 21,7,12,Rigoberto Sanchez punts 79 yards,,
2,7:39,1,10,SFO 20,7,12,Elijah Mitchell right end for 2 yards (tackle by DeForest Buckner and Shaquille Leonard),,
2,6:58,2,8,SFO 22,7,12,Jimmy Garoppolo pass incomplete short left intended for Deebo Samuel,,
2,6:54,3,8,SFO 22,7,12,Jimmy Garoppolo pass incomplete short left intended for Ross Dwelley,,
2,6:49,4,8,SFO 22,7,12,Mitch Wishnowsky punts 48 yards out of bounds,,
2,6:42,1,10,IND 30,7,12,"Carson Wentz aborted snap, recovered by Carson Wentz at IND-29 (tackle by Arden Key)",,
2,6:03,2,10,IND 30,7,12,Jonathan Taylor up the middle for 5 yards (tackle by Kentavius Street),,
2,5:20,3,5,IND 35,7,12,Carson Wentz pass complete short left to Jonathan Taylor for -1 yards (tackle by Fred Warner and Azeez Al-Shaair),,
2,4:43,4,6,IND 34,7,12,"Rigoberto Sanchez punts 46 yards, returned by Brandon Aiyuk for no gain (tackle by Matthew Adams)",,
2,4:32,1,10,SFO 20,7,12,"Jimmy Garoppolo aborted snap, recovered by Jimmy Garoppolo at SF-18 and returned for 2 yards (tackle by Khari Willis and DeForest Buckner)",,
2,3:49,2,9,SFO 21,7,12,"Elijah Mitchell left tackle for -3 yards (tackle by Tyquan Lewis) Penalty on SFO: Illegal Formation, 5 yards (declined)",,
2,3:11,3,13,SFO 18,7,12,"Jimmy Garoppolo pass complete short middle to Deebo Samuel for 10 yards. Deebo Samuel fumbles (forced by Shaquille Leonard), recovered by Anthony Chesley at SF-28 (tackle by George Odum and Shaquille Leonard)",,
2,3:02,1,10,SFO 28,7,12,Jonathan Taylor left guard for 10 yards (tackle by Josh Norman),,
2,2:25,1,10,SFO 18,7,12,Jonathan Taylor up the middle for -2 yards (tackle by Josh Norman),,
2,2:00,2,12,SFO 20,7,12,"Carson Wentz pass incomplete deep right intended for Michael Pittman. Penalty on Emmanuel Moseley: Defensive Pass Interference, 19 yards (accepted) (no play)",,
2,1:54,1,1,SFO 1,7,12,Carson Wentz pass incomplete short right intended for Jack Doyle,,
2,1:50,2,1,SFO 1,7,12,Jonathan Taylor left guard for no gain (tackle by Azeez Al-Shaair),,
2,1:05,3,1,SFO 1,13,12,"Carson Wentz right end for 1 yard, touchdown",,
2,1:00,,,SFO 2,13,12,Two Point Attempt: Carson Wentz pass incomplete intended for intended for Jack Doyle,,
2,1:00,,,IND 35,13,12,"Rigoberto Sanchez kicks off 59 yards, returned by Trenton Cannon for 27 yards (tackle by Rigoberto Sanchez and Ashton Dulin)",,
2,0:54,1,10,SFO 33,13,12,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",,
2,0:54,1,15,SFO 28,13,12,Jamycal Hasty left guard for 2 yards (tackle by Kwity Paye and Bobby Okereke),,
2,0:47,,,,,,Timeout #1 by Indianapolis Colts,,
2,0:47,2,13,SFO 30,13,12,Jamycal Hasty right tackle for no gain (tackle by DeForest Buckner),,
2,0:01,3,13,SFO 30,13,12,Jimmy Garoppolo kneels for -1 yards,,
Quarter,Time,Down,ToGo,Location,IND,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,13,12,"Joey Slye kicks off 65 yards, touchback.",,
3,15:00,1,10,IND 25,13,12,Jonathan Taylor right tackle for 9 yards (tackle by Emmanuel Moseley and Talanoa Hufanga),,
3,14:20,2,1,IND 34,13,12,Jonathan Taylor left guard for 8 yards (tackle by Jaquiski Tartt),,
3,13:40,1,10,IND 42,13,12,Carson Wentz pass complete short right to Zach Pascal for -1 yards (tackle by Jimmie Ward),,
3,12:59,2,11,IND 41,13,12,Carson Wentz pass complete short middle to Mo Alie-Cox for 5 yards (tackle by Azeez Al-Shaair),,
3,12:19,3,6,IND 46,13,12,Carson Wentz pass complete short middle to Keke Coutee for 5 yards (tackle by K'Waun Williams),,
3,11:31,4,1,SFO 49,13,12,"Jonathan Taylor left tackle for 3 yards. Jonathan Taylor fumbles (forced by Josh Norman), recovered by Ashton Dulin at SF-46 (tackle by Jimmie Ward) SFO challenged the fumble ruling, and the play was upheld.",,
3,10:46,1,10,SFO 46,13,12,Jonathan Taylor right tackle for 3 yards (tackle by Nick Bosa),,
3,10:03,2,7,SFO 43,13,12,Marlon Mack up the middle for 3 yards (tackle by Fred Warner),,
3,9:38,3,4,SFO 40,13,12,Marlon Mack up the middle for no gain (tackle by Azeez Al-Shaair),,
3,8:53,4,4,SFO 40,13,12,"Penalty on IND: Delay of Game, 5 yards (accepted) (no play)",,
3,8:39,4,9,SFO 45,13,12,Rigoberto Sanchez punts 35 yards downed by E.J. Speed,,
3,8:34,1,10,SFO 10,13,12,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 10 yards (tackle by Shaquille Leonard),,
3,7:58,1,10,SFO 20,13,12,Elijah Mitchell right guard for 4 yards (tackle by Kwity Paye and Shaquille Leonard),,
3,7:24,2,6,SFO 24,13,12,Elijah Mitchell right guard for 1 yard (tackle by Zaire Franklin and Kwity Paye),,
3,6:41,3,5,SFO 25,13,12,"Penalty on Jamycal Hasty: False Start, 5 yards (accepted) (no play)",,
3,6:18,3,10,SFO 20,13,12,Jimmy Garoppolo pass complete short middle to Mohamed Sanu for 16 yards (tackle by Khari Willis and Kenny Moore),,
3,5:33,1,10,SFO 36,13,12,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel (defended by Bobby Okereke),,
3,5:30,2,10,SFO 36,13,12,Elijah Mitchell up the middle for 5 yards (tackle by Isaiah Rodgers),,
3,4:48,3,5,SFO 41,13,12,"Jimmy Garoppolo sacked by Al-Quadin Muhammad for -8 yards. Jimmy Garoppolo fumbles (forced by Al-Quadin Muhammad), recovered by Kwity Paye at SF-33",,
3,4:38,1,10,SFO 33,13,12,"Carson Wentz pass complete short right to Michael Pittman for no gain (tackle by Azeez Al-Shaair). Penalty on Quenton Nelson: Offensive Holding, 10 yards (accepted) (no play)",,
3,4:01,1,20,SFO 43,13,12,"Carson Wentz pass incomplete deep right intended for Michael Pittman. Penalty on Jaquiski Tartt: Defensive Pass Interference, 38 yards (accepted) (no play)",,
3,3:55,1,5,SFO 5,13,12,"Carson Wentz pass incomplete short right. Penalty on Emmanuel Moseley: Defensive Pass Interference, 15 yards (offset) . Penalty on Ashton Dulin: Offensive Pass Interference, 10 yards (offset) (no play)",,
3,3:49,1,5,SFO 5,19,12,"Jonathan Taylor up the middle for 5 yards, touchdown",,
3,3:45,,,SFO 15,20,12,Michael Badgley kicks extra point good,,
3,3:45,,,IND 35,20,12,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
3,3:45,1,10,SFO 25,20,12,"Jimmy Garoppolo pass complete short middle to Deebo Samuel for no gain (tackle by Kenny Moore). Penalty on Jaylon Moore: Ineligible Downfield Pass, 5 yards (accepted) (no play)",,
3,3:13,1,15,SFO 20,20,12,"Jimmy Garoppolo pass complete short middle to Deebo Samuel for no gain (tackle by Khari Willis and DeForest Buckner). Penalty on Ross Dwelley: Offensive Holding, 10 yards (accepted) (no play)",,
3,2:44,1,25,SFO 10,20,12,Jimmy Garoppolo pass incomplete short right intended for Jauan Jennings,,
3,2:41,2,25,SFO 10,20,12,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 6 yards (tackle by Isaiah Rodgers),,
3,2:04,3,19,SFO 16,20,12,Jimmy Garoppolo pass complete short left to Jamycal Hasty for 1 yard (tackle by Kenny Moore and Andrew Sendejo),,
3,1:35,4,18,SFO 17,20,12,Mitch Wishnowsky punts 38 yards out of bounds,,
3,1:24,1,10,IND 45,20,12,"Jonathan Taylor left tackle for no gain (tackle by Kentavius Street). Penalty on Quenton Nelson: Offensive Holding, 10 yards (accepted) (no play)",,
3,0:54,1,20,IND 35,20,12,Jonathan Taylor right end for no gain (tackle by Arden Key and Zach Kerr),,
3,0:09,2,20,IND 35,20,12,Carson Wentz pass complete short left to Nyheim Hines for -2 yards (tackle by K'Waun Williams and Dee Ford),,
Quarter,Time,Down,ToGo,Location,IND,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,22,IND 33,20,12,Nyheim Hines right tackle for 8 yards (tackle by Jimmie Ward and Tavon Wilson),,
4,14:26,4,14,IND 41,20,12,"Rigoberto Sanchez punts 42 yards, returned by Mohamed Sanu for 13 yards (tackle by E.J. Speed)",,
4,14:18,1,10,SFO 30,20,12,Jimmy Garoppolo pass complete deep right to Deebo Samuel for 29 yards (tackle by Xavier Rhodes),,
4,13:44,1,10,IND 41,20,12,Jimmy Garoppolo pass complete deep right to Charlie Woerner for 27 yards (tackle by Kenny Moore),,
4,13:11,1,10,IND 14,20,18,"Jimmy Garoppolo pass complete short middle to Deebo Samuel for 14 yards, touchdown",,
4,13:07,,,IND 2,20,18,Two Point Attempt: Jimmy Garoppolo pass incomplete intended for intended for Brandon Aiyuk,,
4,13:07,,,SFO 35,20,18,"Joey Slye kicks off 52 yards, returned by Zach Pascal for 14 yards (tackle by Demetrius Flannigan-Fowles and Marcell Harris)",,
4,13:01,1,10,IND 27,20,18,Jonathan Taylor left tackle for 5 yards (tackle by Fred Warner),,
4,12:26,2,5,IND 32,20,18,Carson Wentz pass complete short right to Ashton Dulin for 2 yards (tackle by Fred Warner),,
4,11:53,3,3,IND 34,20,18,Carson Wentz pass complete short left to Michael Pittman for 14 yards (tackle by Fred Warner),,
4,11:18,1,10,IND 48,20,18,Carson Wentz pass complete short left to Zach Pascal for 13 yards (tackle by Josh Norman),,
4,10:39,1,10,SFO 39,20,18,Carson Wentz pass incomplete deep right intended for Ashton Dulin (defended by Emmanuel Moseley),,
4,10:28,2,10,SFO 39,20,18,"Penalty on IND: Delay of Game, 5 yards (accepted) (no play)",,
4,10:28,2,15,SFO 44,20,18,Carson Wentz scrambles up the middle for 17 yards (tackle by Jimmie Ward and Talanoa Hufanga),,
4,9:39,1,10,SFO 27,20,18,Nyheim Hines up the middle for -1 yards (tackle by Josh Norman),,
4,8:59,2,11,SFO 28,20,18,Carson Wentz pass complete short right to Mo Alie-Cox for 9 yards (tackle by Josh Norman),,
4,8:14,3,2,SFO 19,20,18,"Carson Wentz right tackle for no gain (tackle by Azeez Al-Shaair). Penalty on Matt Pryor: Offensive Holding, 10 yards (accepted) (no play)",,
4,7:20,3,12,SFO 29,20,18,Carson Wentz pass complete short right to Jonathan Taylor for 5 yards (tackle by Arik Armstead and Azeez Al-Shaair),,
4,7:05,4,7,SFO 24,23,18,Michael Badgley 42 yard field goal good,,
4,7:00,,,IND 35,23,18,"Rigoberto Sanchez kicks off 61 yards, returned by Deebo Samuel for 27 yards (tackle by Ashton Dulin)",,
4,6:53,1,10,SFO 31,23,18,Elijah Mitchell right tackle for 4 yards (tackle by Shaquille Leonard),,
4,6:14,2,6,SFO 35,23,18,Jimmy Garoppolo pass complete short left to Charlie Woerner for 3 yards (tackle by Xavier Rhodes),,
4,5:29,3,3,SFO 38,23,18,Jimmy Garoppolo pass short left intended for Deebo Samuel is intercepted by Xavier Rhodes at SF-43 and returned for 4 yards (tackle by Jamycal Hasty),,
4,5:20,1,10,SFO 39,23,18,Nyheim Hines right guard for no gain (tackle by Kentavius Street and Arik Armstead),,
4,4:36,2,10,SFO 39,23,18,Carson Wentz scrambles right end for 5 yards (tackle by Nick Bosa),,
4,3:52,3,5,SFO 34,23,18,Carson Wentz pass complete short right to Michael Pittman for 6 yards (tackle by Emmanuel Moseley and Azeez Al-Shaair),,
4,3:46,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:46,1,10,SFO 28,23,18,Nyheim Hines left tackle for no gain (tackle by Kentavius Street),,
4,3:02,2,10,SFO 28,23,18,Carson Wentz pass incomplete short right intended for Zach Pascal,,
4,2:56,3,10,SFO 28,29,18,"Carson Wentz pass complete deep right to Michael Pittman for 28 yards, touchdown",,
4,2:49,,,SFO 15,30,18,Michael Badgley kicks extra point good,,
4,2:49,,,IND 35,30,18,"Rigoberto Sanchez kicks off 60 yards, returned by Deebo Samuel for 33 yards (tackle by Matthew Adams)",,
4,2:42,1,10,SFO 38,30,18,Jimmy Garoppolo pass complete short middle to Jamycal Hasty for 9 yards (tackle by Kenny Moore and Shaquille Leonard),,
4,2:21,2,1,SFO 47,30,18,Jimmy Garoppolo pass complete short middle to Ross Dwelley for 5 yards (tackle by Kenny Moore),,
4,2:07,1,10,IND 48,30,18,Jimmy Garoppolo pass complete short left to Jamycal Hasty for 5 yards (tackle by Xavier Rhodes),,
4,2:00,2,5,IND 43,30,18,Jimmy Garoppolo pass deep middle intended for Jauan Jennings is intercepted by Khari Willis at IND-16 and returned for no gain (tackle by Jauan Jennings),,
4,1:53,1,10,IND 16,30,18,Nyheim Hines left guard for 5 yards (tackle by Josh Norman and D.J. Jones),,
4,1:48,,,,,,Timeout #3 by San Francisco 49ers,,
4,1:48,2,5,IND 21,30,18,Nyheim Hines up the middle for 3 yards (tackle by Nick Bosa),,
4,1:05,3,2,IND 24,30,18,"Penalty on Jack Doyle: False Start, 5 yards (accepted) (no play)",,
4,1:05,3,7,IND 19,30,18,Nyheim Hines right tackle for -1 yards (tackle by Arik Armstead and D.J. Jones),,
4,0:19,,,,,,Timeout #1 by Indianapolis Colts,,
4,0:19,4,8,IND 18,30,18,"Rigoberto Sanchez punts 37 yards, returned by Brandon Aiyuk for 8 yards (tackle by E.J. Speed)",,
4,0:09,1,10,IND 47,30,18,Jimmy Garoppolo sacked by DeForest Buckner for -4 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
