Quarter,Time,Down,ToGo,Location,WAS,SDG,Detail,EPB,EPA
2,5:22,3,2,SDG 2,6,13,"Jason Campbell pass complete short middle to Todd Yoder for 2 yards, touchdown",4.950,7.000
2,,,,SDG 2,7,13,Graham Gano kicks extra point good,0.000,0.000
2,,,,WAS 30,7,13,"Graham Gano kicks off 67 yards, returned by Craig Davis for 23 yards (tackle by Robert Henson)",0.000,0.670
2,5:11,1,10,SDG 26,7,13,Billy Volek pass complete short middle to Michael Bennett for 16 yards (tackle by DeAngelo Hall),0.670,1.730
2,4:32,1,10,SDG 42,7,13,Michael Bennett right tackle for -1 yards (tackle by Cornelius Griffin),1.730,1.050
2,3:50,2,11,SDG 41,7,13,Billy Volek pass complete short right to Kris Wilson for 3 yards (tackle by Rocky McIntosh),1.050,0.760
2,3:07,3,8,SDG 44,7,13,Billy Volek pass incomplete short right intended for Kassim Osgood (defended by Kareem Moore),0.760,-0.460
,,,,,,,"SDG challenged the incomplete pass ruling, and the play was upheld.",,
2,2:59,4,8,SDG 44,7,13,"Mike Scifres punts 44 yards, fair catch by Antwaan Randle El",-0.460,0.350
2,2:51,1,10,WAS 12,7,13,Jason Campbell pass complete deep left to Malcolm Kelly for 84 yards (tackle by Antoine Cason),-0.350,6.280
2,2:00,1,4,SDG 4,7,13,Quinton Ganther middle for 3 yards (tackle by Vaughn Martin),6.280,5.910
2,1:25,2,1,SDG 1,7,13,Quinton Ganther middle for -2 yards (tackle by Brandon Siler and Antoine Cason),5.910,4.720
2,0:44,3,3,SDG 3,13,13,"Jason Campbell pass complete short right to Mike Sellers for 3 yards, touchdown",4.720,7.000
2,,,,SDG 2,14,13,Graham Gano kicks extra point good,0.000,0.000
2,,,,WAS 30,,,"Graham Gano kicks off 55 yards, returned by Craig Davis for 13 yards (tackle by Lendy Holmes)",,
2,0:35,1,10,SDG 28,14,13,Darren Sproles right tackle for 6 yards (tackle by Cornelius Griffin),0.810,1.070
Quarter,Time,Down,ToGo,Location,WAS,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,14,13,"Nate Kaeding kicks off 64 yards, returned by Rock Cartwright for 13 yards (tackle by Antonio Garay)",0.000,0.150
3,14:55,1,10,WAS 19,14,13,Jason Campbell pass incomplete short middle intended for Fred Davis,0.150,-0.390
3,14:51,2,10,WAS 19,14,13,Jason Campbell pass complete short left to Antwaan Randle El for 7 yards (tackle by Antoine Cason),-0.390,-0.160
3,14:12,3,3,WAS 26,14,13,Jason Campbell sacked by Marques Harris for -6 yards,-0.160,-2.030
3,13:47,4,9,WAS 20,14,13,"Hunter Smith punts 37 yards, fair catch by Darren Sproles",-2.030,-1.800
3,13:40,1,10,SDG 43,14,13,Billy Volek pass incomplete short right intended for Kassim Osgood,1.800,1.250
3,13:34,2,10,SDG 43,14,13,Billy Volek pass incomplete short left intended for Malcom Floyd (defended by Carlos Rogers),1.250,0.560
3,13:30,3,10,SDG 43,14,13,Billy Volek pass complete short right to Brandon Manumaleuna for 3 yards (tackle by London Fletcher),0.560,-0.320
3,13:11,4,7,SDG 46,14,13,"Mike Scifres punts 48 yards, returned by Antwaan Randle El for 43 yards (tackle by C.J. Spillman)",-0.320,-2.190
3,12:56,1,10,WAS 49,14,13,Quinton Ganther right tackle for 4 yards (tackle by Kevin Burnett),2.190,2.190
3,12:22,2,6,SDG 47,14,13,Jason Campbell pass complete short left to Santana Moss for 14 yards (tackle by Antoine Cason),2.190,3.380
3,12:00,1,10,SDG 33,14,13,Jason Campbell pass complete short left to Marko Mitchell for 4 yards (tackle by Antoine Cason and Larry English),3.380,3.380
3,11:25,2,6,SDG 29,14,13,Quinton Ganther middle for 5 yards (tackle by Steve Gregory and Larry English),3.380,3.340
3,10:47,3,1,SDG 24,14,13,Jason Campbell pass complete short right to Fred Davis for 14 yards (tackle by Dante Hughes and Paul Oliver),3.340,4.910
3,10:05,1,10,SDG 10,14,13,Jason Campbell pass incomplete short right intended for Fred Davis,4.910,4.190
3,9:57,2,10,SDG 10,14,13,Quinton Ganther left tackle for 6 yards (tackle by C.J. Spillman),4.190,4.490
3,9:14,3,4,SDG 4,14,13,Jason Campbell pass incomplete,4.490,3.030
3,9:08,4,4,SDG 4,17,13,Graham Gano 22 yard field goal good,3.030,3.000
3,,,,WAS 30,17,13,"Graham Gano kicks off 69 yards, returned by Craig Davis for 21 yards (tackle by H.B. Blades)",0.000,0.410
3,9:01,1,10,SDG 22,17,13,Billy Volek pass complete short right to Mike Tolbert for no gain,0.410,-0.130
3,8:41,2,10,SDG 22,17,13,Michael Bennett left guard for no gain (tackle by Justin Tryon and Rocky McIntosh),-0.130,-0.820
3,8:05,3,10,SDG 22,17,13,Billy Volek pass complete short left to Malcom Floyd for 8 yards (tackle by DeAngelo Hall and London Fletcher),-0.820,-1.370
3,7:22,4,2,SDG 30,17,13,"Mike Scifres punts 53 yards, returned by Antwaan Randle El for 1 yard (tackle by Kassim Osgood)",-1.370,-0.040
3,7:10,1,10,WAS 18,17,13,Quinton Ganther left tackle for 3 yards (tackle by Kevin Burnett),0.040,0.010
3,6:30,2,7,WAS 21,17,13,Jason Campbell pass incomplete short right intended for Fred Davis,0.010,-0.790
3,6:24,3,7,WAS 21,17,13,Jason Campbell pass complete short right to Fred Davis for 9 yards (tackle by Paul Oliver),-0.790,0.940
3,5:52,1,10,WAS 30,17,13,Rock Cartwright right end for 3 yards (tackle by Kevin Ellison and Larry English),0.940,0.800
3,5:15,2,7,WAS 33,17,13,Jason Campbell pass complete short left to Santana Moss for -1 yards (tackle by Antoine Cason),0.800,-0.030
3,4:38,3,8,WAS 32,17,13,Jason Campbell pass complete short left to Fred Davis for 2 yards (tackle by Kevin Burnett and Alfonso Boone),-0.030,-1.110
3,4:16,4,6,WAS 34,17,13,Hunter Smith punts 34 yards,-1.110,-1.070
3,4:10,1,10,SDG 32,17,13,Michael Bennett right tackle for 1 yard (tackle by Phillip Daniels),1.070,0.660
3,3:31,2,9,SDG 33,17,13,Billy Volek pass complete deep middle to Malcom Floyd for 16 yards (tackle by DeAngelo Hall),0.660,2.190
3,2:54,1,10,SDG 49,17,13,Billy Volek pass complete short right to Craig Davis for 10 yards (tackle by DeAngelo Hall),2.190,2.850
3,2:14,1,10,WAS 41,17,13,"Billy Volek pass incomplete deep right intended for Brandon Manumaleuna is intercepted by Rocky McIntosh at WAS-22 and returned for 9 yards. Rocky McIntosh fumbles (forced by Kris Wilson), recovered by Carlos Rogers at WAS-31",2.850,-2.190
3,1:57,1,10,WAS 49,17,13,Quinton Ganther right end for no gain (tackle by Tim Dobbins),2.190,1.650
3,1:57,2,10,WAS 49,17,13,Jason Campbell pass complete short right to Fred Davis for 8 yards (tackle by Antoine Cason),1.650,2.010
3,0:50,3,2,SDG 43,17,13,Jason Campbell pass complete short left to Antwaan Randle El for 1 yard (tackle by Antoine Cason),2.010,0.460
3,0:16,4,1,SDG 42,17,13,"Hunter Smith punts 28 yards, fair catch by Craig Davis",0.460,0.280
3,0:07,1,10,SDG 14,17,13,Billy Volek sacked by Kedric Golston for -1 yards,-0.280,-0.850
Quarter,Time,Down,ToGo,Location,WAS,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,SDG 13,17,13,Billy Volek pass complete short left to Michael Bennett for 33 yards (tackle by London Fletcher),-0.850,1.990
4,14:20,1,10,SDG 46,17,13,Michael Bennett right end for 6 yards (tackle by H.B. Blades and London Fletcher),1.990,2.260
4,13:41,2,4,WAS 48,17,13,Billy Volek pass complete deep middle to Kassim Osgood for 17 yards (tackle by Carlos Rogers),2.260,3.510
4,12:59,1,10,WAS 31,17,13,Billy Volek pass incomplete short left intended for Kassim Osgood,3.510,2.970
4,12:53,2,10,WAS 31,17,13,Michael Bennett middle for 4 yards (tackle by Brian Orakpo),2.970,2.810
4,12:14,3,6,WAS 27,17,13,Billy Volek pass incomplete short middle intended for Kassim Osgood (defended by Carlos Rogers),2.810,1.700
4,12:11,4,6,WAS 27,17,16,Nate Kaeding 45 yard field goal good,1.700,3.000
4,,,,SDG 30,17,16,"Nate Kaeding kicks off 72 yards, returned by Rock Cartwright for 26 yards (tackle by Dante Hughes)",0.000,0.540
4,12:01,1,10,WAS 24,17,16,Jason Campbell pass complete short left to Santana Moss for 8 yards (tackle by Antoine Cason),0.540,1.080
4,11:28,2,2,WAS 32,17,16,Marcus Mason left end for 1 yard (tackle by Paul Oliver and Marques Harris),1.080,0.500
4,10:49,3,1,WAS 33,17,16,Jason Campbell middle for 4 yards (tackle by Antonio Garay),0.500,1.400
4,10:08,1,10,WAS 37,17,16,Jason Campbell pass complete short right to Fred Davis for -2 yards (tackle by Kevin Ellison),1.400,0.590
4,9:32,2,12,WAS 35,17,16,Marcus Mason middle for 17 yards (tackle by Kevin Ellison),0.590,2.390
4,8:55,1,10,SDG 48,17,16,Jason Campbell pass incomplete deep left intended for Antwaan Randle El (defended by Antoine Cason),2.390,1.850
4,8:49,2,10,SDG 48,17,16,Jason Campbell pass complete short middle to Marcus Mason for 7 yards (tackle by Larry English),1.850,2.080
4,8:05,3,3,SDG 41,17,16,Jason Campbell middle for 4 yards (tackle by C.J. Spillman),2.080,3.120
4,7:27,1,10,SDG 37,17,16,"Jason Campbell for no gain. Jason Campbell fumbles, recovered by Jason Campbell at SDG-39",3.120,2.300
4,6:50,2,12,SDG 39,17,16,"Jason Campbell pass complete short middle to Fred Davis for 15 yards (tackle by Larry English). Penalty on Paul Oliver: Face Mask (15 Yards), 12 yards",2.300,4.780
4,6:28,1,10,SDG 12,17,16,Jason Campbell pass complete short right to Mike Sellers for 6 yards (tackle by Larry English),4.780,5.210
4,6:02,2,4,SDG 6,17,16,Marcus Mason for 3 yards,5.210,5.060
4,5:23,3,1,SDG 3,17,16,Quinton Ganther right tackle for no gain (tackle by Marques Harris),5.060,3.060
4,4:37,,,,17,16,Timeout #1 by Washington Redskins,0.000,3.060
4,4:37,4,1,SDG 3,17,16,"Penalty on Derrick Dockery: False Start, 4 yards (no play)",3.060,2.980
4,4:36,4,5,SDG 7,20,16,Graham Gano 25 yard field goal good,2.980,3.000
4,,,,WAS 30,20,16,"Graham Gano kicks off 50 yards, returned by Craig Davis for 22 yards (tackle by Justin Tryon)",0.000,1.730
4,4:25,1,10,SDG 42,20,16,Billy Volek pass incomplete deep right intended for Craig Davis,1.730,1.190
4,4:19,2,10,SDG 42,20,16,Billy Volek pass complete short left to Michael Bennett for 7 yards (tackle by Cornelius Griffin),1.190,1.420
4,3:32,3,3,SDG 49,20,16,Billy Volek pass complete short right to Craig Davis for 5 yards (tackle by Justin Tryon),1.420,2.520
4,3:28,1,10,WAS 46,20,16,Billy Volek pass incomplete short right intended for Mike Tolbert,2.520,1.980
4,3:21,2,10,WAS 46,20,16,Billy Volek pass complete short right to Mike Tolbert for 7 yards (tackle by London Fletcher),1.980,2.210
4,2:34,3,3,WAS 39,20,16,Billy Volek pass complete short left to Malcom Floyd for 7 yards (tackle by Carlos Rogers),2.210,3.450
4,2:00,1,10,WAS 32,20,16,Billy Volek pass incomplete deep left intended for Malcom Floyd (defended by Justin Tryon),3.450,2.900
4,1:54,2,10,WAS 32,20,16,Michael Bennett middle for 14 yards (tackle by London Fletcher and Kareem Moore),2.900,4.370
4,1:44,,,,20,16,Timeout #1 by San Diego Chargers,0.000,4.370
4,1:44,1,10,WAS 18,20,16,Billy Volek pass complete short left to Michael Bennett for 6 yards (tackle by Rocky McIntosh and Cornelius Griffin),4.370,4.810
4,1:31,,,,20,16,Timeout #2 by Washington Redskins,0.000,4.810
4,1:31,2,4,WAS 12,20,16,Billy Volek pass complete short middle to Craig Davis for 11 yards (tackle by Kareem Moore),4.810,6.970
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,1:08,,,,20,16,Timeout #3 by Washington Redskins,0.000,6.970
4,1:08,1,1,WAS 1,20,16,Michael Bennett right tackle for -1 yards (tackle by Anthony Montgomery and Andre Carter),6.970,5.720
4,0:39,2,2,WAS 2,20,22,"Billy Volek pass complete short right to Mike Tolbert for 2 yards, touchdown",5.720,7.000
4,,,,WAS 2,20,23,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,20,23,"Nate Kaeding kicks off 68 yards, returned by Rock Cartwright for 20 yards (tackle by Kassim Osgood)",0.000,0.410
4,0:29,1,10,WAS 22,20,23,Jason Campbell pass incomplete deep right intended for Santana Moss,0.410,-0.130
4,0:23,2,10,WAS 22,20,23,Jason Campbell pass incomplete deep middle intended for Fred Davis,-0.130,-0.820
4,0:18,3,10,WAS 22,20,23,Jason Campbell pass incomplete short left intended for Marko Mitchell,-0.820,-1.900
4,0:12,4,10,WAS 22,20,23,Jason Campbell pass incomplete deep right intended for Marko Mitchell,-1.900,-4.170
4,0:04,1,10,WAS 21,20,23,Billy Volek kneels for -1 yards,4.170,3.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
