Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
2,13:30,1,10,OAK 35,0,13,"Peyton Manning pass complete to Reggie Wayne for 35 yards, touchdown",3.250,7.000
2,,,,OAK 2,0,14,Matt Bryant kicks extra point good,0.000,0.000
2,,,,IND 30,0,14,"Matt Bryant kicks off 55 yards, returned by Doug Gabriel for 16 yards (tackle by Cato June)",0.000,1.000
2,13:19,1,10,OAK 31,0,14,Kerry Collins pass complete to Amos Zereoue for 9 yards (tackle by Larry Tripplett),1.000,1.680
2,12:46,2,1,OAK 40,0,14,Amos Zereoue up the middle for 4 yards (tackle by Larry Tripplett),1.680,1.860
2,12:13,1,10,OAK 44,0,14,Kerry Collins pass complete to Jerry Porter for 11 yards,1.860,2.590
2,11:46,1,10,IND 45,0,14,"Kerry Collins pass complete to Ronald Curry for 9 yards (tackle by Montae Reagor). Ronald Curry fumbles (forced by Montae Reagor), recovered by Ronald Curry at IND-36",2.590,3.260
2,11:01,2,1,IND 36,0,14,Amos Zereoue up the middle for 5 yards (tackle by Idrees Bashir),3.260,3.510
2,10:21,1,10,IND 31,0,14,Kerry Collins pass complete to Doug Gabriel for 24 yards (tackle by Idrees Bashir),3.510,5.600
2,9:51,1,7,IND 7,0,14,Amos Zereoue right end for no gain (tackle by Cory Bird and Nick Harper),5.600,4.760
2,9:20,2,7,IND 7,0,14,Kerry Collins pass complete to Amos Zereoue for 6 yards (tackle by Idrees Bashir),4.760,5.170
2,8:59,3,1,IND 1,6,14,"Justin Fargas up the middle for 1 yard, touchdown",5.170,7.000
2,,,,IND 2,7,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 30,7,14,"Sebastian Janikowski kicks off 71 yards, returned by Dominic Rhodes for 35 yards (tackle by Travian Smith)",0.000,1.200
2,8:49,1,10,IND 34,7,14,Edgerrin James right end for 5 yards (tackle by Ray Buchanan),1.200,1.330
2,8:06,2,5,IND 39,7,14,Edgerrin James right tackle for 3 yards (tackle by Warren Sapp and Tyler Brayton),1.330,1.030
2,7:23,3,2,IND 42,7,14,Peyton Manning pass complete to Reggie Wayne for 17 yards (tackle by Denard Walker),1.030,2.850
2,6:37,1,10,OAK 41,7,14,Edgerrin James right end for 3 yards (tackle by Travian Smith),2.850,2.710
2,5:59,2,7,OAK 38,7,14,Peyton Manning pass complete to Edgerrin James for 12 yards (tackle by Terdell Sands),2.710,3.840
2,5:14,1,10,OAK 26,7,14,Edgerrin James for 5 yards (tackle by Denard Walker),3.840,3.970
2,4:44,2,5,OAK 21,7,14,Dominic Rhodes up the middle for 8 yards (tackle by Danny Clark and Stuart Schweigert),3.970,4.710
2,4:09,1,10,OAK 13,7,14,Dominic Rhodes up the middle for 2 yards (tackle by Warren Sapp),4.710,4.390
2,3:27,,,,7,14,Timeout #1 by Oakland Raiders,0.000,4.390
2,3:27,2,8,OAK 11,7,14,Peyton Manning pass incomplete intended for Brandon Stokley (defended by Stuart Schweigert),4.390,3.450
,,,,,,,"IND challenged the ruling, and the play was upheld.",,
2,3:22,3,8,OAK 11,7,14,"Peyton Manning pass incomplete intended for Reggie Wayne. Penalty on Denard Walker: Defensive Pass Interference, 10 yards (no play)",3.450,6.970
2,3:18,1,1,OAK 1,7,14,Edgerrin James right end for -3 yards (tackle by David Terrell and Charles Woodson),6.970,5.340
2,2:34,2,4,OAK 4,7,20,"Peyton Manning pass complete to Dallas Clark for 4 yards, touchdown",5.340,7.000
2,,,,OAK 2,7,21,Matt Bryant kicks extra point good,0.000,0.000
2,,,,IND 30,7,21,"Matt Bryant kicks off 56 yards, returned by Doug Gabriel for 8 yards (tackle by Robert Mathis)",0.000,0.410
2,2:22,1,10,OAK 22,7,21,Kerry Collins pass complete to Ronald Curry for 7 yards (tackle by Von Hutchins),0.410,0.810
2,2:00,2,3,OAK 29,7,21,Kerry Collins pass complete to Doug Jolley for 12 yards (tackle by Cato June),0.810,1.660
2,1:41,1,10,OAK 41,7,21,Kerry Collins pass complete to J.R. Redmond for 1 yard (tackle by Jim Nelson),1.660,1.260
2,1:19,2,9,OAK 42,7,21,Kerry Collins pass complete to J.R. Redmond for 10 yards (tackle by Cato June),1.260,2.390
2,1:11,,,,7,21,Timeout #2 by Oakland Raiders,0.000,2.390
2,1:11,1,10,IND 48,7,21,Kerry Collins pass complete to Ronald Curry for 4 yards (tackle by Von Hutchins),2.390,2.390
2,0:48,2,6,IND 44,7,21,Kerry Collins sacked by Montae Reagor for -7 yards,2.390,0.760
2,0:37,,,,7,21,Timeout #3 by Oakland Raiders,0.000,0.760
2,0:37,3,13,OAK 49,7,21,Kerry Collins pass incomplete intended for Doug Gabriel,0.760,-0.130
2,0:29,4,13,OAK 49,7,21,Shane Lechler punts 50 yards,-0.130,0.380
2,0:17,1,10,IND 1,7,21,Peyton Manning up the middle for 1 yard (tackle by Danny Clark and Warren Sapp),-0.380,-0.710
Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,7,21,"Matt Bryant kicks off 56 yards, returned by Doug Gabriel for 13 yards (tackle by Anthony Floyd)",0.000,0.740
3,14:56,1,10,OAK 27,7,21,Kerry Collins pass complete to Amos Zereoue for 6 yards (tackle by Cato June),0.740,1.010
3,14:14,2,4,OAK 33,7,21,Kerry Collins pass complete to Ronald Curry for 11 yards (tackle by Cato June),1.010,1.860
3,13:38,1,10,OAK 44,7,21,"Amos Zereoue right tackle for 56 yards. Penalty on Frank Middleton: Offensive Holding, 10 yards (no play)",1.860,1.200
3,13:26,1,20,OAK 34,7,21,Kerry Collins pass incomplete intended for Jerry Porter,1.200,-0.030
3,13:22,2,20,OAK 34,7,21,Kerry Collins pass complete to Jerry Porter for 11 yards (tackle by Cato June),-0.030,0.760
3,12:37,3,9,OAK 45,7,21,Kerry Collins sacked by Robert Mathis for -7 yards,0.760,-0.850
3,12:05,4,16,OAK 38,7,21,"Shane Lechler punts 61 yards, returned by Jason David for 13 yards (tackle by Ronald Curry)",-0.850,0.280
3,11:53,1,10,IND 14,7,21,Edgerrin James right end for 2 yards (tackle by Bobby Hamilton),-0.280,-0.510
3,11:16,2,8,IND 16,7,21,Peyton Manning pass complete to Brandon Stokley for 10 yards (tackle by Phillip Buchanon),-0.510,0.670
3,10:41,1,10,IND 26,7,21,Edgerrin James right tackle for 6 yards (tackle by Travian Smith),0.670,0.940
3,10:10,2,4,IND 32,7,21,Edgerrin James up the middle for 13 yards (tackle by Charles Woodson and Ray Buchanan),0.940,1.930
3,9:27,1,10,IND 45,7,21,Edgerrin James right end for 5 yards (tackle by Travian Smith),1.930,2.060
3,8:47,2,5,IND 50,7,21,Peyton Manning pass incomplete intended for Brandon Stokley,2.060,1.360
3,8:42,3,5,IND 50,7,21,Peyton Manning pass complete to Brandon Stokley for 6 yards (tackle by Phillip Buchanon),1.360,2.650
3,8:03,1,10,OAK 44,7,21,Edgerrin James up the middle for 9 yards (tackle by Nnamdi Asomugha and Ray Buchanan),2.650,3.330
3,7:16,2,1,OAK 35,7,21,Peyton Manning pass incomplete intended for Reggie Wayne is intercepted by Phillip Buchanon at OAK-0,3.330,-0.280
3,7:07,1,10,OAK 20,7,21,Kerry Collins up the middle for 6 yards (tackle by Gerome Sapp),0.280,0.540
3,6:34,2,4,OAK 26,7,21,Amos Zereoue left tackle for 7 yards (tackle by David Thornton),0.540,1.140
3,5:58,1,10,OAK 33,7,21,Kerry Collins pass complete to Amos Zereoue for 1 yard (tackle by Nick Harper),1.140,0.730
3,5:17,2,9,OAK 34,7,21,Kerry Collins pass incomplete intended for Doug Gabriel,0.730,0.040
3,5:10,3,9,OAK 34,7,21,Kerry Collins pass complete to Ronald Curry for 7 yards (tackle by Gerome Sapp),0.040,-0.650
3,4:32,4,2,OAK 41,7,21,"Penalty on Stuart Schweigert: False Start, 5 yards (no play)",-0.650,-0.980
3,4:24,4,7,OAK 36,7,21,"Shane Lechler punts 64 yards, touchback. Penalty on Napoleon Harris: Ineligible Downfield Kick (Declined)",-0.980,-0.280
3,4:13,1,10,IND 20,7,21,Edgerrin James left tackle for 10 yards (tackle by DeLawrence Grant),0.280,0.940
3,3:39,1,10,IND 30,7,21,Edgerrin James left end for 17 yards (tackle by Ray Buchanan),0.940,2.060
3,3:01,1,10,IND 47,7,21,Edgerrin James up the middle for 3 yards (tackle by John Parrella),2.060,1.920
3,2:20,2,7,IND 50,7,21,Peyton Manning sacked by Ted Washington for -10 yards,1.920,-0.100
3,1:41,3,17,IND 40,7,21,Peyton Manning pass complete to Dominic Rhodes for 20 yards (tackle by Nnamdi Asomugha),-0.100,2.920
3,0:59,1,10,OAK 40,7,21,Dominic Rhodes left tackle for 2 yards (tackle by Warren Sapp),2.920,2.640
3,0:16,2,8,OAK 38,7,21,Peyton Manning pass complete to Marvin Harrison for 34 yards (tackle by Charles Woodson),2.640,6.280
Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,4,OAK 4,7,21,"Peyton Manning pass incomplete intended for Marvin Harrison. Penalty on Charles Woodson: Defensive Holding, 2 yards (no play)",6.280,6.740
4,14:57,1,2,OAK 2,7,21,Edgerrin James right tackle for -2 yards (tackle by Bobby Hamilton),6.740,5.340
4,14:20,2,4,OAK 4,7,21,Peyton Manning pass incomplete intended for Dallas Clark,5.340,4.490
4,14:14,3,4,OAK 4,7,21,"Peyton Manning pass incomplete intended for Marvin Harrison. Penalty on Ray Buchanan: Defensive Holding, 2 yards, Penalty on Danny Clark: Illegal Contact (Declined) (no play)",4.490,6.740
4,14:10,1,2,OAK 2,7,21,Edgerrin James left tackle for 1 yard (tackle by Travian Smith and Marques Anderson),6.740,5.910
4,13:34,2,1,OAK 1,7,27,"Edgerrin James left end for 1 yard, touchdown",5.910,7.000
4,,,,OAK 2,7,28,Matt Bryant kicks extra point good,0.000,0.000
4,,,,IND 30,7,28,"Matt Bryant kicks off 60 yards, returned by Ronald Curry for 25 yards (tackle by Robert Mathis)",0.000,1.270
4,13:23,1,10,OAK 35,7,28,Kerry Collins pass incomplete intended for Doug Gabriel is intercepted by Cato June at OAK-45,1.270,-2.590
4,13:17,1,10,OAK 45,7,28,Edgerrin James right tackle for 1 yard (tackle by Bobby Hamilton),2.590,2.180
4,12:42,2,9,OAK 44,7,28,Peyton Manning pass complete to Reggie Wayne for 8 yards (tackle by DeLawrence Grant),2.180,2.540
4,11:59,3,1,OAK 36,7,28,Edgerrin James left tackle for 5 yards (tackle by John Parrella and Napoleon Harris),2.540,3.510
4,11:17,1,10,OAK 31,7,28,Edgerrin James up the middle for 3 yards (tackle by John Parrella),3.510,3.370
4,10:35,2,7,OAK 28,7,28,Dominic Rhodes left end for 1 yard (tackle by Tyler Brayton),3.370,2.810
4,9:48,3,6,OAK 27,7,28,Peyton Manning pass incomplete intended for Brandon Stokley,2.810,1.700
4,9:42,4,6,OAK 27,7,28,Matt Bryant 44 yard field goal no good,1.700,-1.270
4,9:36,1,10,OAK 35,7,28,Kerry Collins pass complete to Amos Zereoue for 13 yards (tackle by Jim Nelson),1.270,2.130
4,9:06,1,10,OAK 48,7,28,Kerry Collins pass complete to Amos Zereoue for 11 yards (tackle by Robert Mathis),2.130,2.850
4,8:30,1,10,IND 41,7,28,Kerry Collins pass incomplete intended for Ronald Curry (defended by Dwight Freeney),2.850,2.310
4,8:25,2,10,IND 41,7,28,Kerry Collins pass complete to Amos Zereoue for 7 yards (tackle by Cato June),2.310,2.540
4,7:45,3,3,IND 34,7,28,Kerry Collins pass complete to Jerry Porter for 5 yards (tackle by Jim Nelson),2.540,3.640
4,7:06,1,10,IND 29,7,28,"Kerry Collins pass incomplete intended for Courtney Anderson. Penalty on Raheem Brock: Defensive Offside, 5 yards (no play)",3.640,4.370
4,6:59,1,5,IND 24,7,28,Amos Zereoue right end for 3 yards (tackle by Gerome Sapp),4.370,4.180
4,6:20,2,2,IND 21,13,28,"Kerry Collins pass complete to Courtney Anderson for 21 yards, touchdown",4.180,7.000
4,,,,IND 2,14,28,Sebastian Janikowski kicks extra point good,0.000,0.000
4,,,,OAK 30,14,28,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
4,6:14,1,10,IND 20,14,28,Edgerrin James right end for 7 yards (tackle by DeLawrence Grant and Charles Woodson),0.280,0.680
4,5:40,2,3,IND 27,14,28,Edgerrin James right end for -1 yards (tackle by Marques Anderson and Travian Smith),0.680,-0.160
4,4:55,3,4,IND 26,14,28,Peyton Manning pass incomplete intended for Brandon Stokley,-0.160,-1.630
4,4:51,4,4,IND 26,14,28,"Hunter Smith punts 62 yards, returned by Phillip Buchanon for 3 yards (tackle by Cory Bird)",-1.630,0.220
4,4:38,1,10,OAK 15,14,28,Kerry Collins pass complete to Courtney Anderson for 14 yards (tackle by Cato June),-0.220,0.870
4,4:14,1,10,OAK 29,14,28,Kerry Collins pass complete to Courtney Anderson for 3 yards (tackle by Cato June),0.870,0.730
4,4:08,2,7,OAK 32,14,28,Kerry Collins pass complete to Ronald Curry for 6 yards (tackle by Jason David),0.730,0.830
4,4:01,3,1,OAK 38,14,28,Amos Zereoue left tackle for no gain (tackle by Jim Nelson and Robert Mathis),0.830,-0.850
4,3:26,4,1,OAK 38,14,28,"Kerry Collins pass incomplete intended for Jerry Rice is intercepted by Nick Harper at OAK-47 and returned for 6 yards (tackle by Jerry Rice). Penalty on Jim Nelson: Roughing the Passer, 15 yards (no play)",-0.850,2.460
4,3:17,1,10,IND 47,14,28,Kerry Collins pass incomplete intended for J.R. Redmond (defended by Raheem Brock),2.460,1.910
4,3:09,2,10,IND 47,14,28,Kerry Collins pass incomplete intended for Doug Gabriel,1.910,1.220
4,3:03,3,10,IND 47,14,28,Kerry Collins pass incomplete intended for Doug Gabriel (defended by Nick Harper),1.220,0.130
4,2:57,4,10,IND 47,14,28,Kerry Collins pass incomplete intended for Jerry Porter,0.130,-2.060
4,2:52,1,10,IND 47,14,28,Dominic Rhodes right end for -2 yards (tackle by Danny Clark and Marques Anderson),2.060,1.250
4,2:45,,,,14,28,Timeout #1 by Oakland Raiders,0.000,1.250
4,2:45,2,12,IND 45,14,28,Dominic Rhodes right tackle for 3 yards (tackle by Danny Clark),1.250,0.960
4,2:40,,,,14,28,Timeout #2 by Oakland Raiders,0.000,0.960
4,2:40,3,9,IND 48,14,28,Peyton Manning pass complete to Reggie Wayne for -2 yards (tackle by Justin Fargas),0.960,-0.320
4,2:33,,,,14,28,Timeout #3 by Oakland Raiders,0.000,-0.320
4,2:33,4,11,IND 46,14,28,Hunter Smith punts 46 yards,-0.320,0.380
4,2:16,1,10,OAK 8,14,28,Kerry Collins pass complete to Ronald Curry for 8 yards (tackle by Jim Nelson),-0.380,-0.090
4,2:00,2,2,OAK 16,14,34,"Kerry Collins pass incomplete intended for Jerry Porter is intercepted by Jason David at OAK-34 and returned for 34 yards, touchdown",-0.090,-7.000
4,,,,OAK 2,14,35,Matt Bryant kicks extra point good,0.000,0.000
4,,,,IND 30,14,35,"Matt Bryant kicks off 60 yards, returned by Carlos Francis for 17 yards (tackle by Gilbert Gardner)",0.000,0.740
4,1:43,1,10,OAK 27,14,35,Kerry Collins pass complete to Ronald Curry for 9 yards (tackle by David Thornton),0.740,1.410
4,1:22,2,1,OAK 36,14,35,Kerry Collins pass incomplete intended for Courtney Anderson,1.410,0.700
4,1:18,3,1,OAK 36,14,35,J.R. Redmond right tackle for 5 yards (tackle by David Thornton and Gary Brackett),0.700,1.660
4,0:48,1,10,OAK 41,14,35,Kerry Collins pass incomplete intended for Ronald Curry,1.660,1.120
4,0:44,2,10,OAK 41,14,35,Kerry Collins pass incomplete intended for Alvis Whitted,1.120,0.430
4,0:39,3,10,OAK 41,14,35,Kerry Collins sacked by Brad Scioli for -12 yards. Penalty on Barry Sims: Offensive Holding (Declined),0.430,-1.440
4,0:32,4,22,OAK 29,14,35,Kerry Collins pass complete to Ronald Curry for 8 yards (tackle by Von Hutchins),-1.440,-3.120
4,0:23,1,10,OAK 37,14,35,Peyton Manning kneels for -1 yards,3.120,2.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
