Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
2,1:18,2,10,WAS 29,7,2,Kirk Cousins sacked by Dwight Freeney for -12 yards,0.330,0.000
2,1:08,,,,,,Timeout #1 by Seattle Seahawks,0.000,2.270
2,1:08,3,22,WAS 17,7,2,Chris Thompson left end for 11 yards (tackle by Bobby Wagner and Justin Coleman),-2.270,0.000
2,0:56,,,,,,Timeout #2 by Seattle Seahawks,0.000,1.500
2,0:56,4,11,WAS 28,7,2,"Tress Way punts 52 yards, returned by Tyler Lockett for 13 yards (tackle by William Compton)",-1.500,-1.140
2,0:45,1,10,SEA 33,7,2,"Penalty on Jimmy Graham: False Start, 5 yards (no play)",1.140,0.810
2,0:45,1,15,SEA 28,7,2,Russell Wilson pass incomplete deep middle intended for Doug Baldwin (defended by D.J. Swearinger),0.810,-0.080
2,0:39,2,15,SEA 28,7,2,Russell Wilson pass complete deep left to Doug Baldwin for 20 yards,-0.080,2.130
2,0:33,1,10,SEA 48,7,2,Russell Wilson pass incomplete,2.130,1.580
2,0:28,2,10,SEA 48,7,2,Russell Wilson middle for 11 yards (tackle by DeAngelo Hall),1.580,0.000
2,0:21,,,,,,Timeout #3 by Seattle Seahawks,0.000,-2.850
2,0:21,1,10,WAS 41,7,2,Russell Wilson pass incomplete,2.850,2.310
2,0:16,2,10,WAS 41,7,2,Russell Wilson pass complete short middle to Tanner McEvoy for 10 yards (tackle by Zach Brown),2.310,3.510
2,0:03,1,10,WAS 31,7,2,Russell Wilson spiked the ball,3.510,2.970
2,0:02,2,10,WAS 31,7,2,Blair Walsh 49 yard field goal no good,2.970,1.470
Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,7,2,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,SEA 25,7,2,Thomas Rawls middle for 5 yards (tackle by Terrell McClain),0.610,0.740
3,14:25,2,5,SEA 30,7,2,Thomas Rawls left tackle for 2 yards (tackle by William Compton),0.740,0.300
3,13:44,3,3,SEA 32,7,2,Russell Wilson pass incomplete deep left intended for Luke Willson (defended by DeAngelo Hall),0.300,-1.240
3,13:36,4,3,SEA 32,7,2,"Jon Ryan punts 42 yards, returned by DeAngelo Hall for 7 yards (tackle by Justin Coleman)",-1.240,-1.140
