Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
2,1:52,,,LAC 35,10,10,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,1:52,1,10,LVR 25,10,10,Theo Riddick right tackle for -5 yards (tackle by Justin Jones),0.610,-0.610
2,1:22,2,15,LVR 20,10,10,Marcus Mariota pass complete short middle to Darren Waller for 6 yards (tackle by Kenneth Murray),-0.610,-0.490
2,1:12,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:12,3,9,LVR 26,10,10,Marcus Mariota pass complete short left to Hunter Renfrow for 4 yards (tackle by Chris Harris),-0.490,-1.370
2,1:06,,,,,,Timeout #2 by Los Angeles Chargers,,
2,1:06,4,5,LVR 30,10,10,AJ Cole punts 19 yards out of bounds,-1.370,-2.320
2,1:00,1,10,LVR 49,10,10,Justin Herbert pass complete short right to Austin Ekeler for -2 yards (tackle by Trayvon Mullen),2.320,1.510
2,0:39,2,12,LAC 49,10,10,Justin Herbert pass incomplete deep right intended for Tyron Johnson,1.510,0.830
2,0:31,3,12,LAC 49,10,10,Justin Herbert pass complete deep right to K.J. Hill for 25 yards (tackle by Daryl Worley),0.830,3.840
2,0:25,1,10,LVR 26,16,10,"Justin Herbert pass complete deep right to Tyron Johnson for 26 yards, touchdown",3.840,7.000
2,0:19,,,LVR 15,17,10,Michael Badgley kicks extra point good,0.000,0.000
2,0:19,,,LAC 35,17,10,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,0:19,1,10,LVR 25,17,10,Josh Jacobs right guard for 6 yards (tackle by Kenneth Murray),0.610,0.870
Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,17,10,"Daniel Carlson kicks off 58 yards, returned by Joshua Kelley for 18 yards (tackle by Javin White and Kyle Wilber)",0.000,0.610
3,14:55,1,10,LAC 25,17,10,"Justin Herbert pass incomplete short right intended for Jalen Guyton. Penalty on Trayvon Mullen: Defensive Pass Interference, 13 yards. Penalty on Trayvon Mullen: Face Mask (15 Yards), 15 yards (no play)",0.610,2.460
3,14:50,1,10,LVR 47,17,10,Austin Ekeler left end for no gain (tackle by Cory Littleton),2.460,1.910
3,14:13,2,10,LVR 47,17,10,Justin Herbert pass complete short middle to K.J. Hill for 9 yards (tackle by Daryl Worley),1.910,2.410
3,13:38,3,1,LVR 38,17,10,Kalen Ballage up the middle for -4 yards (tackle by Carl Nassib),2.410,0.460
3,12:52,4,5,LVR 42,17,10,"Ty Long punts 34 yards, returned by Hunter Renfrow for 16 yards (tackle by Cole Mazza and B.J. Bello)",0.460,-0.540
3,12:41,1,10,LVR 24,17,10,Marcus Mariota right tackle for 26 yards (tackle by Jaylen Watkins),0.540,2.260
3,11:58,1,10,LVR 50,17,10,Marcus Mariota pass incomplete short left intended for Nelson Agholor,2.260,1.710
3,11:54,2,10,LVR 50,17,10,Marcus Mariota pass incomplete short middle intended for Darren Waller (defended by Michael Davis),1.710,1.030
3,11:49,3,10,LVR 50,17,10,Marcus Mariota pass complete short right to Darren Waller for 25 yards (tackle by Jaylen Watkins),1.030,3.910
3,11:18,1,10,LAC 25,17,10,Josh Jacobs left guard for 6 yards (tackle by Damion Square),3.910,4.200
3,10:37,2,4,LAC 19,17,10,Josh Jacobs left guard for 3 yards (tackle by Kenneth Murray),4.200,4.060
3,9:55,3,1,LAC 16,17,10,Josh Jacobs right tackle for -1 yards (tackle by Uchenna Nwosu),4.060,2.440
3,8:51,4,2,LAC 17,17,10,Marcus Mariota left end for 2 yards (tackle by Casey Hayward),2.440,4.580
3,8:08,1,10,LAC 15,17,10,Josh Jacobs right guard for 4 yards (tackle by Nick Vigil and Linval Joseph),4.580,4.640
3,7:26,2,6,LAC 11,17,10,"Marcus Mariota pass incomplete short left intended for Nelson Agholor. Penalty on Chris Harris: Defensive Pass Interference, 10 yards (no play)",4.640,6.970
3,7:21,1,1,LAC 1,17,16,"Josh Jacobs up the middle for 1 yard, touchdown",6.970,7.000
3,7:18,,,LAC 15,17,17,Daniel Carlson kicks extra point good,0.000,0.000
3,7:18,,,LVR 35,17,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,7:18,1,10,LAC 25,17,17,Justin Herbert pass incomplete deep right intended for Tyron Johnson,0.610,0.060
3,7:12,2,10,LAC 25,17,17,Justin Herbert pass complete short right to Jalen Guyton for 15 yards (tackle by Trayvon Mullen),0.060,1.600
3,6:32,1,10,LAC 40,17,17,Justin Herbert pass incomplete short right intended for Gabe Nabers,1.600,1.050
3,6:28,2,10,LAC 40,17,17,Justin Herbert pass complete short middle to Mike Williams for 14 yards (tackle by Erik Harris),1.050,2.520
3,5:56,1,10,LVR 46,17,17,Austin Ekeler right guard for 5 yards (tackle by Daryl Worley and Nick Kwiatkoski),2.520,2.650
3,5:17,2,5,LVR 41,17,17,Joshua Kelley left guard for 5 yards (tackle by Cory Littleton and Keisean Nixon),2.650,3.180
3,4:33,1,10,LVR 36,17,17,Justin Herbert pass incomplete deep middle intended for Jalen Guyton (defended by Trayvon Mullen),3.180,2.640
3,4:26,2,10,LVR 36,17,17,"Penalty on Justin Herbert: Delay of Game, 5 yards (no play)",2.640,1.960
3,4:26,2,15,LVR 41,17,17,Justin Herbert pass complete short right to Austin Ekeler for 10 yards (tackle by Trayvon Mullen),1.960,2.610
3,3:38,3,5,LVR 31,17,17,Justin Herbert pass complete short middle to Hunter Henry for 19 yards (tackle by Nick Kwiatkoski),2.610,4.780
3,3:02,1,10,LVR 12,17,17,Justin Herbert pass incomplete short middle intended for Hunter Henry,4.780,4.100
3,2:58,2,10,LVR 12,17,17,Justin Herbert up the middle for 1 yard (tackle by Cory Littleton),4.100,3.290
3,2:17,3,9,LVR 11,17,17,"Justin Herbert pass incomplete short right intended for Mike Williams. Penalty on Trayvon Mullen: Defensive Pass Interference, 10 yards (no play)",3.290,6.970
3,2:12,,,,,,Timeout #1 by Las Vegas Raiders,,
3,2:12,1,1,LVR 1,23,17,"Kalen Ballage right guard for 1 yard, touchdown",6.970,7.000
3,2:08,,,LVR 15,24,17,Michael Badgley kicks extra point good,0.000,0.000
3,2:08,,,LAC 35,24,17,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,2:08,1,10,LVR 25,24,17,Marcus Mariota pass complete short left to Darren Waller for 10 yards (tackle by Chris Harris),0.610,1.270
3,1:28,1,10,LVR 35,24,17,Marcus Mariota pass incomplete short right intended for Darren Waller,1.270,0.720
3,1:24,2,10,LVR 35,24,17,Josh Jacobs up the middle for 8 yards (tackle by Kyzir White),0.720,1.090
3,0:45,3,2,LVR 43,24,17,Josh Jacobs right guard for no gain (tackle by Joey Bosa),1.090,-0.520
Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,LVR 43,24,17,Marcus Mariota pass complete short left to Nelson Agholor for 4 yards (tackle by Nick Vigil),-0.520,2.060
4,14:14,1,10,LVR 47,24,17,Josh Jacobs left guard for 4 yards (tackle by Nick Vigil),2.060,2.060
4,13:48,2,6,LAC 49,24,17,Marcus Mariota pass incomplete deep middle intended for Nelson Agholor,2.060,1.360
4,13:45,3,6,LAC 49,24,17,Marcus Mariota left end for 7 yards (tackle by Chris Harris),1.360,2.790
4,13:04,1,10,LAC 42,24,17,"Josh Jacobs right tackle for 10 yards (tackle by Chris Harris). Penalty on Gabe Jackson: Offensive Holding, 10 yards (no play)",2.790,2.130
4,12:36,1,20,LVR 48,24,17,Marcus Mariota pass complete short right to Jalen Richard for 7 yards (tackle by Rayshawn Jenkins and Cortez Broughton),2.130,1.840
4,11:50,2,13,LAC 45,24,17,Marcus Mariota pass complete short right to Josh Jacobs for 15 yards (tackle by Jahleel Addae),1.840,3.580
4,11:13,1,10,LAC 30,24,17,Josh Jacobs right end for -3 yards (tackle by Jerry Tillery),3.580,2.630
4,10:27,2,13,LAC 33,24,17,Marcus Mariota pass complete short middle to Darren Waller for 14 yards (tackle by Jaylen Watkins),2.630,4.310
4,9:44,1,10,LAC 19,24,17,Marcus Mariota right tackle for 7 yards (tackle by Kenneth Murray),4.310,4.920
4,9:00,2,3,LAC 12,24,17,Josh Jacobs right guard for 2 yards (tackle by Kenneth Murray and Joey Bosa),4.920,4.690
4,8:14,3,1,LAC 10,24,17,Josh Jacobs up the middle for no gain (tackle by Uchenna Nwosu and Joey Bosa),4.690,2.910
4,7:26,4,1,LAC 10,24,17,Marcus Mariota pass complete short left to Darren Waller for 7 yards (tackle by Casey Hayward),2.910,6.510
4,7:05,1,3,LAC 3,24,17,Josh Jacobs right guard for 1 yard (tackle by Linval Joseph),6.510,5.720
4,6:30,2,2,LAC 2,24,17,Marcus Mariota pass incomplete short right,5.720,4.950
4,6:23,3,2,LAC 2,24,23,"Marcus Mariota right end for 2 yards, touchdown",4.950,7.000
4,6:16,,,LAC 15,24,24,Daniel Carlson kicks extra point good,0.000,0.000
4,6:16,,,LVR 35,24,24,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,6:16,1,10,LAC 25,24,24,Austin Ekeler left guard for 27 yards (tackle by Erik Harris),0.610,2.390
4,5:42,1,10,LVR 48,24,24,Justin Herbert left end for 12 yards (tackle by Cory Littleton),2.390,3.180
4,5:07,1,10,LVR 36,24,24,Kalen Ballage right guard for 6 yards (tackle by Daryl Worley),3.180,3.450
4,4:28,2,4,LVR 30,24,24,Austin Ekeler left guard for 2 yards (tackle by Johnathan Hankins),3.450,3.010
4,3:48,3,2,LVR 28,24,24,Justin Herbert pass incomplete short middle intended for Hunter Henry (defended by Daryl Worley),3.010,1.700
4,3:44,4,2,LVR 28,24,24,Michael Badgley 47 yard field goal no good,1.700,-1.400
4,3:38,1,10,LVR 37,24,24,Josh Jacobs left tackle for no gain (tackle by Joey Bosa),1.400,0.860
4,3:03,2,10,LVR 37,24,24,Marcus Mariota pass complete short left to Darren Waller for 15 yards,0.860,2.390
4,2:55,1,10,LAC 48,24,24,Marcus Mariota pass complete deep right to Darren Waller for 25 yards (tackle by Casey Hayward),2.390,4.040
4,2:48,1,10,LAC 23,24,24,Josh Jacobs right guard for 2 yards (tackle by Justin Jones and Damion Square),4.040,3.770
4,2:05,2,8,LAC 21,24,24,Marcus Mariota pass short middle intended for Zay Jones is intercepted by Chris Harris at LAC-16 and returned for 51 yards,3.770,-3.380
4,1:54,1,10,LVR 33,24,24,Austin Ekeler up the middle for 3 yards (tackle by Nick Kwiatkoski and Carl Nassib),3.380,3.240
4,1:49,,,,,,Timeout #2 by Las Vegas Raiders,,
4,1:49,2,7,LVR 30,24,24,Austin Ekeler left tackle for 5 yards (tackle by Nick Kwiatkoski),3.240,3.200
4,1:44,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:44,3,2,LVR 25,24,24,Justin Herbert sacked by Kendal Vickers for -8 yards,3.200,1.150
4,0:58,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:58,4,10,LVR 33,24,24,Michael Badgley 51 yard field goal no good,1.150,-1.660
4,0:53,1,10,LVR 41,24,24,Marcus Mariota pass incomplete deep right intended for Nelson Agholor,1.660,1.120
4,0:47,2,10,LVR 41,24,24,Marcus Mariota pass incomplete deep left intended for Nelson Agholor,1.120,0.430
4,0:42,3,10,LVR 41,24,24,Marcus Mariota pass complete short right to Nelson Agholor for 9 yards (tackle by Casey Hayward),0.430,-0.060
4,0:18,4,1,LVR 50,24,24,Marcus Mariota up the middle for 3 yards (tackle by Jahleel Addae),-0.060,2.460
4,0:05,1,10,LAC 47,24,24,Marcus Mariota spiked the ball,2.460,1.910
4,0:04,2,10,LAC 47,24,24,"AJ Cole aborted snap, recovered by AJ Cole at LV-45 and returned for -7 yards",1.910,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
,,,,,,,"Raiders won the coin toss, Raiders to receive the overtime kickoff.",,
OT,10:00,,,LAC 35,24,24,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,LVR 25,24,24,Devontae Booker left guard for 7 yards (tackle by Nick Vigil),0.610,1.010
OT,9:24,2,3,LVR 32,24,24,Marcus Mariota left end for 13 yards (tackle by Jaylen Watkins),1.010,1.930
OT,8:46,1,10,LVR 45,24,24,Marcus Mariota pass complete short right to Zay Jones for 9 yards (tackle by Kenneth Murray),1.930,2.600
OT,8:04,2,1,LAC 46,24,24,Josh Jacobs left guard for 2 yards (tackle by Justin Jones and Linval Joseph),2.600,2.650
OT,7:24,1,10,LAC 44,24,24,Marcus Mariota pass incomplete deep left intended for Darren Waller,2.650,2.110
OT,7:18,2,10,LAC 44,24,24,Marcus Mariota right tackle for 17 yards (tackle by Rayshawn Jenkins),2.110,3.780
OT,6:43,1,10,LAC 27,24,24,Josh Jacobs left tackle for 3 yards (tackle by Kenneth Murray and Nick Vigil),3.780,3.640
OT,6:03,2,7,LAC 24,24,24,Marcus Mariota pass complete short right to Josh Jacobs for 6 yards (tackle by Isaac Rochell),3.640,3.840
OT,5:48,3,1,LAC 18,24,24,Alec Ingold up the middle for 2 yards (tackle by Nick Vigil),3.840,4.510
OT,5:08,1,10,LAC 16,24,24,Josh Jacobs up the middle for 12 yards (tackle by Nick Vigil),4.510,6.280
OT,4:30,1,4,LAC 4,24,24,Josh Jacobs up the middle for 1 yard (tackle by Linval Joseph and Isaac Rochell),6.280,5.530
OT,3:47,2,3,LAC 3,24,24,Josh Jacobs right guard for -2 yards (tackle by Michael Davis),5.530,4.260
OT,3:26,,,,,,Timeout #1 by Los Angeles Chargers,,
OT,3:26,3,5,LAC 5,24,24,Marcus Mariota pass incomplete short right intended for Alec Ingold (defended by Isaac Rochell),4.260,3.010
OT,3:22,4,5,LAC 5,24,27,Daniel Carlson 23 yard field goal good,3.010,3.000
OT,3:18,,,LVR 35,24,27,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
OT,3:18,1,10,LAC 25,24,27,Justin Herbert pass incomplete short right intended for Donald Parham,0.610,0.060
OT,3:12,2,10,LAC 25,24,27,"Justin Herbert pass incomplete deep right intended for Jalen Guyton. Penalty on Trayvon Mullen: Defensive Pass Interference, 20 yards (no play)",0.060,1.930
OT,3:05,1,10,LAC 45,24,27,Justin Herbert pass complete deep middle to Jalen Guyton for 53 yards (tackle by Keisean Nixon),1.930,6.740
OT,2:19,,,,,,Timeout #1 by Las Vegas Raiders,,
OT,2:19,1,2,LVR 2,24,27,"Justin Herbert right end for no gain (tackle by Erik Harris). Penalty on Nick Kwiatkoski: Lowering the Head to Initiate Contact, 1 yard (no play)",6.740,6.970
OT,2:08,1,1,LVR 1,24,27,Kalen Ballage right tackle for no gain (tackle by Johnathan Hankins and Raekwon McMillan),6.970,5.910
OT,2:00,2,1,LVR 1,24,27,"Justin Herbert up the middle for no gain (tackle by Raekwon McMillan). Justin Herbert fumbles (forced by Raekwon McMillan), recovered by Gabe Nabers at LV-1",5.910,5.170
OT,1:32,3,1,LVR 1,30,27,"Justin Herbert left guard for 1 yard, touchdown",5.170,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
