Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
2,4:54,1,10,CHI 34,0,10,Cordarrelle Patterson left end for 3 yards (tackle by Corey Ballentine),1.200,1.060
2,4:23,2,7,CHI 37,0,10,Mitchell Trubisky pass complete deep middle to Darnell Mooney for 16 yards (tackle by Blake Martinez),1.060,2.460
2,3:44,1,10,NYG 47,0,10,Tarik Cohen right tackle for 3 yards (tackle by Dexter Lawrence),2.460,2.320
2,2:59,2,7,NYG 44,0,10,Mitchell Trubisky pass complete short middle to Cole Kmet for 12 yards (tackle by Darnay Holmes),2.320,3.450
2,2:14,1,10,NYG 32,0,10,Tarik Cohen right end for 1 yard (tackle by Lorenzo Carter),3.450,3.040
2,2:00,2,9,NYG 31,0,10,Mitchell Trubisky pass complete short left to Ryan Nall for 2 yards (tackle by Kyler Fackrell),3.040,2.610
2,1:17,3,7,NYG 29,0,10,Mitchell Trubisky pass complete short middle to Javon Wims for 12 yards (tackle by James Bradberry),2.610,4.440
2,0:34,1,10,NYG 17,0,10,Mitchell Trubisky right end for 2 yards (tackle by James Bradberry),4.440,4.150
2,0:28,2,8,NYG 15,0,10,Mitchell Trubisky pass incomplete short right intended for Allen Robinson (defended by James Bradberry),4.150,3.340
2,0:24,3,8,NYG 15,0,16,"Mitchell Trubisky pass complete short left to Darnell Mooney for 15 yards, touchdown",3.340,7.000
2,0:14,,,NYG 15,0,17,Cairo Santos kicks extra point good,0.000,0.000
2,0:14,,,CHI 35,0,17,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,0:14,1,10,NYG 25,0,17,Daniel Jones pass complete deep middle to Sterling Shepard for 24 yards (tackle by Jaylon Johnson),0.610,2.190
2,0:08,,,,,,Timeout #2 by New York Giants,,
2,0:08,1,10,NYG 49,0,17,Daniel Jones pass complete short middle to Golden Tate for 12 yards (tackle by Buster Skrine),2.190,2.980
2,0:03,,,,,,Timeout #3 by New York Giants,,
2,0:03,1,10,CHI 39,0,17,Graham Gano 57 yard field goal no good,2.980,1.990
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,0,17,"Cairo Santos kicks off 69 yards, returned by C.J. Board for 34 yards (tackle by Ryan Nall)",0.000,0.940
3,14:54,1,10,NYG 30,0,17,Daniel Jones pass complete short left to Darius Slayton for 13 yards (tackle by Eddie Jackson),0.940,1.800
3,14:17,1,10,NYG 43,0,17,Dion Lewis left tackle for 3 yards (tackle by Danny Trevathan and Jaylon Johnson),1.800,1.660
3,13:39,2,7,NYG 46,0,17,Dion Lewis left guard for 2 yards (tackle by Roquan Smith and Khalil Mack),1.660,1.220
3,12:59,3,5,NYG 48,0,17,Daniel Jones sacked by Akiem Hicks for -7 yards,1.220,-0.650
3,12:23,4,12,NYG 41,0,17,"Riley Dixon punts 59 yards, touchback.. Penalty on Brandon Williams: Illegal Touch Kick, 5 yards",-0.650,-0.610
3,12:11,1,10,CHI 25,0,17,David Montgomery right tackle for no gain (tackle by Leonard Williams),0.610,0.060
3,11:33,2,10,CHI 25,0,17,Mitchell Trubisky pass short middle (defended by James Bradberry) intended for Allen Robinson is intercepted by Julian Love at CHI-38 and returned for 13 yards,0.060,-3.910
3,11:21,1,10,CHI 25,0,17,Daniel Jones pass complete short middle to Kaden Smith for -3 yards (tackle by Bilal Nichols),3.910,2.960
3,10:37,2,13,CHI 28,0,17,Daniel Jones pass complete short middle to Golden Tate for 7 yards (tackle by Eddie Jackson),2.960,3.200
3,9:58,3,6,CHI 21,0,17,Daniel Jones pass incomplete short middle intended for Darius Slayton,3.200,2.080
3,9:54,4,6,CHI 21,3,17,Graham Gano 39 yard field goal good,2.080,3.000
3,9:50,,,NYG 35,3,17,"Graham Gano kicks off 66 yards, returned by Cordarrelle Patterson for 30 yards (tackle by Isaac Yiadom and Elijhaa Penny)",0.000,0.870
3,9:40,1,10,CHI 29,3,17,Cordarrelle Patterson left tackle for 4 yards (tackle by Jabrill Peppers),0.870,0.870
3,9:06,2,6,CHI 33,3,17,"Mitchell Trubisky pass complete short right to Darnell Mooney for 5 yards (tackle by Logan Ryan). Darnell Mooney fumbles (forced by Logan Ryan), recovered by Darnell Mooney at CHI-38",0.870,0.830
3,8:17,3,1,CHI 38,3,17,Mitchell Trubisky pass complete short right to David Montgomery for 8 yards (tackle by Jabrill Peppers),0.830,1.990
3,7:34,1,10,CHI 46,3,17,David Montgomery right guard for 4 yards (tackle by Logan Ryan),1.990,1.990
3,6:55,2,6,CHI 50,3,17,David Montgomery right guard for 3 yards (tackle by B.J. Hill),1.990,1.690
3,6:12,,,,,,Timeout #1 by Chicago Bears,,
3,6:11,3,3,NYG 47,3,17,Mitchell Trubisky pass complete short right to Javon Wims for 5 yards,1.690,2.790
3,5:35,1,10,NYG 42,3,17,David Montgomery left guard for 2 yards (tackle by Dalvin Tomlinson),2.790,2.510
3,4:53,2,8,NYG 40,3,17,Tarik Cohen left guard for 2 yards (tackle by Jabrill Peppers and Markus Golden),2.510,2.080
3,4:08,3,6,NYG 38,3,17,Mitchell Trubisky pass incomplete short left intended for Anthony Miller,2.080,0.720
3,4:04,4,6,NYG 38,3,17,Pat O'Donnell punts 33 yards downed by Sherrick McManis,0.720,0.380
3,3:57,1,10,NYG 5,3,17,Daniel Jones pass complete short left to Evan Engram for 7 yards (tackle by Tashaun Gipson),-0.380,-0.270
3,3:28,2,3,NYG 12,3,17,Daniel Jones pass incomplete short left intended for Evan Engram (defended by Jaylon Johnson),-0.270,-0.600
3,3:24,3,3,NYG 12,3,17,Daniel Jones pass complete short right to Dion Lewis for 11 yards (tackle by Buster Skrine),-0.600,0.480
3,2:58,1,10,NYG 23,3,17,Daniel Jones pass complete short middle to Golden Tate for 20 yards (tackle by Eddie Jackson),0.480,1.800
3,2:16,1,10,NYG 43,3,17,Daniel Jones pass complete short middle to C.J. Board for 12 yards (tackle by Roquan Smith),1.800,2.590
3,1:42,1,10,CHI 45,3,17,"Daniel Jones right end for 12 yards (tackle by Roquan Smith). Penalty on Roquan Smith: Unnecessary Roughness, 15 yards",2.590,4.370
3,1:20,1,10,CHI 18,3,17,"Daniel Jones pass complete short middle to Dion Lewis for 7 yards (tackle by Kyle Fuller). Penalty on James Vaughters: Defensive Offside, 5 yards (no play)",4.370,5.410
3,0:59,1,5,CHI 13,3,17,Daniel Jones pass complete short middle to Evan Engram for 6 yards (tackle by Kyle Fuller),5.410,5.600
3,0:18,1,7,CHI 7,3,17,Daniel Jones pass complete short middle to Golden Tate for 4 yards (tackle by Eddie Jackson),5.600,5.530
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,CHI 3,3,17,Daniel Jones pass complete short left to Kaden Smith for 2 yards (tackle by Jaylon Johnson),5.530,5.170
4,14:29,3,1,CHI 1,3,17,Daniel Jones pass incomplete short left,5.170,3.550
4,14:22,4,1,CHI 1,9,17,"Dion Lewis right guard for 1 yard, touchdown",3.550,7.000
4,14:18,,,CHI 15,10,17,Graham Gano kicks extra point good,0.000,0.000
4,14:18,,,NYG 35,10,17,"Graham Gano kicks off 71 yards, returned by Cordarrelle Patterson for 30 yards (tackle by Nate Ebner)",0.000,0.540
4,14:14,1,10,CHI 24,10,17,Mitchell Trubisky pass complete short left to David Montgomery for 9 yards (tackle by Logan Ryan and Blake Martinez),0.540,1.210
4,13:47,2,1,CHI 33,10,17,David Montgomery left guard for 5 yards (tackle by Blake Martinez),1.210,1.470
4,13:09,1,10,CHI 38,10,17,Mitchell Trubisky pass incomplete deep left intended for Demetrius Harris,1.470,0.920
4,13:02,2,10,CHI 38,10,17,Cordarrelle Patterson right guard for 6 yards (tackle by Blake Martinez),0.920,1.020
4,12:21,3,4,CHI 44,10,17,Mitchell Trubisky pass deep right intended for Allen Robinson is intercepted by James Bradberry at NYG-34 and returned for no gain,1.020,-1.200
4,12:14,1,10,NYG 34,10,17,Daniel Jones pass complete short middle to Evan Engram for 12 yards (tackle by James Vaughters),1.200,1.990
4,11:29,1,10,NYG 46,10,17,Daniel Jones sacked by Khalil Mack for -8 yards,1.990,0.370
4,10:48,2,18,NYG 38,10,17,Daniel Jones pass complete short middle to Evan Engram for 10 yards (tackle by Tashaun Gipson),0.370,1.030
4,10:12,3,8,NYG 48,10,17,"Daniel Jones pass short middle is intercepted by Eddie Jackson at CHI-46 and returned for 54 yards. Penalty on Eddie Jackson: Defensive Pass Interference, 8 yards (no play)",1.030,2.650
4,9:57,1,10,CHI 44,10,17,Daniel Jones pass complete short middle to C.J. Board for 11 yards (tackle by Kyle Fuller),2.650,3.380
4,9:18,1,10,CHI 33,10,17,Dion Lewis right tackle for 6 yards (tackle by Danny Trevathan and Buster Skrine),3.380,3.650
4,8:36,2,4,CHI 27,10,17,Daniel Jones pass complete short left to Evan Engram for 8 yards (tackle by Eddie Jackson),3.650,4.310
4,8:05,1,10,CHI 19,10,17,Daniel Jones pass incomplete short right,4.310,3.750
4,7:57,2,10,CHI 19,10,17,Daniel Jones pass incomplete short left intended for Kaden Smith,3.750,3.030
4,7:51,3,10,CHI 19,10,17,Daniel Jones pass incomplete short middle intended for Damion Ratley (defended by Jaylon Johnson),3.030,2.180
4,7:47,4,10,CHI 19,13,17,Graham Gano 37 yard field goal good,2.180,3.000
4,7:43,,,NYG 35,13,17,"Graham Gano kicks off 51 yards, returned by Ryan Nall for 10 yards (tackle by Tae Crowder and Nate Ebner)",0.000,0.540
4,7:36,1,10,CHI 24,13,17,David Montgomery left tackle for 11 yards (tackle by Julian Love and Dalvin Tomlinson),0.540,1.270
4,6:56,1,10,CHI 35,13,17,David Montgomery left tackle for 10 yards (tackle by B.J. Hill and Jabrill Peppers),1.270,1.930
4,6:11,1,10,CHI 45,13,17,Cordarrelle Patterson right end for -1 yards (tackle by Julian Love),1.930,1.250
4,5:33,2,11,CHI 44,13,17,Mitchell Trubisky right end for 12 yards (tackle by Blake Martinez),1.250,2.650
4,4:56,1,10,NYG 44,13,17,"David Montgomery left tackle for 9 yards (tackle by Isaac Yiadom). Penalty on Germain Ifedi: Chop Block, 15 yards (no play)",2.650,1.660
4,4:51,1,25,CHI 41,13,17,David Montgomery right guard for 23 yards (tackle by Isaac Yiadom and Julian Love),1.660,3.190
4,4:06,2,2,NYG 36,13,17,David Montgomery right guard for no gain (tackle by Dexter Lawrence),3.190,2.480
4,4:01,,,,,,Timeout #1 by New York Giants,,
4,4:01,3,2,NYG 36,13,17,Mitchell Trubisky pass incomplete short middle intended for Allen Robinson (defended by Dalvin Tomlinson),2.480,0.890
4,3:58,4,2,NYG 36,13,17,Mitchell Trubisky pass complete short middle to Bobby Massie for 4 yards (tackle by B.J. Hill),0.890,3.450
4,3:49,,,,,,Timeout #2 by New York Giants,,
4,3:49,1,10,NYG 32,13,17,David Montgomery right guard for 1 yard (tackle by Dalvin Tomlinson),3.450,3.040
4,3:43,,,,,,Timeout #3 by New York Giants,,
4,3:43,2,9,NYG 31,13,17,David Montgomery left guard for no gain (tackle by Dalvin Tomlinson),3.040,2.340
4,2:56,,,,,,Timeout #2 by Chicago Bears,,
4,2:56,3,9,NYG 31,13,17,Mitchell Trubisky sacked by Blake Martinez for -1 yards,2.340,1.240
4,2:07,4,10,NYG 32,13,17,Cairo Santos 50 yard field goal no good,1.240,-1.600
4,2:02,1,10,NYG 40,13,17,Daniel Jones pass incomplete short right intended for Damion Ratley,1.600,1.050
4,1:59,2,10,NYG 40,13,17,Daniel Jones pass incomplete short right intended for Dion Lewis,1.050,0.370
4,1:55,3,10,NYG 40,13,17,Daniel Jones pass complete short middle to Evan Engram for 22 yards (tackle by Buster Skrine),0.370,3.050
4,1:34,1,10,CHI 38,13,17,Daniel Jones pass incomplete short left intended for Darius Slayton,3.050,2.510
4,1:29,2,10,CHI 38,13,17,Daniel Jones right end for 2 yards (tackle by Eddie Jackson),2.510,2.080
4,1:03,3,8,CHI 36,13,17,Daniel Jones pass complete short left to Golden Tate for 4 yards (tackle by Buster Skrine),2.080,1.270
4,0:45,4,4,CHI 32,13,17,Daniel Jones pass complete short middle to Dion Lewis for 6 yards (tackle by Deon Bush),1.270,3.840
4,0:32,1,10,CHI 26,13,17,Daniel Jones spiked the ball,3.840,3.300
4,0:31,2,10,CHI 26,13,17,Daniel Jones pass incomplete short right intended for Darius Slayton,3.300,2.610
4,0:26,3,10,CHI 26,13,17,Daniel Jones pass complete short right to C.J. Board for 9 yards (tackle by Kyle Fuller),2.610,2.460
4,0:21,4,1,CHI 17,13,17,Daniel Jones pass complete short middle to Darius Slayton for 3 yards (tackle by Roquan Smith),2.460,4.650
4,0:09,1,10,CHI 14,13,17,Daniel Jones spiked the ball,4.650,4.000
4,0:08,2,10,CHI 14,13,17,Daniel Jones pass complete short left to Dion Lewis for 4 yards,4.000,3.820
4,0:04,3,6,CHI 10,13,17,Daniel Jones pass incomplete short right intended for Golden Tate (defended by Eddie Jackson). Penalty on Golden Tate: Offensive Pass Interference (no play),3.820,2.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
