Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
2,1:34,1,10,DEN 16,20,13,Sam Bradford pass complete short middle to Danny Amendola for 6 yards (tackle by Brian Dawkins),4.510,4.970
2,1:09,2,4,DEN 10,20,13,Sam Bradford pass incomplete short right intended for Steven Jackson,4.970,4.170
2,1:02,3,4,DEN 10,20,13,Sam Bradford pass incomplete short left intended for Danny Amendola (defended by D.J. Williams),4.170,2.840
2,0:58,4,4,DEN 10,23,13,Josh Brown 28 yard field goal good,2.840,3.000
2,,,,STL 30,23,13,"Josh Brown kicks off 64 yards, returned by Eddie Royal for 17 yards (tackle by Jerome Murphy). Eddie Royal fumbles (forced by Jerome Murphy), recovered by Jerome Murphy at DEN-23 (tackle by Eddie Royal)",0.000,-4.040
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,0:47,1,10,DEN 23,23,13,Steven Jackson middle for 4 yards (tackle by Mario Haggan),4.040,4.050
2,0:28,2,6,DEN 19,23,13,Sam Bradford sacked by Mario Haggan for 0 yards,4.050,3.340
2,0:23,3,6,DEN 19,23,13,Sam Bradford pass incomplete short left intended for Laurent Robinson,3.340,2.210
2,0:18,4,6,DEN 19,26,13,Josh Brown 37 yard field goal good,2.210,3.000
2,,,,STL 30,26,13,"Josh Brown kicks off 67 yards, returned by Eddie Royal for 21 yards (tackle by Craig Dahl)",0.000,0.540
2,0:08,1,10,DEN 24,26,13,Correll Buckhalter left end for 12 yards (tackle by Bradley Fletcher),0.540,1.330
Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,26,13,"Matt Prater kicks off 64 yards, returned by Danny Amendola for 21 yards (tackle by Wesley Woodyard)",0.000,0.740
3,14:56,1,10,STL 27,26,13,Sam Bradford pass complete short left to Daniel Fells for 13 yards (tackle by Perrish Cox),0.740,1.600
3,14:31,1,10,STL 40,26,13,Steven Jackson left tackle for -1 yards (tackle by Kevin Vickerson),1.600,0.920
3,13:51,2,11,STL 39,26,13,"Penalty on Brit Miller: False Start, 5 yards (no play)",0.920,0.240
3,13:28,2,16,STL 34,26,13,Sam Bradford pass complete short left to Steven Jackson for -6 yards (tackle by Joe Mays),0.240,-1.220
3,12:45,3,22,STL 28,26,13,Sam Bradford pass incomplete short left intended for Kenneth Darby,-1.220,-1.500
3,12:40,4,22,STL 28,26,13,"Donnie Jones punts 53 yards, returned by Eddie Royal for 3 yards (tackle by Bryan Kehl). Penalty on Perrish Cox: Illegal Block Above the , 10 yards",-1.500,0.350
3,12:25,1,10,DEN 12,26,13,Knowshon Moreno right guard for -2 yards (tackle by Justin King),-0.350,-0.930
3,11:52,2,12,DEN 10,26,13,Kyle Orton pass complete short left to Jabar Gaffney for 12 yards (tackle by Bradley Fletcher),-0.930,0.410
3,11:08,1,10,DEN 22,26,13,"Knowshon Moreno left tackle for 9 yards (tackle by O.J. Atogwe). Knowshon Moreno fumbles (forced by O.J. Atogwe), recovered by Na'il Diggs at DEN-34",0.410,-3.510
3,11:00,1,10,DEN 31,26,13,Steven Jackson right end for 20 yards (tackle by Renaldo Hill),3.510,4.840
3,10:27,1,10,DEN 11,26,13,Steven Jackson middle for 4 yards (tackle by Jason Hunter),4.840,4.890
3,9:46,2,6,DEN 7,26,13,Steven Jackson middle for 6 yards (tackle by Ryan McBean and Jason Hunter),4.890,6.970
3,9:02,1,1,DEN 1,26,13,Sam Bradford pass incomplete short right intended for Steven Jackson (defended by David Bruton),6.970,5.910
3,8:58,2,1,DEN 1,32,13,"Kenneth Darby middle for 1 yard, touchdown",5.910,7.000
3,,,,DEN 2,33,13,Josh Brown kicks extra point good,0.000,0.000
3,,,,STL 30,33,13,"Josh Brown kicks off 73 yards, returned by Eddie Royal for 19 yards (tackle by David Vobora)",0.000,-0.140
3,8:50,1,10,DEN 16,33,13,Kyle Orton pass complete short right to Knowshon Moreno for 31 yards (tackle by Darell Scott),-0.140,2.060
3,8:11,1,10,DEN 47,33,13,Lance Ball left tackle for 9 yards (tackle by James Laurinaitis and Bradley Fletcher),2.060,2.730
3,7:39,2,1,STL 44,33,13,Lance Ball middle for 8 yards (tackle by James Laurinaitis),2.730,3.180
3,7:00,1,10,STL 36,33,13,Lance Ball right tackle for -3 yards (tackle by Na'il Diggs),3.180,2.230
3,6:26,2,13,STL 39,33,13,Kyle Orton pass complete short left to Eddie Royal for -2 yards (tackle by Justin King),2.230,1.290
3,5:48,3,15,STL 41,33,13,Kyle Orton pass complete short left to Knowshon Moreno for no gain,1.290,0.530
3,5:08,4,15,STL 41,33,13,"Britton Colquitt punts 41 yards, touchback",0.530,-0.280
3,5:01,1,10,STL 20,33,13,Steven Jackson left guard for 2 yards (tackle by Kevin Vickerson),0.280,0.000
3,4:24,2,8,STL 22,33,13,Sam Bradford pass complete deep right to Danny Amendola for 17 yards (tackle by Nate Jones),0.000,1.530
3,3:56,1,10,STL 39,33,13,Sam Bradford pass incomplete deep middle intended for Danario Alexander,1.530,0.990
3,3:49,2,10,STL 39,33,13,Steven Jackson middle for 2 yards (tackle by Justin Bannan),0.990,0.560
3,3:09,3,8,STL 41,33,13,Sam Bradford pass complete short left to Laurent Robinson for 23 yards (tackle by Nate Jones),0.560,3.180
3,2:26,1,10,DEN 36,33,13,Steven Jackson middle for 2 yards (tackle by Ronald Fields),3.180,2.910
3,1:49,2,8,DEN 34,33,13,Sam Bradford pass incomplete short right intended for Danny Amendola (defended by D.J. Williams),2.910,2.210
3,1:45,3,8,DEN 34,33,13,Sam Bradford pass complete short right to Brandon Gibson for 7 yards (tackle by D.J. Williams),2.210,1.820
3,1:00,4,1,DEN 27,33,13,Josh Brown 45 yard field goal no good,1.820,-1.270
3,0:55,1,10,DEN 35,33,13,Kyle Orton pass complete deep middle to Jabar Gaffney for 19 yards (tackle by Ronald Bartell),1.270,2.520
3,0:18,1,10,STL 46,33,13,Knowshon Moreno right tackle for 5 yards (tackle by Justin King),2.520,2.650
Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,STL 41,33,19,"Kyle Orton pass complete deep right to Brandon Lloyd for 41 yards, touchdown",2.650,7.000
4,,,,STL 2,33,20,Matt Prater kicks extra point good,0.000,0.000
4,,,,DEN 30,33,20,"Matt Prater kicks off 72 yards, returned by Danny Amendola for 27 yards (tackle by Dan Gronkowski)",0.000,0.610
4,14:42,1,10,STL 25,33,20,Danny Amendola left end for 5 yards (tackle by Renaldo Hill),0.610,0.740
4,14:06,2,5,STL 30,33,20,"Sam Bradford pass complete short middle to Brandon Gibson for 14 yards (tackle by Perrish Cox). Penalty on Ronald Fields: Roughing the Passer, 15 yards",0.740,2.850
4,13:40,1,10,DEN 41,33,20,Steven Jackson right end for 7 yards (tackle by Nate Jones and D.J. Williams),2.850,3.250
4,13:08,2,3,DEN 34,33,20,Sam Bradford pass complete deep left to Danario Alexander for 24 yards (tackle by Nate Jones),3.250,4.910
4,12:24,1,10,DEN 10,33,20,Steven Jackson middle for 2 yards (tackle by Jamal Williams),4.910,4.570
4,11:44,2,8,DEN 8,33,20,Sam Bradford sacked by Kevin Vickerson for 0 yards,4.570,3.580
4,11:03,3,8,DEN 8,33,20,Sam Bradford pass incomplete short right intended for Billy Bajema,3.580,2.950
4,10:54,4,8,DEN 8,36,20,Josh Brown 26 yard field goal good,2.950,3.000
4,,,,STL 30,36,20,"Josh Brown kicks off 70 yards, returned by Perrish Cox for 24 yards (tackle by Chris Chamberlain)",0.000,0.540
4,10:43,1,10,DEN 24,36,20,"Kyle Orton pass incomplete. Penalty on J.D. Walton: Offensive Holding, 10 yards (no play)",0.540,-0.500
4,10:37,1,20,DEN 14,36,20,Kyle Orton pass incomplete deep middle intended for Brandon Lloyd,-0.500,-1.470
4,10:31,2,20,DEN 14,36,20,Kyle Orton pass complete short middle to Eric Decker for 10 yards (tackle by James Hall),-1.470,-0.690
4,9:56,3,10,DEN 24,36,20,Kyle Orton pass incomplete short right intended for Eddie Royal,-0.690,-1.770
4,9:51,4,10,DEN 24,36,20,"Britton Colquitt punts 57 yards, returned by Danny Amendola for 2 yards (tackle by Syd'Quan Thompson)",-1.770,-0.340
4,9:39,1,10,STL 21,36,20,Steven Jackson middle for 1 yard (tackle by Joe Mays and Nate Jones),0.340,-0.070
4,9:02,2,9,STL 22,36,20,Kenneth Darby right tackle for 3 yards (tackle by Jamal Williams),-0.070,-0.360
4,8:18,3,6,STL 25,36,20,Sam Bradford pass incomplete deep left intended for Brandon Gibson,-0.360,-1.700
4,8:12,4,6,STL 25,36,20,Donnie Jones punts 25 yards,-1.700,-2.260
4,7:59,1,10,,36,20,Kyle Orton sacked by Fred Robbins for -7 yards,2.260,0.770
4,7:26,2,17,DEN 43,36,20,Kyle Orton pass complete short left to Knowshon Moreno for 5 yards (tackle by Bradley Fletcher),0.770,0.760
4,6:43,3,12,DEN 48,36,20,"Penalty on Ryan Harris: False Start, 5 yards (no play)",0.760,0.100
4,6:17,3,17,DEN 43,36,20,Kyle Orton pass complete deep left to Eddie Royal for 24 yards (tackle by Jerome Murphy),0.100,3.380
4,5:32,1,10,STL 33,36,20,Kyle Orton pass complete short right to Eddie Royal for 17 yards (tackle by Craig Dahl),3.380,4.510
4,4:57,1,10,STL 16,36,26,"Kyle Orton pass complete short middle to Eddie Royal for 16 yards, touchdown",4.510,7.000
4,,,,,36,26,"Two Point Attempt: Kyle Orton pass incomplete intended for Jabar Gaffney, conversion fails",1.000,-1.000
4,,,,DEN 30,36,26,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
4,4:50,1,10,STL 20,36,26,Steven Jackson right guard for no gain (tackle by Mario Haggan),0.280,-0.270
4,4:44,,,,36,26,Timeout #1 by Denver Broncos,0.000,-0.270
4,4:44,2,10,STL 20,36,26,Steven Jackson left guard for 3 yards (tackle by D.J. Williams and Jason Hunter),-0.270,-0.560
4,4:39,,,,36,26,Timeout #2 by Denver Broncos,0.000,-0.560
4,4:39,3,7,STL 23,36,26,Sam Bradford pass incomplete short middle intended for Brandon Gibson,-0.560,-1.830
4,4:36,4,7,STL 23,36,26,"Donnie Jones punts 47 yards, fair catch by Eddie Royal. Penalty on Chris Chamberlain: Offensive Holding, 10 yards",-1.830,-1.660
4,4:26,1,10,DEN 41,36,26,Kyle Orton pass complete short left to Eddie Royal for 2 yards (tackle by James Hall and O.J. Atogwe),1.660,1.390
4,4:02,2,8,DEN 43,36,26,Kyle Orton pass incomplete short right intended for Jabar Gaffney,1.390,0.700
4,3:58,3,8,DEN 43,36,26,Kyle Orton pass incomplete deep left intended for Brandon Lloyd,0.700,-0.520
4,3:47,4,8,DEN 43,36,26,Kyle Orton pass complete short right to Eddie Royal for 17 yards,-0.520,2.920
4,3:46,1,10,STL 40,36,26,Kyle Orton pass incomplete short middle intended for Correll Buckhalter (defended by Darian Stewart),2.920,2.370
4,3:42,2,10,STL 40,36,26,Kyle Orton pass complete deep left to Eric Decker for 38 yards (tackle by Craig Dahl),2.370,6.740
4,3:04,1,2,STL 2,36,26,Knowshon Moreno right guard for -3 yards (tackle by Craig Dahl),6.740,5.150
4,2:40,2,5,STL 5,36,32,"Kyle Orton pass complete short right to Brandon Lloyd for 5 yards, touchdown",5.150,7.000
4,,,,STL 2,36,33,Matt Prater kicks extra point good,0.000,0.000
4,,,,,36,33,"Matt Prater kicks onside 27 yards. Penalty on Chris Chamberlain: Illegal Bat, 10 yards (no play)",0.000,0.000
4,,,,DEN 40,36,33,Matt Prater kicks onside 19 yards,0.000,1.660
4,2:33,1,10,STL 41,36,33,Steven Jackson middle for 4 yards (tackle by Jamal Williams),1.660,1.660
4,2:27,,,,36,33,Timeout #3 by Denver Broncos,0.000,1.660
4,2:27,2,6,STL 45,36,33,Steven Jackson middle for 2 yards (tackle by Jason Hunter),1.660,1.220
4,2:00,3,4,STL 47,36,33,Steven Jackson left tackle for -2 yards (tackle by Jason Hunter and Joe Mays),1.220,-0.390
4,1:17,4,6,STL 45,36,33,Donnie Jones punts 22 yards,-0.390,-1.200
4,1:06,1,10,DEN 34,36,33,"Kyle Orton pass incomplete short right intended for Brandon Lloyd (defended by Ronald Bartell). Penalty on Ronald Bartell: Defensive Pass Interfere (Offsetting), Penalty on Kyle Orton: Illegal Motion (Offsetting) (no play)",1.200,1.200
4,1:00,1,10,DEN 34,36,33,Kyle Orton sacked by Chris Long for -6 yards,1.200,-0.150
4,0:40,2,16,DEN 28,36,33,Kyle Orton pass incomplete deep middle intended for Daniel Graham (defended by James Laurinaitis),-0.150,-0.820
4,0:34,3,16,DEN 28,36,33,Kyle Orton pass incomplete deep middle intended for Eddie Royal. Penalty on Ryan Harris: Illegal Use of Hands (Declined),-0.820,-1.500
4,0:27,4,16,DEN 28,36,33,Kyle Orton pass incomplete short right intended for Eddie Royal,-1.500,-3.780
4,0:22,1,10,DEN 27,36,33,Sam Bradford kneels for -1 yards,3.780,3.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
