Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
3,11:56,3,3,PIT 44,24,3,Ben Roethlisberger pass complete to Antwaan Randle El for 14 yards (tackle by Domonique Foxworth),1.090,2.790
3,11:10,1,10,DEN 42,24,3,Willie Parker right guard for no gain (tackle by Demetrin Veal),2.790,2.240
3,10:32,2,10,DEN 42,24,3,Ben Roethlisberger pass incomplete intended for Jerome Bettis,2.240,1.550
3,10:25,3,10,DEN 42,24,3,Ben Roethlisberger pass complete to Willie Parker for 7 yards (tackle by Ian Gold),1.550,0.990
3,9:34,4,3,DEN 35,24,3,"Penalty on Chris Gardocki: Delay of Game, 5 yards (no play)",0.990,0.590
3,9:20,4,8,DEN 40,24,3,Chris Gardocki punts 37 yards,0.590,0.380
3,9:09,1,10,DEN 3,24,3,Jake Plummer pass complete to Mike Anderson for no gain,-0.380,-0.780
3,8:32,2,10,DEN 3,24,3,Jake Plummer pass incomplete intended for Rod Smith,-0.780,-1.420
3,8:26,3,10,DEN 3,24,3,Jake Plummer pass complete to Mike Anderson for -2 yards (tackle by Troy Polamalu),-1.420,-2.490
3,7:45,4,12,DEN 1,24,3,"Todd Sauerbrun punts 51 yards, returned by Antwaan Randle El for 13 yards (tackle by Kyle Johnson)",-2.490,-2.980
3,7:34,1,10,DEN 39,24,3,Willie Parker left tackle for 3 yards (tackle by Marco Coleman and Domonique Foxworth),2.980,2.850
3,6:51,2,7,DEN 36,24,3,Willie Parker up the middle for 3 yards (tackle by Marco Coleman),2.850,2.540
3,6:10,3,4,DEN 33,24,3,Ben Roethlisberger pass incomplete intended for Hines Ward (defended by Champ Bailey),2.540,1.180
3,6:05,4,4,DEN 33,24,3,"Penalty on Chris Gardocki: Delay of Game, 5 yards (no play)",1.180,0.720
3,6:05,4,9,DEN 38,24,3,"Chris Gardocki punts 38 yards, touchback",0.720,-0.280
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
3,6:00,1,10,DEN 20,24,3,Jake Plummer pass incomplete intended for Stephen Alexander,0.280,-0.270
3,5:56,2,10,DEN 20,24,3,Jake Plummer pass complete to Rod Smith for 9 yards (tackle by Clark Haggans and Larry Foote),-0.270,0.230
3,5:11,3,1,DEN 29,24,3,Jake Plummer pass complete to Rod Smith for 32 yards (tackle by Troy Polamalu),0.230,2.980
3,4:26,1,10,PIT 39,24,3,Jake Plummer pass complete to Jeb Putzier for 9 yards (tackle by James Farrior and Rian Wallace),2.980,3.660
3,3:43,,,,24,3,Timeout #1 by Denver Broncos,0.000,3.660
3,3:43,2,1,PIT 30,24,9,"Jake Plummer pass complete to Ashley Lelie for 30 yards, touchdown",3.660,7.000
3,,,,PIT 2,24,10,Jason Elam kicks extra point good,0.000,0.000
3,,,,DEN 30,24,10,"Todd Sauerbrun kicks off 61 yards, returned by Ike Taylor for 20 yards (tackle by Keith Burns)",0.000,0.870
3,3:31,1,10,PIT 29,24,10,Ben Roethlisberger pass complete to Cedrick Wilson for 30 yards (tackle by Nick Ferguson),0.870,2.850
3,2:57,1,10,DEN 41,24,10,Jerome Bettis up the middle for 3 yards (tackle by Ian Gold),2.850,2.710
3,2:17,2,7,DEN 38,24,10,"Jerome Bettis right tackle for 5 yards (tackle by Nick Ferguson). Penalty on Max Starks: Offensive Holding, 10 yards (no play)",2.710,1.360
3,1:49,2,17,DEN 48,24,10,Ben Roethlisberger pass complete to Cedrick Wilson for 15 yards (tackle by Domonique Foxworth),1.360,2.680
3,1:06,3,2,DEN 33,24,10,Ben Roethlisberger pass complete to Antwaan Randle El for 8 yards (tackle by Al Wilson),2.680,3.910
3,0:22,1,10,DEN 25,24,10,Jerome Bettis up the middle for 1 yard (tackle by Michael Myers),3.910,3.500
Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,DEN 24,24,10,Jerome Bettis right tackle for 7 yards (tackle by Nick Ferguson and Ian Gold),3.500,3.850
4,14:21,3,2,DEN 17,24,10,Ben Roethlisberger sacked by D.J. Williams and Trevor Pryce for -7 yards,3.850,1.870
4,13:43,4,9,DEN 24,27,10,Jeff Reed 42 yard field goal good,1.870,3.000
4,,,,PIT 30,27,10,"Jeff Reed kicks off 60 yards, returned by Charlie Adams for 47 yards (tackle by Bryant McFadden)",0.000,2.720
4,13:29,1,10,PIT 43,27,10,Jake Plummer pass incomplete intended for Rod Smith is intercepted by Larry Foote at PIT-28 and returned for 14 yards,2.720,-1.730
4,13:19,1,10,PIT 42,27,10,Jerome Bettis up the middle for 3 yards (tackle by Gerard Warren and Nick Ferguson),1.730,1.590
4,12:36,2,7,PIT 45,27,10,Jerome Bettis up the middle for -1 yards (tackle by Marco Coleman),1.590,0.760
4,11:51,3,8,PIT 44,27,10,Ben Roethlisberger pass incomplete intended for Cedrick Wilson,0.760,-0.460
4,11:47,4,8,PIT 44,27,10,"Chris Gardocki punts 41 yards, fair catch by Charlie Adams",-0.460,0.220
4,11:39,1,10,DEN 15,27,10,"Jake Plummer right end for 8 yards (tackle by Larry Foote). Penalty on Deshea Townsend: Defensive Holding, 5 yards",-0.220,0.810
4,11:06,1,10,DEN 28,27,10,"Jake Plummer pass complete to Mike Anderson for 2 yards (tackle by Joey Porter). Penalty on Tom Nalen: Ineligible Downfield Pas, 5 yards (no play)",0.810,0.480
4,10:29,1,15,DEN 23,27,10,Jake Plummer pass incomplete intended for Cecil Sapp,0.480,-0.410
4,10:23,2,15,DEN 23,27,10,Jake Plummer pass complete to Tatum Bell for 8 yards (tackle by Larry Foote),-0.410,-0.030
4,9:43,3,7,DEN 31,27,10,Jake Plummer pass complete to Ashley Lelie for 38 yards (tackle by Ike Taylor),-0.030,3.510
4,9:13,1,10,PIT 31,27,10,"Jake Plummer pass incomplete intended for Charlie Adams (defended by Ike Taylor). Penalty on Ike Taylor: Defensive Pass Interfere, 22 yards, Penalty on Larry Foote: Unsportsmanlike Conduct (Declined) (no play)",3.510,5.140
4,9:03,1,9,PIT 9,27,10,"Mike Anderson right tackle for 1 yard (tackle by Clark Haggans). Penalty on Aaron Smith: Face Mask (15 Yards), 4 yards",5.140,6.280
4,8:39,1,4,PIT 4,27,10,"Penalty on Matt Lepsis: False Start, 5 yards (no play)",6.280,5.140
4,8:24,1,9,PIT 9,27,10,Jake Plummer right end for 6 yards (tackle by Clark Haggans),5.140,5.530
4,7:58,2,3,PIT 3,27,16,"Mike Anderson left guard for 3 yards, touchdown",5.530,7.000
4,,,,PIT 2,27,17,Jason Elam kicks extra point good,0.000,0.000
4,,,,DEN 30,27,17,Todd Sauerbrun kicks off 61 yards,0.000,1.600
4,7:52,1,10,PIT 40,27,17,Ben Roethlisberger pass incomplete intended for Hines Ward (defended by John Lynch),1.600,1.050
4,7:46,2,10,PIT 40,27,17,Jerome Bettis left guard for 1 yard (tackle by Al Wilson),1.050,0.500
4,7:07,3,9,PIT 41,27,17,Ben Roethlisberger pass complete to Heath Miller for 7 yards (tackle by Darrent Williams),0.500,-0.190
4,6:18,4,2,PIT 48,27,17,"Chris Gardocki punts 32 yards, fair catch by Charlie Adams",-0.190,-0.280
4,6:12,1,10,DEN 20,27,17,Jake Plummer pass incomplete intended for Jeb Putzier,0.280,-0.270
4,6:06,2,10,DEN 20,27,17,Jake Plummer pass complete to Rod Smith for 7 yards (tackle by Chris Hope),-0.270,-0.030
4,5:27,3,3,DEN 27,27,17,Jake Plummer sacked by Brett Keisel for -7 yards. Penalty on Matt Lepsis: Offensive Holding (Declined),-0.030,-2.030
4,5:02,4,10,DEN 20,27,17,"Jake Plummer sacked by Brett Keisel for -3 yards. Jake Plummer fumbles (forced by Brett Keisel), recovered by Travis Kirschke at DEN-17 (tackle by Tom Nalen)",-2.030,-4.440
4,4:52,1,10,DEN 17,27,17,Jerome Bettis left tackle for 6 yards (tackle by Marco Coleman),4.440,4.890
4,4:36,,,,27,17,Timeout #2 by Denver Broncos,0.000,4.890
4,4:36,2,4,DEN 11,27,17,Jerome Bettis left guard for 5 yards (tackle by D.J. Williams),4.890,5.830
4,4:30,1,6,DEN 6,27,17,Jerome Bettis left guard for no gain (tackle by Sam Brandon),5.830,4.950
4,3:46,2,6,DEN 6,27,17,Jerome Bettis right guard for 2 yards (tackle by Courtney Brown),4.950,4.490
4,3:05,3,4,DEN 4,33,17,"Ben Roethlisberger left end for 4 yards, touchdown",4.490,7.000
4,,,,DEN 2,34,17,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,34,17,"Jeff Reed kicks off 45 yards, returned by Cecil Sapp for 11 yards (tackle by Mike Logan)",0.000,1.330
4,2:53,1,10,DEN 36,34,17,Jake Plummer up the middle for 8 yards (tackle by Troy Polamalu),1.330,1.870
4,2:29,2,2,DEN 44,34,17,Jake Plummer pass incomplete intended for Tatum Bell (defended by Tyrone Carter),1.870,1.160
4,2:22,3,2,DEN 44,34,17,Tatum Bell right tackle for 6 yards (tackle by Chris Hoke),1.160,2.260
4,2:01,1,10,DEN 50,34,17,Jake Plummer pass complete to Tatum Bell for 1 yard (tackle by Tyrone Carter),2.260,1.850
4,1:54,2,9,PIT 49,34,17,Jake Plummer pass complete to Jeb Putzier for 9 yards (tackle by Deshea Townsend),1.850,2.920
4,1:34,1,10,PIT 40,34,17,"Jake Plummer pass incomplete intended for Jeb Putzier. Penalty on Jake Plummer: Illegal Forward Pass, 5 yards",2.920,1.830
4,1:24,2,14,PIT 44,34,17,Tatum Bell up the middle for 11 yards (tackle by Tyrone Carter),1.830,2.610
4,1:02,3,3,PIT 33,34,17,Jake Plummer pass incomplete,2.610,1.190
4,1:01,4,3,PIT 33,34,17,Tatum Bell up the middle for 10 yards (tackle by Bryant McFadden),1.190,4.040
4,0:42,1,10,PIT 23,34,17,Jake Plummer pass complete to Tatum Bell for 2 yards (tackle by Tyrone Carter),4.040,3.770
4,0:13,2,8,PIT 21,34,17,Jake Plummer up the middle for 5 yards (tackle by Clark Haggans),3.770,3.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
