Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
2,11:02,2,8,LAC 39,0,10,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Cornell Armstrong),1.130,0.700
2,10:22,3,6,LAC 41,0,10,Justin Herbert pass complete short right to Josh Palmer for 10 yards (tackle by Cornell Armstrong and Rashaan Evans),0.700,2.320
2,9:56,1,10,ATL 49,0,10,Justin Herbert pass complete short right to Austin Ekeler for 13 yards (tackle by Cornell Armstrong and Mykal Walker),2.320,3.180
2,9:15,1,10,ATL 36,0,10,"Austin Ekeler right tackle for no gain (tackle by Isaiah Oliver). Penalty on Trey Pipkins: Face Mask (15 Yards), 15 yards (accepted) (no play)",3.180,2.190
2,8:45,1,25,LAC 49,0,10,Justin Herbert pass complete short left to Josh Palmer for 10 yards (tackle by Arnold Ebiketie and Rashaan Evans),2.190,1.960
2,8:11,2,15,ATL 41,0,10,Justin Herbert pass complete short right to Michael Bandy for 6 yards (tackle by Isaiah Oliver),1.960,2.080
2,7:32,3,9,ATL 35,0,10,Justin Herbert pass complete short left to Gerald Everett for 12 yards (tackle by Mykal Walker),2.080,4.040
2,7:04,1,10,ATL 23,0,10,Austin Ekeler left tackle for 9 yards (tackle by Isaiah Oliver and Cornell Armstrong),4.040,4.950
2,6:32,2,1,ATL 14,0,10,Austin Ekeler left tackle for -1 yards (tackle by Grady Jarrett),4.950,4.050
2,5:53,3,2,ATL 15,0,10,Justin Herbert pass complete short right to Michael Bandy for 4 yards (tackle by Isaiah Oliver),4.050,4.840
2,5:19,1,10,ATL 11,0,10,Austin Ekeler right tackle for 9 yards (tackle by Jaylinn Hawkins and Isaiah Oliver),4.840,5.850
2,4:43,2,1,ATL 2,6,10,"Austin Ekeler right end for 2 yards, touchdown",5.850,7.000
2,4:38,,,ATL 15,7,10,Cameron Dicker kicks extra point good,0.000,0.000
2,4:38,,,LAC 35,7,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,4:38,1,10,ATL 25,7,10,Marcus Mariota pass complete short left to Olamide Zaccheaus for 4 yards (tackle by Michael Davis),0.610,0.600
2,4:00,2,6,ATL 29,7,10,Cordarrelle Patterson right guard for 3 yards (tackle by Derwin James),0.600,0.300
2,3:19,3,3,ATL 32,7,10,Marcus Mariota sacked by Derwin James for -8 yards,0.300,-1.770
2,2:42,4,11,ATL 24,7,10,"Bradley Pinion punts 52 yards, returned by DeAndre Carter for 13 yards (tackle by Tyler Allgeier and Nick Kwiatkoski)",-1.770,-1.400
2,2:28,1,10,LAC 37,7,10,Isaiah Spiller for 5 yards (tackle by Jalen Dalton),1.400,1.530
2,2:00,2,5,LAC 42,7,10,Justin Herbert pass complete short left to Michael Bandy for 4 yards (tackle by Richie Grant),1.530,1.360
2,1:49,3,1,LAC 46,7,10,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Cornell Armstrong),1.360,2.190
2,1:48,1,10,LAC 49,7,10,Justin Herbert pass incomplete short middle intended for Gerald Everett (defended by Timmy Horne),2.190,1.650
2,1:44,2,10,LAC 49,7,10,Justin Herbert pass complete short left to Austin Ekeler for 5 yards (tackle by Lorenzo Carter),1.650,1.620
2,1:34,3,5,ATL 46,7,10,Justin Herbert pass complete short middle to DeAndre Carter for 23 yards (tackle by Mykal Walker),1.620,4.040
2,1:12,1,10,ATL 23,7,10,Sony Michel right guard for 12 yards (tackle by Richie Grant and Mykal Walker),4.040,4.840
2,0:50,1,10,ATL 11,7,10,Justin Herbert pass complete short right to DeAndre Carter for 10 yards (tackle by Cornell Armstrong and Jaylinn Hawkins),4.840,6.970
2,0:41,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:41,1,1,ATL 1,7,10,Justin Herbert pass incomplete short right intended for Richard Rodgers,6.970,5.910
2,0:36,2,1,ATL 1,13,10,"Justin Herbert pass complete short right to Austin Ekeler for 1 yard, touchdown",5.910,7.000
2,0:32,,,ATL 15,14,10,Cameron Dicker kicks extra point good,0.000,0.000
2,0:32,,,LAC 35,14,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,0:32,1,10,ATL 25,14,10,Marcus Mariota pass incomplete deep right intended for Kyle Pitts,0.610,0.060
2,0:26,2,10,ATL 25,14,10,Marcus Mariota pass incomplete short right intended for KhaDarel Hodge (defended by Michael Davis),0.060,-0.620
2,0:22,3,10,ATL 25,14,10,Marcus Mariota pass incomplete deep right intended for Kyle Pitts,-0.620,-1.700
2,0:12,4,10,ATL 25,14,10,"Penalty on ATL: Delay of Game, 5 yards (accepted) (no play)",-1.700,-2.030
2,0:12,4,15,ATL 20,14,10,Bradley Pinion punts 49 yards downed by Mike Ford,-2.030,0.280
Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,14,10,"Bradley Pinion kicks off 62 yards, returned by DeAndre Carter for 18 yards (tackle by Keith Smith)",0.000,0.340
3,14:54,1,10,LAC 21,14,10,Justin Herbert pass incomplete short left intended for Gerald Everett,0.340,-0.200
3,14:49,2,10,LAC 21,14,10,Isaiah Spiller right tackle for 3 yards (tackle by Mykal Walker and Adetokunbo Ogundeji),-0.200,-0.490
3,14:11,3,7,LAC 24,14,10,Justin Herbert pass incomplete short left intended for Richard Rodgers (defended by Troy Andersen),-0.490,-1.770
3,14:02,4,7,LAC 24,14,10,"JK Scott punts 44 yards, fair catch by Avery Williams at ATL-32",-1.770,-1.070
3,13:55,1,10,ATL 32,14,10,Tyler Allgeier left end for 9 yards (tackle by Derwin James and Michael Davis),1.070,1.740
3,13:29,2,1,ATL 41,14,10,Marcus Mariota left guard for 4 yards (tackle by Drue Tranquill),1.740,1.930
3,12:51,1,10,ATL 45,14,10,Tyler Allgeier left tackle for 2 yards (tackle by Morgan Fox and Nasir Adderley),1.930,1.650
3,12:11,2,8,ATL 47,14,10,Marcus Mariota pass incomplete short right intended for Damiere Byrd,1.650,0.960
3,12:04,3,8,ATL 47,14,10,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 15 yards (tackle by Alohi Gilman),0.960,3.050
3,11:26,1,10,LAC 38,14,10,"Cordarrelle Patterson left end for no gain, touchdown. Penalty on Matt Hennessy: Offensive Holding, 10 yards (declined) . Penalty on Kaleb McGary: Tripping / Offense, 10 yards (accepted) (no play)",3.050,2.390
3,11:17,1,20,LAC 48,14,10,Marcus Mariota pass complete deep middle to KhaDarel Hodge for 19 yards (tackle by Nasir Adderley),2.390,3.720
3,10:51,2,1,LAC 29,14,10,Tyler Allgeier left tackle for 10 yards (tackle by Nasir Adderley and Derwin James),3.720,4.310
3,10:10,1,10,LAC 19,14,10,Tyler Allgeier left end for 8 yards (tackle by Michael Davis and Morgan Fox),4.310,5.140
3,9:32,2,2,LAC 11,14,10,"Marcus Mariota pass complete short left to Drake London for 5 yards. Drake London fumbles (forced by Khalil Mack), recovered by Khalil Mack at LAC-6 and returned for 44 yards (tackle by Olamide Zaccheaus and Drake London)",5.140,-2.260
3,9:15,1,10,ATL 50,14,10,Justin Herbert pass incomplete deep right intended for Michael Bandy,2.260,1.710
3,9:09,2,10,ATL 50,14,10,Austin Ekeler left tackle for 2 yards (tackle by DeAngelo Malone),1.710,1.290
3,8:39,3,8,ATL 48,14,10,Justin Herbert pass short middle intended for Josh Palmer is intercepted by Richie Grant at ATL-37 and returned for 10 yards (tackle by Corey Linsley),1.290,-2.060
3,8:27,1,10,ATL 47,14,10,Cordarrelle Patterson right tackle for 7 yards (tackle by Kenneth Murray),2.060,2.460
3,7:41,2,3,LAC 46,14,10,Marcus Mariota pass complete short right to Kyle Pitts for 9 yards (tackle by Derwin James),2.460,3.120
3,7:22,1,10,LAC 37,14,10,Cordarrelle Patterson right guard for 6 yards (tackle by Christian Covington and Drue Tranquill),3.120,3.380
3,6:45,2,4,LAC 31,14,10,Cordarrelle Patterson left tackle for 3 yards (tackle by Bryce Callahan),3.380,3.070
3,6:22,3,1,LAC 28,14,10,Cordarrelle Patterson left guard for 2 yards (tackle by Drue Tranquill),3.070,3.840
3,5:42,,,,,,Timeout #1 by Atlanta Falcons,,
3,5:42,1,10,LAC 26,14,10,Caleb Huntley right guard for 9 yards (tackle by Alohi Gilman and Drue Tranquill),3.840,4.640
3,5:04,2,1,LAC 17,14,10,Caleb Huntley left end for 8 yards (tackle by Otito Ogbonnia),4.640,5.140
3,4:40,1,9,LAC 9,14,10,Caleb Huntley left tackle for 6 yards (tackle by Kenneth Murray and Derwin James),5.140,5.530
3,3:53,2,3,LAC 3,14,10,Marcus Mariota pass incomplete short left intended for Drake London,5.530,4.720
3,3:48,3,3,LAC 3,14,16,"Cordarrelle Patterson left guard for 3 yards, touchdown",4.720,7.000
3,3:44,,,LAC 15,14,17,Younghoe Koo kicks extra point good,0.000,0.000
3,3:44,,,ATL 35,14,17,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,3:44,1,10,LAC 25,14,17,Isaiah Spiller right tackle for 7 yards (tackle by Rashaan Evans and Richie Grant),0.610,1.010
3,3:07,2,3,LAC 32,14,17,Isaiah Spiller right guard for 5 yards (tackle by Abdullah Anderson and Jalen Dalton),1.010,1.400
3,2:31,1,10,LAC 37,14,17,Justin Herbert pass incomplete short middle intended for Michael Bandy (defended by Abdullah Anderson),1.400,0.860
3,2:26,2,10,LAC 37,14,17,Justin Herbert pass incomplete deep left intended for DeAndre Carter,0.860,0.170
3,2:20,3,10,LAC 37,14,17,Justin Herbert pass complete to Josh Palmer for 3 yards (tackle by Richie Grant),0.170,-0.720
3,1:43,4,7,LAC 40,14,17,"JK Scott punts 40 yards, fair catch by Avery Williams at ATL-20",-0.720,-0.280
3,1:34,1,10,ATL 20,14,17,Tyler Allgeier left tackle for 4 yards (tackle by Khalil Mack),0.280,0.270
3,0:53,2,6,ATL 24,14,17,Tyler Allgeier left end for 6 yards (tackle by Drue Tranquill and Derwin James),0.270,0.940
3,0:46,1,10,ATL 30,14,17,Tyler Allgeier left end for 8 yards (tackle by Kenneth Murray),0.940,1.470
Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,ATL 38,14,17,Marcus Mariota left end for 4 yards (tackle by Alohi Gilman),1.470,1.730
4,14:26,1,10,ATL 42,14,17,Marcus Mariota pass complete short left to Tyler Allgeier for 24 yards (tackle by Nasir Adderley),1.730,3.310
4,13:38,1,10,LAC 34,14,17,Caleb Huntley right guard for 4 yards (tackle by Morgan Fox),3.310,3.310
4,12:59,2,6,LAC 30,14,17,Cordarrelle Patterson left end for -2 yards (tackle by Kenneth Murray),3.310,2.350
4,12:23,,,,,,Timeout #1 by Los Angeles Chargers,,
4,12:23,3,8,LAC 32,14,17,Marcus Mariota pass incomplete deep right intended for Kyle Pitts,2.350,1.240
4,12:17,4,8,LAC 32,14,17,Younghoe Koo 50 yard field goal no good,1.240,-1.600
4,12:12,1,10,LAC 40,14,17,"Justin Herbert pass complete short right to Gerald Everett for 1 yard (tackle by Ta'Quon Graham and Richie Grant). Penalty on Corey Linsley: Ineligible Downfield Pass, 5 yards (declined) . Penalty on Trey Pipkins: Offensive Holding, 10 yards (accepted)",1.600,1.000
4,12:02,1,19,LAC 31,14,17,Justin Herbert pass complete short left to Michael Bandy for 11 yards (tackle by Rashaan Evans),1.000,1.320
4,11:07,2,8,LAC 42,14,17,Austin Ekeler right end for 6 yards (tackle by Richie Grant and Grady Jarrett),1.320,1.420
4,10:47,3,2,LAC 48,14,17,Justin Herbert pass complete short right to DeAndre Carter for 8 yards (tackle by Jaylinn Hawkins),1.420,2.650
4,10:13,1,10,ATL 44,14,17,Isaiah Spiller right tackle for 3 yards (tackle by Mykal Walker),2.650,2.520
4,9:40,2,7,ATL 41,14,17,Isaiah Spiller left guard for 4 yards (tackle by Lorenzo Carter),2.520,2.350
4,9:04,3,3,ATL 37,14,17,"Justin Herbert pass complete short left to Austin Ekeler for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Justin Herbert pass complete to Austin Ekeler for -1 yards (tackle by Isaiah Oliver)",2.350,0.720
4,8:49,4,4,ATL 38,14,17,Justin Herbert pass complete short right to DeAndre Carter for 6 yards (tackle by Isaiah Oliver),0.720,3.450
4,8:10,1,10,ATL 32,14,17,Isaiah Spiller left tackle for 2 yards (tackle by Ta'Quon Graham),3.450,3.170
4,7:37,2,8,ATL 30,14,17,Justin Herbert pass complete deep left to Josh Palmer for 21 yards (tackle by Richie Grant),3.170,5.140
4,6:56,1,9,ATL 9,14,17,Austin Ekeler left tackle for 3 yards (tackle by Mykal Walker and Lorenzo Carter),5.140,4.950
4,6:20,2,6,ATL 6,14,17,Justin Herbert pass complete short left to Austin Ekeler for -7 yards (tackle by Rashaan Evans),4.950,3.060
4,5:39,3,13,ATL 13,14,17,Justin Herbert pass incomplete short left intended for Gerald Everett,3.060,2.570
4,5:31,4,13,ATL 13,17,17,Cameron Dicker 31 yard field goal good,2.570,3.000
4,5:27,,,LAC 35,17,17,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,5:27,1,10,ATL 25,17,17,Tyler Allgeier left guard for 2 yards (tackle by Derwin James and Christian Covington),0.610,0.330
4,4:46,2,8,ATL 27,17,17,Marcus Mariota pass incomplete deep left intended for Kyle Pitts,0.330,-0.360
4,4:38,3,8,ATL 27,17,17,Marcus Mariota pass incomplete deep left intended for Drake London,-0.360,-1.570
4,4:33,4,8,ATL 27,17,17,"Bradley Pinion punts 57 yards, returned by DeAndre Carter for 16 yards (tackle by Liam McCullough and Nick Kwiatkoski)",-1.570,-1.070
4,4:19,1,10,LAC 32,17,17,Austin Ekeler left tackle for 5 yards (tackle by Arnold Ebiketie and Rashaan Evans),1.070,1.200
4,3:43,2,5,LAC 37,17,17,Austin Ekeler left tackle for no gain (tackle by Rashaan Evans and Jalen Dalton),1.200,0.500
4,2:59,3,5,LAC 37,17,17,Justin Herbert pass complete short right to DeAndre Carter for 6 yards (tackle by Rashaan Evans),0.500,1.800
4,2:14,1,10,LAC 43,17,17,"Justin Herbert pass complete deep left to Josh Palmer for 18 yards (tackle by Richie Grant). Penalty on Matt Feiler: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.800,1.470
4,2:26,1,15,LAC 38,17,17,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Isaiah Oliver and Cornell Armstrong),1.470,1.930
4,2:00,2,5,LAC 48,17,17,Justin Herbert pass complete short left to Josh Palmer for 8 yards (tackle by Cornell Armstrong),1.930,2.650
4,1:40,1,10,ATL 44,17,17,Justin Herbert pass incomplete short left intended for Austin Ekeler,2.650,2.110
4,1:35,2,10,ATL 44,17,17,Justin Herbert pass complete short left to Gerald Everett for 16 yards (tackle by Arnold Ebiketie),2.110,3.710
4,0:59,1,10,ATL 28,17,17,Austin Ekeler right tackle for 3 yards (tackle by Richie Grant and Mykal Walker),3.710,3.570
4,0:52,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:52,2,7,ATL 25,17,17,Justin Herbert scrambles right end for 3 yards (tackle by Mykal Walker),3.570,3.270
4,0:46,,,,,,Timeout #3 by Atlanta Falcons,,
4,0:46,3,4,ATL 22,17,17,"Austin Ekeler left tackle for 2 yards. Austin Ekeler fumbles (forced by Rashaan Evans), recovered by Ta'Quon Graham at ATL-17 and returned for 19 yards. Ta'Quon Graham fumbles, recovered by Matt Feiler at ATL-43 (tackle by Rashaan Evans) (tackle by Rashaan Evans) (tackle by Grady Jarrett) Replay Assistant challenged the fumble ruling, and the play was upheld.",3.270,2.720
4,0:34,1,10,ATL 43,17,17,Justin Herbert pass complete deep left to Josh Palmer for 22 yards (tackle by Jaylinn Hawkins),2.720,4.170
4,0:22,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:22,1,10,ATL 21,17,17,Austin Ekeler left guard for 2 yards (tackle by Jaylinn Hawkins),4.170,3.900
4,0:03,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:03,2,8,ATL 19,20,17,Cameron Dicker 37 yard field goal good,3.900,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
