Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
3,2:38,2,5,GNB 17,21,17,Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 7 yards (tackle by Robert Jackson),,
3,1:53,1,10,GNB 24,21,17,Aaron Rodgers pass complete short left to Josiah Deguara for 6 yards (tackle by Patrick Queen),,
3,1:09,2,4,GNB 30,21,17,AJ Dillon right guard for 5 yards (tackle by Josh Bynes),,
3,0:45,1,10,GNB 35,21,17,"Aaron Rodgers pass incomplete short middle intended for AJ Dillon. Penalty on Justin Houston: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",,
3,0:45,1,5,GNB 40,21,17,Aaron Rodgers pass complete short left to Josiah Deguara for 9 yards (tackle by Josh Bynes),,
3,0:01,1,10,GNB 49,21,17,AJ Dillon left tackle for 6 yards (tackle by Patrick Queen),,
Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,BAL 45,21,17,Aaron Jones left end for no gain (tackle by Patrick Queen),,
4,14:26,3,4,BAL 45,21,17,"Penalty on Davante Adams: False Start, 5 yards (accepted) (no play)",,
4,14:26,3,9,BAL 50,21,17,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 25 yards (tackle by Kevon Seymour and Brandon Stephens),,
4,13:44,1,10,BAL 25,21,17,Aaron Rodgers pass complete short right to Davante Adams for 14 yards (tackle by Kevon Seymour),,
4,13:03,1,10,BAL 11,21,17,Aaron Rodgers pass incomplete short right intended for Allen Lazard,,
4,12:58,2,10,BAL 11,27,17,"Aaron Rodgers pass complete short left to Marquez Valdes-Scantling for 11 yards, touchdown",,
4,12:54,,,BAL 15,28,17,Mason Crosby kicks extra point good,,
4,12:54,,,GNB 35,28,17,"Mason Crosby kicks off 61 yards, returned by Devin Duvernay for 21 yards (tackle by Kevin King)",,
4,12:47,1,10,BAL 25,28,17,"Penalty on Preston Smith: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
4,12:47,1,5,BAL 30,28,17,Tyler Huntley pass incomplete deep left intended for Marquise Brown,,
4,12:42,2,5,BAL 30,28,17,Devonta Freeman right end for -1 yards (tackle by Krys Barnes),,
4,12:07,3,6,BAL 29,28,17,Tyler Huntley pass incomplete deep middle intended for Mark Andrews,,
4,12:01,4,5,BAL 30,28,17,Tyler Huntley pass incomplete short right intended for Latavius Murray,,
4,11:56,1,10,BAL 29,28,17,Aaron Rodgers pass complete short left to Marcedes Lewis for 23 yards (tackle by Broderick Washington),,
4,11:04,,,,,,Timeout #1 by Green Bay Packers,,
4,11:04,1,6,BAL 6,28,17,Aaron Jones left guard for 1 yard (tackle by Broderick Washington),,
4,10:23,2,5,BAL 5,28,17,Aaron Rodgers pass complete short left to Davante Adams for -6 yards (tackle by Geno Stone),,
4,9:34,,,,,,Timeout #2 by Green Bay Packers,,
4,9:34,3,11,BAL 11,28,17,Aaron Rodgers pass incomplete short right intended for Allen Lazard,,
4,9:30,4,11,BAL 11,31,17,Mason Crosby 29 yard field goal good,,
4,9:26,,,GNB 35,31,17,"Mason Crosby kicks off 65 yards, touchback.",,
4,9:26,1,10,BAL 25,31,17,"Tyler Huntley pass incomplete intended for Marquise Brown. Penalty on Adrian Amos: Defensive Pass Interference, 16 yards (accepted) (no play)",,
4,9:21,1,10,BAL 41,31,17,Tyler Huntley pass complete short left to Tylan Wallace for 5 yards (tackle by Rasul Douglas),,
4,9:01,2,5,BAL 46,31,17,Tyler Huntley pass complete short right to Marquise Brown for 3 yards (tackle by Eric Stokes),,
4,8:34,3,2,BAL 49,31,17,Latavius Murray right guard for 6 yards (tackle by Dean Lowry and Krys Barnes),,
4,8:07,1,10,GNB 45,31,17,Tyler Huntley pass complete short right to Marquise Brown for 5 yards (tackle by Eric Stokes),,
4,7:46,2,5,GNB 40,31,17,Tyler Huntley scrambles right end for 10 yards (tackle by De'Vondre Campbell),,
4,7:19,1,10,GNB 30,31,17,Tyler Huntley pass complete short right to Marquise Brown for 5 yards (tackle by Eric Stokes),,
4,7:01,2,5,GNB 25,31,17,Tyler Huntley scrambles right end for 7 yards (tackle by Tedarrell Slaton and De'Vondre Campbell),,
4,6:23,1,10,GNB 18,31,17,Tyler Huntley pass complete short right to Marquise Brown for 5 yards (tackle by Eric Stokes),,
4,6:01,2,5,GNB 13,31,17,"Tyler Huntley pass complete short middle to Marquise Brown for no gain (tackle by Krys Barnes). Penalty on Tylan Wallace: Illegal Shift, 4 yards (accepted) (no play)",,
4,5:51,2,9,GNB 17,31,17,Tyler Huntley pass complete short middle to Marquise Brown for 3 yards (tackle by Krys Barnes),,
4,5:25,3,6,GNB 14,31,17,Tyler Huntley pass incomplete short middle intended for Tylan Wallace (defended by Kingsley Keke),,
4,5:21,4,6,GNB 14,31,17,Tyler Huntley pass complete short middle to Mark Andrews for 11 yards (tackle by Adrian Amos and Kevin King),,
4,4:55,1,3,GNB 3,31,23,"Tyler Huntley scrambles left end for 3 yards, touchdown",,
4,4:47,,,GNB 15,31,24,Justin Tucker kicks extra point good,,
4,4:47,,,BAL 35,31,24,"Justin Tucker kicks off 56 yards, returned by Aaron Jones for 9 yards (tackle by Anthony Levine)",,
4,4:44,1,10,GNB 18,31,24,Aaron Jones right end for no gain (tackle by Justin Madubuike),,
4,4:00,2,10,GNB 18,31,24,Aaron Rodgers scrambles right end for 5 yards (tackle by Patrick Queen and Geno Stone),,
4,3:09,3,5,GNB 23,31,24,Aaron Rodgers sacked by Justin Madubuike for -9 yards,,
4,2:30,4,14,GNB 14,31,24,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",,
4,2:30,4,19,GNB 9,31,24,Corey Bojorquez punts 40 yards out of bounds,,
4,2:24,1,10,GNB 49,31,24,Tyler Huntley scrambles left end for 15 yards (tackle by Rasul Douglas),,
4,2:15,1,10,GNB 34,31,24,Tyler Huntley pass complete short right to Marquise Brown for 3 yards (tackle by Eric Stokes),,
4,2:00,2,7,GNB 31,31,24,Tyler Huntley scrambles right end for 2 yards (tackle by De'Vondre Campbell),,
4,1:53,3,5,GNB 29,31,24,Tyler Huntley pass complete short middle to Mark Andrews for 6 yards (tackle by Kevin King),,
4,1:33,1,10,GNB 23,31,24,Tyler Huntley pass complete short middle to Mark Andrews for 12 yards (tackle by Adrian Amos),,
4,1:20,,,,,,Timeout #1 by Baltimore Ravens,,
4,1:20,1,10,GNB 11,31,24,Tyler Huntley pass complete short right to Latavius Murray for 3 yards (tackle by Adrian Amos),,
4,0:47,2,7,GNB 8,31,30,"Tyler Huntley scrambles up the middle for 8 yards, touchdown",,
4,0:42,,,,,,Timeout #2 by Baltimore Ravens,,
4,0:42,,,GNB 2,31,30,Two Point Attempt: Tyler Huntley pass incomplete intended for,,
4,0:42,,,BAL 35,31,30,"Justin Tucker kicks onside 10 yards, returned by AJ Dillon for no gain. Penalty on Tylan Wallace: Illegal Formation, 5 yards (accepted)",,
4,0:41,1,10,BAL 40,31,30,Aaron Rodgers kneels for -1 yards,,
4,0:11,2,11,BAL 41,31,30,Aaron Rodgers kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
