Quarter,Time,Down,ToGo,Location,DET,BAL,Detail,EPB,EPA
4,12:39,,,BAL 35,13,27,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,12:39,1,10,DET 25,13,27,Matthew Stafford pass complete deep left to Marvin Jones for 46 yards (tackle by Marlon Humphrey). Penalty on Marlon Humphrey: Defensive Pass Interference (Declined),0.610,3.640
4,12:20,1,10,BAL 29,13,27,Theo Riddick left tackle for 5 yards (tackle by Marlon Humphrey and Tony Jefferson),3.640,3.780
4,11:38,2,5,BAL 24,13,27,Matthew Stafford pass complete deep left to Michael Roberts for 23 yards (tackle by Marlon Humphrey),3.780,6.970
4,10:58,1,1,BAL 1,13,27,Tion Green right guard for no gain (tackle by Tony Jefferson and Michael Pierce),6.970,5.910
4,10:24,2,1,BAL 1,19,27,"Matthew Stafford pass complete short right to Nick Bellore for 1 yard, touchdown",5.910,7.000
4,10:20,,,BAL 15,20,27,Matt Prater kicks extra point good,0.000,0.000
4,10:20,,,DET 35,20,27,"Sam Martin kicks off 50 yards, returned by Vince Mayle for 29 yards (tackle by Nevin Lawson)",0.000,-1.860
4,10:10,1,10,BAL 44,20,27,Joe Flacco pass complete short left to Chris Moore for 7 yards (tackle by Nevin Lawson),1.860,2.260
4,9:33,2,3,DET 49,20,27,Alex Collins left tackle for 1 yard (tackle by Christian Ringo),2.260,1.690
4,8:55,3,2,DET 48,20,27,Joe Flacco pass complete short right to Alex Collins for 14 yards (tackle by Ezekiel Ansah),1.690,3.310
4,8:20,1,10,DET 34,20,27,Javorius Allen left guard for 2 yards (tackle by Jarrad Davis and Tahir Whitehead),3.310,3.040
4,7:41,2,8,DET 32,20,27,Javorius Allen left guard for -1 yards (tackle by A'Shawn Robinson),3.040,2.210
4,7:05,3,9,DET 33,20,27,Joe Flacco pass incomplete short right intended for Jeremy Maclin,2.210,1.150
4,6:59,4,9,DET 33,20,30,Justin Tucker 51 yard field goal good,1.150,3.000
4,6:54,,,BAL 35,20,30,"Justin Tucker kicks off 60 yards, returned by Zach Zenner for 23 yards (tackle by Javorius Allen)",0.000,-0.810
4,6:47,1,10,DET 28,20,30,Matthew Stafford sacked by Terrell Suggs for -8 yards,0.810,-0.820
4,6:16,2,18,DET 20,20,30,Matthew Stafford pass incomplete deep left intended for Marvin Jones is intercepted by Marlon Humphrey at DET-49 and returned for 18 yards,-0.820,-3.510
4,6:01,1,10,DET 31,20,30,Alex Collins right guard for 6 yards (tackle by Anthony Zettel),3.510,3.780
4,5:24,2,4,DET 25,20,30,"Penalty on Akeem Spence: Encroachment, 5 yards (no play)",3.780,4.240
4,5:04,1,10,DET 20,20,30,Alex Collins right guard for 11 yards (tackle by Tahir Whitehead),4.240,5.140
4,4:17,1,9,DET 9,20,30,Javorius Allen right guard for -2 yards (tackle by Tahir Whitehead),5.140,0.000
4,4:12,,,,,,Timeout #1 by Detroit Lions,0.000,-4.020
4,4:12,2,11,DET 11,20,30,"Joe Flacco pass incomplete short left intended for Jeremy Maclin. Penalty on Darius Slay: Defensive Holding, 5 yards (no play)",4.020,5.830
4,4:06,1,6,DET 6,20,36,"Alex Collins left end for 6 yards, touchdown",5.830,7.000
4,4:00,,,DET 15,20,37,Justin Tucker kicks extra point good,0.000,0.000
4,4:00,,,BAL 35,20,37,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,4:00,1,10,DET 25,20,37,Jake Rudock pass complete short right to Golden Tate for 3 yards (tackle by Maurice Canady),0.610,0.470
4,3:35,2,7,DET 28,20,37,Jake Rudock pass complete short middle to Kenny Golladay for 13 yards (tackle by C.J. Mosley),0.470,1.660
4,3:13,1,10,DET 41,20,37,Jake Rudock pass complete short left to Theo Riddick for 8 yards (tackle by Tony Jefferson),1.660,2.200
4,2:47,2,2,DET 49,20,37,Jake Rudock pass incomplete short left intended for Marvin Jones,2.200,1.490
4,2:43,3,2,DET 49,20,37,"Jake Rudock pass complete short left to Theo Riddick for 3 yards (tackle by C.J. Mosley). Penalty on Corey Robinson: Offensive Holding, 10 yards (no play)",1.490,0.170
4,2:36,3,12,DET 39,20,43,"Jake Rudock pass incomplete short right intended for Golden Tate is intercepted by Eric Weddle at DET-45 and returned for 45 yards, touchdown",0.170,-7.000
4,,,,DET 15,20,44,Justin Tucker kicks extra point good,,
4,2:26,,,BAL 35,20,44,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
4,2:26,1,10,DET 25,20,44,Tion Green right guard for 1 yard (tackle by Tim Williams),0.610,0.200
4,2:00,2,9,DET 26,20,44,Tion Green right tackle for no gain (tackle by Carl Davis),0.200,-0.490
4,1:13,3,9,DET 26,20,44,Tion Green right guard for 3 yards (tackle by Patrick Ricard and Carl Davis),-0.490,-1.440
4,0:36,4,6,DET 29,20,44,"Sam Martin punts 54 yards, returned by Michael Campanaro for 10 yards",-1.440,-0.740
4,0:27,1,10,BAL 27,20,44,Joe Flacco kneels for -1 yards,0.740,0.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
