Quarter,Time,Down,ToGo,Location,PHI,SFO,Detail,EPB,EPA
2,13:58,1,10,SFO 11,14,6,"Frank Gore left end for 4 yards (tackle by Stewart Bradley). Penalty on Vernon Davis: Offensive Holding, 5 yards (no play)",-0.370,-0.570
2,13:38,1,15,SFO 6,14,6,Frank Gore up the middle for 4 yards (tackle by Chris Gocong and Mike Patterson),-0.570,-0.850
2,12:53,2,11,SFO 10,14,6,J.T. O'Sullivan pass complete short middle to Michael Robinson for 12 yards (tackle by Stewart Bradley),-0.850,0.410
2,12:05,1,10,SFO 22,14,6,Frank Gore up the middle for 7 yards (tackle by Trent Cole),0.410,0.810
2,11:22,2,3,SFO 29,14,6,Frank Gore right tackle for 3 yards (tackle by Omar Gaither),0.810,1.070
2,10:38,1,10,SFO 32,14,6,Frank Gore up the middle for 4 yards (tackle by Juqua Parker and Stewart Bradley),1.070,1.070
2,9:54,2,6,SFO 36,14,6,Frank Gore for 5 yards (tackle by Asante Samuel),1.070,1.030
2,9:13,3,1,SFO 41,14,6,DeShaun Foster left end for no gain (tackle by Trent Cole),1.030,-0.650
2,8:23,4,1,SFO 41,14,6,"Penalty on Andy Lee: Delay of Game, 5 yards (no play)",-0.650,-0.980
2,7:56,4,6,SFO 36,14,6,"Andy Lee punts 47 yards, returned by DeSean Jackson for 19 yards (tackle by Delanie Walker)",-0.980,-1.330
2,7:44,1,10,PHI 36,14,6,Donovan McNabb pass complete deep middle to DeSean Jackson for 26 yards (tackle by Mark Roman),1.330,3.050
2,7:08,1,10,SFO 38,14,6,Donovan McNabb pass incomplete short left intended for Hank Baskett,3.050,2.510
2,7:03,2,10,SFO 38,14,6,Correll Buckhalter right guard for 5 yards (tackle by Isaac Sopoaga and Takeo Spikes),2.510,2.480
2,6:26,3,5,SFO 33,14,6,Donovan McNabb pass complete deep left to DeSean Jackson for 27 yards (tackle by Tarell Brown). Penalty on Tully Banta-Cain: Defensive Offside (Declined),2.480,5.830
,,,,,,,"SFO challenged the pass completion ruling, and the play was upheld.",,
2,6:10,1,6,SFO 6,14,6,Correll Buckhalter up the middle for 3 yards (tackle by Patrick Willis),5.830,5.530
2,5:25,2,3,SFO 3,14,6,Donovan McNabb pass incomplete short right intended for Correll Buckhalter,5.530,4.720
2,5:19,3,3,SFO 3,14,6,Donovan McNabb pass complete short left to DeSean Jackson for 2 yards (tackle by Dashon Goldson),4.720,3.550
2,4:35,4,1,SFO 1,17,6,David Akers 19 yard field goal good,3.550,3.000
2,,,,PHI 30,17,6,"David Akers kicks off 66 yards, returned by Allen Rossum for 24 yards (tackle by Akeem Jordan)",0.000,0.810
2,4:22,1,10,SFO 28,17,6,J.T. O'Sullivan pass incomplete short right intended for Isaac Bruce,0.810,0.260
2,4:18,2,10,SFO 28,17,6,J.T. O'Sullivan pass complete short middle to Vernon Davis for 6 yards (tackle by Brian Dawkins),0.260,0.370
2,3:33,3,4,SFO 34,17,6,J.T. O'Sullivan up the middle for 9 yards (tackle by Trent Cole),0.370,1.800
2,2:48,1,10,SFO 43,17,6,J.T. O'Sullivan pass complete short right to Arnaz Battle for no gain,1.800,1.250
2,2:05,2,10,SFO 43,17,6,J.T. O'Sullivan up the middle for 11 yards (tackle by Stewart Bradley),1.250,2.520
2,1:54,1,10,PHI 46,17,6,J.T. O'Sullivan pass complete short left to Arnaz Battle for 13 yards (tackle by Brian Dawkins),2.520,3.380
2,1:32,1,10,PHI 33,17,6,"Penalty on Barry Sims: False Start, 5 yards (no play)",3.380,3.050
2,1:29,1,15,PHI 38,17,6,J.T. O'Sullivan pass complete short right to Frank Gore for 1 yard (tackle by Joselio Hanson),3.050,2.300
2,0:52,2,14,PHI 37,17,6,"Penalty on Vernon Davis: False Start, 5 yards (no play)",2.300,1.620
2,0:48,,,,17,6,Timeout #2 by San Francisco 49ers,0.000,1.620
2,0:48,2,19,PHI 42,17,6,J.T. O'Sullivan pass complete short left to Isaac Bruce for 7 yards (tackle by Stewart Bradley),1.620,1.880
2,0:41,,,,17,6,Timeout #3 by San Francisco 49ers,0.000,1.880
2,0:41,3,12,PHI 35,17,6,J.T. O'Sullivan pass incomplete short left intended for Isaac Bruce,1.880,0.970
2,0:34,4,12,PHI 35,17,9,Joe Nedney 53 yard field goal good,0.970,3.000
2,,,,SFO 30,17,9,"Joe Nedney kicks off 72 yards, touchback",0.000,0.280
2,0:29,1,10,PHI 20,17,9,Correll Buckhalter right tackle for 9 yards (tackle by Patrick Willis and Mark Roman),0.280,0.950
2,0:23,,,,17,9,Timeout #1 by Philadelphia Eagles,0.000,0.950
2,0:23,2,1,PHI 29,17,9,Donovan McNabb pass complete short left to Correll Buckhalter for 5 yards (tackle by Walt Harris),0.950,1.200
2,0:16,,,,17,9,Timeout #2 by Philadelphia Eagles,0.000,1.200
2,0:16,1,10,PHI 34,17,9,Donovan McNabb pass complete deep right to Greg Lewis for 16 yards,1.200,2.260
2,0:09,1,10,,17,9,Donovan McNabb pass complete short left to Correll Buckhalter for 14 yards (tackle by Patrick Willis),2.260,3.180
2,0:01,,,,17,9,Timeout #3 by Philadelphia Eagles,0.000,3.180
2,0:01,1,10,SFO 36,17,15,"David Akers 54 yard field goal no good, blocked by Ray McDonald, recovered by Donald Strickland and returned for 41 yards, touchdown",3.180,-7.000
2,,,,PHI 2,17,16,,0.000,0.000
Quarter,Time,Down,ToGo,Location,PHI,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,17,16,"David Akers kicks off 66 yards, returned by Allen Rossum for 18 yards (tackle by Akeem Jordan)",0.000,0.410
3,14:53,1,10,SFO 22,17,16,J.T. O'Sullivan pass complete deep left to Isaac Bruce for 21 yards (tackle by Brian Dawkins),0.410,1.800
3,14:16,1,10,SFO 43,17,16,J.T. O'Sullivan pass complete short right to Vernon Davis for -4 yards (tackle by Stewart Bradley),1.800,0.710
3,13:29,2,14,SFO 39,17,16,J.T. O'Sullivan pass complete short middle to Arnaz Battle for 26 yards (tackle by Quintin Mikell),0.710,3.250
3,12:45,1,10,PHI 35,17,16,J.T. O'Sullivan pass complete short right to Allen Rossum for 4 yards (tackle by Juqua Parker),3.250,3.240
3,12:03,2,6,PHI 31,17,16,Frank Gore up the middle for 25 yards (tackle by Stewart Bradley),3.240,5.830
3,11:21,1,6,PHI 6,17,22,"Frank Gore up the middle for 6 yards, touchdown",5.830,7.000
3,,,,PHI 2,17,23,Joe Nedney kicks extra point good,0.000,0.000
3,,,,SFO 30,17,23,"Joe Nedney kicks off 52 yards, returned by Quintin Demps for 15 yards (tackle by Tully Banta-Cain)",0.000,1.140
3,11:07,1,10,PHI 33,17,23,Donovan McNabb pass incomplete short left intended for Lorenzo Booker,1.140,0.590
3,11:04,2,10,PHI 33,17,23,Correll Buckhalter right end for 11 yards (tackle by Nate Clements),0.590,1.860
3,10:39,1,10,PHI 44,17,23,Donovan McNabb pass incomplete deep right intended for Greg Lewis,1.860,1.320
3,10:27,2,10,PHI 44,17,23,Donovan McNabb pass complete short middle to Correll Buckhalter for 9 yards (tackle by Takeo Spikes),1.320,1.820
3,9:52,3,1,SFO 47,17,23,Correll Buckhalter up the middle for -1 yards (tackle by Ray McDonald),1.820,0.070
3,9:22,4,2,SFO 48,17,23,"Saverio Rocca punts 36 yards, fair catch by Allen Rossum",0.070,0.350
3,9:14,1,10,SFO 12,17,23,"Michael Robinson up the middle for 5 yards (tackle by Quintin Mikell). Penalty on Barry Sims: Offensive Holding, 8 yards",-0.350,-0.490
3,8:49,1,13,SFO 9,17,23,Frank Gore right end for 7 yards (tackle by Brian Dawkins and Quintin Mikell),-0.490,-0.370
3,7:59,2,6,SFO 16,17,23,J.T. O'Sullivan pass complete deep left to Vernon Davis for 57 yards (tackle by Asante Samuel),-0.370,3.780
3,7:01,,,,17,23,Timeout #1 by San Francisco 49ers,0.000,3.780
3,7:01,1,10,PHI 27,17,23,"Penalty on Tony Wragge: False Start, 5 yards (no play)",3.780,3.450
3,7:01,1,15,PHI 32,17,23,Frank Gore up the middle for 7 yards (tackle by Omar Gaither),3.450,3.500
3,6:23,2,8,PHI 25,17,23,Frank Gore right guard for 1 yard (tackle by Trevor Laws),3.500,2.940
3,5:44,3,7,PHI 24,17,23,J.T. O'Sullivan pass complete short middle to Frank Gore for 6 yards (tackle by Stewart Bradley),2.940,2.400
3,4:57,4,1,PHI 18,17,23,Frank Gore right tackle for 3 yards (tackle by Brian Dawkins),2.400,4.580
3,4:18,1,10,PHI 15,17,23,DeShaun Foster right end for 1 yard (tackle by Juqua Parker),4.580,4.110
3,3:45,2,9,PHI 14,17,23,DeShaun Foster up the middle for 3 yards (tackle by Trevor Laws),4.110,3.780
3,3:12,3,6,PHI 11,17,23,J.T. O'Sullivan pass incomplete short left intended for Vernon Davis,3.780,2.720
3,3:05,4,6,PHI 11,17,26,Joe Nedney 29 yard field goal good,2.720,3.000
3,,,,SFO 30,17,26,"Joe Nedney kicks off 68 yards, returned by Quintin Demps for 21 yards (tackle by Donald Strickland)",0.000,0.480
3,2:52,1,10,PHI 23,17,26,Donovan McNabb pass complete short left to Correll Buckhalter for 5 yards (tackle by Walt Harris),0.480,0.610
3,2:11,2,5,PHI 28,17,26,"Donovan McNabb pass incomplete deep left intended for Greg Lewis (defended by Mark Roman). Penalty on Walt Harris: Illegal Contact, 5 yards (no play)",0.610,1.140
3,2:04,1,10,PHI 33,17,26,Correll Buckhalter right end for 28 yards (tackle by Patrick Willis),1.140,2.980
3,1:38,1,10,SFO 39,17,26,Lorenzo Booker up the middle for 5 yards (tackle by Patrick Willis),2.980,3.120
3,1:01,2,5,SFO 34,17,26,Donovan McNabb pass complete short right to DeSean Jackson for 19 yards (tackle by Michael Lewis),3.120,4.580
3,0:29,1,10,SFO 15,17,26,Donovan McNabb pass incomplete short middle intended for L.J. Smith is intercepted by Takeo Spikes at SFO-11 and returned for 1 yard (tackle by L.J. Smith),4.580,0.350
3,0:22,1,10,SFO 12,17,26,Frank Gore up the middle for no gain (tackle by Brodrick Bunkley),-0.350,-0.780
Quarter,Time,Down,ToGo,Location,PHI,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,SFO 12,17,26,J.T. O'Sullivan pass incomplete short right intended for Josh Morgan (defended by Asante Samuel),-0.780,-1.420
4,14:54,3,10,SFO 12,17,26,J.T. O'Sullivan sacked by Juqua Parker for -9 yards,-1.420,-2.490
4,14:30,4,19,SFO 3,17,26,Andy Lee punts 41 yards (tackle by Marcus Hudson),-2.490,-3.050
4,14:22,1,10,SFO 38,17,26,"Penalty on Hank Baskett: False Start, 5 yards (no play)",3.050,2.720
4,14:22,1,15,SFO 43,17,26,Donovan McNabb pass complete deep left to DeSean Jackson for 17 yards (tackle by Parys Haralson),2.720,3.840
4,13:47,1,10,SFO 26,17,26,Correll Buckhalter left tackle for 15 yards (tackle by Mark Roman),3.840,4.840
4,13:11,1,10,SFO 11,17,26,Correll Buckhalter right end for -1 yards (tackle by Takeo Spikes and Justin Smith),4.840,3.980
4,12:30,2,11,SFO 12,17,26,Donovan McNabb pass complete short left to Hank Baskett for 10 yards (tackle by Tarell Brown),3.980,5.120
4,11:46,3,1,SFO 2,23,26,"Donovan McNabb pass complete short middle to L.J. Smith for 2 yards, touchdown",5.120,7.000
4,,,,SFO 2,24,26,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,24,26,"David Akers kicks off 70 yards, returned by Allen Rossum for 27 yards (tackle by Quintin Mikell)",0.000,0.740
4,11:31,1,10,SFO 27,24,26,J.T. O'Sullivan pass incomplete deep left intended for Vernon Davis,0.740,0.200
4,11:26,2,10,SFO 27,24,26,J.T. O'Sullivan pass incomplete short left intended for Josh Morgan,0.200,-0.490
4,11:22,3,10,SFO 27,24,26,J.T. O'Sullivan pass complete short right to Vernon Davis for -7 yards (tackle by Omar Gaither),-0.490,-2.030
4,10:45,4,17,SFO 20,24,26,"Andy Lee punts 40 yards, returned by DeSean Jackson for 9 yards (tackle by Delanie Walker)",-2.030,-2.190
4,10:34,1,10,PHI 49,24,26,Donovan McNabb pass complete short right to Correll Buckhalter for 9 yards (tackle by Takeo Spikes),2.190,2.860
4,9:49,2,1,SFO 42,24,26,Donovan McNabb pass complete short left to Correll Buckhalter for 18 yards (tackle by Patrick Willis),2.860,3.970
4,9:06,1,10,SFO 24,24,26,Correll Buckhalter left end for no gain (tackle by Justin Smith),3.970,3.430
4,8:25,2,10,SFO 24,24,26,Donovan McNabb pass incomplete short middle intended for Hank Baskett (defended by Patrick Willis),3.430,2.740
4,8:19,3,10,SFO 24,24,26,Donovan McNabb for 4 yards (tackle by Mark Roman),2.740,2.150
4,7:50,4,6,SFO 20,27,26,David Akers 38 yard field goal good,2.150,3.000
,,,,,,,"SFO challenged the ruling, and the play was upheld.",,
4,,,,PHI 30,27,26,"David Akers kicks off 63 yards, returned by Allen Rossum for 31 yards (tackle by Quintin Demps)",0.000,1.470
4,7:38,1,10,SFO 38,27,26,Frank Gore left guard for 2 yards (tackle by Omar Gaither),1.470,1.190
4,6:59,2,8,SFO 40,27,26,Delanie Walker right end for -10 yards (tackle by Juqua Parker),1.190,-0.820
4,6:23,3,18,SFO 30,27,26,J.T. O'Sullivan pass incomplete deep middle intended for Isaac Bruce is intercepted by Quintin Mikell at SFO-48 and returned for 41 yards (tackle by Frank Gore),-0.820,-5.600
4,6:09,1,7,SFO 7,27,26,Correll Buckhalter up the middle for no gain (tackle by Isaac Sopoaga and Takeo Spikes),5.600,4.760
4,5:30,2,7,SFO 7,27,26,Donovan McNabb pass incomplete short right intended for Jason Avant,4.760,3.810
4,5:22,3,7,SFO 7,27,26,Donovan McNabb pass incomplete short middle intended for DeSean Jackson (defended by Parys Haralson),3.810,2.970
4,5:17,4,7,SFO 7,30,26,David Akers 25 yard field goal good,2.970,3.000
4,,,,PHI 30,30,26,"David Akers kicks off 68 yards, returned by Allen Rossum for 17 yards (tackle by Akeem Jordan)",0.000,0.150
4,5:08,1,10,SFO 19,30,26,Frank Gore left end for 1 yard (tackle by Brian Dawkins and Trent Cole),0.150,-0.200
4,4:20,,,,30,26,Timeout #3 by San Francisco 49ers,0.000,-0.200
4,4:20,2,9,SFO 20,30,26,"J.T. O'Sullivan pass incomplete deep middle intended for Isaac Bruce (defended by Sheldon Brown). Penalty on Barry Sims: Illegal Formation, 5 yards (no play)",-0.200,-1.000
4,4:11,2,14,SFO 15,30,26,J.T. O'Sullivan right end for 11 yards (tackle by Joselio Hanson),-1.000,-0.160
4,3:19,3,3,SFO 26,30,26,"J.T. O'Sullivan sacked by Trent Cole for -6 yards. J.T. O'Sullivan fumbles (forced by Trent Cole), recovered by Chris Clemons at SFO-20 (tackle by Joe Staley)",-0.160,-4.240
4,3:11,1,10,SFO 20,30,26,Correll Buckhalter right guard for 6 yards (tackle by Patrick Willis),4.240,4.640
4,2:32,2,4,SFO 14,30,26,Correll Buckhalter up the middle for 2 yards (tackle by Ronald Fields),4.640,4.340
4,2:00,3,2,SFO 12,30,26,Correll Buckhalter up the middle for 1 yard (tackle by Justin Smith),4.340,2.850
4,1:14,,,,30,26,Timeout #1 by Philadelphia Eagles,0.000,2.850
4,1:14,4,1,SFO 11,33,26,David Akers 28 yard field goal good,2.850,3.000
4,,,,PHI 30,33,26,"David Akers kicks off 69 yards, returned by Allen Rossum for 24 yards (tackle by Sean Considine)",0.000,0.610
4,1:04,1,10,SFO 25,33,26,J.T. O'Sullivan pass complete deep middle to Josh Morgan for 25 yards (tackle by Brian Dawkins),0.610,2.260
4,0:48,1,10,,33,26,J.T. O'Sullivan spiked the ball,2.260,1.710
4,0:48,2,10,,39,26,"J.T. O'Sullivan pass incomplete short right intended for Arnaz Battle is intercepted by Juqua Parker at PHI-45 and returned for 55 yards, touchdown",1.710,-7.000
4,,,,SFO 2,40,26,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,40,26,"David Akers kicks off 62 yards, returned by Allen Rossum for 15 yards (tackle by Sean Considine)",0.000,0.480
4,0:32,1,10,SFO 23,40,26,J.T. O'Sullivan pass incomplete deep middle intended for Isaac Bruce,0.480,-0.070
4,0:23,2,10,SFO 23,40,26,J.T. O'Sullivan sacked by Darren Howard for -9 yards,-0.070,-2.340
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
