Quarter,Time,Down,ToGo,Location,SFO,CLE,Detail,EPB,EPA
1,1:44,1,10,SFO 49,0,7,Shaun Draughn left guard for 12 yards (tackle by Tramon Williams),2.190,2.980
1,1:11,1,10,CLE 39,0,7,Blaine Gabbert pass incomplete deep left intended for Bruce Ellington,2.980,2.440
1,1:06,2,10,CLE 39,0,7,Shaun Draughn right guard for no gain (tackle by Karlos Dansby),2.440,1.750
1,0:26,3,10,CLE 39,0,7,Blaine Gabbert pass complete short left to Blake Bell for 9 yards (tackle by Karlos Dansby and Tramon Williams),1.750,1.520
Quarter,Time,Down,ToGo,Location,SFO,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,CLE 30,0,7,Blaine Gabbert sacked by Nate Orchard for -6 yards,1.520,-1.330
2,14:56,1,10,CLE 36,0,7,Johnny Manziel pass complete deep right to Travis Benjamin for 24 yards,1.330,2.920
2,14:24,1,10,SFO 40,0,7,Isaiah Crowell left guard for 8 yards (tackle by Jaquiski Tartt and Kenneth Acker),2.920,3.450
2,13:48,2,2,SFO 32,0,7,Johnny Manziel pass complete short right to Travis Benjamin for no gain,3.450,2.740
2,13:05,3,2,SFO 32,0,7,Johnny Manziel pass complete short right to Marlon Moore for 12 yards (tackle by Eric Reid),2.740,4.240
2,12:24,1,10,SFO 20,0,7,"Isaiah Crowell right guard for 19 yards (tackle by Kenneth Acker). Penalty on Austin Pasztor: Offensive Holding, 10 yards (no play)",4.240,3.580
2,11:56,1,20,SFO 30,0,7,Duke Johnson left guard for 7 yards (tackle by Eric Reid),3.580,3.290
2,11:22,2,13,SFO 23,0,7,Johnny Manziel pass complete short right to Brian Hartline for 13 yards (tackle by Jaquiski Tartt),3.290,4.910
2,10:46,1,10,SFO 10,0,7,Isaiah Crowell left guard for 1 yard (tackle by Gerald Hodges),4.910,4.380
2,10:46,2,9,SFO 9,0,7,"Penalty on Johnny Manziel: False Start, 5 yards (no play)",4.380,3.580
2,9:55,2,14,SFO 14,0,7,Johnny Manziel pass complete short right to Duke Johnson for 6 yards (tackle by NaVorro Bowman),3.580,3.580
2,9:12,3,8,SFO 8,0,7,Johnny Manziel pass incomplete short right intended for Gary Barnidge,3.580,2.950
2,9:06,4,8,SFO 8,0,10,Travis Coons 26 yard field goal good,2.950,3.000
2,9:06,,,CLE 35,0,10,"Travis Coons kicks off 73 yards, returned by Quinton Patton for 35 yards (tackle by Tank Carder)",0.000,-0.740
2,8:59,1,10,SFO 27,0,10,Shaun Draughn right tackle for 3 yards (tackle by Desmond Bryant),0.740,0.600
2,8:26,2,7,SFO 30,0,10,Blaine Gabbert pass complete short right to Brian Leonhardt for 4 yards (tackle by Tramon Williams and Donte Whitner),0.600,0.430
2,7:50,3,3,SFO 34,0,10,Blaine Gabbert sacked by Jordan Poyer for 0 yards. Penalty on Erik Pears: Offensive Holding (Declined),0.430,-1.110
2,7:33,4,3,SFO 34,0,10,"Bradley Pinion punts 44 yards, fair catch by Travis Benjamin",-1.110,-0.410
2,7:28,1,10,CLE 22,0,10,Johnny Manziel pass incomplete deep right intended for Travis Benjamin,0.410,-0.130
2,7:24,2,10,CLE 22,0,10,Isaiah Crowell right guard for 3 yards (tackle by Arik Armstead),-0.130,-0.430
2,6:38,3,7,CLE 25,0,10,Johnny Manziel sacked by Arik Armstead for -8 yards,-0.430,-2.320
2,5:56,4,15,CLE 17,0,10,"Andy Lee punts 51 yards, returned by Bruce Ellington for 36 yards (tackle by Charley Hughlett)",-2.320,-3.450
2,5:42,1,10,CLE 32,0,10,Shaun Draughn left tackle for 2 yards (tackle by Danny Shelton),3.450,3.170
2,5:04,2,8,CLE 30,0,10,Shaun Draughn left tackle for 4 yards (tackle by Randy Starks),3.170,3.010
2,4:19,3,4,CLE 26,0,10,Blaine Gabbert pass incomplete short left intended for Jerome Simpson,3.010,1.810
2,4:16,4,4,CLE 26,3,10,Phil Dawson 44 yard field goal good,1.810,3.000
2,4:16,,,SFO 35,3,10,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.280
2,4:12,1,10,CLE 20,3,10,"Penalty on John Greco: False Start, 5 yards (no play)",0.280,-0.310
2,4:12,1,15,CLE 15,3,10,Johnny Manziel sacked by Quinton Dial for -11 yards,-0.310,-1.950
2,3:28,2,26,CLE 4,3,10,Johnny Manziel pass incomplete short left,-1.950,-3.290
2,3:24,3,26,CLE 4,3,10,"Johnny Manziel sacked by Corey Lemonier for -4 yards, safety. Penalty on Corey Lemonier: Face Mask (15 Yards), 15 yards",-3.290,0.150
2,3:19,1,10,CLE 19,3,10,Duke Johnson left tackle for 1 yard (tackle by Kenneth Acker and Gerald Hodges),0.150,0.150
2,3:12,1,10,CLE 19,3,10,Timeout #1 by San Francisco 49ers,0.150,-0.200
2,3:12,2,9,CLE 20,3,10,Johnny Manziel pass complete short right to Brian Hartline for 6 yards (tackle by NaVorro Bowman),-0.200,-0.200
2,3:07,2,9,CLE 20,3,10,Timeout #2 by San Francisco 49ers,-0.200,-0.160
2,3:07,3,3,CLE 26,3,10,Johnny Manziel pass complete short left to Travis Benjamin for 9 yards (tackle by Kenneth Acker),-0.160,1.270
2,2:34,1,10,CLE 35,3,10,Duke Johnson left tackle for 3 yards (tackle by Gerald Hodges),1.270,1.130
2,2:00,2,7,CLE 38,3,10,"Johnny Manziel pass incomplete short left intended for Duke Johnson. Penalty on Gerald Hodges: Defensive Pass Interference, 2 yards (no play)",1.130,1.600
2,1:56,1,10,CLE 40,3,10,Johnny Manziel pass complete short middle to Brian Hartline for 12 yards (tackle by Jimmie Ward),1.600,2.390
2,1:32,1,10,SFO 48,3,10,Johnny Manziel middle for 4 yards (tackle by Gerald Hodges),2.390,2.390
2,1:25,1,10,SFO 48,3,10,Timeout #1 by Cleveland Browns,2.390,2.390
2,1:25,2,6,SFO 44,3,10,Johnny Manziel pass incomplete short right intended for Brian Hartline is intercepted by Jaquiski Tartt at SFO-31 and returned for 25 yards,2.390,-2.650
2,1:10,1,10,CLE 44,3,10,Blaine Gabbert pass complete short right to Quinton Patton for 5 yards (tackle by Tramon Williams),2.650,2.780
2,1:05,2,5,CLE 39,3,10,"Blaine Gabbert sacked by Desmond Bryant for -2 yards. Blaine Gabbert fumbles (forced by Desmond Bryant), recovered by Joe Staley at CLE-41",2.780,1.820
2,1:05,3,7,CLE 41,3,10,Blaine Gabbert pass incomplete short right intended for Shaun Draughn,1.820,0.530
2,0:31,4,7,CLE 41,3,10,"Bradley Pinion punts 41 yards, touchback",0.530,-0.280
2,0:25,1,10,CLE 20,3,10,Johnny Manziel kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SFO,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,3,10,"Travis Coons kicks off 64 yards, returned by Bruce Ellington for 21 yards (tackle by Don Jones)",0.000,-0.410
3,14:55,1,10,SFO 22,3,10,Shaun Draughn left tackle for 3 yards,0.410,0.270
3,14:18,2,7,SFO 25,3,10,Shaun Draughn left end for 15 yards (tackle by Craig Robertson),0.270,1.600
3,13:46,1,10,SFO 40,3,10,Blaine Gabbert pass complete short left to Quinton Patton for 9 yards (tackle by Charles Gaines),1.600,2.270
3,13:24,2,1,SFO 49,3,10,Shaun Draughn right end for no gain (tackle by Xavier Cooper),2.270,1.550
3,12:47,3,1,SFO 49,3,10,Bruce Miller left guard for 3 yards (tackle by Armonty Bryant),1.550,2.390
3,12:19,1,10,CLE 48,3,10,Shaun Draughn left tackle for -1 yards (tackle by Xavier Cooper),2.390,1.710
3,11:52,2,11,CLE 49,3,10,Shaun Draughn right guard for 4 yards (tackle by Desmond Bryant),1.710,1.550
3,11:27,3,7,CLE 45,3,10,Blaine Gabbert pass complete short left to Shaun Draughn for 1 yard (tackle by Christian Kirksey),1.550,0.330
3,10:50,4,6,CLE 44,3,10,"Bradley Pinion punts 33 yards, fair catch by Travis Benjamin",0.330,0.370
3,10:44,1,10,CLE 11,3,10,Johnny Manziel pass complete short right to Brian Hartline for 24 yards (tackle by Jaquiski Tartt),-0.370,1.270
3,10:08,1,10,CLE 35,3,10,Isaiah Crowell right guard for 1 yard (tackle by Quinton Dial),1.270,0.860
3,9:31,2,9,CLE 36,3,10,Johnny Manziel pass complete short middle to Marlon Moore for 11 yards (tackle by Jaquiski Tartt),0.860,2.060
3,8:54,1,10,CLE 47,3,10,Isaiah Crowell left guard for 1 yard (tackle by Ian Williams and Ahmad Brooks),2.060,1.650
3,8:15,2,9,CLE 48,3,10,Johnny Manziel pass incomplete short left intended for Travis Benjamin (defended by Kenneth Acker),1.650,0.960
3,8:10,3,9,CLE 48,3,10,Johnny Manziel left end for 7 yards (tackle by Eric Reid),0.960,0.270
3,7:18,4,2,SFO 45,3,10,"Andy Lee punts 30 yards, fair catch by Bruce Ellington",0.270,0.220
3,7:11,1,10,SFO 15,3,10,"Blaine Gabbert pass incomplete short left intended for Anquan Boldin. Penalty on Nate Orchard: Defensive Pass Interference, 7 yards (no play)",-0.220,0.410
3,7:08,1,10,SFO 22,3,10,"Blaine Gabbert right end for 5 yards (tackle by Tramon Williams). Penalty on Craig Robertson: Unsportsmanlike Conduct, 15 yards",0.410,1.730
3,6:47,1,10,SFO 42,3,10,"Blaine Gabbert pass complete deep left to Quinton Patton for 35 yards (tackle by K'Waun Williams). Penalty on Quinton Patton: Illegal Motion, 5 yards (no play)",1.730,1.400
3,6:24,1,15,SFO 37,3,10,Blaine Gabbert sacked by Christian Kirksey for -3 yards,1.400,0.110
3,5:59,2,18,SFO 34,3,10,Blaine Gabbert sacked by Xavier Cooper and Desmond Bryant for -7 yards,0.110,-1.480
3,5:16,3,25,SFO 27,3,10,Blaine Gabbert pass complete short right to Shaun Draughn for 7 yards (tackle by Barkevious Mingo),-1.480,-1.110
3,4:39,4,18,SFO 34,3,10,"Bradley Pinion punts 44 yards, muffed catch by Travis Benjamin, recovered by Travis Benjamin and returned for no gain",-1.110,-0.410
3,4:29,1,10,CLE 22,3,10,Johnny Manziel pass complete deep left to Brian Hartline for 34 yards (tackle by Kenneth Acker),0.410,2.650
3,3:50,1,10,SFO 44,3,10,Isaiah Crowell left guard for 5 yards (tackle by Gerald Hodges and Tank Carradine),2.650,2.780
3,3:13,2,5,SFO 39,3,10,Johnny Manziel pass complete short left to Gary Barnidge for 8 yards (tackle by Jaquiski Tartt),2.780,3.510
3,2:34,1,10,SFO 31,3,10,Johnny Manziel pass complete short left to Brian Hartline for 3 yards (tackle by Jimmie Ward),3.510,3.370
3,1:56,2,7,SFO 28,3,10,Johnny Manziel pass complete short right to Gary Barnidge for 21 yards (tackle by Eric Reid and Kenneth Acker),3.370,3.370
3,1:04,2,7,SFO 28,3,10,Timeout #1 by Cleveland Browns,3.370,5.600
3,1:04,1,7,SFO 7,3,10,Johnny Manziel pass incomplete short right intended for Gary Barnidge,5.600,4.760
3,1:01,2,7,SFO 7,3,10,Johnny Manziel pass complete short left to Brian Hartline for 5 yards (tackle by Kenneth Acker),4.760,4.950
3,0:17,3,2,SFO 2,3,16,"Johnny Manziel pass complete short left to Gary Barnidge for 2 yards, touchdown",4.950,7.000
3,0:17,,,SFO 2,3,17,Travis Coons kicks extra point good,0.000,0.000
3,0:17,,,CLE 35,3,17,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
3,0:14,1,10,SFO 20,3,17,Blaine Gabbert pass complete short right to Anquan Boldin for 14 yards (tackle by Tramon Williams),0.280,1.200
Quarter,Time,Down,ToGo,Location,SFO,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 34,3,17,Blaine Gabbert sacked by Nate Orchard for -6 yards,1.200,-0.150
4,14:22,2,16,SFO 28,3,17,Blaine Gabbert pass complete short right to Quinton Patton for 13 yards (tackle by Tramon Williams),-0.150,0.890
4,13:50,3,3,SFO 41,3,17,Blaine Gabbert pass incomplete short right intended for Quinton Patton (defended by Tramon Williams),0.890,-0.650
4,13:47,4,3,SFO 41,3,17,"Bradley Pinion punts 41 yards, returned by Travis Benjamin for no gain. Penalty on Johnson Bademosi: Offensive Holding, 9 yards",-0.650,0.380
4,13:35,1,10,CLE 9,3,17,Isaiah Crowell right tackle for 7 yards (tackle by NaVorro Bowman and Jimmie Ward),-0.380,-0.160
4,12:53,2,3,CLE 16,3,17,Isaiah Crowell right tackle for 1 yard (tackle by Quinton Dial),-0.160,-0.480
4,12:11,3,2,CLE 17,3,17,Johnny Manziel middle for 8 yards (tackle by Kenneth Acker),-0.480,0.610
4,11:26,1,10,CLE 25,3,17,Duke Johnson right tackle for 16 yards (tackle by Eric Reid),0.610,1.660
4,10:40,1,10,CLE 41,3,17,Isaiah Crowell left guard for 54 yards (tackle by Kenneth Acker),1.660,6.060
4,10:21,1,5,SFO 5,3,17,Isaiah Crowell right guard for -1 yards (tackle by Gerald Hodges),6.060,4.950
4,9:46,2,6,SFO 6,3,17,Johnny Manziel pass incomplete short left intended for Marlon Moore,4.950,4.040
4,9:43,3,6,SFO 6,3,17,"Johnny Manziel pass incomplete short right intended for Darius Jennings. Penalty on Marcus Cromartie: Defensive Holding, 3 yards (no play)",4.040,6.510
4,9:31,1,3,SFO 3,3,17,Isaiah Crowell right guard for no gain (tackle by Ahmad Brooks),6.510,5.530
4,8:53,2,3,SFO 3,3,23,"Isaiah Crowell right guard for 3 yards, touchdown. Penalty on Ahmad Brooks: Unsportsmanlike Conduct, 15 yards",5.530,7.000
4,8:53,,,SFO 3,3,24,Travis Coons kicks extra point good,0.000,0.000
4,8:53,,,SFO 3,3,24,"Travis Coons kicks off 50 yards, touchback",0.000,-0.280
4,8:48,1,10,SFO 20,3,24,Blaine Gabbert pass incomplete intended for Anquan Boldin (defended by Donte Whitner),0.280,-0.270
,,,,,,,"CLE challenged the pass completion ruling, and the original play was overturned.",,
4,8:44,2,10,SFO 20,3,24,Blaine Gabbert pass complete short left to Quinton Patton for 9 yards (tackle by Charles Gaines),-0.270,0.230
4,8:00,3,1,SFO 29,3,24,Blaine Gabbert for 11 yards (tackle by Armonty Bryant),0.230,1.600
4,7:43,1,10,SFO 40,3,24,Blaine Gabbert pass complete short middle to Blake Bell for 16 yards (tackle by Tashaun Gipson),1.600,2.650
4,7:09,1,10,CLE 44,3,24,Travaris Cadet right guard for 2 yards (tackle by K'Waun Williams),2.650,2.380
4,6:48,2,8,CLE 42,3,24,Blaine Gabbert sacked by Armonty Bryant for -9 yards,2.380,0.500
4,6:09,3,17,SFO 49,3,24,Blaine Gabbert pass complete short left to Anquan Boldin for 8 yards (tackle by K'Waun Williams),0.500,0.400
4,6:00,4,9,CLE 43,3,24,Blaine Gabbert pass incomplete short right intended for Jerome Simpson,0.400,-1.800
4,5:54,1,10,CLE 43,3,24,Isaiah Crowell right guard for 3 yards (tackle by Ian Williams),1.800,1.800
4,5:49,1,10,CLE 43,3,24,Timeout #1 by San Francisco 49ers,1.800,1.660
4,5:48,2,7,CLE 46,3,24,Duke Johnson left guard for 4 yards (tackle by NaVorro Bowman),1.660,1.490
4,5:14,3,3,,3,24,Duke Johnson right guard for 4 yards (tackle by Arik Armstead),1.490,2.520
4,4:29,1,10,SFO 46,3,24,Duke Johnson right tackle for 4 yards (tackle by NaVorro Bowman and Ian Williams),2.520,2.520
4,3:49,2,6,SFO 42,3,24,Duke Johnson left guard for 2 yards (tackle by Kenneth Acker),2.520,2.520
4,3:45,2,6,SFO 42,3,24,Timeout #2 by San Francisco 49ers,2.520,2.080
4,3:45,3,4,SFO 40,3,24,Isaiah Crowell left guard for 2 yards (tackle by Quinton Dial),2.080,2.080
4,3:31,3,4,SFO 40,3,24,Timeout #3 by San Francisco 49ers,2.080,0.720
4,3:31,4,2,SFO 38,3,24,"Penalty on Alex Mack: False Start, 5 yards (no play)",0.720,0.400
4,3:31,4,7,SFO 43,3,24,Andy Lee punts 38 yards,0.400,0.380
4,3:22,1,10,SFO 6,3,24,Travaris Cadet left guard for 4 yards (tackle by Armonty Bryant),-0.380,-0.490
4,2:57,2,6,SFO 10,3,24,Blaine Gabbert left end for 3 yards (tackle by Armonty Bryant),-0.490,-0.600
4,2:54,3,3,SFO 13,3,24,Blaine Gabbert pass incomplete short left intended for Quinton Patton (defended by Charles Gaines),-0.600,-2.490
4,2:51,4,3,SFO 13,3,24,Blaine Gabbert pass complete short middle to Blake Bell for 24 yards (tackle by Jordan Poyer),-2.490,1.400
4,2:17,1,10,SFO 37,3,24,Blaine Gabbert pass complete short left to Travaris Cadet for 12 yards (tackle by Christian Kirksey),1.400,2.190
4,2:00,1,10,SFO 49,3,24,"Blaine Gabbert pass complete short left to Travaris Cadet for 16 yards (tackle by K'Waun Williams). Penalty on Karlos Dansby: Unsportsmanlike Conduct, 15 yards, Penalty on Karlos Dansby: Defensive Holding (Declined)",2.190,4.240
4,2:00,1,10,CLE 20,3,24,Blaine Gabbert pass complete short left to Jerome Simpson for 14 yards (tackle by Johnson Bademosi),4.240,5.830
4,1:48,1,6,CLE 6,9,24,"Blaine Gabbert pass complete short left to Jerome Simpson for 6 yards, touchdown",5.830,7.000
4,1:48,,,CLE 6,10,24,Phil Dawson kicks extra point good,0.000,0.000
4,1:42,1,6,CLE 6,10,24,Timeout #2 by Cleveland Browns,5.830,0.000
4,1:42,,,SFO 35,10,24,"Phil Dawson kicks onside 9 yards, recovered by Jim Dray",0.000,-2.650
4,1:41,1,10,SFO 44,10,24,Johnny Manziel kneels for -1 yards,2.650,1.980
4,1:02,2,11,SFO 45,10,24,Johnny Manziel kneels for -1 yards,1.980,1.160
4,0:26,3,12,SFO 46,10,24,Johnny Manziel kneels for -1 yards,1.160,0.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
