Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
2,1:08,1,10,CLE 20,24,17,Brian Hoyer pass complete short right to Greg Little for 4 yards (tackle by Xavier Rhodes),0.280,0.270
2,1:02,2,6,CLE 24,24,17,Brian Hoyer pass incomplete deep left intended for Josh Gordon,0.270,-0.430
2,0:57,3,6,CLE 24,24,17,Brian Hoyer pass complete short right to Davone Bess for 9 yards,-0.430,1.140
2,0:53,1,10,CLE 33,24,17,Brian Hoyer pass incomplete intended for Josh Gordon is intercepted by Harrison Smith at 50 and returned for 4 yards (tackle by Josh Gordon),1.140,-2.520
2,0:47,1,10,CLE 46,24,17,Christian Ponder pass incomplete short left intended for Kyle Rudolph,2.520,1.980
2,0:42,2,10,CLE 46,24,17,Christian Ponder pass complete short middle to Cordarrelle Patterson for 12 yards (tackle by D'Qwell Jackson),1.980,1.980
2,0:33,2,10,CLE 46,24,17,Timeout #1 by Minnesota Vikings,1.980,3.310
2,0:33,1,10,CLE 34,24,17,Christian Ponder up the middle for 11 yards (tackle by T.J. Ward),3.310,3.310
2,0:25,1,10,CLE 34,24,17,Timeout #2 by Minnesota Vikings,3.310,4.040
2,0:25,1,10,CLE 23,24,17,Christian Ponder pass complete short right to Jarius Wright for 4 yards,4.040,4.050
2,0:20,2,6,CLE 19,24,17,Christian Ponder pass complete short right to Toby Gerhart for 9 yards (tackle by Craig Robertson),4.050,4.910
2,0:15,1,10,CLE 10,24,17,Christian Ponder pass incomplete short right intended for Greg Jennings,4.910,4.190
2,0:11,2,10,CLE 10,24,17,"Christian Ponder sacked by Jabaal Sheard for -6 yards. Christian Ponder fumbles (forced by Jabaal Sheard), recovered by Craig Robertson at CLE-15 and returned for 7 yards (tackle by Phil Loadholt)",4.190,0.000
Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,24,17,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,CLE 20,24,17,Willis McGahee right end for -2 yards (tackle by Harrison Smith),0.280,-0.630
3,14:26,2,12,CLE 18,24,17,Bobby Rainey right guard for 4 yards (tackle by Chad Greenway),-0.630,-0.630
3,13:52,2,12,CLE 18,24,17,Timeout #1 by Cleveland Browns,-0.630,-0.690
3,13:52,3,8,CLE 22,24,17,Brian Hoyer pass complete short left to Davone Bess for 11 yards (tackle by Josh Robinson),-0.690,1.140
3,13:16,1,10,CLE 33,24,17,Brian Hoyer pass complete short middle to Davone Bess for 15 yards (tackle by Erin Henderson),1.140,2.130
3,12:36,1,10,CLE 48,24,17,Brian Hoyer pass complete short left to Josh Gordon for 1 yard (tackle by Marcus Sherels),2.130,1.720
3,12:00,2,9,CLE 49,24,17,Brian Hoyer pass complete short middle to Greg Little for 16 yards (tackle by Erin Henderson),1.720,3.250
3,11:32,1,10,MIN 35,24,17,Brian Hoyer pass incomplete short middle intended for Jordan Cameron is intercepted by Chad Greenway at MIN-26 and returned for 23 yards (tackle by Oniel Cousins),3.250,-2.190
3,11:24,1,10,MIN 49,24,17,Adrian Peterson left guard for 4 yards (tackle by Tashaun Gipson and D'Qwell Jackson),2.190,2.190
3,10:50,2,6,CLE 47,24,17,"Adrian Peterson up the middle for 4 yards (tackle by D'Qwell Jackson). Adrian Peterson fumbles (forced by D'Qwell Jackson), recovered by Jabaal Sheard at CLE-37 (tackle by Adrian Peterson)",2.190,-1.400
3,10:44,1,10,CLE 37,24,17,Willis McGahee left tackle for 9 yards (tackle by Harrison Smith),1.400,2.070
3,10:10,2,1,CLE 46,24,17,Willis McGahee right tackle for 3 yards (tackle by Erin Henderson),2.070,2.190
3,9:36,1,10,CLE 49,24,17,Brian Hoyer pass complete short left to Bobby Rainey for 4 yards (tackle by Josh Robinson),2.190,2.190
3,9:00,2,6,MIN 47,24,17,Brian Hoyer pass incomplete short right intended for Greg Little,2.190,1.490
3,8:56,3,6,MIN 47,24,17,Brian Hoyer pass incomplete deep left intended for Josh Gordon,1.490,0.130
3,8:51,4,6,MIN 47,24,17,"Spencer Lanning punts 37 yards, fair catch by Marcus Sherels",0.130,0.380
3,8:45,1,10,MIN 10,24,17,Christian Ponder pass incomplete short right intended for Cordarrelle Patterson (defended by Joe Haden),-0.380,-0.780
3,8:42,2,10,MIN 10,24,17,Christian Ponder pass incomplete short left intended for Kyle Rudolph,-0.780,-1.420
3,8:37,3,10,MIN 10,24,17,Christian Ponder pass complete short left to Adrian Peterson for 4 yards (tackle by T.J. Ward),-1.420,-2.470
3,8:21,4,6,MIN 14,24,17,"Jeff Locke punts 57 yards, returned by Travis Benjamin for 28 yards (tackle by Robert Blanton)",-2.470,-2.720
3,8:06,1,10,MIN 43,24,17,Bobby Rainey up the middle for 6 yards (tackle by Brian Robison),2.720,2.990
3,7:34,2,4,MIN 37,24,17,Brian Hoyer pass incomplete short right intended for Jordan Cameron,2.990,2.280
3,7:29,3,4,MIN 37,24,17,Brian Hoyer pass incomplete deep left intended for Josh Gordon,2.280,0.790
3,7:24,4,4,MIN 37,24,17,Brian Hoyer pass incomplete short right intended for Josh Gordon (defended by Kevin Williams),0.790,-1.470
3,7:21,1,10,MIN 38,24,17,Adrian Peterson right end for 8 yards (tackle by Joe Haden),1.470,2.000
3,6:45,2,2,MIN 46,24,17,Christian Ponder pass complete short right to John Carlson for 3 yards (tackle by Joe Haden),2.000,2.190
3,6:09,1,10,MIN 49,24,17,Adrian Peterson left guard for 4 yards,2.190,2.190
3,5:32,2,6,CLE 47,24,17,Christian Ponder sacked by John Hughes for -6 yards,2.190,0.700
3,4:59,3,12,MIN 47,24,17,Christian Ponder sacked by Barkevious Mingo for -1 yards,0.700,-0.320
3,4:28,4,13,MIN 46,24,17,"Jeff Locke punts 38 yards, fair catch by Davone Bess",-0.320,0.140
3,4:21,1,10,CLE 16,24,17,Willis McGahee left end for -6 yards (tackle by Desmond Bishop),-0.140,-1.220
3,4:21,2,16,CLE 10,24,17,"Penalty on CLE: Offensive 12 On-field, 5 yards (no play)",-1.220,-1.580
3,3:34,2,21,CLE 5,24,17,Brian Hoyer pass incomplete intended for Greg Little is intercepted by Erin Henderson at CLE-18 and returned for 9 yards (tackle by Ahtyba Rubin),-1.580,-5.140
3,3:25,1,9,CLE 9,24,17,Christian Ponder pass incomplete short right intended for Joe Webb,5.140,4.380
3,3:21,2,9,CLE 9,24,17,Adrian Peterson up the middle for 1 yard (tackle by John Hughes and Barkevious Mingo),4.380,3.580
3,2:42,3,8,CLE 8,24,23,"Christian Ponder up the middle for 8 yards, touchdown",3.580,7.000
3,2:42,,,CLE 2,24,24,Blair Walsh kicks extra point good,0.000,0.000
3,2:42,,,MIN 35,24,24,"Blair Walsh kicks off 65 yards, returned by Greg Little for 26 yards (tackle by Andrew Sendejo)",0.000,-0.670
3,2:31,1,10,CLE 26,24,24,Brian Hoyer sacked by Erin Henderson for -8 yards,0.670,-1.050
3,1:53,2,18,CLE 18,24,24,"Brian Hoyer pass incomplete. Penalty on Brian Hoyer: Intentional Grounding, 12 yards",-1.050,-3.760
3,1:49,3,30,CLE 6,24,24,Chris Ogbonnaya right guard for 22 yards (tackle by Andrew Sendejo),-3.760,-1.500
3,1:15,4,8,CLE 28,24,24,"Spencer Lanning punts 44 yards, returned by Marcus Sherels for no gain. Marcus Sherels fumbles, recovered by Marcus Sherels at MIN-28",-1.500,-0.810
3,1:01,1,10,MIN 28,24,24,Christian Ponder pass incomplete deep left intended for Jarius Wright,0.810,0.260
3,0:57,2,10,MIN 28,24,24,Adrian Peterson right guard for 2 yards (tackle by D'Qwell Jackson),0.260,-0.160
3,0:20,3,8,MIN 30,24,24,Christian Ponder for 14 yards,-0.160,1.860
Quarter,Time,Down,ToGo,Location,CLE,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 44,24,24,Christian Ponder pass incomplete deep left intended for Jerome Simpson,1.860,1.320
4,14:55,2,10,MIN 44,24,24,Adrian Peterson up the middle for 4 yards (tackle by Ahtyba Rubin and Phil Taylor),1.320,1.160
4,14:16,3,6,MIN 48,24,24,Christian Ponder pass complete short left to Greg Jennings for 7 yards (tackle by Craig Robertson and D'Qwell Jackson),1.160,2.590
4,13:32,1,10,CLE 45,24,24,Christian Ponder pass incomplete deep right intended for Jerome Simpson,2.590,2.040
4,13:25,2,10,CLE 45,24,24,Adrian Peterson up the middle for 3 yards (tackle by Barkevious Mingo),2.040,1.750
4,12:46,3,7,CLE 42,24,24,"Christian Ponder right end for 7 yards (tackle by Joe Haden). Penalty on D'Qwell Jackson: Face Mask (15 Yards), 15 yards",1.750,4.240
4,12:22,1,10,CLE 20,24,24,Adrian Peterson left tackle for 5 yards (tackle by T.J. Ward),4.240,4.450
4,11:38,2,5,CLE 15,24,24,Christian Ponder pass complete short right to Kyle Rudolph for 3 yards (tackle by T.J. Ward),4.450,4.340
4,10:54,3,2,CLE 12,24,24,Christian Ponder pass incomplete short right intended for Greg Jennings,4.340,2.760
4,10:50,4,2,CLE 12,24,27,Blair Walsh 30 yard field goal good,2.760,3.000
4,10:50,,,MIN 35,24,27,"Blair Walsh kicks off 65 yards, touchback",0.000,2.760
4,10:47,4,2,CLE 12,24,27,Timeout #1 by Minnesota Vikings,2.760,-0.280
4,10:47,1,10,CLE 20,24,27,Brian Hoyer pass complete short right to Josh Gordon for 8 yards (tackle by Chad Greenway),0.280,0.810
4,10:11,2,2,CLE 28,24,27,Brian Hoyer pass complete short right to Josh Gordon for 10 yards (tackle by Marcus Sherels),0.810,1.470
4,9:30,1,10,CLE 38,24,27,Brian Hoyer pass incomplete short middle intended for Josh Gordon,1.470,0.920
4,9:25,2,10,CLE 38,24,27,Brian Hoyer sacked by Brian Robison for -9 yards,0.920,-0.960
4,8:52,3,19,CLE 29,24,27,Brian Hoyer pass incomplete short left intended for Jordan Cameron,-0.960,-1.440
4,8:46,4,19,CLE 29,24,27,"Spencer Lanning punts 50 yards, fair catch by Marcus Sherels",-1.440,-0.340
4,8:39,1,10,MIN 21,24,27,Christian Ponder pass incomplete short right intended for Zach Line,0.340,-0.200
4,8:34,2,10,MIN 21,24,27,Adrian Peterson right tackle for no gain (tackle by John Hughes),-0.200,-0.890
4,8:01,3,10,MIN 21,24,27,Christian Ponder pass complete short left to Kyle Rudolph for 9 yards (tackle by Buster Skrine),-0.890,-1.370
4,7:18,4,1,MIN 30,24,27,"Jeff Locke punts 44 yards, fair catch by Travis Benjamin",-1.370,-0.670
4,7:11,1,10,CLE 26,24,27,Brian Hoyer pass complete short right to Davone Bess for 14 yards (tackle by Josh Robinson),0.670,1.600
4,6:35,1,10,CLE 40,24,27,Brian Hoyer sacked by Erin Henderson for -9 yards,1.600,-0.160
4,6:02,2,19,CLE 31,24,27,Brian Hoyer pass complete short left to Jordan Cameron for 5 yards (tackle by Harrison Smith),-0.160,-0.160
4,5:21,3,14,CLE 36,24,27,"Penalty on Joe Thomas: False Start, 5 yards (no play)",-0.160,-0.820
4,5:02,3,19,CLE 31,24,27,Brian Hoyer pass complete short left to Chris Ogbonnaya for 8 yards (tackle by Marcus Sherels),-0.820,-0.780
4,4:29,4,11,CLE 39,24,27,"Spencer Lanning punts 47 yards, fair catch by Marcus Sherels",-0.780,0.280
4,4:22,1,10,MIN 14,24,27,Cordarrelle Patterson left end for no gain (tackle by D'Qwell Jackson),-0.280,-0.750
4,3:39,2,10,MIN 14,24,27,Adrian Peterson right tackle for 6 yards (tackle by Joe Haden and Craig Robertson),-0.750,-0.750
4,3:32,2,10,MIN 14,24,27,Timeout #2 by Cleveland Browns,-0.750,-0.750
4,3:32,2,10,MIN 14,24,27,Timeout #2 by Minnesota Vikings,-0.750,-0.680
4,3:32,3,4,MIN 20,24,27,Christian Ponder pass incomplete short right intended for Greg Jennings,-0.680,-2.030
4,3:28,4,4,MIN 20,24,27,"Jeff Locke punts 35 yards, fair catch by Travis Benjamin",-2.030,-1.930
4,3:21,1,10,CLE 45,24,27,Brian Hoyer pass incomplete short right intended for Davone Bess (defended by Marcus Sherels),1.930,1.380
4,3:17,2,10,CLE 45,24,27,Brian Hoyer pass incomplete short right intended for Greg Little,1.380,0.700
4,3:12,3,10,CLE 45,24,27,Brian Hoyer pass complete short middle to Josh Gordon for 11 yards (tackle by Xavier Rhodes),0.700,2.650
4,2:51,1,10,MIN 44,24,27,Brian Hoyer pass complete short left to Josh Gordon for 3 yards (tackle by Marcus Sherels),2.650,2.520
4,2:06,2,7,MIN 41,24,27,Brian Hoyer pass complete short right to Chris Ogbonnaya for 11 yards (tackle by Josh Robinson),2.520,3.580
4,1:59,1,10,MIN 30,24,27,Brian Hoyer pass incomplete deep left intended for Greg Little,3.580,3.030
4,1:54,2,10,MIN 30,24,27,Brian Hoyer pass complete short right to Jordan Cameron for 13 yards (tackle by Harrison Smith),3.030,4.440
4,1:30,1,10,MIN 17,24,27,Brian Hoyer pass complete short middle to Josh Gordon for 10 yards (tackle by Andrew Sendejo),4.440,5.600
4,1:05,1,7,MIN 7,24,27,Brian Hoyer pass incomplete short right intended for Greg Little,5.600,4.760
4,1:00,2,7,MIN 7,24,27,Brian Hoyer pass incomplete short middle intended for Jordan Cameron,4.760,3.810
4,0:55,3,7,MIN 7,30,27,"Brian Hoyer pass complete short left to Jordan Cameron for 7 yards, touchdown",3.810,7.000
4,0:55,,,MIN 2,31,27,Spencer Lanning kicks extra point good,0.000,0.000
4,0:55,,,CLE 35,31,27,"Spencer Lanning kicks off 55 yards, returned by Toby Gerhart for 19 yards (tackle by Chris Ogbonnaya)",0.000,-0.870
4,0:47,1,10,MIN 29,31,27,Christian Ponder pass complete short middle to Adrian Peterson for 4 yards (tackle by D'Qwell Jackson),0.870,0.870
4,0:31,2,6,MIN 33,31,27,Christian Ponder pass complete short right to Kyle Rudolph for 4 yards,0.870,0.700
4,0:26,3,2,MIN 37,31,27,Christian Ponder pass complete short left to Jerome Simpson for 15 yards (tackle by Chris Owens),0.700,2.390
4,0:20,1,10,CLE 48,31,27,Christian Ponder pass complete short middle to Kyle Rudolph for 7 yards (tackle by Buster Skrine),2.390,2.390
4,0:15,1,10,CLE 48,31,27,Timeout #3 by Minnesota Vikings,2.390,2.790
4,0:15,2,3,CLE 41,31,27,Christian Ponder pass complete short left to Adrian Peterson for 7 yards,2.790,3.310
4,0:10,1,10,CLE 34,31,27,Christian Ponder pass incomplete deep middle intended for Jerome Simpson,3.310,3.310
4,0:04,1,10,CLE 34,31,27,Timeout #3 by Cleveland Browns,3.310,2.770
4,0:04,2,10,CLE 34,31,27,Christian Ponder sacked by Desmond Bryant for -8 yards,2.770,1.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
