Quarter,Time,Down,ToGo,Location,LAC,MIN,Detail,EPB,EPA
2,10:13,1,10,MIN 25,7,0,Kirk Cousins pass complete short middle to Alexander Mattison for 8 yards (tackle by Nick Niemann),0.610,1.140
2,9:40,2,2,MIN 33,7,0,Kirk Cousins pass complete deep right to Justin Jefferson for 21 yards (tackle by Michael Davis),1.140,2.520
2,9:09,1,10,LAC 46,7,0,Kirk Cousins pass complete deep right to Justin Jefferson for 34 yards (tackle by Ja'Sir Taylor),2.520,4.780
2,8:25,1,10,LAC 12,7,0,"Kirk Cousins pass complete short right to Johnny Mundt for 2 yards. Penalty on Tuli Tuipulotu: Defensive Holding, 5 yards (accepted) (no play)",4.780,5.600
2,8:23,1,7,LAC 7,7,0,Alexander Mattison left end for 3 yards (tackle by Scott Matlock),5.600,5.340
2,7:34,2,4,LAC 4,7,6,"Kirk Cousins pass complete short left to Josh Oliver for 4 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",5.340,7.000
2,7:27,,,LAC 15,7,7,Greg Joseph kicks extra point good,0.000,0.000
2,7:27,,,MIN 35,7,7,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,7:27,1,10,LAC 25,7,7,Justin Herbert pass complete short right to Mike Williams for 7 yards (tackle by Byron Murphy),0.610,1.010
2,6:52,2,3,LAC 32,7,7,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by Camryn Bynum),1.010,1.530
2,6:12,1,10,LAC 39,7,7,"Justin Herbert pass complete short left to Josh Palmer for 4 yards. Josh Palmer fumbles (forced by Jordan Hicks), recovered by Jordan Hicks at LAC-45 (tackle by Jordan Hicks)",1.530,-2.590
2,6:02,1,10,LAC 45,7,7,Alexander Mattison left tackle for 7 yards (tackle by Derwin James),2.590,2.990
2,5:34,2,3,LAC 38,7,7,Kirk Cousins pass complete short right to C.J. Ham for 7 yards (tackle by Nick Niemann),2.990,3.510
2,4:58,1,10,LAC 31,7,7,"Kirk Cousins pass incomplete short left. Penalty on Kirk Cousins: Intentional Grounding, 10 yards (accepted)",3.510,1.620
2,4:54,2,20,LAC 41,7,7,"Kirk Cousins pass incomplete short right intended for Jordan Addison. Penalty on Michael Davis: Defensive Pass Interference, 16 yards (accepted) (no play)",1.620,3.910
2,4:47,1,10,LAC 25,7,7,"Alexander Mattison up the middle for no gain (tackle by Kenneth Murray). Penalty on Ed Ingram: Offensive Holding, 10 yards (accepted) (no play)",3.910,3.250
2,4:24,1,20,LAC 35,7,7,Kirk Cousins pass complete deep left to Justin Jefferson for 25 yards (tackle by Asante Samuel),3.250,4.910
2,3:46,1,10,LAC 10,7,7,Kirk Cousins pass incomplete short left intended for Jordan Addison,4.910,4.190
2,3:41,2,10,LAC 10,7,7,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",4.190,3.460
2,3:41,2,15,LAC 15,7,7,Kirk Cousins pass incomplete short left intended for Alexander Mattison,3.460,2.930
2,3:37,3,15,LAC 15,7,7,Kirk Cousins pass complete short left to Alexander Mattison for 9 yards (tackle by Derwin James),2.930,2.990
2,3:30,4,6,LAC 6,7,7,"Penalty on Derwin James: Unnecessary Roughness / Defense, 3 yards (accepted)",2.990,6.510
2,2:48,1,3,LAC 3,7,7,"Alexander Mattison left tackle for -2 yards (tackle by Nick Williams and Alohi Gilman) LAC challenged the fumble ruling, and the play was upheld.",6.510,5.150
2,2:21,2,5,LAC 5,7,7,Kirk Cousins pass incomplete short left intended for K.J. Osborn (defended by Asante Samuel),5.150,4.260
2,2:15,3,5,LAC 5,7,7,Kirk Cousins pass incomplete short right intended for Alexander Mattison (defended by Joey Bosa),4.260,3.010
2,2:11,4,5,LAC 5,7,10,Greg Joseph 23 yard field goal good,3.010,3.000
2,2:08,,,MIN 35,7,10,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,2:08,1,10,LAC 25,7,10,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Camryn Bynum),0.610,1.010
2,2:00,2,3,LAC 32,7,10,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Mekhi Blackmon),1.010,1.470
2,1:57,1,10,LAC 38,7,10,Justin Herbert pass complete short right to Gerald Everett for 13 yards (tackle by Mekhi Blackmon),1.470,2.320
2,1:48,1,10,MIN 49,7,10,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Byron Murphy),2.320,3.000
2,1:31,2,1,MIN 40,7,10,Justin Herbert pass complete short left to Mike Williams for 5 yards (tackle by Akayleb Evans),3.000,3.250
2,1:11,1,10,MIN 35,7,10,"Justin Herbert pass complete deep left to Josh Palmer for 29 yards. Penalty on Akayleb Evans: Defensive Pass Interference, 15 yards (declined)",3.250,5.830
2,1:06,1,6,MIN 6,7,10,Joshua Kelley left tackle for 3 yards (tackle by Harrison Phillips and Mekhi Blackmon),5.830,5.530
2,1:00,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:00,2,3,MIN 3,7,10,Justin Herbert pass complete short left to Gerald Everett for 2 yards (tackle by Mekhi Blackmon),5.530,5.170
2,0:56,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:56,3,1,MIN 1,7,10,Joshua Kelley right guard for no gain (tackle by Jonathan Bullard and Ivan Pace),5.170,3.550
2,0:50,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:50,4,1,MIN 1,13,10,"Justin Herbert pass complete short middle to Donald Parham for 1 yard, touchdown",3.550,7.000
2,0:47,,,MIN 15,14,10,Cameron Dicker kicks extra point good,0.000,0.000
2,0:47,,,LAC 35,14,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,0:47,1,10,MIN 25,14,10,Kirk Cousins pass complete short left to T.J. Hockenson for 8 yards (tackle by Asante Samuel),0.610,1.140
2,0:41,2,2,MIN 33,14,10,Kirk Cousins pass complete short right to T.J. Hockenson for 9 yards (tackle by Ja'Sir Taylor),1.140,1.730
2,0:20,1,10,MIN 42,14,10,Kirk Cousins pass complete short left to T.J. Hockenson for 7 yards (tackle by Michael Davis),1.730,2.130
2,0:01,2,3,MIN 49,14,10,Kirk Cousins pass incomplete short left,2.130,1.420
Quarter,Time,Down,ToGo,Location,LAC,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,14,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIN 25,14,10,Alexander Mattison left tackle for 15 yards (tackle by Alohi Gilman),0.610,1.600
3,14:38,1,10,MIN 40,14,10,Alexander Mattison left tackle for 8 yards (tackle by Michael Davis),1.600,2.130
3,14:00,2,2,MIN 48,14,10,Kirk Cousins pass incomplete deep left intended for Justin Jefferson,2.130,1.420
3,13:53,3,2,MIN 48,14,10,Kirk Cousins pass incomplete deep right intended for Justin Jefferson,1.420,-0.190
3,13:47,4,2,MIN 48,14,10,Ryan Wright punts 46 yards out of bounds,-0.190,0.380
3,13:39,1,10,LAC 6,14,10,Joshua Kelley left tackle for 3 yards (tackle by Akayleb Evans and D.J. Wonnum),-0.380,-0.560
3,13:05,2,7,LAC 9,14,10,"Penalty on Donald Parham: False Start, 5 yards (accepted) (no play)",-0.560,-0.930
3,12:59,2,12,LAC 4,14,10,"Justin Herbert pass complete deep right to Mike Williams for 35 yards (tackle by Byron Murphy) MIN challenged the pass completion ruling, and the play was upheld.",-0.930,1.530
3,12:23,1,10,LAC 39,14,10,Justin Herbert pass complete short left to Keenan Allen for 25 yards (tackle by Akayleb Evans),1.530,3.180
3,11:43,1,10,MIN 36,14,10,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Byron Murphy),3.180,2.770
3,11:07,2,9,MIN 35,14,10,Justin Herbert pass incomplete short left intended for Josh Palmer,2.770,2.080
3,11:00,3,9,MIN 35,14,10,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by Byron Murphy),2.080,0.970
3,10:54,4,9,MIN 35,14,10,Cameron Dicker 53 yard field goal no good,0.970,-1.800
3,10:50,1,10,MIN 43,14,10,Alexander Mattison right guard for 1 yard (tackle by Tuli Tuipulotu and Nick Niemann),1.800,1.390
3,10:18,2,9,MIN 44,14,10,Kirk Cousins pass complete short right to Alexander Mattison for 4 yards (tackle by Kenneth Murray),1.390,1.220
3,9:45,3,5,MIN 48,14,10,Kirk Cousins pass complete short right to Justin Jefferson for 6 yards (tackle by Michael Davis),1.220,2.520
3,9:19,1,10,LAC 46,14,10,"Penalty on Ezra Cleveland: False Start, 5 yards (accepted) (no play)",2.520,2.190
3,8:58,1,15,MIN 49,14,10,Kirk Cousins pass complete short right to T.J. Hockenson for 10 yards (tackle by Kenneth Murray),2.190,2.650
3,8:27,2,5,LAC 41,14,10,Alexander Mattison up the middle for 1 yard (tackle by Tuli Tuipulotu),2.650,2.080
3,7:50,3,4,LAC 40,14,10,Kirk Cousins sacked by Morgan Fox for -6 yards,2.080,0.200
3,7:04,4,10,LAC 46,14,10,"Ryan Wright punts 46 yards, touchback.",0.200,-0.280
3,7:04,1,10,LAC 20,14,10,Isaiah Spiller up the middle for 6 yards (tackle by Akayleb Evans and Patrick Jones),0.280,0.540
3,6:23,2,4,LAC 26,14,10,Justin Herbert pass complete deep right to Keenan Allen for 25 yards (tackle by Theo Jackson),0.540,2.320
3,6:01,1,10,MIN 49,20,10,"Keenan Allen pass complete deep right to Mike Williams for 49 yards, touchdown",2.320,7.000
3,5:53,,,MIN 15,21,10,Cameron Dicker kicks extra point good,0.000,0.000
3,5:53,,,LAC 35,21,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,5:53,1,10,MIN 25,21,10,Kirk Cousins pass complete deep middle to T.J. Hockenson for 21 yards (tackle by Derwin James),0.610,1.990
3,5:21,1,10,MIN 46,21,10,Kirk Cousins sacked by Sebastian Joseph-Day for -5 yards,1.990,0.780
3,5:13,2,15,MIN 41,21,10,Kirk Cousins pass complete short right to Jordan Addison for 4 yards (tackle by Michael Davis),0.780,0.630
3,4:50,3,11,MIN 45,21,10,Kirk Cousins scrambles left tackle for 10 yards (tackle by Derwin James),0.630,0.270
3,4:40,4,1,LAC 45,21,10,"Penalty on Michael Davis: Defensive Holding, 5 yards (accepted) (no play)",0.270,2.920
3,4:00,1,10,LAC 40,21,10,Kirk Cousins pass complete short right to Ty Chandler for 4 yards (tackle by Asante Samuel),2.920,2.910
3,3:20,2,6,LAC 36,21,10,Kirk Cousins pass incomplete short left intended for Justin Jefferson,2.910,2.210
3,3:14,3,6,LAC 36,21,10,"Kirk Cousins pass incomplete deep left intended for Justin Jefferson. Penalty on Ed Ingram: Offensive Holding, 10 yards (declined)",2.210,0.880
3,3:09,4,6,LAC 36,21,16,"Kirk Cousins pass complete short left to K.J. Osborn for 36 yards, touchdown",0.880,7.000
3,3:01,,,LAC 15,21,17,Greg Joseph kicks extra point good,0.000,0.000
3,3:01,,,MIN 35,21,17,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
3,3:01,1,10,LAC 25,21,17,Justin Herbert pass complete short middle to Keenan Allen for 14 yards (tackle by Camryn Bynum),0.610,1.530
3,2:28,1,10,LAC 39,21,17,"Justin Herbert pass complete short left to Keenan Allen for 2 yards (tackle by Harrison Smith). Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted)",1.530,1.000
3,2:01,1,18,LAC 31,21,17,Justin Herbert pass complete short right to Mike Williams for 11 yards (tackle by Harrison Phillips),1.000,1.390
3,1:36,2,7,LAC 42,21,17,Joshua Kelley left end for -2 yards (tackle by Camryn Bynum and Josh Metellus),1.390,0.430
3,0:55,3,9,LAC 40,21,17,"Justin Herbert sacked by Danielle Hunter for -9 yards. Justin Herbert fumbles (forced by Danielle Hunter), recovered by Justin Herbert at LAC-31 (tackle by Danielle Hunter)",0.430,-1.310
3,0:17,4,18,LAC 31,21,17,"JK Scott punts 52 yards, fair catch by Brandon Powell at MIN-17",-1.310,0.060
3,0:07,1,10,MIN 17,21,17,Alexander Mattison right tackle for 14 yards (tackle by JT Woods and Nick Niemann),-0.060,1.000
Quarter,Time,Down,ToGo,Location,LAC,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIN 31,21,17,"Alexander Mattison left guard for no gain (tackle by Nick Niemann). Penalty on Brian O'Neill: Offensive Holding, 10 yards (accepted) (no play)",1.000,0.340
4,14:43,1,20,MIN 21,21,17,Kirk Cousins pass complete short left to Jordan Addison for 11 yards (tackle by Asante Samuel),0.340,0.600
4,14:03,2,9,MIN 32,21,17,Kirk Cousins pass complete short left to Jordan Addison for 4 yards (tackle by Michael Davis),0.600,0.430
4,13:27,3,5,MIN 36,21,17,Kirk Cousins pass complete short left to Jordan Addison for 6 yards (tackle by Michael Davis),0.430,1.730
4,12:48,1,10,MIN 42,21,17,Kirk Cousins pass incomplete deep right intended for Jordan Addison (defended by Asante Samuel),1.730,1.190
4,12:39,2,10,MIN 42,21,17,Alexander Mattison up the middle for 10 yards (tackle by Nick Niemann),1.190,2.390
4,12:11,1,10,LAC 48,21,17,Kirk Cousins sacked by Tuli Tuipulotu for -4 yards,2.390,1.240
4,11:31,2,15,MIN 48,21,23,"Kirk Cousins pass complete short left to Justin Jefferson for 52 yards, touchdown",1.240,7.000
4,11:20,,,LAC 15,21,24,Greg Joseph kicks extra point good,0.000,0.000
4,11:20,,,MIN 35,21,24,"Penalty on Asante Samuel: Defensive Offside, 5 yards (accepted)",0.000,-2.920
4,11:20,1,10,MIN 40,21,24,"Greg Joseph kicks off 60 yards, touchback.",2.920,0.610
4,11:20,1,10,LAC 25,21,24,"Justin Herbert pass complete short right to Keenan Allen for 21 yards (tackle by Akayleb Evans). Penalty on Byron Murphy: Defensive Holding, 5 yards (declined)",0.610,1.990
4,11:09,1,10,LAC 46,21,24,Justin Herbert pass complete short left to Joshua Kelley for 5 yards (tackle by Ivan Pace and Josh Metellus),1.990,2.130
4,10:32,2,5,MIN 49,21,24,Justin Herbert pass complete short left to Gerald Everett for 6 yards. Gerald Everett fumbles (forced by Harrison Smith) (tackle by Josh Metellus). Gerald Everett fumbles out of bounds,2.130,2.720
4,9:56,1,10,MIN 43,21,24,"Justin Herbert pass complete deep right to Keenan Allen for no gain (tackle by Byron Murphy). Penalty on Keenan Allen: Offensive Pass Interference, 10 yards (accepted) (no play)",2.720,2.060
4,9:36,1,20,LAC 47,21,24,Justin Herbert pass incomplete deep right intended for Josh Palmer,2.060,0.830
4,9:29,2,20,LAC 47,21,24,Joshua Kelley left end for 3 yards (tackle by Ivan Pace),0.830,0.560
4,8:51,3,17,LAC 50,21,24,Justin Herbert pass complete deep middle to Keenan Allen for 20 yards (tackle by Jordan Hicks),0.560,3.580
4,8:11,1,10,MIN 30,27,24,"Justin Herbert pass complete deep left to Josh Palmer for 30 yards, touchdown",3.580,7.000
4,8:05,,,MIN 15,28,24,Cameron Dicker kicks extra point good,0.000,0.000
4,8:05,,,LAC 35,28,24,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,8:05,1,10,MIN 25,28,24,Alexander Mattison left tackle for 1 yard (tackle by Khalil Mack),0.610,0.200
4,7:31,2,9,MIN 26,28,24,Kirk Cousins pass incomplete short left intended for T.J. Hockenson,0.200,-0.490
4,7:30,3,9,MIN 26,28,24,"Kirk Cousins pass complete deep left to Jordan Addison for 16 yards (tackle by Raheem Layne). Penalty on Raheem Layne: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.490,2.720
4,7:21,1,10,LAC 43,28,24,Kirk Cousins pass complete short right to Jordan Addison for 11 yards,2.720,3.450
4,6:53,1,10,LAC 32,28,24,Kirk Cousins pass complete short middle to Alexander Mattison for 6 yards (tackle by Kenneth Murray),3.450,3.710
4,6:13,2,4,LAC 26,28,24,Kirk Cousins pass complete short left to Justin Jefferson for 3 yards (tackle by Asante Samuel),3.710,3.400
4,5:53,3,1,LAC 23,28,24,Alexander Mattison left tackle for 3 yards (tackle by Alohi Gilman),3.400,4.240
4,5:14,1,10,LAC 20,28,24,Ty Chandler right tackle for 9 yards (tackle by Nick Niemann),4.240,5.260
4,4:29,2,1,LAC 11,28,24,Kirk Cousins pass complete short left to Justin Jefferson for 8 yards (tackle by Michael Davis),5.260,6.510
4,4:23,1,3,LAC 3,28,24,Alexander Mattison up the middle for 2 yards (tackle by Alohi Gilman),6.510,5.910
4,3:41,2,1,LAC 1,28,24,Alexander Mattison left guard for -1 yards (tackle by Kenneth Murray and Austin Johnson),5.910,4.950
4,3:03,3,2,LAC 2,28,24,Kirk Cousins pass incomplete short right intended for Justin Jefferson,4.950,3.250
4,2:58,4,2,LAC 2,28,24,"Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Michael Davis) Penalty on MIN: Illegal Shift, 5 yards (declined)",3.250,0.380
4,2:53,1,10,LAC 2,28,24,Justin Herbert pass complete short right to Keenan Allen for 13 yards (tackle by Byron Murphy),-0.380,-0.220
4,2:12,1,10,LAC 15,28,24,Joshua Kelley left end for 2 yards (tackle by Jordan Hicks),-0.220,-0.440
4,2:00,2,8,LAC 17,28,24,Joshua Kelley up the middle for -3 yards (tackle by Danielle Hunter),-0.440,-1.510
4,1:57,,,,,,Timeout #2 by Minnesota Vikings,,
4,1:57,3,11,LAC 14,28,24,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Byron Murphy),-1.510,-1.770
4,1:51,,,,,,Timeout #3 by Minnesota Vikings,,
4,1:51,4,1,LAC 24,28,24,"Joshua Kelley up the middle for no gain (tackle by Jonathan Bullard) Replay Assistant challenged the short of the line to gain ruling, and the play was upheld.",-1.770,-3.970
4,1:46,1,10,LAC 24,28,24,Kirk Cousins pass incomplete deep right intended for K.J. Osborn,3.970,3.430
4,1:41,2,10,LAC 24,28,24,Alexander Mattison up the middle for -1 yards (tackle by Sebastian Joseph-Day),3.430,2.610
4,1:04,3,11,LAC 25,28,24,"Kirk Cousins pass incomplete deep right intended for Jordan Addison (defended by Asante Samuel). Penalty on Michael Davis: Illegal Contact, 5 yards (accepted) (no play)",2.610,4.240
4,0:55,1,10,LAC 20,28,24,Kirk Cousins pass incomplete short left intended for T.J. Hockenson (defended by Alohi Gilman),4.240,3.020
4,0:51,2,15,LAC 25,28,24,Kirk Cousins pass complete short right to Brandon Powell for 5 yards (tackle by Asante Samuel),3.020,3.010
4,0:47,3,10,LAC 20,28,24,Kirk Cousins pass complete short left to T.J. Hockenson for 5 yards (tackle by Nick Niemann),3.010,2.490
4,0:42,4,5,LAC 15,28,24,Kirk Cousins pass complete short middle to T.J. Hockenson for 9 yards (tackle by Raheem Layne),2.490,5.830
4,0:15,1,6,LAC 6,28,24,Kirk Cousins pass short right (defended by Nick Niemann) intended for T.J. Hockenson is intercepted by Kenneth Murray in end zone and returned for no gain,5.830,-0.280
4,0:07,1,10,LAC 20,28,24,Justin Herbert kneels for -1 yards,0.280,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
