Quarter,Time,Down,ToGo,Location,ATL,CLE,Detail,EPB,EPA
2,10:49,2,6,ATL 28,0,3,William Green left end for -1 yards (tackle by Chris Draft and Brady Smith),3.440,2.610
2,10:09,3,7,ATL 29,0,3,Kelly Holcomb pass complete to Kevin Johnson for 8 yards (tackle by Kevin Mathis),2.610,4.170
2,9:27,1,10,ATL 21,0,9,"William Green left tackle for 21 yards, touchdown",4.170,7.000
2,9:27,,,ATL 21,0,10,Phil Dawson kicks extra point good,0.000,0.000
2,9:27,,,CLE 30,0,10,"Phil Dawson kicks off 58 yards, returned by Allen Rossum for 16 yards (tackle by Lewis Sanders)",0.000,0.810
2,9:13,1,10,ATL 28,0,10,Warrick Dunn right guard for 8 yards (tackle by Earl Little),0.810,1.340
2,8:39,2,2,ATL 36,0,10,Warrick Dunn left tackle for 1 yard (tackle by Darren Hambrick),1.340,0.760
2,7:56,3,1,ATL 37,0,10,Warrick Dunn middle for 1 yard (tackle by Earl Holmes and Alvin McKinley),0.760,1.470
2,7:23,1,10,ATL 38,0,10,T.J. Duckett left tackle for no gain (tackle by Tyrone Rogers and Kenard Lang),1.470,0.920
2,6:41,2,10,ATL 38,0,10,Michael Vick pass complete to Quentin McCord for 31 yards (tackle by Earl Little),0.920,3.510
2,5:57,1,10,CLE 31,0,10,Warrick Dunn right guard for 11 yards (tackle by Kevin Bentley),3.510,4.240
2,5:19,1,10,CLE 20,0,10,Warrick Dunn right guard for 6 yards (tackle by Kevin Bentley),4.240,4.640
2,4:33,2,4,CLE 14,0,10,Michael Vick for -1 yards (tackle by Gerard Warren and Kevin Bentley),4.640,3.700
2,3:48,3,5,CLE 15,6,10,"Michael Vick pass complete to Brian Finneran for 15 yards, touchdown. Penalty on Kenard Lang: Defensive Offside (Declined)",3.700,7.000
2,3:48,,,CLE 15,7,10,Jay Feely kicks extra point good,0.000,0.000
2,3:48,,,ATL 30,7,10,"Jay Feely kicks off 63 yards, returned by Andre' Davis for 23 yards (tackle by George Layne)",0.000,0.940
2,3:36,1,10,CLE 30,7,10,William Green left end for -2 yards (tackle by John Thierry),0.940,0.120
2,2:54,2,12,CLE 28,7,10,Kelly Holcomb sacked by Ed Jasper for 0 yards,0.120,-0.560
2,2:11,3,12,CLE 28,7,10,Kelly Holcomb pass incomplete intended for Quincy Morgan (defended by Ray Buchanan),-0.560,-1.500
2,2:05,4,12,CLE 28,7,10,"Chris Gardocki punts 30 yards, muffed catch by Brian Finneran, ball out of bounds at ATL-33. Penalty on Andre King: Illegal Substitution (Declined)",-1.500,-1.140
2,1:54,1,10,ATL 33,7,10,Michael Vick pass incomplete intended for Brian Finneran (defended by Corey Fuller),1.140,0.590
2,1:47,2,10,ATL 33,7,10,Michael Vick for 11 yards (tackle by Robert Griffith),0.590,1.860
2,1:40,1,10,ATL 44,7,10,Michael Vick pass complete to Warrick Dunn for 9 yards (tackle by Corey Fuller),1.860,2.530
2,1:33,2,1,CLE 47,7,10,Michael Vick pass complete to Quentin McCord for 12 yards (tackle by Anthony Henry and Kevin Bentley),2.530,3.250
2,1:08,1,10,CLE 35,7,10,Michael Vick pass incomplete intended for Warrick Dunn,3.250,2.700
2,1:00,2,10,CLE 35,7,10,Michael Vick pass incomplete intended for Alge Crumpler,2.700,2.010
2,0:56,3,10,CLE 35,7,10,Michael Vick pass complete to Brian Finneran for 15 yards (tackle by Corey Fuller and Kevin Bentley),2.010,4.240
2,0:56,3,10,CLE 35,,,Timeout #2 by Atlanta Falcons,2.010,4.240
2,0:47,1,10,CLE 20,7,10,Michael Vick for 10 yards (tackle by Corey Fuller and Kenard Lang),4.240,4.910
2,0:47,1,10,CLE 10,7,10,Michael Vick pass incomplete,4.910,4.190
2,0:22,2,10,CLE 10,7,10,Michael Vick pass incomplete,4.190,3.130
2,0:09,3,10,CLE 10,7,10,Michael Vick pass incomplete intended for Alge Crumpler,3.130,2.760
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:06,4,10,CLE 10,7,10,Jay Feely 28 yard field goal no good,2.760,-0.280
2,0:05,1,10,CLE 20,7,10,Kelly Holcomb kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,ATL,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,7,10,"Jay Feely kicks off 63 yards, returned by Andre King for 17 yards (tackle by Johndale Carty)",0.000,0.540
3,14:54,1,10,CLE 24,7,10,Kelly Holcomb pass complete to William Green for 11 yards (tackle by Sam Rogers),0.540,1.270
3,14:12,1,10,CLE 35,7,10,William Green left tackle for -1 yards (tackle by Ed Jasper),1.270,0.590
3,13:30,2,11,CLE 34,7,10,Kelly Holcomb pass incomplete intended for Dennis Northcutt,0.590,-0.100
3,13:23,3,11,CLE 34,7,10,Kelly Holcomb pass complete to Andre' Davis for 14 yards (tackle by Ashley Ambrose),-0.100,2.130
3,12:38,1,10,CLE 48,7,10,Kelly Holcomb pass incomplete intended for Quincy Morgan is intercepted by Gerald McBurrows at ATL-25 and returned for 17 yards,2.130,-1.730
3,12:26,1,10,ATL 42,7,10,Michael Vick pass incomplete intended for Brian Finneran,1.730,1.190
3,12:21,2,10,ATL 42,7,10,Michael Vick pass incomplete intended for Trevor Gaylor. Penalty on Kynan Forney: Offensive Holding (Declined),1.190,0.500
3,12:15,3,10,ATL 42,7,10,Michael Vick pass complete to Brian Finneran for 47 yards (tackle by Robert Griffith),0.500,4.840
3,11:29,1,10,CLE 11,7,10,Warrick Dunn right guard for 1 yard (tackle by Earl Holmes and Orpheus Roye),4.840,4.320
3,10:45,2,9,CLE 10,7,10,Michael Vick pass incomplete intended for Alge Crumpler,4.320,3.300
3,10:41,3,9,CLE 10,7,10,"Michael Vick sacked by Kenard Lang for -9 yards. Michael Vick fumbles (forced by Kenard Lang), recovered by Travis Claridge at CLE-24",3.300,1.870
3,10:41,4,23,CLE 24,10,10,Jay Feely 42 yard field goal good,1.870,3.000
3,10:41,,,ATL 30,10,10,"Jay Feely kicks off 44 yards, returned by Mark Campbell for 7 yards (tackle by Matt Stewart)",0.000,1.140
3,9:38,1,10,CLE 33,10,10,William Green left tackle for 5 yards (tackle by Matt Stewart and Keith Brooking),1.140,1.270
3,9:03,2,5,CLE 38,10,10,William Green left guard for 4 yards (tackle by Matt Stewart),1.270,1.090
3,8:26,3,1,CLE 42,10,10,Kelly Holcomb pass complete to Steve Heiden for 2 yards (tackle by Chris Draft),1.090,1.860
3,7:41,1,10,CLE 44,10,10,"Kelly Holcomb pass complete to Quincy Morgan for 24 yards (tackle by Chris Draft). Quincy Morgan fumbles (forced by Chris Draft), recovered by Sam Rogers at ATL-25 and returned for 27 yards (tackle by Kelly Holcomb)",1.860,-2.390
3,7:22,1,10,CLE 48,10,10,Michael Vick pass complete to Alge Crumpler for 16 yards (tackle by Daylon McCutcheon),2.390,3.450
3,6:49,1,10,CLE 32,10,10,Warrick Dunn left tackle for 3 yards (tackle by Alvin McKinley),3.450,3.310
3,6:11,2,7,CLE 29,10,10,Warrick Dunn left tackle for -1 yards (tackle by Tyrone Rogers),3.310,2.480
3,5:27,3,8,CLE 30,10,10,Michael Vick pass incomplete intended for Trevor Gaylor,2.480,1.410
3,5:27,4,8,CLE 30,13,10,Jay Feely 49 yard field goal good,1.410,3.000
3,5:27,,,ATL 30,13,10,"Jay Feely kicks off 62 yards, returned by Andre' Davis for 16 yards (tackle by George Layne)",0.000,0.540
3,5:12,1,10,CLE 24,13,10,William Green middle for 3 yards (tackle by Ray Buchanan and Sam Rogers),0.540,0.400
3,4:32,2,7,CLE 27,13,10,Kelly Holcomb pass incomplete intended for Kevin Johnson is intercepted by Chris Draft at CLE-37 and returned for 3 yards,0.400,-3.310
3,4:25,1,10,CLE 34,13,10,Michael Vick pass complete to George Layne for 5 yards (tackle by Robert Griffith),3.310,3.450
3,3:46,2,5,CLE 29,13,10,Michael Vick pass complete to Warrick Dunn for 2 yards (tackle by Earl Holmes),3.450,3.010
3,3:05,3,3,CLE 27,13,10,Michael Vick pass complete to Trevor Gaylor for 7 yards (tackle by Daylon McCutcheon),3.010,4.240
3,2:25,1,10,CLE 20,13,10,Michael Vick pass incomplete intended for Brian Finneran,4.240,3.690
3,2:19,2,10,CLE 20,13,10,Michael Vick for 8 yards (tackle by Robert Griffith),3.690,4.340
3,1:36,3,2,CLE 12,13,10,Michael Vick pass incomplete intended for Trevor Gaylor (defended by Anthony Henry),4.340,2.760
3,1:31,4,2,CLE 12,16,10,Jay Feely 30 yard field goal good,2.760,3.000
3,1:31,,,ATL 30,16,10,"Jay Feely kicks off 63 yards, returned by Andre' Davis for 23 yards (tackle by Gerald McBurrows)",0.000,0.940
3,1:21,1,10,CLE 30,16,10,William Green left tackle for 2 yards (tackle by Ashley Ambrose and Keith Brooking),0.940,0.660
3,0:41,2,8,CLE 32,16,10,William Green right tackle for 13 yards (tackle by Brady Smith). Penalty on Ed Jasper: Defensive Offside (Declined),0.660,1.930
3,0:17,1,10,CLE 45,16,10,William Green middle for no gain (tackle by Chris Draft),1.930,1.380
Quarter,Time,Down,ToGo,Location,ATL,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,CLE 45,16,10,William Green right end for -1 yards (tackle by Keith Brooking and Travis Hall),1.380,0.560
4,14:13,3,11,CLE 44,16,10,"Penalty on Patrick Kerney: Defensive Offside, 5 yards (no play)",0.560,1.220
4,13:55,3,6,CLE 49,16,10,"Kelly Holcomb pass complete to Quincy Morgan for 4 yards (tackle by Keion Carpenter). Penalty on Fred Weary: Defensive Holding, 5 yards (no play)",1.220,2.520
4,13:26,1,10,ATL 46,16,10,Kelly Holcomb pass complete to Mark Campbell for 12 yards (tackle by Keith Brooking),2.520,3.310
4,13:05,1,10,ATL 34,16,10,William Green right guard for 1 yard (tackle by Matt Stewart),3.310,2.910
4,12:25,2,9,ATL 33,16,10,Kelly Holcomb pass incomplete intended for Andre' Davis,2.910,2.210
4,12:20,3,9,ATL 33,16,10,Kelly Holcomb sacked by Ellis Johnson for -17 yards,2.210,-0.060
4,11:54,4,26,CLE 50,16,10,Chris Gardocki punts 34 yards,-0.060,0.140
4,11:46,1,10,ATL 16,16,10,Warrick Dunn left guard for 4 yards (tackle by Dwayne Rudd),-0.140,0.010
4,11:11,2,6,ATL 20,16,10,Warrick Dunn right end for 3 yards (tackle by Earl Holmes),0.010,-0.450
4,10:31,3,3,ATL 23,16,10,Michael Vick pass incomplete intended for Brian Finneran (defended by Anthony Henry),-0.450,-1.830
4,10:25,4,3,ATL 23,16,10,"Chris Mohr punts 32 yards, out of bounds",-1.830,-1.930
4,10:17,1,10,CLE 45,16,10,Kelly Holcomb pass incomplete intended for Mark Campbell (defended by Gerald McBurrows),1.930,1.380
4,10:11,2,10,CLE 45,16,10,Jamel White right guard for 2 yards (tackle by Sam Rogers),1.380,0.960
4,9:33,3,8,CLE 47,16,10,Kelly Holcomb pass incomplete (defended by Ellis Johnson),0.960,-0.260
4,9:27,4,8,CLE 47,16,10,Chris Gardocki punts 49 yards,-0.260,0.380
4,9:18,1,10,ATL 4,16,10,Warrick Dunn left guard for 1 yard (tackle by Earl Holmes),-0.380,-0.710
4,8:38,2,9,ATL 5,16,10,"Michael Vick pass complete to George Layne for 6 yards (tackle by Corey Fuller). George Layne fumbles (forced by Corey Fuller), recovered by Gerard Warren at ATL-11",-0.710,-4.840
4,8:18,1,10,ATL 11,16,10,William Green left end for 4 yards,4.840,4.890
4,7:39,2,6,ATL 7,16,10,Kelly Holcomb sacked by Matt Stewart for -8 yards,4.890,2.970
4,7:03,3,14,ATL 15,16,16,"Kelly Holcomb pass complete to Kevin Johnson for 15 yards, touchdown",2.970,7.000
4,7:03,,,ATL 15,16,17,Phil Dawson kicks extra point good,0.000,0.000
4,7:03,,,CLE 30,16,17,"Phil Dawson kicks off 59 yards, returned by Allen Rossum for 15 yards (tackle by Andra Davis)",0.000,0.670
4,6:52,1,10,ATL 26,16,17,Michael Vick pass incomplete intended for Alge Crumpler,0.670,0.130
4,6:48,2,10,ATL 26,16,17,Michael Vick pass incomplete intended for Brian Finneran (defended by Earl Holmes),0.130,-0.560
4,6:43,3,10,ATL 26,16,17,Michael Vick pass complete to Trevor Gaylor for 11 yards (tackle by Anthony Henry),-0.560,1.400
4,6:25,1,10,ATL 37,16,17,Michael Vick pass incomplete intended for Trevor Gaylor,1.400,0.860
4,5:51,2,10,ATL 37,16,17,Michael Vick pass complete to Warrick Dunn for 3 yards (tackle by Earl Little and Gerard Warren),0.860,0.560
4,5:10,3,7,ATL 40,16,17,"Michael Vick for 2 yards (tackle by Robert Griffith). Penalty on Kynan Forney: Unnecessary Roughness, 15 yards",0.560,-1.570
4,4:48,4,20,ATL 27,16,17,"Chris Mohr punts 44 yards, fair catch by Dennis Northcutt",-1.570,-0.870
4,4:48,1,10,CLE 29,16,17,William Green right guard for 7 yards (tackle by Keion Carpenter),0.870,1.270
4,4:05,2,3,CLE 36,16,23,"William Green right tackle for 64 yards, touchdown",1.270,7.000
4,4:05,,,ATL 36,16,24,Phil Dawson kicks extra point good,0.000,0.000
4,4:05,,,CLE 30,16,24,"Phil Dawson kicks off 55 yards, returned by Allen Rossum for 27 yards (tackle by Daylon McCutcheon)",0.000,1.730
4,3:46,1,10,ATL 42,16,24,Michael Vick pass incomplete intended for Trevor Gaylor,1.730,1.190
4,3:40,2,10,ATL 42,16,24,Michael Vick pass complete to Quentin McCord for 22 yards (tackle by Anthony Henry),1.190,3.180
4,3:03,1,10,CLE 36,16,24,Warrick Dunn left tackle for 2 yards (tackle by Kenard Lang and Tyrone Rogers),3.180,2.910
4,2:27,2,8,CLE 34,16,24,Michael Vick sacked by Mark Word for 0 yards,2.910,2.210
4,2:00,3,8,CLE 34,16,24,Michael Vick pass complete to Alge Crumpler for 18 yards (tackle by Earl Little),2.210,4.510
4,1:29,1,10,CLE 16,16,24,Michael Vick pass complete to Trevor Gaylor for 12 yards,4.510,6.280
4,1:23,1,4,CLE 4,16,24,Warrick Dunn middle for 3 yards,6.280,5.910
4,0:41,2,1,CLE 1,16,24,Michael Vick pass incomplete intended for Alge Crumpler,5.910,5.170
4,0:36,3,1,CLE 1,16,24,Warrick Dunn middle for no gain (tackle by Dwayne Rudd),5.170,3.550
4,0:36,3,1,CLE 1,,,Timeout #1 by Atlanta Falcons,5.170,3.550
4,0:28,4,1,CLE 1,16,24,Warrick Dunn middle for no gain (tackle by Earl Holmes),3.550,0.380
4,0:23,1,10,CLE 1,16,24,Kelly Holcomb middle for no gain,-0.380,-0.780
4,0:23,1,10,CLE 1,,,Timeout #2 by Atlanta Falcons,-0.380,-0.780
4,0:16,2,10,CLE 1,16,24,Kelly Holcomb middle for no gain (tackle by Travis Hall),-0.780,-1.420
4,0:16,2,10,CLE 1,,,Timeout #3 by Atlanta Falcons,-0.780,-1.420
4,0:16,3,10,CLE 1,16,24,Kelly Holcomb middle for no gain,-1.420,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
