Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
3,5:32,2,4,CIN 29,21,10,Jay Cutler pass complete short left to Earl Bennett for 6 yards,3.510,4.040
3,4:52,1,10,CIN 23,21,10,Jay Cutler pass complete deep middle to Alshon Jeffery for 18 yards (tackle by Reggie Nelson),4.040,6.060
3,4:11,1,5,CIN 5,21,10,Matt Forte left guard for 4 yards (tackle by Vontaze Burfict),6.060,5.910
3,3:25,2,1,CIN 1,21,16,"Matt Forte left guard for 1 yard, touchdown",5.910,7.000
3,3:25,2,1,CIN 1,21,16,"Penalty on CIN: Defensive 12 On-field, 5 yards",5.910,0.000
3,3:25,,,CIN 2,21,17,Robbie Gould kicks extra point good,0.000,0.000
3,3:25,,,CHI 40,21,17,"Robbie Gould kicks off 60 yards, touchback",0.000,-0.280
3,3:22,1,10,CIN 20,21,17,Andy Dalton pass complete short left to Tyler Eifert for 8 yards (tackle by James Anderson),0.280,0.810
3,2:51,2,2,CIN 28,21,17,"Giovani Bernard right guard for 14 yards (tackle by Chris Conte). Penalty on Orson Charles: Offensive Holding, 9 yards (no play)",0.810,-0.460
3,2:20,2,11,CIN 19,21,17,Andy Dalton pass complete short left to Jermaine Gresham for 5 yards (tackle by D.J. Williams and James Anderson),-0.460,-0.430
3,1:39,3,6,CIN 24,21,17,Andy Dalton pass complete short left to Tyler Eifert for 5 yards (tackle by Lance Briggs and Tim Jennings),-0.430,-1.440
3,1:02,4,1,CIN 29,21,17,"Kevin Huber punts 46 yards, out of bounds",-1.440,-0.610
3,0:54,1,10,CHI 25,21,17,Jay Cutler pass complete short left to Alshon Jeffery for 5 yards (tackle by Rey Maualuga),0.610,0.740
3,0:22,2,5,CHI 30,21,17,"Matt Forte left guard for 3 yards (tackle by James Harrison). Penalty on Martellus Bennett: Offensive Holding, 10 yards (no play)",0.740,-0.610
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,15,CHI 20,21,17,Jay Cutler pass complete deep left to Matt Forte for 24 yards (tackle by Leon Hall and Taylor Mays),-0.610,-0.610
4,14:06,2,15,CHI 20,21,17,Timeout #1 by Chicago Bears,-0.610,1.860
4,14:06,1,10,CHI 44,21,17,Jay Cutler pass incomplete short middle intended for Michael Bush is intercepted by Vontaze Burfict at CIN-48 and returned for 12 yards (tackle by Kyle Adams),1.860,-2.920
4,13:58,1,10,CHI 40,21,17,Andy Dalton pass complete short right to A.J. Green for 12 yards,2.920,3.710
4,13:35,1,10,CHI 28,21,17,BenJarvus Green-Ellis left end for 1 yard (tackle by Major Wright and Stephen Paea),3.710,3.300
4,12:48,2,9,CHI 27,21,17,"Andy Dalton pass complete short left to Mohamed Sanu for 8 yards (tackle by Tim Jennings). Mohamed Sanu fumbles (forced by Tim Jennings), recovered by Tim Jennings at CHI-19 (tackle by Tyler Eifert)",3.300,-0.150
4,12:39,1,10,CHI 19,21,17,Matt Forte right guard for 1 yard (tackle by Vontaze Burfict),0.150,-0.200
4,12:02,2,9,CHI 20,21,17,Jay Cutler pass complete short middle to Brandon Marshall for 6 yards (tackle by Vontaze Burfict),-0.200,-0.160
4,11:22,3,3,CHI 26,21,17,Jay Cutler pass complete deep right to Brandon Marshall for 38 yards (tackle by Terence Newman),-0.160,3.180
4,10:37,1,10,CIN 36,21,17,"Matt Forte right guard for 8 yards (tackle by James Harrison). Penalty on Martellus Bennett: Offensive Holding, 10 yards (no play)",3.180,2.520
4,10:09,1,20,CIN 46,21,17,Jay Cutler pass incomplete short left intended for Alshon Jeffery,2.520,1.290
4,10:04,2,20,CIN 46,21,17,Jay Cutler right guard for 18 yards,1.290,3.010
4,9:17,3,2,CIN 28,21,17,Matt Forte left end for 1 yard (tackle by Domata Peko),3.010,3.010
4,8:32,3,2,CIN 28,21,17,Timeout #2 by Cincinnati Bengals,3.010,1.820
4,8:32,4,1,CIN 27,21,17,Matt Forte right end for 8 yards (tackle by Vontaze Burfict),1.820,1.820
4,8:06,4,1,CIN 27,21,17,Timeout #3 by Cincinnati Bengals,1.820,4.310
4,8:06,1,10,CIN 19,21,23,"Jay Cutler pass complete deep left to Brandon Marshall for 19 yards, touchdown",4.310,7.000
4,8:06,,,CIN 2,21,24,Robbie Gould kicks extra point good,0.000,0.000
4,8:06,,,CHI 35,21,24,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
4,7:58,1,10,CIN 20,21,24,Andy Dalton sacked by Shea McClellin and Stephen Paea for -5 yards,0.280,-1.070
4,7:34,2,15,CIN 15,21,24,Andy Dalton pass complete short right to A.J. Green for 5 yards (tackle by Isaiah Frey),-1.070,-0.960
4,6:51,3,10,CIN 20,21,24,Andy Dalton pass incomplete short right intended for Marvin Jones (defended by James Anderson),-0.960,-2.030
4,6:48,4,10,CIN 20,21,24,"Kevin Huber punts 50 yards, returned by Devin Hester for -2 yards (tackle by Dre Kirkpatrick)",-2.030,-0.810
4,6:38,1,10,CHI 28,21,24,Matt Forte right end for -1 yards (tackle by Terence Newman),0.810,0.130
4,5:58,2,11,CHI 27,21,24,Jay Cutler pass complete short right to Matt Forte for 3 yards (tackle by Terence Newman),0.130,0.130
4,5:10,2,11,CHI 27,21,24,Timeout #2 by Chicago Bears,0.130,-0.160
4,5:10,3,8,CHI 30,21,24,Jay Cutler pass complete short right to Martellus Bennett for 11 yards (tackle by Leon Hall),-0.160,1.660
4,4:24,1,10,CHI 41,21,24,Michael Bush right tackle for 2 yards (tackle by James Harrison),1.660,1.390
4,3:38,2,8,CHI 43,21,24,Michael Bush right guard for 7 yards (tackle by Rey Maualuga and Vontaze Burfict),1.390,1.620
4,2:53,3,1,,21,24,Michael Bush right tackle for 1 yard (tackle by Domata Peko and Carlos Dunlap),1.620,2.320
4,2:07,1,10,CIN 49,21,24,Michael Bush right guard for 2 yards (tackle by Michael Johnson),2.320,2.050
4,2:00,2,8,CIN 47,21,24,Michael Bush left end for 2 yards (tackle by Michael Johnson),2.050,1.620
4,1:15,3,6,CIN 45,21,24,"Michael Bush right end for 1 yard (tackle by Carlos Dunlap). Penalty on Rey Maualuga: Unnecessary Roughness, 15 yards",1.620,3.640
4,1:06,1,10,CIN 29,21,24,Jay Cutler kneels for -1 yards,3.640,2.970
4,0:33,2,11,CIN 30,21,24,Jay Cutler kneels for -1 yards,2.970,2.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
