Quarter,Time,Down,ToGo,Location,CAR,SDG,Detail,EPB,EPA
1,7:53,2,2,SDG 28,7,0,"Penalty on Kevin Haslam: False Start, 5 yards (no play)",0.810,0.140
1,7:41,2,7,SDG 23,7,0,Ryan Mathews up the middle for 6 yards (tackle by Thomas Davis and Captain Munnerlyn),0.140,0.230
1,7:10,3,1,SDG 29,7,0,"Penalty on Luke Kuechly: Neutral Zone Infraction, 6 yards (no play)",0.230,1.270
1,7:01,1,10,SDG 35,7,0,"Penalty on Reggie Wells: False Start, 5 yards (no play)",1.270,0.940
1,6:44,1,15,SDG 30,7,0,"Philip Rivers sacked for -9 yards. Philip Rivers fumbles, recovered by Nate Chandler at SDG-21 (tackle by Kevin Haslam)",0.940,-4.170
1,6:30,1,10,SDG 21,7,0,Cam Newton pass complete short left to Greg Olsen for 8 yards (tackle by Eric Weddle),4.170,4.950
1,6:02,2,2,SDG 13,7,0,"DeAngelo Williams up the middle for 3 yards (tackle by Takeo Spikes and Jarret Johnson). Penalty on Corey Liuget: Face Mask (15 Yards), 5 yards",4.950,6.060
1,5:35,1,5,SDG 5,7,0,DeAngelo Williams left tackle for 4 yards (tackle by Takeo Spikes and Corey Lynch),6.060,5.910
1,4:57,2,1,SDG 1,13,0,"Mike Tolbert left tackle for 1 yard, touchdown",5.910,7.000
1,4:57,,,SDG 2,14,0,Graham Gano kicks extra point good,0.000,0.000
1,4:54,,,CAR 35,14,0,"Graham Gano kicks off 64 yards, returned by Micheal Spurlock for 23 yards (tackle by Josh Norman)",0.000,0.540
1,4:47,1,10,SDG 24,14,0,Ryan Mathews left guard for 5 yards (tackle by D.J. Campbell),0.540,0.670
1,4:11,2,5,SDG 29,14,0,Philip Rivers pass incomplete short right intended for Ryan Mathews,0.670,-0.030
1,4:06,3,5,SDG 29,14,0,Philip Rivers pass incomplete,-0.030,-1.440
1,3:58,4,5,SDG 29,14,0,"Mike Scifres punts 59 yards, returned by Joe Adams for 16 yards (tackle by Melvin Ingram)",-1.440,-0.810
1,3:45,1,10,CAR 28,14,0,Steve Smith left end for 15 yards (tackle by Corey Lynch),0.810,1.800
1,3:06,1,10,CAR 43,14,0,"Penalty on Gary Guyton: Defensive 12 On-field, 5 yards (no play)",1.800,2.530
1,2:47,1,5,CAR 48,14,0,Cam Newton pass incomplete short left intended for Greg Olsen,2.530,1.930
1,2:44,2,5,CAR 48,14,0,DeAngelo Williams left end for 1 yard (tackle by Bront Bird and Shaun Phillips),1.930,1.350
1,2:00,3,4,CAR 49,14,0,Cam Newton pass complete short middle to Greg Olsen for 6 yards (tackle by Eric Weddle),1.350,2.590
1,1:14,1,10,SDG 45,14,0,Cam Newton pass incomplete short right intended for Louis Murphy,2.590,2.040
1,1:08,2,10,SDG 45,20,0,"Cam Newton pass complete short left to DeAngelo Williams for 45 yards, touchdown",2.040,7.000
1,1:08,,,SDG 2,21,0,Graham Gano kicks extra point good,0.000,0.000
1,,,,CAR 35,,,"Graham Gano kicks off 73 yards, returned by Micheal Spurlock for 26 yards (tackle by Josh Thomas)",,
1,0:54,1,10,SDG 18,21,0,Philip Rivers up the middle for 2 yards (tackle by Jason Phillips),0.040,-0.130
1,0:12,2,8,SDG 20,21,0,Philip Rivers pass incomplete deep right intended for Antonio Gates (defended by D.J. Campbell),-0.130,-0.910
1,0:07,3,8,SDG 20,21,0,Philip Rivers pass complete short middle to Antonio Gates for 8 yards (tackle by Thomas Davis and Luke Kuechly),-0.910,0.810
Quarter,Time,Down,ToGo,Location,CAR,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 28,21,0,Ryan Mathews left end for 2 yards (tackle by Luke Kuechly),0.810,0.530
2,14:25,2,8,SDG 30,21,0,Ryan Mathews up the middle for 9 yards (tackle by Greg Hardy and Nate Chandler),0.530,1.530
2,13:42,1,10,SDG 39,21,0,Philip Rivers pass incomplete short left intended for Danario Alexander,1.530,0.990
2,13:38,2,10,SDG 39,21,0,Philip Rivers pass incomplete deep left intended for Danario Alexander,0.990,0.300
2,13:33,3,10,SDG 39,21,0,"Penalty on Charles Johnson: Neutral Zone Infraction, 5 yards (no play)",0.300,0.960
2,13:33,3,5,SDG 44,21,0,Philip Rivers pass complete short left to Malcom Floyd for 9 yards (tackle by Josh Thomas),0.960,2.460
2,12:54,1,10,CAR 47,21,0,"Penalty on Danario Alexander: False Start, 5 yards (no play)",2.460,2.130
2,12:34,1,15,SDG 48,21,0,Philip Rivers pass complete short right to Ryan Mathews for -4 yards (tackle by Thomas Davis),2.130,0.700
2,11:54,2,19,SDG 44,21,0,Philip Rivers pass complete short right to Ryan Mathews for 3 yards (tackle by Thomas Davis),0.700,0.430
2,11:11,3,16,SDG 47,21,0,Philip Rivers pass complete short right to Ryan Mathews for 9 yards (tackle by Josh Thomas and Luke Kuechly),0.430,0.330
2,10:31,4,7,CAR 44,21,0,"Mike Scifres punts 36 yards, fair catch by Joe Adams. Penalty on Armond Smith: Illegal Use of Hands, 4 yards",0.330,0.380
2,10:23,1,10,CAR 4,21,0,Cam Newton pass incomplete short right intended for Greg Olsen,-0.380,-0.780
2,10:18,2,10,CAR 4,21,0,Mike Tolbert left guard for 2 yards (tackle by Cam Thomas). Penalty on Amini Silatolu: Offensive Holding (Declined),-0.780,-1.190
2,9:51,3,8,CAR 6,21,0,"Cam Newton pass incomplete short right intended for Armanti Edwards. Penalty on Quentin Jammer: Defensive Holding, 5 yards (no play)",-1.190,-0.370
2,9:44,1,10,CAR 11,21,0,DeAngelo Williams up the middle for 6 yards (tackle by Bront Bird),-0.370,-0.160
2,8:59,2,4,CAR 17,21,0,Cam Newton pass complete short right to Louis Murphy for 11 yards (tackle by Quentin Jammer),-0.160,0.810
2,8:20,1,10,CAR 28,21,0,Cam Newton sacked by Andrew Gachkar for -6 yards,0.810,-0.550
2,7:44,2,16,CAR 22,21,0,Cam Newton pass complete short middle to Mike Tolbert for 13 yards (tackle by Marcus Gilchrist),-0.550,0.500
2,7:02,3,3,CAR 35,21,0,Cam Newton pass complete short right to Steve Smith for 7 yards (tackle by Bront Bird and Quentin Jammer),0.500,1.730
2,6:16,1,10,CAR 42,21,0,Cam Newton pass incomplete,1.730,1.190
2,6:13,2,10,CAR 42,21,0,DeAngelo Williams up the middle for 7 yards (tackle by Corey Liuget),1.190,1.420
2,5:34,3,3,CAR 49,21,0,Cam Newton pass incomplete short middle intended for Louis Murphy,1.420,-0.130
2,5:30,4,3,CAR 49,21,0,"Brad Nortman punts 41 yards, fair catch by Micheal Spurlock. Penalty on Larry English: Roughing the Kicker, 15 yards (no play)",-0.130,3.180
2,5:23,1,10,SDG 36,21,0,Cam Newton sacked by Antonio Garay for -8 yards,3.180,1.560
2,4:44,2,18,SDG 44,21,0,Cam Newton pass incomplete short left intended for Steve Smith,1.560,0.890
2,4:39,3,18,SDG 44,21,0,Cam Newton pass incomplete deep left intended for Louis Murphy (defended by Corey Lynch),0.890,0.330
2,4:32,4,18,SDG 44,21,0,"Brad Nortman punts 34 yards, fair catch by Micheal Spurlock",0.330,0.380
2,4:27,1,10,SDG 10,21,0,Jackie Battle left end for 3 yards (tackle by Frank Kearse and Frank Alexander),-0.380,-0.560
2,3:53,2,7,SDG 13,21,0,Philip Rivers pass complete short middle to Jackie Battle for 6 yards (tackle by Jason Phillips and Luke Kuechly),-0.560,-0.370
2,3:15,3,1,SDG 19,21,0,Jackie Battle up the middle for 2 yards (tackle by Luke Kuechly and Nate Chandler),-0.370,0.340
2,2:44,1,10,SDG 21,21,0,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Luke Kuechly),0.340,0.610
2,2:18,2,4,SDG 27,21,0,Philip Rivers sacked by Charles Johnson for -1 yards,0.610,-0.230
2,2:00,3,5,SDG 26,21,0,"Philip Rivers for 3 yards (tackle by Greg Hardy). Philip Rivers fumbles (forced by Greg Hardy), recovered by Philip Rivers at SDG-23",-0.230,0.000
2,1:48,,,,21,0,Timeout #1 by Carolina Panthers,0.000,-1.440
2,1:48,4,2,SDG 29,21,0,"Mike Scifres punts 53 yards, returned by Joe Adams for 16 yards (tackle by Melvin Ingram). Penalty on Nate Chandler: Illegal Block Above the Waist, 10 yards",-1.440,-0.540
2,1:35,1,10,CAR 24,21,0,Cam Newton pass complete deep left to Steve Smith for 18 yards (tackle by Corey Lynch),0.540,1.730
2,1:09,1,10,CAR 42,21,0,Cam Newton pass complete short left to Greg Olsen for 4 yards (tackle by Eric Weddle),1.730,0.000
2,0:58,,,,21,0,Timeout #2 by Carolina Panthers,0.000,1.730
2,0:58,2,6,CAR 46,21,0,Cam Newton pass incomplete short left intended for Mike Tolbert,1.730,1.030
2,0:53,3,6,CAR 46,21,0,Cam Newton pass complete short right to Steve Smith for 12 yards (tackle by Quentin Jammer),1.030,2.790
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
2,0:45,1,10,SDG 42,21,0,Cam Newton pass complete short left to Mike Tolbert for 11 yards (tackle by Antoine Cason),2.790,3.510
2,0:39,1,10,SDG 31,21,0,Cam Newton pass complete deep right to Greg Olsen for 26 yards (tackle by Eric Weddle),3.510,0.000
2,0:29,,,,21,0,Timeout #3 by Carolina Panthers,0.000,6.060
2,0:29,1,5,SDG 5,21,0,"Cam Newton pass incomplete short middle intended for Steve Smith. Penalty on Louis Murphy: Offensive Pass Interference, 10 yards (no play)",6.060,4.370
2,0:25,1,15,SDG 15,21,0,Cam Newton pass incomplete short left intended for Steve Smith,4.370,3.460
2,0:17,2,15,SDG 15,21,0,Cam Newton pass incomplete short right intended for Louis Murphy (defended by Quentin Jammer),3.460,2.930
2,0:15,3,15,SDG 15,21,0,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by Shaun Phillips),2.930,2.440
2,0:10,4,15,SDG 15,24,0,Graham Gano 33 yard field goal good,2.440,3.000
2,0:06,,,CAR 35,24,0,"Graham Gano kicks off 65 yards, touchback",0.000,0.280
2,0:06,1,10,SDG 20,24,0,Philip Rivers kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,CAR,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,24,0,"Graham Gano kicks off 73 yards, touchback",0.000,0.280
3,15:00,1,10,SDG 20,24,0,Philip Rivers pass complete short right to Jackie Battle for 6 yards (tackle by Charles Johnson and Jason Phillips),0.280,0.540
3,14:29,2,4,SDG 26,24,0,Philip Rivers sacked by Greg Hardy for -6 yards,0.540,-0.960
3,13:55,3,10,SDG 20,24,0,Philip Rivers pass incomplete short left intended for Antonio Gates,-0.960,-2.030
3,13:49,4,10,SDG 20,24,0,"Mike Scifres punts 36 yards, fair catch by Joe Adams",-2.030,-1.860
3,13:40,1,10,CAR 44,24,0,DeAngelo Williams up the middle for 3 yards (tackle by Aubrayo Franklin and Corey Liuget),1.860,1.720
3,13:02,2,7,CAR 47,24,0,Cam Newton pass complete short right to Steve Smith for 9 yards (tackle by Corey Liuget),1.720,2.650
3,12:28,1,10,SDG 44,24,0,Cam Newton pass complete short right to Greg Olsen for 12 yards (tackle by Corey Lynch),2.650,3.450
3,11:55,1,10,SDG 32,24,0,DeAngelo Williams left end for 9 yards (tackle by Antoine Cason),3.450,4.120
3,11:09,2,1,SDG 23,24,0,DeAngelo Williams right end for 9 yards (tackle by Takeo Spikes and Marcus Gilchrist),4.120,4.650
3,10:25,1,10,SDG 14,24,0,DeAngelo Williams left end for 9 yards (tackle by Antoine Cason),4.650,5.670
3,9:49,2,1,SDG 5,24,0,DeAngelo Williams left end for 1 yard (tackle by Andrew Gachkar and Cam Thomas),5.670,0.000
3,9:01,,,,24,0,Timeout #1 by Carolina Panthers,0.000,6.280
3,9:01,1,4,SDG 4,30,0,"Cam Newton pass complete short right to Steve Smith for 4 yards, touchdown",6.280,7.000
3,9:01,,,SDG 2,31,0,Graham Gano kicks extra point good,0.000,0.000
3,8:56,,,CAR 35,31,0,"Graham Gano kicks off 74 yards, touchback",0.000,0.280
3,8:56,1,10,SDG 20,31,0,"Curtis Brinkley up the middle for no gain (tackle by Sione Fua). Penalty on Nick Hardwick: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,8:34,1,20,SDG 10,31,0,Philip Rivers pass complete short left to Curtis Brinkley for 6 yards (tackle by Thomas Davis),-0.760,-0.940
3,7:57,2,14,SDG 16,31,0,Philip Rivers pass complete short right to Curtis Brinkley for 3 yards (tackle by Luke Kuechly),-0.940,-1.140
3,7:16,3,11,SDG 19,31,0,"Philip Rivers sacked by Charles Johnson for 0 yards. Philip Rivers fumbles (forced by Charles Johnson), recovered by Curtis Brinkley at SDG-19",-1.140,-2.140
3,6:33,4,11,SDG 19,31,0,"Mike Scifres punts 43 yards, fair catch by Joe Adams",-2.140,-1.470
3,6:30,1,10,CAR 38,31,0,DeAngelo Williams up the middle for 3 yards (tackle by Takeo Spikes and Antonio Garay),1.470,1.330
3,5:47,2,7,CAR 41,31,0,Mike Tolbert up the middle for 4 yards (tackle by Antonio Garay and Aubrayo Franklin),1.330,1.160
3,5:00,3,3,CAR 45,31,0,Cam Newton pass incomplete short left intended for Steve Smith (defended by Bront Bird),1.160,-0.390
3,4:57,4,3,CAR 45,31,0,"Brad Nortman punts 44 yards, returned by Micheal Spurlock for 23 yards (tackle by Jordan Senn)",-0.390,-1.200
3,4:45,1,10,SDG 34,31,0,Philip Rivers pass incomplete short left intended for Danario Alexander,1.200,0.660
3,4:40,2,10,SDG 34,31,0,Jackie Battle right end for -3 yards (tackle by Greg Hardy),0.660,-0.430
3,4:11,3,13,SDG 31,31,0,Philip Rivers pass complete short right to Curtis Brinkley for 5 yards (tackle by Luke Kuechly and Captain Munnerlyn),-0.430,-0.980
3,3:33,4,8,SDG 36,31,0,"Mike Scifres punts 64 yards, touchback",-0.980,-0.280
3,3:23,1,10,CAR 20,31,0,DeAngelo Williams left tackle for 2 yards (tackle by Gary Guyton),0.280,0.000
3,2:42,2,8,CAR 22,31,0,Cam Newton pass complete short middle to Louis Murphy for 7 yards (tackle by Jarret Johnson),0.000,0.230
3,2:00,3,1,CAR 29,31,0,Mike Tolbert left tackle for 3 yards (tackle by Shaun Phillips),0.230,1.070
3,1:16,1,10,CAR 32,31,0,"DeAngelo Williams left tackle for 4 yards (tackle by Takeo Spikes and Antoine Cason). DeAngelo Williams fumbles (forced by Antoine Cason), recovered by Larry English at CAR-38 (tackle by Byron Bell)",1.070,-3.050
3,1:09,1,10,CAR 38,31,0,Philip Rivers pass complete short left to Dante Rosario for 9 yards (tackle by Thomas Davis),3.050,3.720
3,0:42,2,1,CAR 29,31,0,Curtis Brinkley up the middle for 5 yards (tackle by Thomas Davis),3.720,3.970
3,0:15,1,10,CAR 24,31,0,Philip Rivers sacked by Greg Hardy for -6 yards,3.970,2.620
Quarter,Time,Down,ToGo,Location,CAR,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,16,CAR 30,31,0,Philip Rivers pass complete short middle to Antonio Gates for 8 yards (tackle by Thomas Davis),2.620,3.010
4,14:14,3,8,CAR 22,31,0,"Philip Rivers pass incomplete short left intended for Danario Alexander. Penalty on Josh Thomas: Defensive Pass Interference, 13 yards (no play)",3.010,5.140
4,14:08,1,9,CAR 9,31,6,"Philip Rivers pass complete short left to Antonio Gates for 9 yards, touchdown",5.140,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
4,14:08,,,CAR 2,31,7,Nick Novak kicks extra point good,0.000,0.000
4,14:02,,,SDG 35,31,7,"Nick Novak kicks off 73 yards, returned by Armond Smith for 26 yards (tackle by Brandon Taylor)",0.000,0.040
4,13:57,1,10,CAR 18,31,7,DeAngelo Williams left end for no gain (tackle by Corey Liuget and Eric Weddle),0.040,-0.490
4,13:12,2,10,CAR 18,31,7,"Cam Newton for no gain. Cam Newton fumbles, recovered by Cam Newton at CAR-14",-0.490,-1.820
4,12:37,3,14,CAR 14,31,7,Mike Tolbert up the middle for 6 yards (tackle by Takeo Spikes and Shaun Phillips),-1.820,-2.030
4,12:06,4,8,CAR 20,31,7,"Brad Nortman punts 39 yards, fair catch by Micheal Spurlock. Penalty on Corey Lynch: Defensive Offside (Declined)",-2.030,-1.660
4,11:58,1,10,SDG 41,31,7,Curtis Brinkley up the middle for 7 yards (tackle by Andre Neblett and Thomas Davis),1.660,2.070
4,11:32,2,3,SDG 48,31,7,Curtis Brinkley up the middle for 4 yards (tackle by Captain Munnerlyn),2.070,2.390
4,11:01,1,10,CAR 48,31,7,Philip Rivers pass complete deep right to Malcom Floyd for 30 yards (tackle by James Dockery),2.390,4.370
4,10:25,1,10,CAR 18,31,7,"Philip Rivers sacked by Mario Addison for -5 yards. Philip Rivers fumbles (forced by Mario Addison), recovered by Frank Alexander at CAR-23 (tackle by Kevin Haslam)",4.370,-0.480
4,10:18,1,10,CAR 23,31,7,DeAngelo Williams up the middle for 8 yards (tackle by Andrew Gachkar),0.480,1.010
4,9:35,2,2,CAR 31,31,7,DeAngelo Williams up the middle for 1 yard (tackle by Antonio Garay),1.010,0.430
4,8:50,3,1,CAR 32,31,7,DeAngelo Williams up the middle for 1 yard (tackle by Cam Thomas and Larry English),0.430,1.140
4,7:57,1,10,CAR 33,31,7,DeAngelo Williams up the middle for no gain (tackle by Takeo Spikes),1.140,0.590
4,7:12,2,10,CAR 33,31,7,Mike Tolbert right guard for 13 yards (tackle by Brandon Taylor),0.590,1.990
4,6:26,1,10,CAR 46,31,7,DeAngelo Williams up the middle for 1 yard (tackle by Antonio Garay),1.990,1.590
4,5:41,2,9,CAR 47,31,7,Cam Newton pass complete short right to Ben Hartsock for 5 yards (tackle by Jarret Johnson),1.590,1.550
4,4:54,3,4,SDG 48,31,7,DeAngelo Williams right end for 7 yards (tackle by Eric Weddle),1.550,2.850
4,4:08,1,10,SDG 41,31,7,Armond Smith up the middle for -2 yards (tackle by Corey Liuget and Jarret Johnson),2.850,0.000
4,3:22,,,,31,7,Timeout #2 by Carolina Panthers,0.000,2.040
4,3:22,2,12,SDG 43,31,7,Armond Smith left end for 3 yards (tackle by Kendall Reyes and Andrew Gachkar),2.040,1.750
4,2:39,3,9,SDG 40,31,7,Armond Smith left end for -1 yards (tackle by Kendall Reyes and Eric Weddle),1.750,0.530
4,2:00,4,10,SDG 41,31,7,"Brad Nortman punts 41 yards, touchback",0.530,-0.280
4,1:52,1,10,SDG 20,31,7,Curtis Brinkley up the middle for 11 yards (tackle by D.J. Campbell),0.280,1.000
4,1:17,1,10,SDG 31,31,7,Curtis Brinkley up the middle for 13 yards (tackle by James Dockery and Charles Godfrey),1.000,1.860
4,0:39,1,10,SDG 44,31,7,Curtis Brinkley right end for 2 yards (tackle by James Dockery),1.860,1.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
