Quarter,Time,Down,ToGo,Location,SDG,DAL,Detail,EPB,EPA
2,5:37,2,4,SDG 20,10,3,Felix Jones left tackle for 7 yards (tackle by Shaun Phillips),4.110,4.710
2,5:03,1,10,SDG 13,10,3,Felix Jones middle for 1 yard (tackle by Kevin Ellison),4.710,4.220
2,4:24,2,9,SDG 12,10,3,"Marion Barber left tackle for 4 yards (tackle by Kevin Ellison). Penalty on Shaun Phillips: Illegal Use of Hands, 4 yards",4.220,6.280
2,4:10,1,4,SDG 4,10,3,Marion Barber right guard for 3 yards (tackle by Brandon Siler),6.280,5.910
2,3:37,2,1,SDG 1,10,3,Marion Barber right guard for no gain (tackle by Tim Dobbins),5.910,5.170
2,3:00,3,1,SDG 1,10,3,Marion Barber right tackle for no gain (tackle by Tim Dobbins and Jacques Cesaire),5.170,3.550
2,2:23,4,1,SDG 1,10,3,Marion Barber right guard for no gain (tackle by Tim Dobbins and Brandon Siler),3.550,0.380
2,2:13,1,10,SDG 1,10,3,Philip Rivers middle for 1 yard (tackle by Igor Olshansky and Bradie James),-0.380,-0.710
2,2:00,2,9,SDG 2,10,3,Philip Rivers pass incomplete deep left intended for Malcom Floyd,-0.710,-1.300
2,1:54,3,9,SDG 2,10,3,Philip Rivers pass incomplete deep right intended for Vincent Jackson is intercepted by Terence Newman at SDG-27,-1.300,-3.780
2,1:46,1,10,SDG 27,10,3,Tony Romo pass incomplete short right intended for Jason Witten (defended by Ian Scott),3.780,3.230
2,1:38,2,10,SDG 27,10,3,Marion Barber right tackle for 3 yards (tackle by Brandon Siler),3.230,2.940
2,0:52,3,7,SDG 24,10,3,Tony Romo pass incomplete short left intended for Miles Austin,2.940,1.870
2,0:45,4,7,SDG 24,10,3,Nick Folk 42 yard field goal no good,1.870,-1.070
2,0:42,1,10,SDG 32,10,3,Darren Sproles right tackle for 6 yards (tackle by Anthony Spencer),1.070,1.340
2,0:37,,,,10,3,Timeout #1 by San Diego Chargers,0.000,1.340
2,0:37,2,4,SDG 38,10,3,Philip Rivers pass complete short middle to Legedu Naanee for 16 yards (tackle by Bobby Carpenter),1.340,2.520
2,0:30,,,,10,3,Timeout #2 by San Diego Chargers,0.000,2.520
2,0:30,1,10,DAL 46,10,3,Philip Rivers pass incomplete deep left intended for Malcom Floyd (defended by Mike Jenkins),2.520,1.980
2,0:25,2,10,DAL 46,10,3,Philip Rivers sacked by Stephen Bowen for -4 yards,1.980,0.760
2,0:18,,,,10,3,Timeout #3 by San Diego Chargers,0.000,0.760
2,0:18,3,14,DAL 50,10,3,Philip Rivers pass incomplete short left intended for Kris Wilson,0.760,-0.060
2,0:13,,,,10,3,Timeout #1 by Dallas Cowboys,0.000,-0.060
2,0:13,4,14,DAL 50,10,3,"Mike Scifres punts 50 yards, touchback",-0.060,-0.280
2,0:04,1,10,DAL 20,10,3,Tony Romo kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SDG,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 30,10,3,"David Buehler kicks off 79 yards, touchback",0.000,0.280
3,15:00,1,10,SDG 20,10,3,Philip Rivers pass complete short middle to Mike Tolbert for 11 yards (tackle by Alan Ball),0.280,1.000
3,14:19,1,10,SDG 31,10,3,LaDainian Tomlinson left guard for 2 yards (tackle by Keith Brooking),1.000,0.730
3,13:40,2,8,SDG 33,10,3,Philip Rivers pass complete short left to Vincent Jackson for 9 yards,0.730,1.730
3,13:08,1,10,SDG 42,10,3,LaDainian Tomlinson right tackle for 4 yards (tackle by Bradie James and Gerald Sensabaugh),1.730,1.730
3,12:32,2,6,SDG 46,10,3,Philip Rivers pass complete short left to Vincent Jackson for 10 yards,1.730,2.650
3,12:32,1,10,DAL 44,10,3,"Penalty on Brandyn Dombrowski: False Start, 5 yards (no play)",2.650,2.320
3,11:40,1,15,DAL 49,10,3,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,2.320,1.440
3,11:36,2,15,DAL 49,10,3,Philip Rivers pass complete short left to Malcom Floyd for 9 yards (tackle by Anthony Spencer),1.440,1.950
3,10:49,3,6,DAL 40,10,3,Philip Rivers pass incomplete deep left intended for Malcom Floyd,1.950,0.590
3,10:43,4,6,DAL 40,10,3,Mike Scifres punts 36 yards,0.590,0.380
3,10:37,1,10,DAL 4,10,3,Tony Romo pass incomplete short left intended for Patrick Crayton,-0.380,-0.780
3,10:31,2,10,DAL 4,10,3,Felix Jones middle for 4 yards (tackle by Shawne Merriman),-0.780,-0.950
3,9:46,3,6,DAL 8,10,3,Tony Romo pass incomplete short right intended for Jason Witten (defended by Stephen Cooper),-0.950,-2.490
3,9:41,4,6,DAL 8,10,3,"Mat McBriar punts 62 yards, returned by Darren Sproles for 14 yards (tackle by Steve Octavien)",-2.490,-1.860
3,9:29,1,10,SDG 44,10,3,LaDainian Tomlinson middle for 3 yards (tackle by Jay Ratliff),1.860,1.720
3,8:47,2,7,SDG 47,10,3,Philip Rivers pass complete short left to LaDainian Tomlinson for 9 yards (tackle by DeMarcus Ware),1.720,2.650
3,8:15,1,10,DAL 44,10,3,Philip Rivers pass incomplete short left intended for Antonio Gates,2.650,2.110
3,8:10,2,10,DAL 44,10,3,Philip Rivers pass incomplete deep left intended for Malcom Floyd (defended by Alan Ball),2.110,1.420
3,8:04,3,10,DAL 44,10,3,Philip Rivers pass complete short right to Darren Sproles for 3 yards (tackle by Bobby Carpenter),1.420,0.530
3,7:22,4,7,DAL 41,10,3,Mike Scifres punts 40 yards,0.530,0.380
3,7:19,1,10,DAL 1,10,3,Marion Barber middle for 10 yards (tackle by Steve Gregory),-0.380,-0.370
3,6:46,1,10,DAL 11,10,3,Felix Jones middle for 9 yards (tackle by Shaun Phillips),-0.370,0.360
3,6:13,2,1,DAL 20,10,3,Felix Jones middle for 1 yard (tackle by Kevin Ellison),0.360,0.340
3,5:31,1,10,DAL 21,10,3,Tony Romo pass complete short left to Jason Witten for 9 yards (tackle by Shaun Phillips),0.340,1.020
3,4:54,2,1,DAL 30,10,3,Felix Jones left end for 5 yards (tackle by Kevin Ellison),1.020,1.270
3,4:11,1,10,DAL 35,10,3,Tony Romo pass complete deep right to Miles Austin for 21 yards (tackle by Steve Gregory),1.270,2.650
3,3:36,1,10,SDG 44,10,3,Marion Barber left end for no gain (tackle by Larry English),2.650,2.110
3,2:50,2,10,SDG 44,10,3,"Penalty on Shaun Phillips: Neutral Zone Infraction, 5 yards (no play)",2.110,2.780
3,2:32,2,5,SDG 39,10,3,Tony Romo pass complete short left to Miles Austin for 6 yards (tackle by Paul Oliver),2.780,3.380
3,1:51,1,10,SDG 33,10,3,Tony Romo pass complete short right to Roy Williams for 25 yards (tackle by Paul Oliver),3.380,5.370
3,1:04,1,8,SDG 8,10,3,Marion Barber middle for 7 yards (tackle by Kevin Ellison),5.370,5.910
3,1:04,2,1,SDG 1,10,3,"Penalty on Doug Free: False Start, 5 yards (no play)",5.910,4.950
3,0:01,2,6,SDG 6,10,9,"Tony Romo pass complete short middle to Miles Austin for 6 yards, touchdown",4.950,7.000
3,,,,SDG 2,10,10,Nick Folk kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,SDG,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,DAL 30,10,10,"David Buehler kicks off 73 yards, returned by Darren Sproles for 28 yards (tackle by Gerald Sensabaugh)",0.000,0.610
4,14:54,1,10,SDG 25,10,10,LaDainian Tomlinson right guard for no gain (tackle by Igor Olshansky),0.610,0.060
4,14:18,2,10,SDG 25,10,10,Philip Rivers pass complete short middle to Antonio Gates for 13 yards (tackle by Terence Newman),0.060,1.470
4,13:36,1,10,SDG 38,10,10,Philip Rivers pass complete short middle to Vincent Jackson for 7 yards (tackle by Keith Brooking),1.470,1.870
4,12:59,2,3,SDG 45,10,10,Darren Sproles middle for 4 yards (tackle by Gerald Sensabaugh and Jay Ratliff),1.870,2.190
4,12:15,1,10,SDG 49,10,10,Darren Sproles middle for 3 yards (tackle by Anthony Spencer),2.190,2.050
4,11:35,2,7,DAL 48,10,10,Philip Rivers pass incomplete deep left intended for Vincent Jackson (defended by Anthony Spencer),2.050,1.360
4,11:35,3,7,DAL 48,10,10,"Penalty on Marcus McNeill: False Start, 5 yards (no play)",1.360,0.700
4,11:28,3,12,SDG 47,10,10,Philip Rivers pass complete deep left to Vincent Jackson for 39 yards (tackle by Gerald Sensabaugh),0.700,4.650
4,11:02,1,10,DAL 14,16,10,"Philip Rivers pass complete short left to Antonio Gates for 14 yards, touchdown",4.650,7.000
4,,,,DAL 2,17,10,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,17,10,"Nate Kaeding kicks off 70 yards, returned by Felix Jones for 14 yards (tackle by Mike Tolbert)",0.000,-0.280
4,10:50,1,10,DAL 14,17,10,Tony Romo pass complete deep right to Jason Witten for 26 yards (tackle by Paul Oliver),-0.280,1.600
4,10:24,1,10,DAL 40,17,10,"Felix Jones middle for -5 yards (tackle by Stephen Cooper). Felix Jones fumbles (forced by Stephen Cooper), recovered by Felix Jones at DAL-35",1.600,0.380
4,9:35,2,15,DAL 35,17,10,Tony Romo pass incomplete short middle intended for Roy Williams (defended by Stephen Cooper),0.380,-0.300
4,9:29,3,15,DAL 35,17,10,Tony Romo pass incomplete deep left intended for Roy Williams (defended by Antonio Cromartie),-0.300,-1.040
4,9:23,4,15,DAL 35,17,10,"Mat McBriar punts 58 yards, returned by Darren Sproles for 4 yards (tackle by Orlando Scandrick)",-1.040,0.370
4,9:13,1,10,SDG 11,17,10,LaDainian Tomlinson left tackle for 1 yard (tackle by Bradie James),-0.370,-0.710
4,8:38,2,9,SDG 12,17,10,LaDainian Tomlinson right guard for 11 yards (tackle by Alan Ball),-0.710,0.480
4,7:51,,,,17,10,Timeout #1 by San Diego Chargers,0.000,0.480
4,7:51,1,10,SDG 23,17,10,LaDainian Tomlinson right tackle for 2 yards (tackle by Alan Ball),0.480,0.200
4,7:10,2,8,SDG 25,17,10,Philip Rivers pass complete short middle to Vincent Jackson for 21 yards (tackle by Bradie James),0.200,1.990
4,6:29,1,10,SDG 46,17,10,Darren Sproles left guard for 4 yards (tackle by Victor Butler),1.990,1.990
4,5:46,2,6,,17,10,LaDainian Tomlinson middle for 6 yards (tackle by Igor Olshansky and Alan Ball),1.990,2.650
4,5:03,1,10,DAL 44,17,10,LaDainian Tomlinson left tackle for 2 yards (tackle by Keith Brooking),2.650,2.380
4,4:24,2,8,DAL 42,17,10,Philip Rivers pass complete short right to Mike Tolbert for 10 yards (tackle by Bobby Carpenter),2.380,3.450
4,3:39,,,,17,10,Timeout #2 by San Diego Chargers,0.000,3.450
4,3:39,1,10,DAL 32,17,10,LaDainian Tomlinson right tackle for 4 yards (tackle by Victor Butler),3.450,3.440
4,2:58,2,6,DAL 28,17,10,LaDainian Tomlinson left tackle for 3 yards (tackle by Marcus Spears),3.440,3.140
4,2:53,,,,17,10,Timeout #1 by Dallas Cowboys,0.000,3.140
4,2:53,3,3,DAL 25,17,10,Philip Rivers pass complete short right to Antonio Gates for 10 yards (tackle by Alan Ball),3.140,4.580
4,2:47,1,10,DAL 15,17,10,Darren Sproles middle for 1 yard (tackle by Gerald Sensabaugh),4.580,4.110
4,2:42,,,,17,10,Timeout #2 by Dallas Cowboys,0.000,4.110
4,2:42,2,9,DAL 14,17,10,LaDainian Tomlinson middle for 1 yard (tackle by Junior Siavii),4.110,3.400
4,2:37,,,,17,10,Timeout #3 by Dallas Cowboys,0.000,3.400
4,2:37,3,8,DAL 13,17,10,LaDainian Tomlinson left guard for -3 yards (tackle by Igor Olshansky),3.400,2.380
4,2:00,4,11,DAL 16,20,10,Nate Kaeding 34 yard field goal good,2.380,3.000
4,,,,SDG 30,20,10,"Nate Kaeding kicks off 71 yards, returned by Felix Jones for 6 yards, lateral to Miles Austin for 9 yards (tackle by Antoine Cason)",0.000,-0.280
4,1:47,1,10,DAL 14,20,10,Tony Romo pass incomplete short left intended for Roy Williams,-0.280,-0.750
4,1:44,2,10,DAL 14,20,10,Tony Romo pass complete short middle to Roy Williams for 16 yards (tackle by Paul Oliver),-0.750,0.940
4,1:25,1,10,DAL 30,20,10,Tony Romo pass complete short middle to Jason Witten for 8 yards (tackle by Stephen Cooper),0.940,1.470
4,1:04,2,2,DAL 38,20,10,Tony Romo pass complete short right to Marion Barber for 8 yards,1.470,1.990
4,0:57,1,10,DAL 46,20,10,Tony Romo pass complete short right to Marion Barber for 14 yards (tackle by Quentin Jammer),1.990,2.920
4,0:35,1,10,SDG 40,20,10,Tony Romo pass complete short left to Patrick Crayton for 22 yards,2.920,4.370
4,0:26,1,10,SDG 18,20,10,Tony Romo pass complete short left to Miles Austin for 14 yards (tackle by C.J. Spillman),4.370,6.280
4,0:26,1,4,SDG 4,20,10,Tony Romo pass incomplete short left intended for Miles Austin,6.280,5.340
4,0:07,,,,20,10,Timeout #3 by San Diego Chargers,0.000,5.340
4,0:07,2,4,SDG 4,20,10,"Penalty on Jason Witten: False Start, 5 yards (no play)",5.340,4.380
4,0:07,2,9,SDG 9,20,16,"Tony Romo pass complete short middle to Patrick Crayton for 9 yards, touchdown",4.380,7.000
4,,,,SDG 2,20,17,Nick Folk kicks extra point good,0.000,0.000
4,,,,DAL 30,20,17,Nick Folk kicks onside 10 yards,0.000,2.920
4,0:02,1,10,DAL 40,20,17,Philip Rivers kneels for -1 yards,2.920,2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
