Quarter,Time,Down,ToGo,Location,KAN,WAS,Detail,EPB,EPA
2,11:35,,,KAN 35,24,0,"Ryan Succop kicks off 59 yards, returned by Niles Paul for 8 yards (tackle by Ron Parker). Penalty on Josh Bellamy: Offensive Holding, 7 yards",0.000,0.380
2,11:21,1,10,WAS 7,24,0,Robert Griffin pass incomplete short right intended for Fred Davis,-0.380,-0.780
2,11:15,2,10,WAS 7,24,0,Alfred Morris left end for 6 yards (tackle by Eric Berry and Kendrick Lewis),-0.780,-0.720
2,10:24,3,4,WAS 13,24,0,Robert Griffin left end for 3 yards (tackle by Eric Berry). Penalty on Trent Williams: Offensive Holding (Declined),-0.720,-2.390
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,10:05,4,1,WAS 16,30,0,"Saverio Rocca punts 58 yards, returned by Dexter McCluster for 74 yards, touchdown",-2.390,-7.000
2,9:45,,,WAS 2,31,0,Ryan Succop kicks extra point good,0.000,0.000
2,9:45,,,KAN 35,31,0,"Ryan Succop kicks off 57 yards, returned by Niles Paul for 18 yards (tackle by Ron Parker)",0.000,-0.670
2,9:39,1,10,WAS 26,31,0,Robert Griffin sacked by Tamba Hali for -5 yards,0.670,-0.550
2,9:08,2,15,WAS 21,31,0,Robert Griffin pass complete short left to Pierre Garcon for 10 yards (tackle by Sean Smith),-0.550,0.100
2,8:31,3,5,WAS 31,31,0,Robert Griffin sacked by Eric Berry for -8 yards,0.100,-1.830
2,7:58,4,13,WAS 23,31,0,"Saverio Rocca punts 41 yards, returned by Dexter McCluster for no gain",-1.830,-1.330
2,7:48,1,10,KAN 36,31,0,Jamaal Charles right tackle for 5 yards (tackle by Jarvis Jenkins),1.330,1.470
2,7:09,2,5,KAN 41,31,0,Alex Smith pass complete short middle to Junior Hemingway for 11 yards (tackle by David Amerson),1.470,2.390
2,6:35,1,10,WAS 48,31,0,Jamaal Charles right end for 5 yards (tackle by Jarvis Jenkins),2.390,2.520
2,5:57,2,5,WAS 43,31,0,Alex Smith pass complete short left to Dexter McCluster for 10 yards (tackle by Josh Wilson),2.520,3.380
2,5:24,1,10,WAS 33,31,0,Alex Smith pass complete short right to Donnie Avery for 7 yards (tackle by David Amerson),3.380,3.780
2,4:45,2,3,WAS 26,31,0,Jamaal Charles left tackle for -3 yards (tackle by Ryan Kerrigan),3.780,2.680
2,4:02,3,6,WAS 29,31,0,Alex Smith pass incomplete short middle intended for Donnie Avery,2.680,1.520
2,3:58,4,6,WAS 29,31,0,"Ryan Succop punts 29 yards, touchback",1.520,-0.280
2,3:49,1,10,WAS 20,31,0,Alfred Morris right tackle for 2 yards (tackle by Tamba Hali),0.280,0.000
2,3:14,2,8,WAS 22,31,0,Robert Griffin pass complete deep left to Niles Paul for 25 yards (tackle by Derrick Johnson),0.000,2.060
2,2:46,1,10,WAS 47,31,0,Robert Griffin sacked by Tyson Jackson for -1 yards,2.060,1.380
2,2:15,2,11,WAS 46,31,0,Robert Griffin pass complete short left to Aldrick Robinson for 30 yards (tackle by Brandon Flowers and Quintin Demps),1.380,3.970
2,2:00,1,10,KAN 24,31,0,Robert Griffin pass complete deep middle to Aldrick Robinson for 18 yards (tackle by Brandon Flowers and Kendrick Lewis),3.970,5.830
2,1:22,1,6,KAN 6,31,0,Alfred Morris left end for -1 yards (tackle by Mike DeVito),5.830,5.830
2,1:13,1,6,KAN 6,31,0,Timeout #1 by Washington Redskins,5.830,4.760
2,1:13,2,7,KAN 7,31,6,"Robert Griffin pass complete short middle to Logan Paulsen for 7 yards, touchdown",4.760,7.000
2,1:13,,,KAN 2,31,7,Kai Forbath kicks extra point good,0.000,0.000
2,1:13,,,WAS 35,37,7,"Kai Forbath kicks off 60 yards, returned by Quintin Demps for 95 yards, touchdown",0.000,-7.000
2,1:07,,,WAS 2,38,7,Ryan Succop kicks extra point good,0.000,0.000
2,1:07,,,KAN 35,38,7,"Ryan Succop kicks off 56 yards, returned by Niles Paul for 39 yards (tackle by Knile Davis)",0.000,-2.130
2,0:43,1,10,WAS 48,38,7,Robert Griffin pass complete short left to Pierre Garcon for 4 yards (tackle by Dontari Poe),2.130,2.130
2,0:33,1,10,WAS 48,38,7,Timeout #2 by Washington Redskins,2.130,2.120
2,0:33,2,6,KAN 48,38,7,Robert Griffin pass incomplete short left intended for Pierre Garcon,2.120,1.420
2,0:30,3,6,KAN 48,38,7,Robert Griffin pass complete short right to Santana Moss for 8 yards,1.420,2.920
2,0:25,1,10,KAN 40,38,7,Robert Griffin pass complete short right to Aldrick Robinson for 8 yards (tackle by Marcus Cooper),2.920,3.450
2,0:07,2,2,KAN 32,38,7,Robert Griffin spiked the ball,3.450,3.450
2,0:07,2,2,KAN 32,38,7,Timeout #3 by Washington Redskins,3.450,2.740
2,0:07,3,2,KAN 32,38,7,Robert Griffin pass incomplete short right intended for Aldrick Robinson (defended by Marcus Cooper),2.740,1.300
2,0:03,4,2,KAN 32,38,10,Kai Forbath 50 yard field goal good,1.300,3.000
Quarter,Time,Down,ToGo,Location,KAN,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,38,10,"Ryan Succop kicks off no gain, returned by Niles Paul for 23 yards (tackle by Ron Parker)",0.000,0.740
3,14:53,1,10,WAS 27,38,10,Robert Griffin pass incomplete short right intended for Pierre Garcon,0.740,0.200
3,14:44,2,10,WAS 27,38,10,Alfred Morris right tackle for 3 yards (tackle by Tamba Hali and Akeem Jordan),0.200,-0.100
3,14:03,3,7,WAS 30,38,10,Robert Griffin pass incomplete short left intended for Santana Moss,-0.100,-1.370
3,13:57,4,7,WAS 30,38,10,"Saverio Rocca punts 39 yards, returned by Dexter McCluster for 17 yards (tackle by Josh Hull)",-1.370,-2.130
3,13:46,1,10,KAN 48,38,10,Alex Smith pass incomplete deep right intended for Dexter McCluster,2.130,1.580
3,13:41,2,10,KAN 48,38,10,Jamaal Charles left end for no gain (tackle by Jarvis Jenkins),1.580,0.890
3,13:00,3,10,KAN 48,38,10,Alex Smith pass complete short right to Dexter McCluster for 5 yards (tackle by Josh Wilson),0.890,0.130
3,12:08,4,5,WAS 47,38,10,"Dustin Colquitt punts 47 yards, touchback",0.130,-0.280
3,11:58,1,10,WAS 20,38,10,Robert Griffin pass incomplete short right intended for Fred Davis,0.280,-0.270
3,11:54,2,10,WAS 20,38,10,Robert Griffin pass complete deep left to Logan Paulsen for 27 yards (tackle by Eric Berry and Akeem Jordan),-0.270,2.060
3,11:17,1,10,WAS 47,38,10,Robert Griffin pass incomplete deep right intended for Pierre Garcon,2.060,1.520
3,11:09,2,10,WAS 47,38,10,Alfred Morris left end for no gain (tackle by Tyson Jackson and Derrick Johnson),1.520,0.830
3,10:26,3,10,WAS 47,38,10,Robert Griffin pass incomplete short right intended for Pierre Garcon (defended by Marcus Cooper),0.830,-0.260
3,10:22,4,10,WAS 47,38,10,"Saverio Rocca punts 38 yards, out of bounds",-0.260,0.220
3,10:14,1,10,KAN 15,38,10,Jamaal Charles right end for 7 yards (tackle by Ryan Kerrigan and London Fletcher),-0.220,0.350
3,9:34,2,3,KAN 22,38,10,"Alex Smith pass incomplete short right intended for Jamaal Charles. Penalty on Ryan Kerrigan: Illegal Contact, 5 yards (no play)",0.350,0.740
3,9:29,1,10,KAN 27,38,10,Jamaal Charles right guard for 4 yards (tackle by DeAngelo Hall),0.740,0.740
3,8:49,2,6,KAN 31,38,10,Alex Smith pass complete short right to Dwayne Bowe for 10 yards (tackle by London Fletcher),0.740,1.660
3,8:11,1,10,KAN 41,38,10,Knile Davis right tackle for 1 yard (tackle by Brian Orakpo and Chris Baker),1.660,1.260
3,7:32,2,9,KAN 42,38,10,Alex Smith pass complete short middle to Sean McGrath for 11 yards (tackle by Chris Neild),1.260,2.460
3,6:53,1,10,WAS 47,38,10,"Knile Davis left tackle for 3 yards (tackle by Kedric Golston). Penalty on Jeff Allen: Offensive Holding, 10 yards (no play)",2.460,1.800
3,6:25,1,20,KAN 43,38,10,Alex Smith pass incomplete short middle intended for Sean McGrath,1.800,0.560
3,6:18,2,20,KAN 43,38,10,Jamaal Charles right end for 35 yards (tackle by Bacarri Rambo),0.560,4.110
3,5:29,1,10,WAS 22,38,10,Knile Davis right tackle for 3 yards (tackle by Ryan Kerrigan and Reed Doughty),4.110,3.970
3,4:52,2,7,WAS 19,38,10,Alex Smith pass incomplete short middle intended for Knile Davis,3.970,3.260
3,4:46,3,7,WAS 19,38,10,Alex Smith pass complete short middle to Jamaal Charles for 3 yards (tackle by London Fletcher and Brian Orakpo),3.260,2.450
3,4:07,4,4,WAS 16,38,10,Ryan Succop 34 yard field goal no good,2.450,-0.540
3,4:01,1,10,WAS 24,38,10,Robert Griffin sacked by Tyson Jackson for 0 yards,0.540,0.000
3,3:22,2,10,WAS 24,38,10,Robert Griffin right end for 18 yards (tackle by Marcus Cooper),0.000,1.730
3,2:53,1,10,WAS 42,38,10,Alfred Morris left tackle for 1 yard (tackle by Eric Berry and Quintin Demps),1.730,1.320
3,2:12,2,9,WAS 43,38,10,Robert Griffin pass incomplete short left intended for Aldrick Robinson (defended by Sean Smith),1.320,0.630
3,2:07,3,9,WAS 43,38,10,Robert Griffin pass incomplete short right intended for Santana Moss,0.630,-0.520
3,2:02,4,9,WAS 43,38,10,"Saverio Rocca punts 37 yards, returned by Dexter McCluster for no gain",-0.520,-0.280
3,1:53,1,10,KAN 20,38,10,Jamaal Charles right end for 17 yards (tackle by E.J. Biggers),0.280,1.400
3,1:22,1,10,KAN 37,38,10,Jamaal Charles right tackle for 33 yards (tackle by Brian Orakpo),1.400,3.580
3,0:34,1,10,WAS 30,38,10,Knile Davis right end for 6 yards (tackle by Reed Doughty),3.580,3.840
Quarter,Time,Down,ToGo,Location,KAN,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,WAS 24,38,10,Knile Davis left guard for 3 yards (tackle by Ryan Kerrigan and Barry Cofield),3.840,3.530
4,14:22,3,1,WAS 21,38,10,Alex Smith right end for 4 yards (tackle by London Fletcher),3.530,4.440
4,13:45,1,10,WAS 17,44,10,"Knile Davis right tackle for 17 yards, touchdown",4.440,7.000
4,13:45,,,WAS 2,45,10,Ryan Succop kicks extra point good,0.000,0.000
4,13:45,,,KAN 35,45,10,"Ryan Succop kicks off 60 yards, returned by Niles Paul for 22 yards (tackle by Anthony Sherman)",0.000,-0.740
4,13:31,1,10,WAS 27,45,10,Kirk Cousins pass incomplete short right intended for Fred Davis,0.740,0.200
4,13:23,2,10,WAS 27,45,10,Kirk Cousins pass complete short middle to Josh Morgan for 15 yards (tackle by Sean Smith),0.200,1.730
4,12:45,1,10,WAS 42,45,10,Kirk Cousins pass complete short right to Aldrick Robinson for 11 yards (tackle by Kendrick Lewis),1.730,2.460
4,12:08,1,10,KAN 47,45,10,"Kirk Cousins sacked by Frank Zombo for -12 yards. Kirk Cousins fumbles (forced by Frank Zombo), recovered by Tyler Polumbus at WAS-38",2.460,-0.110
4,11:23,2,25,WAS 38,45,10,Kirk Cousins pass complete short left to Pierre Garcon for 7 yards (tackle by Brandon Flowers),-0.110,0.170
4,10:43,3,18,WAS 45,45,10,Kirk Cousins pass incomplete deep middle intended for Logan Paulsen (defended by Derrick Johnson),0.170,-0.390
4,10:36,4,18,WAS 45,45,10,"Saverio Rocca punts 47 yards, returned by Dexter McCluster for 2 yards (tackle by Josh Bellamy)",-0.390,0.380
4,10:27,1,10,KAN 10,45,10,Knile Davis right end for -1 yards (tackle by DeAngelo Hall),-0.380,-0.850
4,9:50,2,11,KAN 9,45,10,Chase Daniel pass complete short left to Knile Davis for 17 yards (tackle by DeAngelo Hall),-0.850,0.670
4,9:16,1,10,KAN 26,45,10,Knile Davis right tackle for 2 yards (tackle by Brian Orakpo),0.670,0.400
4,8:38,2,8,KAN 28,45,10,Knile Davis right end for 1 yard (tackle by Jarvis Jenkins),0.400,-0.160
4,7:32,3,7,KAN 29,45,10,Chase Daniel pass incomplete deep right intended for Cyrus Gray is intercepted by Perry Riley at KAN-45,-0.160,-2.590
4,7:25,1,10,KAN 45,45,10,Kirk Cousins pass complete short middle to Santana Moss for 10 yards (tackle by Derrick Johnson). Penalty on Frank Zombo: Defensive Offside (Declined),2.590,3.250
4,7:11,1,10,KAN 35,45,10,Kirk Cousins pass incomplete deep left intended for Josh Morgan,3.250,2.700
4,7:05,2,10,KAN 35,45,10,Kirk Cousins pass incomplete deep right intended for Pierre Garcon (defended by Marcus Cooper),2.700,2.010
4,6:58,3,10,KAN 35,45,10,"Kirk Cousins pass complete short middle to Logan Paulsen for 10 yards (tackle by James-Michael Johnson). Logan Paulsen fumbles (forced by James-Michael Johnson), recovered by Ron Parker at KAN-25 and returned for 20 yards (tackle by Chris Chester). Penalty on Brandon Flowers: Chop Block, 15 yards",2.010,-0.940
4,6:46,1,10,KAN 30,45,10,Knile Davis left end for 2 yards (tackle by London Fletcher and Perry Riley),0.940,0.660
4,6:04,2,8,KAN 32,45,10,Knile Davis left end for -2 yards (tackle by Chris Neild),0.660,-0.300
4,5:25,3,10,KAN 30,45,10,Chase Daniel pass incomplete short middle intended for Junior Hemingway,-0.300,-1.370
4,5:21,4,10,KAN 30,45,10,Dustin Colquitt punts 37 yards,-1.370,-1.140
4,5:10,1,10,WAS 33,45,10,Kirk Cousins pass complete short left to Roy Helu for 2 yards (tackle by James-Michael Johnson),1.140,0.860
4,4:44,2,8,WAS 35,45,10,Kirk Cousins pass incomplete short right intended for Logan Paulsen (defended by James-Michael Johnson),0.860,0.170
4,4:40,3,8,WAS 35,45,10,"Kirk Cousins pass complete short left to Logan Paulsen for 7 yards (tackle by Quintin Demps and Husain Abdullah). Penalty on Mike Catapano: Defensive Offside, 5 yards (no play)",0.170,0.830
4,4:34,3,3,WAS 40,45,10,Kirk Cousins pass incomplete short left intended for Roy Helu,0.830,-0.720
4,4:29,4,3,WAS 40,45,10,Kirk Cousins pass incomplete short middle intended for Roy Helu,-0.720,-2.920
4,4:23,1,10,WAS 40,45,10,Cyrus Gray right tackle for 3 yards (tackle by Brian Orakpo),2.920,2.780
4,3:49,2,7,WAS 37,45,10,Cyrus Gray left guard for 3 yards (tackle by London Fletcher and Josh Wilson),2.780,2.480
4,3:07,3,4,WAS 34,45,10,Cyrus Gray right guard for 2 yards (tackle by Ryan Kerrigan),2.480,1.300
4,2:28,4,2,WAS 32,45,10,Knile Davis right end for -2 yards (tackle by Barry Cofield and Kedric Golston),1.300,-1.200
4,2:22,1,10,WAS 34,45,10,Kirk Cousins pass incomplete short left intended for Roy Helu,1.200,0.660
4,2:17,2,10,WAS 34,45,10,Kirk Cousins pass complete short left to Pierre Garcon for 4 yards (tackle by Brandon Flowers),0.660,0.500
4,2:00,3,6,WAS 38,45,10,Kirk Cousins pass incomplete short middle intended for Santana Moss,0.500,-0.850
4,1:54,4,6,WAS 38,45,10,Roy Helu right end for 5 yards (tackle by Allen Bailey),-0.850,-2.720
4,1:43,1,10,WAS 43,45,10,Chase Daniel kneels for -1 yards,2.720,2.040
4,0:57,2,11,WAS 44,45,10,Chase Daniel kneels for -1 yards,2.040,1.220
4,0:30,3,12,WAS 45,45,10,Chase Daniel kneels for -1 yards,1.220,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
