Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
3,3:37,1,10,DAL 43,38,14,Kareem Hunt right tackle for 11 yards (tackle by Jaylon Smith and Trevon Diggs),2.720,3.450
3,2:57,1,10,DAL 32,38,14,Kareem Hunt left end for -2 yards (tackle by Trysten Hill),3.450,2.630
3,2:15,2,12,DAL 34,38,14,D'Ernest Johnson right guard for 3 yards (tackle by Xavier Woods and Dontari Poe),2.630,2.340
3,1:34,3,9,DAL 31,38,14,Baker Mayfield pass complete short left to Austin Hooper for 5 yards (tackle by Xavier Woods),2.340,1.810
3,0:45,,,,,,Timeout #1 by Cleveland Browns,,
3,0:45,4,4,DAL 26,41,14,Cody Parkey 44 yard field goal good,1.810,3.000
3,0:40,,,CLE 35,41,14,"Cody Parkey kicks off 70 yards, returned by Tony Pollard for 28 yards (tackle by Tavierre Thomas)",0.000,0.480
3,0:34,1,10,DAL 23,41,14,Dak Prescott pass complete short left to Amari Cooper for 10 yards (tackle by Terrance Mitchell),0.480,1.140
3,0:08,1,10,DAL 33,41,14,Dak Prescott pass complete short left to Ezekiel Elliott for 11 yards (tackle by Terrance Mitchell). Penalty on M.J. Stewart: Illegal Contact (Declined),1.140,1.860
Quarter,Time,Down,ToGo,Location,CLE,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 44,41,14,Dak Prescott pass incomplete short left intended for Michael Gallup,1.860,1.320
4,14:54,2,10,DAL 44,41,14,Dak Prescott pass complete short left to Amari Cooper for 14 yards (tackle by Terrance Mitchell),1.320,2.790
4,14:27,1,10,CLE 42,41,14,Dak Prescott pass complete short left to Ezekiel Elliott for 13 yards (tackle by Sione Takitaki),2.790,3.640
4,14:05,1,10,CLE 29,41,14,Dak Prescott pass complete short left to Noah Brown for 18 yards (tackle by Terrance Mitchell),3.640,4.840
4,13:44,1,10,CLE 11,41,14,Dak Prescott pass complete short left to Noah Brown for 7 yards (tackle by Terrance Mitchell),4.840,5.470
4,13:22,2,3,CLE 4,41,14,Ezekiel Elliott up the middle for 3 yards (tackle by Vincent Taylor),5.470,6.970
4,12:49,1,1,CLE 1,41,14,Ezekiel Elliott up the middle for -2 yards (tackle by M.J. Stewart),6.970,5.530
4,12:31,2,3,CLE 3,41,14,Dak Prescott pass incomplete short right intended for Michael Gallup,5.530,4.720
4,12:28,3,3,CLE 3,41,20,"Tony Pollard up the middle for 3 yards, touchdown",4.720,7.000
4,12:24,,,CLE 2,41,22,"Two Point Attempt: Dak Prescott pass complete to Ezekiel Elliott, conversion succeeds",1.000,1.000
4,12:24,,,DAL 35,41,22,"Greg Zuerlein kicks off 60 yards, returned by Donovan Peoples-Jones for 20 yards (tackle by Darian Thompson)",0.000,0.610
4,12:16,1,10,CLE 25,41,22,D'Ernest Johnson right end for 2 yards (tackle by Everson Griffen),0.610,0.330
4,11:33,2,8,CLE 27,41,22,D'Ernest Johnson left tackle for 9 yards (tackle by Xavier Woods and Antwaun Woods),0.330,1.330
4,10:46,1,10,CLE 36,41,22,D'Ernest Johnson left tackle for 7 yards (tackle by Daryl Worley),1.330,1.740
4,10:01,2,3,CLE 43,41,22,Dontrell Hilliard right guard for 2 yards (tackle by Trevon Diggs and Antwaun Woods),1.740,1.290
4,9:20,3,1,CLE 45,41,22,Dontrell Hilliard right end for -5 yards (tackle by DeMarcus Lawrence),1.290,-0.720
4,8:34,4,6,CLE 40,41,22,"Penalty on CLE: Delay of Game, 5 yards (no play)",-0.720,-1.040
4,8:34,4,11,CLE 35,41,22,"Jamie Gillan punts 43 yards, returned by CeeDee Lamb for 4 yards (tackle by Tavierre Thomas). Penalty on C.J. Goodwin: Illegal Block Above the Waist, 10 yards",-1.040,0.140
4,8:21,1,10,DAL 16,41,22,Dak Prescott pass complete short left to Tony Pollard for 16 yards (tackle by Joe Jackson),-0.140,1.070
4,8:11,1,10,DAL 32,41,22,Dak Prescott pass complete short right to Amari Cooper for 11 yards (tackle by Jacob Phillips),1.070,1.800
4,7:52,1,10,DAL 43,41,22,"Penalty on Olivier Vernon: Neutral Zone Infraction, 5 yards (no play)",1.800,2.530
4,7:48,1,5,DAL 48,41,22,Dak Prescott pass complete short middle to Blake Bell for 12 yards (tackle by Andrew Sendejo),2.530,2.920
4,7:25,1,10,CLE 40,41,22,Dak Prescott pass incomplete short left intended for Cedrick Wilson,2.920,2.370
4,7:20,2,10,CLE 40,41,22,Dak Prescott pass complete short left to Noah Brown for 9 yards (tackle by Terrance Mitchell),2.370,2.870
4,6:57,3,1,CLE 31,41,22,Ezekiel Elliott left tackle for 5 yards (tackle by Olivier Vernon),2.870,3.840
4,6:32,1,10,CLE 26,41,28,"Dak Prescott pass complete deep middle to Dalton Schultz for 26 yards, touchdown",3.840,7.000
4,6:31,,,CLE 2,41,30,"Two Point Attempt: Dak Prescott rushes, conversion succeeds.",1.000,1.000
4,6:31,,,DAL 35,41,30,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,6:31,1,10,CLE 25,41,30,D'Ernest Johnson up the middle for 6 yards (tackle by Antwaun Woods and Jaylon Smith),0.610,0.870
4,6:25,,,,,,Timeout #1 by Dallas Cowboys,,
4,6:23,2,4,CLE 31,41,30,Baker Mayfield sacked by Donovan Wilson for -1 yards,0.870,0.040
4,6:16,,,,,,Timeout #2 by Dallas Cowboys,,
4,6:16,3,5,CLE 30,41,30,Baker Mayfield pass incomplete deep left intended for Odell Beckham,0.040,-1.370
4,6:11,4,5,CLE 30,41,30,"Jamie Gillan punts 45 yards, returned by CeeDee Lamb for -5 yards (tackle by Tavierre Thomas)",-1.370,-0.280
4,6:00,1,10,DAL 20,41,30,Dak Prescott pass complete short middle to Cedrick Wilson for 12 yards (tackle by B.J. Goodson),0.280,1.070
4,5:43,1,10,DAL 32,41,30,Dak Prescott pass complete short right to Ezekiel Elliott for 5 yards (tackle by Jordan Elliott and Andrew Sendejo),1.070,1.200
4,5:27,2,5,DAL 37,41,30,Dak Prescott pass complete short left to Dalton Schultz for 14 yards (tackle by Terrance Mitchell),1.200,2.320
4,5:15,1,10,CLE 49,41,30,Dak Prescott pass incomplete deep middle intended for Michael Gallup,2.320,1.780
4,5:09,2,10,CLE 49,41,30,Dak Prescott pass complete short left to Amari Cooper for 9 yards (tackle by Terrance Mitchell),1.780,2.280
4,4:48,3,1,CLE 40,41,30,Tony Pollard up the middle for 8 yards (tackle by B.J. Goodson and M.J. Stewart),2.280,3.450
4,4:28,1,10,CLE 32,41,30,Dak Prescott pass complete short middle to Amari Cooper for 16 yards (tackle by Karl Joseph),3.450,4.510
4,4:20,,,,,,Timeout #2 by Cleveland Browns,,
4,4:20,1,10,CLE 16,41,30,Dak Prescott pass incomplete short middle intended for Dalton Schultz,4.510,3.900
4,4:15,2,10,CLE 16,41,30,Dak Prescott up the middle for 11 yards (tackle by Malcolm Smith),3.900,6.060
4,3:51,1,5,CLE 5,41,30,Dak Prescott pass incomplete short right intended for Amari Cooper,6.060,5.150
4,3:47,2,5,CLE 5,41,36,"Dak Prescott pass complete short right to CeeDee Lamb for 5 yards, touchdown",5.150,7.000
4,3:42,,,CLE 2,41,38,"Two Point Attempt: Amari Cooper rushes, conversion succeeds.",1.000,1.000
4,3:42,,,DAL 35,41,38,"Greg Zuerlein kicks off 23 yards, returned by Dontrell Hilliard for 8 yards (tackle by C.J. Goodwin)",0.000,2.260
4,3:37,1,10,CLE 50,47,38,"Odell Beckham right end for 50 yards, touchdown",2.260,7.000
4,3:25,,,DAL 15,49,38,"Two Point Attempt: Stephen Carlson rushes, conversion succeeds.. Penalty on C.J. Goodwin: Defensive Offside, 5 yards",1.000,1.000
4,3:25,,,CLE 40,49,38,"Cody Parkey kicks off 60 yards, touchback.",0.000,0.610
4,3:25,1,10,DAL 25,47,38,Dak Prescott pass complete short left to Michael Gallup for 12 yards (tackle by Terrance Mitchell),0.610,1.400
4,3:02,1,10,DAL 37,49,38,Dak Prescott pass complete short right to Amari Cooper for 10 yards (tackle by Denzel Ward),1.400,2.060
4,2:43,1,10,DAL 47,49,38,Dak Prescott pass incomplete deep middle intended for Dalton Schultz,2.060,1.520
4,2:38,2,10,DAL 47,49,38,Dak Prescott pass complete short left to Blake Bell for 12 yards (tackle by Denzel Ward),1.520,2.850
4,2:16,1,10,CLE 41,47,38,Dak Prescott pass complete short middle to Ezekiel Elliott for 6 yards (tackle by B.J. Goodson),2.850,3.120
4,2:00,2,4,CLE 35,49,38,Dak Prescott pass complete short right to Amari Cooper for 11 yards (tackle by Tavierre Thomas),3.120,3.970
4,1:54,1,10,CLE 24,49,38,Dak Prescott pass incomplete deep left intended for Amari Cooper,3.970,3.430
4,1:48,2,10,CLE 24,49,38,Dak Prescott pass complete deep left to Cedrick Wilson for 16 yards,3.430,5.370
4,1:42,1,8,CLE 8,49,38,Dak Prescott pass short middle intended for Amari Cooper is intercepted by Denzel Ward at CLE-4 and returned for no gain,5.370,0.380
4,1:36,1,10,CLE 4,49,38,D'Ernest Johnson up the middle for 8 yards (tackle by Aldon Smith),-0.380,-0.200
4,1:30,,,,,,Timeout #3 by Dallas Cowboys,,
4,1:30,2,2,CLE 12,49,38,D'Ernest Johnson up the middle for 4 yards (tackle by Trevon Diggs and Antwaun Woods),-0.200,-0.140
4,0:44,1,10,CLE 16,49,38,Baker Mayfield kneels for -1 yards,-0.140,-0.780
4,0:25,2,11,CLE 15,49,38,Baker Mayfield kneels for -1 yards,-0.780,-1.610
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
