Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
2,5:41,1,10,CLE 48,6,10,Charlie Frye pass incomplete short left intended for Braylon Edwards (defended by Drayton Florence),2.130,1.580
2,5:38,2,10,CLE 48,6,10,Charlie Frye pass complete deep left to Joe Jurevicius for 17 yards. Penalty on Drayton Florence: Defensive Pass Interfere (Declined),1.580,3.250
2,5:18,1,10,SDG 35,6,10,Charlie Frye pass incomplete short right intended for Joe Jurevicius (defended by Quentin Jammer),3.250,2.700
2,5:12,2,10,SDG 35,6,10,Charlie Frye pass complete short left to Braylon Edwards for 1 yard (tackle by Quentin Jammer),2.700,2.150
2,4:27,3,9,SDG 34,6,10,Charlie Frye sacked by Jacques Cesaire for -3 yards,2.150,0.790
2,4:03,,,,6,10,Timeout #1 by San Diego Chargers,0.000,0.790
2,4:03,4,12,SDG 37,6,10,"Phil Dawson 54 yard field goal no good. Penalty on Antonio Cromartie: Unsportsmanlike Conduct, 15 yards (no play)",0.790,4.110
2,3:59,1,10,SDG 22,6,10,Reuben Droughns middle for 2 yards (tackle by Randall Godfrey and Clinton Hart),4.110,3.830
2,3:59,2,8,SDG 20,6,10,Charlie Frye pass incomplete intended for Braylon Edwards,3.830,3.140
2,3:59,3,8,SDG 20,6,10,Charlie Frye sacked by Luis Castillo for -5 yards,3.140,1.800
2,2:44,4,13,SDG 25,9,10,Phil Dawson 42 yard field goal good,1.800,3.000
2,,,,CLE 30,9,10,"Phil Dawson kicks off 70 yards, returned by Michael Turner for 25 yards (tackle by Justin Hamilton)",0.000,0.610
2,2:39,1,10,SDG 25,9,10,Philip Rivers sacked by Kamerion Wimbley for -7 yards,0.610,-0.980
2,2:16,2,17,SDG 18,9,10,Philip Rivers pass complete deep left to Eric Parker for 26 yards (tackle by Brian Russell),-0.980,1.860
2,2:00,1,10,SDG 44,9,10,"Philip Rivers pass complete deep middle to Keenan McCardell for 28 yards (tackle by Brodney Pool). Keenan McCardell fumbles (forced by Brodney Pool), recovered by Brodney Pool at CLE-28 (tackle by Keenan McCardell)",1.860,-0.810
,,,,,,,"Replay Assistant challenged the ruling, and the original play was overturned.",,
2,1:52,1,10,CLE 28,9,10,Charlie Frye pass complete short right to Kellen Winslow for 2 yards (tackle by Stephen Cooper and Quentin Jammer),0.810,0.530
2,1:26,2,8,CLE 30,9,10,Charlie Frye pass complete short middle to Kellen Winslow for 9 yards (tackle by Jacques Cesaire and Stephen Cooper),0.530,1.530
2,1:02,1,10,CLE 39,9,10,Charlie Frye pass complete short left to Braylon Edwards for 13 yards,1.530,2.390
2,0:58,1,10,SDG 48,9,10,Charlie Frye pass complete short right to Kellen Winslow for 12 yards (tackle by Drayton Florence),2.390,3.180
2,0:42,1,10,SDG 36,9,10,Charlie Frye spiked the ball,3.180,2.640
2,0:42,2,10,SDG 36,9,10,Charlie Frye pass complete short right to Kellen Winslow for 7 yards (tackle by Bhawoh Jue),2.640,2.870
2,0:19,3,3,SDG 29,9,10,Charlie Frye pass complete short middle to Braylon Edwards for 14 yards (tackle by Matt Wilhelm and Bhawoh Jue),2.870,4.580
2,0:15,,,,9,10,Timeout #3 by Cleveland Browns,0.000,4.580
2,0:15,1,10,SDG 15,9,10,Charlie Frye for 2 yards (tackle by Jacques Cesaire),4.580,4.280
2,0:09,,,,9,10,Timeout #2 by San Diego Chargers,0.000,4.280
2,0:09,2,8,SDG 13,9,10,Charlie Frye pass incomplete,4.280,3.400
2,0:04,3,8,SDG 13,12,10,Phil Dawson 30 yard field goal good,3.400,3.000
2,,,,CLE 30,12,10,Phil Dawson kicks onside 13 yards,0.000,0.940
Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 30,12,10,"Nate Kaeding kicks off 66 yards, returned by Josh Cribbs for 17 yards (tackle by Carlos Polk)",0.000,0.340
3,14:56,1,10,CLE 21,12,10,Reuben Droughns right end for no gain (tackle by Jamal Williams and Matt Wilhelm),0.340,-0.200
3,14:17,2,10,CLE 21,12,10,Reuben Droughns middle for 4 yards (tackle by Randall Godfrey and Jamal Williams),-0.200,-0.360
3,13:35,3,6,CLE 25,12,10,"Charlie Frye sacked by Derreck Robinson for -14 yards. Charlie Frye fumbles (forced by Derreck Robinson), recovered by Marlon McCree at CLE-11. Penalty on Quentin Jammer: Illegal Contact, 5 yards (no play)",-0.360,0.940
3,13:20,1,10,CLE 30,12,10,Reuben Droughns left tackle for 2 yards (tackle by Randall Godfrey and Ryon Bingham),0.940,0.660
3,12:40,2,8,CLE 32,12,10,Charlie Frye pass complete short right to Braylon Edwards for 5 yards (tackle by Quentin Jammer),0.660,0.630
3,11:58,3,3,CLE 37,12,10,Charlie Frye pass complete deep middle to Braylon Edwards for 20 yards (tackle by Quentin Jammer),0.630,2.720
3,11:14,1,10,SDG 43,12,10,Reuben Droughns middle for 1 yard (tackle by Carlos Polk),2.720,2.310
3,10:33,2,9,SDG 42,12,10,Charlie Frye pass incomplete short left intended for Kellen Winslow (defended by Randall Godfrey),2.310,1.620
3,10:27,3,9,SDG 42,12,10,Charlie Frye pass incomplete short middle intended for Braylon Edwards (defended by Clinton Hart),1.620,0.460
3,10:22,4,9,SDG 42,12,10,Dave Zastudil punts 34 yards,0.460,0.380
3,10:11,1,10,SDG 8,12,10,LaDainian Tomlinson middle for 3 yards (tackle by Ted Washington),-0.380,-0.560
3,9:29,2,7,SDG 11,12,10,Philip Rivers pass incomplete short right intended for Eric Parker (defended by Jereme Perry),-0.560,-1.070
3,9:22,3,7,SDG 11,12,10,Philip Rivers sacked by Simon Fraser for -3 yards,-1.070,-2.490
3,8:59,4,10,SDG 8,12,10,Mike Scifres punts 54 yards (tackle by Clinton Hart),-2.490,-1.930
3,8:47,1,10,CLE 45,12,10,"Charlie Frye pass incomplete deep left intended for Joe Jurevicius. Penalty on Drayton Florence: Defensive Holding, 5 yards (no play)",1.930,2.260
3,8:41,1,10,,12,10,Reuben Droughns right tackle for 2 yards (tackle by Igor Olshansky),2.260,1.980
3,7:59,2,8,SDG 48,12,10,Reuben Droughns middle for no gain (tackle by Jacques Cesaire and Igor Olshansky),1.980,1.290
3,7:19,,,,12,10,Timeout #1 by Cleveland Browns,0.000,1.290
3,7:19,3,8,SDG 48,12,10,Charlie Frye pass incomplete,1.290,0.070
3,7:13,4,8,SDG 48,12,10,"Dave Zastudil punts 34 yards, fair catch by Eric Parker",0.070,0.280
3,7:05,1,10,SDG 14,12,10,Philip Rivers pass complete short right to LaDainian Tomlinson for 7 yards (tackle by Simon Fraser),-0.280,0.280
3,6:26,2,3,SDG 21,12,10,LaDainian Tomlinson middle for 1 yard (tackle by D'Qwell Jackson and Kamerion Wimbley),0.280,-0.440
3,5:46,3,2,SDG 22,12,10,Philip Rivers pass complete short middle to Antonio Gates for 15 yards (tackle by Jereme Perry),-0.440,1.400
3,5:03,1,10,SDG 37,12,10,"Philip Rivers pass complete short right to LaDainian Tomlinson for 6 yards (tackle by Matt Stewart). Penalty on Matt Stewart: Unnecessary Roughness, 15 yards",1.400,2.790
3,4:36,1,10,CLE 42,12,10,Philip Rivers pass incomplete short left intended for Vincent Jackson,2.790,2.240
3,4:29,2,10,CLE 42,12,10,Philip Rivers pass complete short middle to Eric Parker for 5 yards (tackle by D'Qwell Jackson),2.240,2.210
3,3:44,3,5,CLE 37,12,10,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Simon Fraser),2.210,0.790
3,3:40,,,,12,10,Timeout #2 by Cleveland Browns,0.000,0.790
3,3:40,4,5,CLE 37,12,10,Mike Scifres punts 35 yards,0.790,0.380
3,3:32,1,10,CLE 2,12,10,Reuben Droughns middle for no gain (tackle by Carlos Polk and Jamal Williams),-0.380,-0.780
3,2:49,2,10,CLE 2,12,10,Reuben Droughns middle for no gain (tackle by Jamal Williams and Igor Olshansky),-0.780,-1.420
3,2:10,3,10,CLE 2,12,10,Reuben Droughns middle for no gain (tackle by Randall Godfrey and Marques Harris),-1.420,-2.490
3,1:28,4,10,CLE 2,12,10,"Dave Zastudil punts 55 yards, returned by Eric Parker for 16 yards (tackle by Leon Williams)",-2.490,-2.850
3,1:17,1,10,CLE 41,12,16,"LaDainian Tomlinson middle for 41 yards, touchdown",2.850,7.000
3,,,,CLE 2,12,17,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,12,17,Nate Kaeding kicks off 67 yards,0.000,1.600
3,1:08,1,10,CLE 40,12,17,Braylon Edwards left end for 8 yards (tackle by Igor Olshansky and Marques Harris),1.600,2.130
3,0:22,2,2,CLE 48,12,17,"Charlie Frye pass incomplete deep middle intended for Darnell Dinkins. Penalty on Randall Godfrey: Face Mask (15 Yards), 14 yards (no play)",2.130,3.050
3,0:12,1,10,SDG 38,12,17,Charlie Frye pass incomplete short right intended for Reuben Droughns,3.050,2.510
3,0:07,2,10,SDG 38,12,17,"Penalty on Derreck Robinson: Personal Foul, 15 yards",2.510,4.040
3,0:05,1,10,SDG 23,12,17,Charlie Frye pass complete short right to Terrelle Smith for no gain,4.040,3.500
Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,SDG 23,12,17,"Charlie Frye pass complete short right to Kellen Winslow for 4 yards (tackle by Randall Godfrey). Kellen Winslow fumbles (forced by Randall Godfrey), recovered by Steve Heiden at SDG-19",3.500,3.340
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
4,14:27,3,6,SDG 19,12,17,Charlie Frye pass incomplete short middle intended for Kellen Winslow (defended by Drayton Florence),3.340,2.210
4,14:23,4,6,SDG 19,15,17,Phil Dawson 36 yard field goal good,2.210,3.000
4,,,,CLE 30,15,17,"Phil Dawson kicks off 68 yards, returned by Michael Turner for 21 yards (tackle by Jereme Perry)",0.000,0.480
4,14:13,1,10,SDG 23,15,17,Philip Rivers pass complete short right to Keenan McCardell for 13 yards (tackle by Jereme Perry),0.480,1.330
4,13:36,1,10,SDG 36,15,17,Philip Rivers pass complete short left to LaDainian Tomlinson for 7 yards (tackle by Ralph Brown),1.330,1.740
4,13:10,2,3,SDG 43,15,17,LaDainian Tomlinson left end for 10 yards (tackle by D'Qwell Jackson),1.740,2.460
4,12:36,1,10,CLE 47,15,17,Philip Rivers pass complete short right to Malcom Floyd for 6 yards (tackle by Jereme Perry),2.460,2.720
4,12:02,2,4,CLE 41,15,17,LaDainian Tomlinson middle for 9 yards (tackle by Sean Jones),2.720,3.450
4,11:22,1,10,CLE 32,15,17,LaDainian Tomlinson middle for 2 yards (tackle by Alvin McKinley),3.450,3.170
4,10:42,2,8,CLE 30,15,17,Philip Rivers pass incomplete,3.170,2.480
4,10:36,3,8,CLE 30,15,17,Philip Rivers pass complete short left to Vincent Jackson for 11 yards (tackle by Ralph Brown),2.480,4.310
4,10:06,1,10,CLE 19,15,17,LaDainian Tomlinson middle for 12 yards (tackle by Brian Russell),4.310,5.600
4,9:20,1,7,CLE 7,15,23,"LaDainian Tomlinson right end for 7 yards, touchdown",5.600,7.000
4,,,,CLE 2,15,24,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,15,24,"Nate Kaeding kicks off 69 yards, returned by Josh Cribbs for 24 yards (tackle by Stephen Cooper)",0.000,0.610
4,9:08,1,10,CLE 25,15,24,"Charlie Frye pass incomplete short left intended for Joe Jurevicius. Penalty on Drayton Florence: Defensive Pass Interfere, 6 yards (no play)",0.610,1.000
4,9:05,1,10,CLE 31,15,24,Jerome Harrison left tackle for 2 yards (tackle by Igor Olshansky and Donnie Edwards),1.000,0.730
4,8:35,2,8,CLE 33,15,24,Charlie Frye pass incomplete short left intended for Braylon Edwards (defended by Marques Harris),0.730,0.040
4,8:31,3,8,CLE 33,15,24,"Penalty on Joe Andruzzi: False Start, 5 yards (no play)",0.040,-0.630
4,8:31,3,13,CLE 28,15,24,Charlie Frye pass complete short right to Kellen Winslow for 14 yards (tackle by Clinton Hart),-0.630,1.730
4,8:10,1,10,CLE 42,15,24,Charlie Frye pass complete short right to Kellen Winslow for 3 yards (tackle by Clinton Hart),1.730,1.590
4,7:31,2,7,CLE 45,15,24,Charlie Frye pass incomplete short right intended for Joe Jurevicius,1.590,0.890
4,7:26,3,7,CLE 45,15,24,Charlie Frye pass complete short right to Kellen Winslow for 9 yards (tackle by Quentin Jammer and Terrence Kiel),0.890,2.520
4,6:50,1,10,SDG 46,15,24,Charlie Frye pass incomplete short left intended for Josh Cribbs,2.520,1.980
4,6:46,2,10,SDG 46,15,24,Charlie Frye pass incomplete deep right intended for Dennis Northcutt,1.980,1.290
4,6:41,3,10,SDG 46,15,24,"Charlie Frye pass incomplete short left intended for Braylon Edwards. Penalty on Antonio Cromartie: Defensive Pass Interfere, 18 yards (no play)",1.290,3.710
4,6:34,1,10,SDG 28,15,24,"Jerome Harrison middle for 11 yards (tackle by Clinton Hart). Jerome Harrison fumbles (forced by Clinton Hart), recovered by Joe Jurevicius at SDG-12",3.710,4.780
4,5:53,1,10,SDG 12,15,24,Charlie Frye pass incomplete short left intended for Joe Jurevicius,4.780,4.100
4,5:53,2,10,SDG 12,15,24,Charlie Frye pass incomplete short right intended for Jerome Harrison,4.100,3.120
4,5:47,3,10,SDG 12,15,24,"Charlie Frye pass complete short left to Jerome Harrison for 12 yards. Penalty on Kevin Shaffer: Offensive Holding, 10 yards (no play)",3.120,2.210
4,5:39,3,20,SDG 22,15,24,Charlie Frye pass complete short right to Kellen Winslow for 4 yards (tackle by Quentin Jammer),2.210,2.250
4,5:32,4,16,SDG 18,18,24,Phil Dawson 35 yard field goal good,2.250,3.000
4,,,,CLE 30,18,24,"Phil Dawson kicks off 63 yards, returned by Eric Parker for 7 yards (tackle by Mason Unck)",0.000,-0.280
4,5:25,1,10,SDG 14,18,24,Philip Rivers pass complete short left to Lorenzo Neal for 21 yards (tackle by Sean Jones),-0.280,1.270
4,4:50,1,10,SDG 35,18,24,LaDainian Tomlinson middle for 4 yards (tackle by Matt Stewart and Nick Eason),1.270,1.260
4,4:12,2,6,SDG 39,18,24,LaDainian Tomlinson left tackle for 32 yards (tackle by Brian Russell),1.260,3.640
4,4:05,1,10,CLE 29,18,24,Michael Turner left end for 21 yards (tackle by Brian Russell),3.640,5.370
4,3:58,1,8,CLE 8,18,30,"LaDainian Tomlinson middle for 8 yards, touchdown",5.370,7.000
4,3:53,,,,18,30,Timeout #2 by San Diego Chargers,0.000,0.000
4,,,,,18,32,"Two Point Attempt: Philip Rivers pass complete to Vincent Jackson, conversion succeeds",1.000,1.000
4,,,,SDG 30,18,32,"Nate Kaeding kicks off 61 yards, returned by Lawrence Vickers for 22 yards (tackle by Matt Wilhelm)",0.000,1.000
4,3:47,1,10,CLE 31,18,32,Charlie Frye pass complete short middle to Joe Jurevicius for 7 yards (tackle by Donnie Edwards),1.000,1.410
4,3:23,2,3,CLE 38,18,32,Charlie Frye right end for 9 yards (tackle by Akbar Gbaja-Biamila),1.410,2.060
4,3:18,1,10,CLE 47,18,32,Charlie Frye pass complete short middle to Braylon Edwards for 9 yards (tackle by Terrence Kiel),2.060,2.730
4,2:52,2,1,SDG 44,18,32,Charlie Frye pass complete short right to Kellen Winslow for 2 yards,2.730,2.790
4,2:45,1,10,SDG 42,18,32,Charlie Frye pass complete short middle to Kellen Winslow for 12 yards (tackle by Terrence Kiel and Donnie Edwards),2.790,3.580
4,2:14,1,10,SDG 30,18,32,Charlie Frye sacked by Marques Harris for 0 yards,3.580,3.030
4,2:07,2,10,SDG 30,18,32,Charlie Frye pass complete short left to Steve Heiden for 8 yards (tackle by Drayton Florence),3.030,3.400
4,2:00,3,2,SDG 22,18,32,Charlie Frye middle for 11 yards (tackle by Donnie Edwards),3.400,4.840
4,1:33,1,10,SDG 11,18,32,Charlie Frye pass complete short right to Dennis Northcutt for 7 yards (tackle by Quentin Jammer and Terrence Kiel),4.840,5.470
4,1:21,,,,18,32,Timeout #3 by Cleveland Browns,0.000,5.470
4,1:21,2,3,SDG 4,18,32,Charlie Frye pass incomplete short left intended for Joe Jurevicius (defended by Antonio Cromartie),5.470,4.670
4,1:16,3,3,SDG 4,24,32,"Charlie Frye pass complete short middle to Braylon Edwards for 4 yards, touchdown",4.670,7.000
4,,,,SDG 2,25,32,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,25,32,Phil Dawson kicks onside 12 yards,0.000,2.790
4,1:11,1,10,CLE 42,25,32,Philip Rivers kneels for -2 yards,2.790,1.970
4,0:33,2,12,CLE 44,25,32,Philip Rivers kneels for -1 yards,1.970,1.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
