Quarter,Time,Down,ToGo,Location,IND,CHI,Detail,EPB,EPA
2,0:02,1,10,CHI 34,13,3,Nick Foles kneels for -1 yards,1.200,0.520
Quarter,Time,Down,ToGo,Location,IND,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,13,3,"Cairo Santos kicks off 66 yards, returned by Isaiah Rodgers for 24 yards (tackle by J.P. Holtz)",0.000,0.480
3,14:54,1,10,IND 23,13,3,Jonathan Taylor left guard for 3 yards (tackle by Danny Trevathan),0.480,0.340
3,14:12,2,7,IND 26,13,3,Jordan Wilkins left end for 6 yards (tackle by Roquan Smith),0.340,0.430
3,13:41,3,1,IND 32,13,3,Jordan Wilkins left guard for -3 yards (tackle by Eddie Jackson and Akiem Hicks),0.430,-1.440
3,13:02,4,4,IND 29,13,3,"Rigoberto Sanchez punts 55 yards, returned by Ted Ginn for 8 yards (tackle by George Odum)",-1.440,-0.540
3,12:50,1,10,CHI 24,13,3,Nick Foles sacked by Justin Houston for -8 yards,0.540,-1.220
3,12:05,2,18,CHI 16,13,3,Nick Foles pass incomplete deep right intended for Darnell Mooney,-1.220,-2.050
3,12:00,3,18,CHI 16,13,3,Nick Foles pass complete short right to Ted Ginn for 5 yards (tackle by Kenny Moore),-2.050,-1.960
3,11:16,4,13,CHI 21,13,3,"Pat O'Donnell punts 42 yards, returned by Nyheim Hines for 14 yards (tackle by Josh Woods)",-1.960,-2.320
3,11:05,1,10,CHI 49,13,3,Philip Rivers pass incomplete deep left intended for Zach Pascal,2.320,1.780
3,11:01,2,10,CHI 49,13,3,Nyheim Hines right guard for no gain (tackle by Tashaun Gipson),1.780,1.090
3,10:20,3,10,CHI 49,13,3,Philip Rivers pass incomplete short right intended for T.Y. Hilton,1.090,0.000
3,10:16,4,10,CHI 49,13,3,"Rigoberto Sanchez punts 39 yards downed by Ashton Dulin. Penalty on Buster Skrine: Offensive Holding, 5 yards",0.000,0.380
3,10:08,1,10,CHI 5,13,3,David Montgomery left guard for 1 yard (tackle by Anthony Walker),-0.380,-0.710
3,9:22,2,9,CHI 6,13,3,Nick Foles pass complete short right to Jimmy Graham for 11 yards (tackle by Kenny Moore),-0.710,-0.060
3,8:52,1,10,CHI 17,13,3,Nick Foles pass incomplete short middle intended for Allen Robinson (defended by Julian Blackmon),-0.060,-0.580
3,8:48,2,10,CHI 17,13,3,Nick Foles pass complete short middle to Darnell Mooney for 3 yards (tackle by Anthony Walker),-0.580,-0.870
3,8:05,3,7,CHI 20,13,3,Nick Foles pass complete short middle to Anthony Miller for 12 yards (tackle by Khari Willis),-0.870,1.070
