Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
3,14:55,1,10,CHI 23,3,9,Kyle Orton pass incomplete short right intended for Rashied Davis (defended by Jamaal Anderson),0.480,-0.070
3,14:51,2,10,CHI 23,3,9,Matt Forte left end for 5 yards (tackle by Michael Boley),-0.070,-0.100
3,14:12,3,5,CHI 28,3,9,Kyle Orton pass incomplete short right intended for Rashied Davis (defended by Jamaal Anderson),-0.100,-1.500
3,14:08,4,5,CHI 28,3,9,"Brad Maynard punts 57 yards, returned by Adam Jennings for 6 yards (tackle by Danieal Manning)",-1.500,-0.340
3,13:55,1,10,ATL 21,3,9,Jerious Norwood up the middle for 21 yards (tackle by Kevin Payne),0.340,1.730
3,13:08,1,10,ATL 42,3,9,Matt Ryan pass complete deep left to Harry Douglas for 19 yards (tackle by Mike Brown),1.730,2.980
3,13:05,1,10,CHI 39,3,9,Michael Turner left tackle for 3 yards (tackle by Lance Briggs),2.980,2.850
3,12:31,2,7,CHI 36,3,9,Michael Turner left tackle for 11 yards (tackle by Lance Briggs),2.850,3.910
3,12:04,1,10,CHI 25,3,9,Michael Turner right end for -3 yards (tackle by Dusty Dvoracek),3.910,2.960
3,11:27,2,13,CHI 28,3,9,Matt Ryan pass complete short left to Michael Jenkins for 5 yards (tackle by Marcus Hamilton),2.960,2.940
3,10:45,3,8,CHI 23,3,9,Matt Ryan pass incomplete short right intended for Roddy White,2.940,1.930
3,10:41,4,8,CHI 23,3,12,Jason Elam 41 yard field goal good,1.930,3.000
3,,,,ATL 30,3,12,"Michael Koenen kicks off 66 yards, returned by Devin Hester for 14 yards (tackle by Stephen Nicholas)",0.000,0.040
3,10:30,1,10,CHI 18,3,12,Matt Forte left tackle for 7 yards (tackle by Curtis Lofton),0.040,0.550
3,9:46,2,3,CHI 25,3,12,Matt Forte up the middle for no gain (tackle by Jamaal Anderson),0.550,-0.270
3,9:14,3,3,CHI 25,3,12,Matt Forte up the middle for 20 yards (tackle by John Abraham),-0.270,1.930
3,8:35,1,10,CHI 45,3,12,Matt Forte right end for 2 yards (tackle by Michael Boley),1.930,1.650
3,7:51,2,8,CHI 47,3,12,Kevin Jones right tackle for no gain (tackle by Curtis Lofton),1.650,0.960
3,7:06,3,8,CHI 47,3,12,Kyle Orton pass complete short right to Devin Hester for 7 yards (tackle by Erik Coleman),0.960,0.200
3,6:24,4,1,ATL 46,3,12,Matt Forte left tackle for 2 yards (tackle by Keith Brooking and Michael Boley),0.200,2.650
3,5:45,1,10,ATL 44,3,12,Kyle Orton pass complete deep right to Devin Hester for 16 yards (tackle by Brent Grimes),2.650,3.710
3,4:58,1,10,ATL 28,3,12,Matt Forte up the middle for 5 yards (tackle by Kroy Biermann),3.710,3.840
3,4:15,2,5,ATL 23,3,12,Kyle Orton pass incomplete deep right intended for Devin Hester,3.840,3.140
3,4:09,3,5,ATL 23,3,12,Kyle Orton pass complete short left to Marty Booker for 11 yards (tackle by Chris Houston),3.140,4.780
3,3:31,1,10,ATL 12,3,12,Kyle Orton pass complete short middle to Matt Forte for 6 yards,4.780,5.210
3,3:04,2,4,ATL 6,3,12,Matt Forte right end for 3 yards (tackle by Curtis Lofton),5.210,5.060
3,2:29,3,1,ATL 3,9,12,"Matt Forte left guard for 3 yards, touchdown",5.060,7.000
3,,,,ATL 2,10,12,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,10,12,"Robbie Gould kicks off 70 yards, returned by Jerious Norwood for 24 yards (tackle by Craig Steltz)",0.000,0.540
3,2:17,1,10,ATL 24,10,12,Michael Turner left tackle for 1 yard (tackle by Kevin Payne),0.540,0.130
3,1:40,2,9,ATL 25,10,12,Michael Turner up the middle for no gain (tackle by Kevin Payne),0.130,-0.560
3,1:08,3,9,ATL 25,10,12,Matt Ryan pass complete deep middle to Harry Douglas for 47 yards (tackle by Kevin Payne),-0.560,3.710
3,0:34,1,10,CHI 28,10,12,"Matt Ryan pass incomplete deep middle intended for Roddy White (defended by Marcus Hamilton). Penalty on Todd McClure: Chop Block, 15 yards, Penalty on Sam Baker: Chop Block (Declined) (no play)",3.710,2.720
3,0:26,1,25,CHI 43,10,12,Matt Ryan pass incomplete short right intended for Roddy White,2.720,1.140
3,0:21,2,25,CHI 43,10,12,Matt Ryan pass complete deep right to Roddy White for 26 yards (tackle by Corey Graham),1.140,4.440
Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 17,10,12,Michael Turner left end for -1 yards (tackle by Brian Urlacher),4.440,3.720
4,14:26,2,11,CHI 18,10,12,Matt Ryan pass incomplete short right intended for Jerious Norwood,3.720,3.000
