Quarter,Time,Down,ToGo,Location,SEA,CLE,Detail,EPB,EPA
1,1:19,1,10,CLE 8,6,14,Baker Mayfield pass complete short right to Odell Beckham for 9 yards (tackle by Mychal Kendricks),-0.380,0.050
1,0:35,2,1,CLE 17,6,14,Nick Chubb left guard for 52 yards (tackle by Tre Flowers),0.050,3.510
Quarter,Time,Down,ToGo,Location,SEA,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 31,6,20,"Baker Mayfield pass complete deep right to Ricky Seals-Jones for 31 yards, touchdown",3.510,7.000
2,14:54,,,SEA 15,6,20,Austin Seibert kicks extra point no good wide left,0.000,-1.000
2,14:54,,,CLE 35,6,20,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
2,14:54,1,10,SEA 25,6,20,"Chris Carson left tackle for 1 yard (tackle by T.J. Carrie). Penalty on David Moore: Offensive Holding, 10 yards",0.610,-0.280
2,14:31,1,19,SEA 16,6,20,"Penalty on Malik Turner: False Start, 5 yards (no play)",-0.280,-0.850
2,14:08,1,24,SEA 11,6,20,Chris Carson left guard for 2 yards (tackle by Mack Wilson and Joe Schobert),-0.850,-1.640
2,13:28,2,22,SEA 13,6,20,"Russell Wilson pass complete deep left to Tyler Lockett for 20 yards. Penalty on Larry Ogunjobi: Roughing the Passer, 15 yards",-1.640,2.130
2,13:03,1,10,SEA 48,6,20,Russell Wilson pass complete short left to Chris Carson for 7 yards (tackle by Morgan Burnett),2.130,2.530
2,12:39,2,3,CLE 45,6,20,Chris Carson left guard for 23 yards (tackle by Damarious Randall),2.530,4.110
2,12:19,1,10,CLE 22,6,20,C.J. Prosise right tackle for 4 yards (tackle by Terrance Mitchell),4.110,4.130
2,11:38,2,6,CLE 18,6,20,Russell Wilson sacked by Damarious Randall for -2 yards,4.130,3.140
2,10:54,3,8,CLE 20,6,20,Russell Wilson pass incomplete deep left intended for Will Dissly,3.140,2.120
2,10:49,4,8,CLE 20,9,20,Jason Myers 38 yard field goal good,2.120,3.000
2,10:46,,,SEA 35,9,20,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,10:46,1,10,CLE 25,9,20,Nick Chubb right guard for 1 yard (tackle by Quinton Jefferson),0.610,0.200
2,10:21,2,9,CLE 26,9,20,Baker Mayfield pass incomplete deep right intended for Antonio Callaway (defended by Shaquill Griffin),0.200,-0.490
2,10:16,3,9,CLE 26,9,20,Baker Mayfield pass incomplete short left intended for Odell Beckham,-0.490,-1.630
2,10:13,4,9,CLE 26,9,20,"Jamie Gillan punts blocked by David Moore, recovered by Malik Turner",-1.630,-4.240
2,10:06,1,10,CLE 20,9,20,Russell Wilson left tackle for -7 yards (tackle by T.J. Carrie),4.240,2.750
2,9:23,2,17,CLE 27,9,20,Russell Wilson pass complete short right to D.K. Metcalf for 19 yards (tackle by Damarious Randall),2.750,5.370
2,8:51,,,,,,Timeout #1 by Seattle Seahawks,,
2,8:51,1,8,CLE 8,9,20,Chris Carson right guard for 4 yards (tackle by Joe Schobert and Morgan Burnett),5.370,5.340
2,8:17,2,4,CLE 4,9,20,Russell Wilson right end for 2 yards (tackle by Sheldon Richardson),5.340,4.950
2,7:32,3,2,CLE 2,9,20,Russell Wilson pass incomplete short left intended for Jaron Brown,4.950,3.250
2,7:28,4,2,CLE 2,12,20,Jason Myers 20 yard field goal good,3.250,3.000
2,7:25,,,SEA 35,12,20,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,7:24,1,10,CLE 25,12,20,Baker Mayfield pass complete short left to Ricky Seals-Jones for 11 yards (tackle by K.J. Wright),0.610,1.330
2,6:51,1,10,CLE 36,12,20,Baker Mayfield pass complete deep left to Odell Beckham for 18 yards (tackle by Tre Flowers),1.330,2.520
2,6:23,1,10,SEA 46,12,20,Baker Mayfield pass incomplete short left intended for Odell Beckham,2.520,1.980
2,6:20,2,10,SEA 46,12,20,Baker Mayfield pass short left intended for Odell Beckham is intercepted by Tre Flowers at SEA-39 and returned for no gain,1.980,-1.530
2,6:12,1,10,SEA 39,12,20,Chris Carson right tackle for 6 yards (tackle by Terrance Mitchell and Devaroe Lawrence),1.530,1.800
2,5:35,2,4,SEA 45,12,20,Chris Carson left guard for 1 yard (tackle by Joe Schobert),1.800,1.220
2,5:14,3,3,SEA 46,12,20,Russell Wilson pass incomplete deep left intended for C.J. Prosise,1.220,-0.320
2,5:10,4,3,SEA 46,12,20,"Michael Dickson punts 54 yards, touchback.",-0.320,-0.280
2,5:02,1,10,CLE 20,12,20,Baker Mayfield pass complete deep right to Odell Beckham for 41 yards (tackle by Tedric Thompson),0.280,2.980
2,4:48,1,10,SEA 39,12,20,Nick Chubb left guard for 3 yards (tackle by Ezekiel Ansah),2.980,2.850
2,4:12,2,7,SEA 36,12,20,Nick Chubb right guard for 6 yards (tackle by Tedric Thompson and Al Woods),2.850,2.940
2,3:46,3,1,SEA 30,12,20,Baker Mayfield right guard for 2 yards (tackle by Al Woods),2.940,3.710
2,3:02,1,10,SEA 28,12,20,Baker Mayfield pass incomplete short right intended for Ricky Seals-Jones (defended by Mychal Kendricks),3.710,3.170
2,2:59,2,10,SEA 28,12,20,Baker Mayfield pass complete short left to Nick Chubb for 6 yards (tackle by Jadeveon Clowney and K.J. Wright),3.170,3.270
2,2:13,3,4,SEA 22,12,20,Baker Mayfield pass complete short left to Antonio Callaway for 10 yards (tackle by Tedric Thompson and Jamar Taylor),3.270,4.780
2,2:00,1,10,SEA 12,12,20,Nick Chubb left guard for 2 yards (tackle by Bobby Wagner),4.780,4.450
2,1:36,2,8,SEA 10,12,20,Baker Mayfield pass short right (defended by Shaquill Griffin) intended for Jarvis Landry is intercepted by Tedric Thompson at SEA-0 and returned for 18 yards,4.450,0.350
2,1:29,1,10,SEA 12,12,20,Russell Wilson pass complete short left to Chris Carson for 4 yards (tackle by Mack Wilson),-0.350,-0.370
2,1:24,2,6,SEA 16,12,20,Russell Wilson pass complete short left to David Moore for 14 yards (tackle by Joe Schobert),-0.370,0.940
2,1:03,1,10,SEA 30,12,20,Russell Wilson left end for 11 yards (tackle by Sheldon Richardson),0.940,1.660
2,0:56,1,10,SEA 41,12,20,Russell Wilson pass complete short left to C.J. Prosise for 15 yards (tackle by Jermaine Whitehead),1.660,2.650
2,0:51,1,10,CLE 44,12,20,Russell Wilson pass complete short middle to Tyler Lockett for 22 yards (tackle by Eric Murray),2.650,4.110
2,0:42,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:42,1,10,CLE 22,12,20,Russell Wilson pass incomplete deep left intended for C.J. Prosise,4.110,3.560
2,0:37,2,10,CLE 22,12,20,"Russell Wilson sacked by Myles Garrett for no gain. Penalty on Myles Garrett: Defensive Offside, 5 yards (no play)",3.560,4.290
2,0:32,2,5,CLE 17,12,20,Russell Wilson pass incomplete deep left,4.290,3.560
2,0:27,3,5,CLE 17,18,20,"Russell Wilson pass complete deep right to Jaron Brown for 17 yards, touchdown, touchdown",3.560,7.000
2,0:22,,,CLE 2,18,20,"Two Point Attempt: C.J. Prosise rushes, conversion fails.",1.000,-1.000
2,0:22,,,SEA 35,18,20,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,0:22,1,10,CLE 25,18,20,Baker Mayfield pass complete short right to Odell Beckham for 9 yards (tackle by Shaquill Griffin),0.610,1.280
2,0:15,2,1,CLE 34,18,20,Baker Mayfield pass complete short right to Dontrell Hilliard for 14 yards (tackle by Shaquill Griffin),1.280,2.130
2,0:07,1,10,CLE 48,18,20,Baker Mayfield pass incomplete short left intended for Ricky Seals-Jones,2.130,1.580
2,0:03,2,10,CLE 48,18,20,Baker Mayfield pass incomplete deep right (defended by Shaquill Griffin),1.580,0.890
Quarter,Time,Down,ToGo,Location,SEA,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,18,20,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SEA 25,18,20,D.K. Metcalf right end for 4 yards (tackle by T.J. Carrie and Joe Schobert),0.610,0.600
3,14:22,2,6,SEA 29,18,20,"Russell Wilson left end for 4 yards (tackle by Mack Wilson). Penalty on Justin Britt: Offensive Holding, 10 yards (no play)",0.600,-0.810
3,13:51,2,16,SEA 19,18,20,"Russell Wilson sacked by Myles Garrett for -5 yards. Russell Wilson fumbles (forced by Myles Garrett), recovered by Germain Ifedi at SEA-14",-0.810,-2.550
3,13:04,3,21,SEA 14,18,20,Russell Wilson pass complete short left to Chris Carson for 3 yards (tackle by Mack Wilson),-2.550,-2.320
3,12:42,4,18,SEA 17,18,20,"Michael Dickson punts 48 yards, returned by Jarvis Landry for 5 yards (tackle by Nick Bellore)",-2.320,-1.600
3,12:32,1,10,CLE 40,18,20,Nick Chubb right tackle for -2 yards (tackle by K.J. Wright),1.600,0.780
3,11:54,2,12,CLE 38,18,20,Nick Chubb left guard for 6 yards (tackle by K.J. Wright and Bobby Wagner),0.780,0.890
3,11:09,3,6,CLE 44,18,20,Baker Mayfield up the middle for 8 yards (tackle by Delano Hill),0.890,2.390
3,10:30,1,10,SEA 48,18,20,Baker Mayfield pass incomplete short left intended for Nick Chubb (defended by Quinton Jefferson),2.390,1.850
3,10:26,2,10,SEA 48,18,20,Baker Mayfield pass complete short right to Odell Beckham for 19 yards (tackle by K.J. Wright),1.850,3.640
3,9:43,1,10,SEA 29,18,20,Baker Mayfield pass incomplete short right intended for Ricky Seals-Jones,3.640,3.100
3,9:39,2,10,SEA 29,18,20,"Baker Mayfield pass complete short right to Odell Beckham for 8 yards (tackle by Shaquill Griffin). Penalty on Chris Hubbard: Offensive Holding, 10 yards (no play)",3.100,1.750
3,9:06,2,20,SEA 39,18,20,"Baker Mayfield pass complete short left to Nick Chubb for no gain (tackle by Ezekiel Ansah). Nick Chubb fumbles (forced by Ezekiel Ansah), recovered by Ezekiel Ansah at SEA-39 and returned for 3 yards (tackle by Chris Hubbard)",1.750,-1.730
3,8:54,1,10,SEA 42,18,20,Russell Wilson right end for 3 yards (tackle by Jermaine Whitehead),1.730,1.590
3,8:24,2,7,SEA 45,18,20,Russell Wilson pass complete short middle to Luke Willson for 11 yards (tackle by Jermaine Whitehead),1.590,2.650
3,7:51,1,10,CLE 44,18,20,Chris Carson right guard for 25 yards (tackle by Jermaine Whitehead),2.650,4.310
3,7:21,1,10,CLE 19,18,20,Russell Wilson pass complete short right to David Moore for 11 yards (tackle by Jermaine Whitehead),4.310,5.370
3,6:50,1,8,CLE 8,18,20,"Russell Wilson pass incomplete short left intended for Malik Turner. Penalty on T.J. Carrie: Defensive Pass Interference, 5 yards (no play)",5.370,6.510
3,6:46,1,3,CLE 3,18,20,Chris Carson left guard for -3 yards (tackle by T.J. Carrie),6.510,4.950
3,6:12,2,6,CLE 6,18,20,Russell Wilson pass incomplete short left intended for Luke Willson,4.950,4.040
3,6:07,3,6,CLE 6,24,20,"Russell Wilson pass complete short middle to Jaron Brown for 6 yards, touchdown",4.040,7.000
3,6:00,,,CLE 15,25,20,Jason Myers kicks extra point good,0.000,0.000
3,6:00,,,SEA 35,25,20,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,6:00,1,10,CLE 25,25,20,Nick Chubb left guard for 2 yards (tackle by Mychal Kendricks and K.J. Wright),0.610,0.330
3,5:24,2,8,CLE 27,25,20,"Baker Mayfield pass complete short left to Odell Beckham for 18 yards (tackle by Mychal Kendricks). Penalty on Chris Hubbard: Ineligible Downfield Pass, 5 yards (no play)",0.330,-0.340
3,4:54,2,13,CLE 22,25,20,"Baker Mayfield pass complete short left to Nick Chubb for 4 yards (tackle by Shaquill Griffin). Penalty on Jarvis Landry: Illegal Blindside Block, 13 yards",-0.340,-1.640
3,4:22,2,22,CLE 13,25,20,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,-1.640,-2.750
3,4:18,3,22,CLE 13,25,20,Baker Mayfield left tackle for 15 yards (tackle by Jamar Taylor),-2.750,-1.500
3,3:49,4,7,CLE 28,25,20,Jamie Gillan punts 61 yards downed by KhaDarel Hodge,-1.500,0.350
3,3:37,1,10,SEA 12,25,20,Chris Carson right guard for 4 yards (tackle by Olivier Vernon),-0.350,-0.370
3,3:00,2,6,SEA 16,25,20,Russell Wilson pass complete short right to Tyler Lockett for 13 yards (tackle by Terrance Mitchell),-0.370,0.870
3,2:35,1,10,SEA 29,25,20,Chris Carson right guard for 11 yards (tackle by Jermaine Whitehead),0.870,1.600
3,2:03,1,10,SEA 40,25,20,Tyler Lockett left end for 3 yards (tackle by Eric Murray),1.600,1.460
3,1:32,2,7,SEA 43,25,20,Russell Wilson pass complete short left to Jaron Brown for 6 yards (tackle by T.J. Carrie),1.460,1.550
3,1:07,3,1,SEA 49,25,20,"C.J. Prosise up the middle for -1 yards (tackle by Olivier Vernon). C.J. Prosise fumbles (forced by Olivier Vernon), recovered by Devaroe Lawrence at SEA-45 (tackle by George Fant)",1.550,-2.590
3,1:01,1,10,SEA 45,25,20,"Baker Mayfield pass incomplete short right intended for Jarvis Landry. Penalty on Jadeveon Clowney: Roughing the Passer, 15 yards (no play)",2.590,3.580
3,0:58,1,10,SEA 30,25,20,Nick Chubb left end for 8 yards (tackle by Tre Flowers),3.580,4.110
3,0:24,2,2,SEA 22,25,20,Nick Chubb left guard for no gain (tackle by Jadeveon Clowney),4.110,3.400
Quarter,Time,Down,ToGo,Location,SEA,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,SEA 22,25,20,Nick Chubb right guard for -1 yards (tackle by K.J. Wright),3.400,2.030
4,14:24,,,,,,Timeout #1 by Seattle Seahawks,,
4,14:24,4,3,SEA 23,25,20,Baker Mayfield pass complete short left to Dontrell Hilliard for 3 yards (tackle by K.J. Wright),2.030,4.240
4,14:00,1,10,SEA 20,25,20,Nick Chubb left tackle for 7 yards (tackle by Bobby Wagner),4.240,4.830
4,13:21,2,3,SEA 13,25,20,Baker Mayfield pass complete short right to Nick Chubb for 1 yard (tackle by Poona Ford),4.830,4.340
4,12:34,3,2,SEA 12,25,20,"Penalty on Al Woods: Encroachment, 5 yards (no play)",4.340,5.600
4,12:20,1,7,SEA 7,25,20,Nick Chubb right end for no gain (tackle by Shaquill Griffin and Jadeveon Clowney),5.600,4.760
4,11:41,2,7,SEA 7,25,20,Baker Mayfield pass complete short left to Jarvis Landry for 6 yards (tackle by Mychal Kendricks and Tedric Thompson),4.760,5.170
4,10:52,3,1,SEA 1,25,20,Baker Mayfield pass incomplete short left intended for Odell Beckham,5.170,3.550
4,10:44,4,1,SEA 1,25,20,"Baker Mayfield pass complete short right to Jarvis Landry for no gain (tackle by Bobby Wagner). Jarvis Landry fumbles (forced by Bobby Wagner), recovered by Nick Chubb at SEA-1 Penalty on SEA: Defensive Too Many Men on Field (no play)",3.550,3.550
4,10:43,4,1,SEA 1,25,20,Nick Chubb right guard for -1 yards (tackle by Quinton Jefferson and Poona Ford),3.550,0.380
4,10:39,1,10,SEA 2,25,20,Chris Carson left guard for -1 yards (tackle by T.J. Carrie),-0.380,-0.850
4,10:02,2,11,SEA 1,25,20,Russell Wilson pass incomplete deep right intended for David Moore,-0.850,-1.540
4,9:57,3,11,SEA 1,25,20,Russell Wilson pass incomplete short left intended for D.K. Metcalf,-1.540,-2.490
4,9:53,4,11,SEA 1,25,20,Michael Dickson punts 23 yards out of bounds,-2.490,-3.970
4,9:48,1,10,SEA 24,25,20,Nick Chubb left tackle for 21 yards (tackle by Bobby Wagner),3.970,6.510
4,9:06,1,3,SEA 3,25,26,"Nick Chubb left guard for 3 yards, touchdown",6.510,7.000
4,9:02,,,SEA 2,25,28,"Two Point Attempt: Baker Mayfield pass complete to Demetrius Harris, conversion succeeds. Penalty on Jamar Taylor: Defensive Holding, 5 yards",1.000,1.000
4,9:02,,,CLE 40,25,28,"Austin Seibert kicks off 60 yards, returned by Tyler Lockett for 21 yards (tackle by Robert Jackson)",0.000,0.340
4,8:57,1,10,SEA 21,25,28,Chris Carson right guard for 5 yards (tackle by Joe Schobert),0.340,0.480
4,8:19,2,5,SEA 26,25,28,Russell Wilson pass complete short right to D.K. Metcalf for 12 yards,0.480,1.470
4,7:55,1,10,SEA 38,25,28,"Russell Wilson pass incomplete short right intended for Jacob Hollister. Penalty on Morgan Burnett: Horse Collar Tackle, 15 yards (no play)",1.470,2.460
4,7:50,1,10,CLE 47,25,28,"Russell Wilson pass incomplete short right. Penalty on Eric Murray: Illegal Use of Hands, 5 yards (no play)",2.460,2.790
4,7:42,1,10,CLE 42,25,28,Chris Carson left guard for 2 yards (tackle by Myles Garrett and Morgan Burnett),2.790,2.510
4,7:02,2,8,CLE 40,25,28,Chris Carson right tackle for 14 yards (tackle by Daniel Ekuale),2.510,3.840
4,6:33,1,10,CLE 26,25,28,"Russell Wilson pass complete short right to Tyler Lockett for 14 yards (tackle by Eric Murray). Penalty on Germain Ifedi: Ineligible Downfield Pass, 5 yards (no play)",3.840,3.510
4,6:00,1,15,CLE 31,25,28,Chris Carson right guard for 2 yards (tackle by Sheldon Richardson),3.510,2.890
4,5:27,2,13,CLE 29,25,28,Russell Wilson left guard for 8 yards (tackle by Jermaine Whitehead),2.890,3.270
4,4:43,3,5,CLE 21,25,28,Russell Wilson pass complete short left to Tyler Lockett for 5 yards (tackle by T.J. Carrie),3.270,4.510
4,3:57,1,10,CLE 16,25,28,Russell Wilson pass complete short right to Tyler Lockett for 15 yards (tackle by Terrance Mitchell),4.510,6.970
4,3:33,1,1,CLE 1,31,28,"Chris Carson right guard for 1 yard, touchdown",6.970,7.000
4,3:30,,,CLE 15,32,28,Jason Myers kicks extra point good,0.000,0.000
4,3:30,,,SEA 35,32,28,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,3:30,1,10,CLE 25,32,28,"Nick Chubb left end for 7 yards (tackle by K.J. Wright). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",0.610,-0.410
4,3:25,1,20,CLE 15,32,28,Baker Mayfield pass complete short middle to Ricky Seals-Jones for 5 yards (tackle by Bobby Wagner),-0.410,-0.610
4,2:46,2,15,CLE 20,32,28,Baker Mayfield pass short left intended for Dontrell Hilliard is intercepted by K.J. Wright at CLE-26 and returned for no gain,-0.610,-3.840
4,2:41,1,10,CLE 26,32,28,Chris Carson right guard for 3 yards (tackle by Mack Wilson),3.840,3.700
4,2:37,,,,,,Timeout #2 by Cleveland Browns,,
4,2:36,2,7,CLE 23,32,28,Russell Wilson left end for no gain (tackle by Terrance Mitchell),3.700,3.010
4,2:32,,,,,,Timeout #3 by Cleveland Browns,,
4,2:32,,,,,,Timeout #2 by Seattle Seahawks,,
4,2:32,3,7,CLE 23,32,28,Russell Wilson pass complete short left to D.K. Metcalf for 8 yards (tackle by T.J. Carrie),3.010,4.580
4,2:26,1,10,CLE 15,32,28,Chris Carson right guard for 3 yards (tackle by Olivier Vernon),4.580,4.450
4,2:00,2,7,CLE 12,32,28,Chris Carson right guard for 6 yards (tackle by Joe Schobert),4.450,4.900
4,1:16,3,1,CLE 6,32,28,Chris Carson right guard for 3 yards (tackle by Larry Ogunjobi),4.900,6.510
4,0:50,1,3,CLE 3,32,28,Russell Wilson kneels for -1 yards,6.510,5.340
4,0:08,2,4,CLE 4,32,28,Russell Wilson kneels for -1 yards,5.340,4.260
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
