Quarter,Time,Down,ToGo,Location,WAS,LAR,Detail,EPB,EPA
2,1:44,,,LAR 15,20,10,Dustin Hopkins kicks extra point good,0.000,0.000
2,1:44,,,WAS 35,20,10,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
2,1:44,1,10,LAR 25,20,10,Jared Goff sacked by Preston Smith for -7 yards,0.610,0.000
2,1:36,,,,,,Timeout #1 by Washington Redskins,0.000,0.980
2,1:36,2,17,LAR 18,20,10,Todd Gurley middle for 6 yards (tackle by D.J. Swearinger),-0.980,0.000
2,1:30,,,,,,Timeout #2 by Washington Redskins,0.000,0.760
2,1:30,3,11,LAR 24,20,10,"Jared Goff sacked by Ryan Kerrigan for -5 yards. Jared Goff fumbles (forced by Ryan Kerrigan), recovered by John Sullivan at LAR-19. Penalty on Rob Havenstein: Illegal Use of Hands (Declined)",-0.760,-2.140
2,1:23,4,16,LAR 19,20,10,"Johnny Hekker punts 49 yards, returned by Jamison Crowder for 13 yards (tackle by Derek Carrier)",-2.140,-1.930
2,1:14,1,10,WAS 45,20,10,Kirk Cousins pass complete short right to Jordan Reed for 5 yards (tackle by Maurice Alexander),1.930,2.060
2,0:50,2,5,,20,10,Kirk Cousins pass complete short right to Jordan Reed for 1 yard (tackle by Mark Barron),2.060,1.490
2,0:29,3,4,LAR 49,20,10,Kirk Cousins pass incomplete short right intended for Ryan Grant,1.490,0.000
2,0:24,4,4,LAR 49,20,10,"Tress Way punts 47 yards, returned by Trumaine Johnson for 6 yards (tackle by Nick Sundberg)",0.000,0.380
2,0:07,1,10,LAR 8,20,10,Jared Goff kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,WAS,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,20,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,WAS 25,20,10,Samaje Perine right guard for -1 yards (tackle by Aaron Donald),0.610,-0.070
3,14:22,2,11,WAS 24,20,10,Kirk Cousins pass complete short middle to Jordan Reed for 16 yards (tackle by Cody Davis),-0.070,1.600
3,13:47,1,10,WAS 40,20,10,"Kirk Cousins for -2 yards. Kirk Cousins fumbles, recovered by Kirk Cousins at WAS-40",1.600,0.780
3,13:08,2,12,WAS 38,20,10,Kirk Cousins pass incomplete short middle intended for Chris Thompson,0.780,0.100
3,13:03,3,12,WAS 38,20,10,Kirk Cousins pass complete short middle to Jordan Reed for 9 yards (tackle by Cody Davis and Alec Ogletree),0.100,-0.260
3,12:23,4,3,WAS 47,20,10,"Tress Way punts 52 yards. Penalty on Martrell Spaight: Offensive Holding, 10 yards (no play)",-0.260,-0.910
3,12:13,4,13,WAS 37,20,10,"Tress Way punts 62 yards, returned by Tavon Austin for 6 yards (tackle by Deshazor Everett)",-0.910,0.380
3,12:09,1,10,LAR 7,20,10,Todd Gurley middle for 5 yards (tackle by Mason Foster),-0.380,-0.420
3,11:28,2,5,LAR 12,20,10,Tavon Austin left end for no gain (tackle by Preston Smith),-0.420,-0.840
3,10:49,3,5,LAR 12,20,10,Jared Goff pass complete short right to Sammy Watkins for 28 yards (tackle by D.J. Swearinger),-0.840,1.600
3,10:17,1,10,LAR 40,20,10,Jared Goff pass complete deep middle to Gerald Everett for 24 yards (tackle by Montae Nicholson),1.600,3.180
3,9:28,1,10,WAS 36,20,10,Todd Gurley for 18 yards (tackle by Zach Brown),3.180,4.370
3,8:54,1,10,WAS 18,20,16,"Jared Goff pass complete short left to Todd Gurley for 18 yards, touchdown",4.370,7.000
3,8:43,,,WAS 15,20,17,Greg Zuerlein kicks extra point good,0.000,0.000
3,8:43,,,LAR 35,20,17,"Greg Zuerlein kicks off 65 yards, returned by Chris Thompson for 16 yards (tackle by Cody Davis)",0.000,0.140
3,8:38,1,10,WAS 16,20,17,Kirk Cousins pass complete short left to Samaje Perine for no gain,-0.140,-0.660
3,7:51,2,10,WAS 16,20,17,"Kirk Cousins pass incomplete deep left intended for Niles Paul. Penalty on Nickell Robey-Coleman: Defensive Pass Interference, 25 yards (no play)",-0.660,1.660
3,7:42,1,10,WAS 41,20,17,"Kirk Cousins for no gain. Kirk Cousins fumbles, recovered by Chris Thompson at WAS-34",1.660,0.180
3,7:02,2,17,WAS 34,20,17,Kirk Cousins pass complete short middle to Jamison Crowder for 18 yards (tackle by Blake Countess),0.180,2.390
3,6:22,1,10,LAR 48,20,17,Samaje Perine middle for 1 yard (tackle by Mark Barron),2.390,1.980
3,5:50,2,9,LAR 47,20,17,Samaje Perine middle for 11 yards (tackle by Alec Ogletree),1.980,3.180
3,5:09,1,10,LAR 36,20,17,Samaje Perine middle for 3 yards (tackle by Alec Ogletree and Lamarcus Joyner),3.180,3.040
3,4:28,2,7,LAR 33,20,17,Kirk Cousins pass incomplete short left intended for Terrelle Pryor (defended by Ethan Westbrooks),3.040,2.350
3,4:24,3,7,LAR 33,20,17,Kirk Cousins pass complete short right to Jamison Crowder for no gain,2.350,1.150
3,3:39,4,7,LAR 33,20,17,Dustin Hopkins 51 yard field goal no good,1.150,-1.660
3,3:34,1,10,LAR 41,20,17,Jared Goff pass incomplete short right intended for Tavon Austin,1.660,1.120
3,3:26,2,10,LAR 41,20,17,Jared Goff pass incomplete short middle intended for Cooper Kupp,1.120,0.000
3,3:22,,,,,,Timeout #1 by Washington Redskins,0.000,-0.430
3,3:22,3,10,LAR 41,20,17,Jared Goff pass complete short middle to Robert Woods for 8 yards (tackle by Kendall Fuller),0.430,-0.130
3,2:39,4,2,LAR 49,20,17,Johnny Hekker punts 45 yards,-0.130,0.380
3,2:28,1,10,WAS 6,20,17,Samaje Perine middle for -1 yards (tackle by Mark Barron),-0.380,-0.850
3,1:50,2,11,WAS 5,20,17,Kirk Cousins pass complete short right to Vernon Davis for 13 yards (tackle by Tanzel Smart),-0.850,0.040
3,1:07,1,10,WAS 18,20,17,Samaje Perine right guard for -1 yards (tackle by Mark Barron),0.040,-0.650
3,0:27,2,11,WAS 17,20,17,Kirk Cousins right end for 7 yards (tackle by Lamarcus Joyner),-0.650,-0.400
Quarter,Time,Down,ToGo,Location,WAS,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,WAS 24,20,17,Kirk Cousins pass incomplete short right intended for Chris Thompson,-0.400,-1.770
4,14:51,4,4,WAS 24,20,17,"Tress Way punts 41 yards, returned by Tavon Austin for 7 yards (tackle by Deshazor Everett). Penalty on John Johnson: Offensive Holding, 10 yards",-1.770,-0.610
4,14:38,1,10,LAR 25,20,17,Todd Gurley right guard for 7 yards (tackle by Zach Brown and Josh Norman),0.610,1.010
4,13:58,2,3,LAR 32,20,17,Jared Goff pass complete short right to Derek Carrier for 9 yards (tackle by Zach Brown),1.010,1.660
4,13:16,1,10,LAR 41,20,17,Tavon Austin right guard for 3 yards (tackle by Zach Brown),1.660,1.530
4,12:42,2,7,LAR 44,20,17,Todd Gurley right guard for 6 yards (tackle by Terrell McClain),1.530,1.620
4,12:24,3,1,,20,17,"Todd Gurley middle for 5 yards (tackle by Josh Norman). Penalty on Robert Woods: Unnecessary Roughness, 15 yards",1.620,1.600
4,11:58,1,10,LAR 40,20,17,"Todd Gurley right tackle for 7 yards (tackle by Josh Norman). Todd Gurley fumbles (forced by Josh Norman), recovered by Todd Gurley at WAS-49",1.600,2.320
4,11:27,1,10,WAS 49,20,17,Todd Gurley middle for 4 yards (tackle by Jonathan Allen and Mason Foster),2.320,2.320
4,10:54,2,6,WAS 45,20,17,Jared Goff pass incomplete short left intended for Robert Woods,2.320,1.620
4,10:49,3,6,WAS 45,20,17,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",1.620,0.960
4,10:38,3,11,,20,17,Todd Gurley middle for 5 yards (tackle by D.J. Swearinger),0.960,0.270
4,10:05,4,6,WAS 45,20,17,Johnny Hekker pass complete short left to Josh Reynolds for 28 yards (tackle by Jamison Crowder),0.270,4.440
4,9:24,1,10,WAS 17,20,17,Todd Gurley right guard for 3 yards (tackle by Mason Foster),4.440,4.320
4,8:38,2,7,WAS 14,20,17,"Jared Goff pass complete short right to Todd Gurley for 9 yards (tackle by Mason Foster). Penalty on Robert Woods: Offensive Pass Interference, 10 yards (no play)",4.320,0.000
4,8:10,,,,,,Timeout #1 by Los Angeles Rams,0.000,-2.950
4,8:10,2,17,WAS 24,20,17,Jared Goff pass complete short left to Todd Gurley for 2 yards (tackle by Zach Brown),2.950,2.540
4,7:31,3,15,WAS 22,20,17,Jared Goff pass incomplete deep right intended for Robert Woods. Penalty on Rob Havenstein: Offensive Holding (Declined),2.540,1.990
4,7:21,4,15,WAS 22,20,20,Greg Zuerlein 40 yard field goal good,1.990,3.000
4,7:16,,,LAR 35,20,20,"Greg Zuerlein kicks off 65 yards, touchback. Penalty on Samson Ebukam: Offside on Free Kick, 5 yards",0.000,-0.940
4,7:13,1,10,WAS 30,20,20,Samaje Perine left guard for 2 yards (tackle by Maurice Alexander and Aaron Donald),0.940,0.660
4,6:39,2,8,WAS 32,20,20,"Kirk Cousins pass complete short left to Terrelle Pryor for 9 yards (tackle by Cody Davis). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",0.660,-0.690
4,6:09,2,18,WAS 22,20,20,Samaje Perine middle for 12 yards (tackle by Maurice Alexander and Cody Davis),-0.690,0.230
4,5:30,3,6,WAS 34,20,20,Kirk Cousins pass complete short middle to Jamison Crowder for 8 yards (tackle by Lamarcus Joyner),0.230,0.000
4,4:49,,,,,,Timeout #2 by Washington Redskins,0.000,-1.730
4,4:49,1,10,WAS 42,20,20,Samaje Perine middle for 5 yards (tackle by Mark Barron),1.730,1.860
4,4:08,2,5,WAS 47,20,20,Samaje Perine middle for 10 yards (tackle by Connor Barwin),1.860,2.720
4,3:30,1,10,LAR 43,20,20,Samaje Perine left tackle for 3 yards (tackle by Mark Barron),2.720,2.580
4,3:06,2,7,LAR 40,20,20,Kirk Cousins pass complete short left to Terrelle Pryor for 23 yards (tackle by Maurice Alexander),2.580,4.440
4,2:18,1,10,LAR 17,20,20,Samaje Perine middle for 1 yard (tackle by Maurice Alexander),4.440,4.000
4,2:00,2,9,LAR 16,20,20,Samaje Perine right tackle for 5 yards (tackle by Nickell Robey-Coleman and Alec Ogletree),4.000,0.000
4,1:55,,,,,,Timeout #2 by Los Angeles Rams,0.000,-4.100
4,1:55,3,4,LAR 11,26,20,"Kirk Cousins pass complete short left to Ryan Grant for 11 yards, touchdown",4.100,7.000
4,1:49,,,LAR 15,27,20,Dustin Hopkins kicks extra point good,0.000,0.000
4,1:49,,,WAS 35,27,20,"Dustin Hopkins kicks off 62 yards, returned by Pharoh Cooper for 25 yards (tackle by Fabian Moreau)",0.000,-0.810
4,1:44,1,10,LAR 28,27,20,Jared Goff pass incomplete short left intended for Cooper Kupp is intercepted by Mason Foster at LAR-29 and returned for 10 yards,0.810,-4.310
4,1:37,1,10,LAR 19,27,20,Samaje Perine left guard for 1 yard (tackle by Connor Barwin and Nickell Robey-Coleman),4.310,0.000
4,1:33,,,,,,Timeout #3 by Los Angeles Rams,0.000,-3.880
4,1:33,2,9,LAR 18,27,20,Samaje Perine middle for 4 yards (tackle by Mark Barron),3.880,3.760
4,0:46,3,5,LAR 14,27,20,Samaje Perine middle for no gain (tackle by Lamarcus Joyner),3.760,2.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
