Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
2,1:25,1,10,GNB 18,7,6,Ryan Tannehill pass complete short left to Robert Woods for 7 yards (tackle by Jaire Alexander),4.370,5.230
2,1:20,2,2,GNB 10,7,6,Ryan Tannehill pass incomplete short middle,5.230,4.510
2,1:16,3,2,GNB 10,7,6,Ryan Tannehill pass complete short middle to Treylon Burks for 6 yards (tackle by Rudy Ford),4.510,6.280
2,0:36,1,4,GNB 4,13,6,"Derrick Henry left tackle for 4 yards, touchdown",6.280,7.000
2,0:32,,,GNB 15,14,6,Josh Lambo kicks extra point good,0.000,0.000
2,0:32,,,TEN 35,14,6,"Josh Lambo kicks off 58 yards, returned by Keisean Nixon for 15 yards (tackle by Dylan Cole)",0.000,0.410
2,0:28,1,10,GNB 22,14,6,Aaron Rodgers pass complete short left to Aaron Jones for 2 yards (tackle by Kristian Fulton),0.410,0.140
2,0:23,2,8,GNB 24,14,6,Aaron Rodgers pass complete short middle to Aaron Jones for 11 yards (tackle by Kevin Byard),0.140,1.270
2,0:04,1,10,GNB 35,14,6,Aaron Rodgers pass incomplete short left intended for Aaron Jones,1.270,0.720
Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,14,6,"Josh Lambo kicks off 60 yards, returned by Keisean Nixon for 23 yards (tackle by Dylan Cole)",0.000,0.810
3,14:54,1,10,GNB 28,14,6,Aaron Rodgers pass complete short left to Allen Lazard for 9 yards (tackle by Kristian Fulton),0.810,1.480
3,14:20,2,1,GNB 37,14,6,Aaron Rodgers pass complete short right to Randall Cobb for 6 yards (tackle by Joshua Kalu),1.480,1.800
3,13:38,1,10,GNB 43,14,6,Aaron Jones right end for 14 yards (tackle by Kevin Byard and Dylan Cole),1.800,2.720
3,12:58,1,10,TEN 43,14,6,Aaron Rodgers pass complete short left to Randall Cobb for 4 yards (tackle by Joshua Kalu),2.720,2.720
3,12:13,2,6,TEN 39,14,6,AJ Dillon up the middle for 5 yards (tackle by Kevin Strong and Jeffery Simmons),2.720,2.680
3,11:33,3,1,TEN 34,14,6,AJ Dillon up the middle for 3 yards (tackle by Kevin Strong),2.680,3.510
3,10:56,1,10,TEN 31,14,6,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,3.510,2.970
3,10:43,2,10,TEN 31,14,6,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,2.970,2.280
3,10:34,3,10,TEN 31,14,6,Aaron Rodgers pass complete short right to Allen Lazard for 11 yards (tackle by Terrance Mitchell),2.280,4.240
3,10:00,1,10,TEN 20,14,6,Christian Watson right end for 3 yards (tackle by Roger McCreary),4.240,4.120
3,9:30,2,7,TEN 17,14,6,Aaron Jones right end for -4 yards (tackle by Roger McCreary and Sam Okuayinonu),4.120,2.870
3,8:42,3,11,TEN 21,14,6,Aaron Rodgers pass incomplete short middle,2.870,2.060
3,8:29,4,11,TEN 21,14,9,Mason Crosby 39 yard field goal good,2.060,3.000
3,8:25,,,GNB 35,14,9,"Mason Crosby kicks off 65 yards, returned by Hassan Haskins for 18 yards (tackle by Johnathan Abram and Eric Wilson). Penalty on Dontrell Hilliard: Illegal Block Above the Waist, 9 yards (accepted)",0.000,-0.380
3,8:20,1,10,TEN 9,14,9,Derrick Henry right tackle for 3 yards (tackle by Rasul Douglas and Dean Lowry),-0.380,-0.560
3,7:40,2,7,TEN 12,14,9,Ryan Tannehill pass complete deep left to Chigoziem Okonkwo for 31 yards,-0.560,1.800
3,7:13,1,10,TEN 43,14,9,Derrick Henry left tackle for 6 yards (tackle by Quay Walker and Krys Barnes),1.800,2.060
3,6:50,2,4,TEN 49,14,9,Ryan Tannehill pass complete short left to Derrick Henry for 42 yards (tackle by Adrian Amos),2.060,5.140
3,6:03,1,9,GNB 9,14,9,Ryan Tannehill pass complete short right to Robert Woods for 6 yards (tackle by Darnell Savage),5.140,5.530
3,5:21,2,3,GNB 3,20,9,"Derrick Henry pass complete short middle to Austin Hooper for 3 yards, touchdown",5.530,7.000
3,5:17,,,GNB 15,20,9,Josh Lambo kicks extra point no good,0.000,-1.000
3,5:17,,,TEN 35,20,9,"Josh Lambo kicks off 66 yards, returned by Keisean Nixon for 32 yards (tackle by Josh Lambo)",0.000,1.000
3,5:11,1,10,GNB 31,20,9,AJ Dillon up the middle for 3 yards (tackle by Dylan Cole and Jeffery Simmons),1.000,0.870
3,4:37,2,7,GNB 34,20,9,Aaron Rodgers pass complete deep middle to Randall Cobb for 28 yards (tackle by Andrew Adams and Roger McCreary),0.870,3.050
3,3:56,1,10,TEN 38,20,9,Aaron Jones left end for 3 yards (tackle by Kristian Fulton),3.050,2.910
3,3:17,2,7,TEN 35,20,9,Aaron Rodgers pass complete short right to Aaron Jones for 4 yards (tackle by Dylan Cole and Andrew Adams),2.910,2.740
3,2:36,3,3,TEN 31,20,9,Aaron Rodgers pass complete deep right to Allen Lazard for 23 yards (tackle by Roger McCreary),2.740,5.370
3,2:14,1,8,TEN 8,20,9,Aaron Rodgers pass incomplete short left intended for Christian Watson,5.370,4.570
3,2:09,2,8,TEN 8,20,15,"Aaron Rodgers pass complete short left to Christian Watson for 8 yards, touchdown",4.570,7.000
3,2:04,,,TEN 2,20,17,Two Point Attempt: Aaron Rodgers pass complete to to Aaron Jones for no gain,1.000,1.000
3,2:04,,,GNB 35,20,17,"Mason Crosby kicks off 54 yards, returned by Hassan Haskins for 26 yards (tackle by Adrian Amos)",0.000,1.400
3,1:59,1,10,TEN 37,20,17,Derrick Henry left guard for 3 yards (tackle by Tedarrell Slaton),1.400,1.260
3,1:36,2,7,TEN 40,20,17,Ryan Tannehill pass complete short right to Robert Woods for 32 yards (tackle by Krys Barnes),1.260,3.710
3,1:01,1,10,GNB 28,20,17,Derrick Henry left tackle for 3 yards (tackle by Quay Walker),3.710,3.570
3,0:20,2,7,GNB 25,20,17,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 9 yards (tackle by Rasul Douglas),3.570,3.900
Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,GNB 16,26,17,"Ryan Tannehill pass complete deep middle to Austin Hooper for 16 yards, touchdown",3.900,7.000
4,14:55,,,GNB 15,27,17,Josh Lambo kicks extra point good,0.000,0.000
4,14:55,,,TEN 35,27,17,"Josh Lambo kicks off 62 yards, returned by Keisean Nixon for 20 yards (tackle by Joshua Kalu)",0.000,0.480
4,14:49,1,10,GNB 23,27,17,Aaron Rodgers pass incomplete deep middle intended for Christian Watson,0.480,-0.070
4,14:42,2,10,GNB 23,27,17,Aaron Jones left tackle for 3 yards (tackle by DeMarcus Walker),-0.070,-0.360
4,14:02,3,7,GNB 26,27,17,Aaron Rodgers pass incomplete deep left intended for Robert Tonyan,-0.360,-1.630
4,13:55,4,7,GNB 26,27,17,"Pat O'Donnell punts 46 yards, returned by C.J. Board for 9 yards (tackle by Quay Walker)",-1.630,-1.400
4,13:45,1,10,TEN 37,27,17,Derrick Henry right tackle for 2 yards (tackle by Dean Lowry and Krys Barnes),1.400,1.130
4,13:04,2,8,TEN 39,27,17,Derrick Henry right guard for -1 yards (tackle by Kingsley Enagbare and Jonathan Garvin),1.130,0.300
4,12:16,3,9,TEN 38,27,17,Ryan Tannehill pass complete short left to Nick Westbrook-Ikhine for 19 yards (tackle by Rudy Ford),0.300,2.720
4,11:43,1,10,GNB 43,27,17,Derrick Henry right end for 9 yards (tackle by Adrian Amos and Preston Smith),2.720,3.390
4,10:57,2,1,GNB 34,27,17,Ryan Tannehill pass deep middle intended for Treylon Burks is intercepted by Rasul Douglas at GB-12 and returned for 22 yards (tackle by Ryan Tannehill),3.390,-1.200
4,10:44,1,10,GNB 34,27,17,"Aaron Jones right end for no gain (tackle by Kevin Byard). Penalty on Yosuah Nijman: Offensive Holding, 10 yards (accepted) (no play)",1.200,0.540
4,10:23,1,20,GNB 24,27,17,Aaron Rodgers pass incomplete deep middle intended for Allen Lazard (defended by Joshua Kalu),0.540,-0.690
4,10:12,2,20,GNB 24,27,17,Aaron Rodgers pass complete short left to Randall Cobb for 8 yards (tackle by Joshua Kalu and David Long),-0.690,-0.300
4,9:28,3,12,GNB 32,27,17,Aaron Rodgers pass incomplete deep middle intended for Sammy Watkins,-0.300,-1.240
4,9:23,4,12,GNB 32,27,17,Pat O'Donnell punts 55 yards downed by Rudy Ford,-1.240,0.320
4,9:13,1,10,TEN 13,27,17,Derrick Henry left end for 6 yards (tackle by Jarran Reed and Quay Walker),-0.320,0.030
4,8:33,2,4,TEN 19,27,17,Derrick Henry right end for 3 yards (tackle by Preston Smith and Jonathan Garvin),0.030,-0.350
4,8:07,3,1,TEN 22,27,17,Ryan Tannehill sacked by Krys Barnes for no gain,-0.350,-1.900
4,7:17,4,1,TEN 22,27,17,"Ryan Stonehouse punts 46 yards, returned by Keisean Nixon for 24 yards (tackle by Ryan Stonehouse)",-1.900,-2.650
4,6:59,1,10,TEN 44,27,17,Aaron Rodgers pass complete short right to Aaron Jones for 3 yards (tackle by Joe Schobert),2.650,2.520
4,6:17,2,7,TEN 41,27,17,Aaron Jones right end for 4 yards (tackle by Mario Edwards and Jeffery Simmons),2.520,2.350
4,5:32,3,3,TEN 37,27,17,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,2.350,0.790
4,5:26,4,3,TEN 37,27,17,Aaron Rodgers pass incomplete deep left intended for Allen Lazard,0.790,-1.400
4,5:21,1,10,TEN 37,27,17,Derrick Henry left end for 1 yard (tackle by Krys Barnes),1.400,1.060
4,5:15,,,,,,Timeout #1 by Green Bay Packers,,
4,5:15,2,9,TEN 39,27,17,Derrick Henry up the middle for 4 yards (tackle by Dean Lowry),1.060,0.890
4,5:10,,,,,,Timeout #2 by Green Bay Packers,,
4,5:10,3,5,TEN 43,27,17,Ryan Tannehill sacked by Preston Smith for -8 yards,0.890,-1.040
4,5:05,,,,,,Timeout #3 by Green Bay Packers,,
4,5:05,4,13,TEN 35,27,17,"Ryan Stonehouse punts 59 yards, returned by Keisean Nixon for 13 yards (tackle by Dontrell Hilliard and Dylan Cole)",-1.040,-0.150
4,4:54,1,10,GNB 19,27,17,Aaron Rodgers pass complete short middle to Robert Tonyan for 9 yards (tackle by Joshua Kalu),0.150,0.880
4,4:34,2,1,GNB 28,27,17,Aaron Rodgers pass incomplete short left intended for Allen Lazard (defended by Tre Avery),0.880,0.100
4,4:30,3,1,GNB 28,27,17,Aaron Rodgers pass complete short right to Christian Watson for 8 yards,0.100,1.330
4,4:25,1,10,GNB 36,27,17,Aaron Rodgers pass complete short left to Aaron Jones for -1 yards (tackle by Tre Avery),1.330,0.790
4,4:19,2,10,GNB 36,27,17,Aaron Rodgers pass incomplete short middle intended for Sammy Watkins (defended by Tre Avery),0.790,-0.030
4,4:14,3,11,GNB 35,27,17,Aaron Rodgers pass complete short middle to Allen Lazard for 12 yards (tackle by Kevin Byard),-0.030,2.060
4,3:59,1,10,GNB 47,27,17,Aaron Rodgers pass complete short left to Randall Cobb for 3 yards (tackle by David Long),2.060,1.920
4,3:25,2,7,GNB 50,27,17,Aaron Rodgers sacked by Jeffery Simmons for -12 yards,1.920,-0.360
4,2:43,3,19,GNB 38,27,17,Aaron Rodgers pass complete deep middle to Christian Watson for 18 yards (tackle by Joshua Kalu),-0.360,0.330
4,2:16,4,1,TEN 44,27,17,Aaron Jones up the middle for no gain (tackle by David Long),0.330,-1.860
4,2:04,1,10,TEN 44,27,17,Ryan Tannehill pass complete deep left to Treylon Burks for 51 yards (tackle by Jaire Alexander),1.860,6.060
4,1:55,1,5,GNB 5,27,17,Ryan Tannehill kneels for -1 yards,6.060,4.950
4,1:16,2,6,GNB 6,27,17,Ryan Tannehill kneels for -1 yards,4.950,3.810
4,0:38,3,7,GNB 7,27,17,Ryan Tannehill kneels for -1 yards,3.810,2.950
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
