Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
2,7:32,3,4,KAN 44,10,0,"Alex Smith pass incomplete short left intended for Charcandrick West. Penalty on Bashaud Breeland: Illegal Contact, 5 yards (no play)",1.020,2.190
2,7:25,1,10,KAN 49,10,0,Alex Smith middle for 4 yards (tackle by Terrell McClain),2.190,2.190
2,6:42,2,6,WAS 47,10,0,Alex Smith pass incomplete short left intended for Demetrius Harris,2.190,0.000
2,6:36,,,,,,Timeout #1 by Kansas City Chiefs,0.000,-1.490
2,6:36,3,6,WAS 47,10,0,Alex Smith pass complete short middle to Tyreek Hill for 1 yard (tackle by Zach Brown),1.490,0.200
2,6:02,4,5,WAS 46,10,0,"Dustin Colquitt punts 33 yards, fair catch by Jamison Crowder",0.200,0.320
2,5:55,1,10,WAS 13,10,0,Kirk Cousins pass incomplete short left intended for Niles Paul,-0.320,0.000
2,5:50,,,,,,Timeout #1 by Washington Redskins,0.000,0.770
2,5:50,2,10,WAS 13,10,0,Chris Thompson right end for 7 yards (tackle by Marcus Peters),-0.770,-0.590
2,5:17,3,3,WAS 20,10,0,Kirk Cousins pass incomplete short right intended for Terrelle Pryor,-0.590,-2.030
2,5:10,4,3,WAS 20,10,0,"Tress Way punts 52 yards, muffed catch by Tyreek Hill, recovered by Tyreek Hill and returned for no gain",-2.030,-0.740
2,5:01,1,10,KAN 27,10,0,Alex Smith pass complete short left to Albert Wilson for 12 yards (tackle by Deshazor Everett),0.740,1.530
2,4:26,1,10,KAN 39,10,0,Alex Smith pass complete short left to Tyreek Hill for 2 yards (tackle by Bashaud Breeland),1.530,1.260
2,3:50,2,8,KAN 41,10,0,Alex Smith pass incomplete short left intended for Akeem Hunt,1.260,0.560
2,3:46,3,8,KAN 41,10,0,"Penalty on Preston Smith: Neutral Zone Infraction, 5 yards (no play)",0.560,1.220
2,3:46,3,3,KAN 46,10,0,Alex Smith pass complete short left to Charcandrick West for 9 yards (tackle by Bashaud Breeland),1.220,2.590
2,3:16,1,10,WAS 45,10,0,Kareem Hunt right tackle for 7 yards (tackle by Josh Norman),2.590,2.990
2,2:33,2,3,WAS 38,10,0,Alex Smith pass complete short right to Chris Conley for 21 yards (tackle by Josh Norman and Zach Brown),2.990,4.440
2,2:00,1,10,WAS 17,10,6,"Alex Smith pass complete deep right to Travis Kelce for 17 yards, touchdown",4.440,7.000
2,1:54,,,WAS 15,10,7,Harrison Butker kicks extra point good,0.000,0.000
2,1:54,,,KAN 35,10,7,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
2,1:54,1,10,WAS 25,10,7,Kirk Cousins pass complete short left to Ryan Grant for 13 yards,0.610,1.470
2,1:48,1,10,WAS 38,10,7,Kirk Cousins pass complete short right to Jordan Reed for -4 yards (tackle by Eric Murray),1.470,0.380
2,1:41,2,14,WAS 34,10,7,Kirk Cousins pass complete short right to Jordan Reed for 11 yards (tackle by Eric Murray),0.380,1.160
2,1:16,3,3,WAS 45,10,7,Kirk Cousins pass incomplete short middle intended for Jordan Reed,1.160,-0.390
2,1:11,4,3,WAS 45,10,7,"Tress Way punts 38 yards, fair catch by Tyreek Hill",-0.390,0.060
2,1:05,1,10,KAN 17,10,7,Charcandrick West middle for 2 yards (tackle by Martrell Spaight and Jonathan Allen),-0.060,-0.250
2,0:43,2,8,KAN 19,10,7,Alex Smith pass complete short middle to Charcandrick West for 1 yard (tackle by Zach Brown),-0.250,-0.870
2,0:36,3,7,KAN 20,10,7,Alex Smith for no gain. Zach Fulton fumbles,-0.870,0.000
2,0:25,,,,,,Timeout #2 by Kansas City Chiefs,0.000,-2.390
2,0:25,1,10,WAS 48,10,7,Alex Smith pass complete deep middle to Travis Kelce for 20 yards (tackle by Montae Nicholson),2.390,0.000
2,0:20,,,,,,Timeout #3 by Kansas City Chiefs,0.000,-3.710
2,0:20,1,10,WAS 28,10,7,Alex Smith pass incomplete,3.710,3.170
2,0:16,2,10,WAS 28,10,7,Alex Smith pass incomplete deep left intended for Chris Conley,3.170,2.480
2,0:10,3,10,WAS 28,10,7,Harrison Butker 46 yard field goal no good,2.480,-1.330
2,0:06,1,10,WAS 36,10,7,Kirk Cousins kneels for -1 yards,1.330,0.660
Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,10,7,"Dustin Hopkins kicks off 62 yards, returned by De'Anthony Thomas for 18 yards (tackle by Chris Carter)",0.000,-0.340
3,14:53,1,10,KAN 21,10,7,Kareem Hunt left end for 4 yards (tackle by Mason Foster),0.340,0.340
3,14:07,2,6,KAN 25,10,7,Alex Smith pass complete short middle to Tyreek Hill for 10 yards (tackle by Deshazor Everett),0.340,1.270
3,13:25,1,10,KAN 35,10,7,Alex Smith pass complete short middle to Kareem Hunt for 4 yards (tackle by Martrell Spaight),1.270,1.260
3,12:50,2,6,KAN 39,10,7,Kareem Hunt middle for 5 yards (tackle by Evander Hood),1.260,1.220
3,12:13,3,1,KAN 44,10,7,Alex Smith middle for 2 yards (tackle by Mason Foster),1.220,1.990
3,11:35,1,10,KAN 46,10,7,"Kareem Hunt right end for 1 yard (tackle by Bashaud Breeland). Penalty on Bashaud Breeland: Horse Collar Tackle, 15 yards",1.990,3.050
3,11:06,1,10,WAS 38,10,7,"Alex Smith pass complete deep middle to Travis Kelce for 20 yards (tackle by Martrell Spaight). Penalty on Junior Galette: Roughing the Passer, 9 yards, Penalty on Martrell Spaight: Defensive Holding (Declined)",3.050,5.140
3,10:49,1,9,WAS 9,10,7,Kareem Hunt right end for 4 yards (tackle by Mason Foster),5.140,5.150
3,10:14,2,5,WAS 5,10,7,Kareem Hunt left end for 4 yards (tackle by Zach Brown),5.150,5.170
3,9:28,3,1,WAS 1,10,7,Alex Smith pass incomplete short right intended for Kareem Hunt. Penalty on Preston Smith: Defensive Offside (no play),5.170,5.170
3,9:24,3,1,WAS 1,10,13,"Alex Smith left guard for 1 yard, touchdown",5.170,7.000
3,9:20,,,WAS 15,10,14,Harrison Butker kicks extra point good,0.000,0.000
3,9:20,,,KAN 35,10,14,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
3,9:20,1,10,WAS 25,10,14,Kirk Cousins pass complete deep right to Vernon Davis for 69 yards (tackle by Ron Parker),0.610,5.830
3,8:26,1,6,KAN 6,10,14,Samaje Perine middle for 3 yards (tackle by Derrick Johnson),5.830,5.530
3,7:47,2,3,KAN 3,16,14,"Kirk Cousins pass complete short middle to Ryan Grant for 3 yards, touchdown",5.530,7.000
3,7:42,,,KAN 15,17,14,Dustin Hopkins kicks extra point good,0.000,0.000
3,7:42,,,WAS 35,17,14,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
3,7:42,1,10,KAN 25,17,14,Alex Smith sacked by D.J. Swearinger and Evander Hood for -5 yards,0.610,-0.610
3,6:56,2,15,KAN 20,17,14,Alex Smith pass complete short middle to Kareem Hunt for 6 yards (tackle by Jonathan Allen and Matthew Ioannidis),-0.610,-0.490
3,6:08,3,9,KAN 26,17,14,Alex Smith pass complete short right to Travis Kelce for 10 yards (tackle by D.J. Swearinger). Penalty on Preston Smith: Defensive Offside (Declined),-0.490,1.330
3,5:52,1,10,KAN 36,17,14,Kareem Hunt left guard for 5 yards (tackle by Junior Galette),1.330,1.470
3,5:08,2,5,KAN 41,17,14,Alex Smith pass complete short left to Charcandrick West for 13 yards (tackle by Quinton Dunbar),1.470,2.520
3,4:35,1,10,WAS 46,17,14,Kareem Hunt middle for 9 yards (tackle by Quinton Dunbar),2.520,3.190
3,3:53,2,1,WAS 37,17,14,"Penalty on Evander Hood: Encroachment, 5 yards (no play)",3.190,0.000
3,3:25,,,,,,Timeout #1 by Kansas City Chiefs,0.000,-3.450
3,3:25,1,10,WAS 32,17,14,Kareem Hunt middle for 4 yards (tackle by Mason Foster),3.450,3.440
3,2:40,2,6,WAS 28,17,14,Alex Smith pass complete short left to Kareem Hunt for no gain,3.440,2.740
3,1:54,3,6,WAS 28,17,14,Alex Smith pass complete short middle to Albert Wilson for 14 yards (tackle by D.J. Swearinger),2.740,4.650
3,1:15,1,10,WAS 14,17,14,Kareem Hunt left guard for 1 yard (tackle by Mason Foster),4.650,4.160
3,0:39,2,9,WAS 13,17,14,Alex Smith pass incomplete short middle intended for Demetrius Harris,4.160,3.260
3,0:35,3,9,WAS 13,17,14,Alex Smith pass complete short left to Charcandrick West for 6 yards (tackle by Quinton Dunbar),3.260,2.990
3,0:04,4,3,WAS 7,17,17,Harrison Butker 26 yard field goal good,2.990,3.000
3,0:01,,,KAN 35,17,17,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
3,0:01,1,10,WAS 25,17,17,Samaje Perine right guard for 6 yards (tackle by Frank Zombo),0.610,0.870
Quarter,Time,Down,ToGo,Location,WAS,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,WAS 31,17,17,Kirk Cousins pass complete deep left to Josh Doctson for 20 yards (tackle by Marcus Peters),0.870,2.320
4,14:26,1,10,KAN 49,17,17,Samaje Perine middle for 5 yards (tackle by Bennie Logan),2.320,2.460
4,13:47,2,5,KAN 44,17,17,"Kirk Cousins for no gain. Kirk Cousins fumbles, ball out of bounds at WAS-49",2.460,0.830
4,13:15,3,12,WAS 49,17,17,Kirk Cousins pass incomplete deep right intended for Ryan Grant,0.830,-0.130
4,13:08,4,12,WAS 49,17,17,"Tress Way punts 51 yards, touchback",-0.130,-0.280
4,13:01,1,10,KAN 20,17,17,Kareem Hunt right guard for 1 yard (tackle by Stacy McGee),0.280,-0.130
4,12:26,2,9,KAN 21,17,17,Alex Smith pass complete short right to Kareem Hunt for 10 yards (tackle by Zach Brown and Fabian Moreau),-0.130,1.000
4,11:44,1,10,KAN 31,17,17,Kareem Hunt middle for 17 yards (tackle by Montae Nicholson),1.000,2.130
4,11:19,1,10,KAN 48,17,17,Kareem Hunt left guard for -1 yards (tackle by Martrell Spaight),2.130,1.450
4,10:36,2,11,KAN 47,17,17,Alex Smith pass complete short left to Tyreek Hill for 12 yards (tackle by Bashaud Breeland),1.450,2.850
4,9:55,1,10,WAS 41,17,17,Alex Smith pass incomplete deep left intended for Chris Conley,2.850,2.310
4,9:49,2,10,WAS 41,17,17,Kareem Hunt left guard for 8 yards (tackle by Stefan McClure),2.310,2.680
4,8:57,3,2,WAS 33,17,17,Travis Kelce middle for 3 yards (tackle by Martrell Spaight),2.680,3.580
4,8:20,1,10,WAS 30,17,17,Alex Smith sacked by Terrell McClain for -10 yards,3.580,1.680
4,7:34,2,20,WAS 40,17,17,Kareem Hunt middle for 16 yards (tackle by D.J. Swearinger),1.680,3.140
4,7:04,3,4,WAS 24,17,17,"Alex Smith pass incomplete short left intended for Chris Conley (defended by Quinton Dunbar). Penalty on Bashaud Breeland: Illegal Use of Hands, 5 yards (no play)",3.140,4.310
4,6:59,1,10,WAS 19,17,17,Kareem Hunt middle for no gain (tackle by Stacy McGee and Zach Brown),4.310,3.750
4,6:21,2,10,WAS 19,17,17,Alex Smith right end for 5 yards (tackle by Mason Foster),3.750,3.760
4,5:43,3,5,WAS 14,17,17,Alex Smith pass complete short middle to Albert Wilson for no gain,3.760,2.560
4,4:55,4,5,WAS 14,17,20,Harrison Butker 32 yard field goal good,2.560,3.000
4,4:51,,,KAN 35,17,20,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
4,4:51,1,10,WAS 25,17,20,Kirk Cousins pass complete short middle to Terrelle Pryor for 16 yards (tackle by Ron Parker),0.610,1.660
4,4:12,1,10,WAS 41,17,20,Chris Thompson left end for 2 yards (tackle by Frank Zombo and Chris Jones),1.660,1.390
4,3:29,2,8,WAS 43,17,20,Kirk Cousins pass incomplete short left intended for Vernon Davis (defended by Terrance Mitchell),1.390,0.700
4,3:25,3,8,WAS 43,17,20,Kirk Cousins right end for 10 yards (tackle by Allen Bailey),0.700,2.460
4,2:47,1,10,KAN 47,17,20,Chris Thompson right end for 2 yards (tackle by Bennie Logan),2.460,2.180
4,2:07,2,8,KAN 45,17,20,Kirk Cousins middle for 15 yards (tackle by Terrance Mitchell),2.180,3.580
4,1:58,1,10,KAN 30,17,20,Kirk Cousins left end for 8 yards (tackle by Phillip Gaines),3.580,4.110
4,1:15,2,2,KAN 22,17,20,Chris Thompson middle for no gain (tackle by Chris Jones),4.110,0.000
4,0:57,,,,,,Timeout #1 by Washington Redskins,0.000,-3.400
4,0:57,3,2,KAN 22,17,20,Kirk Cousins pass incomplete deep left intended for Josh Doctson,3.400,2.120
4,0:50,4,2,KAN 22,20,20,Dustin Hopkins 40 yard field goal good,2.120,3.000
4,0:47,,,WAS 35,20,20,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
4,0:47,1,10,KAN 25,20,20,Alex Smith pass complete short left to Charcandrick West for 4 yards (tackle by Bashaud Breeland),0.610,0.600
4,0:42,2,6,KAN 29,20,20,Alex Smith pass complete deep left to Albert Wilson for 37 yards (tackle by Montae Nicholson),0.600,0.000
4,0:33,,,,,,Timeout #2 by Washington Redskins,0.000,-3.310
4,0:33,1,10,WAS 34,20,20,Alex Smith pass complete short right to Chris Conley for 10 yards (tackle by Fabian Moreau),3.310,0.000
4,0:27,,,,,,Timeout #2 by Kansas City Chiefs,0.000,-3.970
4,0:27,1,10,WAS 24,20,20,Kareem Hunt middle for -1 yards (tackle by Stacy McGee and Zach Brown),3.970,3.300
4,0:08,2,11,WAS 25,20,20,Alex Smith spiked the ball,3.300,0.000
4,0:08,,,,,,Timeout #3 by Washington Redskins,0.000,-2.610
4,0:08,3,11,WAS 25,20,23,Harrison Butker 43 yard field goal good,2.610,3.000
4,0:04,,,KAN 35,20,23,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
4,0:04,1,10,WAS 25,20,29,"Kirk Cousins pass complete short right to Jamison Crowder for -7 yards. Jamison Crowder fumbles, lateral to Chris Thompson for -2 yards (tackle by Marcus Peters). Chris Thompson fumbles (forced by Marcus Peters), recovered by Justin Houston at WAS-13 and returned for 13 yards, touchdown",0.610,-7.000
4,,,,,20,29,"Two Point Attempt: Alex Smith, conversion fails",,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
