Quarter,Time,Down,ToGo,Location,OAK,PHI,Detail,EPB,EPA
2,2:00,3,8,OAK 49,7,7,"Nick Foles pass incomplete short right intended for Zach Ertz. Penalty on Dexter McDonald: Defensive Holding, 5 yards, Penalty on Nicholas Morrow: Defensive Pass Interference (Declined) (no play)",1.220,2.650
2,1:54,1,10,OAK 44,7,7,"Nick Foles pass complete short right to Nelson Agholor for 11 yards (tackle by Bruce Irvin). Nick Foles fumbles, recovered by Nick Foles at OAK-49. Penalty on Lane Johnson: Offensive Holding, 10 yards (no play)",2.650,1.990
2,1:43,1,20,PHI 46,7,7,Nick Foles pass complete short middle to Zach Ertz for 9 yards (tackle by NaVorro Bowman),1.990,1.980
2,1:18,2,11,OAK 45,7,7,Nick Foles pass complete short left to Zach Ertz for 8 yards (tackle by Dexter McDonald),1.980,2.350
2,0:46,3,3,OAK 37,7,7,Nick Foles pass incomplete short left intended for Torrey Smith,2.350,0.790
2,0:41,4,3,OAK 37,7,7,Nick Foles pass complete short right to Zach Ertz for 4 yards (tackle by Antonio Hamilton),0.790,3.380
2,0:38,1,10,OAK 33,7,7,Nick Foles pass complete short right to Brent Celek for 12 yards (tackle by Shalom Luani),3.380,4.170
2,0:30,1,10,OAK 21,7,7,Nick Foles pass complete short right to Corey Clement for 6 yards (tackle by Dexter McDonald),4.170,4.550
2,0:26,2,4,OAK 15,7,7,Nick Foles pass incomplete short right intended for Zach Ertz (defended by Dexter McDonald),4.550,0.000
2,0:21,,,,,,Timeout #2 by Philadelphia Eagles,0.000,-3.810
2,0:21,3,4,OAK 15,7,7,Nick Foles pass incomplete,3.810,2.520
2,0:15,4,4,OAK 15,7,7,Jake Elliott 33 yard field goal no good,2.520,-0.540
2,0:11,1,10,OAK 24,7,7,Derek Carr kneels for -1 yards,0.540,-0.140
Quarter,Time,Down,ToGo,Location,OAK,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,7,7,"Jake Elliott kicks off 55 yards, returned by DeAndre Washington for 15 yards (tackle by Rodney McLeod)",0.000,-0.610
3,14:54,1,10,OAK 25,7,7,Marshawn Lynch middle for 16 yards (tackle by Rodney McLeod),0.610,1.660
3,14:18,1,10,OAK 41,7,7,"Marshawn Lynch middle for 4 yards (tackle by Nigel Bradham). Penalty on Fletcher Cox: Defensive Holding, 5 yards",1.660,2.260
3,13:48,1,10,,7,7,Jalen Richard middle for 3 yards (tackle by Fletcher Cox),2.260,2.120
3,13:10,2,7,PHI 47,7,7,Jalen Richard left end for 34 yards (tackle by Ronald Darby and Rodney McLeod),2.120,4.710
3,12:26,1,10,PHI 13,7,7,Marshawn Lynch middle for 2 yards (tackle by Jalen Mills),4.710,4.390
3,11:44,2,8,PHI 11,7,7,Marshawn Lynch right end for 5 yards (tackle by Chris Long),4.390,4.560
3,10:59,3,3,PHI 6,7,7,Derek Carr pass incomplete short right intended for Michael Crabtree (defended by Jalen Mills),4.560,3.010
3,10:54,4,3,PHI 6,10,7,Giorgio Tavecchio 25 yard field goal good,3.010,3.000
3,10:50,,,OAK 35,10,7,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
3,10:50,1,10,PHI 25,10,7,"LeGarrette Blount right end for 22 yards (tackle by Dexter McDonald). Penalty on Lane Johnson: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,10:20,1,20,PHI 15,10,7,Nick Foles pass incomplete short right intended for Jay Ajayi,-0.410,-1.430
3,10:16,2,20,PHI 15,10,7,Jay Ajayi middle for 2 yards (tackle by NaVorro Bowman),-1.430,-1.930
3,9:34,3,18,PHI 17,10,7,Nick Foles pass complete short middle to Nelson Agholor for 10 yards (tackle by T.J. Carrie),-1.930,-1.570
3,8:58,4,8,PHI 27,10,7,"Donnie Jones punts 36 yards, fair catch by Jalen Richard",-1.570,-1.400
3,8:51,1,10,OAK 37,10,7,Derek Carr pass incomplete short left intended for Lee Smith,1.400,0.860
3,8:46,2,10,OAK 37,10,7,Jalen Richard middle for -3 yards (tackle by Vinny Curry),0.860,-0.230
3,8:05,3,13,OAK 34,10,7,Derek Carr pass complete short right to Jalen Richard for 1 yard (tackle by Rodney McLeod),-0.230,-1.040
3,7:23,4,12,OAK 35,10,7,Marquette King punts 43 yards,-1.040,-0.410
3,7:13,1,10,PHI 22,10,7,Jay Ajayi right tackle for no gain (tackle by Darius Latham),0.410,-0.130
3,6:37,2,10,PHI 22,10,7,Nick Foles sacked by Jihad Ward for -9 yards,-0.130,-2.420
3,5:51,3,19,PHI 13,10,7,Nick Foles pass incomplete deep left intended for Torrey Smith,-2.420,-2.490
3,5:46,4,19,PHI 13,10,7,"Donnie Jones punts 51 yards, returned by Jalen Richard for 12 yards (tackle by Rick Lovato)",-2.490,-2.130
3,5:35,1,10,OAK 48,10,7,DeAndre Washington middle for -3 yards (tackle by Dannell Ellerbe). Penalty on Lee Smith: Illegal Crackback (Declined),2.130,1.180
3,5:09,2,13,OAK 45,10,7,Derek Carr pass complete short left to Seth Roberts for 8 yards (tackle by Patrick Robinson),1.180,1.550
3,4:25,3,5,PHI 47,10,7,Derek Carr pass incomplete short middle intended for Seth Roberts is intercepted by Patrick Robinson at PHI-37 and returned for 19 yards,1.550,-2.650
3,4:16,1,10,OAK 44,10,7,Nick Foles pass incomplete deep left intended for Nelson Agholor,2.650,2.110
3,4:05,2,10,OAK 44,10,7,"Jay Ajayi left guard for 14 yards (tackle by Reggie Nelson). Jay Ajayi fumbles (forced by Reggie Nelson), recovered by T.J. Carrie at OAK-30 (tackle by Jay Ajayi)",2.110,-0.940
3,3:55,1,10,OAK 30,10,7,"Marshawn Lynch right end for no gain (tackle by Vinny Curry). Marshawn Lynch fumbles (forced by Vinny Curry), recovered by Rodney McLeod at OAK-30 (tackle by David Sharpe)",0.940,-3.580
3,3:46,1,10,OAK 30,10,7,Nick Foles pass complete short left to Nelson Agholor for 12 yards (tackle by Dexter McDonald),3.580,4.370
3,3:09,1,10,OAK 18,10,7,Nick Foles pass incomplete deep middle intended for Zach Ertz,4.370,3.800
3,3:04,2,10,OAK 18,10,7,Nick Foles pass complete short right to Zach Ertz for 1 yard (tackle by Karl Joseph),3.800,3.170
3,2:23,3,9,OAK 17,10,7,Nick Foles pass incomplete short middle intended for Alshon Jeffery,3.170,2.310
3,2:17,4,9,OAK 17,10,10,Jake Elliott 35 yard field goal good,2.310,3.000
3,2:13,,,PHI 35,10,10,"Jake Elliott kicks off 45 yards, returned by Jalen Richard for 11 yards (tackle by Trey Burton)",0.000,-1.000
3,2:08,1,10,OAK 31,10,10,Marshawn Lynch middle for 15 yards (tackle by Rodney McLeod),1.000,1.990
3,1:28,1,10,OAK 46,10,10,Marshawn Lynch right end for -1 yards (tackle by Nigel Bradham and Brandon Graham),1.990,1.320
3,0:44,2,11,OAK 45,10,10,Marshawn Lynch middle for 3 yards (tackle by Beau Allen and Rodney McLeod),1.320,1.030
Quarter,Time,Down,ToGo,Location,OAK,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,OAK 48,10,10,"Derek Carr sacked by Chris Long for -7 yards. Derek Carr fumbles (forced by Chris Long), recovered by DeAndre Washington at OAK-41 and returned for 4 yards",1.030,-0.390
4,14:08,4,11,OAK 45,10,10,"Marquette King punts 36 yards, returned by Kenjon Barner for 8 yards (tackle by Nicholas Morrow)",-0.390,-0.740
4,13:57,1,10,PHI 27,10,10,LeGarrette Blount left end for -2 yards (tackle by Bruce Irvin),0.740,-0.070
4,13:16,2,12,PHI 25,10,10,Nick Foles pass incomplete short right intended for Torrey Smith,-0.070,-0.760
4,13:09,3,12,PHI 25,10,10,"Nick Foles sacked by Denico Autry for -16 yards. Nick Foles fumbles, recovered by Nick Foles at PHI-20",-0.760,-2.490
4,12:24,4,28,PHI 9,10,10,"Donnie Jones punts 42 yards, fair catch by T.J. Carrie",-2.490,-2.190
4,12:18,1,10,OAK 49,10,10,Derek Carr pass complete short left to Amari Cooper for 6 yards (tackle by Ronald Darby),2.190,2.460
4,11:42,2,4,PHI 45,10,10,Marshawn Lynch right end for 3 yards (tackle by Brandon Graham),2.460,2.150
4,11:06,3,1,PHI 42,10,10,Marshawn Lynch middle for 2 yards (tackle by Vinny Curry),2.150,2.920
4,10:24,1,10,PHI 40,10,10,Marshawn Lynch left tackle for 2 yards (tackle by Nigel Bradham),2.920,2.640
4,9:41,2,8,PHI 38,10,10,Derek Carr pass incomplete deep right intended for Michael Crabtree (defended by Jalen Mills),2.640,1.950
4,9:35,3,8,PHI 38,10,10,"Derek Carr pass incomplete deep left intended for Jared Cook. Penalty on Ronald Darby: Illegal Contact, 5 yards (no play)",1.950,3.380
4,9:29,1,10,PHI 33,10,10,Marshawn Lynch right end for no gain (tackle by Fletcher Cox and Malcolm Jenkins),3.380,2.840
4,8:48,2,10,PHI 33,10,10,Derek Carr middle for 3 yards (tackle by Derek Barnett),2.840,2.540
4,8:10,3,7,PHI 30,10,10,Derek Carr pass incomplete,2.540,1.410
4,8:03,4,7,PHI 30,10,10,Giorgio Tavecchio 48 yard field goal no good,1.410,-1.470
4,7:58,1,10,PHI 38,10,10,Nick Foles pass incomplete short left intended for Zach Ertz is intercepted by Reggie Nelson at PHI-40 and returned for 3 yards,1.470,-3.120
4,7:52,1,10,PHI 37,10,10,Derek Carr pass incomplete short left intended for Marshawn Lynch,3.120,2.570
4,7:46,2,10,PHI 37,10,10,"Marshawn Lynch left end for 11 yards (tackle by Nigel Bradham and Rodney McLeod). Penalty on Lee Smith: Offensive Holding, 10 yards (no play)",2.570,1.220
4,7:17,2,20,PHI 47,10,10,Derek Carr pass complete short left to Jalen Richard for 23 yards (tackle by Nigel Bradham),1.220,3.970
4,6:42,1,10,PHI 24,10,10,"Jalen Richard middle for 8 yards (tackle by Malcolm Jenkins). Jalen Richard fumbles (forced by Malcolm Jenkins), recovered by Malcolm Jenkins at PHI-16 (tackle by Lee Smith)",3.970,0.140
4,6:35,1,10,PHI 16,10,10,Jay Ajayi left end for 2 yards (tackle by Reggie Nelson),-0.140,-0.350
4,5:53,2,8,PHI 18,10,10,Jay Ajayi middle for 4 yards (tackle by Khalil Mack),-0.350,-0.570
4,5:10,3,4,PHI 22,10,10,Nick Foles pass incomplete deep right intended for Alshon Jeffery,-0.570,-1.900
4,4:57,4,4,PHI 22,10,10,Donnie Jones punts 37 yards,-1.900,-1.660
4,4:47,1,10,OAK 41,10,10,Marshawn Lynch right end for 4 yards (tackle by Beau Allen),1.660,1.660
4,4:10,2,6,OAK 45,10,10,Marshawn Lynch middle for -2 yards (tackle by Vinny Curry and Chris Long),1.660,0.700
4,3:27,3,8,OAK 43,10,10,Derek Carr pass complete short left to Marshawn Lynch for -3 yards (tackle by Timmy Jernigan),0.700,-0.720
4,2:35,4,11,OAK 40,10,10,"Marquette King punts 50 yards, muffed catch by Kenjon Barner, recovered by Kenjon Barner and returned for 3 yards (tackle by Johnny Holton)",-0.720,0.350
4,2:19,1,10,PHI 12,10,10,Jay Ajayi right end for -6 yards (tackle by Bruce Irvin),-0.350,-1.220
4,2:00,2,16,PHI 6,10,10,LeGarrette Blount left tackle for 4 yards (tackle by Khalil Mack),-1.220,-1.650
4,1:24,3,12,PHI 10,10,10,Nick Foles pass incomplete short right intended for Torrey Smith,-1.650,-2.490
4,1:17,4,12,PHI 10,10,10,Donnie Jones punts 44 yards,-2.490,-1.990
4,1:07,1,10,OAK 46,10,10,Derek Carr pass complete short right to Marshawn Lynch for no gain,1.990,1.450
4,0:57,2,10,OAK 46,10,10,Derek Carr pass incomplete short left intended for Amari Cooper is intercepted by Ronald Darby at PHI-48,1.450,-2.130
4,0:54,1,10,PHI 48,10,10,Nick Foles pass complete short middle to Nelson Agholor for 5 yards (tackle by NaVorro Bowman),2.130,0.000
4,0:49,,,,,,Timeout #1 by Philadelphia Eagles,0.000,-2.260
4,0:49,2,5,OAK 47,10,10,Nick Foles pass complete short right to Nelson Agholor for 8 yards (tackle by T.J. Carrie),2.260,0.000
4,0:38,,,,,,Timeout #2 by Philadelphia Eagles,0.000,-2.980
4,0:38,1,10,OAK 39,10,10,Nick Foles pass complete short right to Zach Ertz for 4 yards (tackle by Karl Joseph),2.980,2.980
4,0:34,2,6,OAK 35,10,10,Nick Foles pass complete short right to Zach Ertz for 4 yards (tackle by Nicholas Morrow),2.980,2.810
4,0:30,3,2,OAK 31,10,10,Nick Foles pass incomplete short right intended for Corey Clement,2.810,1.400
4,0:27,4,2,OAK 31,10,13,Jake Elliott 48 yard field goal good,1.400,3.000
4,0:22,,,PHI 35,10,13,"Jake Elliott kicks off 55 yards, returned by DeAndre Washington for 26 yards (tackle by Malcolm Jenkins)",0.000,-1.330
4,0:17,1,10,OAK 36,10,13,Derek Carr pass incomplete short left intended for Cordarrelle Patterson,1.330,0.790
4,0:14,2,10,OAK 36,10,13,Derek Carr pass incomplete short left intended for DeAndre Washington,0.790,0.000
4,0:10,,,,,,Timeout #1 by Oakland Raiders,0.000,-0.100
4,0:10,3,10,OAK 36,10,13,Derek Carr pass incomplete short left intended for Jared Cook,0.100,0.000
4,0:03,,,,,,Timeout #3 by Philadelphia Eagles,0.000,0.980
4,0:03,4,10,OAK 36,10,19,"Derek Carr pass complete short right to Amari Cooper for -3 yards, lateral to Jalen Richard for -10 yards. Jalen Richard fumbles, recovered by Derek Barnett at OAK-23 and returned for 23 yards, touchdown",-0.980,-7.000
4,0:00,,,,10,19,"Two Point Attempt: Nick Foles kneels, conversion fails",0.000,-1.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
