Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
4,2:30,,,,20,22,Timeout #3 by Miami Dolphins,0.000,3.550
4,2:28,4,1,MIA 1,23,22,Jeff Reed 18 yard field goal good,3.550,3.000
4,,,,PIT 30,23,22,"Jeff Reed kicks off 67 yards, returned by Patrick Cobbs for 26 yards (tackle by Ryan Mundy)",0.000,0.870
4,2:19,1,10,MIA 29,23,22,Ronnie Brown middle for 2 yards (tackle by James Harrison),0.870,0.600
4,2:03,2,8,MIA 31,23,22,Chad Henne pass incomplete short middle intended for Anthony Fasano,0.600,-0.100
4,1:58,3,8,MIA 31,23,22,Chad Henne pass complete short left to Lousaka Polite for 2 yards (tackle by William Gay),-0.100,-1.180
4,1:33,4,6,MIA 33,23,22,Chad Henne pass incomplete short right intended for Ronnie Brown is intercepted by James Harrison at MIA-34 and returned for 2 yards,-1.180,-3.450
4,1:26,1,10,MIA 32,23,22,Ben Roethlisberger kneels for -1 yards,3.450,2.770
4,0:45,2,11,MIA 33,23,22,Ben Roethlisberger kneels for no gain,2.770,2.080
4,0:17,3,11,MIA 33,23,22,Ben Roethlisberger kneels for -1 yards,2.080,1.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
