Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
2,7:42,1,10,PIT 39,7,0,Ben Roethlisberger pass incomplete short right intended for Santonio Holmes,1.530,0.990
2,7:38,2,10,PIT 39,7,0,Rashard Mendenhall left guard for no gain (tackle by Kevin Payne and Anthony Adams),0.990,0.300
2,6:58,3,10,PIT 39,7,0,"Penalty on Willie Colon: False Start, 5 yards (no play)",0.300,-0.360
2,6:39,3,15,PIT 34,7,0,"Ben Roethlisberger pass incomplete short middle intended for Santonio Holmes (defended by Charles Tillman). Penalty on Adewale Ogunleye: Defensive Offside, 5 yards (no play)",-0.360,0.300
2,6:33,3,10,PIT 39,7,0,Ben Roethlisberger pass incomplete deep middle intended for Santonio Holmes,0.300,-0.780
2,6:28,4,10,PIT 39,7,0,Daniel Sepulveda punts 58 yards,-0.780,0.380
2,6:16,1,10,CHI 3,7,0,"Jay Cutler pass incomplete short left intended for Adrian Peterson. Penalty on James Harrison: Roughing the Passer, 15 yards (no play)",-0.380,0.040
2,6:10,1,10,CHI 18,7,0,Jay Cutler pass incomplete short right intended for Devin Hester,0.040,-0.490
2,6:05,2,10,CHI 18,7,0,Adrian Peterson right end for 15 yards (tackle by Ryan Clark),-0.490,1.140
2,5:28,1,10,CHI 33,7,0,Jay Cutler pass complete short right to Johnny Knox for 22 yards (tackle by Ryan Clark),1.140,2.590
2,4:54,1,10,PIT 45,7,0,Jay Cutler pass incomplete deep left intended for Greg Olsen (defended by Tyrone Carter),2.590,2.040
2,4:47,2,10,PIT 45,7,0,Jay Cutler pass complete short right to Matt Forte for 7 yards (tackle by Travis Kirschke),2.040,2.280
2,4:05,3,3,PIT 38,7,0,"Jay Cutler pass incomplete short right intended for Johnny Knox. Penalty on Lawrence Timmons: Defensive Holding, 5 yards (no play)",2.280,3.380
2,3:58,1,10,PIT 33,7,0,Adrian Peterson right tackle for no gain (tackle by Casey Hampton),3.380,2.840
2,3:14,2,10,PIT 33,7,0,Jay Cutler pass complete short left to Johnny Knox for 16 yards (tackle by Ryan Clark),2.840,4.440
2,2:41,1,10,PIT 17,7,0,Jay Cutler pass complete short left to Adrian Peterson for 7 yards (tackle by William Gay),4.440,5.100
2,2:03,2,3,PIT 10,7,0,Jay Cutler pass incomplete short left intended for Greg Olsen,5.100,4.340
2,1:58,3,3,PIT 10,7,0,Jay Cutler pass complete short left to Adrian Peterson for 4 yards (tackle by Ike Taylor),4.340,5.830
2,1:19,1,6,PIT 6,7,0,Adrian Peterson right tackle for 1 yard (tackle by James Farrior),5.830,5.150
2,0:40,2,5,PIT 5,7,0,Jay Cutler sacked by Tyrone Carter for -1 yards,5.150,4.040
2,0:23,,,,7,0,Timeout #2 by Chicago Bears,0.000,4.040
2,0:23,3,6,PIT 6,7,6,"Jay Cutler pass complete short right to Kellen Davis for 6 yards, touchdown",4.040,7.000
2,,,,PIT 2,7,7,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,7,7,"Robbie Gould kicks off 49 yards, returned by Mewelde Moore for 13 yards (tackle by Israel Idonije)",0.000,1.200
2,0:13,1,10,PIT 34,7,7,Ben Roethlisberger kneels for -1 yards,1.200,0.520
Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,7,7,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,PIT 20,7,7,Willie Parker right guard for no gain (tackle by Anthony Adams),0.280,-0.270
3,14:24,2,10,PIT 20,7,7,Ben Roethlisberger pass incomplete short left intended for Santonio Holmes,-0.270,-0.960
3,14:21,3,10,PIT 20,7,7,Ben Roethlisberger pass incomplete deep middle intended for Santonio Holmes (defended by Hunter Hillenmeyer),-0.960,-2.030
3,14:16,4,10,PIT 20,7,7,"Daniel Sepulveda punts 57 yards, returned by Devin Hester for 12 yards (tackle by Patrick Bailey)",-2.030,-1.270
3,14:04,1,10,CHI 35,7,7,Jay Cutler pass incomplete short right intended for Johnny Knox,1.270,0.720
3,13:58,2,10,CHI 35,7,7,Matt Forte right guard for 2 yards (tackle by James Harrison),0.720,0.300
3,13:14,3,8,CHI 37,7,7,"Jay Cutler pass incomplete short right intended for Devin Hester. Penalty on Jay Cutler: Intentional Grounding, 10 yards",0.300,-1.570
3,13:10,4,18,CHI 27,7,7,"Brad Maynard punts 42 yards, returned by Stefan Logan for no gain. Penalty on Ike Taylor: Illegal Block Above the , 10 yards",-1.570,-0.340
3,12:59,1,10,PIT 21,7,7,Willie Parker right end for 2 yards (tackle by Hunter Hillenmeyer),0.340,0.070
3,12:18,2,8,PIT 23,7,7,Ben Roethlisberger pass incomplete deep right intended for Hines Ward,0.070,-0.630
3,12:13,3,8,PIT 23,7,7,Ben Roethlisberger pass complete short left to Mewelde Moore for 8 yards (tackle by Zackary Bowman),-0.630,1.000
3,11:41,1,10,PIT 31,7,7,Ben Roethlisberger pass incomplete deep right intended for Santonio Holmes,1.000,0.460
3,11:36,2,10,PIT 31,7,7,Ben Roethlisberger pass complete short middle to Matt Spaeth for 9 yards (tackle by Lance Briggs),0.460,0.960
3,10:52,3,1,PIT 40,7,7,Ben Roethlisberger sacked by Alex Brown for -9 yards,0.960,-1.310
3,10:52,4,10,PIT 31,7,7,"Daniel Sepulveda punts 48 yards, returned by Devin Hester for 2 yards (tackle by Andre Frazier)",-1.310,-0.480
3,10:25,1,10,CHI 23,7,7,Jay Cutler pass complete short right to Kellen Davis for 7 yards (tackle by James Farrior),0.480,0.880
3,9:51,2,3,CHI 30,7,7,"Penalty on Frank Omiyale: False Start, 5 yards (no play)",0.880,0.200
3,9:35,2,8,CHI 25,7,7,Matt Forte right guard for no gain (tackle by Deshea Townsend),0.200,-0.490
3,9:00,3,8,CHI 25,7,7,"Penalty on Roberto Garza: False Start, 5 yards (no play)",-0.490,-1.150
3,8:45,3,13,CHI 20,7,7,Jay Cutler pass complete short left to Earl Bennett for 15 yards (tackle by Lawrence Timmons),-1.150,1.270
3,8:07,1,10,CHI 35,7,7,Jay Cutler pass incomplete deep right intended for Johnny Knox,1.270,0.720
3,7:58,2,10,CHI 35,7,7,Matt Forte right guard for 5 yards (tackle by William Gay and Ryan Clark),0.720,0.700
3,7:13,3,5,CHI 40,7,7,Jay Cutler pass incomplete short left intended for Matt Forte (defended by Lawrence Timmons),0.700,-0.720
3,7:10,4,5,CHI 40,7,7,"Brad Maynard punts 48 yards, returned by Stefan Logan for 19 yards (tackle by Garrett Wolfe)",-0.720,-1.000
3,6:56,1,10,PIT 31,7,7,Ben Roethlisberger pass complete short left to Rashard Mendenhall for 13 yards (tackle by Kevin Payne),1.000,1.860
3,6:24,1,10,PIT 44,7,7,"Rashard Mendenhall right guard for no gain (tackle by Danieal Manning). Penalty on Mark Anderson: Unnecessary Roughness, 15 yards",1.860,2.850
3,6:04,1,10,CHI 41,7,7,Rashard Mendenhall right tackle for 39 yards (tackle by Kevin Payne),2.850,6.740
3,5:31,,,,7,7,Timeout #1 by Pittsburgh Steelers,0.000,6.740
3,5:31,1,2,CHI 2,13,7,"Ben Roethlisberger left end for 2 yards, touchdown",6.740,7.000
3,,,,CHI 2,14,7,"Jeff Reed kicks extra point good. Penalty on Charles Tillman: Defensive Offside, 5 yards",0.000,0.000
3,,,,PIT 35,14,7,"Jeff Reed kicks off 57 yards, returned by Johnny Knox for 37 yards (tackle by Jeff Reed). Penalty on Al Afalava: Offensive Holding, 10 yards",0.000,-0.320
3,5:17,1,10,CHI 13,14,7,Jay Cutler pass complete short right to Matt Forte for 9 yards (tackle by Tyrone Carter),-0.320,0.490
3,4:41,2,1,CHI 22,14,7,Matt Forte right guard for 3 yards (tackle by James Farrior),0.490,0.610
3,4:03,1,10,CHI 25,14,7,Jay Cutler sacked by Aaron Smith for -4 yards,0.610,-0.480
3,3:37,2,14,CHI 21,14,7,Jay Cutler pass complete short right to Devin Hester for 1 yard (tackle by Lawrence Timmons),-0.480,-1.020
3,2:49,3,13,CHI 22,14,7,Matt Forte right tackle for 5 yards (tackle by Ike Taylor),-1.020,-1.570
3,2:24,4,8,CHI 27,14,7,"Brad Maynard punts 46 yards, returned by Stefan Logan for 10 yards (tackle by Adrian Peterson)",-1.570,-1.400
3,2:10,1,10,PIT 37,14,7,Willie Parker right guard for 13 yards (tackle by Danieal Manning),1.400,2.260
3,1:23,1,10,,14,7,Willie Parker left tackle for 1 yard (tackle by Lance Briggs),2.260,1.850
3,0:47,2,9,CHI 49,14,7,Ben Roethlisberger pass incomplete short right intended for Heath Miller,1.850,1.160
3,0:43,3,9,CHI 49,14,7,Ben Roethlisberger pass complete deep right to Santonio Holmes for 23 yards (tackle by Kevin Payne),1.160,3.840
Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 26,14,7,Willie Parker right end for 6 yards (tackle by Danieal Manning),3.840,4.110
4,14:22,2,4,CHI 20,14,7,Ben Roethlisberger pass complete short left to Santonio Holmes for 7 yards (tackle by Zackary Bowman and Danieal Manning),4.110,4.710
4,13:45,1,10,CHI 13,14,7,Ben Roethlisberger pass complete short left to Willie Parker for 3 yards (tackle by Lance Briggs),4.710,4.580
4,12:59,2,7,CHI 10,14,7,Willie Parker right tackle for -1 yards (tackle by Alex Brown),4.580,3.450
4,12:14,3,8,CHI 11,14,7,Ben Roethlisberger sacked by Alex Brown for -9 yards,3.450,2.120
4,11:42,4,17,CHI 20,14,7,Jeff Reed 38 yard field goal no good,2.120,-0.810
4,11:37,1,10,CHI 28,14,7,Jay Cutler pass complete short right to Johnny Knox for 7 yards (tackle by Casey Hampton and Keyaron Fox),0.810,1.210
4,10:58,2,3,CHI 35,14,7,Matt Forte left end for no gain (tackle by James Farrior),1.210,0.500
4,10:14,3,3,CHI 35,14,7,Jay Cutler pass complete short left to Devin Hester for 13 yards (tackle by Ike Taylor),0.500,2.130
4,9:27,1,10,CHI 48,14,7,Jay Cutler pass complete deep middle to Greg Olsen for 29 yards (tackle by Tyrone Carter),2.130,4.040
4,8:39,1,10,PIT 23,14,7,Jay Cutler pass complete short left to Kellen Davis for 8 yards (tackle by James Farrior),4.040,4.750
4,8:01,2,2,PIT 15,14,7,Jay Cutler pass complete short left to Greg Olsen for 6 yards (tackle by Ryan Clark),4.750,5.140
4,7:15,1,9,PIT 9,14,7,Jay Cutler pass incomplete short right intended for Devin Hester,5.140,4.380
4,7:09,2,9,PIT 9,14,7,Matt Forte right guard for 2 yards (tackle by Lawrence Timmons),4.380,3.810
4,6:25,3,7,PIT 7,14,13,"Jay Cutler pass complete short middle to Johnny Knox for 7 yards, touchdown",3.810,7.000
4,,,,PIT 2,14,14,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,14,14,"Robbie Gould kicks off 66 yards, returned by Stefan Logan for 25 yards (tackle by Zackary Bowman)",0.000,0.870
4,6:15,1,10,PIT 29,14,14,Ben Roethlisberger pass complete short right to Hines Ward for 4 yards (tackle by Lance Briggs),0.870,0.870
4,5:43,2,6,PIT 33,14,14,Ben Roethlisberger pass complete short middle to Hines Ward for 9 yards (tackle by Hunter Hillenmeyer),0.870,1.730
4,5:09,1,10,PIT 42,14,14,Mewelde Moore right tackle for 15 yards (tackle by Al Afalava),1.730,2.720
4,4:23,1,10,CHI 43,14,14,Ben Roethlisberger pass incomplete short right intended for Santonio Holmes,2.720,2.180
4,4:19,2,10,CHI 43,14,14,"Ben Roethlisberger pass incomplete short left intended for Hines Ward. Penalty on Alex Brown: Defensive Offside, 5 yards (no play)",2.180,2.850
4,4:16,2,5,CHI 38,14,14,Ben Roethlisberger pass incomplete short right intended for Santonio Holmes,2.850,2.150
4,4:11,3,5,CHI 38,14,14,Ben Roethlisberger right guard for 5 yards (tackle by Mark Anderson),2.150,3.380
4,3:39,1,10,CHI 33,14,14,Mewelde Moore left end for -2 yards (tackle by Tommie Harris),3.380,2.570
4,3:34,,,,14,14,Timeout #1 by Chicago Bears,0.000,2.570
4,3:34,2,12,CHI 35,14,14,Ben Roethlisberger pass complete short right to Mike Wallace for 10 yards (tackle by Charles Tillman),2.570,3.200
4,3:29,3,2,CHI 25,14,14,Ben Roethlisberger pass incomplete deep left intended for Santonio Holmes,3.200,1.930
4,3:23,4,2,CHI 25,14,14,Jeff Reed 43 yard field goal no good,1.930,-1.140
4,3:18,1,10,CHI 33,14,14,"Jay Cutler pass complete short left to Matt Forte for 12 yards (tackle by James Harrison). Matt Forte fumbles (forced by James Harrison), recovered by Greg Olsen at PIT-45",1.140,2.590
4,2:32,1,10,PIT 45,14,14,Jay Cutler pass complete short left to Johnny Knox for 5 yards (tackle by William Gay),2.590,2.720
4,2:27,2,5,PIT 40,14,14,Matt Forte right end for 1 yard (tackle by James Harrison),2.720,2.150
4,2:00,3,4,PIT 39,14,14,Jay Cutler pass complete short left to Devin Hester for 5 yards (tackle by Ike Taylor),2.150,3.310
4,1:16,1,10,PIT 34,14,14,Matt Forte right guard for 4 yards (tackle by James Harrison),3.310,3.310
4,1:12,,,,14,14,Timeout #2 by Pittsburgh Steelers,0.000,3.310
4,1:12,2,6,PIT 30,14,14,Matt Forte right tackle for 3 yards (tackle by Brett Keisel),3.310,3.010
4,1:07,,,,14,14,Timeout #3 by Pittsburgh Steelers,0.000,3.010
4,1:07,3,3,PIT 27,14,14,Matt Forte left tackle for 1 yard (tackle by James Harrison and Keyaron Fox),3.010,1.860
4,0:20,,,,14,14,Timeout #2 by Chicago Bears,0.000,1.860
4,0:20,4,2,PIT 26,14,17,Robbie Gould 44 yard field goal good,1.860,3.000
4,,,,CHI 30,14,17,"Robbie Gould kicks off 61 yards, returned by Stefan Logan for 22 yards (tackle by Jamar Williams). Stefan Logan fumbles (forced by Jamar Williams), recovered by Craig Steltz at PIT-33 (tackle by Ryan Mundy)",0.000,-3.380
4,0:09,1,10,PIT 33,14,17,Jay Cutler kneels for -1 yards,3.380,2.700
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
