Quarter,Time,Down,ToGo,Location,CIN,GNB,Detail,EPB,EPA
1,8:05,1,10,CIN 11,7,0,Aaron Rodgers pass complete short right to Davante Adams for 10 yards (tackle by Shawn Williams and George Iloka),4.840,0.000
1,7:51,,,,,,Timeout #1 by Cincinnati Bengals,0.000,-6.970
1,7:51,1,1,CIN 1,7,6,"Aaron Rodgers pass complete short right to Lance Kendricks for 1 yard, touchdown",6.970,7.000
1,7:46,,,CIN 15,7,7,Mason Crosby kicks extra point good,0.000,0.000
1,7:46,,,GNB 35,7,7,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
1,7:46,1,10,CIN 25,7,7,Andy Dalton pass complete short middle to A.J. Green for 17 yards (tackle by Kevin King),0.610,1.730
1,7:12,1,10,CIN 42,7,7,Joe Mixon right end for 1 yard (tackle by Josh Jones and Blake Martinez),1.730,1.320
1,6:34,2,9,CIN 43,7,7,Andy Dalton pass complete short right to Tyler Kroft for 14 yards (tackle by Josh Jones),1.320,2.720
1,6:04,1,10,GNB 43,7,7,Joe Mixon right end for 1 yard (tackle by Dean Lowry and Blake Martinez),2.720,2.310
1,5:20,2,9,GNB 42,7,7,Joe Mixon right tackle for 1 yard (tackle by Josh Jones),2.310,1.750
1,4:38,3,8,GNB 41,7,7,Andy Dalton sacked by Josh Jones for -6 yards,1.750,0.130
1,3:41,4,14,GNB 47,7,7,"Kevin Huber punts 40 yards, returned by Trevor Davis for 33 yards (tackle by Clayton Fejedelem)",0.130,-1.600
1,3:41,1,10,GNB 40,7,7,Ty Montgomery right guard for no gain (tackle by Carl Lawson),1.600,1.050
1,3:11,2,10,GNB 40,7,7,Aaron Rodgers pass incomplete short right intended for Davante Adams,1.050,0.370
1,3:08,3,10,GNB 40,7,7,Aaron Rodgers pass complete short left to Ty Montgomery for -7 yards (tackle by Nick Vigil and Vincent Rey),0.370,-1.180
1,2:25,4,17,GNB 33,7,7,"Justin Vogel punts 27 yards, out of bounds",-1.180,-1.600
1,2:18,1,10,CIN 40,7,7,Joe Mixon left end for -6 yards (tackle by Damarious Randall),1.600,0.240
1,1:35,2,16,CIN 34,7,7,Andy Dalton pass complete short right to Joe Mixon for 9 yards (tackle by Damarious Randall),0.240,0.760
1,0:52,3,7,CIN 43,7,7,Andy Dalton pass complete short left to Joe Mixon for 9 yards (tackle by Ha Ha Clinton-Dix),0.760,2.390
1,0:25,1,10,GNB 48,7,7,Giovani Bernard right tackle for 25 yards (tackle by Ha Ha Clinton-Dix and Joe Thomas),2.390,4.040
Quarter,Time,Down,ToGo,Location,CIN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 23,7,7,Jeremy Hill middle for 8 yards (tackle by Clay Matthews),4.040,4.750
2,14:25,2,2,GNB 15,7,7,Jeremy Hill right guard for 1 yard (tackle by Clay Matthews and Kenny Clark),4.750,4.280
2,13:57,3,1,GNB 14,7,7,Jeremy Hill left guard for 5 yards (tackle by Kenny Clark),4.280,5.140
2,13:15,1,9,GNB 9,7,7,Jeremy Hill middle for 3 yards (tackle by Marwin Evans),5.140,4.950
2,12:35,2,6,GNB 6,13,7,"Andy Dalton pass complete short left to Giovani Bernard for 6 yards, touchdown",4.950,7.000
2,12:29,,,GNB 15,14,7,Randy Bullock kicks extra point good,0.000,0.000
2,12:29,,,CIN 35,14,7,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
2,12:29,1,10,GNB 25,14,7,Aaron Rodgers pass complete deep right to Davante Adams for 41 yards (tackle by George Iloka). Penalty on Dre Kirkpatrick: Defensive Holding (Declined),0.610,3.310
2,12:00,1,10,CIN 34,14,7,Ty Montgomery left end for no gain (tackle by Carlos Dunlap),3.310,2.770
2,11:20,2,10,CIN 34,14,7,Aaron Rodgers pass complete short right to Ty Montgomery for 4 yards (tackle by Darqueze Dennard),2.770,2.610
2,10:20,3,6,CIN 30,20,7,"Aaron Rodgers pass incomplete short left intended for Jordy Nelson is intercepted by William Jackson at CIN-25 and returned for 75 yards, touchdown",2.610,-7.000
2,,,,GNB 15,21,7,Randy Bullock kicks extra point good,,
2,10:20,,,CIN 35,21,7,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
2,10:20,1,10,GNB 25,21,7,Ty Montgomery middle for 3 yards (tackle by Darqueze Dennard and Shawn Williams),0.610,0.470
2,9:39,2,7,GNB 28,21,7,Aaron Rodgers pass complete short left to Ty Montgomery for 4 yards (tackle by William Jackson),0.470,0.300
2,9:07,3,3,GNB 32,21,7,Aaron Rodgers right end for 9 yards (tackle by Jordan Willis),0.300,1.660
2,8:28,1,10,GNB 41,21,7,Jamaal Williams left guard for 6 yards (tackle by Chris Smith),1.660,1.930
2,7:46,2,4,GNB 47,21,7,Aaron Rodgers sacked by Darqueze Dennard for 0 yards,1.930,1.220
2,7:14,3,4,GNB 47,21,7,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (no play)",1.220,0.560
2,6:48,3,9,GNB 42,21,7,Aaron Rodgers sacked by Carl Lawson for -8 yards,0.560,-1.110
2,6:13,4,17,GNB 34,21,7,"Justin Vogel punts 54 yards, returned by Alex Erickson for 27 yards (tackle by Justin Vogel). Penalty on Josh Shaw: Offensive Holding, 6 yards",-1.110,0.380
2,6:00,1,10,CIN 6,21,7,Joe Mixon middle for 10 yards (tackle by Morgan Burnett),-0.380,-0.140
2,5:20,1,10,CIN 16,21,7,Andy Dalton pass complete short right to A.J. Green for 11 yards (tackle by Ha Ha Clinton-Dix),-0.140,0.740
2,4:52,1,10,CIN 27,21,7,Joe Mixon left guard for 8 yards (tackle by Marwin Evans),0.740,1.280
2,4:18,2,2,CIN 35,21,7,Joe Mixon right end for -1 yards (tackle by Josh Jones and Chris Odom),1.280,0.430
2,3:36,3,3,CIN 34,21,7,Giovani Bernard middle for 1 yard (tackle by Blake Martinez),0.430,-1.040
2,2:52,4,2,CIN 35,21,7,"Kevin Huber punts 48 yards, returned by Trevor Davis for 10 yards (tackle by Clark Harris). Penalty on Kyler Fackrell: Illegal Block Above the Waist, 10 yards",-1.040,0.060
2,2:40,1,10,GNB 17,21,7,Aaron Rodgers pass complete short left to Martellus Bennett for 1 yard (tackle by Adam Jones),-0.060,-0.420
2,2:21,2,9,GNB 18,21,7,Aaron Rodgers sacked by Carl Lawson for -5 yards,-0.420,-1.860
2,2:00,3,14,GNB 13,21,7,Aaron Rodgers pass incomplete deep middle intended for Jordy Nelson,-1.860,-2.490
2,1:54,4,14,GNB 13,21,7,"Justin Vogel punts 61 yards, returned by Alex Erickson for 11 yards (tackle by Joe Thomas)",-2.490,-1.400
2,1:41,1,10,CIN 37,21,7,Andy Dalton pass complete short right to A.J. Green for 2 yards (tackle by Josh Jones),1.400,1.130
2,1:16,2,8,CIN 39,21,7,Andy Dalton pass complete short middle to Giovani Bernard for 6 yards (tackle by Josh Jones),1.130,1.220
2,0:48,3,2,CIN 45,21,7,Andy Dalton pass incomplete short right intended for A.J. Green,1.220,-0.390
2,0:45,4,2,CIN 45,21,7,"Kevin Huber punts 45 yards, fair catch by Trevor Davis",-0.390,0.380
2,0:38,1,10,GNB 10,21,7,Aaron Rodgers pass complete short right to Geronimo Allison for 10 yards (tackle by Darqueze Dennard and Vincent Rey),-0.380,0.000
2,0:30,,,,,,Timeout #1 by Green Bay Packers,0.000,-0.280
2,0:30,1,10,GNB 20,21,7,Aaron Rodgers pass incomplete short right intended for Ty Montgomery,0.280,0.000
2,0:25,,,,,,Timeout #2 by Green Bay Packers,0.000,0.270
2,0:25,2,10,GNB 20,21,7,Aaron Rodgers pass incomplete deep left intended for Geronimo Allison,-0.270,-0.960
2,0:17,3,10,GNB 20,21,7,Aaron Rodgers sacked by Michael Johnson for -7 yards,-0.960,0.000
2,0:11,,,,,,Timeout #2 by Cincinnati Bengals,0.000,2.490
2,0:11,4,17,GNB 13,21,7,"Justin Vogel punts 51 yards, muffed catch by William Jackson, recovered by Quinten Rollins and returned for no gain",-2.490,0.000
Quarter,Time,Down,ToGo,Location,CIN,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,21,7,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,GNB 25,21,7,Aaron Rodgers pass complete deep right to Lance Kendricks for 51 yards (tackle by Vincent Rey and George Iloka),0.610,3.970
3,14:05,1,10,CIN 24,21,7,Aaron Rodgers pass complete short left to Martellus Bennett for 5 yards (tackle by Vincent Rey),3.970,4.120
3,13:43,2,5,CIN 19,21,7,Aaron Rodgers pass complete short left to Jordy Nelson for 6 yards (tackle by Adam Jones),4.120,4.710
3,13:09,1,10,CIN 13,21,7,Ty Montgomery left end for 8 yards (tackle by Nick Vigil and Kevin Minter),4.710,5.540
3,12:30,2,2,CIN 5,21,7,Ty Montgomery right guard for 3 yards (tackle by Darqueze Dennard and Kevin Minter),5.540,6.740
3,11:36,1,2,CIN 2,21,7,"Aaron Rodgers pass incomplete short right intended for Jordy Nelson. Penalty on Dre Kirkpatrick: Defensive Pass Interference, 1 yards (no play)",6.740,6.970
3,11:32,1,1,CIN 1,21,7,Ty Montgomery right guard for no gain (tackle by Geno Atkins and Kevin Minter),6.970,5.910
3,10:50,2,1,CIN 1,21,7,Ty Montgomery right tackle for no gain (tackle by Kevin Minter and Pat Sims),5.910,5.170
3,10:00,3,1,CIN 1,21,13,"Aaron Rodgers pass complete short middle to Jordy Nelson for 1 yard, touchdown",5.170,7.000
3,9:54,,,CIN 15,21,14,Mason Crosby kicks extra point good,0.000,0.000
3,9:54,,,GNB 35,21,14,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
3,9:54,1,10,CIN 25,21,14,Andy Dalton pass complete short left to Joe Mixon for 21 yards (tackle by Marwin Evans),0.610,1.990
3,9:24,1,10,CIN 46,21,14,Joe Mixon right tackle for -2 yards (tackle by Kenny Clark),1.990,1.180
3,8:40,2,12,CIN 44,21,14,Andy Dalton pass incomplete deep right intended for A.J. Green,1.180,0.500
3,8:32,3,12,CIN 44,21,14,Andy Dalton sacked by Ahmad Brooks for -7 yards,0.500,-0.910
3,7:50,4,19,CIN 37,21,14,"Kevin Huber punts 48 yards, returned by Trevor Davis for 8 yards (tackle by C.J. Uzomah)",-0.910,-0.480
3,7:37,1,10,GNB 23,21,14,Ty Montgomery left end for 2 yards (tackle by William Jackson and Shawn Williams),0.480,0.200
3,7:01,2,8,GNB 25,21,14,Aaron Rodgers pass complete short right to Ty Montgomery for 2 yards (tackle by Dre Kirkpatrick),0.200,-0.230
3,6:18,3,6,GNB 27,21,14,Aaron Rodgers sacked by Chris Smith and Carl Lawson for -13 yards,-0.230,-2.470
3,5:36,4,19,GNB 14,21,14,"Justin Vogel punts 53 yards, returned by Alex Erickson for 20 yards (tackle by Jeff Janis)",-2.470,-2.460
3,5:23,1,10,GNB 47,21,14,Andy Dalton pass complete short right to Tyler Boyd for 11 yards (tackle by Kevin King),2.460,3.180
3,4:52,1,10,GNB 36,21,14,Andy Dalton pass complete short right to A.J. Green for 11 yards (tackle by Blake Martinez and Kevin King),3.180,3.910
3,4:16,1,10,GNB 25,21,14,Jeremy Hill left end for 3 yards (tackle by Clay Matthews and Blake Martinez),3.910,3.770
3,3:36,2,7,GNB 22,21,14,Andy Dalton pass incomplete short left intended for Tyler Kroft,3.770,3.070
3,3:28,3,7,GNB 22,21,14,Andy Dalton sacked by Josh Jones for -8 yards,3.070,1.410
3,2:46,4,15,GNB 30,21,14,Randy Bullock 48 yard field goal no good,1.410,-1.470
3,2:41,1,10,GNB 38,21,14,Aaron Rodgers right end for 13 yards (tackle by Shawn Williams),1.470,2.320
3,1:55,1,10,CIN 49,21,14,Aaron Rodgers pass incomplete short right intended for Ty Montgomery,2.320,1.780
3,1:50,2,10,CIN 49,21,14,Aaron Rodgers pass complete short right to Geronimo Allison for 9 yards (tackle by William Jackson),1.780,2.280
3,1:09,3,1,CIN 40,21,14,Aaron Rodgers pass complete short left to Jordy Nelson for 23 yards (tackle by Nick Vigil),2.280,4.440
3,0:46,1,10,CIN 17,21,14,"Aaron Rodgers sacked by Carl Lawson for -9 yards. Penalty on William Jackson: Defensive 12 On-field, 5 yards (no play)",4.440,5.520
,,,,,,,"CIN challenged the too many players on field ruling, and the play was upheld.",,
3,0:05,1,5,CIN 12,21,14,Aaron Rodgers pass complete short middle to Ty Montgomery for 2 yards (tackle by Vincent Rey),5.520,5.100
Quarter,Time,Down,ToGo,Location,CIN,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,CIN 10,21,14,Aaron Rodgers pass incomplete short right intended for Lance Kendricks,5.100,4.340
4,14:51,3,3,CIN 10,21,14,Aaron Rodgers pass incomplete short left intended for Davante Adams,4.340,2.860
4,14:47,4,3,CIN 10,21,17,Mason Crosby 28 yard field goal good,2.860,3.000
4,14:43,,,GNB 35,21,17,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
4,14:43,1,10,CIN 25,21,17,Andy Dalton pass complete deep right to A.J. Green for 18 yards (tackle by Kevin King),0.610,1.800
4,14:16,1,10,CIN 43,21,17,Joe Mixon right guard for no gain (tackle by Kenny Clark and Kyler Fackrell),1.800,1.250
4,13:35,2,10,CIN 43,21,17,Giovani Bernard right tackle for 1 yard (tackle by Blake Martinez),1.250,0.690
4,12:54,3,9,CIN 44,21,17,"Andy Dalton pass incomplete. Penalty on Andy Dalton: Intentional Grounding, 12 yards",0.690,-1.240
4,12:47,4,21,CIN 32,21,17,"Kevin Huber punts 57 yards, returned by Trevor Davis for 10 yards (tackle by Clayton Fejedelem)",-1.240,-0.340
4,12:37,1,10,GNB 21,21,17,Ty Montgomery left tackle for 4 yards (tackle by Chris Smith and Nick Vigil),0.340,0.340
4,12:01,2,6,GNB 25,21,17,Aaron Rodgers pass complete short right to Ty Montgomery for 4 yards (tackle by Nick Vigil and Vincent Rey),0.340,0.170
4,11:16,3,2,GNB 29,21,17,"Aaron Rodgers pass incomplete short left intended for Geronimo Allison. Penalty on Adam Jones: Defensive Pass Interference, 7 yards (no play)",0.170,1.330
4,11:11,1,10,GNB 36,21,17,Ty Montgomery left guard for 2 yards (tackle by Shawn Williams),1.330,1.060
4,10:28,2,8,GNB 38,21,17,Aaron Rodgers right end for 3 yards (tackle by Michael Johnson),1.060,0.760
4,9:59,3,5,GNB 41,21,17,Aaron Rodgers pass incomplete short middle intended for Martellus Bennett,0.760,-0.650
4,9:43,4,5,GNB 41,21,17,"Justin Vogel punts 50 yards, returned by Alex Erickson for no gain",-0.650,0.380
4,9:43,1,10,CIN 9,21,17,Joe Mixon middle for 2 yards (tackle by Kenny Clark),-0.380,-0.630
4,9:07,2,8,CIN 11,21,17,Andy Dalton pass complete short middle to A.J. Green for 3 yards (tackle by Blake Martinez),-0.630,-0.840
4,8:22,3,5,CIN 14,21,17,"Andy Dalton pass incomplete short right intended for A.J. Green. Penalty on Kevin King: Defensive Pass Interference, 6 yards (no play)",-0.840,0.280
4,8:17,1,10,CIN 20,21,17,Andy Dalton pass complete short middle to A.J. Green for 20 yards (tackle by Kevin King),0.280,1.600
4,7:48,1,10,CIN 40,21,17,Joe Mixon right guard for 6 yards (tackle by Blake Martinez and Morgan Burnett),1.600,1.860
4,7:09,2,4,CIN 46,21,17,Joe Mixon right tackle for 6 yards (tackle by Josh Jones),1.860,2.390
4,6:28,1,10,GNB 48,21,17,Andy Dalton pass complete short right to Brandon LaFell for 5 yards (tackle by Damarious Randall),2.390,2.520
4,5:59,2,5,GNB 43,21,17,Joe Mixon left tackle for 7 yards (tackle by Josh Jones and Damarious Randall),2.520,3.180
4,5:16,1,10,GNB 36,21,17,Andy Dalton pass incomplete deep left intended for Brandon LaFell,3.180,2.640
4,5:09,2,10,GNB 36,21,17,Joe Mixon left guard for 9 yards (tackle by Morgan Burnett),2.640,3.140
4,4:31,3,1,GNB 27,21,17,Andy Dalton middle for -1 yards (tackle by Morgan Burnett),3.140,1.700
4,3:51,4,2,GNB 28,24,17,Randy Bullock 46 yard field goal good,1.700,3.000
4,3:46,,,CIN 35,24,17,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
4,3:46,1,10,GNB 25,24,17,Aaron Rodgers pass complete deep right to Geronimo Allison for 17 yards (tackle by Darqueze Dennard),0.610,1.730
4,3:39,1,10,GNB 42,24,17,Aaron Rodgers pass complete short middle to Ty Montgomery for 1 yard (tackle by Darqueze Dennard),1.730,1.320
4,3:05,2,9,GNB 43,24,17,Aaron Rodgers pass incomplete short middle intended for Geronimo Allison,1.320,0.630
4,3:01,3,9,GNB 43,24,17,Aaron Rodgers pass complete short right to Geronimo Allison for 11 yards (tackle by Darqueze Dennard),0.630,2.520
4,2:34,1,10,CIN 46,24,17,Aaron Rodgers pass complete short left to Geronimo Allison for 3 yards (tackle by Darqueze Dennard),2.520,2.380
4,2:07,2,7,CIN 43,24,17,Aaron Rodgers pass complete short right to Jordy Nelson for 10 yards (tackle by Dre Kirkpatrick),2.380,3.380
4,2:00,1,10,CIN 33,24,17,Aaron Rodgers pass complete short left to Ty Montgomery for 5 yards (tackle by Nick Vigil and Darqueze Dennard),3.380,3.510
4,1:26,2,5,CIN 28,24,17,Aaron Rodgers pass complete short left to Martellus Bennett for 6 yards (tackle by Nick Vigil),3.510,0.000
4,1:13,,,,,,Timeout #1 by Green Bay Packers,0.000,-4.110
4,1:13,1,10,CIN 22,24,17,Aaron Rodgers pass complete short left to Davante Adams for 9 yards (tackle by Adam Jones),4.110,0.000
4,0:59,,,,,,Timeout #2 by Cincinnati Bengals,0.000,-5.060
4,0:59,2,1,CIN 13,24,17,Aaron Rodgers pass incomplete short left intended for Ty Montgomery,5.060,4.390
4,0:54,3,1,CIN 13,24,17,Ty Montgomery left tackle for 6 yards (tackle by Michael Johnson),4.390,5.600
4,0:26,1,7,CIN 7,24,17,"Aaron Rodgers pass incomplete short left intended for Martellus Bennett. Penalty on Carl Lawson: Defensive Offside, 4 yards (no play)",5.600,6.510
4,0:21,1,3,CIN 3,24,23,"Aaron Rodgers pass complete short right to Jordy Nelson for 3 yards, touchdown",6.510,7.000
4,0:17,,,,,,Timeout #3 by Cincinnati Bengals,0.000,0.000
4,0:17,,,CIN 15,24,24,Mason Crosby kicks extra point good,0.000,0.000
4,0:17,,,GNB 35,24,24,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
4,0:17,1,10,CIN 25,24,24,Andy Dalton kneels for -1 yards,0.610,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CIN,GNB,Detail,EPB,EPA
,,,,,,,"Bengals won the coin toss, Bengals to receive the overtime kickoff.",,
OT,10:00,,,GNB 35,24,24,"Mason Crosby kicks off 65 yards, touchback",0.000,0.000
OT,10:00,,,,,,Timeout #1 by Cincinnati Bengals,0.000,-0.610
OT,10:00,1,10,CIN 25,24,24,Joe Mixon right tackle for -2 yards (tackle by Blake Martinez),0.610,-0.210
OT,9:19,2,12,CIN 23,24,24,Andy Dalton pass complete short middle to A.J. Green for 6 yards (tackle by Josh Jones),-0.210,-0.100
OT,8:31,3,6,CIN 29,24,24,Andy Dalton pass complete short right to Tyler Kroft for 1 yard (tackle by Josh Jones),-0.100,-1.370
OT,7:54,4,5,CIN 30,24,24,"Kevin Huber punts 58 yards, returned by Trevor Davis for 9 yards (tackle by Clayton Fejedelem)",-1.370,-0.340
OT,7:39,1,10,GNB 21,24,24,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,0.340,-0.200
OT,7:34,2,10,GNB 21,24,24,Aaron Rodgers pass incomplete short right intended for Ty Montgomery,-0.200,-0.890
OT,7:30,3,10,GNB 21,24,24,Aaron Rodgers pass complete deep left to Geronimo Allison for 72 yards (tackle by Josh Shaw). Penalty on Michael Johnson: Defensive Offside (Declined),-0.890,5.600
OT,6:59,1,7,CIN 7,24,24,Aaron Rodgers right end for -2 yards (tackle by Carlos Dunlap),5.600,0.000
OT,6:26,,,,,,Timeout #2 by Cincinnati Bengals,0.000,-4.380
OT,6:26,2,9,CIN 9,24,27,Mason Crosby 27 yard field goal good,4.380,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
