Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
3,14:19,2,8,LAC 27,7,14,Melvin Gordon right end for 2 yards (tackle by Darian Stewart),0.330,-0.100
3,13:33,3,6,LAC 29,7,14,Philip Rivers pass incomplete short middle intended for Keenan Allen is intercepted by Bradley Roby at LAC-43,-0.100,-2.720
3,13:27,1,10,LAC 43,7,14,C.J. Anderson right guard for 4 yards (tackle by Korey Toomer),2.720,2.720
3,12:55,2,6,LAC 39,7,14,Trevor Siemian pass incomplete short left intended for Demaryius Thomas,2.720,2.010
3,12:51,3,6,LAC 39,7,14,Trevor Siemian pass complete deep right to Demaryius Thomas for 29 yards,2.010,4.910
3,12:09,1,10,LAC 10,7,14,Trevor Siemian right tackle for 8 yards (tackle by Jatavis Brown),4.910,5.720
3,11:21,2,2,LAC 2,7,14,"Penalty on DEN: Illegal Shift, 5 yards (no play)",5.720,4.760
3,11:13,2,7,LAC 7,7,14,Trevor Siemian right tackle for 1 yard (tackle by Joey Bosa),4.760,4.040
3,10:31,3,6,LAC 6,7,20,"Trevor Siemian pass complete short left to Bennie Fowler for 6 yards, touchdown",4.040,7.000
3,10:27,,,LAC 15,7,21,Brandon McManus kicks extra point good,0.000,0.000
3,10:27,,,DEN 35,7,21,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
3,10:27,1,10,LAC 25,7,21,Philip Rivers sacked by Shaquil Barrett for -7 yards,0.610,-0.980
3,9:41,2,17,LAC 18,7,21,Philip Rivers pass complete short left to Melvin Gordon for -1 yards (tackle by Darian Stewart),-0.980,-1.930
3,8:56,3,18,LAC 17,7,21,Philip Rivers pass complete short left to Tyrell Williams for 9 yards (tackle by Bradley Roby),-1.930,-1.630
3,8:29,4,9,LAC 26,7,21,"Drew Kaser punts 62 yards, returned by Isaiah McKenzie for 8 yards (tackle by Adrian Phillips)",-1.630,-0.280
3,8:16,1,10,DEN 20,7,21,Trevor Siemian pass complete short left to Demaryius Thomas for 14 yards (tackle by Casey Hayward),0.280,1.200
3,7:33,1,10,DEN 34,7,21,Jamaal Charles right guard for 7 yards (tackle by Korey Toomer and Jatavis Brown),1.200,1.600
3,6:58,2,3,DEN 41,7,21,Jamaal Charles left end for 12 yards (tackle by Hayes Pullard),1.600,2.460
3,6:18,1,10,LAC 47,7,21,Trevor Siemian pass complete short right to A.J. Derby for 12 yards (tackle by Tre Boston),2.460,3.250
3,5:28,1,10,LAC 35,7,21,Trevor Siemian sacked by Joey Bosa for -9 yards,3.250,1.490
3,4:46,2,19,LAC 44,7,21,Trevor Siemian pass complete short right to Emmanuel Sanders for 20 yards (tackle by Trevor Williams),1.490,3.970
3,4:02,1,10,LAC 24,7,21,Trevor Siemian pass complete short right to Demaryius Thomas for 12 yards (tackle by Casey Hayward and Hayes Pullard),3.970,4.780
3,3:28,1,10,LAC 12,7,21,Jamaal Charles right end for 2 yards (tackle by Korey Toomer),4.780,4.450
3,2:55,2,8,LAC 10,7,21,Trevor Siemian pass complete short middle to C.J. Anderson for 7 yards (tackle by Brandon Mebane),4.450,0.000
3,2:17,,,,,,Timeout #1 by Denver Broncos,0.000,-5.060
3,2:17,3,1,LAC 3,7,21,Jamaal Charles middle for 2 yards (tackle by Jatavis Brown),5.060,6.970
3,1:33,1,1,LAC 1,7,21,Jamaal Charles right end for -2 yards (tackle by Jahleel Addae),6.970,5.530
3,0:49,2,3,LAC 3,7,21,C.J. Anderson left guard for 1 yard (tackle by Tre Boston),5.530,4.950
3,0:08,3,2,LAC 2,7,21,Trevor Siemian pass incomplete short right intended for Emmanuel Sanders,4.950,3.250
3,0:03,4,2,LAC 2,7,24,Brandon McManus 20 yard field goal good,3.250,3.000
Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,DEN 35,7,24,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
4,15:00,1,10,LAC 25,7,24,Philip Rivers pass complete short left to Melvin Gordon for 9 yards (tackle by Bradley Roby and Brandon Marshall),0.610,1.280
4,14:27,2,1,LAC 34,7,24,Philip Rivers pass complete short middle to Tyrell Williams for 9 yards (tackle by Brandon Marshall),1.280,1.800
4,13:51,1,10,LAC 43,7,24,Melvin Gordon left tackle for -2 yards (tackle by Chris Harris),1.800,0.980
4,13:12,2,12,LAC 41,7,24,Philip Rivers pass complete short right to Austin Ekeler for 7 yards (tackle by Corey Nelson),0.980,1.220
4,12:34,3,5,LAC 48,7,24,Philip Rivers pass complete short right to Keenan Allen for 4 yards (tackle by Aqib Talib),1.220,0.000
4,12:02,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-0.070
4,12:02,4,1,DEN 48,7,24,Melvin Gordon middle for -2 yards (tackle by Todd Davis),0.070,-2.320
4,11:58,1,10,LAC 49,7,24,--,2.320,1.780
4,11:58,2,10,LAC 49,7,24,C.J. Anderson middle for no gain (tackle by Jatavis Brown),1.780,1.090
4,10:44,3,10,LAC 49,7,24,Trevor Siemian pass incomplete short left intended for Bennie Fowler is intercepted by Adrian Phillips at DEN-47 and returned for 4 yards,1.090,-2.720
4,10:37,1,10,DEN 43,7,24,Philip Rivers pass incomplete short left intended for Keenan Allen,2.720,2.180
4,10:33,2,10,DEN 43,7,24,Philip Rivers pass complete short middle to Antonio Gates for 11 yards (tackle by Brandon Marshall),2.180,3.450
4,10:08,1,10,DEN 32,7,24,Philip Rivers pass complete short left to Tyrell Williams for 12 yards (tackle by Brandon Marshall),3.450,4.240
4,9:31,1,10,DEN 20,7,24,Melvin Gordon middle for 4 yards (tackle by Adam Gotsis),4.240,4.280
4,8:56,2,6,DEN 16,7,24,Philip Rivers pass complete short middle to Austin Ekeler for 11 yards (tackle by Bradley Roby and Justin Simmons),4.280,6.060
4,8:15,1,5,DEN 5,13,24,"Philip Rivers pass complete short right to Keenan Allen for 5 yards, touchdown. Penalty on Keenan Allen: Taunting, 15 yards",6.060,7.000
4,8:10,,,DEN 15,14,24,YoungHoe Koo kicks extra point good,0.000,0.000
4,8:10,,,LAC 20,14,24,"YoungHoe Koo kicks off 78 yards, returned by Cody Latimer for 36 yards (tackle by James Onwualu)",0.000,-1.470
4,8:01,1,10,DEN 38,14,24,Jamaal Charles right end for 4 yards (tackle by Casey Hayward and Brandon Mebane),1.470,1.460
4,7:22,2,6,DEN 42,14,24,"Jamaal Charles right end for 4 yards (tackle by Korey Toomer). Jamaal Charles fumbles (forced by Korey Toomer), recovered by Casey Hayward at DEN-49 (tackle by Menelik Watson)",1.460,-3.050
4,7:07,1,10,DEN 38,20,24,"Philip Rivers pass complete deep left to Travis Benjamin for 38 yards, touchdown",3.050,7.000
4,7:00,,,DEN 15,21,24,YoungHoe Koo kicks extra point good,0.000,0.000
4,7:00,,,LAC 35,21,24,"YoungHoe Koo kicks off 65 yards, touchback",0.000,-0.610
4,7:00,1,10,DEN 25,21,24,"Trevor Siemian pass complete deep right to Virgil Green for 44 yards (tackle by Kyle Emanuel). Penalty on Melvin Ingram: Roughing the Passer, 15 yards",0.610,4.510
4,6:24,1,10,LAC 16,21,24,C.J. Anderson left guard for 3 yards (tackle by Jatavis Brown and Joey Bosa),4.510,4.390
4,5:39,2,7,LAC 13,21,24,Trevor Siemian sacked by Joey Bosa and Melvin Ingram for -6 yards,4.390,2.850
4,4:53,3,13,LAC 19,21,24,Trevor Siemian sacked by Melvin Ingram for -13 yards,2.850,1.240
4,4:12,4,26,LAC 32,21,24,Brandon McManus 50 yard field goal no good,1.240,-1.600
4,4:07,1,10,LAC 40,21,24,Philip Rivers pass complete short left to Tyrell Williams for 10 yards,1.600,2.260
4,4:02,1,10,,21,24,Philip Rivers pass incomplete deep left intended for Tyrell Williams (defended by Bradley Roby),2.260,1.710
4,3:56,2,10,,21,24,Philip Rivers pass incomplete deep left intended for Travis Benjamin,1.710,1.030
4,3:49,3,10,,21,24,Philip Rivers pass complete short right to Travis Benjamin for -1 yards (tackle by Brandon Marshall),1.030,-0.130
4,3:15,4,11,LAC 49,21,24,Drew Kaser punts 36 yards,-0.130,0.220
4,3:04,1,10,DEN 15,21,24,C.J. Anderson middle for 3 yards (tackle by Jatavis Brown),-0.220,0.000
4,2:58,,,,,,Timeout #2 by Los Angeles Chargers,0.000,0.280
4,2:58,2,7,DEN 18,21,24,C.J. Anderson right tackle for 4 yards (tackle by Kyle Emanuel),-0.280,-0.510
4,2:15,3,3,DEN 22,21,24,Trevor Siemian pass incomplete short right intended for C.J. Anderson,-0.510,-1.900
4,2:09,4,3,DEN 22,21,24,"Riley Dixon punts 40 yards, fair catch by Travis Benjamin",-1.900,-1.470
4,2:00,1,10,LAC 38,21,24,Philip Rivers pass complete short right to Melvin Gordon for 3 yards (tackle by Adam Gotsis),1.470,1.330
4,1:33,2,7,LAC 41,21,24,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Brandon Marshall),1.330,1.420
4,1:07,3,1,LAC 47,21,24,Melvin Gordon middle for no gain (tackle by Will Parks),1.420,0.000
4,0:42,,,,,,Timeout #3 by Los Angeles Chargers,0.000,0.260
4,0:42,4,1,LAC 47,21,24,Melvin Gordon middle for 2 yards (tackle by Von Miller),-0.260,2.190
4,0:21,1,10,LAC 49,21,24,"Philip Rivers pass incomplete deep middle intended for Tyrell Williams (defended by Bradley Roby). Penalty on Bradley Roby: Defensive Pass Interference, 17 yards (no play)",2.190,3.310
4,0:17,1,10,DEN 34,21,24,Philip Rivers pass incomplete short left intended for Melvin Gordon,3.310,2.770
4,0:14,2,10,DEN 34,21,24,Philip Rivers pass complete short left to Keenan Allen for 8 yards (tackle by Bradley Roby),2.770,3.140
4,0:08,3,2,DEN 26,21,24,Philip Rivers pass incomplete short left intended for Keenan Allen,3.140,0.000
4,0:05,,,,,,Timeout #2 by Denver Broncos,0.000,-1.860
4,0:05,4,2,DEN 26,21,24,"YoungHoe Koo 44 yard field goal no good, blocked by Shelby Harris",1.860,-1.200
4,0:01,1,10,DEN 34,21,24,Trevor Siemian kneels for -1 yards,1.200,0.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
