Quarter,Time,Down,ToGo,Location,LAC,SEA,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,LAC,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,19,10,"Sebastian Janikowski kicks off 63 yards, returned by Desmond King for no gain (tackle by Barkevious Mingo)",0.000,-0.140
3,14:54,1,10,LAC 16,19,10,Philip Rivers pass complete short left to Keenan Allen for 16 yards (tackle by Delano Hill),-0.140,1.070
3,14:08,1,10,LAC 32,19,10,Melvin Gordon left tackle for 2 yards (tackle by Jarran Reed and Bobby Wagner),1.070,0.800
3,13:28,2,8,LAC 34,19,10,Melvin Gordon right tackle for no gain (tackle by Bobby Wagner),0.800,0.100
3,12:44,3,8,LAC 34,19,10,Philip Rivers pass incomplete short middle intended for Mike Williams (defended by Justin Coleman),0.100,-1.110
3,12:39,4,8,LAC 34,19,10,"Donnie Jones punts 38 yards, returned by Tyler Lockett for 6 yards (tackle by Trevor Williams and Nick Dzubnar)",-1.110,-1.200
3,12:29,1,10,SEA 34,19,10,Mike Davis up the middle for 3 yards (tackle by Derwin James and Brandon Mebane),1.200,1.060
3,11:46,2,7,SEA 37,19,10,Mike Davis left tackle for 2 yards (tackle by Damion Square and Brandon Mebane),1.060,0.630
3,11:08,3,5,SEA 39,19,10,Russell Wilson pass incomplete deep middle intended for Jaron Brown,0.630,-0.780
3,11:02,4,5,SEA 39,19,10,Michael Dickson punts 46 yards out of bounds,-0.780,0.220
3,10:54,1,10,LAC 15,19,10,Philip Rivers pass complete short left to Virgil Green for 22 yards (tackle by Bobby Wagner),-0.220,1.400
3,10:16,1,10,LAC 37,19,10,Melvin Gordon right guard for 20 yards (tackle by Tedric Thompson),1.400,2.720
3,9:32,1,10,SEA 43,19,10,Philip Rivers pass complete short right to Austin Ekeler for 13 yards (tackle by Shamar Stephen and Bobby Wagner),2.720,3.580
3,8:45,1,10,SEA 30,19,10,Keenan Allen right tackle for no gain (tackle by Shamar Stephen),3.580,3.030
3,8:07,2,10,SEA 30,19,10,Melvin Gordon up the middle for 6 yards (tackle by K.J. Wright),3.030,3.140
3,7:24,3,4,SEA 24,19,10,Philip Rivers pass incomplete deep left intended for Tyrell Williams (defended by Tre Flowers),3.140,1.940
3,7:18,4,4,SEA 24,19,10,Caleb Sturgis 42 yard field goal no good,1.940,-1.070
3,7:13,1,10,SEA 32,19,10,Mike Davis right tackle for -2 yards (tackle by Corey Liuget and Melvin Ingram),1.070,0.260
3,6:34,2,12,SEA 30,19,10,Russell Wilson pass complete short right to Mike Davis for 6 yards (tackle by Casey Hayward),0.260,0.370
3,5:55,3,6,SEA 36,19,10,"Russell Wilson pass complete short left to Doug Baldwin for 14 yards (tackle by Derwin James and Jahleel Addae). Penalty on Justin Britt: Unnecessary Roughness, 15 yards",0.370,1.270
3,5:30,1,10,SEA 35,19,10,Russell Wilson right guard for 5 yards (tackle by Kyle Emanuel),1.270,1.400
3,4:53,2,5,SEA 40,19,10,Mike Davis right guard for 12 yards (tackle by Jahleel Addae and Jatavis Brown),1.400,2.390
3,4:24,1,10,LAC 48,19,10,Russell Wilson left end for 1 yard (tackle by Michael Davis),2.390,1.980
3,3:46,2,9,LAC 47,19,10,Russell Wilson sacked by Isaac Rochell for -13 yards,1.980,-0.430
3,3:02,3,22,SEA 40,19,10,Russell Wilson pass complete short left to David Moore for 9 yards (tackle by Jatavis Brown),-0.430,-0.130
3,2:34,4,13,SEA 49,19,10,Michael Dickson punts 46 yards out of bounds,-0.130,0.380
3,2:26,1,10,LAC 5,19,10,Philip Rivers pass incomplete short left intended for Virgil Green (defended by Bobby Wagner),-0.380,-0.780
3,2:19,2,10,LAC 5,19,10,Melvin Gordon up the middle for 21 yards (tackle by Tre Flowers and Delano Hill),-0.780,0.670
3,1:33,1,10,LAC 26,19,10,Melvin Gordon up the middle for -2 yards (tackle by Delano Hill),0.670,-0.140
3,0:50,2,12,LAC 24,19,10,Melvin Gordon left guard for 4 yards (tackle by Justin Coleman and Bobby Wagner),-0.140,-0.300
3,0:04,3,8,LAC 28,19,10,Philip Rivers pass incomplete short middle intended for Keenan Allen. Penalty on Sam Tevi: Offensive Holding (Declined),-0.300,-1.500
Quarter,Time,Down,ToGo,Location,LAC,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,8,LAC 28,19,10,"Donnie Jones punts 42 yards, returned by Tyler Lockett for no gain (tackle by Uchenna Nwosu and Mike Windt). Penalty on Akeem King: Offensive Holding, 10 yards",-1.500,-0.280
4,14:50,1,10,SEA 20,19,10,Russell Wilson pass complete short middle to Doug Baldwin for 13 yards (tackle by Michael Davis),0.280,1.140
4,14:21,1,10,SEA 33,19,10,"Rashaad Penny up the middle for no gain (tackle by Corey Liuget and Jatavis Brown). Penalty on J.R. Sweezy: Offensive Holding, 10 yards (no play)",1.140,0.480
4,13:56,1,20,SEA 23,19,10,Russell Wilson sacked by Melvin Ingram for -4 yards,0.480,-1.360
4,13:13,2,24,SEA 19,19,10,Mike Davis up the middle for no gain (tackle by Corey Liuget and Melvin Ingram),-1.360,-2.080
4,12:40,3,24,SEA 19,19,10,Russell Wilson pass complete short middle to Nick Vannett for 8 yards (tackle by Jahleel Addae and Jatavis Brown),-2.080,-1.570
4,12:07,4,16,SEA 27,19,10,"Michael Dickson punts 61 yards, returned by Desmond King for no gain (tackle by Barkevious Mingo). Penalty on Trevor Williams: Illegal Block Above the Waist, 6 yards",-1.570,0.380
4,11:55,1,10,LAC 6,19,10,Melvin Gordon left guard for 6 yards (tackle by Bobby Wagner),-0.380,-0.340
4,11:16,2,4,LAC 12,19,10,Melvin Gordon right end for 14 yards (tackle by K.J. Wright and Bobby Wagner),-0.340,0.670
4,10:34,1,10,LAC 26,19,10,Austin Ekeler right tackle for 3 yards (tackle by Bobby Wagner and Shamar Stephen),0.670,0.540
4,9:54,2,7,LAC 29,19,10,Philip Rivers pass complete short middle to Keenan Allen for 13 yards (tackle by Tedric Thompson),0.540,1.730
4,9:34,1,10,LAC 42,19,10,Travis Benjamin left end for -2 yards (tackle by K.J. Wright),1.730,0.920
4,8:50,2,12,LAC 40,19,10,Philip Rivers sacked by Frank Clark for -3 yards,0.920,-0.160
4,8:05,3,15,LAC 37,19,10,Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Bobby Wagner),-0.160,-0.910
4,8:00,4,15,LAC 37,19,10,"Donnie Jones punts 38 yards, returned by Tyler Lockett for -2 yards (tackle by Adrian Phillips and Geremy Davis)",-0.910,-0.480
4,7:51,1,10,SEA 23,19,10,Mike Davis left tackle for 8 yards (tackle by Jahleel Addae),0.480,1.010
4,7:25,2,2,SEA 31,19,10,Mike Davis right guard for 5 yards (tackle by Justin Jones and Derwin James),1.010,1.330
4,6:52,1,10,SEA 36,25,10,"Russell Wilson pass short left intended for David Moore is intercepted by Desmond King at SEA-42 and returned for 42 yards, touchdown",1.330,-7.000
4,6:44,,,LAC 35,25,10,"Caleb Sturgis kicks off 63 yards, returned by Tyler Lockett for no gain (tackle by Caleb Sturgis). Penalty on Caleb Sturgis: Tripping, 10 yards",0.000,1.990
4,6:38,1,10,SEA 46,25,10,Russell Wilson pass incomplete short right intended for Mike Davis,1.990,1.450
4,6:34,2,10,SEA 46,25,10,"Russell Wilson left guard for 13 yards (tackle by Adrian Phillips). Penalty on Derwin James: Illegal Use of Hands, 5 yards",1.450,3.180
4,6:15,1,10,LAC 36,25,10,Russell Wilson pass incomplete short right intended for Mike Davis. Penalty on Germain Ifedi: Offensive Holding (Offsetting) (no play),3.180,3.180
4,6:09,1,10,LAC 36,25,10,Mike Davis left guard for 3 yards (tackle by Adrian Phillips and Jahleel Addae),3.180,3.040
4,5:52,2,7,LAC 33,25,10,"Russell Wilson pass complete short right to Mike Davis for 4 yards (tackle by Desmond King and Jatavis Brown) Penalty on SEA: Illegal Shift, 5 yards (no play)",3.040,2.370
4,5:30,2,12,LAC 38,25,10,Russell Wilson pass complete short middle to Nick Vannett for 11 yards (tackle by Michael Davis),2.370,3.140
4,5:05,3,1,LAC 27,25,10,Rashaad Penny up the middle for -3 yards (tackle by Corey Liuget),3.140,1.460
4,4:25,4,4,LAC 30,25,10,Mike Davis up the middle for 8 yards (tackle by Jahleel Addae and Desmond King),1.460,4.110
4,4:04,1,10,LAC 22,25,10,Russell Wilson sacked by Damion Square for -3 yards,4.110,3.160
4,3:38,2,13,LAC 25,25,10,Russell Wilson pass complete short left to Mike Davis for no gain (tackle by Derwin James),3.160,2.480
4,3:07,3,13,LAC 25,25,10,Russell Wilson pass complete short left to Tyler Lockett for 9 yards (tackle by Michael Davis),2.480,2.450
4,2:35,4,4,LAC 16,25,10,Russell Wilson up the middle for 6 yards (tackle by Brandon Mebane),2.450,4.910
4,2:10,1,10,LAC 10,25,10,Russell Wilson pass incomplete short middle intended for David Moore (defended by Casey Hayward),4.910,4.190
4,2:04,2,10,LAC 10,25,10,Russell Wilson pass complete short left to Rashaad Penny for 4 yards (tackle by Michael Davis),4.190,4.040
4,1:58,3,6,LAC 6,25,10,Russell Wilson pass incomplete short left intended for Ed Dickson,4.040,2.990
4,1:53,4,6,LAC 6,25,16,"Russell Wilson pass complete short middle to Nick Vannett for 6 yards, touchdown",2.990,7.000
4,1:50,,,LAC 15,25,17,Sebastian Janikowski kicks extra point good,0.000,0.000
4,1:50,,,SEA 35,25,17,"Sebastian Janikowski kicks onside 18 yards, returned by Austin Ekeler for no gain",0.000,-2.060
4,1:49,1,10,LAC 47,25,17,Melvin Gordon right end for 3 yards (tackle by Bobby Wagner and Jarran Reed),2.060,1.920
4,1:43,,,,,,Timeout #1 by Seattle Seahawks,,
4,1:43,2,7,LAC 50,25,17,Melvin Gordon left tackle for no gain (tackle by Shamar Stephen and Bobby Wagner),1.920,1.220
4,1:38,,,,,,Timeout #2 by Seattle Seahawks,,
4,1:38,,,,,,Timeout #1 by Los Angeles Chargers,,
4,1:38,3,7,LAC 50,25,17,Philip Rivers sacked by Jarran Reed for -10 yards,1.220,-0.720
4,1:33,,,,,,Timeout #3 by Seattle Seahawks,,
4,1:33,4,17,LAC 40,25,17,"Donnie Jones punts 43 yards out of bounds. Penalty on Trevor Williams: Player Out of Bounds on Kick, 5 yards",-0.720,-0.410
4,1:24,1,10,SEA 22,25,17,Russell Wilson pass incomplete short middle intended for Nick Vannett,0.410,-0.130
4,1:19,2,10,SEA 22,25,17,Russell Wilson pass complete short middle to Nick Vannett for 10 yards (tackle by Michael Davis),-0.130,1.070
4,0:59,1,10,SEA 32,25,17,"Russell Wilson pass complete short left to Tyler Lockett for 9 yards (tackle by Jatavis Brown). Penalty on Melvin Ingram: Roughing the Passer, 15 yards",1.070,2.650
4,0:50,1,10,LAC 44,25,17,Russell Wilson up the middle for 16 yards (tackle by Jahleel Addae and Jatavis Brown),2.650,3.710
4,0:31,1,10,LAC 28,25,17,Russell Wilson spiked the ball,3.710,3.170
4,0:30,2,10,LAC 28,25,17,"Russell Wilson aborted snap, recovered by Russell Wilson at LAC-35 Russell Wilson pass incomplete deep left intended for David Moore",3.170,2.480
4,0:23,3,10,LAC 28,25,17,Russell Wilson pass complete short middle to Mike Davis for 8 yards (tackle by Jahleel Addae and Uchenna Nwosu),2.480,2.250
4,0:05,4,2,LAC 20,25,17,"Russell Wilson pass incomplete deep left intended for Tyler Lockett (defended by Michael Davis). Penalty on Michael Davis: Defensive Pass Interference, 19 yards (no play)",2.250,6.970
4,0:00,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:00,1,1,LAC 1,25,17,"Penalty on J.R. Sweezy: False Start, 5 yards (no play)",6.970,5.830
4,0:00,1,6,LAC 6,25,17,Russell Wilson pass incomplete short middle intended for David Moore (defended by Jahleel Addae),5.830,4.950
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
