Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
2,11:37,3,3,ATL 31,7,6,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Chris Houston),2.740,1.380
2,11:32,4,3,ATL 31,7,6,Matt Prater 49 yard field goal no good,1.380,-1.530
2,11:27,1,10,ATL 39,7,6,Michael Turner left end for 8 yards (tackle by Dewayne Robertson and Wesley Woodyard),1.530,2.070
2,10:52,2,2,ATL 47,7,6,Michael Turner right end for 1 yard (tackle by Jarvis Moss),2.070,1.490
2,10:11,3,1,ATL 48,7,6,Michael Turner left tackle for no gain (tackle by Marquand Manuel),1.490,-0.190
2,9:27,4,1,ATL 48,7,6,"Penalty on Dewayne Robertson: Defensive Offside, 5 yards (no play)",-0.190,2.460
2,9:13,1,10,DEN 47,7,6,Matt Ryan pass incomplete deep right intended for Roddy White,2.460,1.910
2,9:07,2,10,DEN 47,7,6,Michael Turner up the middle for 1 yard (tackle by Ebenezer Ekuban and Spencer Larsen),1.910,1.350
2,8:29,3,9,DEN 46,7,6,Matt Ryan pass complete short right to Roddy White for 37 yards (tackle by Karl Paymah),1.350,5.140
2,7:40,1,9,DEN 9,7,12,"Michael Turner left tackle for 9 yards, touchdown",5.140,7.000
2,,,,DEN 2,7,13,Jason Elam kicks extra point good,0.000,0.000
2,,,,ATL 30,7,13,"Michael Koenen kicks off 69 yards, returned by Eddie Royal for 40 yards (tackle by Kroy Biermann)",0.000,1.660
2,7:25,1,10,DEN 41,7,13,Peyton Hillis left end for 1 yard (tackle by Chauncey Davis),1.660,1.260
2,6:51,2,9,DEN 42,7,13,"Penalty on Tony Scheffler: False Start, 5 yards (no play)",1.260,0.580
2,6:31,2,14,DEN 37,7,13,Eddie Royal left end for 12 yards (tackle by Keith Brooking),0.580,1.490
2,5:51,3,2,DEN 49,7,13,Eddie Royal left tackle for -2 yards (tackle by Chauncey Davis),1.490,-0.260
2,5:12,4,4,DEN 47,7,13,"Brett Kern punts 35 yards, fair catch by Brian Finneran",-0.260,-0.040
2,5:05,1,10,ATL 18,7,13,Michael Turner left tackle for 1 yard (tackle by Dewayne Robertson),0.040,-0.320
2,4:28,2,9,ATL 19,7,13,Matt Ryan pass complete short right to Ovie Mughelli for 8 yards (tackle by Jamie Winborn),-0.320,-0.020
2,3:47,3,1,ATL 27,7,13,Jerious Norwood left end for 12 yards (tackle by Dre' Bly),-0.020,1.530
2,3:00,,,,7,13,Timeout #1 by Atlanta Falcons,0.000,1.530
2,3:00,1,10,ATL 39,7,13,Matt Ryan left end for 7 yards,1.530,1.930
2,2:26,2,3,ATL 46,7,13,Michael Turner up the middle for 2 yards (tackle by Ebenezer Ekuban),1.930,1.490
2,2:00,3,1,ATL 48,7,13,Matt Ryan left end for 9 yards,1.490,2.720
2,1:22,1,10,DEN 43,7,13,Matt Ryan pass incomplete short right intended for Justin Peelle,2.720,2.180
2,1:16,2,10,DEN 43,7,13,Matt Ryan pass incomplete short right intended for Harry Douglas,2.180,1.490
2,1:10,3,10,DEN 43,7,13,Matt Ryan pass incomplete short middle intended for Jerious Norwood,1.490,0.400
2,1:03,4,10,DEN 43,7,13,"Michael Koenen punts 28 yards, fair catch by Eddie Royal",0.400,0.220
2,0:55,1,10,DEN 15,7,13,Jay Cutler pass complete short left to Brandon Stokley for 4 yards (tackle by Chevis Jackson),-0.220,-0.110
2,0:36,2,6,DEN 19,7,13,Jay Cutler pass complete short left to Brandon Marshall for 5 yards (tackle by Lawyer Milloy),-0.110,-0.270
,,,,,,,"Replay Assistant challenged the first down ruling, and the original play was overturned.",,
2,0:30,,,,7,13,Timeout #2 by Denver Broncos,0.000,-0.270
2,0:26,3,1,DEN 24,7,13,Jay Cutler sacked by Jonathan Babineaux for -8 yards,-0.270,-2.390
2,0:15,,,,7,13,Timeout #2 by Atlanta Falcons,0.000,-2.390
2,0:15,4,9,DEN 16,7,13,"Brett Kern punts 40 yards, fair catch by Harry Douglas",-2.390,-1.860
2,0:09,1,10,ATL 44,7,13,Matt Ryan kneels for -1 yards,1.860,1.180
Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,7,13,"Michael Koenen kicks off 68 yards, returned by Eddie Royal for 21 yards (tackle by Curtis Lofton)",0.000,0.480
3,14:55,1,10,DEN 23,7,13,Tatum Bell right end for 4 yards (tackle by John Abraham),0.480,0.470
3,14:18,2,6,DEN 27,7,13,Jay Cutler left tackle for 4 yards (tackle by Chris Houston),0.470,0.300
3,13:35,3,2,DEN 31,7,13,Jay Cutler pass complete short right to Peyton Hillis for 5 yards (tackle by Michael Boley),0.300,1.330
3,13:06,1,10,DEN 36,7,13,Jay Cutler pass complete deep right to Eddie Royal for 18 yards (tackle by Domonique Foxworth),1.330,2.520
3,12:30,1,10,ATL 46,7,13,Jay Cutler pass complete short left to Nate Jackson for 15 yards (tackle by Lawyer Milloy),2.520,3.510
3,12:05,1,10,ATL 31,7,13,Peyton Hillis up the middle for 12 yards (tackle by Lawyer Milloy),3.510,4.310
3,11:33,1,10,ATL 19,7,13,Jay Cutler pass incomplete deep left intended for Brandon Marshall,4.310,3.750
3,11:27,2,10,ATL 19,7,13,P.J. Pope up the middle for 15 yards (tackle by Erik Coleman and Chris Houston),3.750,6.280
3,10:49,1,4,ATL 4,7,13,Jay Cutler pass incomplete short right intended for P.J. Pope (defended by Michael Boley),6.280,5.340
3,10:43,2,4,ATL 4,7,13,P.J. Pope up the middle for 2 yards (tackle by Lawyer Milloy and Jamaal Anderson),5.340,4.950
3,10:04,3,2,ATL 2,13,13,"Peyton Hillis right end for 2 yards, touchdown",4.950,7.000
3,,,,ATL 2,14,13,Matt Prater kicks extra point good,0.000,0.000
3,,,,DEN 30,14,13,"Matt Prater kicks off 73 yards, returned by Jerious Norwood for 17 yards (tackle by Vernon Fox)",0.000,-0.280
3,9:54,1,10,ATL 14,14,13,Michael Turner right end for 7 yards (tackle by Wesley Woodyard),-0.280,0.280
3,9:21,2,3,ATL 21,14,13,"Michael Turner right end for 1 yard (tackle by Wesley Woodyard). Penalty on Ovie Mughelli: Offensive Holding, 10 yards",0.280,-0.930
3,8:53,2,12,ATL 12,14,13,Matt Ryan pass complete short left to Jerious Norwood for 11 yards (tackle by Wesley Woodyard),-0.930,-0.320
3,8:15,3,1,ATL 23,14,13,Matt Ryan pass complete short right to Jerious Norwood for 6 yards (tackle by Josh Bell),-0.320,0.870
3,7:50,1,10,ATL 29,14,13,Michael Turner up the middle for 4 yards (tackle by Marquand Manuel),0.870,0.870
3,7:07,2,6,ATL 33,14,13,Michael Turner right end for 5 yards (tackle by Marquand Manuel),0.870,0.830
3,6:25,3,1,ATL 38,14,13,Matt Ryan up the middle for 2 yards (tackle by Kenny Peterson),0.830,1.600
3,5:49,1,10,ATL 40,14,13,Matt Ryan pass complete short left to Michael Jenkins for 15 yards (tackle by Josh Bell),1.600,2.590
3,5:25,1,10,DEN 45,14,13,Michael Turner left end for -2 yards (tackle by Wesley Woodyard and John Engelberger),2.590,1.770
3,4:51,2,12,DEN 47,14,13,Michael Turner up the middle for 2 yards (tackle by Marcus Thomas),1.770,1.360
3,4:11,3,10,DEN 45,14,13,Matt Ryan pass incomplete short right intended for Roddy White is intercepted by Dre' Bly at DEN-33 and returned for 5 yards (tackle by Roddy White),1.360,-1.470
3,4:03,1,10,DEN 38,14,13,Jay Cutler pass complete deep middle to Nate Jackson for 17 yards (tackle by Chris Houston),1.470,2.590
3,3:22,1,10,ATL 45,14,13,Jay Cutler pass complete short left to Brandon Marshall for 14 yards (tackle by Erik Coleman),2.590,3.510
3,2:31,1,10,ATL 31,14,13,Peyton Hillis left tackle for 5 yards (tackle by Keith Brooking and Curtis Lofton),3.510,3.640
3,1:48,2,5,ATL 26,14,13,P.J. Pope left end for 15 yards (tackle by Curtis Lofton),3.640,4.840
3,1:07,1,10,ATL 11,14,13,"Jay Cutler pass incomplete short middle intended for Eddie Royal. Penalty on Keith Brooking: Defensive Pass Interference, 6 yards (no play)",4.840,6.060
3,1:04,1,5,ATL 5,14,13,Peyton Hillis up the middle for 4 yards (tackle by Jamaal Anderson),6.060,5.910
3,0:22,2,1,ATL 1,14,13,Jay Cutler pass incomplete short right intended for Daniel Graham,5.910,5.170
3,0:17,3,1,ATL 1,14,13,Peyton Hillis left tackle for -1 yards (tackle by Curtis Lofton),5.170,3.250
Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,ATL 2,17,13,Matt Prater 20 yard field goal good,3.250,3.000
4,,,,DEN 30,17,13,"Matt Prater kicks off 69 yards, returned by Harry Douglas for 22 yards (tackle by Louis Green)",0.000,0.480
4,14:51,1,10,ATL 23,17,13,Matt Ryan pass complete short right to Ovie Mughelli for 14 yards (tackle by Calvin Lowry),0.480,1.400
4,14:12,1,10,ATL 37,17,13,Michael Turner right tackle for 1 yard (tackle by Marcus Thomas and Jamie Winborn),1.400,0.990
4,13:31,2,9,ATL 38,17,13,Matt Ryan left end for 1 yard (tackle by Jamie Winborn),0.990,0.430
4,12:49,3,8,ATL 39,17,13,"Matt Ryan pass incomplete short middle intended for Brian Finneran. Penalty on Jarvis Moss: Defensive Offside, 5 yards (no play)",0.430,1.090
4,12:44,3,3,ATL 44,17,13,Matt Ryan pass complete short right to Brian Finneran for 14 yards (tackle by Jack Williams),1.090,2.790
4,12:22,1,10,DEN 42,17,13,Michael Turner up the middle for 5 yards (tackle by Jamie Winborn and Kenny Peterson),2.790,2.920
4,11:54,2,5,DEN 37,17,13,Michael Turner right tackle for no gain (tackle by Spencer Larsen),2.920,2.210
4,11:14,3,5,DEN 37,17,13,Matt Ryan pass complete short middle to Brian Finneran for 9 yards (tackle by Jack Williams),2.210,3.710
4,10:49,1,10,DEN 28,17,19,"Michael Turner up the middle for 28 yards, touchdown",3.710,7.000
4,,,,DEN 2,17,20,Jason Elam kicks extra point good,0.000,0.000
4,,,,ATL 30,17,20,"Michael Koenen kicks off 73 yards, returned by Eddie Royal for 20 yards (tackle by Stephen Nicholas)",0.000,-0.060
4,10:36,1,10,DEN 17,17,20,P.J. Pope right end for 3 yards (tackle by Domonique Foxworth and Lawyer Milloy),-0.060,-0.060
4,9:51,2,7,DEN 20,17,20,Jay Cutler pass incomplete deep left intended for Tony Scheffler,-0.060,-0.870
4,9:46,3,7,DEN 20,17,20,Jay Cutler pass complete deep left to Brandon Marshall for 47 yards (tackle by Chris Houston),-0.870,3.380
4,9:08,1,10,ATL 33,17,20,Peyton Hillis up the middle for 6 yards (tackle by Curtis Lofton),3.380,3.650
4,8:33,2,4,ATL 27,17,20,Tatum Bell left tackle for 7 yards (tackle by Erik Coleman),3.650,4.240
4,7:57,1,10,ATL 20,17,20,Tatum Bell left tackle for 9 yards (tackle by Lawyer Milloy),4.240,5.260
4,7:26,2,1,ATL 11,17,20,"Tatum Bell right tackle for 3 yards (tackle by Lawyer Milloy). Penalty on Chris Kuper: Offensive Holding, 11 yards (no play)",5.260,3.420
4,7:01,2,12,ATL 22,17,20,Jay Cutler pass complete short right to Peyton Hillis for 14 yards,3.420,5.370
4,6:41,1,8,ATL 8,17,20,Peyton Hillis up the middle for 4 yards (tackle by Michael Boley and Erik Coleman),5.370,5.340
4,6:06,2,4,ATL 4,17,20,"Penalty on Daniel Graham: False Start, 5 yards (no play)",5.340,4.380
4,5:46,2,9,ATL 9,17,20,Jay Cutler pass incomplete short left intended for Tony Scheffler,4.380,3.360
4,5:42,3,9,ATL 9,23,20,"Jay Cutler pass complete short right to Daniel Graham for 9 yards, touchdown",3.360,7.000
4,,,,ATL 2,24,20,Matt Prater kicks extra point good,0.000,0.000
4,,,,DEN 30,24,20,"Matt Prater kicks off 63 yards, returned by Jerious Norwood for 17 yards (tackle by Wesley Woodyard)",0.000,0.540
4,5:32,1,10,ATL 24,24,20,Matt Ryan pass complete short right to Roddy White for 9 yards (tackle by Spencer Larsen),0.540,1.210
4,4:59,2,1,ATL 33,24,20,Michael Turner up the middle for 2 yards (tackle by Ebenezer Ekuban),1.210,1.270
4,4:21,1,10,ATL 35,24,20,Matt Ryan pass incomplete deep right intended for Jerious Norwood,1.270,0.720
4,4:15,2,10,ATL 35,24,20,Matt Ryan pass complete short right to Roddy White for 12 yards (tackle by Dre' Bly),0.720,2.060
4,3:38,1,10,ATL 47,24,20,Michael Turner right tackle for 3 yards (tackle by Jamie Winborn and Calvin Lowry),2.060,1.920
4,2:57,2,7,,24,20,Matt Ryan pass incomplete short right intended for Roddy White (defended by Jamie Winborn),1.920,1.220
4,2:52,3,7,,24,20,Matt Ryan pass complete short left to Brian Finneran for 13 yards (tackle by Josh Bell),1.220,3.120
4,2:15,1,10,DEN 37,24,20,Michael Turner right tackle for no gain (tackle by Jamie Winborn),3.120,2.570
4,2:00,2,10,DEN 37,24,20,"Matt Ryan pass incomplete. Penalty on Tyson Clabo: Offensive Holding, 10 yards (no play)",2.570,1.220
4,1:52,2,20,DEN 47,24,20,Matt Ryan pass complete short left to Jason Snelling for 2 yards (tackle by Kenny Peterson),1.220,0.830
4,1:16,3,18,DEN 45,24,20,Matt Ryan pass incomplete deep right intended for Roddy White,0.830,0.270
4,1:06,,,,24,20,Timeout #1 by Atlanta Falcons,0.000,0.000
4,1:06,,,,24,20,Timeout #1 by Denver Broncos,0.000,0.270
4,1:06,4,18,DEN 45,24,20,Matt Ryan pass incomplete deep left intended for Michael Jenkins,0.270,-1.930
4,0:58,1,10,DEN 45,24,20,Tatum Bell left end for 3 yards (tackle by Michael Boley),1.930,1.790
4,0:52,,,,24,20,Timeout #2 by Atlanta Falcons,0.000,1.790
4,0:52,2,7,DEN 48,24,20,Tatum Bell right end for 6 yards (tackle by Erik Coleman),1.790,1.880
,,,,,,,"Replay Assistant challenged the first down ruling, and the original play was overturned.",,
4,0:45,,,,24,20,Timeout #3 by Atlanta Falcons,0.000,1.880
4,0:45,3,1,ATL 46,24,20,Tatum Bell left tackle for 5 yards (tackle by Lawyer Milloy),1.880,2.190
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
