Quarter,Time,Down,ToGo,Location,BUF,ATL,Detail,EPB,EPA
2,5:50,2,10,ATL 35,7,3,Devonta Freeman right end for -2 yards (tackle by Eddie Yarbrough),0.720,-0.230
2,5:08,3,12,ATL 33,7,3,Matt Ryan pass complete short left to Austin Hooper for 10 yards (tackle by Jordan Poyer),-0.230,-0.520
2,4:31,4,2,ATL 43,7,3,"Matthew Bosher punts 42 yards, fair catch by Micah Hyde",-0.520,0.220
2,4:23,1,10,BUF 15,7,3,Tyrod Taylor pass incomplete short middle intended for Zay Jones (defended by Desmond Trufant),-0.220,-0.710
2,4:20,2,10,BUF 15,7,3,Tyrod Taylor right end for 3 yards (tackle by Joe Vellano),-0.710,-1.000
2,3:41,3,7,BUF 18,7,3,Tyrod Taylor pass incomplete deep right intended for Zay Jones,-1.000,-2.240
2,3:30,4,7,BUF 18,7,3,"Colton Schmidt punts 47 yards, returned by Andre Roberts for -3 yards (tackle by Lorenzo Alexander). Penalty on Brooks Reed: Offensive Holding, 10 yards, Penalty on Eric Saubert: Illegal Block Above the Waist (Declined)",-2.240,-0.410
2,3:20,1,10,ATL 22,7,3,Matt Ryan pass complete deep left to Tevin Coleman for 39 yards (tackle by Lorenzo Alexander),0.410,2.980
,,,,,,,"BUF challenged the pass completion ruling, and the play was upheld.",,
2,3:07,1,10,BUF 39,7,3,Matt Ryan pass incomplete deep right intended for Taylor Gabriel,2.980,2.440
2,3:01,2,10,BUF 39,7,3,Matt Ryan pass complete short middle to Nick Williams for 14 yards (tackle by Jordan Poyer and Preston Brown),2.440,3.910
2,2:20,1,10,BUF 25,7,3,Tevin Coleman right guard for 9 yards (tackle by Ramon Humber),3.910,4.750
2,2:00,2,1,BUF 16,7,3,Devonta Freeman left end for 3 yards (tackle by Jerry Hughes),4.750,4.710
2,1:18,1,10,BUF 13,7,3,Matt Ryan pass complete short middle to Levine Toilolo for 4 yards (tackle by Preston Brown),4.710,4.770
2,0:36,2,6,BUF 9,7,3,Devonta Freeman left guard for 4 yards (tackle by Jordan Poyer),4.770,0.000
2,0:31,,,,,,Timeout #1 by Atlanta Falcons,0.000,0.000
2,0:31,,,,,,Timeout #2 by Buffalo Bills,0.000,-4.780
2,0:31,3,2,BUF 5,7,3,Mohamed Sanu right end for 4 yards (tackle by Preston Brown and Ramon Humber),4.780,0.000
2,0:22,,,,,,Timeout #2 by Atlanta Falcons,0.000,-6.970
2,0:21,1,1,BUF 1,7,9,"Devonta Freeman left guard for 1 yard, touchdown",6.970,7.000
2,0:18,,,BUF 15,7,10,Matt Bryant kicks extra point good,0.000,0.000
2,0:18,,,ATL 35,7,10,"Matthew Bosher kicks off 65 yards, touchback",0.000,0.000
2,0:18,,,,,,Timeout #3 by Atlanta Falcons,0.000,-0.610
2,0:18,1,10,BUF 25,7,10,Tyrod Taylor pass incomplete deep right intended for Kaelin Clay,0.610,0.060
2,0:12,2,10,BUF 25,7,10,Mike Tolbert right tackle for 4 yards (tackle by Dontari Poe),0.060,-0.100
Quarter,Time,Down,ToGo,Location,BUF,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,7,10,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,BUF 25,7,10,Tyrod Taylor sacked by Brooks Reed for -9 yards,0.610,-1.290
3,14:22,2,19,BUF 16,7,10,Tyrod Taylor right tackle for no gain (tackle by Keanu Neal),-1.290,-2.140
3,13:48,3,19,BUF 16,7,10,Tyrod Taylor pass complete short left to LeSean McCoy for 9 yards (tackle by Deion Jones),-2.140,-1.700
3,13:18,4,10,BUF 25,7,10,"Colton Schmidt punts 45 yards, fair catch by Andre Roberts. Penalty on Sharrod Neasman: Offensive Holding, 10 yards",-1.700,-0.280
3,13:11,1,10,ATL 20,7,10,Matt Ryan pass complete short right to Levine Toilolo for 9 yards (tackle by Lorenzo Alexander),0.280,0.950
3,12:42,2,1,ATL 29,7,10,Tevin Coleman left tackle for 6 yards (tackle by Ramon Humber),0.950,1.270
3,12:15,1,10,ATL 35,7,10,Matt Ryan pass complete short right to Derrick Coleman for 11 yards (tackle by TreDavious White and Matt Milano),1.270,1.990
3,11:44,1,10,ATL 46,7,10,Tevin Coleman right end for 1 yard (tackle by Eddie Yarbrough),1.990,1.590
3,11:09,2,9,ATL 47,7,10,Matt Ryan pass incomplete short left intended for Justin Hardy,1.590,0.890
3,11:04,3,9,ATL 47,13,10,"Matt Ryan sacked by Jerry Hughes for -8 yards. Matt Ryan fumbles (forced by Jerry Hughes), recovered by TreDavious White at BUF-48 and returned for 52 yards, touchdown. Penalty on Devonta Freeman: Unnecessary Roughness, 15 yards",0.890,-7.000
3,,,,ATL 15,14,10,Stephen Hauschka kicks extra point good,,
3,10:55,,,,14,10,"Stephen Hauschka kicks off 33 yards, returned by Andre Roberts for no gain. Andre Roberts fumbles, recovered by Ben Garland at ATL-18",0.000,-0.040
3,10:50,1,10,ATL 18,14,10,Devonta Freeman right guard for 4 yards (tackle by Ryan Davis),0.040,0.140
3,10:14,2,6,ATL 22,14,10,Devonta Freeman right guard for no gain (tackle by Kyle Williams and Preston Brown),0.140,-0.660
3,9:29,3,6,ATL 22,14,10,Matt Ryan pass complete short right to Nick Williams for 8 yards (tackle by Leonard Johnson),-0.660,0.940
3,9:00,1,10,ATL 30,14,10,Matt Ryan pass complete short right to Austin Hooper for 9 yards (tackle by Micah Hyde),0.940,1.610
3,8:32,2,1,ATL 39,14,10,Matt Ryan pass incomplete deep middle intended for Taylor Gabriel is intercepted by Micah Hyde at BUF-12,1.610,0.350
3,8:20,1,10,BUF 12,14,10,LeSean McCoy left tackle for 8 yards (tackle by Keanu Neal and Derrick Shelby),-0.350,0.290
3,7:49,2,2,BUF 20,14,10,"LeSean McCoy for 2 yards (tackle by Damontae Kazee). Penalty on Eric Wood: Offensive Holding, 10 yards",0.290,-0.780
3,7:31,2,10,BUF 12,14,10,Mike Tolbert right guard for 7 yards (tackle by Dontari Poe),-0.780,-0.600
3,6:51,3,3,BUF 19,14,10,Tyrod Taylor right end for 5 yards (tackle by Deion Jones),-0.600,0.540
3,6:17,1,10,BUF 24,14,10,LeSean McCoy right end for 7 yards (tackle by Keanu Neal),0.540,0.940
3,5:29,2,3,BUF 31,14,10,LeSean McCoy right tackle for 7 yards (tackle by Deion Jones and Damontae Kazee),0.940,1.470
3,4:51,1,10,BUF 38,14,10,Mike Tolbert right guard for 3 yards (tackle by Brooks Reed),1.470,1.330
3,4:14,2,7,BUF 41,14,10,Mike Tolbert left guard for 6 yards (tackle by De'Vondre Campbell),1.330,1.420
3,3:35,3,1,BUF 47,14,10,LeSean McCoy right tackle for 4 yards (tackle by Deion Jones),1.420,2.320
3,3:02,1,10,ATL 49,14,10,Tyrod Taylor pass complete deep left to Zay Jones for 18 yards (tackle by Robert Alford),2.320,3.510
3,2:19,1,10,ATL 31,14,10,LeSean McCoy right tackle for 4 yards (tackle by Keanu Neal),3.510,3.510
3,1:39,2,6,ATL 27,14,10,LeSean McCoy right tackle for 7 yards (tackle by Sharrod Neasman),3.510,4.240
3,1:01,1,10,ATL 20,14,10,"Mike Tolbert left end for 8 yards (tackle by Damontae Kazee). Mike Tolbert fumbles (forced by Damontae Kazee), recovered by Dion Dawkins at ATL-12",4.240,5.040
3,0:09,2,2,ATL 12,14,10,Patrick DiMarco left guard for -2 yards (tackle by Grady Jarrett),5.040,3.890
Quarter,Time,Down,ToGo,Location,BUF,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,ATL 14,14,10,"Penalty on John Miller: False Start, 5 yards (no play)",3.890,3.100
4,15:00,3,9,ATL 19,14,10,Tyrod Taylor pass complete short middle to Andre Holmes for 10 yards (tackle by De'Vondre Campbell),3.100,5.140
4,14:20,1,9,ATL 9,14,10,LeSean McCoy left end for 6 yards (tackle by Brooks Reed and Keanu Neal),5.140,5.530
4,13:37,2,3,ATL 3,14,10,LeSean McCoy right tackle for 1 yard (tackle by Brooks Reed and Grady Jarrett),5.530,4.950
4,12:59,3,2,ATL 2,14,10,Tyrod Taylor pass complete short left to Jordan Matthews for 1 yard (tackle by Brian Poole and Robert Alford),4.950,3.550
4,12:09,4,1,ATL 1,14,10,"Penalty on Tyrod Taylor: Delay of Game, 5 yards (no play)",3.550,2.990
4,12:03,4,6,ATL 6,17,10,Stephen Hauschka 24 yard field goal good,2.990,3.000
4,12:00,,,BUF 35,17,10,"Stephen Hauschka kicks off 65 yards, touchback",0.000,-0.610
4,12:00,1,10,ATL 25,17,10,"Tevin Coleman left end for 26 yards (tackle by E.J. Gaines). Tevin Coleman fumbles (forced by E.J. Gaines), recovered by Jake Matthews at BUF-47",0.610,2.460
4,11:13,1,10,BUF 47,17,10,Matt Ryan pass incomplete short left intended for Justin Hardy,2.460,1.910
4,11:06,2,10,BUF 47,17,10,Devonta Freeman left tackle for 16 yards (tackle by Micah Hyde and Preston Brown),1.910,3.510
4,10:28,1,10,BUF 31,17,10,Devonta Freeman for 4 yards (tackle by Matt Milano),3.510,3.510
4,9:56,2,6,BUF 27,17,10,Matt Ryan pass complete short middle to Tevin Coleman for 10 yards (tackle by Lorenzo Alexander and Jordan Poyer),3.510,4.440
4,9:16,1,10,BUF 17,17,10,Matt Ryan pass complete short right to Tevin Coleman for 10 yards (tackle by Micah Hyde),4.440,5.600
4,8:33,1,7,BUF 7,17,10,Tevin Coleman left guard for no gain (tackle by Eddie Yarbrough),5.600,4.760
4,7:55,2,7,BUF 7,17,10,"Matt Ryan pass incomplete short right intended for Justin Hardy. Penalty on TreDavious White: Defensive Pass Interference, 6 yards (no play)",4.760,6.970
4,7:50,1,1,BUF 1,17,10,Devonta Freeman left guard for -2 yards (tackle by Shareece Wright),6.970,5.530
4,7:08,2,3,BUF 3,17,10,Matt Ryan pass incomplete short right intended for Austin Hooper (defended by Eddie Yarbrough),5.530,4.720
4,7:04,3,3,BUF 3,17,16,"Matt Ryan pass complete short right to Justin Hardy for 3 yards, touchdown",4.720,7.000
4,7:00,,,BUF 15,17,17,Matt Bryant kicks extra point good,0.000,0.000
4,7:00,,,ATL 35,17,17,"Matthew Bosher kicks off 67 yards, returned by Taiwan Jones for 27 yards (tackle by Robert Alford)",0.000,-0.610
4,6:54,1,10,BUF 25,17,17,Tyrod Taylor pass complete deep left to Charles Clay for 34 yards (tackle by Damontae Kazee and Duke Riley),0.610,2.850
4,6:16,1,10,ATL 41,17,17,LeSean McCoy left guard for 1 yard (tackle by De'Vondre Campbell),2.850,2.440
4,5:39,2,9,ATL 40,17,17,Mike Tolbert left guard for 2 yards (tackle by Grady Jarrett),2.440,2.020
4,4:54,3,7,ATL 38,17,17,Tyrod Taylor pass incomplete deep right intended for Charles Clay,2.020,0.720
4,4:48,4,7,ATL 38,20,17,Stephen Hauschka 56 yard field goal good,0.720,3.000
4,4:44,,,BUF 35,20,17,"Stephen Hauschka kicks off 68 yards, returned by Andre Roberts for 61 yards (tackle by Shareece Wright)",0.000,-2.790
4,4:35,1,10,BUF 42,20,17,Devonta Freeman right end for -7 yards (tackle by Micah Hyde),2.790,1.300
4,3:46,2,17,BUF 49,20,17,Matt Ryan pass incomplete short left intended for Justin Hardy,1.300,0.630
4,3:42,3,17,BUF 49,20,17,Matt Ryan pass incomplete deep middle intended for Nick Williams is intercepted by Micah Hyde at BUF-28 and returned for 37 yards,0.630,-3.250
4,3:27,1,10,ATL 35,20,17,LeSean McCoy right tackle for -4 yards (tackle by Grady Jarrett),3.250,0.000
4,3:22,,,,,,Timeout #1 by Atlanta Falcons,0.000,-2.160
4,3:20,2,14,ATL 39,20,17,LeSean McCoy right tackle for 2 yards (tackle by Dontari Poe and Grady Jarrett),2.160,0.000
4,3:18,,,,,,Timeout #2 by Atlanta Falcons,0.000,-1.750
4,3:18,3,12,ATL 37,20,17,Tyrod Taylor right end for no gain (tackle by Grady Jarrett),1.750,0.000
4,3:10,,,,,,Timeout #3 by Atlanta Falcons,0.000,-0.790
4,3:10,4,12,ATL 37,23,17,Stephen Hauschka 55 yard field goal good,0.790,3.000
4,3:06,,,BUF 35,23,17,"Stephen Hauschka kicks off 65 yards, touchback",0.000,-0.610
4,3:06,1,10,ATL 25,23,17,Matt Ryan pass complete short right to Tevin Coleman for 6 yards,0.610,0.870
4,3:01,2,4,ATL 31,23,17,Matt Ryan pass incomplete short middle intended for Justin Hardy,0.870,0.170
4,2:57,3,4,ATL 31,23,17,Matt Ryan pass incomplete short right intended for Austin Hooper,0.170,-1.310
4,2:53,4,4,ATL 31,23,17,Matt Ryan pass complete short left to Nick Williams for 8 yards (tackle by Shareece Wright),-1.310,1.530
4,2:28,1,10,ATL 39,23,17,Matt Ryan left end for 8 yards (tackle by Preston Brown),1.530,2.070
4,2:03,2,2,ATL 47,23,17,Matt Ryan pass complete short right to Austin Hooper for 9 yards (tackle by Preston Brown),2.070,2.650
4,2:00,1,10,BUF 44,23,17,Matt Ryan pass complete short left to Devonta Freeman for 7 yards (tackle by Shareece Wright),2.650,3.060
4,1:37,2,3,BUF 37,23,17,"Matt Ryan sacked by Cedric Thornton for -3 yards. Penalty on Leonard Johnson: Defensive Holding, 5 yards (no play)",3.060,3.450
4,1:33,1,10,BUF 32,23,17,Matt Ryan pass complete short right to Devonta Freeman for 13 yards (tackle by Eddie Yarbrough and Jordan Poyer),3.450,4.310
4,1:04,1,10,BUF 19,23,17,"Penalty on Lorenzo Alexander: Neutral Zone Infraction, 5 yards (no play)",4.310,5.300
4,1:03,1,5,BUF 14,23,17,Matt Ryan pass incomplete short left intended for Taylor Gabriel,5.300,4.530
4,0:58,2,5,BUF 14,23,17,Matt Ryan pass complete short right to Austin Hooper for 4 yards (tackle by TreDavious White),4.530,4.690
4,0:54,3,1,BUF 10,23,17,Matt Ryan pass incomplete short left intended for Taylor Gabriel,4.690,0.000
4,0:49,,,,,,Timeout #1 by Buffalo Bills,0.000,-2.910
4,0:49,4,1,BUF 10,23,17,Matt Ryan pass incomplete short right intended for Taylor Gabriel,2.910,0.380
4,0:44,1,10,BUF 10,23,17,Tyrod Taylor kneels for -1 yards,-0.380,-0.850
4,0:20,2,11,BUF 9,23,17,Tyrod Taylor kneels for -1 yards,-0.850,-1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
