Quarter,Time,Down,ToGo,Location,CLE,NYJ,Detail,EPB,EPA
1,3:27,2,6,NYJ 17,0,0,"Isaiah Crowell left guard for no gain (tackle by David Harris). Penalty on Leger Douzable: Defensive Offside, 5 yards (no play)",4.200,5.160
1,3:03,2,1,NYJ 12,0,0,Isaiah Crowell middle for 3 yards (tackle by Calvin Pryor),5.160,5.140
1,2:22,1,9,NYJ 9,0,0,"Penalty on John Greco: False Start, 5 yards (no play)",5.140,4.440
1,2:22,1,14,NYJ 14,0,0,Josh McCown pass incomplete short right intended for Rob Housler,4.440,3.580
1,1:52,2,14,NYJ 14,0,0,Josh McCown pass incomplete short right intended for Shaun Draughn,3.580,3.000
1,1:49,3,14,NYJ 14,0,0,"Josh McCown middle for 13 yards (tackle by Calvin Pryor). Josh McCown fumbles (forced by Calvin Pryor), recovered by Antonio Cromartie at NYJ--9. Penalty on Alex Mack: Unnecessary Roughness, 15 yards",3.000,-1.270
1,1:37,1,10,NYJ 35,0,0,Chris Ivory right end for 11 yards (tackle by Donte Whitner),1.270,1.990
1,1:05,1,10,NYJ 46,0,0,Chris Ivory middle for 2 yards (tackle by Donte Whitner and Armonty Bryant),1.990,1.720
1,0:26,2,8,NYJ 48,0,0,Chris Ivory middle for 1 yard (tackle by Armonty Bryant),1.720,1.160
Quarter,Time,Down,ToGo,Location,CLE,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,NYJ 49,0,0,"Penalty on Paul Kruger: Neutral Zone Infraction, 5 yards (no play)",1.160,1.820
2,15:00,3,2,CLE 46,0,0,Chris Ivory middle for 1 yard (tackle by Desmond Bryant and Randy Starks),1.820,1.820
2,14:24,3,2,CLE 46,0,0,Timeout #1 by Cleveland Browns,1.820,0.270
2,14:24,4,1,CLE 45,0,0,Tommy Bohanon middle for no gain (tackle by Armonty Bryant and Desmond Bryant),0.270,-1.930
2,14:15,1,10,CLE 45,0,0,Isaiah Crowell left end for -3 yards (tackle by Damon Harrison),1.930,0.980
2,13:32,2,13,CLE 42,0,0,Johnny Manziel pass complete short right to Jim Dray for 13 yards (tackle by Calvin Pryor),0.980,2.590
2,12:55,1,10,NYJ 45,0,0,Duke Johnson right tackle for 6 yards (tackle by Damon Harrison),2.590,2.850
2,12:17,2,4,NYJ 39,0,0,Duke Johnson left guard for no gain (tackle by Damon Harrison and Muhammad Wilkerson),2.850,2.150
2,11:34,3,4,NYJ 39,0,0,"Johnny Manziel middle for 22 yards (tackle by Jaiquawn Jarrett). Penalty on Isaiah Crowell: Chop Block, 15 yards (no play)",2.150,0.170
2,11:08,3,19,CLE 46,6,0,"Johnny Manziel pass complete deep left to Travis Benjamin for 54 yards, touchdown",0.170,7.000
2,11:08,,,NYJ 46,6,0,"Travis Coons kicks extra point good. Penalty on Mitchell Schwartz: Illegal Formation, 5 yards, Penalty on Armonty Bryant: Offensive Holding, 10 yards (no play)",0.000,-1.000
2,11:08,,,NYJ 46,7,0,Travis Coons kicks extra point good,0.000,0.000
2,11:08,,,CLE 35,7,0,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
2,11:01,1,10,NYJ 20,7,0,Ryan Fitzpatrick pass incomplete short right intended for Brandon Marshall,0.280,-0.270
2,10:56,2,10,NYJ 20,7,0,Ryan Fitzpatrick pass incomplete deep left intended for Eric Decker,-0.270,-0.960
2,10:49,3,10,NYJ 20,7,0,Ryan Fitzpatrick pass complete deep right to Chris Owusu for 43 yards (tackle by Joe Haden and Jordan Poyer),-0.960,3.120
2,10:07,1,10,CLE 37,7,0,"Ryan Fitzpatrick pass incomplete deep left intended for Brandon Marshall is intercepted by Tashaun Gipson at CLE-17. Tashaun Gipson fumbles (forced by Brandon Marshall), recovered by Brandon Marshall at CLE-17 and returned for 8 yards (tackle by Donte Whitner)",3.120,5.140
2,9:53,1,9,CLE 9,7,0,"Ryan Fitzpatrick pass complete short left to Chris Ivory for 9 yards. Penalty on Brandon Marshall: Offensive Holding, 10 yards",5.140,4.910
2,9:46,1,10,CLE 10,7,6,"Chris Ivory middle for 10 yards, touchdown",4.910,7.000
2,9:46,,,CLE 10,7,7,Nick Folk kicks extra point good,0.000,0.000
2,9:46,,,NYJ 35,7,7,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
2,9:41,1,10,CLE 20,7,7,Isaiah Crowell right end for -2 yards (tackle by Damon Harrison),0.280,-0.630
2,8:58,2,12,CLE 18,7,7,Johnny Manziel right end for 6 yards (tackle by Calvin Pryor),-0.630,-0.430
2,8:28,3,6,CLE 24,7,7,"Johnny Manziel pass complete short left to Taylor Gabriel for 7 yards (tackle by Darrelle Revis). Penalty on Joel Bitonio: Offensive Holding, 10 yards (no play)",-0.430,-2.030
2,8:01,3,16,CLE 14,7,7,Duke Johnson middle for 4 yards (tackle by David Harris),-2.030,-2.240
2,7:30,4,12,CLE 18,7,7,"Andy Lee punts 60 yards, returned by Jeremy Kerley for 1 yard (tackle by Craig Robertson)",-2.240,-0.480
2,7:19,1,10,NYJ 23,7,7,Ryan Fitzpatrick pass incomplete short left intended for Kellen Davis (defended by Craig Robertson),0.480,-0.070
2,7:16,2,10,NYJ 23,7,7,Bilal Powell middle for 3 yards (tackle by Barkevious Mingo and Randy Starks),-0.070,-0.360
2,6:36,3,7,NYJ 26,7,7,"Ryan Fitzpatrick for no gain. Ryan Fitzpatrick fumbles, recovered by Ryan Fitzpatrick at NYJ-3",-0.360,-2.490
2,6:05,4,30,NYJ 3,7,7,"Ryan Quigley punts 42 yards, returned by Travis Benjamin for 10 yards (tackle by Jamari Lattimore)",-2.490,-3.250
2,5:54,1,10,NYJ 35,7,7,Johnny Manziel pass incomplete short left intended for Andrew Hawkins,3.250,2.700
2,5:52,2,10,NYJ 35,7,7,Isaiah Crowell right end for no gain (tackle by Muhammad Wilkerson),2.700,2.010
2,5:09,3,10,NYJ 35,7,7,Johnny Manziel pass complete short right to Brian Hartline for 11 yards (tackle by Darrelle Revis),2.010,3.970
,,,,,,,"NYJ challenged the pass completion ruling, and the play was upheld.",,
2,4:41,1,10,NYJ 24,7,7,Johnny Manziel pass complete short left to Travis Benjamin for 15 yards (tackle by Demario Davis),3.970,5.140
2,4:13,1,9,NYJ 9,7,7,Isaiah Crowell right tackle for 4 yards (tackle by T.J. Barnes),5.140,5.150
2,3:37,2,5,NYJ 5,7,7,Johnny Manziel pass incomplete short left intended for Andrew Hawkins,5.150,4.260
2,3:29,3,5,NYJ 5,7,7,"Penalty on Johnny Manziel: Delay of Game, 5 yards (no play)",4.260,3.130
2,3:29,3,10,NYJ 10,7,7,Johnny Manziel left tackle for 3 yards (tackle by Buster Skrine),3.130,2.970
2,2:49,4,7,NYJ 7,10,7,Travis Coons 26 yard field goal good,2.970,3.000
2,2:49,,,CLE 35,10,7,"Travis Coons kicks off 50 yards, returned by Kellen Davis for 13 yards (tackle by Barkevious Mingo)",0.000,-0.810
2,2:39,1,10,NYJ 28,10,7,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 11 yards (tackle by Joe Haden),0.810,1.530
2,2:13,1,10,NYJ 39,10,7,Ryan Fitzpatrick pass complete short left to Chris Owusu for 8 yards (tackle by Tramon Williams),1.530,2.070
2,2:00,2,2,NYJ 47,10,7,Ryan Fitzpatrick pass complete short left to Bilal Powell for 11 yards (tackle by Randy Starks),2.070,2.790
2,1:30,1,10,CLE 42,10,7,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 9 yards (tackle by Joe Haden),2.790,3.460
2,1:25,2,1,CLE 33,10,7,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 6 yards (tackle by Tramon Williams),3.460,3.780
2,1:02,1,10,CLE 27,10,7,Ryan Fitzpatrick pass complete short right to Bilal Powell for 5 yards (tackle by Donte Whitner),3.780,3.780
2,0:56,1,10,CLE 27,10,7,Timeout #2 by New York Jets,3.780,3.910
2,0:56,2,5,CLE 22,10,7,Ryan Fitzpatrick pass incomplete deep left intended for Chris Owusu,3.910,3.200
2,0:49,3,5,CLE 22,10,7,Bilal Powell right tackle for 7 yards (tackle by Karlos Dansby),3.200,4.580
2,0:49,1,10,CLE 15,10,13,"Ryan Fitzpatrick pass complete short middle to Eric Decker for 15 yards, touchdown",4.580,7.000
2,0:49,,,CLE 15,10,14,Nick Folk kicks extra point good,0.000,0.000
2,0:49,,,NYJ 35,10,14,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
2,0:26,1,10,CLE 20,10,14,Isaiah Crowell right end for 8 yards (tackle by Darrelle Revis and Calvin Pryor),0.280,0.810
Quarter,Time,Down,ToGo,Location,CLE,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,10,14,"Nick Folk kicks off 74 yards, returned by Shaun Draughn for 27 yards (tackle by Darrin Walls). Penalty on Craig Robertson: Offensive Holding, 9 yards",0.000,-0.380
3,14:56,1,10,CLE 9,10,14,Johnny Manziel pass complete short middle to Andrew Hawkins for 6 yards (tackle by David Harris),-0.380,-0.280
3,14:23,2,4,CLE 15,10,14,Duke Johnson middle for 8 yards (tackle by David Harris),-0.280,0.480
3,13:49,1,10,CLE 23,10,14,Duke Johnson right end for 2 yards (tackle by Calvin Pryor),0.480,0.200
3,13:10,2,8,CLE 25,10,14,Johnny Manziel pass incomplete short right intended for Jim Dray,0.200,-0.490
3,13:04,3,8,CLE 25,10,14,Johnny Manziel pass complete short left to Brian Hartline for 9 yards (tackle by Marcus Williams),-0.490,1.200
3,12:26,1,10,CLE 34,10,14,Isaiah Crowell middle for no gain (tackle by David Harris and Demario Davis),1.200,0.660
3,11:59,2,10,CLE 34,10,14,"Penalty on Mitchell Schwartz: False Start, 5 yards (no play)",0.660,-0.020
3,11:38,2,15,CLE 29,10,14,Johnny Manziel left end for 8 yards (tackle by Damon Harrison),-0.020,0.370
3,10:52,3,7,CLE 37,10,14,Johnny Manziel pass incomplete short left intended for Brian Hartline is intercepted by Marcus Williams at CLE-46 and returned for 18 yards,0.370,-3.710
3,10:42,1,10,CLE 28,10,14,Chris Ivory right guard for 5 yards (tackle by Christian Kirksey and Donte Whitner),3.710,3.840
3,10:08,2,5,CLE 23,10,14,Chris Ivory middle for 3 yards (tackle by Paul Kruger),3.840,3.530
3,9:30,3,2,CLE 20,10,14,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 17 yards,3.530,6.510
3,9:00,1,3,CLE 3,10,14,Chris Ivory right tackle for 2 yards (tackle by Paul Kruger and Karlos Dansby),6.510,5.910
3,8:19,2,1,CLE 1,10,14,Chris Ivory left guard for no gain (tackle by Karlos Dansby and Christian Kirksey),5.910,5.170
3,7:56,3,1,CLE 1,10,20,"Ryan Fitzpatrick pass complete short right to Brandon Marshall for 1 yard, touchdown",5.170,7.000
3,7:56,,,CLE 1,10,21,"Nick Folk kicks extra point good. Penalty on Joe Haden: Unnecessary Roughness, 15 yards",0.000,0.000
3,7:56,,,CLE 1,10,21,"Nick Folk kicks off 50 yards, touchback",0.000,-0.280
3,7:51,1,10,CLE 20,10,21,Johnny Manziel pass complete short right to Isaiah Crowell for 8 yards (tackle by Marcus Gilchrist),0.280,0.810
3,7:27,2,2,CLE 28,10,21,Isaiah Crowell left guard for -1 yards (tackle by Leonard Williams and Muhammad Wilkerson),0.810,-0.030
3,6:48,3,3,CLE 27,10,21,Johnny Manziel pass incomplete short middle intended for Gary Barnidge,-0.030,-1.570
3,6:42,4,3,CLE 27,10,21,"Andy Lee punts 61 yards, returned by Jeremy Kerley for 12 yards (tackle by Marlon Moore)",-1.570,-0.540
3,6:30,1,10,NYJ 24,10,21,Chris Ivory right tackle for 4 yards (tackle by K'Waun Williams),0.540,0.540
3,5:50,2,6,NYJ 28,10,21,Ryan Fitzpatrick pass complete short right to Chris Owusu for -1 yards (tackle by Barkevious Mingo),0.540,-0.300
3,5:11,3,7,NYJ 27,10,21,Ryan Fitzpatrick pass complete short right to Brandon Marshall for 18 yards (tackle by Joe Haden and Jordan Poyer). Penalty on Joe Haden: Defensive Pass Interference (Declined),-0.300,1.930
3,4:47,1,10,NYJ 45,10,21,Chris Ivory right tackle for 4 yards (tackle by Jamie Meder and Karlos Dansby),1.930,1.920
3,4:06,2,6,NYJ 49,10,21,Chris Ivory right end for 19 yards (tackle by Donte Whitner),1.920,3.450
3,3:20,1,10,CLE 32,10,21,Bilal Powell middle for 9 yards (tackle by Karlos Dansby),3.450,4.120
3,2:41,2,1,CLE 23,10,21,Bilal Powell right guard for 2 yards (tackle by Tashaun Gipson),4.120,4.170
3,2:00,1,10,CLE 21,10,21,Bilal Powell middle for 3 yards (tackle by Paul Kruger),4.170,4.040
3,1:21,2,7,CLE 18,10,21,Bilal Powell left guard for 2 yards (tackle by Danny Shelton),4.040,3.630
3,0:38,3,5,CLE 16,10,21,Ryan Fitzpatrick pass incomplete deep left intended for Bilal Powell (defended by Barkevious Mingo),3.630,2.430
3,0:33,4,5,CLE 16,10,24,Nick Folk 34 yard field goal good,2.430,3.000
3,0:33,,,NYJ 35,10,24,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
3,0:29,1,10,CLE 20,10,24,Duke Johnson left tackle for no gain (tackle by Leonard Williams and Quinton Coples),0.280,-0.270
Quarter,Time,Down,ToGo,Location,CLE,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,CLE 20,10,24,"Penalty on Quinton Coples: Neutral Zone Infraction, 5 yards (no play)",-0.270,0.410
4,15:00,2,5,CLE 25,10,24,Johnny Manziel pass incomplete short left intended for Gary Barnidge,0.410,-0.300
4,14:53,3,5,CLE 25,10,24,Johnny Manziel pass complete short right to Andrew Hawkins for 7 yards (tackle by Marcus Gilchrist),-0.300,1.070
4,14:12,1,10,CLE 32,10,24,Johnny Manziel pass incomplete short left intended for Andrew Hawkins (defended by Marcus Williams),1.070,0.530
4,14:07,2,10,CLE 32,10,24,Duke Johnson middle for 2 yards (tackle by Calvin Pryor and Leonard Williams),0.530,0.100
4,13:28,3,8,CLE 34,10,24,"Johnny Manziel middle for 20 yards (tackle by Buster Skrine). Penalty on Alex Mack: Offensive Holding, 10 yards (no play)",0.100,-1.220
4,13:05,3,18,CLE 24,10,24,"Johnny Manziel sacked by Muhammad Wilkerson for 0 yards. Johnny Manziel fumbles (forced by Muhammad Wilkerson), recovered by Darrelle Revis at CLE-26 and returned for 17 yards (tackle by Travis Benjamin). Darrelle Revis fumbles (forced by Muhammad Wilkerson), recovered by Darrelle Revis at CLE-26 for 17 yards (tackle by Travis Benjamin)",-1.220,-1.220
4,13:05,3,18,CLE 24,10,24,--,-1.220,-4.310
4,12:49,1,10,CLE 19,10,24,Chris Ivory right guard for 3 yards (tackle by Paul Kruger and Desmond Bryant),4.310,4.180
4,12:06,2,7,CLE 16,10,24,Chris Ivory middle for 12 yards (tackle by Donte Whitner and Desmond Bryant),4.180,6.280
4,11:22,1,4,CLE 4,10,24,Chris Ivory middle for 1 yard (tackle by Danny Shelton and Jamie Meder),6.280,5.530
4,10:38,2,3,CLE 3,10,30,"Chris Ivory right end for 3 yards, touchdown",5.530,7.000
4,10:38,,,CLE 3,10,31,Nick Folk kicks extra point good,0.000,0.000
4,10:38,,,NYJ 35,10,31,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
4,10:38,1,10,CLE 20,10,31,Johnny Manziel pass complete short middle to Travis Benjamin for 20 yards (tackle by Marcus Williams),0.280,1.600
4,10:13,1,10,CLE 40,10,31,Johnny Manziel pass complete short right to Isaiah Crowell for 5 yards (tackle by Marcus Gilchrist),1.600,1.730
4,9:46,2,5,CLE 45,10,31,Johnny Manziel middle for 14 yards (tackle by Calvin Pryor),1.730,2.850
4,9:20,1,10,NYJ 41,10,31,Johnny Manziel pass incomplete deep left intended for Brian Hartline (defended by Marcus Williams),2.850,2.310
4,9:15,2,10,NYJ 41,10,31,"Johnny Manziel sacked by Trevor Reilly for -7 yards. Johnny Manziel fumbles (forced by Trevor Reilly), recovered by Quinton Coples at NYJ-48 (tackle by Joe Thomas)",2.310,-2.130
4,9:08,1,10,NYJ 48,10,31,Chris Ivory right guard for 3 yards (tackle by Donte Whitner and Craig Robertson),2.130,1.990
4,8:29,2,7,CLE 49,10,31,Bilal Powell right tackle for -3 yards (tackle by Karlos Dansby),1.990,0.890
4,7:46,3,10,NYJ 48,10,31,Ryan Fitzpatrick pass incomplete short left intended for Bilal Powell,0.890,-0.190
4,7:43,4,10,NYJ 48,10,31,"Ryan Quigley punts 52 yards, touchback",-0.190,-0.280
4,7:35,1,10,CLE 20,10,31,Johnny Manziel pass incomplete short middle intended for Brian Hartline,0.280,-0.270
4,7:32,2,10,CLE 20,10,31,Johnny Manziel pass complete short left to Taylor Gabriel for 9 yards (tackle by Marcus Williams),-0.270,0.230
4,7:06,3,1,CLE 29,10,31,Johnny Manziel pass incomplete short left intended for Taylor Gabriel,0.230,-1.440
4,7:02,4,1,CLE 29,10,31,Johnny Manziel pass complete short middle to Gary Barnidge for 14 yards (tackle by Marcus Gilchrist),-1.440,1.800
4,6:36,1,10,CLE 43,10,31,Johnny Manziel middle for 4 yards (tackle by Demario Davis),1.800,1.790
4,6:01,2,6,CLE 47,10,31,Johnny Manziel sacked by David Harris for -7 yards,1.790,0.170
4,5:31,3,13,CLE 40,10,31,Johnny Manziel pass complete short middle to Andrew Hawkins for 11 yards (tackle by Marcus Gilchrist),0.170,0.000
4,4:57,4,2,NYJ 49,10,31,Johnny Manziel pass incomplete short right intended for Taylor Gabriel,0.000,-2.190
4,4:53,1,10,NYJ 49,10,31,Ryan Fitzpatrick pass incomplete short right intended for Chris Owusu,2.190,1.650
4,4:48,2,10,NYJ 49,10,31,Bilal Powell right tackle for 1 yard (tackle by Tashaun Gipson),1.650,1.090
4,4:02,3,9,,10,31,Bilal Powell right end for 9 yards (tackle by Joe Haden),1.090,2.850
4,3:16,1,10,CLE 41,10,31,Bilal Powell left guard for 5 yards (tackle by John Hughes and Tashaun Gipson),2.850,2.980
4,2:35,2,5,CLE 36,10,31,Bilal Powell left end for 21 yards (tackle by Tramon Williams),2.980,4.580
4,2:00,1,10,CLE 15,10,31,Bilal Powell middle for 3 yards (tackle by Tashaun Gipson and Craig Robertson),4.580,4.450
4,1:17,2,7,CLE 12,10,31,Tommy Bohanon middle for 2 yards (tackle by Craig Robertson),4.450,4.000
4,0:33,3,5,CLE 10,10,31,Ryan Fitzpatrick kneels for -1 yards,4.000,2.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
