Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
3,5:42,1,10,OAK 46,31,7,Derek Carr up the middle for 8 yards (tackle by Jelani Jenkins),1.990,2.530
3,5:04,2,2,MIA 46,31,7,Derek Carr pass complete short right to Brice Butler for 15 yards (tackle by Brent Grimes),2.530,2.530
,,,,,,,"OAK challenged the incomplete pass ruling, and the original play was overturned.",,
3,5:04,2,2,MIA 46,31,7,Timeout #1 by Oakland Raiders,2.530,3.510
3,4:45,1,10,MIA 31,31,7,Matt McGloin pass complete short right to Darren McFadden for 1 yard (tackle by Louis Delmas),3.510,3.100
3,4:09,2,9,MIA 30,37,7,"Matt McGloin for no gain. Stefen Wisniewski fumbles, recovered by Cortland Finnegan at 50 and returned for 50 yards, touchdown",3.100,-7.000
3,3:59,,,OAK 2,38,7,Caleb Sturgis kicks extra point good,0.000,0.000
3,3:59,,,MIA 35,38,7,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,3:58,1,10,OAK 20,38,7,Maurice Jones-Drew left tackle for no gain (tackle by Derrick Shelby),0.280,-0.270
3,3:30,2,10,OAK 20,38,7,Matt McGloin pass complete short middle to Andre Holmes for 15 yards (tackle by Brent Grimes),-0.270,1.270
3,2:53,1,10,OAK 35,38,7,"Matt McGloin pass incomplete deep left intended for Andre Holmes is intercepted by Jimmy Wilson at MIA-38 and returned for 33 yards. Penalty on Gabe Jackson: Unnecessary Roughness, 15 yards",1.270,-4.510
3,2:33,1,10,OAK 16,38,7,"Ryan Tannehill pass complete short right to Daniel Thomas for 16 yards. Penalty on Dion Sims: Offensive Pass Interference, 10 yards (no play)",4.510,3.840
3,2:28,1,20,OAK 26,38,7,Ryan Tannehill pass complete short left to Mike Wallace for 6 yards (tackle by Tarell Brown),3.840,3.420
3,2:05,2,14,OAK 20,38,7,"Daniel Thomas left guard for 6 yards (tackle by Bojay Filimoeatu). Penalty on Daryn Colledge: Offensive Holding, 10 yards (no play)",3.420,2.070
3,1:43,2,24,OAK 30,38,7,Ryan Tannehill pass incomplete short right intended for Dion Sims is intercepted by Travis Carrie at OAK-20 and returned for 28 yards,2.070,-2.130
3,1:31,1,10,OAK 48,38,7,Matt McGloin pass complete short right to Maurice Jones-Drew for no gain,2.130,1.580
3,1:01,2,10,OAK 48,38,7,Matt McGloin pass complete short right to Maurice Jones-Drew for 2 yards (tackle by Earl Mitchell),1.580,1.160
3,0:19,3,8,,38,7,Matt McGloin pass incomplete short middle intended for Andre Holmes (defended by Brent Grimes),1.160,-0.060
3,0:19,4,8,,38,7,"Marquette King punts 42 yards, fair catch by Jarvis Landry",-0.060,0.380
3,0:07,1,10,MIA 9,38,7,Daniel Thomas left guard for 4 yards (tackle by Justin Tuck),-0.380,-0.480
Quarter,Time,Down,ToGo,Location,MIA,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,MIA 13,38,7,Ryan Tannehill pass incomplete short left intended for Charles Clay,-0.480,-0.950
4,14:57,3,6,MIA 13,38,7,Ryan Tannehill pass complete short left to Daniel Thomas for 25 yards (tackle by Brandian Ross and Carlos Rogers),-0.950,1.470
4,14:13,1,10,MIA 38,38,7,Daniel Thomas left tackle for 3 yards (tackle by Khalil Mack),1.470,1.330
4,13:34,2,7,MIA 41,38,7,Daniel Thomas right end for 3 yards (tackle by C.J. Wilson),1.330,1.020
4,12:53,3,4,MIA 44,38,7,Ryan Tannehill pass complete short middle to Rishard Matthews for 4 yards (tackle by Miles Burris),1.020,1.020
4,12:39,3,4,MIA 44,38,7,Timeout #1 by Miami Dolphins,1.020,2.130
4,12:30,1,10,MIA 48,38,7,Ryan Tannehill pass incomplete short left intended for Daniel Thomas,2.130,1.580
4,12:25,2,10,MIA 48,38,7,Ryan Tannehill pass incomplete short right intended for Brandon Gibson,1.580,0.890
4,12:21,3,10,MIA 48,38,7,Ryan Tannehill pass complete short left to Jarvis Landry for 2 yards (tackle by Miles Burris),0.890,0.890
4,12:21,3,10,MIA 48,38,7,Timeout #2 by Miami Dolphins,0.890,-0.060
4,12:11,4,8,,38,7,"Brandon Fields punts 40 yards, fair catch by Travis Carrie",-0.060,0.380
4,11:50,1,10,OAK 10,38,7,Matt McGloin pass complete short right to Andre Holmes for 11 yards (tackle by Will Davis),-0.380,0.340
4,11:17,1,10,OAK 21,38,7,Matt McGloin pass complete short right to Darren McFadden for 16 yards (tackle by Will Davis),0.340,1.400
4,10:43,1,10,OAK 37,38,7,Matt McGloin pass complete short left to David Ausberry for 7 yards (tackle by Jason Trusnik),1.400,1.800
4,10:16,2,3,OAK 44,38,7,Darren McFadden left guard for 2 yards (tackle by Jason Trusnik),1.800,1.360
4,9:53,3,1,OAK 46,38,7,Matt McGloin up the middle for 3 yards (tackle by Anthony Johnson),1.360,2.190
4,9:24,1,10,OAK 49,38,7,Matt McGloin pass incomplete deep left intended for Andre Holmes,2.190,1.650
4,9:18,2,10,OAK 49,38,7,Matt McGloin pass incomplete short right intended for Mychal Rivera,1.650,0.960
4,9:14,3,10,OAK 49,38,7,Matt McGloin pass complete short right to James Jones for 29 yards,0.960,4.110
4,8:40,1,10,MIA 22,38,13,"Matt McGloin pass complete deep right to Andre Holmes for 22 yards, touchdown",4.110,7.000
4,8:40,,,MIA 2,38,14,Sebastian Janikowski kicks extra point good,0.000,0.000
4,8:40,,,OAK 35,38,14,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
4,8:05,1,10,MIA 20,38,14,Damian Williams left guard for 2 yards (tackle by Khalil Mack),0.280,0.000
4,8:05,2,8,MIA 22,38,14,"Penalty on Pat Sims: Encroachment, 5 yards (no play)",0.000,0.680
4,7:43,2,3,MIA 27,38,14,Damian Williams left end for 5 yards (tackle by Bojay Filimoeatu),0.680,1.070
4,7:05,1,10,MIA 32,38,14,Damian Williams left guard for 2 yards (tackle by C.J. Wilson),1.070,0.800
4,6:24,2,8,MIA 34,38,14,Orleans Darkwa right guard for 7 yards (tackle by C.J. Wilson),0.800,1.030
4,5:48,3,1,MIA 41,38,14,Orleans Darkwa up the middle for -3 yards (tackle by Bojay Filimoeatu),1.030,-0.850
4,5:08,4,4,MIA 38,38,14,"Brandon Fields punts 41 yards, returned by Travis Carrie for 17 yards (tackle by Jonathan Freeny)",-0.850,-1.470
4,4:56,1,10,OAK 38,38,14,Matt McGloin pass complete short right to David Ausberry for 7 yards (tackle by Kelvin Sheppard),1.470,1.870
4,4:23,2,3,OAK 45,38,14,Matt McGloin pass complete short middle to Brice Butler for 15 yards (tackle by Michael Thomas),1.870,2.920
4,3:55,1,10,MIA 40,38,14,Matt McGloin pass incomplete short left intended for David Ausberry is intercepted by Walt Aikens at MIA-31 and returned for 43 yards,2.920,-3.840
4,3:43,1,10,OAK 26,38,14,"Damian Williams left end for 12 yards (tackle by Bojay Filimoeatu). Penalty on Rishard Matthews: Illegal Formation, 5 yards (no play)",3.840,3.510
4,3:33,1,15,OAK 31,38,14,Damian Williams left tackle for 12 yards (tackle by Usama Young),3.510,4.270
4,3:26,2,3,OAK 19,38,14,Damian Williams left guard for 1 yard (tackle by Khalil Mack),4.270,3.750
4,2:45,3,2,OAK 18,38,14,Orleans Darkwa right guard for -1 yards (tackle by Usama Young),3.750,3.750
4,2:29,3,2,OAK 18,38,14,Timeout #2 by Oakland Raiders,3.750,2.280
4,2:29,4,3,OAK 19,38,14,Orleans Darkwa left guard for -1 yards (tackle by Justin Tuck),2.280,-0.280
4,2:25,1,10,OAK 20,38,14,Matt McGloin pass complete short left to Mychal Rivera for 4 yards (tackle by Jordan Tripp),0.280,0.270
4,2:00,2,6,OAK 24,38,14,Matt McGloin pass incomplete short left intended for Andre Holmes,0.270,-0.430
4,1:56,3,6,OAK 24,38,14,Matt McGloin pass incomplete short right intended for David Ausberry,-0.430,-1.770
4,1:51,4,6,OAK 24,38,14,Matt McGloin sacked by Derrick Shelby for -8 yards,-1.770,-4.510
4,1:47,1,10,OAK 16,38,14,Damian Williams left end for 1 yard (tackle by Travis Carrie),4.510,4.050
4,1:05,2,9,OAK 15,38,14,Matt Moore kneels for -1 yards,4.050,3.080
4,0:31,3,10,OAK 16,38,14,Matt Moore kneels for -1 yards,3.080,2.310
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
