Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
1,0:08,1,10,JAX 49,0,3,Byron Leftwich pass incomplete intended for Ernest Wilford (defended by Denard Walker),2.190,1.650
1,0:05,2,10,JAX 49,0,3,Greg Jones up the middle for 1 yard (tackle by Akbar Gbaja-Biamila),1.650,1.090
Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,OAK 50,0,3,Byron Leftwich pass complete to Troy Edwards for 12 yards (tackle by Stuart Schweigert),1.090,3.050
2,14:33,1,10,OAK 38,0,3,LaBrandon Toefield up the middle for 7 yards (tackle by Danny Clark),3.050,3.450
2,13:56,2,3,OAK 31,0,3,LaBrandon Toefield right end for 2 yards (tackle by Marques Anderson),3.450,3.010
2,13:27,3,1,OAK 29,0,3,Greg Jones up the middle for no gain (tackle by Danny Clark and Tim Johnson),3.010,1.620
2,12:56,4,1,OAK 29,0,3,Byron Leftwich pass complete to Marc Edwards for 15 yards (tackle by Denard Walker),1.620,4.650
2,12:27,1,10,OAK 14,0,3,Greg Jones up the middle for 2 yards (tackle by Ted Washington and Warren Sapp),4.650,4.330
2,11:46,2,8,OAK 12,0,3,Byron Leftwich up the middle for 2 yards (tackle by Warren Sapp and Ted Washington),4.330,3.820
2,11:04,,,,0,3,Timeout #1 by Jacksonville Jaguars,0.000,3.820
2,11:04,3,6,OAK 10,0,3,Byron Leftwich up the middle for 2 yards (tackle by Terdell Sands and Danny Clark),3.820,2.980
2,10:18,4,4,OAK 8,3,3,Josh Scobee 26 yard field goal good,2.980,3.000
2,,,,JAX 30,3,3,"Josh Scobee kicks off 63 yards, returned by Doug Gabriel for 23 yards (tackle by Tony Gilbert)",0.000,0.940
2,10:10,1,10,OAK 30,3,3,Kerry Collins pass incomplete intended for Amos Zereoue,0.940,0.390
2,10:03,2,10,OAK 30,3,3,Kerry Collins pass complete to Zack Crockett for 3 yards (tackle by Daryl Smith),0.390,0.100
2,9:20,3,7,OAK 33,3,3,Kerry Collins pass incomplete intended for Alvis Whitted is intercepted by Rashean Mathis at JAX-19,0.100,-0.150
2,9:10,1,10,JAX 19,3,3,Byron Leftwich pass incomplete intended for Troy Edwards (defended by Tim Johnson),0.150,-0.390
2,9:06,2,10,JAX 19,3,3,LaBrandon Toefield right guard for 2 yards (tackle by Ted Washington and Bobby Hamilton),-0.390,-0.810
2,8:24,3,8,JAX 21,3,3,Byron Leftwich pass complete to Troy Edwards for 6 yards (tackle by Brock Williams),-0.810,-1.570
2,8:02,4,2,JAX 27,3,3,Chris Hanson punts 42 yards,-1.570,-1.000
2,7:55,1,10,OAK 31,3,3,Amos Zereoue left tackle for no gain (tackle by John Henderson),1.000,0.460
2,7:16,2,10,OAK 31,3,3,Kerry Collins pass incomplete intended for Alvis Whitted is intercepted by Donovin Darius at JAX-41,0.460,-1.660
2,7:08,1,10,JAX 41,3,3,Greg Jones left end for 6 yards (tackle by Marques Anderson),1.660,1.930
2,6:43,2,4,JAX 47,3,3,Greg Jones up the middle for 2 yards (tackle by Tim Johnson),1.930,1.490
2,6:04,3,2,JAX 49,3,3,Byron Leftwich pass complete to Kyle Brady for 8 yards (tackle by Marques Anderson),1.490,2.720
2,5:22,1,10,OAK 43,3,3,"Penalty on Reggie Williams: False Start, 5 yards (no play)",2.720,2.390
2,4:59,1,15,OAK 48,3,3,LaBrandon Toefield right end for 9 yards (tackle by Stuart Schweigert and Tim Johnson),2.390,2.720
2,4:16,2,6,OAK 39,3,3,Byron Leftwich up the middle for 3 yards (tackle by Terdell Sands),2.720,2.410
2,3:28,3,3,OAK 36,3,3,LaBrandon Toefield up the middle for -4 yards (tackle by Tim Johnson),2.410,0.590
2,2:58,4,7,OAK 40,3,3,Chris Hanson punts 36 yards,0.590,0.380
2,2:48,1,10,OAK 4,3,3,Zack Crockett up the middle for 5 yards (tackle by Donovin Darius),-0.380,-0.420
2,2:10,2,5,OAK 9,3,3,Amos Zereoue right guard for 4 yards (tackle by Marcus Stroud),-0.420,-0.370
2,2:00,3,1,OAK 13,3,3,J.R. Redmond right guard for 7 yards (tackle by Rashean Mathis),-0.370,0.280
2,1:26,1,10,OAK 20,3,3,Kerry Collins pass complete to Doug Gabriel for 14 yards (tackle by Donovin Darius),0.280,1.200
2,1:20,,,,3,3,Timeout #1 by Oakland Raiders,0.000,1.200
2,1:20,1,10,OAK 34,3,3,Kerry Collins pass incomplete intended for Doug Gabriel,1.200,0.660
2,1:15,2,10,OAK 34,3,3,Kerry Collins pass incomplete intended for Jerry Porter,0.660,-0.030
2,1:09,3,10,OAK 34,3,3,Kerry Collins pass complete to Amos Zereoue for 9 yards (tackle by Donovin Darius),-0.030,-0.520
2,0:36,,,,3,3,Timeout #2 by Oakland Raiders,0.000,-0.520
2,0:36,4,1,OAK 43,3,3,Shane Lechler punts 37 yards,-0.520,-0.280
2,0:29,1,10,JAX 20,3,3,"Byron Leftwich pass complete to Jimmy Smith for 5 yards (tackle by Danny Clark). Jimmy Smith fumbles (forced by Danny Clark), recovered by Tommy Kelly at JAX-25",0.280,-3.910
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:18,1,10,JAX 25,3,3,Kerry Collins pass incomplete intended for Jerry Porter (defended by Dewayne Washington),3.910,3.360
2,0:11,2,10,JAX 25,3,3,Kerry Collins pass complete to Doug Jolley for 15 yards (tackle by Dewayne Washington),3.360,4.910
2,0:05,1,10,JAX 10,3,6,Sebastian Janikowski 27 yard field goal good,4.910,3.000
2,,,,OAK 30,3,6,"Sebastian Janikowski kicks off 56 yards, returned by David Allen for 22 yards (tackle by Stuart Schweigert)",0.000,0.940
Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,3,6,"Sebastian Janikowski kicks off 59 yards, returned by David Allen for 11 yards (tackle by Justin Fargas)",0.000,0.410
3,14:54,1,10,JAX 22,3,6,Byron Leftwich right end for 6 yards (tackle by Bobby Hamilton),0.410,0.680
3,14:23,2,4,JAX 28,3,6,LaBrandon Toefield right end for 3 yards (tackle by Denard Walker),0.680,0.370
3,13:55,3,1,JAX 31,3,6,Greg Jones right tackle for 3 yards (tackle by Tyler Brayton),0.370,1.200
3,13:23,1,10,JAX 34,3,6,"Byron Leftwich pass complete to Kyle Brady for 5 yards. Penalty on Nnamdi Asomugha: Illegal Use of Hands, 5 yards (no play)",1.200,1.530
3,13:06,1,10,JAX 39,3,6,Byron Leftwich pass incomplete intended for Troy Edwards,1.530,0.990
3,13:00,2,10,JAX 39,3,6,Byron Leftwich pass incomplete intended for Reggie Williams is intercepted by Tim Johnson at OAK-42 and returned for 8 yards (tackle by Maurice Williams),0.990,-2.260
3,12:49,1,10,OAK 50,3,6,Zack Crockett up the middle for 4 yards (tackle by John Henderson),2.260,2.250
3,12:14,2,6,JAX 46,3,6,Kerry Collins pass incomplete intended for Jerry Porter,2.250,1.550
3,12:11,3,6,JAX 46,3,6,"Kerry Collins left end for 8 yards (tackle by Greg Favors). Penalty on Jerry Porter: Illegal Shift, 5 yards (no play)",1.550,0.890
3,11:35,3,11,OAK 49,3,6,"Kerry Collins sacked by Deke Cooper for -11 yards. Kerry Collins fumbles (forced by Deke Cooper), recovered by Brad Badger at OAK-47",0.890,-0.260
3,10:49,4,13,OAK 47,3,6,"Shane Lechler punts 39 yards, fair catch by David Allen",-0.260,0.280
3,10:43,1,10,JAX 14,3,6,"Byron Leftwich pass complete to Ernest Wilford for 10 yards (tackle by Marques Anderson). Penalty on Ernest Wilford: Taunting, 12 yards",-0.280,-0.350
3,10:13,1,10,JAX 12,3,6,Byron Leftwich pass complete to Jimmy Smith for 8 yards (tackle by Nnamdi Asomugha),-0.350,0.290
3,9:45,2,2,JAX 20,3,6,Byron Leftwich pass incomplete intended for Troy Edwards,0.290,-0.480
3,9:45,3,2,JAX 20,3,6,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Ray Buchanan),-0.480,-2.030
3,9:39,4,2,JAX 20,3,6,"Chris Hanson punts 53 yards, returned by Doug Gabriel for no gain",-2.030,-0.740
3,9:30,1,10,OAK 27,3,6,"Kerry Collins sacked for -6 yards. Kerry Collins fumbles, recovered by John Henderson at OAK-21 (tackle by Kerry Collins)",0.740,-4.170
3,9:16,1,10,OAK 21,3,6,Byron Leftwich left end for 15 yards (tackle by Ray Buchanan),4.170,5.830
3,8:47,1,6,OAK 6,3,6,LaBrandon Toefield left end for -1 yards (tackle by Akbar Gbaja-Biamila),5.830,4.760
3,8:02,2,7,OAK 7,3,6,Byron Leftwich pass incomplete intended for Todd Yoder (defended by Nnamdi Asomugha),4.760,3.810
3,7:56,3,7,OAK 7,3,6,Byron Leftwich pass complete to Troy Edwards for 3 yards (tackle by Denard Walker),3.810,3.030
3,7:12,4,4,OAK 4,6,6,Josh Scobee 22 yard field goal good,3.030,3.000
3,,,,JAX 30,6,6,Josh Scobee kicks off 63 yards,0.000,1.600
3,7:09,1,10,OAK 40,6,6,Kerry Collins pass incomplete intended for Jerry Porter (defended by Rashean Mathis),1.600,1.050
3,7:03,2,10,OAK 40,6,6,Amos Zereoue up the middle for no gain (tackle by Mike Peterson and Greg Favors),1.050,0.370
3,6:21,3,10,OAK 40,6,6,"Penalty on Doug Gabriel: False Start, 5 yards (no play)",0.370,-0.300
3,6:21,3,15,OAK 35,6,6,Kerry Collins pass incomplete intended for Doug Gabriel,-0.300,-1.040
3,6:15,4,15,OAK 35,6,6,"Shane Lechler punts 50 yards, returned by David Allen for 32 yards (tackle by Stuart Schweigert)",-1.040,-2.060
3,6:02,1,10,JAX 47,6,6,Greg Jones right tackle for 5 yards (tackle by Danny Clark),2.060,2.190
3,5:24,2,5,OAK 48,6,6,"Byron Leftwich right end for 1 yard. Penalty on Byron Leftwich: Illegal Forward Pass, 5 yards",2.190,0.960
3,5:13,3,9,JAX 48,6,6,Byron Leftwich pass complete to Ernest Wilford for 46 yards (tackle by Brock Williams),0.960,5.830
3,4:14,1,6,OAK 6,6,6,Chris Fuamatu-Ma'afala up the middle for 4 yards (tackle by Akbar Gbaja-Biamila and Danny Clark),5.830,5.720
3,4:00,2,2,OAK 2,6,6,Byron Leftwich up the middle for 1 yard (tackle by Danny Clark),5.720,5.170
3,3:44,,,,6,6,Timeout #1 by Jacksonville Jaguars,0.000,5.170
3,3:44,3,1,OAK 1,12,6,"Greg Jones left end for 1 yard, touchdown",5.170,7.000
3,,,,OAK 2,13,6,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 30,13,6,"Josh Scobee kicks off 61 yards, returned by Doug Gabriel for 17 yards (tackle by Todd Yoder)",0.000,0.670
3,3:35,1,10,OAK 26,13,6,Kerry Collins pass complete to Zack Crockett for 5 yards (tackle by Mike Peterson),0.670,0.810
3,3:00,2,5,OAK 31,13,6,Kerry Collins pass incomplete intended for Doug Jolley (defended by Rashean Mathis),0.810,0.100
3,2:55,3,5,OAK 31,13,6,Kerry Collins pass incomplete intended for Alvis Whitted,0.100,-1.310
3,2:50,4,5,OAK 31,13,6,"Shane Lechler punts 34 yards, returned by David Allen for 1 yard (tackle by Justin Fargas)",-1.310,-1.330
3,2:41,1,10,JAX 36,13,6,Greg Jones left end for 2 yards (tackle by Nnamdi Asomugha),1.330,1.060
3,2:03,2,8,JAX 38,13,6,Byron Leftwich up the middle for 1 yard (tackle by Danny Clark),1.060,0.500
3,1:19,3,7,JAX 39,13,6,Byron Leftwich pass incomplete intended for Chris Fuamatu-Ma'afala,0.500,-0.780
3,1:16,4,7,JAX 39,13,6,Chris Hanson punts 52 yards,-0.780,0.380
3,1:03,1,10,OAK 9,13,6,Zack Crockett up the middle for 20 yards (tackle by Deke Cooper and Mike Peterson),-0.380,0.870
3,0:27,1,10,OAK 29,13,6,Zack Crockett left guard for 3 yards (tackle by John Henderson),0.870,0.730
Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,OAK 32,13,6,Kerry Collins pass complete to J.R. Redmond for 3 yards (tackle by Akin Ayodele),0.730,0.430
4,14:20,3,4,OAK 35,13,6,Kerry Collins pass incomplete intended for J.R. Redmond,0.430,-1.040
4,14:16,4,4,OAK 35,13,6,"Shane Lechler punts 36 yards, returned by David Allen for 12 yards (tackle by Stuart Schweigert)",-1.040,-1.660
4,14:04,1,10,JAX 41,13,6,Greg Jones left guard for 6 yards (tackle by Bobby Hamilton and Tim Johnson),1.660,1.930
4,13:30,2,4,JAX 47,13,6,Greg Jones up the middle for -2 yards (tackle by Tim Johnson),1.930,0.960
4,12:50,3,6,JAX 45,13,6,Byron Leftwich pass complete to Todd Yoder for 5 yards (tackle by Nnamdi Asomugha),0.960,-0.060
4,12:23,4,1,OAK 50,13,6,"Chris Hanson punts 33 yards, fair catch by Doug Gabriel",-0.060,0.060
4,12:16,1,10,OAK 17,13,6,Zack Crockett up the middle for 47 yards (tackle by Greg Favors),-0.060,3.180
4,11:28,1,10,JAX 36,13,6,Zack Crockett up the middle for 6 yards (tackle by Donovin Darius),3.180,3.450
4,10:52,2,4,JAX 30,13,6,Zack Crockett left guard for 5 yards (tackle by Akin Ayodele),3.450,3.910
4,10:13,1,10,JAX 25,13,6,Zack Crockett up the middle for 5 yards (tackle by Daryl Smith),3.910,4.040
4,9:38,2,5,JAX 20,13,6,Zack Crockett left guard for 4 yards (tackle by Mike Peterson),4.040,4.060
4,8:58,3,1,JAX 16,13,6,Zack Crockett up the middle for no gain,4.060,2.530
4,8:28,4,1,JAX 16,13,6,Zack Crockett up the middle for 1 yard,2.530,4.580
4,7:40,1,10,JAX 15,13,6,Zack Crockett up the middle for 9 yards (tackle by Akin Ayodele and Dewayne Washington),4.580,5.600
4,7:03,2,1,JAX 6,13,6,Zack Crockett up the middle for no gain (tackle by Daryl Smith),5.600,4.900
4,6:21,3,1,JAX 6,13,6,Zack Crockett right guard for 1 yard (tackle by Daryl Smith),4.900,6.060
4,5:34,1,5,JAX 5,13,6,Zack Crockett up the middle for no gain (tackle by Mike Peterson),6.060,5.150
4,5:09,2,5,JAX 5,13,6,Kerry Collins pass complete to Zack Crockett for 4 yards (tackle by Akin Ayodele),5.150,5.170
4,4:28,3,1,JAX 1,13,6,"Zack Crockett up the middle for 1 yard. Penalty on Roland Williams: Tripping, 15 yards (no play)",5.170,2.850
4,4:22,3,16,JAX 16,13,6,Kerry Collins pass complete to Alvis Whitted for 10 yards (tackle by Rashean Mathis),2.850,2.990
4,4:19,4,6,JAX 6,13,6,"Kerry Collins pass incomplete intended for Jerry Porter is intercepted by Donovin Darius at JAX-34 and returned for 37 yards (tackle by Robert Gallery). Penalty on Kerry Collins: Low Block, 15 yards",2.990,-2.190
4,4:07,1,10,JAX 49,13,6,Greg Jones left guard for 1 yard (tackle by Marques Anderson and Danny Clark). Penalty on Marc Edwards: Illegal Motion (Declined),2.190,1.780
4,4:01,2,9,OAK 50,13,6,Greg Jones right guard for 3 yards (tackle by Bobby Hamilton),1.780,1.490
4,3:17,3,6,OAK 47,13,6,Byron Leftwich pass incomplete intended for Jimmy Smith,1.490,0.130
4,3:11,4,6,OAK 47,13,6,"Chris Hanson punts 47 yards, touchback",0.130,-0.280
4,3:03,1,10,OAK 20,13,6,Kerry Collins pass incomplete intended for Doug Gabriel,0.280,-0.270
4,2:58,2,10,OAK 20,13,6,Kerry Collins pass incomplete intended for Amos Zereoue,-0.270,-0.960
4,2:53,3,10,OAK 20,13,6,Kerry Collins pass complete to Doug Jolley for 19 yards (tackle by Donovin Darius),-0.960,1.530
4,2:07,1,10,OAK 39,13,6,Kerry Collins pass incomplete intended for Doug Gabriel,1.530,0.990
4,2:04,2,10,OAK 39,13,6,Kerry Collins pass complete to Jerry Porter for 3 yards (tackle by Akin Ayodele),0.990,0.700
4,1:57,3,7,OAK 42,13,6,Kerry Collins pass incomplete intended for Jerry Porter,0.700,-0.590
4,1:52,4,7,OAK 42,13,6,Kerry Collins pass complete to Jerry Porter for 27 yards (tackle by Dewayne Washington),-0.590,3.510
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:45,1,10,JAX 31,13,6,"Kerry Collins pass incomplete intended for Alvis Whitted. Penalty on Deon Grant: Defensive Pass Interference, 25 yards (no play)",3.510,5.830
4,1:40,1,6,JAX 6,13,6,"Kerry Collins pass incomplete intended for Amos Zereoue. Penalty on Kerry Collins: Intentional Grounding, 12 yards",5.830,3.150
4,1:36,2,18,JAX 18,13,6,Kerry Collins pass incomplete intended for Jerry Porter,3.150,2.630
4,1:30,3,18,JAX 18,13,6,"Kerry Collins pass incomplete intended for Alvis Whitted (defended by Dewayne Washington). Penalty on Dewayne Washington: Defensive Pass Interference, 15 yards (no play)",2.630,6.510
4,1:24,1,3,JAX 3,13,6,Zack Crockett up the middle for 1 yard (tackle by Mike Peterson and Bobby McCray),6.510,5.720
4,0:45,2,2,JAX 2,13,6,Kerry Collins pass incomplete intended for Doug Jolley (defended by Daryl Smith),5.720,4.950
4,0:40,3,2,JAX 2,13,6,Zack Crockett up the middle for no gain (tackle by Marcus Stroud),4.950,3.250
4,0:12,,,,13,6,Timeout #1 by Oakland Raiders,0.000,3.250
4,0:12,4,2,JAX 2,13,6,"Kerry Collins for no gain. Kerry Collins fumbles, recovered by Kerry Collins at JAX-7",3.250,0.380
4,0:08,1,10,JAX 8,13,6,Byron Leftwich kneels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
