Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
4,1:59,2,10,MIA 47,8,23,Ben Roethlisberger pass incomplete deep middle intended for Darrius Heyward-Bey (defended by Byron Maxwell),1.910,1.220
4,1:52,3,10,MIA 47,8,23,Ben Roethlisberger pass complete short left to Le'Veon Bell for 18 yards (tackle by Reshad Jones),1.220,3.640
4,1:44,1,10,MIA 29,8,23,Ben Roethlisberger pass complete short right to Antonio Brown for 6 yards (tackle by Byron Maxwell),3.640,3.910
4,1:08,2,4,MIA 23,14,23,"Ben Roethlisberger pass complete deep left to Cobi Hamilton for 23 yards, touchdown",3.910,7.000
4,1:08,,,MIA 23,15,23,"Chris Boswell kicks extra point good. Penalty on Jordan Phillips: Leverage, 15 yards",0.000,0.000
4,1:08,,,MIA 23,15,23,"Chris Boswell kicks onside 12 yards, recovered by Jarvis Landry",0.000,-1.470
4,1:01,1,10,MIA 38,15,29,"Jay Ajayi right end for 62 yards, touchdown",1.470,7.000
4,1:01,,,PIT 38,15,30,Andrew Franks kicks extra point good,0.000,0.000
4,1:01,,,MIA 35,15,30,"Andrew Franks kicks off 65 yards, touchback. Penalty on Kenyan Drake: Unnecessary Roughness, 15 yards",0.000,-1.600
4,0:50,1,10,PIT 40,15,30,Ben Roethlisberger pass complete short left to Le'Veon Bell for 4 yards (tackle by Spencer Paysinger),1.600,1.590
4,0:21,2,6,PIT 44,15,30,Ben Roethlisberger pass incomplete short left intended for Le'Veon Bell,1.590,0.890
4,0:16,3,6,PIT 44,15,30,Ben Roethlisberger pass incomplete short right intended for Jesse James,0.890,-0.460
4,0:11,4,6,PIT 44,15,30,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Spencer Paysinger),-0.460,-2.390
4,0:04,1,10,PIT 48,15,30,Ryan Tannehill kneels for -1 yards,2.390,1.710
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
