Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
3,7:51,2,6,JAX 14,12,9,"Blake Bortles right end for 2 yards (tackle by Andrew Sendejo). Penalty on Alex Ellis: Illegal Block Above the Waist, 8 yards",-0.460,-0.930
3,7:29,2,12,JAX 8,12,9,Blake Bortles pass complete short right to T.J. Yeldon for 5 yards (tackle by Eric Kendricks),-0.930,-1.070
3,6:45,3,7,JAX 13,12,9,Blake Bortles pass complete short right to Allen Robinson for 17 yards (tackle by Anthony Harris). Penalty on Xavier Rhodes: Illegal Use of Hands (Declined),-1.070,0.940
3,6:24,1,10,JAX 30,12,9,Blake Bortles sacked by Everson Griffen for -6 yards,0.940,-0.420
3,5:45,2,16,JAX 24,12,9,T.J. Yeldon left end for 11 yards (tackle by Anthony Barr),-0.420,0.370
3,5:06,3,5,JAX 35,12,9,"Blake Bortles middle for 6 yards. Penalty on Xavier Rhodes: Defensive Holding, 5 yards, Penalty on Xavier Rhodes: Unsportsmanlike Conduct, 15 yards",0.370,2.980
3,4:47,1,10,MIN 39,12,9,Blake Bortles pass incomplete short right intended for Corey Grant (defended by Everson Griffen),2.980,2.440
3,4:44,2,10,MIN 39,12,9,"Blake Bortles pass incomplete deep left intended for Marqise Lee. Penalty on Mackensie Alexander: Defensive Pass Interference, 22 yards (no play)",2.440,4.440
3,4:39,1,10,MIN 17,12,9,T.J. Yeldon left end for 3 yards (tackle by Danielle Hunter),4.440,4.320
3,4:00,2,7,MIN 14,12,9,Blake Bortles pass incomplete short right intended for T.J. Yeldon,4.320,3.500
3,3:54,3,7,MIN 14,12,15,"Blake Bortles pass complete short middle to Bryan Walters for 14 yards, touchdown",3.500,7.000
3,3:50,,,MIN 15,12,16,Jason Myers kicks extra point good,0.000,0.000
3,3:50,,,JAX 35,12,16,"Penalty on Jason Myers: Delay of Game, 5 yards (no play)",0.000,0.000
3,3:50,,,JAX 30,12,16,"Jason Myers kicks off 50 yards, returned by David Morgan for 18 yards (tackle by Davon House)",0.000,-1.470
3,3:46,1,10,MIN 38,12,16,Sam Bradford pass complete short middle to Stefon Diggs for 5 yards (tackle by Jonathan Cyprien),1.470,1.600
3,3:13,2,5,MIN 43,12,16,Jerick McKinnon left end for 7 yards (tackle by Prince Amukamara),1.600,2.260
3,2:36,1,10,,12,16,Sam Bradford pass complete short middle to Jerick McKinnon for 12 yards (tackle by Jonathan Cyprien and Myles Jack),2.260,3.050
3,1:55,1,10,JAX 38,12,16,Sam Bradford pass complete short middle to Adam Thielen for 23 yards (tackle by Telvin Smith),3.050,4.580
3,1:22,1,10,JAX 15,12,16,Sam Bradford pass complete short right to Jerick McKinnon for 7 yards (tackle by Paul Posluszny),4.580,5.220
3,0:38,2,3,JAX 8,12,16,Sam Bradford pass incomplete short right intended for Zach Line,5.220,4.450
3,0:32,3,3,JAX 8,12,16,Sam Bradford pass complete short right to Jerick McKinnon for 5 yards (tackle by Jalen Ramsey and Jonathan Cyprien),4.450,6.510
Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,3,JAX 3,12,16,Jerick McKinnon middle for no gain (tackle by Jonathan Cyprien and Hayes Pullard),6.510,5.530
4,14:23,2,3,JAX 3,12,16,"Sam Bradford pass incomplete short right intended for Kyle Rudolph. Penalty on Jonathan Cyprien: Defensive Holding, 2 yards (no play)",5.530,6.970
4,14:18,1,1,JAX 1,18,16,"Matt Asiata middle for 1 yard, touchdown",6.970,7.000
4,14:13,,,JAX 15,18,16,"Kai Forbath kicks extra point good. Penalty on Rhett Ellison: False Start, 5 yards (no play)",0.000,-1.000
4,14:13,,,JAX 20,18,16,Kai Forbath kicks extra point no good,0.000,-1.000
4,14:13,,,MIN 35,18,16,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
4,14:12,1,10,JAX 25,18,16,T.J. Yeldon right end for no gain (tackle by Terence Newman),0.610,0.060
4,13:37,2,10,JAX 25,18,16,Blake Bortles pass complete short middle to T.J. Yeldon for 5 yards (tackle by Terence Newman),0.060,0.040
4,12:51,3,5,JAX 30,18,16,Blake Bortles pass incomplete short middle intended for Shane Wynn,0.040,-1.370
4,12:48,4,5,JAX 30,18,16,"Brad Nortman punts 29 yards, out of bounds",-1.370,-1.660
4,12:40,1,10,MIN 41,18,16,Jerick McKinnon middle for 3 yards (tackle by Tyson Alualu),1.660,1.530
4,11:54,2,7,MIN 44,18,16,Sam Bradford left end for 15 yards,1.530,2.850
4,11:13,1,10,JAX 41,18,16,"Sam Bradford pass complete deep right to Stefon Diggs for 20 yards (tackle by Jalen Ramsey). Penalty on T.J. Clemmings: Offensive Holding, 10 yards (no play)",2.850,2.190
4,10:43,1,20,MIN 49,18,16,Sam Bradford pass complete short right to Jerick McKinnon for -1 yards (tackle by Paul Posluszny),2.190,0.820
4,9:59,2,21,MIN 48,18,16,Sam Bradford pass incomplete deep middle intended for Adam Thielen,0.820,0.170
4,9:56,3,21,MIN 48,18,16,Sam Bradford pass complete short right to Matt Asiata for 6 yards (tackle by Sen'Derrick Marks),0.170,0.200
4,9:26,4,15,JAX 46,18,16,"Jeff Locke punts 38 yards. Penalty on Alex Ellis: Roughing the Kicker, 15 yards (no play)",0.200,3.510
4,9:14,1,10,JAX 31,18,16,Jerick McKinnon left guard for 7 yards (tackle by Paul Posluszny and Sheldon Day),3.510,3.910
4,8:31,2,3,JAX 24,18,16,Matt Asiata right guard for 23 yards (tackle by Tashaun Gipson),3.910,6.970
4,7:41,1,1,JAX 1,18,16,Matt Asiata middle for no gain (tackle by Abry Jones),6.970,5.910
4,7:00,2,1,JAX 1,18,16,Sam Bradford pass complete short right to Rhett Ellison for no gain,5.910,5.170
4,6:24,3,1,JAX 1,18,16,"Matt Asiata middle for no gain (tackle by Jonathan Cyprien). Matt Asiata fumbles (forced by Jonathan Cyprien), recovered by Malik Jackson at JAX--1",5.170,-0.280
4,6:19,1,10,JAX 20,18,16,Blake Bortles pass incomplete short right intended for T.J. Yeldon,0.280,-0.270
4,6:15,2,10,JAX 20,18,16,T.J. Yeldon right end for no gain (tackle by Linval Joseph and Danielle Hunter),-0.270,-0.960
4,5:36,3,10,JAX 20,18,16,Blake Bortles pass incomplete deep left intended for Marqise Lee,-0.960,-2.030
4,5:29,4,10,JAX 20,18,16,"Brad Nortman punts 51 yards. Penalty on Arrelious Benn: Illegal Touch Kick, 5 yards (no play)",-2.030,-2.440
4,5:14,4,15,JAX 15,18,16,Brad Nortman punts 39 yards,-2.440,-1.990
4,5:04,1,10,MIN 46,18,16,Jerick McKinnon right end for 5 yards (tackle by Jonathan Cyprien),1.990,2.130
4,4:21,2,5,JAX 49,18,16,Sam Bradford pass complete short right to Charles Johnson for 6 yards (tackle by Prince Amukamara),2.130,2.720
4,3:38,1,10,JAX 43,18,16,"Jerick McKinnon middle for -1 yards (tackle by Tyson Alualu). Penalty on Tyson Alualu: Face Mask (15 Yards), 15 yards (no play)",2.720,3.710
4,3:33,1,10,JAX 28,18,16,Jerick McKinnon left end for 1 yard (tackle by Jonathan Cyprien and Dan Skuta),3.710,0.000
4,3:27,,,,18,16,Timeout #1 by Jacksonville Jaguars,0.000,-3.300
4,3:27,2,9,JAX 27,18,16,Jerick McKinnon left end for -1 yards (tackle by Dan Skuta),3.300,0.000
4,3:21,,,,18,16,Timeout #2 by Jacksonville Jaguars,0.000,-2.480
4,3:21,3,10,JAX 28,18,16,Sam Bradford pass complete short right to Cordarrelle Patterson for 11 yards (tackle by Aaron Colvin and Paul Posluszny),2.480,4.440
4,3:14,1,10,JAX 17,18,16,Matt Asiata middle for no gain (tackle by Paul Posluszny),4.440,0.000
4,3:08,,,,18,16,Timeout #3 by Jacksonville Jaguars,0.000,-3.850
4,3:08,2,10,JAX 17,18,16,Sam Bradford pass complete short right to Kyle Rudolph for 11 yards (tackle by Dan Skuta),3.850,5.830
4,3:02,1,6,JAX 6,18,16,Matt Asiata right guard for 3 yards (tackle by Paul Posluszny),5.830,5.530
4,2:17,2,3,JAX 3,24,16,"Sam Bradford pass complete short right to Kyle Rudolph for 3 yards, touchdown",5.530,7.000
4,2:13,,,JAX 15,25,16,Kai Forbath kicks extra point good,0.000,0.000
4,2:13,,,MIN 35,25,16,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
4,2:13,1,10,JAX 25,25,16,Blake Bortles pass complete short right to Neal Sterling for 6 yards (tackle by Anthony Barr),0.610,0.870
4,2:00,2,4,JAX 31,25,16,Blake Bortles pass complete short middle to Marqise Lee for 9 yards (tackle by Eric Kendricks and Anthony Barr),0.870,1.600
4,1:35,1,10,JAX 40,25,16,Blake Bortles pass complete short left to Neal Sterling for 8 yards (tackle by Xavier Rhodes),1.600,2.130
4,1:28,2,2,JAX 48,25,16,Blake Bortles pass incomplete deep left intended for Arrelious Benn,2.130,1.420
4,1:23,3,2,JAX 48,25,16,Blake Bortles pass complete short middle to Shane Wynn for 19 yards (tackle by Anthony Harris),1.420,3.380
4,1:02,1,10,MIN 33,25,16,Blake Bortles pass incomplete short middle intended for Shane Wynn,3.380,2.840
4,0:58,2,10,MIN 33,25,16,Blake Bortles sacked by Danielle Hunter for -8 yards,2.840,1.090
4,0:31,3,18,MIN 41,25,16,"Blake Bortles pass complete short middle to Bryan Walters for 8 yards (tackle by Captain Munnerlyn). Penalty on Allen Robinson: Illegal Block Above the Waist, 10 yards",1.090,0.000
4,0:22,,,,25,16,Timeout #1 by Minnesota Vikings,0.000,-0.830
4,0:21,3,20,MIN 43,25,16,"Jason Myers 61 yard field goal no good, blocked by Linval Joseph, recovered by Xavier Rhodes",0.830,-2.190
4,0:05,1,10,MIN 49,25,16,Sam Bradford kneels for -1 yards,2.190,1.510
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
