Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
2,2:09,2,10,IND 31,3,17,Andrew Luck pass incomplete short middle intended for Weslye Saunders,0.460,-0.230
2,2:04,3,10,IND 31,3,17,"Andrew Luck pass incomplete short right intended for T.Y. Hilton. Penalty on Jason McCourty: Defensive Pass Interference, 9 yards (no play)",-0.230,1.600
2,2:00,1,10,IND 40,3,17,Andrew Luck pass complete short right to Donald Brown for 14 yards (tackle by Mike Martin and Colin McCarthy),1.600,2.520
2,1:32,1,10,TEN 46,3,17,Andrew Luck pass incomplete short left intended for T.Y. Hilton,2.520,1.980
2,1:29,2,10,TEN 46,3,17,Andrew Luck pass complete short right to Darrius Heyward-Bey for 10 yards,1.980,3.180
2,1:22,1,10,TEN 36,3,17,Andrew Luck pass complete short middle to Trent Richardson for 5 yards (tackle by Bernard Pollard),3.180,3.310
2,1:01,2,5,TEN 31,3,17,Andrew Luck pass complete short middle to Coby Fleener for 17 yards (tackle by Alterraun Verner),3.310,3.310
2,0:52,2,5,TEN 31,3,17,Timeout #2 by Indianapolis Colts,3.310,4.650
2,0:52,1,10,TEN 14,3,17,Andrew Luck pass complete short right to T.Y. Hilton for 5 yards (tackle by Coty Sensabaugh),4.650,4.900
2,0:46,2,5,TEN 9,3,17,Andrew Luck pass incomplete short right intended for Darrius Heyward-Bey,4.900,4.050
2,0:40,3,5,TEN 9,3,17,Andrew Luck sacked by Derrick Morgan for -3 yards,4.050,4.050
2,0:02,3,5,TEN 9,3,17,Timeout #3 by Indianapolis Colts,4.050,2.630
2,0:02,4,8,TEN 12,6,17,Adam Vinatieri 30 yard field goal good,2.630,3.000
Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,6,17,"Rob Bironas kicks off no gain, returned by David Reed for 27 yards (tackle by Zach Diles)",0.000,0.670
3,14:52,1,10,IND 26,6,17,Andrew Luck pass complete deep right to Coby Fleener for 16 yards (tackle by Michael Griffin),0.670,1.730
3,14:17,1,10,IND 42,6,17,Trent Richardson right guard for 5 yards (tackle by Derrick Morgan),1.730,1.860
3,13:40,2,5,IND 47,6,17,Andrew Luck left guard for 13 yards (tackle by Colin McCarthy),1.860,2.920
3,13:01,1,10,TEN 40,6,17,Trent Richardson left guard for 7 yards (tackle by Michael Griffin and Ropati Pitoitua),2.920,3.320
3,12:19,2,3,TEN 33,6,17,Trent Richardson left guard for 1 yard (tackle by Ropati Pitoitua),3.320,2.740
3,11:35,3,2,TEN 32,6,17,Andrew Luck pass complete short left to T.Y. Hilton for 7 yards (tackle by Alterraun Verner),2.740,3.910
3,10:56,1,10,TEN 25,6,17,Donald Brown left tackle for no gain (tackle by Akeem Ayers),3.910,3.360
3,10:24,2,10,TEN 25,6,17,Andrew Luck pass complete short middle to Coby Fleener for 5 yards (tackle by Akeem Ayers),3.360,3.340
3,9:46,3,5,TEN 20,6,17,Andrew Luck pass complete short middle to Griff Whalen for 6 yards (tackle by Coty Sensabaugh),3.340,4.650
3,9:16,1,10,TEN 14,6,17,Andrew Luck pass complete short left to T.Y. Hilton for 8 yards (tackle by Colin McCarthy),4.650,5.470
3,8:39,2,2,TEN 6,12,17,"Donald Brown left end for 6 yards, touchdown",5.470,7.000
3,8:39,,,TEN 2,13,17,Adam Vinatieri kicks extra point good,0.000,0.000
3,8:39,,,IND 35,13,17,"Pat McAfee kicks off 63 yards, returned by Devon Wylie for 19 yards. Devon Wylie fumbles, recovered by Dan Herron at TEN-20",0.000,4.240
3,8:27,1,10,TEN 20,13,17,Andrew Luck pass complete short left to Stanley Havili for 9 yards (tackle by Colin McCarthy),4.240,5.260
3,7:42,2,1,TEN 11,19,17,"Andrew Luck right tackle for 11 yards, touchdown",5.260,7.000
3,7:42,2,1,TEN 11,19,17,"Penalty on Mike McGlynn: False Start, 5 yards (no play)",5.260,0.000
3,7:42,,,TEN 2,20,17,Adam Vinatieri kicks extra point good,0.000,0.000
3,7:42,,,IND 35,20,17,"Pat McAfee kicks off 63 yards, returned by Devon Wylie for 23 yards (tackle by Kavell Conner)",0.000,-0.610
3,7:29,1,10,TEN 25,20,17,Ryan Fitzpatrick pass complete short right to Delanie Walker for -2 yards (tackle by Aubrayo Franklin),0.610,-0.210
3,6:43,2,12,TEN 23,20,17,Ryan Fitzpatrick pass complete short middle to Delanie Walker for 6 yards (tackle by Pat Angerer),-0.210,-0.100
3,6:02,3,6,TEN 29,20,17,Ryan Fitzpatrick sacked by Erik Walden for -3 yards,-0.100,-1.630
3,5:28,4,9,TEN 26,20,17,"Brett Kern punts 48 yards, returned by T.Y. Hilton for 16 yards (tackle by George Wilson)",-1.630,-1.730
3,5:16,1,10,IND 42,20,17,Trent Richardson right guard for 2 yards (tackle by Jurrell Casey),1.730,1.460
3,4:40,2,8,IND 44,20,17,Andrew Luck pass complete short left to T.Y. Hilton for 7 yards (tackle by Jason McCourty),1.460,1.690
3,4:15,3,1,TEN 49,20,17,Andrew Luck up the middle for 1 yard (tackle by Colin McCarthy),1.690,2.390
,,,,,,,"TEN challenged the first down ruling, and the play was upheld.",,
3,3:34,1,10,TEN 48,20,17,Trent Richardson right end for 3 yards (tackle by Michael Griffin),2.390,2.250
3,2:55,2,7,TEN 45,20,17,Andrew Luck pass complete short right to Coby Fleener for 8 yards (tackle by Michael Griffin),2.250,3.120
3,2:16,1,10,TEN 37,20,17,Andrew Luck pass incomplete short left intended for Coby Fleener,3.120,2.570
3,2:10,2,10,TEN 37,20,17,Andrew Luck pass complete short left to Coby Fleener for 5 yards (tackle by Coty Sensabaugh and Akeem Ayers),2.570,2.540
3,1:38,3,5,TEN 32,20,17,Andrew Luck pass incomplete deep right intended for Griff Whalen,2.540,1.260
3,1:32,4,5,TEN 32,23,17,Adam Vinatieri 50 yard field goal good,1.260,3.000
3,1:32,,,IND 35,23,17,"Pat McAfee kicks off 49 yards, out of bounds",0.000,-1.600
3,1:27,1,10,TEN 40,23,17,Chris Johnson up the middle for 5 yards (tackle by Pat Angerer),1.600,1.730
3,0:54,2,5,TEN 45,23,17,Chris Johnson right tackle for 2 yards (tackle by Fili Moala),1.730,1.290
3,0:22,3,3,TEN 47,23,17,Ryan Fitzpatrick pass complete short left to Delanie Walker for 3 yards (tackle by LaRon Landry),1.290,2.260
Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,,23,17,Ryan Fitzpatrick pass complete short middle to Kendall Wright for 11 yards (tackle by Jerrell Freeman),2.260,2.980
4,14:29,1,10,IND 39,23,17,Chris Johnson left guard for 1 yard (tackle by Cassius Vaughn and Erik Walden),2.980,2.580
4,13:50,2,9,IND 38,23,17,Ryan Fitzpatrick pass incomplete short right intended for Craig Stevens,2.580,1.880
4,13:46,3,9,IND 38,23,17,Ryan Fitzpatrick pass complete short left to Delanie Walker for 18 yards (tackle by Vontae Davis),1.880,4.240
4,13:26,1,10,IND 20,23,17,"Shonn Greene left tackle for no gain (tackle by Jerrell Freeman). Penalty on Chris Spencer: Offensive Holding, 10 yards (no play)",4.240,3.580
4,12:57,1,20,IND 30,23,17,Ryan Fitzpatrick pass complete short left to Chris Johnson for -2 yards (tackle by Ricky Jean-Francois),3.580,2.070
4,12:15,2,22,IND 32,23,17,Ryan Fitzpatrick pass complete short left to Kendall Wright for 12 yards (tackle by Darius Butler),2.070,3.010
4,11:48,3,10,IND 20,23,17,Ryan Fitzpatrick pass incomplete short middle intended for Kendall Wright,3.010,2.120
4,11:44,4,10,IND 20,23,20,Rob Bironas 38 yard field goal good,2.120,3.000
4,11:44,,,TEN 35,23,20,"Rob Bironas kicks off 64 yards, returned by LaVon Brazill for 20 yards (tackle by Coty Sensabaugh)",0.000,-0.340
4,11:32,1,10,IND 21,23,20,Andrew Luck pass complete short left to Coby Fleener for 39 yards (tackle by Alterraun Verner),0.340,2.920
4,10:57,1,10,TEN 40,23,20,Donald Brown right tackle for 2 yards (tackle by Ropati Pitoitua),2.920,2.640
4,10:14,2,8,TEN 38,23,20,Andrew Luck pass incomplete deep left intended for T.Y. Hilton,2.640,1.950
4,10:08,3,8,TEN 38,23,20,Andrew Luck pass incomplete short right intended for T.Y. Hilton,1.950,0.720
4,10:03,4,8,TEN 38,23,20,Pat McAfee punts 29 yards,0.720,0.380
4,9:53,1,10,TEN 9,23,20,Ryan Fitzpatrick pass incomplete deep right intended for Justin Hunter (defended by Cassius Vaughn),-0.380,-0.780
4,9:40,2,10,TEN 9,23,20,Ryan Fitzpatrick pass complete short right to Nate Washington for 11 yards (tackle by Cassius Vaughn),-0.780,0.280
