Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
2,9:28,,,JAX 15,0,17,Brett Maher kicks extra point good,0.000,0.000
2,9:28,,,DAL 35,0,17,"Brett Maher kicks off 64 yards, returned by Jaydon Mickens for no gain (tackle by Jamize Olawale and Justin March-Lillard)",0.000,1.070
2,9:21,1,10,JAX 32,0,17,Blake Bortles sacked by Tyrone Crawford and Antwaun Woods for no gain,1.070,0.530
2,8:49,2,10,JAX 32,0,17,T.J. Yeldon up the middle for 6 yards (tackle by Dorance Armstrong),0.530,0.630
2,8:07,3,4,JAX 38,0,17,Blake Bortles pass incomplete short right intended for Dede Westbrook,0.630,-0.850
2,8:02,4,4,JAX 38,0,17,"Logan Cooke punts 40 yards, fair catch by Cole Beasley at DAL-22",-0.850,-0.410
2,7:55,1,10,DAL 22,0,17,Ezekiel Elliott right tackle for 4 yards (tackle by Barry Church),0.410,0.410
2,7:17,2,6,DAL 26,0,17,Dak Prescott pass complete short left to Tavon Austin for 5 yards (tackle by Tyler Patmon),0.410,0.370
2,6:36,3,1,DAL 31,0,17,Ezekiel Elliott up the middle for 4 yards (tackle by Jalen Ramsey),0.370,1.270
2,5:58,1,10,DAL 35,0,17,"Dak Prescott pass incomplete deep middle intended for Tavon Austin. Penalty on A.J. Bouye: Defensive Holding, 5 yards (no play)",1.270,1.600
2,5:50,1,10,DAL 40,0,17,Ezekiel Elliott up the middle for 5 yards (tackle by A.J. Bouye and Taven Bryan),1.600,1.730
2,5:12,2,5,DAL 45,0,17,Dak Prescott right end for 4 yards (tackle by Telvin Smith),1.730,1.550
2,4:34,3,1,DAL 49,0,17,Dak Prescott pass incomplete deep right intended for Blake Jarwin,1.550,-0.130
2,4:28,4,1,DAL 49,0,17,"Chris Jones punts 36 yards, fair catch by Jaydon Mickens at JAC-15 Penalty on JAX: Defensive Too Many Men on Field, 5 yards (no play)",-0.130,2.520
2,4:20,1,10,JAX 46,0,17,Ezekiel Elliott right guard for -2 yards (tackle by Marcell Dareus and Leon Jacobs),2.520,1.710
2,3:47,2,12,JAX 48,0,17,Dak Prescott right end for 10 yards (tackle by Tashaun Gipson),1.710,2.350
2,3:10,3,2,JAX 38,0,17,Dak Prescott right end for 1 yard (tackle by Calais Campbell and Ronnie Harrison),2.350,0.790
2,2:46,4,1,JAX 37,0,17,Ezekiel Elliott right guard for 2 yards (tackle by Leon Jacobs),0.790,3.250
2,2:07,1,10,JAX 35,0,17,Dak Prescott right guard for 2 yards (tackle by Telvin Smith),3.250,2.970
2,2:00,2,8,JAX 33,0,17,Dak Prescott right end for 3 yards (tackle by Leon Jacobs),2.970,2.680
2,1:11,3,5,JAX 30,0,17,Dak Prescott pass complete short middle to Cole Beasley for 18 yards (tackle by Tyler Patmon),2.680,4.780
2,0:59,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:59,1,10,JAX 12,0,17,Dak Prescott pass complete short right to Jamize Olawale for 3 yards (tackle by Leon Jacobs),4.780,4.640
2,0:51,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:51,2,7,JAX 9,0,17,Dak Prescott pass incomplete short middle intended for Allen Hurns,4.640,3.700
2,0:47,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:47,3,7,JAX 9,0,23,"Dak Prescott pass complete short left to Cole Beasley for 9 yards, touchdown",3.700,7.000
2,0:41,,,JAX 15,0,24,Brett Maher kicks extra point good,0.000,0.000
2,0:41,,,DAL 35,0,24,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,0:41,1,10,JAX 25,0,24,Blake Bortles pass complete short right to T.J. Yeldon for 5 yards (tackle by Leighton Vander Esch),0.610,0.740
2,0:34,2,5,JAX 30,0,24,Blake Bortles pass complete short right to T.J. Yeldon for 4 yards (tackle by Anthony Brown and Leighton Vander Esch),0.740,0.560
2,0:13,3,1,JAX 34,0,24,Blake Bortles pass complete short right to Dede Westbrook for 3 yards (tackle by Jourdan Lewis),0.560,1.400
Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,0,24,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DAL 25,0,24,Ezekiel Elliott up the middle for 1 yard (tackle by Tashaun Gipson),0.610,0.200
3,14:22,2,9,DAL 26,0,24,Dak Prescott pass incomplete short left intended for Cole Beasley,0.200,-0.490
3,14:17,3,9,DAL 26,0,24,Dak Prescott pass complete short left to Cole Beasley for 8 yards (tackle by A.J. Bouye),-0.490,-1.110
3,13:43,4,1,DAL 34,0,24,Chris Jones punts 35 yards downed by Jamize Olawale,-1.110,-1.000
3,13:34,1,10,JAX 31,0,24,T.J. Yeldon right tackle for 5 yards (tackle by Xavier Woods and Leighton Vander Esch),1.000,1.140
3,13:03,2,5,JAX 36,0,24,Blake Bortles pass incomplete short right intended for T.J. Yeldon,1.140,0.430
3,13:00,3,5,JAX 36,0,24,Blake Bortles pass incomplete short middle intended for James O'Shaughnessy (defended by Leighton Vander Esch),0.430,-0.980
3,12:55,4,5,JAX 36,0,24,"Logan Cooke punts 40 yards, returned by Cole Beasley for 6 yards (tackle by Jarrod Wilson)",-0.980,-0.940
3,12:41,1,10,DAL 30,0,24,Dak Prescott sacked by Yannick Ngakoue for -9 yards,0.940,-0.820
3,11:58,2,19,DAL 21,0,24,Ezekiel Elliott left tackle for 4 yards (tackle by Malik Jackson),-0.820,-0.960
3,11:21,3,15,DAL 25,0,24,Dak Prescott pass incomplete short right,-0.960,-1.700
3,11:12,4,15,DAL 25,0,24,"Chris Jones punts 49 yards, returned by Jaydon Mickens for no gain, lateral to Jamize Olawale for -8 yards, lateral to DJ Chark for -8 yards",-1.700,-0.040
3,10:58,1,10,JAX 18,0,24,Blake Bortles pass complete short middle to T.J. Yeldon for 20 yards (tackle by Jeff Heath and Jaylon Smith),0.040,1.470
3,10:32,1,10,JAX 38,0,24,Blake Bortles pass incomplete deep right intended for DJ Chark,1.470,0.920
3,10:25,2,10,JAX 38,0,24,Blake Bortles pass complete short left to James O'Shaughnessy for 17 yards (tackle by Byron Jones and Tyrone Crawford),0.920,2.590
3,9:51,1,10,DAL 45,0,24,"T.J. Yeldon left guard for no gain (tackle by Jeff Heath). Penalty on Josh Walker: Offensive Holding, 10 yards (no play)",2.590,1.930
3,9:29,1,20,JAX 45,0,24,T.J. Yeldon right tackle for 5 yards (tackle by Jaylon Smith),1.930,1.370
3,8:53,2,15,JAX 50,0,24,Blake Bortles pass incomplete deep right intended for Donte Moncrief,1.370,0.700
3,8:48,3,15,JAX 50,0,24,Blake Bortles pass complete short left to Keelan Cole for 15 yards (tackle by Jaylon Smith),0.700,3.250
3,8:16,1,10,DAL 35,0,24,Jamaal Charles right tackle for 1 yard (tackle by Jaylon Smith and Demarcus Lawrence),3.250,2.840
3,7:39,2,9,DAL 34,6,24,"Blake Bortles pass complete deep right to Dede Westbrook for 34 yards, touchdown",2.840,7.000
3,7:31,,,DAL 15,7,24,Josh Lambo kicks extra point good,0.000,0.000
3,7:31,,,JAX 35,7,24,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
3,7:31,1,10,DAL 25,7,24,Ezekiel Elliott right tackle for 2 yards (tackle by Myles Jack),0.610,0.330
3,6:56,2,8,DAL 27,7,24,Dak Prescott left end for 28 yards (tackle by A.J. Bouye),0.330,2.590
3,6:19,1,10,JAX 45,7,24,"Tavon Austin left end for 11 yards (tackle by Barry Church). Penalty on La'el Collins: Illegal Block Above the Waist, 10 yards",2.590,2.730
3,5:51,1,9,JAX 44,7,24,Ezekiel Elliott up the middle for 3 yards (tackle by Tashaun Gipson),2.730,2.580
3,5:12,2,6,JAX 41,7,24,Dak Prescott pass complete short left to Geoff Swaim for 10 yards (tackle by Tashaun Gipson),2.580,3.510
3,4:36,1,10,JAX 31,7,24,Ezekiel Elliott left guard for 4 yards (tackle by Telvin Smith and Marcell Dareus),3.510,3.510
3,3:59,2,6,JAX 27,7,24,Dak Prescott pass incomplete deep right intended for Allen Hurns (defended by Jalen Ramsey),3.510,2.810
3,3:49,3,6,JAX 27,7,24,Dak Prescott sacked by Yannick Ngakoue for -1 yards,2.810,1.590
3,3:09,4,7,JAX 28,7,27,Brett Maher 46 yard field goal good,1.590,3.000
3,3:06,,,DAL 35,7,27,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,3:06,1,10,JAX 25,7,27,Blake Bortles pass deep left (defended by Byron Jones) intended for Dede Westbrook is intercepted by Jeff Heath at DAL-43 and returned for 49 yards,0.610,-5.370
3,2:48,1,8,JAX 8,7,27,Ezekiel Elliott left tackle for -4 yards (tackle by Yannick Ngakoue),5.370,3.860
3,2:06,2,12,JAX 12,7,27,Dak Prescott pass incomplete short right intended for Allen Hurns,3.860,3.100
3,2:01,3,12,JAX 12,7,27,Dak Prescott pass complete short left to Cole Beasley for 8 yards (tackle by A.J. Bouye),3.100,3.030
3,1:25,4,4,JAX 4,7,27,"Brett Maher yard field goal good. Penalty on Geoff Swaim: Offensive Holding, 10 yards (no play)",3.030,2.510
3,1:22,4,14,JAX 14,7,30,Brett Maher 32 yard field goal good,2.510,3.000
3,1:17,,,DAL 35,7,30,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,1:17,1,10,JAX 25,7,30,"Blake Bortles pass complete short left to Keelan Cole for 4 yards (tackle by Jaylon Smith). Keelan Cole fumbles (forced by Jaylon Smith), recovered by Jourdan Lewis at JAC-31",0.610,-3.510
3,1:10,1,10,JAX 31,7,30,Ezekiel Elliott up the middle for 21 yards (tackle by Tashaun Gipson and Telvin Smith),3.510,4.910
3,0:21,1,10,JAX 10,7,30,"Penalty on DAL: Delay of Game, 5 yards (no play)",4.910,4.370
Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,15,JAX 15,7,36,"Ezekiel Elliott left tackle for 15 yards, touchdown",4.370,7.000
4,14:54,,,JAX 15,7,37,Brett Maher kicks extra point good,0.000,0.000
4,14:54,,,DAL 35,7,37,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,14:54,1,10,JAX 25,7,37,Blake Bortles pass complete short middle to James O'Shaughnessy for 6 yards (tackle by Antwaun Woods and Jaylon Smith),0.610,0.870
4,14:27,2,4,JAX 31,7,37,Blake Bortles pass complete short right to Keelan Cole for 5 yards,0.870,1.330
4,14:08,1,10,JAX 36,7,37,T.J. Yeldon right tackle for 9 yards (tackle by Randy Gregory),1.330,2.010
4,13:40,2,1,JAX 45,7,37,Blake Bortles right end for 1 yard (tackle by Leighton Vander Esch),2.010,1.990
4,13:03,1,10,JAX 46,7,37,Blake Bortles pass complete short middle to David Grinnage for 7 yards (tackle by Jaylon Smith),1.990,2.400
4,12:34,2,3,DAL 47,7,37,Jamaal Charles left tackle for -1 yards (tackle by David Irving),2.400,1.550
4,12:00,3,4,DAL 48,7,37,Blake Bortles pass incomplete deep left intended for Donte Moncrief (defended by Byron Jones),1.550,0.070
4,11:52,4,4,DAL 48,7,37,Blake Bortles pass incomplete short middle intended for Donte Moncrief (defended by Byron Jones),0.070,-2.130
4,11:46,1,10,DAL 48,7,37,Ezekiel Elliott up the middle for 2 yards (tackle by Calais Campbell),2.130,1.850
4,11:09,2,8,DAL 50,7,37,Dak Prescott up the middle for 1 yard (tackle by Yannick Ngakoue),1.850,1.290
4,10:22,,,,,,Timeout #1 by Dallas Cowboys,,
4,10:22,3,7,JAX 49,7,37,Dak Prescott pass complete short right to Cole Beasley for 6 yards (tackle by Telvin Smith and Jalen Ramsey),1.290,0.400
4,9:24,4,1,JAX 43,7,37,Ezekiel Elliott right guard for 2 yards (tackle by Marcell Dareus),0.400,2.850
4,8:39,1,10,JAX 41,7,37,Ezekiel Elliott up the middle for 3 yards (tackle by Calais Campbell),2.850,2.710
4,7:49,2,7,JAX 38,7,37,Ezekiel Elliott up the middle for 1 yard (tackle by Dante Fowler),2.710,2.150
4,7:16,3,6,JAX 37,7,37,Dak Prescott pass incomplete short middle intended for Cole Beasley (defended by A.J. Bouye),2.150,0.790
4,7:12,4,6,JAX 37,7,40,Brett Maher 55 yard field goal good,0.790,3.000
4,7:07,,,DAL 35,7,40,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
4,7:07,1,10,JAX 25,7,40,Blake Bortles pass incomplete short middle intended for Jamaal Charles,0.610,0.060
4,7:03,2,10,JAX 25,7,40,Blake Bortles pass complete short middle to James O'Shaughnessy for 6 yards (tackle by Leighton Vander Esch),0.060,0.170
4,6:29,3,4,JAX 31,7,40,Blake Bortles up the middle for 5 yards (tackle by David Irving),0.170,1.330
4,5:59,1,10,JAX 36,7,40,Blake Bortles sacked by Randy Gregory for -2 yards,1.330,0.520
4,5:24,2,12,JAX 34,7,40,Jamaal Charles left end for 5 yards (tackle by Leighton Vander Esch),0.520,0.500
4,4:42,3,7,JAX 39,7,40,Blake Bortles pass incomplete deep left intended for Keelan Cole,0.500,-0.780
4,4:36,4,7,JAX 39,7,40,"Logan Cooke punts 61 yards, touchback.",-0.780,-0.280
4,4:26,1,10,DAL 20,7,40,Ezekiel Elliott right tackle for 7 yards (tackle by Tashaun Gipson),0.280,0.680
4,3:43,2,3,DAL 27,7,40,Rod Smith up the middle for -1 yards (tackle by Ronnie Harrison),0.680,-0.160
4,3:01,3,4,DAL 26,7,40,Rod Smith up the middle for 5 yards (tackle by Ronnie Harrison and Barry Church),-0.160,1.000
4,2:18,1,10,DAL 31,7,40,Rod Smith left tackle for 2 yards (tackle by Telvin Smith),1.000,0.730
4,2:00,2,8,DAL 33,7,40,Rod Smith right end for -4 yards (tackle by Telvin Smith),0.730,-0.490
4,1:16,3,12,DAL 29,7,40,Rod Smith right tackle for 2 yards (tackle by Calais Campbell and Myles Jack),-0.490,-1.310
4,0:35,4,10,DAL 31,7,40,"Chris Jones punts 39 yards, returned by Dede Westbrook for 6 yards (tackle by Kavon Frazier and Leighton Vander Esch)",-1.310,-1.330
4,0:24,1,10,JAX 36,7,40,Jamaal Charles left end for -2 yards (tackle by Randy Gregory),1.330,0.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
