Quarter,Time,Down,ToGo,Location,PHI,GNB,Detail,EPB,EPA
2,2:45,1,15,GNB 20,14,13,Aaron Rodgers pass complete short middle to Marcedes Lewis for 9 yards (tackle by Nigel Bradham and Zach Brown),0.280,0.600
2,2:00,2,6,GNB 29,14,13,"Aaron Rodgers sacked by Derek Barnett for -8 yards. Aaron Rodgers fumbles (forced by Derek Barnett), recovered by Brandon Graham at GB-21 and returned for 4 yards (tackle by Marcedes Lewis)",0.600,-4.440
2,1:53,1,10,GNB 17,14,13,Jordan Howard right tackle for 3 yards (tackle by Dean Lowry and Kenny Clark),4.440,4.320
2,1:19,2,7,GNB 14,14,13,Jordan Howard left tackle for 10 yards (tackle by Tramon Williams and Will Redmond),4.320,6.280
2,1:09,,,,,,Timeout #2 by Green Bay Packers,,
2,1:09,1,4,GNB 4,14,13,Jordan Howard left guard for 3 yards (tackle by Dean Lowry),6.280,5.910
2,1:02,,,,,,Timeout #3 by Green Bay Packers,,
2,1:02,2,1,GNB 1,20,13,"Jordan Howard left guard for 1 yard, touchdown",5.910,7.000
2,0:59,,,GNB 15,21,13,Jake Elliott kicks extra point good,0.000,0.000
2,0:59,,,PHI 35,21,13,"Jake Elliott kicks off 65 yards, touchback.. Penalty on Josh Sweat: Illegal Formation, 5 yards",0.000,0.940
2,0:59,1,10,GNB 30,21,13,Aaron Rodgers pass complete short right to Davante Adams for 11 yards (tackle by Avonte Maddox),0.940,1.660
2,0:55,1,10,GNB 41,21,13,Aaron Rodgers pass incomplete short right intended for Jimmy Graham,1.660,1.120
2,0:49,2,10,GNB 41,21,13,"Aaron Rodgers pass complete short right to Aaron Jones for 2 yards (tackle by Avonte Maddox). Penalty on Derek Barnett: Illegal Use of Hands, 5 yards (no play)",1.120,1.990
2,0:44,1,10,GNB 46,21,13,Aaron Rodgers left end for 4 yards (tackle by Derek Barnett),1.990,1.990
2,0:36,2,6,GNB 50,21,13,Aaron Rodgers pass incomplete short left intended for Aaron Jones,1.990,1.290
2,0:31,3,6,GNB 50,21,13,Aaron Rodgers pass complete deep middle to Geronimo Allison for 31 yards (tackle by Johnathan Cyprien),1.290,4.310
2,0:12,1,10,PHI 19,21,13,Aaron Rodgers spiked the ball,4.310,3.750
2,0:14,2,10,PHI 19,21,19,"Aaron Rodgers pass complete deep middle to Geronimo Allison for 19 yards, touchdown",3.750,7.000
2,0:09,,,PHI 15,21,20,Mason Crosby kicks extra point good,0.000,0.000
2,0:09,,,GNB 35,21,20,"Mason Crosby kicks off 50 yards, returned by Miles Sanders for 10 yards (tackle by B.J. Goodson and Geronimo Allison)",0.000,0.610
2,0:04,1,10,PHI 25,21,20,Carson Wentz kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,PHI,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,21,20,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,21,20,Aaron Jones left end for 4 yards (tackle by Zach Brown),0.610,0.600
3,14:17,2,6,GNB 29,21,20,"Aaron Rodgers pass incomplete deep left intended for Davante Adams. Penalty on Rasul Douglas: Defensive Pass Interference, 13 yards (no play)",0.600,1.730
3,14:13,1,10,GNB 42,21,20,Aaron Jones up the middle for 3 yards (tackle by Zach Brown),1.730,1.590
3,13:51,2,7,GNB 45,21,20,Aaron Jones right end for no gain (tackle by Brandon Graham and Fletcher Cox),1.590,0.890
3,13:08,3,7,GNB 45,21,20,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Avonte Maddox),0.890,-0.390
3,13:03,4,7,GNB 45,21,20,JK Scott punts 31 yards out of bounds,-0.390,-0.540
3,12:55,1,10,PHI 24,21,20,Carson Wentz pass complete short middle to Zach Ertz for 9 yards (tackle by Kevin King),0.540,1.210
3,12:16,2,1,PHI 33,21,20,Miles Sanders right end for 6 yards (tackle by Blake Martinez and Tramon Williams),1.210,1.530
3,11:36,1,10,PHI 39,21,20,Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Kevin King),1.530,0.990
3,11:32,2,10,PHI 39,21,20,Carson Wentz pass complete short middle to Mack Hollins for 13 yards (tackle by Jaire Alexander),0.990,2.390
3,11:12,1,10,GNB 48,21,20,Darren Sproles up the middle for 4 yards (tackle by Darnell Savage and Will Redmond),2.390,2.390
3,10:32,2,6,GNB 44,21,20,Carson Wentz pass complete short middle to Alshon Jeffery for 16 yards (tackle by Will Redmond and Blake Martinez),2.390,3.710
3,9:49,1,10,GNB 28,21,20,Carson Wentz pass complete short left to Jordan Howard for 8 yards (tackle by Blake Martinez),3.710,4.250
3,9:18,2,2,GNB 20,27,20,"Carson Wentz pass complete short left to Jordan Howard for 20 yards, touchdown",4.250,7.000
3,9:12,,,GNB 2,27,20,"Two Point Attempt: Carson Wentz pass incomplete intended for Alshon Jeffery, conversion fails",1.000,-1.000
3,9:12,,,PHI 35,27,20,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,9:12,1,10,GNB 25,27,20,Aaron Jones left tackle for -2 yards (tackle by Josh Sweat),0.610,-0.210
3,8:34,2,12,GNB 23,27,20,Aaron Rodgers pass complete short right to Davante Adams for 9 yards (tackle by Andrew Sendejo),-0.210,0.300
3,8:01,3,3,GNB 32,27,20,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Nigel Bradham),0.300,-1.240
3,7:58,4,3,GNB 32,27,20,"JK Scott punts 52 yards, fair catch by Darren Sproles at PHI-16",-1.240,0.140
3,7:50,1,10,PHI 16,27,20,Carson Wentz pass incomplete short middle intended for Dallas Goedert,-0.140,-0.660
3,7:46,2,10,PHI 16,27,20,Miles Sanders right end for 5 yards (tackle by Blake Martinez),-0.660,-0.700
3,7:01,,,,,,Timeout #1 by Philadelphia Eagles,,
3,7:01,3,5,PHI 21,27,20,Carson Wentz pass incomplete short right intended for Alshon Jeffery,-0.700,-1.960
3,6:56,4,5,PHI 21,27,20,"Cameron Johnston punts 51 yards, fair catch by Darrius Shepherd at GB-28",-1.960,-0.810
3,6:50,1,10,GNB 28,27,20,Aaron Rodgers pass incomplete short right,0.810,0.260
3,6:44,2,10,GNB 28,27,20,Aaron Rodgers up the middle for 14 yards (tackle by Malcolm Jenkins),0.260,1.730
3,6:04,1,10,GNB 42,27,20,Aaron Jones right end for -4 yards (tackle by Brandon Graham),1.730,0.650
3,5:23,2,14,GNB 38,27,20,Aaron Rodgers pass complete short right to Danny Vitale for 7 yards (tackle by Avonte Maddox),0.650,0.890
3,4:40,3,7,GNB 45,27,20,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 26 yards (tackle by Rodney McLeod),0.890,3.640
3,4:06,1,10,PHI 29,27,20,Aaron Rodgers pass complete short right to Jimmy Graham for 15 yards (tackle by Andrew Sendejo and Avonte Maddox),3.640,4.650
3,3:25,1,10,PHI 14,27,20,Aaron Rodgers pass incomplete short right intended for Davante Adams,4.650,4.000
3,3:21,2,10,PHI 14,27,26,"Aaron Rodgers pass complete short right to Jimmy Graham for 14 yards, touchdown",4.000,7.000
3,3:16,,,PHI 15,27,27,Mason Crosby kicks extra point good,0.000,0.000
3,3:16,,,GNB 35,27,27,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,3:16,1,10,PHI 25,27,27,Miles Sanders left end for 30 yards (tackle by Darnell Savage),0.610,2.590
3,2:34,1,10,GNB 45,27,27,Miles Sanders left tackle for 5 yards (tackle by Blake Martinez),2.590,2.720
3,1:54,2,5,GNB 40,27,27,Carson Wentz pass complete short left to Zach Ertz for 6 yards (tackle by Preston Smith),2.720,3.310
3,1:20,1,10,GNB 34,27,27,Jordan Howard right guard for no gain (tackle by Kenny Clark),3.310,2.770
3,0:38,2,10,GNB 34,27,27,Carson Wentz pass incomplete deep left intended for Alshon Jeffery (defended by Kevin King),2.770,2.080
3,0:32,3,10,GNB 34,27,27,Carson Wentz pass complete short left to Alshon Jeffery for 16 yards (tackle by Kevin King),2.080,4.370
Quarter,Time,Down,ToGo,Location,PHI,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 18,27,27,Jordan Howard up the middle for 16 yards (tackle by Darnell Savage),4.370,6.740
4,14:17,1,2,GNB 2,33,27,"Jordan Howard up the middle for 2 yards, touchdown",6.740,7.000
4,14:13,,,GNB 15,34,27,Jake Elliott kicks extra point good,0.000,0.000
4,14:13,,,PHI 35,34,27,"Jake Elliott kicks off 64 yards, returned by Tremon Smith for 20 yards (tackle by L.J. Fort)",0.000,0.340
4,14:08,1,10,GNB 21,34,27,Aaron Rodgers pass complete short middle to Jimmy Graham for 9 yards (tackle by Nigel Bradham),0.340,1.020
4,13:31,2,1,GNB 30,34,27,Aaron Rodgers right end for 14 yards (tackle by Avonte Maddox),1.020,1.860
4,12:48,1,10,GNB 44,34,27,Aaron Rodgers pass complete short right to Aaron Jones for 14 yards (tackle by Josh Sweat),1.860,2.790
4,12:05,1,10,PHI 42,34,27,"Aaron Rodgers pass complete short right to Aaron Jones for 2 yards (tackle by Zach Brown). Penalty on Zach Brown: Unnecessary Roughness, 15 yards",2.790,3.910
4,11:38,1,10,PHI 25,34,27,Aaron Rodgers pass complete short middle to Aaron Jones for 4 yards (tackle by Rodney McLeod),3.910,3.900
4,10:55,2,6,PHI 21,34,27,Aaron Rodgers pass incomplete deep right intended for Davante Adams (defended by Avonte Maddox),3.900,3.200
4,10:52,3,6,PHI 21,34,27,Aaron Rodgers pass complete short right to Davante Adams for 13 yards (tackle by Andrew Sendejo),3.200,5.370
4,10:05,1,8,PHI 8,34,27,Aaron Rodgers pass complete short right to Jimmy Graham for 3 yards (tackle by Andrew Sendejo),5.370,5.150
4,9:22,2,5,PHI 5,34,27,"Aaron Rodgers pass incomplete short middle intended for Allen Lazard. Penalty on Avonte Maddox: Defensive Pass Interference, 4 yards (no play)",5.150,6.970
4,9:19,1,1,PHI 1,34,27,Aaron Rodgers pass incomplete short right intended for Jimmy Graham (defended by Rodney McLeod),6.970,5.910
4,9:15,2,1,PHI 1,34,27,Aaron Rodgers pass incomplete short middle intended for Danny Vitale,5.910,5.170
4,9:12,3,1,PHI 1,34,27,Aaron Rodgers pass incomplete short left,5.170,3.550
4,9:08,4,1,PHI 1,34,27,Aaron Rodgers pass incomplete short right intended for Jimmy Graham,3.550,0.380
4,9:00,1,10,PHI 1,34,27,Jordan Howard up the middle for 7 yards (tackle by Blake Martinez),-0.380,-0.270
4,8:22,2,3,PHI 8,34,27,Jordan Howard right guard for 10 yards (tackle by Blake Martinez),-0.270,0.040
4,7:39,1,10,PHI 18,34,27,Jordan Howard up the middle for 4 yards (tackle by Kenny Clark and Blake Martinez),0.040,0.140
4,6:57,2,6,PHI 22,34,27,Carson Wentz pass complete short left to Zach Ertz for 9 yards (tackle by Tramon Williams),0.140,1.000
4,6:25,1,10,PHI 31,34,27,"Miles Sanders right tackle for 1 yard (tackle by B.J. Goodson). Penalty on Dean Lowry: Face Mask (15 Yards), 15 yards",1.000,2.060
4,5:59,1,10,PHI 47,34,27,Jordan Howard up the middle for 4 yards (tackle by B.J. Goodson),2.060,2.060
4,5:17,2,6,GNB 49,34,27,Carson Wentz pass incomplete short left intended for Jordan Howard,2.060,1.360
4,5:13,3,6,GNB 49,34,27,Carson Wentz pass incomplete short right intended for Alshon Jeffery,1.360,0.000
4,5:08,4,6,GNB 49,34,27,"Cameron Johnston punts 38 yards, fair catch by Darrius Shepherd at GB-11",0.000,0.370
4,5:02,1,10,GNB 11,34,27,Aaron Rodgers pass complete short middle to Jimmy Graham for 12 yards (tackle by Nigel Bradham),-0.370,0.480
4,4:38,1,10,GNB 23,34,27,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling,0.480,-0.070
4,4:34,2,10,GNB 23,34,27,Aaron Rodgers pass complete short left to Aaron Jones for 2 yards (tackle by Rasul Douglas),-0.070,-0.490
4,4:26,3,8,GNB 25,34,27,Aaron Rodgers up the middle for 11 yards (tackle by Nigel Bradham),-0.490,1.330
4,3:40,1,10,GNB 36,34,27,Aaron Rodgers pass complete short left to Danny Vitale for 8 yards (tackle by Zach Brown),1.330,1.870
4,3:09,2,2,GNB 44,34,27,Aaron Rodgers pass complete short left to Aaron Jones for 13 yards (tackle by Andrew Sendejo and Rodney McLeod),1.870,2.720
4,2:39,1,10,PHI 43,34,27,Aaron Rodgers pass complete short left to Aaron Jones for 2 yards (tackle by Rodney McLeod),2.720,2.450
4,2:05,2,8,PHI 41,34,27,Aaron Rodgers pass incomplete short right,2.450,1.750
4,1:59,3,8,PHI 41,34,27,"Aaron Rodgers pass incomplete short middle intended for Jimmy Graham. Penalty on Johnathan Cyprien: Defensive Pass Interference, 6 yards (no play)",1.750,3.250
4,1:54,1,10,PHI 35,34,27,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 17 yards (tackle by Rodney McLeod and Avonte Maddox),3.250,4.370
4,1:19,1,10,PHI 18,34,27,Aaron Rodgers pass incomplete deep right intended for Geronimo Allison,4.370,3.800
4,1:15,2,10,PHI 18,34,27,Aaron Rodgers pass complete short middle to Robert Tonyan for 11 yards (tackle by Andrew Sendejo),3.800,5.600
4,1:06,1,7,PHI 7,34,27,Aaron Jones up the middle for 4 yards (tackle by Fletcher Cox and Rodney McLeod),5.600,5.530
4,0:28,2,3,PHI 3,34,27,Aaron Rodgers pass short middle (defended by Craig James) intended for Marquez Valdes-Scantling is intercepted by Nigel Bradham at PHI-0 and returned for 22 yards,5.530,-0.340
4,0:20,1,10,PHI 21,34,27,Carson Wentz kneels for -1 yards,0.340,-0.340
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
