Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
2,9:44,2,12,DAL 44,3,10,Dak Prescott pass complete short right to Jason Witten for 6 yards (tackle by Keith Tandy and William Gholston),1.180,1.290
2,9:03,3,6,,3,10,Dak Prescott for 15 yards,1.290,3.250
2,8:23,1,10,TAM 35,3,10,Dak Prescott pass incomplete short left intended for Terrance Williams (defended by Brent Grimes),3.250,2.700
2,8:15,2,10,TAM 35,3,10,Dak Prescott pass complete short middle to Jason Witten for 5 yards (tackle by Keith Tandy),2.700,2.680
2,7:38,3,5,TAM 30,3,10,Dak Prescott pass complete short right to Jason Witten for 7 yards (tackle by Lavonte David),2.680,4.040
2,6:56,1,10,TAM 23,3,10,Dak Prescott pass complete deep right to Brice Butler for 21 yards (tackle by Brent Grimes),4.040,6.740
2,6:27,1,2,TAM 2,3,16,"Dak Prescott middle for 2 yards, touchdown",6.740,7.000
2,6:24,,,TAM 15,3,17,Dan Bailey kicks extra point good,0.000,0.000
2,6:24,,,DAL 35,3,17,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
2,6:24,1,10,TAM 25,3,17,Doug Martin left end for -1 yards (tackle by Sean Lee),0.610,-0.070
2,5:52,2,11,TAM 24,3,17,Jameis Winston pass complete deep middle to Mike Evans for 18 yards (tackle by Orlando Scandrick),-0.070,1.730
2,5:31,1,10,TAM 42,3,17,Doug Martin right end for 2 yards (tackle by Sean Lee),1.730,1.460
2,4:53,2,8,TAM 44,3,17,Jameis Winston pass complete short middle to Mike Evans for 11 yards (tackle by Barry Church),1.460,2.590
2,4:27,1,10,DAL 45,3,17,Doug Martin middle for 6 yards (tackle by Anthony Hitchens and Ryan Davis),2.590,2.850
2,4:05,2,4,DAL 39,3,17,Jameis Winston for 6 yards (tackle by Barry Church),2.850,3.380
2,3:40,1,10,DAL 33,3,17,Jameis Winston pass complete deep right to Freddie Martino for 25 yards,3.380,5.370
2,3:02,1,8,DAL 8,3,17,"Doug Martin middle for -5 yards (tackle by Benson Mayowa and Justin Durant). Penalty on Jameis Winston: Unnecessary Roughness, 15 yards",5.370,1.920
2,2:31,2,28,DAL 28,3,17,"Penalty on Benson Mayowa: Neutral Zone Infraction, 5 yards (no play)",1.920,2.600
2,2:23,2,23,DAL 23,3,17,Jameis Winston pass complete short left to Charles Sims for 7 yards (tackle by Justin Durant),2.600,2.850
2,2:00,3,16,DAL 16,3,17,Jameis Winston pass incomplete deep middle intended for Adam Humphries (defended by Orlando Scandrick),2.850,2.380
2,1:55,4,16,DAL 16,6,17,Roberto Aguayo 34 yard field goal good,2.380,3.000
2,1:52,,,TAM 35,6,17,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
2,1:52,1,10,DAL 25,6,17,Dak Prescott pass complete short left to Dez Bryant for 5 yards (tackle by Vernon Hargreaves),0.610,0.740
2,1:31,2,5,DAL 30,6,17,Dak Prescott pass complete short middle to Dez Bryant for 14 yards (tackle by Vernon Hargreaves),0.740,1.860
2,1:09,1,10,DAL 44,6,17,Dak Prescott pass complete short middle to Jason Witten for 5 yards (tackle by Kwon Alexander),1.860,1.990
2,0:47,2,5,DAL 49,6,17,Dak Prescott pass complete short right to Jason Witten for 8 yards (tackle by Bradley McDougald and Kwon Alexander),1.990,0.000
2,0:41,,,,6,17,Timeout #1 by Dallas Cowboys,0.000,-2.720
2,0:41,1,10,TAM 43,6,17,"Dak Prescott pass complete short left to Dez Bryant for 10 yards (tackle by Vernon Hargreaves). Penalty on Ronald Leary: Offensive Holding, 10 yards (no play)",2.720,2.060
2,0:34,1,20,DAL 47,6,17,Dak Prescott pass complete deep middle to Dez Bryant for 23 yards (tackle by Kwon Alexander),2.060,0.000
2,0:28,,,,6,17,Timeout #2 by Dallas Cowboys,0.000,-3.580
2,0:28,1,10,TAM 30,6,17,Dak Prescott sacked by Lavonte David for -6 yards,3.580,0.000
2,0:23,,,,6,17,Timeout #3 by Dallas Cowboys,0.000,-2.220
2,0:23,2,16,TAM 36,6,17,Dak Prescott pass incomplete deep right intended for Dez Bryant,2.220,1.550
2,0:17,3,16,TAM 36,6,17,Dak Prescott pass complete short left to Jason Witten for 2 yards,1.550,1.060
2,0:13,4,14,TAM 34,6,17,Dan Bailey 52 yard field goal no good,1.060,-1.800
2,0:08,1,10,TAM 43,6,17,Jameis Winston pass complete short middle to Cameron Brate for 13 yards (tackle by Sean Lee),1.800,0.000
2,0:03,,,,6,17,Timeout #3 by Tampa Bay Buccaneers,0.000,-2.650
2,0:03,1,10,DAL 44,6,17,Jameis Winston pass incomplete deep left intended for Mike Evans is intercepted by Byron Jones at DAL--1 and returned for 7 yards,2.650,0.000
Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,6,17,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,TAM 25,6,17,Doug Martin left tackle for 5 yards (tackle by Damien Wilson and Anthony Brown),0.610,0.740
3,14:25,2,5,TAM 30,6,17,Doug Martin right tackle for 6 yards (tackle by Tyrone Crawford and Byron Jones),0.740,1.330
3,13:48,1,10,TAM 36,6,17,Jameis Winston pass incomplete deep middle intended for Josh Huff,1.330,0.790
3,13:42,2,10,TAM 36,6,17,Jameis Winston pass incomplete,0.790,0.100
3,13:36,3,10,TAM 36,6,17,Jameis Winston pass complete short right to Mike Evans for 13 yards (tackle by Brandon Carr),0.100,2.190
3,13:03,1,10,TAM 49,6,17,Doug Martin left guard for 2 yards (tackle by Barry Church),2.190,1.920
3,12:31,2,8,DAL 49,6,17,Jameis Winston pass complete short right to Alan Cross for 7 yards (tackle by Anthony Brown),1.920,2.150
3,11:52,3,1,DAL 42,12,17,"Jameis Winston pass complete deep middle to Adam Humphries for 42 yards, touchdown",2.150,7.000
3,11:44,,,DAL 15,13,17,Roberto Aguayo kicks extra point good,0.000,0.000
3,11:44,,,TAM 35,13,17,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
3,11:44,1,10,DAL 25,13,17,Dak Prescott pass complete short right to Terrance Williams for 13 yards (tackle by Kwon Alexander),0.610,1.470
3,11:09,1,10,DAL 38,13,17,Ezekiel Elliott left guard for 3 yards (tackle by Kwon Alexander and Bradley McDougald),1.470,1.330
3,10:31,2,7,DAL 41,13,17,Dak Prescott pass complete short right to Lance Dunbar for 5 yards (tackle by Daryl Smith),1.330,1.290
3,9:49,3,2,DAL 46,13,17,"Ezekiel Elliott for no gain. Ezekiel Elliott fumbles, recovered by Ronald Leary at DAL-39",1.290,-0.780
3,9:49,4,9,DAL 39,13,17,"Chris Jones punts 42 yards, fair catch by Adam Humphries",-0.780,-0.150
3,9:01,1,10,TAM 19,13,17,Doug Martin right tackle for 2 yards (tackle by Sean Lee and Anthony Hitchens),0.150,-0.060
3,8:30,2,8,TAM 21,13,17,"Jameis Winston pass complete deep middle to Russell Shepard for 21 yards (tackle by Byron Jones). Penalty on Ali Marpet: Offensive Holding, 10 yards (no play)",-0.060,-1.360
3,8:00,2,18,TAM 11,13,17,Jameis Winston pass complete deep left to Russell Shepard for 19 yards (tackle by Byron Jones and Anthony Hitchens),-1.360,0.940
3,7:34,1,10,TAM 30,13,17,Jameis Winston pass complete short middle to Cameron Brate for 17 yards (tackle by Sean Lee),0.940,2.060
3,7:06,1,10,TAM 47,13,17,Jameis Winston pass incomplete short left intended for Adam Humphries (defended by Orlando Scandrick),2.060,1.520
3,7:01,2,10,TAM 47,13,17,Charles Sims middle for 8 yards (tackle by Byron Jones and Terrell McClain),1.520,1.880
3,6:43,3,2,DAL 45,13,17,Jameis Winston pass complete short right to Cameron Brate for 22 yards (tackle by Byron Jones),1.880,4.040
3,6:13,1,10,DAL 23,13,17,Charles Sims left tackle for -4 yards (tackle by Benson Mayowa),4.040,2.960
3,5:30,2,14,DAL 27,13,17,Jameis Winston pass complete short left to Mike Evans for 17 yards (tackle by Jeff Heath),2.960,4.910
3,4:57,1,10,DAL 10,13,17,Charles Sims right tackle for no gain (tackle by Anthony Brown and Tyrone Crawford),4.910,4.190
3,4:18,2,10,DAL 10,19,17,"Jameis Winston pass complete short middle to Cameron Brate for 10 yards, touchdown",4.190,7.000
3,4:12,,,DAL 15,20,17,Roberto Aguayo kicks extra point good,0.000,0.000
3,4:12,,,TAM 35,20,17,"Roberto Aguayo kicks off 70 yards, returned by Lucky Whitehead for 25 yards (tackle by Chris Conte)",0.000,-0.280
3,4:08,1,10,DAL 20,20,17,Ezekiel Elliott left guard for 6 yards (tackle by Kwon Alexander),0.280,0.540
3,3:28,2,4,DAL 26,20,17,Ezekiel Elliott left end for 20 yards (tackle by Keith Tandy),0.540,1.990
3,2:56,1,10,DAL 46,20,17,Dak Prescott pass complete short right to Terrance Williams for 9 yards (tackle by Brent Grimes),1.990,2.670
3,2:21,2,1,TAM 45,20,17,Dak Prescott pass complete short left to Dez Bryant for 3 yards (tackle by Brent Grimes),2.670,2.790
3,1:44,1,10,TAM 42,20,17,Ezekiel Elliott middle for 4 yards (tackle by Keith Tandy),2.790,2.780
3,1:07,2,6,TAM 38,20,17,Dak Prescott pass complete short left to Cole Beasley for 17 yards,2.780,4.170
3,0:32,1,10,TAM 21,20,17,Lucky Whitehead left end for -7 yards (tackle by Robert Ayers),4.170,2.680
Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,17,TAM 28,20,17,Dak Prescott for 5 yards (tackle by Robert Ayers),2.680,2.680
4,14:18,3,12,TAM 23,20,17,Dak Prescott pass complete short left to Jason Witten for 1 yard (tackle by Kwon Alexander),2.680,1.990
4,13:37,4,11,TAM 22,20,20,Dan Bailey 40 yard field goal good,1.990,3.000
4,13:31,,,DAL 35,20,20,"Dan Bailey kicks off 66 yards, returned by Josh Huff for 26 yards (tackle by Lance Dunbar)",0.000,-0.610
4,13:26,1,10,TAM 25,20,20,Jameis Winston sacked by David Irving for -6 yards,0.610,-0.810
4,12:42,2,16,TAM 19,20,20,Jameis Winston pass complete short right to Charles Sims for 2 yards (tackle by Justin Durant),-0.810,-1.150
4,11:59,3,14,TAM 21,20,20,Jameis Winston pass incomplete deep left intended for Adam Humphries is intercepted by Jeff Heath at TAM-41 and returned for 19 yards,-1.150,-4.110
4,11:49,1,10,TAM 22,20,20,Ezekiel Elliott right tackle for 2 yards (tackle by William Gholston),4.110,3.830
4,11:08,2,8,TAM 20,20,20,"Dak Prescott pass complete short middle to Lance Dunbar for 20 yards. Penalty on Tyron Smith: Offensive Holding, 10 yards (no play)",3.830,2.480
4,11:01,2,18,TAM 30,20,20,Dak Prescott pass complete short middle to Dez Bryant for 4 yards (tackle by Kwon Alexander and Keith Tandy),2.480,2.350
4,10:21,3,14,TAM 26,20,20,Dak Prescott pass complete short middle to Ezekiel Elliott for 6 yards (tackle by Lavonte David and Kwon Alexander),2.350,2.120
4,9:40,4,8,TAM 20,20,23,Dan Bailey 38 yard field goal good,2.120,3.000
4,9:35,,,DAL 35,20,23,"Dan Bailey kicks off 67 yards, returned by Josh Huff for 17 yards (tackle by Leon McFadden)",0.000,0.220
4,9:35,1,10,TAM 15,20,23,"Penalty on DAL: Defensive 12 On-field, 5 yards (no play)",-0.220,0.680
4,9:26,1,5,TAM 20,20,23,Doug Martin middle for 3 yards (tackle by Sean Lee),0.680,0.480
4,9:00,2,2,TAM 23,20,23,Jameis Winston pass incomplete (defended by David Irving),0.480,-0.390
4,8:57,3,2,TAM 23,20,23,Jameis Winston pass incomplete short right intended for Charles Sims (defended by Justin Durant),-0.390,-1.830
4,8:54,4,2,TAM 23,20,23,"Bryan Anger punts 44 yards, returned by Lucky Whitehead for -2 yards (tackle by Josh Robinson). Penalty on Peyton Barber: Offensive Holding, 10 yards",-1.830,-1.660
4,8:45,1,10,DAL 41,20,23,"Dak Prescott pass complete short middle to Jason Witten for 3 yards (tackle by Kwon Alexander). Jason Witten fumbles (forced by Kwon Alexander), recovered by Lavonte David at DAL-45 (tackle by Jason Witten)",1.660,-2.590
4,8:32,1,10,DAL 45,20,23,Doug Martin right guard for -1 yards (tackle by Benson Mayowa),2.590,1.910
4,7:54,2,11,DAL 46,20,23,Jameis Winston pass complete short right to Charles Sims for 6 yards (tackle by Byron Jones),1.910,2.010
4,7:11,3,5,DAL 40,20,23,Jameis Winston pass incomplete deep right intended for Russell Shepard,2.010,0.590
4,7:05,4,5,DAL 40,20,23,Bryan Anger punts 36 yards,0.590,0.380
4,6:55,1,10,DAL 4,20,23,Ezekiel Elliott middle for 1 yard (tackle by Kwon Alexander and Lavonte David),-0.380,-0.710
4,6:30,2,9,DAL 5,20,23,Dak Prescott pass complete short middle to Dez Bryant for 19 yards (tackle by Bradley McDougald),-0.710,0.540
4,5:49,1,10,DAL 24,20,23,Ezekiel Elliott right tackle for 42 yards (tackle by Keith Tandy),0.540,3.310
4,5:13,1,10,TAM 34,20,23,Ezekiel Elliott left tackle for 10 yards (tackle by Keith Tandy and Javien Elliott),3.310,3.970
4,4:26,1,10,TAM 24,20,23,Darren McFadden left guard for no gain (tackle by Keith Tandy),3.970,3.430
4,3:45,2,10,TAM 24,20,23,Dak Prescott pass complete short right to Cole Beasley for 8 yards (tackle by Keith Tandy),3.430,3.950
4,3:41,3,2,TAM 16,20,23,Ezekiel Elliott right end for 1 yard (tackle by Kwon Alexander and Brent Grimes),3.950,2.590
4,3:03,4,1,TAM 15,20,26,Dan Bailey 33 yard field goal good,2.590,3.000
4,2:58,,,DAL 35,20,26,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
4,2:58,1,10,TAM 25,20,26,Jameis Winston sacked by David Irving for -8 yards,0.610,-1.150
4,2:29,2,18,TAM 17,20,26,Jameis Winston pass incomplete short right intended for Cameron Brate,-1.150,-1.930
4,2:24,3,18,TAM 17,20,26,Jameis Winston pass incomplete deep left intended for Mike Evans,-1.930,-2.320
4,2:16,4,18,TAM 17,20,26,"Bryan Anger punts 53 yards, fair catch by Lucky Whitehead",-2.320,-0.940
4,2:08,1,10,DAL 30,20,26,Ezekiel Elliott left guard for 15 yards (tackle by Bradley McDougald),0.940,1.930
4,2:00,1,10,DAL 45,20,26,Ezekiel Elliott right guard for 4 yards (tackle by Lavonte David),1.930,0.000
4,1:56,,,,20,26,Timeout #1 by Tampa Bay Buccaneers,0.000,-1.920
4,1:56,2,6,DAL 49,20,26,Ezekiel Elliott left guard for 3 yards (tackle by Keith Tandy and Robert Ayers),1.920,0.000
4,1:50,,,,20,26,Timeout #2 by Tampa Bay Buccaneers,0.000,-1.620
4,1:50,3,3,TAM 48,20,26,Dak Prescott sacked by Sealver Siliga for -3 yards,1.620,0.000
4,1:43,,,,20,26,Timeout #3 by Tampa Bay Buccaneers,0.000,0.130
4,1:43,4,6,DAL 49,20,26,"Chris Jones punts 40 yards, fair catch by Adam Humphries",-0.130,0.370
4,1:36,1,10,TAM 11,20,26,Jameis Winston pass complete short middle to Cameron Brate for 11 yards (tackle by Sean Lee),-0.370,0.410
4,1:19,1,10,TAM 22,20,26,Jameis Winston pass incomplete deep middle intended for Cameron Brate,0.410,-0.130
4,1:14,2,10,TAM 22,20,26,"Jameis Winston sacked by Maliek Collins for -2 yards. Jameis Winston fumbles (forced by Maliek Collins), recovered by Leonard Wester at TAM-20",-0.130,-1.090
4,0:39,3,12,TAM 20,20,26,Jameis Winston pass incomplete short middle intended for Mike Evans,-1.090,-2.030
4,0:35,4,12,TAM 20,20,26,Jameis Winston pass incomplete deep right intended for Russell Shepard is intercepted by Orlando Scandrick at DAL-48,-2.030,-2.130
4,0:24,1,10,DAL 48,20,26,Dak Prescott kneels for -2 yards,2.130,1.310
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
