Quarter,Time,Down,ToGo,Location,PIT,SFO,Detail,EPB,EPA
4,13:33,2,7,SFO 28,13,17,"Matt Breida left guard for 3 yards (tackle by Mark Barron). Penalty on Justin Skule: Offensive Holding, 10 yards (no play)",0.470,-0.980
4,13:05,2,17,SFO 18,13,17,"Jimmy Garoppolo left end for 4 yards (tackle by Olasunkanmi Adeniyi). Penalty on Justin Skule: Illegal Blindside Block, 9 yards (no play)",-0.980,-1.950
4,12:47,2,26,SFO 9,13,17,Raheem Mostert left end for 3 yards (tackle by Bud Dupree),-1.950,-2.940
4,12:08,3,23,SFO 12,13,17,Raheem Mostert left tackle for 10 yards (tackle by Javon Hargrave),-2.940,-1.900
4,11:28,4,13,SFO 22,13,17,"Mitch Wishnowsky punts 50 yards, returned by Ryan Switzer for no gain (tackle by Emmanuel Moseley). Penalty on Johnny Holton: Offensive Holding, 10 yards",-1.900,-0.150
4,11:18,1,10,PIT 19,13,17,James Conner up the middle for 10 yards (tackle by Ronald Blair and K'Waun Williams),0.150,0.870
4,10:34,1,10,PIT 29,13,17,"Mason Rudolph pass incomplete deep middle intended for James Washington. Penalty on Jason Verrett: Defensive Pass Interference, 32 yards (no play)",0.870,2.980
4,10:28,1,10,SFO 39,19,17,"Mason Rudolph pass complete deep left to Diontae Johnson for 39 yards, touchdown",2.980,7.000
4,10:22,,,SFO 15,20,17,Chris Boswell kicks extra point good,0.000,0.000
4,10:22,,,PIT 35,20,17,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,10:22,1,10,SFO 25,20,17,Matt Breida right end for 7 yards (tackle by Cameron Heyward),0.610,1.010
4,10:08,2,3,SFO 32,20,17,Jimmy Garoppolo pass complete deep left to Marquise Goodwin for 25 yards (tackle by Terrell Edmunds),1.010,2.720
4,9:47,1,10,PIT 43,20,17,Matt Breida right end for 5 yards (tackle by Devin Bush),2.720,2.850
4,9:21,2,5,PIT 38,20,17,Raheem Mostert up the middle for 19 yards (tackle by Steven Nelson),2.850,4.310
4,8:53,1,10,PIT 19,20,17,Raheem Mostert right tackle for 6 yards (tackle by Joe Haden),4.310,4.720
4,8:11,2,4,PIT 13,20,17,Jeff Wilson right guard for 5 yards (tackle by Tyson Alualu and Joe Haden),4.720,5.370
4,7:44,1,8,PIT 8,20,17,Jeff Wilson up the middle for 1 yard (tackle by Javon Hargrave),5.370,4.760
4,7:00,2,7,PIT 7,20,17,Jimmy Garoppolo pass incomplete short middle,4.760,3.810
4,6:53,3,7,PIT 7,20,17,"Richie James aborted snap, recovered by T.J. Watt at PIT-14 (tackle by Richie James)",3.810,0.280
4,6:49,1,10,PIT 14,20,17,James Conner up the middle for 5 yards (tackle by Kwon Alexander and DeForest Buckner),-0.280,-0.040
4,6:11,2,5,PIT 19,20,17,Mason Rudolph pass complete short middle to James Conner for 5 yards (tackle by Kwon Alexander),-0.040,0.540
4,5:36,1,10,PIT 24,20,17,"James Conner right end for -2 yards (tackle by Arik Armstead). James Conner fumbles (forced by Arik Armstead), recovered by DeForest Buckner at PIT-24 (tackle by Zach Gentry)",0.540,-3.970
4,5:29,1,10,PIT 24,20,17,Jimmy Garoppolo pass complete short right to George Kittle for 9 yards (tackle by Mike Hilton and Terrell Edmunds),3.970,4.850
4,4:49,2,1,PIT 15,20,17,Jeff Wilson right guard for no gain (tackle by Terrell Edmunds and Stephon Tuitt),4.850,4.170
4,4:13,3,1,PIT 15,20,17,Jimmy Garoppolo up the middle for 2 yards (tackle by Javon Hargrave),4.170,4.710
4,3:37,1,10,PIT 13,20,17,Jeff Wilson right guard for 3 yards (tackle by Javon Hargrave),4.710,4.580
4,2:53,,,,,,Timeout #1 by San Francisco 49ers,,
4,2:53,2,7,PIT 10,20,17,"Jimmy Garoppolo pass complete short middle to George Kittle for 4 yards (tackle by Devin Bush). Penalty on Justin Skule: Offensive Holding, 10 yards (no play)",4.580,3.210
4,2:47,2,17,PIT 20,20,17,Jimmy Garoppolo pass complete short left to Richie James for 6 yards (tackle by Minkah Fitzpatrick),3.210,3.080
4,2:08,3,11,PIT 14,20,17,"Jimmy Garoppolo pass incomplete short right intended for Dante Pettis (defended by Cameron Sutton). Penalty on Mark Barron: Defensive Holding, 5 yards (no play)",3.080,5.140
4,2:00,1,9,PIT 9,20,17,Jeff Wilson up the middle for 4 yards (tackle by Javon Hargrave),5.140,5.150
4,1:20,2,5,PIT 5,20,23,"Jimmy Garoppolo pass complete short left to Dante Pettis for 5 yards, touchdown",5.150,7.000
4,1:15,,,PIT 15,20,24,Robbie Gould kicks extra point good,0.000,0.000
4,1:15,,,SFO 35,20,24,"Mitch Wishnowsky kicks off 64 yards, returned by Johnny Holton for 21 yards (tackle by D.J. Reed)",0.000,0.410
4,1:09,1,10,PIT 22,20,24,Mason Rudolph pass incomplete short right,0.410,-0.130
4,1:01,2,10,PIT 22,20,24,Mason Rudolph left tackle for 7 yards (tackle by Kwon Alexander),-0.130,0.100
4,0:51,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,0:51,3,3,PIT 29,20,24,"Mason Rudolph sacked by DeForest Buckner for -9 yards. Mason Rudolph fumbles (forced by DeForest Buckner), recovered by Matt Feiler at PIT-20 (tackle by Nick Bosa)",0.100,-2.030
4,0:41,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,0:41,4,12,PIT 20,20,24,Mason Rudolph pass incomplete short left intended for James Washington (defended by Jaquiski Tartt),-2.030,-4.240
4,0:37,1,10,PIT 20,20,24,Jimmy Garoppolo kneels for -1 yards,4.240,3.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
