Quarter,Time,Down,ToGo,Location,DAL,LAC,Detail,EPB,EPA
1,7:06,1,10,DAL 33,7,0,Justin Herbert pass short left intended for Keenan Allen is intercepted by Trevon Diggs at DAL-20 and returned for no gain (tackle by Keenan Allen),,
1,7:00,1,10,DAL 20,7,0,Dak Prescott pass complete deep left to CeeDee Lamb for 17 yards,,
1,6:35,1,10,DAL 37,7,0,Ezekiel Elliott left guard for 8 yards (tackle by Nasir Adderley),,
1,6:09,2,2,DAL 45,7,0,Dak Prescott pass deep right intended for CeeDee Lamb is intercepted by Asante Samuel at LAC-29 and returned for 26 yards (tackle by Dak Prescott),,
1,5:56,1,10,DAL 45,7,0,Justin Herbert pass complete short left to Austin Ekeler for 11 yards (tackle by Anthony Brown),,
1,5:28,1,10,DAL 34,7,0,Justin Herbert pass complete short right to Mike Williams for 7 yards (tackle by Leighton Vander Esch),,
1,5:05,2,3,DAL 27,7,0,Larry Rountree right tackle for -1 yards (tackle by Malik Hooker),,
1,4:25,3,4,DAL 28,7,0,Justin Herbert pass complete short left to Austin Ekeler for no gain (tackle by Jaylon Smith and Tarell Basham),,
1,3:37,4,3,DAL 27,7,3,Tristan Vizcaino 46 yard field goal good,,
1,3:32,,,LAC 35,7,3,"Tristan Vizcaino kicks off 65 yards, touchback.",,
1,3:32,1,10,DAL 25,7,3,Tony Pollard right tackle for 16 yards (tackle by Kenneth Murray),,
1,3:09,1,10,DAL 41,7,3,Tony Pollard right tackle for 6 yards (tackle by Kyzir White),,
1,2:36,2,4,DAL 47,7,3,Dak Prescott pass complete short right to Tony Pollard for 12 yards (tackle by Michael Davis),,
1,2:14,1,10,LAC 41,7,3,CeeDee Lamb right tackle for 13 yards (tackle by Nasir Adderley),,
1,1:42,1,10,LAC 28,7,3,Dak Prescott pass complete short left to CeeDee Lamb for 10 yards (tackle by Asante Samuel),,
1,1:06,1,10,LAC 18,7,3,Dak Prescott pass complete short middle to CeeDee Lamb for 13 yards (tackle by Drue Tranquill),,
1,0:21,1,5,LAC 5,13,3,"Ezekiel Elliott right tackle for 5 yards, touchdown",,
1,0:17,,,LAC 15,14,3,Greg Zuerlein kicks extra point good,,
1,0:17,,,DAL 35,14,3,"Greg Zuerlein kicks off 65 yards, touchback.",,
1,0:17,1,10,LAC 25,14,3,Austin Ekeler left end for 16 yards (tackle by Anthony Brown),,
Quarter,Time,Down,ToGo,Location,DAL,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 41,14,3,"Penalty on Josh Palmer: False Start, 5 yards (accepted) (no play)",,
2,15:00,1,15,LAC 36,14,3,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Jourdan Lewis),,
2,14:27,2,10,LAC 41,14,3,"Justin Herbert pass complete short right to Keenan Allen for 14 yards (tackle by Bradlee Anae). Penalty on Keenan Allen: Taunting / Offense, 15 yards (accepted)",,
2,13:56,1,10,LAC 40,14,3,"Justin Herbert pass is intercepted by Jayron Kearse at DAL-40 and returned for no gain. Penalty on Jayron Kearse: Defensive Pass Interference, 13 yards (accepted) (no play)",,
2,13:50,1,10,DAL 47,14,3,Austin Ekeler left tackle for 1 yard (tackle by Jayron Kearse and Osa Odighizuwa),,
2,13:07,2,9,DAL 46,14,3,Justin Herbert pass complete short right to Austin Ekeler for -2 yards (tackle by Jayron Kearse),,
2,12:26,3,11,DAL 48,14,3,Justin Herbert pass complete short left to Jared Cook for 12 yards (tackle by Trevon Diggs),,
2,11:59,1,10,DAL 36,14,3,"Justin Jackson left guard for no gain (tackle by Jayron Kearse). Penalty on Storm Norton: Offensive Holding, 10 yards (accepted) (no play)",,
2,11:35,1,20,DAL 46,14,3,Justin Herbert pass complete short right to Jalen Guyton for 9 yards (tackle by Trevon Diggs),,
2,11:08,2,11,DAL 37,14,3,Austin Ekeler left guard for 3 yards (tackle by Osa Odighizuwa),,
2,10:33,3,8,DAL 34,14,3,"Penalty on Corey Linsley: False Start, 5 yards (accepted) (no play)",,
2,10:30,3,13,DAL 39,14,3,"Justin Herbert pass complete deep middle to Mike Williams for 27 yards (tackle by Damontae Kazee). Penalty on Micah Parsons: Defensive Offside, 5 yards (declined)",,
2,9:55,1,10,DAL 12,14,9,"Justin Herbert pass complete short left to Mike Williams for 12 yards, touchdown",,
2,9:49,,,,,,Timeout #1 by Dallas Cowboys,,
2,9:49,,,DAL 2,14,11,"Two Point Attempt: Austin Ekeler rushes, conversion succeeds.",,
2,9:49,,,LAC 35,14,11,"Tristan Vizcaino kicks off 65 yards, returned by Tony Pollard for 23 yards (tackle by Kemon Hall and Tevaughn Campbell)",,
2,9:43,1,10,DAL 23,14,11,Dak Prescott pass complete short right to Amari Cooper for 5 yards (tackle by Asante Samuel),,
2,9:09,2,5,DAL 28,14,11,Tony Pollard right end for 6 yards (tackle by Michael Davis and Kenneth Murray),,
2,8:27,1,10,DAL 34,14,11,Tony Pollard up the middle for 4 yards (tackle by Jerry Tillery and Linval Joseph),,
2,7:55,2,6,DAL 38,14,11,Dak Prescott pass complete short left to Cedrick Wilson for 16 yards (tackle by Nasir Adderley),,
2,7:18,1,10,LAC 46,14,11,Ezekiel Elliott left guard for 5 yards (tackle by Alohi Gilman),,
2,6:44,2,5,LAC 41,14,11,"Dak Prescott pass incomplete deep left. Penalty on Tyler Biadasz: Offensive Holding, 10 yards (accepted) (no play)",,
2,6:37,2,15,DAL 49,14,11,Cedrick Wilson right end for 5 yards (tackle by Derwin James),,
2,5:57,3,10,LAC 46,14,11,"Penalty on DAL: Delay of Game, 5 yards (accepted) (no play)",,
2,5:38,3,15,DAL 49,14,11,Dak Prescott pass complete short left to Blake Jarwin for 10 yards (tackle by Kemon Hall),,
2,4:57,4,5,LAC 41,14,11,Dak Prescott pass incomplete short right intended for Amari Cooper (defended by Asante Samuel),,
2,4:53,1,10,LAC 41,14,11,Austin Ekeler left guard for 1 yard (tackle by Leighton Vander Esch and Tarell Basham),,
2,4:17,2,9,LAC 42,14,11,Justin Herbert pass complete short middle to Mike Williams for 14 yards (tackle by Anthony Brown),,
2,3:40,1,10,DAL 44,14,11,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Anthony Brown),,
2,3:06,2,2,DAL 36,14,11,"Larry Rountree right guard for no gain (tackle by Malik Hooker). Penalty on Corey Linsley: Offensive Holding, 10 yards (accepted) (no play)",,
2,2:46,2,12,DAL 46,14,11,Justin Herbert pass complete short right to Larry Rountree for -1 yards (tackle by Keanu Neal),,
2,2:19,3,13,DAL 47,14,11,Justin Herbert sacked by Leighton Vander Esch for -7 yards,,
2,2:00,4,20,LAC 46,14,11,"Ty Long punts, fair catch by CeeDee Lamb at DAL-10. Penalty on Azur Kamara: Roughing the Kicker, 15 yards (accepted) (no play)",,
2,1:53,1,10,DAL 39,14,11,"Justin Herbert pass complete short right to Keenan Allen for no gain (tackle by Damontae Kazee). Penalty on Jalen Guyton: Offensive Pass Interference, 10 yards (accepted) (no play)",,
2,1:47,1,20,DAL 49,14,11,Justin Herbert pass complete short left to Jared Cook for 6 yards (tackle by Jourdan Lewis),,
2,1:13,2,14,DAL 43,14,11,Justin Herbert pass complete short middle to Jared Cook for 10 yards (tackle by Jayron Kearse),,
2,0:34,3,4,DAL 33,14,11,Justin Herbert scrambles for 5 yards (tackle by Jayron Kearse),,
2,0:25,1,10,DAL 28,14,11,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Jaylon Smith),,
2,0:17,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:17,2,3,DAL 21,14,11,"Penalty on Keenan Allen: False Start, 5 yards (accepted) (no play)",,
2,0:17,2,8,DAL 26,14,11,Justin Herbert pass incomplete deep right intended for Mike Williams,,
2,0:11,3,8,DAL 26,14,11,Justin Herbert pass incomplete short right intended for Keenan Allen,,
2,0:07,4,8,DAL 26,14,11,Tristan Vizcaino 44 yard field goal no good,,
2,0:03,1,10,DAL 34,14,11,"Penalty on Trey Pipkins: Face Mask (15 Yards), 15 yards (accepted) (no play)",,
2,0:03,1,10,DAL 49,14,11,"Dak Prescott pass complete to CeeDee Lamb for 34 yards, lateral to Ezekiel Elliott for no gain (tackle by Derwin James)",,
Quarter,Time,Down,ToGo,Location,DAL,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,1,10,DAL 35,14,11,"Greg Zuerlein kicks off 65 yards, touchback.",,
3,15:00,1,10,LAC 25,14,11,Austin Ekeler left end for 1 yard (tackle by Carlos Watkins),,
3,14:22,2,9,LAC 26,14,11,Justin Herbert pass complete short left to Austin Ekeler for 8 yards (tackle by Jaylon Smith),,
3,13:59,3,1,LAC 34,14,11,Austin Ekeler for no gain (tackle by Jaylon Smith and Carlos Watkins),,
3,13:41,4,1,LAC 34,14,11,Justin Herbert for 3 yards (tackle by Keanu Neal),,
3,13:09,1,10,LAC 37,14,11,"Justin Herbert pass complete deep left to Mike Williams for no gain (tackle by Malik Hooker). Penalty on Oday Aboushi: Ineligible Downfield Pass, 5 yards (accepted) (no play)",,
3,12:40,,,,,,Timeout #1 by Dallas Cowboys,,
3,12:40,1,15,LAC 32,14,11,Justin Herbert pass incomplete short left,,
3,12:36,2,15,LAC 32,14,11,Justin Herbert pass incomplete short middle intended for Jared Cook (defended by Jayron Kearse),,
3,12:32,3,15,LAC 32,14,11,Justin Herbert pass complete deep right to Keenan Allen for 42 yards,,
3,12:00,1,10,DAL 26,14,11,Justin Herbert pass complete short middle to Justin Jackson for 8 yards (tackle by Jaylon Smith and Leighton Vander Esch),,
3,11:26,2,2,DAL 18,14,11,Justin Jackson right end for 5 yards (tackle by Leighton Vander Esch and Jaylon Smith),,
3,10:44,1,10,DAL 13,14,11,Justin Herbert pass complete short right to Austin Ekeler for -2 yards (tackle by Leighton Vander Esch),,
3,10:07,2,12,DAL 15,14,11,Justin Herbert up the middle for 1 yard (tackle by Micah Parsons),,
3,9:31,3,11,DAL 14,14,11,Justin Herbert pass incomplete short middle intended for Jared Cook,,
3,9:27,4,11,DAL 14,14,14,Tristan Vizcaino 32 yard field goal good,,
3,9:22,,,LAC 35,14,14,"Tristan Vizcaino kicks off 65 yards, touchback.",,
3,9:22,1,10,DAL 25,14,14,Ezekiel Elliott left guard for 6 yards (tackle by Jerry Tillery),,
3,8:54,2,4,DAL 31,14,14,Dak Prescott pass complete short left to CeeDee Lamb for 4 yards (tackle by Nasir Adderley),,
3,8:26,1,10,DAL 35,14,14,Ezekiel Elliott up the middle for 19 yards (tackle by Nasir Adderley),,
3,7:48,1,10,LAC 46,14,14,Dak Prescott pass complete short left to Tony Pollard for 13 yards (tackle by Michael Davis and Kyzir White),,
3,7:15,1,10,LAC 33,14,14,Ezekiel Elliott left guard for 5 yards (tackle by Joey Bosa and Michael Davis),,
3,6:40,2,5,LAC 28,14,14,Dak Prescott pass complete short right to CeeDee Lamb for -4 yards (tackle by Derwin James),,
3,5:59,3,9,LAC 32,14,14,Dak Prescott sacked by and Jerry Tillery for -10 yards and Derwin James for -10 yards,,
3,5:11,4,19,LAC 42,14,14,"Penalty on DAL: Delay of Game, 5 yards (accepted) (no play)",,
3,5:02,4,24,LAC 47,14,14,"Bryan Anger punts 44 yards, returned by K.J. Hill for 6 yards (tackle by Tony Pollard)",,
3,5:02,1,10,LAC 9,14,14,Austin Ekeler right tackle for 9 yards (tackle by Leighton Vander Esch),,
3,4:20,2,1,LAC 18,14,14,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Tarell Basham),,
3,3:48,1,10,LAC 23,14,14,Justin Herbert pass complete short right to Stephen Anderson for 7 yards (tackle by Malik Hooker),,
3,3:10,2,3,LAC 30,14,14,"Justin Herbert pass incomplete intended for Austin Ekeler. Penalty on Trevon Diggs: Defensive Holding, 5 yards (accepted) (no play)",,
3,3:05,1,10,LAC 35,14,14,Justin Jackson left guard for 5 yards (tackle by Dorance Armstrong),,
3,2:30,2,5,LAC 40,14,14,Justin Herbert pass incomplete short middle intended for Keenan Allen,,
3,2:23,3,5,LAC 40,14,14,Justin Herbert pass complete short right to Josh Palmer for 16 yards (tackle by Trevon Diggs),,
3,1:46,1,10,DAL 44,14,14,Justin Herbert pass complete short left to Mike Williams for 8 yards (tackle by Anthony Brown),,
3,1:25,2,2,DAL 36,14,14,"Justin Herbert pass complete to Donald Parham for no gain, touchdown. Penalty on Jared Cook: Offensive Holding, 10 yards (accepted) (no play)",,
3,1:15,2,12,DAL 46,14,14,"Justin Herbert pass complete deep left to Austin Ekeler for 20 yards (tackle by Trevon Diggs). Penalty on Bradlee Anae: Defensive Offside, 5 yards (declined) . Penalty on Trevon Diggs: Unnecessary Roughness / Defense, 13 yards (accepted)",,
3,1:09,1,10,DAL 13,14,14,Justin Herbert pass complete short left to Jalen Guyton for 4 yards (tackle by Trevon Diggs),,
3,0:15,2,6,DAL 9,14,14,Justin Herbert pass incomplete short left intended for Mike Williams,,
3,0:05,3,6,DAL 9,14,14,Justin Herbert pass short left intended for Keenan Allen is intercepted by Damontae Kazee in end zone and returned for no gain,,
3,0:05,1,10,DAL 20,14,14,Tony Pollard right end for 28 yards (tackle by Nasir Adderley),,
Quarter,Time,Down,ToGo,Location,DAL,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 48,14,14,Tony Pollard right guard for 3 yards (tackle by Jerry Tillery),,
4,14:26,2,7,LAC 49,14,14,Tony Pollard right end for 23 yards (tackle by Kenneth Murray),,
4,14:04,1,10,LAC 26,14,14,Tony Pollard right guard for 3 yards (tackle by Jerry Tillery),,
4,13:25,2,7,LAC 23,14,14,Dak Prescott pass complete short left to CeeDee Lamb for 1 yard (tackle by Derwin James and Asante Samuel),,
4,12:39,3,6,LAC 22,14,14,Dak Prescott pass complete short left to Dalton Schultz for 11 yards (tackle by Nasir Adderley),,
4,12:03,1,10,LAC 11,14,14,Ezekiel Elliott left tackle for 1 yard (tackle by Joe Gaziano),,
4,11:26,2,9,LAC 10,14,14,Dak Prescott pass incomplete short left intended for Blake Jarwin (defended by Nasir Adderley),,
4,11:21,3,9,LAC 10,14,14,"Dak Prescott sacked by Kyler Fackrell for -6 yards. Dak Prescott fumbles (forced by Kyler Fackrell), recovered by Zack Martin at LAC-16 (tackle by Kyler Fackrell)",,
4,10:30,4,15,LAC 16,17,14,Greg Zuerlein 34 yard field goal good,,
4,10:25,,,DAL 35,17,14,"Greg Zuerlein kicks off 65 yards, touchback.",,
4,10:25,1,10,LAC 25,17,14,Austin Ekeler right end for 3 yards (tackle by Jaylon Smith),,
4,9:53,2,7,LAC 28,17,14,Jalen Guyton right end for 9 yards (tackle by Keanu Neal),,
4,9:23,1,10,LAC 37,17,14,Justin Herbert pass complete short right to Stephen Anderson for 2 yards (tackle by Jayron Kearse),,
4,8:44,2,8,LAC 39,17,14,Justin Herbert pass complete short middle to Mike Williams for 15 yards (tackle by Jayron Kearse and Damontae Kazee),,
4,8:06,1,10,DAL 46,17,14,Justin Herbert scrambles right end for 3 yards (tackle by Azur Kamara),,
4,7:24,2,7,DAL 43,17,14,Justin Jackson left end for 7 yards (tackle by Jaylon Smith),,
4,6:55,1,10,DAL 36,17,14,Justin Jackson up the middle for 4 yards (tackle by Carlos Watkins),,
4,6:18,2,6,DAL 32,17,14,Justin Herbert pass complete deep left to Keenan Allen for 30 yards (tackle by Trevon Diggs),,
4,6:03,1,2,DAL 2,17,14,"Justin Herbert pass complete short left to Jared Cook for no gain, touchdown. Penalty on Jared Cook: Unsportsmanlike Conduct / Offense, 15 yards (declined) (no play)",,
4,5:39,1,7,DAL 7,17,14,Justin Herbert pass incomplete short right intended for Mike Williams (defended by Anthony Brown),,
4,5:34,2,7,DAL 7,17,14,Justin Herbert sacked by Micah Parsons for -18 yards,,
4,4:43,3,25,DAL 25,17,14,Justin Herbert pass complete short middle to Austin Ekeler for 14 yards (tackle by Malik Hooker),,
4,3:58,4,11,DAL 11,17,17,Tristan Vizcaino 29 yard field goal good,,
4,3:54,,,LAC 35,17,17,"Tristan Vizcaino kicks off 66 yards, returned by Tony Pollard for 24 yards (tackle by Alohi Gilman and Gabe Nabers). Penalty on Jabril Cox: Offensive Holding, 10 yards (accepted)",,
4,3:49,1,10,DAL 13,17,17,Ezekiel Elliott right end for -1 yards (tackle by Kenneth Murray),,
4,3:10,2,11,DAL 12,17,17,Dak Prescott pass complete short right to Blake Jarwin for 7 yards (tackle by Kenneth Murray and Jerry Tillery),,
4,2:32,3,4,DAL 19,17,17,Dak Prescott pass complete short right to Ezekiel Elliott for 7 yards (tackle by Michael Davis),,
4,2:30,1,10,DAL 26,17,17,Tony Pollard right tackle for 5 yards (tackle by Kenneth Murray and Joey Bosa),,
4,2:00,2,5,DAL 31,17,17,Ezekiel Elliott up the middle for 4 yards (tackle by Linval Joseph),,
4,1:28,3,1,DAL 35,17,17,Ezekiel Elliott up the middle for 3 yards (tackle by Christian Covington),,
4,1:04,1,10,DAL 38,17,17,Dak Prescott pass complete short middle to Ezekiel Elliott for 5 yards (tackle by Kyzir White),,
4,0:47,2,5,DAL 43,17,17,Dak Prescott pass complete short left to Amari Cooper for 12 yards (tackle by Alohi Gilman),,
4,0:36,,,,,,Timeout #2 by Dallas Cowboys,,
4,0:36,1,10,LAC 45,17,17,Dak Prescott pass complete short left to Cedrick Wilson for 4 yards (tackle by Derwin James),,
4,0:33,2,6,LAC 41,17,17,Tony Pollard right end for 3 yards (tackle by Joey Bosa and Derwin James),,
4,0:04,,,,,,Timeout #3 by Dallas Cowboys,,
4,0:04,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:04,3,3,LAC 38,20,17,Greg Zuerlein 56 yard field goal good,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
